종목명,신문사,시간,제목,본문
동신건설,이데일리,2015.07.15. 오전 10:48,"동신건설, 구미시 산림에코센터 계약금액 3억1280만원 증가","[이데일리 이명철 기자] 동신건설(025950)은 경북 구미시 선산출장소와 맺은 산림에코센터 조성공사 설계변경에 따라 계약금액이 71억3300만원에서 74억4580만원으로 변경됐다고 15일 공시했다.



이명철 (twomc@edaily.co.kr)


[종합 경제 뉴스 이데일리 모바일 웹][이데일리 TV][이데일리 ON][MP트래블러][마켓포인트][투자정보 앱 투자플러스][이데일리 창업]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
동신건설,이데일리,2015.07.22. 오후 3:40,"동신건설, 무흘구곡 경관가도 조성공사 계약기간 변경","[이데일리 송이라 기자] 동신건설(025950)은 무흘구곡 경관가도 조성공사 계약기간이 설계변경으로 오는 8월5일에서 내년 12월20일로 미뤄졌다고 22일 공시했다.





송이라 (rassong@edaily.co.kr)


[종합 경제 뉴스 이데일리 모바일 웹][이데일리 TV][이데일리 ON][MP트래블러][마켓포인트][투자정보 앱 투자플러스][이데일리 창업]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
동신건설,머니투데이,2015.08.06. 오전 10:57,"동신건설, 육남위드유에 170억원 대여 결정","[머니투데이 서진욱 기자] 동신건설은 육남위드유에 170억원을 대여하기로 결정했다고 6일 공시했다.
대여금액은 자기자본 대비 24.43%로 경주시 공동주택 부지 잔금 공동투자 목적이다.

[부자들은 이렇게 한다 '줄리아 투자노트' ][CEO의 삶을 바꾼 '내 인생 최고의 조언' ][내 삶을 바꾸는 정치뉴스 'the 300'][별게 다 궁금해? '알랴ZOOM'을 봐~][아찔한 걸~ 레이싱걸 스페셜]

서진욱 기자 sjw@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
동신건설,한국경제,2015.08.06. 오전 10:57,"동신건설, 170억 금전 대여 결정","[ 이민하 기자 ] 동신건설은 육남위드유에 170억원의 금전대여를 결정했다고 6일 공시했다. 대여 목적은 경주시 진현동 일원 공동주택 부지 잔금 공동투자비다. 대여기간은 오는 10월5일까지다.

이민하 한경닷컴 기자 minari@hankyung.com


[한경+ 구독신청] [기사구매] [모바일앱] [기사보다 빠른 주식정보 , 슈퍼개미 APP] ⓒ '성공을 부르는 습관' 한경닷컴, 무단 전재 및 재배포 금지"
동신건설,이데일리,2015.08.06. 오전 11:00,"동신건설, 육남위드유에 170억 대여","[이데일리 이유미 기자] 동신건설(025950)은 경주시 진현동 일원 공동주탁 부지 잔금 공통투자비를 위해 육남위드유에 170억원 규모를 대여해준다고 6일 공시했다. 이는 자기자본대비 24.43%에 해당하며 대여기간은이날부터 오는 10월5일까지다.

이유미 (miyah31@edaily.co.kr)


[종합 경제 뉴스 이데일리 모바일 웹][이데일리 TV][이데일리 ON][MP트래블러][마켓포인트][투자정보 앱 투자플러스][이데일리 창업]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
동신건설,아시아경제,2015.08.06. 오전 11:03,"동신건설, 육남위드유에 170억원 금전대여","[아시아경제 박민규 기자] 동신건설은 육남위드유에 170억원 금전대여를 하기로 했다고 6일 공시했다. 경주 진형동 일원 공동주택 부지 잔금 공동투자비 명목이다.

8월, 조용히 사서 묻어둘 상승 1순위 上유망주는?

年1000%수익은 정말 쉽습니다. “이것“만 있다면...

20배 산성앨엔에스 놓쳤다면 절대 놓쳐선 안 될 종목!

박민규 기자 yushin@asiae.co.kr

▶ 네티즌 수사대의 진화, 궁금증 제로 ""짜장뉴스""

▶ 재미있는 동영상이 모두 모였다 ""펀캐스트""

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
동신건설,머니투데이,2015.09.07. 오후 1:35,"동신건설, 인천·김포 간 고속도로 지하화 공정률 37%","[머니투데이 서진욱 기자] 동신건설은 인천김포고속도로 주식회사와 체결한 130억원 규모의 고속도로 지하화 건설공사의 공정율이 36.86%라고 7일 공시했다.
['생존 재테크' 백과사전 ""재테크를 부탁해"" ][부자들에게 배우는 성공 노하우 '줄리아 투자노트' ][내 삶을 바꾸는 정치뉴스 'the 300'][CEO의 삶을 바꾼 '내 인생 최고의 조언' ][아찔한 girl~ 레이싱모델 핫포토 ]

서진욱 기자 sjw@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
동신건설,머니투데이,2015.11.25. 오전 10:22,"동신건설, 설계변경으로 계약금액 소폭 감소","[머니투데이 김성은 기자] 동신건설은 광주환경공단과 체결한 '운정동 위생매립장 사후관리공사' 계약금액이 기존 39억7900만원에서 39억3185만6364원으로 소폭 감소했다고 25일 공시했다. 이는 설계변경에 따른 금액 감소다.
['생존 재테크' 백과사전 ""재테크를 부탁해"" ][부자들에게 배우는 성공 노하우 '줄리아 투자노트' ][내 삶을 바꾸는 정치뉴스 'the 300'][CEO의 삶을 바꾼 '내 인생 최고의 조언' ][아찔한 girl~ 레이싱모델 핫포토 ]

김성은 기자 gttsw@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
동신건설,머니투데이,2015.12.10. 오후 3:14,"동신건설, 청송군과 공급계약 규모 정정","[머니투데이 구유나 기자] 동신건설은 경북 청송군과 약 60억1818만원 규모 길안지구 하천재해 예방사업 공급 계약을 체결했다고 10일 정정공시했다. 이는 지난해 매출액의 14.31%에 해당하며 계약기간은 2013년 5월21일부터 내년 5월25일까지다.
회사 측은 ""설계변경에 의한 계약금액 3억2545만4545원(부가세 제외분)이 증액됐다""고 정정 사유를 밝혔다.


['생존 재테크' 백과사전 ""재테크를 부탁해"" ][부자들에게 배우는 성공 노하우 '줄리아 투자노트' ][내 삶을 바꾸는 정치뉴스 'the 300'][CEO의 삶을 바꾼 '내 인생 최고의 조언' ][아찔한 girl~ 레이싱모델 핫포토 ]

구유나 기자 yunak@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
동신건설,연합뉴스,2015.12.18. 오전 10:10,"동신건설, 107억원 규모 울릉도 일주도로 공사 수주","(서울=연합뉴스) 홍지인 기자 = 동신건설은 울릉도 일주도로2 건설공사를 수주했다고 18일 공시했다.

계약금액은 107억4천만원으로, 최근 매출액의 21.27%에 해당한다.

ljungberg@yna.co.kr

▶ [현장영상] '내가 뭘 잘못했길래'…주먹에 얻어맞은 스페인 총리

▶ [오늘의 핫 화보] '세계 최고 미녀는 누구?'…2016 미스 유니버스

<저작권자(c) 연합뉴스, 무단 전재-재배포 금지>"
