종목명,신문사,시간,제목,본문
엠제이비,머니투데이,2015.10.01. 오후 5:30,"엠제이비, 15억원 신주인수권부사채 발행 결정","[머니투데이 이미영 기자] 엠제이비가 15억원에 대해 무기명식 이권부 무보증 비분리형 신주인수권부사채 발행을 결정했다고 1일 공시했다.
['생존 재테크' 백과사전 ""재테크를 부탁해"" ][부자들에게 배우는 성공 노하우 '줄리아 투자노트' ][내 삶을 바꾸는 정치뉴스 'the 300'][CEO의 삶을 바꾼 '내 인생 최고의 조언' ][아찔한 girl~ 레이싱모델 핫포토 ]

이미영 기자 mylee@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
엠제이비,이데일리,2015.10.01. 오후 5:33,"엠제이비, 사모 BW 15억 발행","[이데일리 경계영 기자] 엠제이비(074150)는 운영자금을 조달하고자 이석준씨와 윌테크놀러지를 대상으로 사모 신주인수권부사채(BW) 15억원을 발행키로 했다고 1일 공시했다. 표면이자율은 6.0%이다. 신주인수권 행사가액은 2320원이며 내년 10월1일부터 2018년 9월30일까지 행사할 수 있다.

경계영 (kyung@edaily.co.kr)



＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
엠제이비,아시아경제,2015.10.02. 오후 5:29,"엠제이비, 142만주 규모 신주인수권 행사","[아시아경제 팍스넷 배요한 기자] 엠제이비가 142만주 규모의 신주인수권을 행사한다고 2일 공시했다.

이는 발행주식 총 수의 5.22%에 해당한다.

▶ 주요 이슈의 재구성, 촌철살인 이미지 파일 '카드뉴스'

▶ 재미있는 동영상이 모두 모였다 ""펀캐스트""

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
엠제이비,머니투데이,2015.10.02. 오후 5:32,"엠제이비, BW 142만주 행사","[머니투데이 백지수 기자] 엠제이비는 신주인수권부사채(BW) 총 142만738주가 행사돼 동량의 보통주를 발행한다고 2일 공시했다. 3회차 BW 55만4938주의 행사가액은 주당 1802원이며 4회차 BW 86만5800주의 행사가액은 주당 693원이다. 신주는 오는 16일 상장된다.
['생존 재테크' 백과사전 ""재테크를 부탁해"" ][부자들에게 배우는 성공 노하우 '줄리아 투자노트' ][내 삶을 바꾸는 정치뉴스 'the 300'][CEO의 삶을 바꾼 '내 인생 최고의 조언' ][아찔한 girl~ 레이싱모델 핫포토 ]

백지수 기자 100jsb@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
엠제이비,머니투데이,2015.10.07. 오후 4:23,"엠제이비, 상호 '큐페이'로 변경 논의","[머니투데이 최민지 기자] 엠제이비는 다음달 18일 주주총회를 소집하고 상호를 '큐페이'로 변경하는 건 등을 논의한다고 7일 공시했다.
['생존 재테크' 백과사전 ""재테크를 부탁해"" ][부자들에게 배우는 성공 노하우 '줄리아 투자노트' ][내 삶을 바꾸는 정치뉴스 'the 300'][CEO의 삶을 바꾼 '내 인생 최고의 조언' ][아찔한 girl~ 레이싱모델 핫포토 ]

최민지 기자 mj1@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
엠제이비,이데일리,2015.10.07. 오후 5:17,"엠제이비, 내달 18일 임시주총… 큐페이로 사명 변경","[이데일리 이명철 기자] 엠제이비(074150)는 다음달 18일 오전 9시 30분 제주시 애월읍 화전길 201, 타미우스 클럽하우스 1층 킹아더룸에서 임시주주총회를 개최한다고 7일 공시했다. 부의 안건은 상호를 큐페이로 변경하고 카드매출채권 유동화(매입/팩토링) 전문보증 서비스 등 사업목적을 추가하는 정관 변경의 건이다. 권리주주 확정을 위해 이달 23~29일 주주명부를 폐쇄한다.



이명철 (twomc@edaily.co.kr)



＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
엠제이비,이데일리,2015.10.08. 오전 9:14,"[특징주]엠제이비, 사업다각화 기대감에 급등…'신고가'","[이데일리 박기주 기자] 엠제이비(074150)가 카드매출채권 사업 등 사업 다각화를 추진한다는 소식에 급등했다.

8일 오전 9시12분 현재 엠제이비의 주가는 전날보다 20.00% 급등한 2730원을 기록하고 있다. 장 한때 27.03% 오르며 52주 최고가를 경신하기도 했다.

엠제이비는 다음달 18일 주주총회를 열고 카드매출채권 유동화와 관련한 서비스 및 핀테크 솔루션 개발 등 사업목적을 추가할 계획이라고 지난 7일 밝혔다. 상호명도 엠제이비에서 큐페이로 변경할 계획이다.





박기주 (kjpark85@edaily.co.kr)



＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
엠제이비,조선비즈,2015.10.08. 오전 9:51,"[특징주] 엠제이비, 사업 확장 소식에 상승","엠제이비가 환경 폐기물 처리 플랜트를 건설하는 등 사업을 확장한다는 소식에 오르고 있다.
8일 오전 9시 18분 현재 엠제이비는 전날보다 15.82% 오른 2635원에 거래되고 있다.
전날 엠제이비는 상호변경 및 사업목적을 추가하기 위한 임시주주총회를 다음날 17일에 연다고 공시했다. 엠제이비는 임시주총에서 상호를 큐페이로 변경하고, 채권 유동화를 위한 핀테크(전자금융) 솔루션 개발, 카드매출채권 유동화 상품 해외 수출, 환경 폐기물 처리 플랜트 건설 등 사업 확장을 논의하게 된다.
[이경민 기자 sea_through@chosunbiz.com]

[조선비즈 바로가기] [위클리비즈] [페이스북] [카카오스토리]
chosunbiz.com"
엠제이비,매일경제,2015.10.19. 오후 2:28,"엠제이비, 단말기업체 에이포스 지분 30% 조건부 인수","환경 플랜트 건설업체에서 카드매출채권 당일 할인 금융서비스업으로 탈바꿈한 코스닥기업 엠제이비(MJB)가 19일 포스(POS)단말기 개발.공급업체인 에어포스 지분 30%를 조건부로 인수하는 협정서에 서명했다.

카드매출 채권관련 사업 확장을 위해 개발한 소프트웨어·인터페이스 단말기를 에어포스와 연대해 불필요한 카드고객 정보를 삭제하는 등 금융 감독기관이 요구하는 스펙을 만족시키기 위한 것이라고 회사측은 설명했다..

이 기술의 핵심은 가맹점이 POS단말기에 프로그램을 탑재시켜 최소 필요한 자료만을 축척-가공해 가맹점에 금융서비스를 제공하는 것이다.

윤영배 엠제이비 대표는 ""가맹점 카드매출 채권 서비스를 제공하는 사업자가 카드 정보를 임의로 이용하는 폐단을 사전에 없애는 안전장치를 구축함으로서 카드매출채권 사업과 관련해 입체적 수직계열화를 완성하게 됐다""며 ""전국 주유소나 중소.개인 점포 등 상인들에게 유동성 개선에 크게 기여하게 됐다""고 말했다.

엠제이비는 우선 한국주유소협회 1만여 회원사를 대상으로 전용POS·통신회선은 무상으로 제공할 계획이다. 주유소는 카드 결제 후 현금으로 받기까지 약 5일의 시간이 소요되는 것을 감안하면 당일 결제로 유동성 절감 효과가 약 4배에 달해 수익이 증대된다. 또한 주유소 외에 귀금속 도소매업, 식음료 도소매업, 해외 관광객 카드채권 등 다양한 업종으로 서비스를 확대할 계획이다.

한편 엠제이비는 다음달 18일 임시총회를 열어 △'큐페이'로 사명 변경과 △카드매출채권 유동화(매입/팩토링) 전문 대행 및 보증 서비스 사업을 추가하고 카드매출채권 유동화 상품을 운용하고 당해 서비스상품을 해외에 수출하는 협상 등을 논의할 예정이다.

[매경닷컴 이상규 기자]



[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
엠제이비,머니투데이,2015.10.19. 오후 5:28,"엠제이비, 50억 투자해 분양 대행 용역 사업 진출","[머니투데이 신아름 기자] 엠제이비는 분양 대행 용역 사업에 새롭게 진출한다고 19일 공시했다. 이와 관련 엠제이비는 용인행정타운 두산위브아파트 1,2,3단지 미분양 1124세대의 분양대행을 맡아 오는 2016년 4월까지 분양을 완료할 예정이다.
예상 투자금액은 50억원이며 이로 인한 기대효과는 분양율에 따른 3%의 분양수수료 수입과 분양 100% 완료 시 별도의 성공수수료 3%다.
['생존 재테크' 백과사전 ""재테크를 부탁해"" ][부자들에게 배우는 성공 노하우 '줄리아 투자노트' ][내 삶을 바꾸는 정치뉴스 'the 300'][CEO의 삶을 바꾼 '내 인생 최고의 조언' ][아찔한 girl~ 레이싱모델 핫포토 ]

신아름 기자 peut@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
