종목명,신문사,시간,제목,본문
영진코퍼레이션,머니투데이,2014.05.12. 오후 6:13,"영진코퍼레이션, 15억원 규모 BW 발행","[머니투데이 심재현 기자]영진코퍼레이션은 타법인증권 취득자금 15억원 조달을 위해 신주인수권부사채(BW) 발행을 결정했다고 12일 공시했다. 사채만기일은 2017년 5월12일이다. 표면이자율은 8%, 만기이자율은 12%다.
[딱하나! 머니인사이트 딱TV]['스페셜 걸' 포토][손안의 경제뉴스 머니투데이 모바일웹]

심재현기자 urme@

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
영진코퍼레이션,이데일리,2014.05.12. 오후 6:30,"영진코퍼레이션, 15억원 규모 BW 발행 결정","[이데일리 오희나 기자] 영진코퍼레이션(053330)은 타법인증권 취득자금 목적으로 (주)정우, 윤태완, 이상욱 등을 대상으로 15억원 규모 무기명식 이권부 무보증 비분리형 신주인수권부사채(BW) 발행을 결정했다고 12일 공시했다.

사채만기일은 2017년 5월12일이다. 표면이자율은 8%, 만기이자율은 12%다.

오희나 (hnoh@edaily.co.kr)


[종합 경제 뉴스 이데일리 모바일 웹][이데일리 TV][이데일리 ON][MP트래블러][마켓포인트]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
영진코퍼레이션,매일경제,2014.05.12. 오후 8:11,[코스닥 공시] 모두투어 / 동국S&C / 영진코퍼레이션 등,"◇모두투어＝사업 다각화를 위해 서울호텔학교 지분 100% 9억원에 취득 결정.
◇동국S&C＝제3자 배정 유상증자를 통해 계열사 디케이동신 주식 216만주 239억9976만원에 취득 결정.
◇영진코퍼레이션＝타법인 증권을 취득하기 위해 15억원 규모 BW 발행 결정.
◇아이엠＝중국법인 상탄아이엠디지탈전자유한공사 광픽업 부품 생산 영업정지.
◇한글과컴퓨터＝린드먼PE의 MDS테크놀로지 보유주식 풋옵션 계약 체결.
◇엔피케이＝NIPPON PIGMENT 대상 85억원 규모 제3자배정 유상증자 결정.
◇와이즈파워＝자가 발전형 발광체 관련 특허권 취득.

▶ 네이버 뉴스스탠드에서 매일경제를 MY뉴스로 구독하세요
[매일경제 모바일 서비스 | 페이스북] [매일경제 구독신청] [오늘의 매일경제]

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
영진코퍼레이션,머니투데이,2014.05.13. 오전 9:19,"[특징주]영진코퍼레이션, BW 발행 결정에 약세","[머니투데이 최석환 기자]영진코퍼레이션이 신주인수권부사채(BW) 발행 소식에 약세를 보이고 있다.

13일 오전9시19분 현재 영진코퍼레이션은 전일보다 3.66% 내린 738원에 거래되고 있다.

영진코퍼레이션은 전날 공시를 통해 타법인증권 취득자금 15억원 조달을 위해 BW 발행을 결정했다고 밝혔다. 사채만기일은 2017년 5월12일이다. 표면이자율은 8%, 만기이자율은 12%다.
[딱하나! 머니인사이트 딱TV]['스페셜 걸' 포토][손안의 경제뉴스 머니투데이 모바일웹]

최석환기자 neokism@

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
영진코퍼레이션,한국경제,2014.05.14. 오후 2:24,"[종목포커스]영진코퍼레이션, 잇단 자금 조달…'관리종목 족쇄' 피할까","[ 정혁현 기자 ] 수처리·폐기물처리 자동화기기 전문업체인 영진코퍼레이션이 올 들어서만 8차례에 걸쳐 소액 증자와 채권 발행으로 자금 조달에 집중하고 있다. '관리종목 족쇄'를 피하려는 마지막 고육책으로 풀이되고 있어 그 결과에 관심이 쏠리고 있다.

14일 금융투자업계에 따르면 영진코퍼레이션은 2013년까지 3년 연속 영업손실을 냈다. 4년째인 올해 영업이익을 달성하지 못하면 한국거래소로부터 관리종목으로 지정된다. 관리종목이 되면 30분 주기로 단일가 매매로 변경 등 거래 시 제약이 많아진다.

영진코퍼레이션은 ""생활·산업 폐기물 처리업체인 경주산업개발을 인수해 부진에 빠진 영업실적을 끌어올려 수익을 내겠다""고 말했다.

금융감독원전자공시시스템 등에 따르면 영진코퍼레이션은 지난 12일 15억원 규모로 신주인수권부사채(BW)를 발행키로 결정했다. 발행대상은 (주)정우를 비롯한 개인투자자 윤태완, 이상욱씨 등이다.

영진코퍼레이션은 지난달 1일과 14일에도 이혜숙씨(2억원)와 에스엔엘홀딩스(5억원), 조효선씨(5000만원) 등을 대상으로 BW를 찍어냈다. 3월31일엔 고성욱씨(2억원)에게, 같은 달 19일과 25일에도 우동균씨 외 6인과 손흥섭씨에게 5억원과 10억원씩 투자받았다.

이 회사는 BW뿐 아니라 소규모 증자도 동시에 진행했다. 자금확보에 안간힘을 쓰고 있는 모습이다.

지난달 16일 김원경, 김해완씨를 대상으로 신주 54만1711주씩 발행, 모두 10억원 가까이 자금을 마련키로 했다. 이보다 앞선 2월엔 증권신고서 제출 없이 9억9900만원 규모로 일반공모 방식의 유상증자를 단행했다.

이렇게 수 차례에 걸쳐 손에 쥔 외부자금은 60억원. 회사는 이 자금으로 경주산업개발 지분 취득에 나설 예정인 것으로 알려졌다. 사업다각화와 수익성 증대를 위해서다.

영진코퍼레이션은 지난달 23일 경주산업개발 인수를 위한 실사보증금 7억원을 납입했고, 오는 15일 중도금(28억원)을 지급할 계획이다.

영진코퍼레이션 관계자는 ""주거래 은행에 이미 차입금이 많은 상황이라 추가로 돈을 빌릴 수 없어 신사업 추진을 위한 투자금과 만기 도래하는 어음, 차입금 상환 등에 쓸 운영자금 마련을 위해 필요할 때마다 시장에서 자금을 조달하고 있다""고 말했다.

다만 주식시장에서는 이 같은 영진코퍼레이션의 행보에 대해 투자들의 주의가 필요하다는 의견이 나오고 있다.

이 회사 주가는 700원대에 머물러 있다. 지난달 22일 1260원대이던 주가는 3주 만에 반토막이 났다.

익명을 요구한 한 증권사 애널리스트는 ""계속된 자금수혈에 대한 불안과 신사업 추진에 거는 낮은 기대가 반영된 결과""라고 지적했다.

한경닷컴 정혁현 기자 chh03@hankyung.com

[한경+ 구독신청] [기사구매] [모바일앱] [기사보다 빠른 주식정보 , 슈퍼개미 APP] ⓒ '성공을 부르는 습관' 한경닷컴, 무단 전재 및 재배포 금지"
영진코퍼레이션,이데일리,2014.05.15. 오후 5:41,"영진코퍼레이션, 5억 규모 BW 발행 결정","[이데일리 경계영 기자] 영진코퍼레이션(053330)은 운영자금 조달을 위해 5억원 규모의 비분리형 신주인수권부사채(BW)를 발행키로 결정했다고 15일 공시했다.

사채만기일은 2017년 5월15일이다. 표면이자율은 8%, 만기이자율은 12%다.





경계영 (kyung@edaily.co.kr)


[종합 경제 뉴스 이데일리 모바일 웹][이데일리 TV][이데일리 ON][MP트래블러][마켓포인트]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
영진코퍼레이션,머니투데이,2014.06.10. 오후 6:17,"영진코퍼레이션, 30억 사모 BW 발행 결정","[머니투데이 정인지 기자]영진코퍼레이션은 10일 운영자금 30억원을 조달하기 위해 손흥섭씨 외 2인을 대상으로 신주인수권부사채(BW)를 발행키로 결정했다고 공시했다.

행사가액은 806원이고 권리행사기간은 2015년 6월10일부터 2017년 6월9일까지다. 사채만기일은 2017년 6월10일이다.
[내 삶을 바꾸는 정치뉴스 'the 300' 바로가기]['스페셜 걸' 포토][손안의 경제뉴스 머니투데이 모바일웹]['소비자가 뽑는 올해의 차' 경품 이벤트!]

정인지기자 injee@

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
영진코퍼레이션,이데일리,2014.06.10. 오후 6:46,"영진코퍼레이션, 30억 규모 BW 발행 결정","[이데일리 김도년 기자] 영진코퍼레이션(053330)은 운영자금 조달을 위해 30억원 규모의 비분리형 신주인수권부사채(BW)를 발행키로 결정했다고 10일 공시했다. 사채만기일은 2017년 6월10일이다. 표면이자율과 만기이자율은 0%다.

김도년 (kdn82@edaily.co.kr)


[종합 경제 뉴스 이데일리 모바일 웹][이데일리 TV][이데일리 ON][MP트래블러][마켓포인트]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
영진코퍼레이션,이데일리,2014.09.23. 오후 4:51,"영진코퍼레이션, BW 2억 발행","[이데일리 경계영 기자] 영진코퍼레이션(053330)은 운영자금 마련을 위해 이정아씨를 대상으로 2억원 규모의 사모 비분리형 신주인수권부사채(BW)를 발행키로 결정했다고 23일 공시했다. 행사가액은 594원이며 신주인수권은 내년 9월23일부터 행사할 수 있다.

경계영 (kyung@edaily.co.kr)


[종합 경제 뉴스 이데일리 모바일 웹][이데일리 TV][이데일리 ON][MP트래블러][마켓포인트][투자정보 앱 투자플러스][이데일리 창업]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
영진코퍼레이션,헤럴드경제,2014.09.23. 오후 4:57,"<생생코스닥> 영진코퍼레이션, 2억 규모 사모 BW 발행 결정","영진코퍼레이션은 운영자금을 위해 2억원 규모의 사모 신주인수권부사채 발행을 결정했다고 23일 공시했다.

표면이자율 8%, 만기이자율 12%, 사채만기일은 2017년 9월 23일, 행사가액은 594원이다.



[헤럴드경제 뉴스스탠드] [헤럴드스탁마켓] [제3회 코리아헤럴드 청소년 외교아카데미]

[헤럴드경제 모바일 웹] [헤럴드경제 모바일앱] [SUPERICH] [REAL FOODS]



- Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
