종목명,신문사,시간,제목,본문
소리바다,머니투데이,2016.03.22. 오전 9:18,"[더벨]소리바다 ""윌인베스트, 신기사 전환 작업""","[더벨 박제언 기자] [소리바다, 윌인베스트로 흘러가는 자금의 중개 역할]
더벨|이 기사는 03월17일(17:54) 자본시장 미디어 '머니투데이 thebell'에 출고된 기사입니다.


코스닥 상장사 소리바다가 기존에 가지고 있던 투자회사를 신기술사업금융회사(이하 신기사)로 전환하는 작업을 추진한다. 외부 기업에서 유치한 자금을 이용해 자회사의 자본금을 확충시켰다.

17일 금융감독원 전자공시시스템에 따르면 소리바다는 자회사인 윌인베스트먼트가 진행한 110억 원 규모 유상증자에 참여했다.

소리바다는 공시를 통해 ""윌인베스트먼트를 통해 기술금융사업에 진입할 예정""이라며 ""기존사업 지원을 통해 시너지도 창출할 것""이라고 전했다.

윌인베스트먼트는 소리바다의 자회사다. 소리바다는 지난 2012년 윌인베스트먼트에 20억 원을 출자해 지분 100%(40만 주)를 지니고 있었다. 2013회계년도 순이익 23억 원을 달성한 1년을 제외하곤 줄곧 적자를 기록하고 있다. 소리바다 내부적으로도 유명무실한 회사로 인식돼 있었다.

소리바다로 자금 유치를 통해 윌인베스트먼트는 신기사로 전환을 꾀하고 있다.

신기사는 중소기업청에 등록돼 있는 창업투자회사와는 다르다. 금융위원회에 등록신청을 한 후 승인을 받아 활동할 수 있는 벤처캐피탈이다. 투자를 할 수 있는 범위가 창업투자회사 보다 넓은 장점이 있다.

신기사를 설립하기 위해서 최소 자본금 200억 원이 필요하다. 다만 신기사의 자본금 충족요건을 100억 원으로 낮추는 법안이 지난 3일 국회를 통과해 공포를 앞두고 있다. 이 때문에 오는 9월 중순부터 신기사의 최소 필요 자본금은 100억 원으로 낮아지게 될 전망이다.

이는 윌인베스트먼트가 당장 신기사로 전환하기 위해서는 200억 원이 필요하다는 의미다. 기존 20억 원의 자본금과 110억 원의 유상증자 대금 외 추가로 70억 원이 더 필요한 셈이다.

소리바다 고위관계자는 ""조만간 윌인베스트먼트는 추가로 유상증자를 통해 자본금을 확충할 예정""이라고 전했다.

소리바다는 이번에 윌인베스트먼트로 투입하는 자금을 '피투피펀딩'이라는 업체에서 투자받았다. 지난 3일 신주인수권부사채(BW) 발행을 통해 110억 원을 투자받았고 이를 윌인베스트먼트 그대로 넣었다. 소리바다는 피투피펀딩에서 윌인베스트먼트로 흘러가는 자금의 중개 역할을 한 셈이다.

피투피펀딩은 지난 1월 설립된 신생업체다. 피투피펀딩의 박성미 대표와 손지연 감사는 오는 30일 개최되는 소리바다 정기 주총에서 소리바다의 이사와 감사로 추천될 예정이다. 이외 윤영배 엠제이비 대표도 소리바다의 이사로 추천돼 있다.

['생존 재테크' 백과사전 ""재테크를 부탁해"" ][부자들에게 배우는 성공 노하우 '줄리아 투자노트' ][내 삶을 바꾸는 정치뉴스 'the 300'][오늘 나의 운세는? '머니투데이운세' ][아찔한 girl~ 레이싱모델 핫포토 ]

박제언 기자

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
소리바다,부산일보,2016.05.09. 오후 2:21,"소리바다, 1분기 영업익 2억3천만원 '흑자전환'","소리바다(대표 손지현, 박성미)는 올 1분기 2억3000만원의 영업이익을 내 전년동기 대비 흑자전환에 성공했다고 9일 공시했다.
 
같은 기간 매출액은 96억4100만원으로 지난해보다 24.1% 늘어났으며, 당기순이익 또한 7억4300만원으로 흑자전환한 것으로 집계됐다. 
 
류세나 기자 cream53@

< 저작권자 ⓒ 부산일보(www.busan.com) 무단 전재 및 재배포 금지 >"
소리바다,연합뉴스,2016.05.09. 오후 2:23,"소리바다, 1분기 연결 영업익 2억…흑자전환","(서울=연합뉴스) 임수정 기자 = 소리바다는 연결 기준 올해 1분기 영업이익이 2억3천만원으로 전년 동기 대비 흑자전환했다고 9일 공시했다.

당기순이익도 7억4천만원의 흑자를 기록했다. 매출액은 96억원으로 24.1% 증가했다.

sj9974@yna.co.kr

▶ [핫클릭] 아이폰 보험료 7월 최대 50% 오른다… 월 7천원대

▶ [핫클릭] 술판으로 변한 집에서 성추행·폭행당한 삼남매

▶ [영상] 1호선 노량진역서 전동차 탈선

<저작권자(c) 연합뉴스, 무단 전재-재배포 금지>"
소리바다,머니투데이,2016.05.09. 오후 2:25,"소리바다, 1Q 영업익 2.3억 흑자전환","[머니투데이 진달래 기자] 소리바다가 9일 영업이익이 2억3000만원으로 전년동기 대비 흑자전환했다고 잠정실적을 공시했다. 당기순익도 흑자전환해 7억4300만원을 기록했다. 매출액은 24.1% 증가한 96억4100만원이다.

[이코노미스트들의 깊이있는 투자정보 'TOM칼럼'][부자들에게 배우는 성공 노하우 '줄리아 투자노트' ][내 삶을 바꾸는 정치뉴스 'the 300'][오늘 나의 운세는? '머니투데이운세' ][아찔한 girl~ 레이싱모델 핫포토 ]

진달래 기자 aza@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
소리바다,서울경제,2016.05.09. 오후 2:30,"소리바다, 1·4분기 흑자 전환","소리바다(053110)가 올해 1·4분기 흑자전환에 성공했다고 9일 공시했다.

소리바다의 이번 분기 영업이익과 당기순이익은 2억3,000억원, 7억4,300억원으로 전분기 대비 흑자로 전환했다. 회사의 1·4분기 매출은 전기 대비 43% 늘어난 96억4,100만원을 기록했다.

/박호현기자 greenlight@sedaily.com


▶ 차유람, 트와이스 다현과 다정한 인증샷 공개 “사랑스런 다현양과 우아하게 한 컷”
▶ '썸 타는' 특별한 뉴스~ '서울경제썸 페이스북' 바로가기~
▶ 돈이 보이는 뉴스 '서울경제 페이스북' ""좋아요 클릭클릭~""


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
소리바다,뉴시스,2016.05.09. 오후 2:40,"소리바다, 1분기 영업익 2.3억…흑자전환","【서울=뉴시스】최예린 기자 =소리바다(053110)는 연결재무제표 기준 올해 1분기 영업이익이 2억3000만원으로 전년 동기 대비 흑자전환했다고 9일 공시했다.

같은 기간 매출액은 96억4100만원으로 24.1% 늘었고 당기순이익은 7억4300만원으로 흑자전환했다.

yerin_choi@newsis.com

★ 세상에 이런일이 - 5살 남아 맹견 2마리에 물려 사망
★ 오늘의 핫 포토 - ´안산 토막살인범´ 조성호 얼굴·실명 공개


★ 뉴시스 뉴스, 이젠 네이버 뉴스 스탠드에서도 만나세요

★ 손 안에서 보는 세상, 모바일 뉴시스

<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
소리바다,한국경제,2016.05.09. 오후 2:42,"소리바다, 1분기 연결 영업이익 2억…흑자전환","[ 이민하 기자 ] 소리바다는 올해 1분기 연결 기준 영업이익이 전년 대비 흑자전환 한 2억3000만원으로 잠정 집계됐다고 9일 공시했다.

같은 기간 매출은 24.1% 증가한 96억4100만원, 지배기업 소유주 지분 순이익은 6억8400만원으로 흑자전환을 기록했다.

이민하 한경닷컴 기자 minari@hankyung.com


[한경닷컴 바로가기] [스내커] [한경+ 구독신청]
ⓒ '성공을 부르는 습관' 한경닷컴, 무단 전재 및 재배포 금지"
소리바다,이데일리,2016.05.09. 오후 2:43,"소리바다, 1Q 흑자전환…""연간 실적 턴어라운드 목표""","- 유료 매출 증가, 구조조정 효과… 해외 본격진출

[이데일리 이명철 기자] 음원스트리밍 서비스기업인 소리바다(053110)는 1분기 연결 기준 영업이익이 2억3000만원, 당기순이익 7억4300만원으로 전년동기대비 흑자전환했다고 9일 공시를 통해 밝혔다. 매출액도 같은 기간 24.1% 증가한 96억4100만원을 기록했다. 회사가 흑자를 나타낸 것은 4년여만에 처음이다. 연간으로는 2012~2015년 4년 연속 적자를 시현했다.

올해 초부터 적용되기 시작한 음원가격 상승을 배경으로 유료서비스 매출이 대폭 증가했고 구조조정 등을 통한 재무구조 개선 활동이 가시화되면서 실적이 개선된 것으로 회사는 풀이했다. 음원서비스인 밀크뮤직은 투자 단계를 지나 사용자 증가와 매출 신장이 이뤄지는 단계에 들어선 것으로 파악해 올해 본격 수익구조 개선이 이뤄질 것으로 기대했다.

또한 미국·중국·일본을 타깃으로 한류 음원 수출 사업을 추진 중으로 해외 진출 사업의 가시적 성과가 반영되면 하반기까지 매출이 이어질 것으로 예상했다.

회사 관계자는 “연간 실적 턴어라운드를 목표로 음원 해외수출 등 다양한 신사업들을 지속 확대 추진할 방침”이라고 전했다.



이명철 (twomc@edaily.co.kr)


[핫 클릭] [단독]뼈대·유리창 깨지는 국산헬기 수리온…안전성 논란
[핫 클릭] 돈이 되기 시작한 알뜰폰
[핫 포토] 트와이스 VS AOA `상큼+발랄` 그리고 섹시까지..'여신 몸매 따로없네'

＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
소리바다,헤럴드경제,2016.05.09. 오후 3:02,"소리바다, 1분기 영업익 2.3억…흑자전환","[헤럴드경제=박영훈 기자] 소리바다의 1분기 영업이익이 흑자전환했다.

소리바다는 연결재무제표 기준 1분기 영업이익이 2억3000만원으로 전년 동기 대비 흑자전환했다고9일공시했다.

같은 기간 매출액은 96억4100만원으로 24.1% 늘어난 것으로 나타났다.




당기순이익 역시 7억4300만원으로 흑자전환한 것으로 집계됐다.

park@heraldcorp.com



▶ “온순한 얼굴 조성호, 소시오패스 가능성”

▶ 이수나 중환자실 입원..“남편 때문에 극심한 우울증, 1년간…”

▶ [속보] 檢, 신현우 전 옥시 대표 재소환…“평생 참회하며 살겠다”



[국내최대 SKEC영어글쓰기대회] [청소년 영어신문 활용법] [외교관의 꿈,청소년 외교아카데미]
[헤럴드경제] [SUPERICH] [REAL FOODS] [헤럴드증권방송] [HOOC]

- Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
소리바다,아시아경제,2016.05.09. 오후 3:04,"소리바다, 올 1분기 영업익 2억원…전년비 흑자전환","[아시아경제 김원규 기자] 소리바다가 올해 1분기 연결 기준 영업이익이 전년 대비 흑자전환 한 2억3000만원으로 잠정 집계됐다고 9일 공시했다.

같은 기간 매출액은 24.1% 증가한 96억원을 기록했고, 지배기업 소유주 지분 순이익은 6억원으로 흑자전환했다.



김원규 기자 wkk0919@asiae.co.kr

▶ 주요 이슈의 재구성, 촌철살인 이미지 파일 '카드뉴스'
▶ 아시아경제 제휴, 무료 민간자격증 취득 이벤트
<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
