종목명,신문사,시간,제목,본문
엔케이바이오,머니투데이,2012.01.30. 오후 1:54,"엔케이바이오, 악성 림프종 신약 임상3상 환자등록 완료","[머니투데이 김명룡 기자][임상3상 환자 276명 등록…학회 통해 임상3상 중간발표 예정]
면역세포치료제 전문기업 엔케이바이오(대표 윤병규)는 식약청의 조건부 시판 허가를 받은 미만성 거대 B세포 림프암 치료제 'NKM(Natural Killer Mix cell)주'의 임상3상 시험 목표 환자 276명 전원에 대한 등록을 완료했다고 30일 밝혔다.
엔케이바이오는 2007년 9월에 임상3상에 돌입해 4년4개월 만에 환자 등록이 완료했다.
엔케이바이오의 악성 림프종에 대한 임상3상 시험의 경우 환자 모집 완료 후 3년간의 추적관찰 기간을 필요로 한다.
그러나 추적관찰 기간 중 임상 시험의 유효성을 입증할 만한 데이터를 확보하게 된다면 추적관찰 기간의 종료 시점과 상관없이 NKM주의 유효성을 조기에 입증할 수 있다는 것이 회사 측의 설명이다.
엔케이바이오가 연구개발 중인 림프암 치료제 NKM은 본인의 혈액 속 NK면역세포를 체외에서 1000배 이상 증강·활성화시킨 후 다시 체내로 투여해 주는 방식의 치료제다.
이 회사 윤병규 대표는 ""이번 임상3상 시험은 NK세포로 진행하는 세계 최대 규모의 임상시험""이라며 ""NKM주는 악성 림프암 뿐만 아니라 다른 고형암에도 적용 가능하기에 이미 임상시험이 시작된 비소폐암뿐만 아니라 또 다른 적응증에 대해서도 연구자 임상시험에 돌입할 계획""이라고 설명했다.
엔케이바이오는 올해 관련 학회를 통해 임상3상 시험에 대한 2차 중간 발표를 가질 예정이다.
이 회사는 2010년 일본에서 개최된 '제1회 국제세포치료학회 아시아태평양 지역회의'에서 NKM주에 대한 임상3상 시험 1차 중간 발표를 한 바 있다.
당시 NKM주 임상시험 연구 책임자인 서울성모병원 조석구 교수는 ""NKM주 투여를 완료한 시험 대상자 중 88.4%에서 종양이 완전 제거됐으며 부분 제거된 시험군을 포함하면 그 비율은 93%에 이른다""고 발표했다.
뿐만 아니라 항암제 치료 환자의 경우 혈구수 감소, 구토 증세 등의 부작용이 따르는 반면 NKM주 치료 환자의 경우 부작용이 거의 없었다고 발표했다.

[나도 부자가 될 수 있을까? 긴급 추천 스마트정보!]
[내손안의 스마트한 경제정보 머니투데이 모바일]
[관련 키워드] 엔케이바이오|NKM|면역세포|면역세포치료제

[관련기사]
☞ 엔케이바이오, ""지엘라파에 배양액조성기술 이전 완료""
☞ 엔케이바이오,""3년 적자행진 접고 흑자전환 기대""
☞ 엔케이바이오, CMO로 참여한 줄기세포藥 임상1상 완료


김명룡기자 dragong@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
엔케이바이오,매일경제,2012.01.30. 오후 2:06,"엔케이바이오 ""악성 림프종 임상3상 환자등록 완료""","면역세포 치료제 전문업체 엔케이바이오는 미만성 거대 B세포 림프암 치료제 'NKM주'의 유효성을 입증하기 위한 임상3상 시험 환자의 등록을 완료했다고 30일 밝혔다.
NKM주는 식품의약품안전청으로부터 최근 조건부 시판 허가를 취득한 바 있다.
윤병규 엔케이바이오 대표이사는 ""2007년 9월에 임상3상을 시작해 4년4개월 만에 환자 등록이 완료됐다""면서 ""엔케이바이오의 이번 임상3상이 NK세포로 진행하는 세계 최대 규모의 임상이기에 276명이라는 숫자가 갖는 의미는 남다르다""고 설명했다.
그는 ""임상의 규모적인 측면뿐 아니라 지난 2010년 가졌던 임상3상에 대한 중간 발표에서 보여준 고무적인 성과를 감안할 때 엔케이바이오의 임상3상이 국내외 바이오 업계에 시사하는 바는 매우 크다""면서 ""또한 NKM주는 악성 림프암뿐만 아니라 다른 많은 고형암에도 적용 가능하기에 이미 시작된 비소폐암뿐만 아니라 몇 개 더 추가적으로 연구자임상을 올해 진행할 예정""이라고 덧붙였다.
지난 2010년 엔케이바이오는 일본에서 개최된 '제1회 국제세포치료학회 아시아태평양 지역회의'에서 NKM주에 대한 치료현황 및 임상 3상에 대한 중간 발표를 가진 바 있다.
당시 NKM주 임상시험 연구 책임자인 서울성모병원 조석구 교수는 ""NKM주 투여를 완료한 시험 대상자 중 88.4%에서 종양이 완전 제거됐으며 부분 제거된 시험군을 포함하면 그 비율은 93%에 이른다""고 밝혀 의학계의 주목을 끌었다.
참고로 엔케이바이오는 올해도 관련 학회를 통해 임상3상에 대한 2차 중간 발표를 갖을 예정이다. 엔케이바이오의 '악성 림프종에 대한 임상 3상'의 경우 환자 모집 완료 후 3년간의 추적관찰 기간을 필요로 한다.
[김지형 기자]

▶ [화보] 공식석상에 나타난 나경원, 가공할만한 댄스 실력!

▶ 박근혜·안철수 등 대선주자 운세 살펴보니

▶ ‘숨은 끼’ 발산한 올스타, 젊고 화려해졌다

▶ 피겨퀸 김연아 `겨울 패션 눈부시네~`

▶ [화보] 전효성, 男心 후끈 초절정 섹시 웨이브

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
엔케이바이오,서울경제,2012.01.30. 오후 2:18,"엔케이바이오, 악성 림프종 임상3상 276명 환자등록 최종 완료","엔케이바이오는 식약청의 조건부 시판 허가를 받은 미만성 거대 B세포 림프암 치료제 ‘NKM주’의 유효성을 입증하기 위한 임상3상 시험 환자(276명) 등록을 완료했다고 30일 밝혔다. 2007년 9월에 임상3상을 시작해 꼭 4년 4개월 만에 환자 등록이 완료된 셈이다.

윤병규 대표이사는 “엔케이바이오의 이번 임상3상이 NK세포로 진행하는 세계 최대 규모의 임상이기에 276명이라는 숫자가 갖는 의미는 남다르다”고 설명했다.

그는 “임상의 규모적인 측면뿐 아니라 지난 2010년 가졌던 임상3상에 대한 중간 발표에서 보여준 고무적인 성과를 감안한다면 엔케이바이오의 임상3상이 국내외 바이오 업계에 시사하는 바는 매우 크다”며 “NKM주는 악성 림프암뿐만 아니라 다른 많은 고형암에도 적용 가능하기에 이미 시작된 비소폐암뿐만 아니라 몇 개 더 추가적으로 연구자임상을 올해 진행할 예정이다”고 말했다.

그는 이어 “이번 임상은 2상에 해당 되는 것이지만 유효성이 입증되면 바로 3상에 돌입할 예정이다” 고 덧붙였다.

지난 2010년 엔케이바이오는 일본에서 개최된 ‘제1회 국제세포치료학회 아시아태평양 지역회의’에서 NKM주에 대한 치료현황 및 임상 3상에 대한 중간 발표를 가졌다. 당시, NKM주 임상시험 연구 책임자인 서울 성모병원 조석구 교수는 “NKM주 투여를 완료한 시험 대상자 중 88.4%에서 종양이 완전 제거됐으며 부분 제거된 시험군을 포함하면 그 비율은 93%에 이른다”고 발표했다.

엔케이바이오는 올해도 관련 학회를 통해 임상3상에 대한 2차 중간 발표를 가질 예정이다. 윤 대표는 “중간 발표 역시 NKM주의 효능을 입증할 수 있는 객관적인 데이터가 나올 것이라 확신한다”며 중간 결과에 대한 자신감을 드러냈다.

한편, 엔케이바이오의 ‘악성 림프종에 대한 임상 3상’의 경우, 환자 모집 완료 후 3년간의 추적관찰 기간을 필요로 한다. 그러나 추적관찰 기간 중 99건의 이벤트 발생으로 임상 시험의 유효성을 입증할 만한 데이터를 확보하게 된다면 추적관찰 기간의 종료 시점과 상관없이 NKM주의 유효성을 조기에 입증할 수 있다.

[한국아이닷컴 인기기사]
☞ 그녀의 현란한 손놀림에 '눈뜨고 당했다'
☞ 유럽 홀린 '한국 소녀들' 미국 친다
☞ 갈비 굽던 하숙집 아줌마의 하소연
☞ 그들의 파워가 MB정권 실세도 눌렀다
☞ 집에서 키울 아이까지 어린이집으로…


[ⓒ 인터넷한국일보(www.hankooki.com), 무단 전재 및 재배포 금지]"
엔케이바이오,헤럴드POP,2012.01.30. 오후 2:21,<생생코스닥>엔케이바이오 “악성 림프종 임상3상 환자등록 최종 완료”,"면역세포치료제 전문기업 엔케이바이오(019260)는 식약청의 조건부 시판 허가를 받은 미만성 거대 B세포 림프암 치료제 ‘NKM주’의 유효성을 입증하기 위한 임상3상 시험 환자(276명) 등록을 완료했다고 30일 밝혔다. 2007년 9월에 임상3상을 시작해 4년 4개월 만에 환자 등록이 완료된 셈이다.

윤병규 엔케이바이오 대표는 “이번 임상3상이 NK세포로 진행하는 세계 최대 규모의 임상이기에 276명이라는 숫자가 갖는 의미는 남다르다”며 “NKM주는 악성 림프암뿐만 아니라 다른 많은 고형암에도 적용 가능하기에 이미 시작된 비소폐암뿐만 아니라 몇 개 더 추가적으로 연구자임상을 올해 진행할 예정이다. 이 연구자 임상은 2상에 해당 되는 것이지만 유효성이 입증되면 바로 3상에 돌입할 예정”이라고 말했다.

지난 2010년 엔케이바이오는 일본에서 개최된 ‘제1회 국제세포치료학회 아시아태평양 지역회의’에서 NKM주에 대한 치료현황 및 임상 3상에 대한 중간 발표를 가졌다. 당시 NKM주 임상시험 연구 책임자인 여의도 성모병원 조석구 교수는 “NKM주 투여를 완료한 시험 대상자 중 88.4%에서 종양이 완전 제거됐으며 부분 제거된 시험군을 포함하면 그 비율은 93%에 이른다”고 발표했다.

뿐만 아니라 항암제 치료 환자의 경우 혈구수 감소, 구토 증세 등의 부작용이 따르는 반면 NKM주 치료 환자의 경우 부작용이 거의 없었으며, 식욕감퇴와 활동력 저하 증상이 상당한 감소하는 등 삶의 질 개선 효과가 뚜렷해 환자의 치료 만족도가 우월한 것으로 나타났다고 회사측은 전했다.

엔케이바이오는 올해도 관련 학회를 통해 임상3상에 대한 2차 중간 발표를 가질 예정이다. 윤 대표는 “중간 발표 역시 NKM주의 효능을 입증할 수 있는 객관적인 데이터가 나올 것이라 확신한다”며 중간 결과에 대한 자신감을 나타냈다.

한편 엔케이바이오의 ‘악성 림프종에 대한 임상 3상’의 경우, 환자 모집 완료 후 3년간의 추적관찰 기간을 필요로 한다. 하지만 추적관찰 기간 중 99건의 이벤트 발생으로 임상 시험의 유효성을 입증할 만한 데이터를 확보하게 된다면, 추적관찰 기간의 종료 시점과 상관없이 NKM주의 유효성을 조기에 입증할 수 있다.

신수정 기자/ssj@heraldm.com

[오늘의 인기기사]
◆ 티아라 화영 방송중 노출사고…SNS 사과글은 사칭글?
◆ 미모여성 신체 이용 '에로밀수' 성행
◆ 아이들 눈에 보이는 세상…네티즌 공감 100%
◆ 무한도전 김태호 PD 사과 ""전적으로 우리 잘못""
◆ 식사 한끼 180만원…남성 유혹한 '레스토랑 꽃뱀'
- 헤럴드 생생뉴스 Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
엔케이바이오,아시아경제,2012.01.30. 오후 2:54,"엔케이바이오, 악성 림프종 임상3상 환자등록 최종 완료","[아시아경제 송화정 기자]면역세포치료제 전문기업 엔케이바이오는 식약청의 조건부 시판 허가를 받은 미만성 거대 B세포 림프암 치료제 'NKM주'의 유효성을 입증하기 위한 임상3상 시험 환자 276명 등록을 완료했다고 30일 밝혔다. 지난 2007년 9월에 임상3상을 시작해 꼭 4년4개월 만에 환자 등록이 완료된 셈이다.

윤병규 대표이사는 ""엔케이바이오의 이번 임상3상이 NK세포로 진행하는 세계 최대 규모의 임상이기에 276명이라는 숫자가 갖는 의미는 남다르다""며 ""임상의 규모뿐 아니라 지난 2010년 가졌던 임상3상에 대한 중간 발표에서 보여준 고무적인 성과를 감안한다면 엔케이바이오의 임상3상이 국내외 바이오 업계에 시사하는 바는 매우 크다고 생각한다. 또한 NKM주는 악성 림프암뿐만 아니라 다른 많은 고형암에도 적용 가능하기에 이미 시작된 비소폐암 외에 몇 개 더 추가적으로 연구자임상을 올해 진행할 예정이다. 이 연구자 임상은 2상에 해당 되는 것이지만 유효성이 입증되면 바로 3상에 돌입할 예정""이라고 설명했다.

지난 2010년 엔케이바이오는 일본에서 개최된 '제1회 국제세포치료학회 아시아태평양 지역회의'에서 NKM주에 대한 치료현황 및 임상 3상에 대한 중간발표를 가졌다. 당시 NKM주 임상시험 연구 책임자인 서울 성모병원 조석구 교수는 ""NKM주 투여를 완료한 시험 대상자 중 88.4%에서 종양이 완전 제거됐으며 부분 제거된 시험군을 포함하면 그 비율은 93%에 이른다""고 발표했다.

엔케이바이오는 올해도 관련 학회를 통해 임상3상에 대한 2차 중간발표를 가질 예정이다. 윤 대표는 ""중간발표 역시 NKM주의 효능을 입증할 수 있는 객관적인 데이터가 나올 것이라 확신한다""며 중간 결과에 대한 자신감을 드러냈다.

엔케이바이오의 악성 림프종에 대한 임상 3상의 경우 환자 모집 완료 후 3년간의 추적관찰 기간을 필요로 한다. 그러나 추적관찰 기간 중 99건의 이벤트 발생으로 임상 시험의 유효성을 입증할 만한 데이터를 확보하게 된다면 추적관찰 기간의 종료 시점과 상관없이 NKM주의 유효성을 조기에 입증할 수 있다.

[모바일] 언제어디서나 만날 수 있는 내 손안의 아시아경제

[아시아경제 SNS] 부자되는 뉴스~ 친구와 공유하세요!

송화정 기자 yeekin77@

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>

[관련기사]

▶ '해품달' 김수현 얼마나 떴으면 벌써부터…

▶ ""아이폰5 화면 커졌는데…"" 디자인 '대충격'

▶ ""20년 회장님 모신 '여비서' 연봉이 설마…""

▶ 인삼다당체 항암면역 증강작용..암극복 '새 희망'

▶ ""나오면 초대박"" '갤럭시S3' 뜸들이는 건…"
엔케이바이오,디지털타임스,2012.01.30. 오후 6:57,"엔케이바이오, 악성림프종 치료제 임상3상 환자 등록 완료","엔케이바이오는 최근 식품의약품안전청에서 조건부 시판 허가를 받은 `미만성 거대 B세포 림프암' 치료제 `NKM'의 유효성 입증을 위한 제3상 임상시험 환자 등록을 완료했다고 30일 밝혔다.

엔케이바이오에 따르면 2007년 9월에 임상3상을 시작해 4년4개월만에 환자 등록이 완료됐다. 회사측은 이번에 등록된 환자는 총 276명으로 NK세포(Natural Killer Cellㆍ암세포만 죽이는 자연살해세포)로 진행하는 세계 최대 규모의 임상시험이라고 설명했다.

임상3상은 등록이 완료된 환자를 대상으로 3년간 추적 관찰해 실시된다. 이 기간 중 99건의 사례가 발생, 임상시험의 유효성을 입증하는 자료를 확보하게 되면 추적관찰 종료 시점과 상관없이 NKM의 유효성을 조기에 입증할 수 있다.

엔케이바이오는 지난해 일본에서 열린 `제1회 국제세포치료학회 아시아태평양 지역회의'에서 NKM 임상3상에 대한 첫 중간 발표를 가진 바 있다. 발표에 따르면 NKM 투여를 완료한 시험 대상자 중 88.4%에서 종양이 완전히 제거됐다. 회사는 올해 관련 학회를 통해 임상3상에 대한 2차 중간 발표를 가질 예정이다.

윤병규 엔케이바이오 대표는 ""NKM 임상3상은 NK세포로 진행하는 세계 최대 규모의 임상""이라며 ""임상3상 2차 중간발표에서도 NKM의 효과를 입증할 객관적인 자료가 나올 것으로 확신한다""고 말했다.

이연호기자 dew9012@

< Copyrights ⓒ 디지털타임스 & dt.co.kr, 무단 전재 및 재배포 금지 >

이연호

dew9012@"
엔케이바이오,세계일보,2012.01.31. 오전 9:12,"[특징주] 엔케이바이오, 임상3상 환자 등록에 상승","[세계파이낸스]
엔케이바이오가 악성림프종 임상 3상 환자 등록 완료 소식에 상승세다.

31일 오전9시5분 현재 엔케이바이오는 전일대비 6.90% 오른 1705원에 거래되고 있다. 전날 상한가를 기록한데 이어 이틀째 상승세다.

전날 엔케이바이오는 식약청의 조건부 시판 허가를 받은 미만성 거대 B세포 림프암 치료제 'NKM주'의 유효성을 입증하기 위한 임상3상 시험 환자 276명 등록을 완료했다고 밝혔다.

유병철 세계파이낸스 기자 ybsteel@segyefn.com
[Segye.com 인기뉴스]
◆ ""6살 아들이 죽었습니다"" 눈물의 절규… 사연은?
◆ ""대기업 '문어발 공세'에…골목상권 다 죽어요""
◆ 팔순노인, 여섯자식 버림받고…딸 집앞에 노숙
◆ 원룸서 50대女 사망하자 굶주린 반려견 그만…
◆ 다문화가정 아이들에게 희망의 등불
[ⓒ 세계파이낸스 & Segye.com, 무단 전재 및 재배포 금지]
세계일보 [지면보기] [스마트캠페인] [트위터/페이스북/미투데이]
<세계닷컴은 한국온라인신문협회(www.kona.or.kr)의 디지털뉴스이용규칙에 따른 저작권을 행사합니다.>"
엔케이바이오,매일경제,2012.02.15. 오전 10:36,"엔케이바이오, 배양액 기술 이전잔금 12억 수령 완료","중동진출에 따른 대량생산 설비 준비 추진
엔케이바이오는 지엘라파로부터 배양액조성기술 이전에 따른 잔금 12억을 수령했다고 15일 밝혔다.
지난해 11월 엔케이바이오는 지엘라파와 '세포배양액 조성 및 제조기술 이전'에 대한 계약을 체결한 바 있으며, 올해 1월 기술 이전을 최종 완료해 세포배양액 대량 생산을 위한 만반의 준비를 마친 상태다.
윤병규 엔케이바이오 대표는 ""2009년부터 국내 NKM주에 대한 수요가 매년 꾸준히 증가하는 추세""라면서 ""또한 메디넷으로의 기술 이전이 완료되고 지엘라파와 추진 중인 중동 지역 내 세포치료 사업이 본격화 됨에 따라 NKM주 수요의 급격한 증가를 대비해야 했다""고 말했다.
엔케이바이오는 대량 생산이 가능해짐에 따라 NKM주 생산 단가의 20%를 차지했던 세포배양액 비용을 대폭 줄일 수 있게 돼 원가 절감 효과 또한 가져올 것으로 예상된다.
이와 별도로 엔케이바이오가 수령한 잔금 12억은 지난해 회계결산에 포함돼 애초 예상됐던 엔케이바이오의 턴어라운드(흑자전환) 전망에 도움이 될 것으로 기대되고 있다.
[김지형 기자]

▶ [화보] 임성한 작가 집 가 보니...`곳곳에 방범용 CCTV`

▶ 제약업계 20대 `얼짱女`, 금뺏지에 푹 빠져…

▶ ‘또 결장’ 박주영, 밀라노 원정 멤버 제외

▶ 동부, 위대한 수비로 불멸의 기록 쓰다

▶ [화보] 올 FW패션쇼 휩쓴 `노출` 시스루 룩

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
엔케이바이오,헤럴드POP,2012.02.15. 오전 10:41,"<생생코스닥>엔케이바이오, 배양액 기술 이전 잔금 12억원 수령 완료","엔케이바이오(019260)는 지엘라파로부터 배양액조성기술 이전에 따른 잔금 12억원을 수령했다고 15일 밝혔다.

엔케이바이오는 지난해 11월 지엘라파와 ‘세포배양액 조성 및 제조기술 이전’에 대한 계약을 체결한 바 있으며, 올해 1월 기술 이전을 최종 완료해 세포배양액 대량 생산을 위한 준비를 마친 상태다.

윤병규 엔케이바이오 대표는 “2009년부터 국내 NKM주(면역세포치료제)에 대한 수요가 매년 꾸준히 증가하는 추세다. 또 메디넷으로의 기술 이전이 완료되고 지엘라파와 추진 중인 중동 지역 내 세포치료 사업이 본격화 됨에 따라 NKM주 수요의 급격한 증가를 대비해야 했다”고 밝혔다.

회사측은 대량 생산이 가능해짐에 따라 NKM주 생산 단가의 20%를 차지했던 세포배양액 비용을 대폭 줄일 수 있게 돼 원가 절감 효과가 나타날 것으로 기대하고 있다.

한편 엔케이바이오가 수령한 잔금 12억원은 전년도 회계결산에 포함돼 애초 예상됐던 엔케이바이오의 턴어라운드를 뒷받침할 전망이다.

신수정 기자/ssj@heraldm.com


[오늘의 인기기사]
◆ '합성누드' 장윤정 분노…""난 웃지만 범인은 웃지 못하게 할 것""
◆ 김유정 졸업사진 ""초등학생의 미모에 반하다?""
◆ 문재인 7000원짜리 이발 '화제'…""소박하고 시원하겠네요""
◆ 지숙 전 남친 공개…""5인조 아이돌…누구?""
◆ 이동원 대마초 흡연 검거…경찰 구속영장 신청
- 헤럴드 생생뉴스 Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
엔케이바이오,아시아경제,2012.02.15. 오전 10:49,"엔케이바이오, 배양액 기술 이전 잔금 12억 수령 완료","[아시아경제 송화정 기자]엔케이바이오는 지엘라파로부터 배양액조성기술 이전에 따른 잔금 12억을 수령했다고 15일 밝혔다.

지난 해 11월 엔케이바이오는 지엘라파와 '세포배양액 조성 및 제조기술 이전'에 대한 계약을 체결한 바 있으며 올해 1월에는 기술 이전을 최종 완료해 세포배양액 대량 생산을 위한 만반의 준비를 마친 상태다.

윤병규 대표는 ""2009년부터 국내 NKM주에 대한 수요가 매년 꾸준히 증가하는 추세다. 또한 메디넷으로의 기술 이전이 완료되고 지엘라파와 추진 중인 중동 지역 내 세포치료 사업이 본격화 됨에 따라 NKM주 수요의 급격한 증가를 대비해야 했다""며 세포배양액 대량 생산을 추진하게 된 배경을 설명했다.

회사측은 대량 생산이 가능해짐에 따라 NKM주 생산 단가의 20%를 차지했던 세포배양액 비용을 대폭 줄일 수 있게 돼 원가 절감 효과 또한 가져올 것으로 보고 있으며 이와 별도로 엔케이바이오가 수령한 잔금 12억은 전년도 회계결산에 포함돼 턴어라운드에 쐐기를 박을 수 있을 것으로 기대하고 있다.

[모바일] 언제어디서나 만날 수 있는 내 손안의 아시아경제

[증권방송] 2012년 투자 종목의 핵심은 바로...

송화정 기자 yeekin77@

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>

[관련기사]

▶ ""한국에서 더 비싼건…"" 노스페이스 입 열다

▶ ""현빈은 평소에 너무…"" 탕웨이 전격 폭로

▶ ""유재석이 돈 잘 벌어오지만…"" 그녀의 고백

▶ 인삼다당체 항암면역 증강작용.. 암극복 '새 희망'

▶ ""최고 한류스타는 '소녀시대' 일 줄 알았는데…"""
