종목명,신문사,시간,제목,본문
휴먼텍코리아,머니투데이,2012.06.29. 오후 2:49,"휴먼텍코리아, 40억 규모 공사 수주","[머니투데이 김하늬 기자]휴먼텍코리아는 29일 한국토지주택공사가 발주한 40억3300만원 규모의 평택소사벌 A3BL 아파트 건설공사 3공구 수주계약을 체결했다고 공시했다.
이는 지난해 매출액의 2.8% 규모로 공사기간은 2014년 7월21일까지다.


[머니투데이 핫뉴스]
☞ 집값 또 폭락? ""조만간 500만명 집 팔려고…""
☞ 유튜브 '2조 대박男' 지금 허름한 사무실서…
☞ ""3인이상 안받아"" 봉천동 그 식당 그래도 줄서?
☞ 원더걸스 선예의 '쏘울' 매물로… 가격이?
☞ '손만 잡고 잘게' 남친 문자, 속뜻은? ""멘붕""

김하늬기자 honey@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
휴먼텍코리아,아시아경제,2012.06.29. 오후 2:50,"휴먼텍코리아, 40억원 건설공사 수주","[아시아경제 이지은 기자]코스닥 상장기업 휴먼텍코리아는 한국토지공사와 평택소사벌 A3BL 아파트 건설공사 3공구에 대한 공사 계약을 체결했다고 29일 공시했다.

계약금액은 40억원이며 최근 매출액 대비 2.8%에 달한다.

이지은 기자 leezn@

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>

[관련기사]

▶ '이하늬 충격영상' 뜨고 일 커지자 돌연…

▶ 수억 벌던 '김무열' 살던 판자촌이…'경악'

▶ ""사장님이 어느날…"" 편의점 알바 '여대생' 충격적 폭로

▶ 인삼 다당체 진산 항암면역 증강작용 탁월! 암극복!!

▶ ""여자들 '짧은치마' 입더니 진짜 이런 일이"""
휴먼텍코리아,한국경제,2012.06.29. 오후 2:56,"휴먼텍코리아, LH공사와 40억 건설공사 계약","휴먼텍코리아은 29일 한국토지주택공사(LH공사)와 40억3300만원 규모의 평택소사벌 A3BL 아파트 건설공사 계약을 체결했다고 공시했다.

이번 계약 금액은 지난해 매출액 대비 2.8%에 해당하며 계약기간은 이날부터 2014년 7월 21일까지다.

한경닷컴 양현도 기자 yhd0321@hankyung.com

▶ '신혼부부' 문자 대화 봤더니…""짜증 울컥""

▶ `혹시 바람피는거 아니야?` 카톡 몰래 보는 법

▶ 아오이 소라 '포르노 영화' 도심서 아찔한 노출

▶ ""강간하고 있는 중"" 페이스북 대화에 '등골 오싹'

▶ [화보] '압구정 가슴녀' 비키니 몸매 공개

[한국경제 구독신청] [온라인 기사구매] [한국경제 모바일 서비스]

ⓒ <성공을 부르는 습관> 한경닷컴, 무단 전재 및 재배포 금지

<한국온라인신문협회의 디지털뉴스이용규칙에 따른 저작권을 행사합니다>"
휴먼텍코리아,매일경제,2012.06.29. 오후 2:58,"[공시] 휴먼텍코리아, 40억 규모 아파트 건설공사 수주","휴먼텍코리아는 한국토지주택공사로부터 40억3358만원 규모 평택 소사벌 A3BL 아파트 건설공사를 수주했다고 29일 공시했다.
이번 계약금액은 지난해 매출액 대비 2.8% 규모다.
[이용건 기자]

▶ [베스트클릭 화보] 강예빈, 핫핑크 비키니 자태 `섹시종결자`

▶ [Real Estate] 오피스텔·빌딩투자 `실탄` 부족한데…목 좋은 벌집주택 노려라

▶ 강윤이, `그래요, 저 글래머예요~`

▶ 에일리, `반전 섹시백~`

▶ [베스트클릭 화보] 세계 최고의 가슴 1위, 섹시스타 킬리 하젤

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
휴먼텍코리아,헤럴드POP,2012.06.29. 오후 3:06,"＜생생코스닥＞휴먼텍코리아, 40억 규모 아파트 건설공사 계약","휴먼텍코리아는 한국토지주택공사와 40억3358만원 규모의 평택소사벌 A3BL 아파트 건설공사 3공구 계약을 체결했다고 29일 공시했다.

이는 지난해 매출액 대비 2.8%에 해당되며 계약기간은 2014년 7월 21일까지이다.

[오늘의 인기기사]
◆ 윤진서, 약물 과다복용 응급치료…자살시도 여부는 확인 안돼
◆ 남자문자 속뜻 vs 여자 문자 속뜻…여자는 웬만해선 ‘사줘’
◆ 박지민 이하이 최근, 볼살 실종…“데뷔해도 되겠어”
◆ 철없는 초등학생, 람보르기니 밟고 소변보고…
◆ 성추행 의대생 실형 확정 “신상정보 3년간 인터넷 공개”
- 헤럴드 생생뉴스 Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
휴먼텍코리아,세계일보,2012.07.03. 오전 9:09,"[특징주] 휴먼텍코리아, 공사 수주 소식에 이틀째 상승세","[세계파이낸스]휴먼텍코리아가 40억원 규모의 아파트 건설공사를 계약했다는 소식에 이틀째 상승세다.

3일 오전9시4분 현재 휴먼텍코리아는 가격제한폭까지 오른 747원에 거래되고 있다.

지난달 29일 휴먼텍코리아는 한국토지주택공사와 40억3358만원 규모의 평택소사벌 A3BL 아파트 건설공사 3공구 계약을 체결했다고 공시했다. 이는 지난해 매출액 대비 2.8%에 해당되며 계약기간은 2014년 7월 21일까지다.



유병철 세계파이낸스 기자 ybsteel@segyefn.com
[Segye.com 인기뉴스]
◆ 아이 화상입힌 국물녀 ""오히려 내가 피해자""
◆ 6일만에 관속서 '부활'… 다시 살아난 노인
◆ 여관서 자고 일어나보니 '신장 강탈' 황당
◆ '과다 노출' 톱모델에 벌금 ""춤추다 가슴이…""
◆ 추위에 가장 강한 동물 1위 북극곰, 2위 펭귄, 3위는?
[ⓒ 세계파이낸스 & Segye.com, 무단 전재 및 재배포 금지]
세계일보 [자동차전문섹션] [스마트캠페인] [트위터/페이스북/미투데이]
<세계닷컴은 한국온라인신문협회(www.kona.or.kr)의 디지털뉴스이용규칙에 따른 저작권을 행사합니다.>"
휴먼텍코리아,한국경제,2012.07.04. 오전 10:28,"휴먼텍코리아, 495억 공장 신축공사 계약","휴먼텍코리아는 4일 아드반테스트코리아와 495억원 규모의 천안신공장 신축공사 계약을 체결했다고 공시했다.

이번 계약금액은 지난해 매출 대비 34.9%에 해당하며 계약기간은 오는 12월 20일까지다.

한경닷컴 양현도 기자 yhd0321@hankyung.com

▶ '신혼부부' 문자 대화 봤더니…""짜증 울컥""

▶ `혹시 바람피는거 아니야?` 카톡 몰래 보는 법

▶ 아오이 소라 '포르노 영화' 도심서 아찔한 노출

▶ ""강간하고 있는 중"" 페이스북 대화에 '등골 오싹'

▶ [화보] '압구정 가슴녀' 비키니 몸매 공개

[한국경제 구독신청] [온라인 기사구매] [한국경제 모바일 서비스]

ⓒ <성공을 부르는 습관> 한경닷컴, 무단 전재 및 재배포 금지

<한국온라인신문협회의 디지털뉴스이용규칙에 따른 저작권을 행사합니다>"
휴먼텍코리아,머니투데이,2012.07.04. 오전 10:30,"휴먼텍코리아, 495억 규모 공사 수주","[머니투데이 김하늬 기자]휴먼텍코리아는 4일 아드반테스트코리아가 발주한 495억 규모의 천안신공장 신축공사를 수주했다고 공시했다.
이는 지난해 매출액의 34.9%에 달하는 규모로 공사기간은 12월20일까지다.


[머니투데이 핫뉴스]
☞ 10년전 태풍 '매미'덕에…19살 청년, 100억!
☞ 월급300만 김과장, 빚내서 산 집때문에 결국…
☞ ""인천공항 매각, 현 정권 실세 친척들이…""
☞ 여직원 ""민감한 곳 찔려 성추행"", CCTV 봤더니..
☞ ""4년탄 벤츠 수리비, 쏘나타 한대값이 웬말?""

▶개미들을 위한 증권방송[증권show]
김하늬기자 honey@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
휴먼텍코리아,아시아경제,2012.07.04. 오전 10:33,"휴먼텍코리아, 495억 공사 계약","[아시아경제 최대열 기자]휴먼텍코리아는 495억원 상당의 아드반테스트코리아 천안신공장 신축공사를 수주했다고 4일 공시했다.

최대열 기자 dychoi@

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>

[관련기사]

▶ 난리 난 '이하늬 영상' 논란 뒤엎은 충격 고백

▶ '걸그룹 A양' 과거사진 '파문' 나자 황급히

▶ ""최윤영이 돈 훔친 김모씨 이제와 하는 말이""

▶ 인삼 다당체 진산 항암면역 증강작용 탁월! 암극복!!

▶ '이하늬 충격영상' 뜨고 일 커지자 돌연…"
휴먼텍코리아,헤럴드POP,2012.07.04. 오전 10:36,"<생생코스닥>휴먼텍코리아, 495억 규모 공사 수주","휴먼텍코리아는 4일 아드반테스트코리아와 495억원 규모의 아드반테스트코리아 천안신공장 신축공사 계약을 체결했다고 공시했다.

이는 2011년 매출액 대비 34.9%에 해당하는 규모이다.

계약기간은 오는 12월 20일까지이다.

[오늘의 인기기사]
◆ ‘신일고 선후배’ 나지완 vs 김현수, 벤치클리어링 후 험악한 말다툼?
◆ 텅 빈 하늘에 갑자기 불기둥…유성? UFO?
◆ 필리핀 ‘식인악어’, 명실상부 세계 최대 ‘괴물’ 등극
◆ 새폴더 계속 만들면…주인 잘못 만나 고생 “그만 좀 하지?”
◆ 아이비, 대선배 인순이에게 “네가 뭔데!” 하극상?
- 헤럴드 생생뉴스 Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
휴먼텍코리아,파이낸셜뉴스,2012.07.04. 오전 10:43,"휴먼텍코리아, 495억 규모 공사 수주","휴멘텍코리아는 4일 아드반테스트코리아와 495억원 규모의 천안 신공장 신축공사 공급계약을 체결했다고 공시했다.

이는 지난해 매출액 대비 34.9%에 해당하는 규모다.
kiduk@fnnews.com 김기덕 기자



■ 오늘의 핫뉴스
▶ MS, 구글 잡으려다…7조원 날려
▶ 위조신분증으로 타인 예금 인출
▶ 초등 4년 아파트 투신..가족·친구에 편지 남기고
▶ 육군사병 외출 일수 10일→31일로 확대
▶ 굶지 않고 먹으면서 살빼는 ‘신개념 다이어트’ 인기


※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
