종목명,신문사,시간,제목,본문
오리엔탈정공,아시아경제,2014.10.30. 오후 1:34,"오리엔탈정공, 176억원 규모 공급 계약 체결","[아시아경제 유제훈 기자] 오리엔탈정공은 현대중공업과 176억원 규모의 공급 계약을 체결했다고 27일 공시했다.

이는 최근 매출액의 10%에 해당하는 액수다.

유제훈 기자 kalamal@asiae.co.kr

▶ 아시아경제 기획특집 韓 주변 리더십 大충돌 ""아베vs시진핑""[루머앤진실] [네티즌핫이슈] [골프뉴스] [부동산소식] [자동차정보]

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
오리엔탈정공,한국경제,2014.10.30. 오후 1:37,"오리엔탈정공, 현대중공업과 176억 공급계약 체결","[ 정현영 기자 ] 오리엔탈정공은 30일 현대중공업과 176억원 규모의 LIVING QUARTERS 공급계약을 맺었다고 공시했다. 계약기간은 2015년 10월 30일까지다.

한경닷컴 정현영 기자 jhy@hankyung.com

[한경+ 구독신청] [기사구매] [모바일앱] [기사보다 빠른 주식정보 , 슈퍼개미 APP] ⓒ '성공을 부르는 습관' 한경닷컴, 무단 전재 및 재배포 금지"
오리엔탈정공,머니투데이,2014.10.30. 오후 1:39,"오리엔탈정공, 현대重과 176억원 규모 공급계약","[머니투데이 이해인 기자]오리엔탈정공은 30일 현대중공업과 176억원 규모의 리빙 쿼터스 공급계약을 체결했다고 공시했다. 이는 최근 매출액 대비 10%에 해당한다.

[내 삶을 바꾸는 정치뉴스 'the 300' 바로가기]['스페셜 걸' 포토][손안의 경제뉴스 머니투데이 모바일웹]['취업의 모든 것' 잡드림 ]

이해인기자 hilee@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
오리엔탈정공,머니투데이,2014.10.30. 오후 2:10,"[특징주]오리엔탈정공, 현대重 176억 규모 계약에 '上'","[머니투데이 이해인 기자]오리엔탈정공의 주가가 현대중공업과 대규모 공급계약 체결 소식에 상한가로 치솟았다.

30일 오후 2시7분 현재 오리엔탈정공의 주가는 상한 제한폭까지 치솟은 794원을 기록하고 있다.

이날 오리엔탈정공은 현대중공업과 176억원 규모의 리빙 쿼터스 공급계약을 체결했다고 공시했다. 이는 최근 매출액 대비 10%에 해당한다.

[내 삶을 바꾸는 정치뉴스 'the 300' 바로가기]['스페셜 걸' 포토][손안의 경제뉴스 머니투데이 모바일웹]['취업의 모든 것' 잡드림 ]

이해인기자 hilee@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
오리엔탈정공,헤럴드경제,2014.10.30. 오후 2:42,"<생생코스닥>오리엔탈정공, 현대중공업과 176억 규모 공급계약","오리엔탈정공은 현대중공업과 176억원 규모의 LIVING QUARTERS 공급계약을 체결했다고 30일 공시했다.

이는 2013년 매출액 대비 10%에 해당하며 계약기간은 2015년 10월 30일까지다.



[헤럴드경제 뉴스스탠드] [헤럴드스탁마켓] [제3회 코리아헤럴드 청소년 외교아카데미]

[헤럴드경제 모바일 웹] [헤럴드경제 모바일앱] [SUPERICH] [REAL FOODS]



- Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
오리엔탈정공,한국경제,2014.11.28. 오후 2:27,"오리엔탈정공, 박세철 대표 신규 선임","[ 노정동 기자 ] 오리엔탈정공은 사임에 따른 신규선임으로 대표이사가 서상원에서 박세철로 변경됐다고 28일 공시했다.

한경닷컴 노정동 기자 dong2@hankyung.com

[한경+ 구독신청] [기사구매] [모바일앱] [기사보다 빠른 주식정보 , 슈퍼개미 APP] ⓒ '성공을 부르는 습관' 한경닷컴, 무단 전재 및 재배포 금지"
오리엔탈정공,머니투데이,2014.11.28. 오후 2:29,"오리엔탈정공, 박세철 대표 선임","[머니투데이 정인지 기자]오리엔탈정공은 서상원 대표이사가 사임해 박세철 대표이사를 선임했다고 공시했다.
[내 삶을 바꾸는 정치뉴스 'the 300' 바로가기]['스페셜 걸' 포토][손안의 경제뉴스 머니투데이 모바일웹]['취업의 모든 것' 잡드림 ]

정인지기자 injee@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
오리엔탈정공,아시아경제,2014.11.28. 오후 2:30,"오리엔탈정공, 대표이사 서상원→박세철 변경","[아시아경제 고형광 기자] 오리엔탈정공은 서상원 대표이사의 사임으로 박세철 이사를 새 대표이사 선임했다고 28일 공시했다.

고형광 기자 kohk0101@asiae.co.kr

▶ 아시아경제 기획특집 韓 주변 리더십 大충돌 ""아베vs시진핑""[루머앤진실] [네티즌핫이슈] [골프뉴스] [부동산소식] [자동차정보]

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
오리엔탈정공,조선비즈,2014.11.28. 오후 2:39,"오리엔탈정공, 박세철 대표이사 신규 선임","오리엔탈정공(014940)은 서상원 대표이사의 사임으로 박세철 대표이사가 신규 선임됐다고 28일 공시했다.

[전효진 기자 olive@chosun.com]

chosunbiz.com"
오리엔탈정공,이데일리,2014.12.23. 오후 2:43,"오리엔탈정공, 내년 매출액 1500억원","[이데일리 정병묵 기자] 오리엔탈정공(014940)은 내년 매출액 목표가 1500억원이라고 23일 공시했다. 신규 수주액은 2060억원 규모다.

정병묵 (honnezo@edaily.co.kr)


[종합 경제 뉴스 이데일리 모바일 웹][이데일리 TV][이데일리 ON][MP트래블러][마켓포인트][투자정보 앱 투자플러스][이데일리 창업]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
