종목명,신문사,시간,제목,본문
아이이,파이낸셜뉴스,2016.10.10. 오전 10:37,[fnRASSI]아이이(023430) 현재 5.79% ↑,"아이이(023430)는 현재 주가가 전일 대비 5.79% 상승한 986원 선에서 거래가 이루어지고 있다.
외국인과 기관은 순매도, 개인은 순매수(한달누적)
전일 외국인이 45,602주를 순매도했다. 4주간을 기준으로 보면 외국인이 849,701주를 순매도했고, 기관도 매도 후 관밍의 패턴을 보이며 1주를 순매도했지만, 개인은 오히려 초반에 동종목을 순매수한 이후에 기세를 이어가며 849,702주를 순매수했다.

다음은 아이이의 최근 사업에 대한 내용이다.
- 동사는 주유소사업은 급유시설을 갖추고 차량용 액체연료인 휘발유, 경유, 등유 등의 석유제품을 판매하는 차량용 주유소를 운영하는 사업으로 국내 5대 정유사를 중심으로 직영대리점과 일반대리점을 통해 직영, 자영주유소가 국내시장 수요자만을 대상으로 판매, LPG사업을 영위함. 2014년 1월 20일 NASA, HP, 중국 BJEV 등에 배터리를 공급하는 미국 Boston-Power사와 총판대리점 계약을 시작으로 EV배터리 사업에 진출함.

- 동사는 사업 역량 집중을 위하여 지문인식 사업부 매각 등 사업구조가 재편된 가운데, 에너지 사업부 수주 감소하는 등 상반기 매출은 전년동기대비 40.8% 외형 축소함. 판관비 부담이 다소 완화되었지만 영업이익 및 당기순이익은 적자전환함. 유럽, 미국, 중국을 중심으로 친환경 전기자동차 시장을 지속적으로 성장하고 있으며 EV 사업을 영위하는 동사는 신규설비 신설, 매입, 마케팅 전략 등을 재검토 할 예정임.



'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI


▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
아이이,헤럴드경제,2016.10.28. 오전 11:11,"아이이, 모바일 광고 마케팅 사업 진출","[헤럴드경제=양영경 기자] 코스닥 상장사 아이이는 최근 인수한 모바일 광고플랫폼 기업 스마트포스팅을 통해 모바일 광고마케팅 사업에 본격적으로 뛰어들겠다고 28일 밝혔다.

아이이 측은 “모바일 광고마케팅 사업을 신성장동력으로 삼고 향후 미국과 홍콩, 중국, 대만 등 글로벌 시장에도 진출할 계획”이라며 “스마트포스팅의 소셜네트워크서비스(SNS)를 통한 모바일 마케팅의 미래 성장성이 기대된다”고 말했다.

스마트포스팅은 지난 2012년 설립된 모바일 광고 마케팅 플랫폼이다.

인플루언서를 활용한 비보상형 CPA(Cost Per Action) 앱 마케팅을 진행해 올해 상반기 매출 40억원을 달성했다.

스마트포스팅 앱은 단순 보상형 앱과 달리 이용자의 직접 참여와 콘텐츠 제작이 이뤄진다.

현재 미국의 튠(Tune), 앱스플라이어(AppsFlyer)등 다수의 트레킹 업체와 제휴를 맺고 정보 제공에 나서고 있다.

스마트포스팅은 지난 9월 미국 현지법인 설립을 완료해 사업을 준비하고 있다.

아울러 중국과 홍콩, 대만에서도 해당 사업 추진을 구체화하고 있다. 모바일 광고 플랫폼이라는 업종 특성상, 서비스 지역에 제한이 없으며 현지 조사와 적용 절차가 단순해 별도의 인프라 구축비용 없이 해외 진출이 가능하다.

우인근 아이이 대표는 “모바일 광고 마케팅 시장 진출을 계기로 국내 시장은 물론 글로벌 시장을 공략해 성장을 이어나갈 것”이라며 “모바일 광고 마케팅과 연계된 게임 퍼블리싱 사업으로도 뻗어나갈 계획”이라고 말했다.

ana@heraldcorp.com



▶ [무료운세] 오늘 당신의 하루는 몇 도 일까요?



- Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
아이이,매일경제,2016.10.28. 오전 11:52,"아이이, 모바일 광고 마케팅 사업 본격 추진","아이이는 최근 인수한 모바일 광고플랫폼 기업 스마트포스팅을 통해 모바일 광고마케팅 사업을 본격 추진할 예정이라고 28일 밝혔다.

모바일 광고마케팅 사업을 신성장동력으로 삼고 향후 미국과 홍콩, 중국, 대만 등 글로벌 시장에도 적극 진출할 계획이다.

스마트포스팅은 지난 2012년 설립된 모바일 광고 마케팅 플랫폼으로 인플루언서(influencer·영향력 있는 개인)를 활용한 비보상형 CPA(Cost Per Action) 앱 마케팅을 진행하고 있다.

지난 2014년 서비스를 출시해 올해 상반기 매출 40억원을 달성한 데 이어 지난 1월까지 총 10만여명의 누적 마케터 회원을 확보했다.

지난 9월에는 미국 현지법인 설립을 완료해 사업을 준비하고 있다. 현재 중국과 홍콩, 대만에서도 해당 사업 추진을 구체화하고 있다.

우인근 아이이 대표는 “모바일 광고 마케팅 시장 진출을 계기로 국내 시장은 물론 글로벌 시장 공략을 통해 본격적인 성장을 추구할 계획”이라며 “이외 비즈니스 모델을 지속적으로 발굴하고 있으며 조만간 모바일 광고 마케팅과 연계된 게임 퍼블리싱 사업에도 진출할 계획”이라고 말했다.

[디지털뉴스국 박진형 기자]



[매일경제 공식 페이스북] [오늘의 인기뉴스] [매경 프리미엄]
[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
아이이,머니투데이,2016.10.28. 오후 1:26,"아이이, 34억 규모 전환사채권 발행 결정","[머니투데이 강기준 기자] 아이이는 타법인 증권 취득자금을 조달할 목적으로 34억2060만원 규모의 전환사채권 발행을 결정했다고 28일 공시했다.
발행지역은 유로시장이고 권면총액은 300만 달러이다.

표면이자율은 4.0%, 만기이자율은 4.0%다.


[이코노미스트들의 깊이있는 투자정보 'TOM칼럼'][부자들에게 배우는 성공 노하우 '줄리아 투자노트' ][내 삶을 바꾸는 정치뉴스 'the 300']

강기준 기자 standard@

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
아이이,아시아경제,2016.10.28. 오후 2:00,"아이이, 34억 규모 CB 발행 결정","[아시아경제 김민영 기자]아이이는 34억2060만원 규모의 전환사채를 발행키로 했다고 28일 공시했다. 표면이자율과 만기이자율윽 각각 4.0%이며 사채만기일은 2018년 11월15일이다.




김민영 기자 argus@asiae.co.kr

▶ 최강의 재미 [아시아경제 카드뉴스]
▶ 맛있는 레시피 ▶ 양낙규의 [군사이야기]

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
아이이,뉴시스,2016.10.28. 오후 2:30,"아이이, 34억 규모 전환사채 발행 결정","【서울=뉴시스】최예린 기자 = 전문 도매업체 아이이(023430)는 타법인 증권 취득자금 마련을 위해 34억2060만원 규모의 외화 기명식 무보증 전환사채를 발행하기로 결정했다고 28일 공시했다.

사채의 표면 및 만기이자율은 모두 4.0%이며, 사채만기일은 2018년 11월15일이다. 전환가액은 주당 841원이다.

yerin_choi@newsis.com
뉴시스 뉴스, 네이버 뉴스 스탠드에서도 만나세요
뉴시스 SNS [페이스북] [트위터]


<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
아이이,한국경제TV,2016.10.28. 오후 2:38,"아이이, 모바일 광고 마케팅 사업 본격 추진","[한국경제TV 박승원 기자]
아이이는 최근 인수한 모바일 광고플랫폼 기업 스마트포스팅을 통해 모바일 광고마케팅 사업을 본격 추진할 예정이라고 28일 밝혔습니다.

아이이 측은 ""모바일 광고마케팅 사업을 신성장동력으로 삼고 향후 미국과 홍콩, 중국, 대만 등 글로벌 시장에도 적극 진출한다는 계획""이라고 말했습니다.

스마트포스팅은 지난 2012년 설립된 모바일 광고 마케팅 플랫폼으로 인플루언서(influencer·영향력 있는 개인)를 활용한 비보상형 CPA(Cost Per Action) 앱 마케팅을 진행하고 있습니다.

지난 2014년 서비스를 출시해 올해 상반기 매출 40억원을 달성한 데 이어 지난 1월까지 총 10만여명의 누적 마케터 회원을 확보하는 등 업계 선두주자로 자리매김하고 있다는 평가입니다.

지난 9월에는 미국 현지법인 설립을 완료해 사업을 준비하고 있다. 현재 중국과 홍콩, 대만에서도 해당 사업 추진을 구체화하고 있습니다.

우인근 아이이 대표는 ""모바일 광고 마케팅 시장 진출을 계기로 국내 시장은 물론 글로벌 시장 공략을 통해 본격적인 성장을 추구할 계획""이라며 ""이외 비즈니스 모델을 지속적으로 발굴하고 있으며 조만간 모바일 광고 마케팅과 연계된 게임 퍼블리싱 사업에도 진출할 계획""이라고 말했습니다.


박승원기자 magun1221@wowtv.co.kr

한국경제TV <▲HOT 레이싱걸>, <▲죽기 전에 꼭 가봐야할 곳>, <▲화제의 동영상>

ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
아이이,이데일리,2016.10.28. 오후 2:40,"아이이, 300만달러 전환사채 발행결정","[이데일리 송이라 기자] 아이이(023430)는 타법인 증권 취득을 위해 300만달러 규모의 외화기명식무보증 전환사채를 발행하기로 했다고 28일 공시했다. 기준환율은 1140.2원으로 사채의 권면총액은 34억2060만원이다.

표면이자율과 만기이자율은 각각 4%이며 사채 만기일은 2018년 11월15일이다. 이자는 연단위로 지급한다. 사채 발행 대상자는 유니버셜 리더 인베스트먼트와 인사이트 캐피탈 Ⅲ 등 2곳이다.





송이라 (rassong@edaily.co.kr)



＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
아이이,헤럴드경제,2016.10.28. 오후 2:51,"아이이, 34.2억 규모 CB 발행 결정","[헤럴드경제=박영훈 기자] 아이이는 타법인 증권 취득자금 조달을 위해 유로시장에서 34억2060만원(300만달러) 규모의 외화 기명식 무보증전환사채를 발행하기로 결정했다고 28일 공시했다.



표면이자율과 만기이자율 모두 4%, 사채만기일은 2018년 11월 15일이다.

전환가액은 841원이며 전환청구기간은 2017년 11월 16일부터 2018년 11월 14일까지다.

park@heraldcorp.com



▶ [무료운세] 오늘 당신의 하루는 몇 도 일까요?



- Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
아이이,이데일리,2016.10.28. 오후 3:15,"아이이, 모바일 광고마케팅 사업 글로벌 진출 추진","- 인수기업 스마트포스팅 통해 미국·중국 등 공략

[이데일리 이명철 기자] 아이이(023430)는 새로운 사업모델 발굴 목적으로 인수한 모바일 광고플랫폼 기업 스마트포스팅을 통해 모바일 광고마케팅 사업을 본격 추진할 예정이라고 28일 밝혔다.

스마트포스팅은 2012년 설립된 모바일 광고 마케팅 플랫이다. 인플루언서를 활용한 비보상형 CPA 앱 마케팅을 진행 중이다. 2014년 서비스를 출시해 올해 상반기 매출 40억원을 달성했다. 1월까지 총 10만여명의 누적 마케터 회원을 확보했다. 스마트포스팅 앱은 단순 보상형 앱과 달리 이용자 직접 참여와 콘텐츠 제작이 수반되는 것이 특징이다. 현재 미국 최대 휴대전화 광고분석 업체 튠(Tune), 앱스플라이어(AppsFlyer) 등 다수 트레킹 업체와 제휴 맺고 정확한 정보제공을 위해 노력 중이다.

스마트포스팅 관계자는 “모바일 광고 플랫폼이라는 업종 특성상 서비스 지역에 제한이 없고 현지 조사와 적용 절차가 단순해 별도 인프라 구축비용 없이 해외시장 진출이 가능하다”며 “9월 미국 현지법인 설립을 완료해 사업을 준비 중으로 중국·홍콩·대만에서도 사업추진을 구체화하고 있다”고 전했다.

회사는 모바일 광고마케팅 사업을 신성장동력 삼아 미국과 홍콩, 중국, 대만 등 글로벌 시장에 적극 진출할 예정이다.

우인근 아이이 대표는 “모바일 광고 마케팅 시장 진출을 계기로 국내와 글로벌 시장 공략을 통해 본격 성장을 추구할 것”이라며 “다른 비즈니스 모델을 지속 발굴 중으로 조만간 모바일 광고 마케팅과 연계된 게임 퍼블리싱 사업에도 진출할 계획”이라고 전했다.





이명철 (twomc@edaily.co.kr)



＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
