종목명,신문사,시간,제목,본문
아이디에스,머니투데이,2014.09.26. 오후 5:25,"아이디에스, 금영이 개인에 경영권 매각","[머니투데이 정인지 기자]아이디에스는 26일 최대주주인 금영이 아이디에스 주식 460만3344주(지분 22.96%)를 김길수씨에게 32억원에 양도키로 했다고 공시했다.

회사 측은 ""양수인이 오는 11월11일까지 50억원 이상의 제3자 배정 유상증자를 통해 신주를 인수하기로 약정했다""며 ""제3자 배정에 의한 유상증자 완료시까지 양수도 주식의 의결권을 매도인에게 위임하고 양수도 주식을 제 3자에게 매도하지 않기로 했다""고 밝혔다.
[내 삶을 바꾸는 정치뉴스 'the 300' 바로가기]['스페셜 걸' 포토][손안의 경제뉴스 머니투데이 모바일웹]['취업의 모든 것' 잡드림 바로가기]

정인지기자 injee@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
아이디에스,아시아경제,2014.09.26. 오후 5:38,"아이디에스, 최대주주 금영이 개인에 460만주 양도","[아시아경제 김인원 기자] 아이디에스는 최대주주인 금영이 아이디에스의 보통주 460만3344주를 32억원에 김길수씨에게 양도하는 계약을 체결했다고 26일 공시했다.

아이디에스 측은 ""양수인은 오는 11월11일까지 50억원 이상의 제3자 배정 유상증자를 통해 신주를 인수하기로 약정하였으며 , 제3자 배정에 의한 유상증자 완료시까지 양수도 주식의 의결권을 매도인에게 위임하고 양수도 주식을 제3자에게 매도하지 않기로 약정했다""고 밝혔다.

김인원 기자 holeinone@asiae.co.kr

▶ 아시아경제 기획특집 ""끝나지 않은 전쟁 위안부 보고서""[루머앤진실] [네티즌핫이슈] [골프뉴스] [부동산소식] [자동차정보]

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
아이디에스,매일경제,2014.09.26. 오후 5:50,"아이디에스, 지분 매각으로 최대주주 변경","아이디에스는 최대주주 금영이 보통주 460만3344주(22.96%)를 김길수 씨에게 32억원에 양도하는 계약을 체결했다고 26일공시했다.
[매경닷컴 전종헌 기자]

▶ 네이버 뉴스스탠드에서 매일경제를 MY뉴스로 구독하세요
[매일경제 모바일 서비스 | 페이스북] [매일경제 구독신청] [오늘의 매일경제]

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
아이디에스,매일경제,2014.09.26. 오후 8:36,[코스닥 공시] 비에스이홀딩스 / 아이디에스 / 알파칩스,"◇비에스이홀딩스＝계열사 비에스이 주식 85만6000주 취득 및 이츠웰 주식 166만6666주 처분.
◇아이디에스＝김길수가 보통주 460만3344주 양수.
◇알파칩스＝스마트파이 흡수합병 결정.

▶ 네이버 뉴스스탠드에서 매일경제를 MY뉴스로 구독하세요
[매일경제 모바일 서비스 | 페이스북] [매일경제 구독신청] [오늘의 매일경제]

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
아이디에스,한국경제,2014.09.27. 오전 3:33,[코스닥 기업공시] (26일) 아이디에스 등,"▲아이디에스=최대주주 금영이 보통주 460만주를 김길수에게 양도하는 계약 체결.

▲에이치에이엠미디어=이준호에서 김우정 외 1인으로 최대주주 변경.

▲일경산업개발=본점 소재지를 인천광역시에서 충남 공주시로 변경.

▲케이엠알앤씨=관리종목지정사유 발생.

▲폴리비전=결산기를 6월에서 12월로 변경.

▲행남자기=신규사업을 검토 중이나 확정된 사항 없음.

[한경+ 구독신청] [기사구매] [모바일앱]  ⓒ '성공을 부르는 습관' 한국경제신문, 무단 전재 및 재배포 금지"
아이디에스,매일경제,2014.10.13. 오전 9:05,"아이디에스, 최대주주 변경 예정일 10일에서 15일로 변경","아이디에스는 최대주주 변경 예정일이 10일에서 15일로 연기됐다고 13일 공시했다.
회사 측은 양수인과의 경영권 및 주식양수도 계약에 따른 잔금 지급기일이 지난 10일 이었으나 양수인의 자금계획이 지연돼 잔금지급기일을 연기하는 요청을 해옴에 따라 잔금지급기일을 15일로 연장하기로 합의했다고 설명했다.
잔금 31억원이 오는 15일 납입될 경우 아이디에스의 최대주주는 금영에서 김길수씨로 변경된다.
[매경닷컴 최익호 기자]

▶ 네이버 뉴스스탠드에서 매일경제를 MY뉴스로 구독하세요
[매일경제 모바일 서비스 | 페이스북] [매일경제 구독신청] [오늘의 매일경제]

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
아이디에스,한국경제,2014.10.16. 오전 7:26,"아이디에스 ""최대주주 변경 주식양수도 계약 해지""","[ 한민수 기자 ] 아이디에스는 16일 최대주주 변경을 수반하는 주식양수도 계약이 해지됐다고 공시했다. 양수인 측이 잔금 지급을 이행하지 않았다는 설명이다.

한경닷컴 한민수 기자 hms@hankyung.com

[한경+ 구독신청] [기사구매] [모바일앱] [기사보다 빠른 주식정보 , 슈퍼개미 APP] ⓒ '성공을 부르는 습관' 한경닷컴, 무단 전재 및 재배포 금지"
아이디에스,이데일리,2014.10.16. 오전 8:07,"아이디에스, 주식양수도 계약 해지","[이데일리 김도년 기자] 아이디에스(078780)는 최대주주 ㈜금영과 김길수 사이에서 체결한 보통주 460만 3344주의 양수도 계약이 양수인 김길수 측에서 전일(15일) 잔금 지급하지 않아 주식양수도 계약이 해지됐다고 16일 공시했다.

김도년 (kdn82@edaily.co.kr)


[종합 경제 뉴스 이데일리 모바일 웹][이데일리 TV][이데일리 ON][MP트래블러][마켓포인트][투자정보 앱 투자플러스][이데일리 창업]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
아이디에스,파이낸셜뉴스,2014.10.16. 오전 8:12,"아이디에스, 주식 양수도 계약 해지.. 최대주주 변경 안돼","아이디에스는 최대주주 변경을 포함한 주식양수도 계약이 해지됐다고 16일 공시했다.

사측은 "" 최대주주인 금영과 김길수씨가 지난달 26일) 체결한 주식 양수도 계약과 관련해 양수인 측이 잔금 지급을 이행하지 않았다""고 말했다.
km@fnnews.com 김경민 기자


☞ 공식 SNS계정 [페이스북] [트위터] | ☞ 파이낸셜뉴스 [PC웹] [모바일웹] | ☞ 패밀리사이트 [부산파이낸셜뉴스] [fn아이포커스] [fn아트]


※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
아이디에스,머니투데이,2014.10.16. 오전 8:21,"아이디에스, 최대주주 지분 양수도 계약 해지","[머니투데이 심재현 기자]아이디에스는 최대주주인 금영과 김길수씨가 체결한 아이디에스 지분 양수도 계약이 잔금 미지급으로 해지됐다고 15일 공시했다.
[내 삶을 바꾸는 정치뉴스 'the 300' 바로가기]['스페셜 걸' 포토][손안의 경제뉴스 머니투데이 모바일웹]['취업의 모든 것' 잡드림 ]

심재현기자 urme@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
