종목명,신문사,시간,제목,본문
쌍용정보통신,머니투데이,2017.10.24. 오전 9:19,"KT DS-쌍용정보통신, 글로벌 스포츠 IT 시장 진출 '맞손'","[머니투데이 임지수 기자] [2018 자카르타-팔렘방 아시안 게임 IT 시스템 성공 구축·이행 위한 MOU 체결]

KT DS 김기철 대표(왼쪽)와 쌍용정보통신 김창기 대표가 MOU 체결 후 기념 촬영을 하고 있다./사진제공=KT DS
KT그룹의 IT 서비스 전문기업 KT DS가 쌍용정보통신과 손잡고 글로벌 스포츠 IT 시장에 진출한다.

KT DS는 24일 쌍용정보통신과 ‘2018 자카르타-팔렘방 아시안 게임’의 IT시스템 구축·운영 사업 협력을 위한 양해각서(MOU)를 체결했다고 밝혔다.

이에 따라 쌍용정보통신이 현재 수행 중인 2018 자카르타-팔렘방 아시안 게임의 IT시스템 구축·운영 사업에 KT DS가 보유한 클라우드 및 인프라스트럭처 기술을 지원하게 된다. 나아가 국제 스포츠 솔루션의 SaaS(클라우드 서비스형 소프트웨어)화 작업을 공동 수행하기로 했다.

이를 위해 양사는 전담 TF(태스크포스)를 구성, 클라우드를 기반으로 한 솔루션을 활용해 국제 스포츠 IT서비스 분야의 잠재적 영업 기회 발굴과 사업 협력 모델을 구체화할 예정이다.

앞서 쌍용정보통신은 1986 서울 아시안 게임, 1999 강원 동계 아시안 게임, 2002 부산 아시안 게임, 2006 도하 아시안 게임, 2011 아스타나-알마티 동계 아시안 게임, 2014 인천 아시안 게임 등의 IT 시스템을 성공적으로 운영하며 스포츠 IT서비스 분야에서 세계적 명성을 쌓아왔다.

김기철 KT DS 대표는 “KT DS가 보유한 5대 핵심기술, 오빅스(OBICs:오픈소스, 빅데이터, 클라우드, IoT, 정보보안)을 포함한 IT서비스 기술과 쌍용정보통신이 보유한 스포츠 솔루션과 전문 인력, 축적된 수행경험의 결합으로 성공적인 대회가 될 것을 확신한다”며 “이번 협력을 계기로 글로벌 IT 시장 진출 및 확장을 위해 지속 노력하겠다”고 말했다.

▶옆사람이 지금 보는 기사들
▶무료만화 즐기고~선물타자! ▶치어리더 vs 레이싱걸

임지수 기자 ljs@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
쌍용정보통신,연합뉴스,2017.10.24. 오전 9:33,"[게시판] KT DS, 쌍용정보통신과 아시안게임 시스템 구축 협력","▲ KT그룹의 IT 서비스 전문기업 KT DS는 쌍용정보통신과 '2018 자카르타-팔렘방 아시안게임'의 IT시스템 구축·운영 사업을 위한 양해각서를 체결했다고 24일 밝혔다. KT DS는 쌍용정보통신이 구축 중인 아시안게임 IT시스템에 클라우드와 인프라 스트럭처 기술을 지원하기로 했다. (서울=연합뉴스)

KT DS, 쌍용정보통신과 아시안게임 시스템 구축 협력KT그룹의 IT 서비스 전문기업 KT DS는 쌍용정보통신과 '2018 자카르타-팔렘방 아시안게임'의 IT시스템 구축·운영 사업을 위한 양해각서를 체결했다고 24일 밝혔다. KT DS 김기철 대표(왼쪽)와 쌍용정보통신 김창기 대표가 MOU 체결 후 기념 촬영을 하고 있다. 2017.10.24 [KT DS 제공=연합뉴스]


okko@yna.co.kr

기자가 기다려요. 기사 문의 및 제보는 여기로(클릭!)

최신 유행 트렌드 총집결(클릭!)"
쌍용정보통신,연합뉴스,2017.10.24. 오전 9:33,"[게시판] KT DS, 쌍용정보통신과 아시안게임 시스템 구축 협력","▲ KT그룹의 IT 서비스 전문기업 KT DS는 쌍용정보통신과 '2018 자카르타-팔렘방 아시안게임'의 IT시스템 구축·운영 사업을 위한 양해각서를 체결했다고 24일 밝혔다. KT DS는 쌍용정보통신이 구축 중인 아시안게임 IT시스템에 클라우드와 인프라 스트럭처 기술을 지원하기로 했다. (서울=연합뉴스)

KT DS, 쌍용정보통신과 아시안게임 시스템 구축 협력KT그룹의 IT 서비스 전문기업 KT DS는 쌍용정보통신과 '2018 자카르타-팔렘방 아시안게임'의 IT시스템 구축·운영 사업을 위한 양해각서를 체결했다고 24일 밝혔다. KT DS 김기철 대표(왼쪽)와 쌍용정보통신 김창기 대표가 MOU 체결 후 기념 촬영을 하고 있다. 2017.10.24 [KT DS 제공=연합뉴스]


okko@yna.co.kr

기자가 기다려요. 기사 문의 및 제보는 여기로(클릭!)

최신 유행 트렌드 총집결(클릭!)"
쌍용정보통신,디지털데일리,2017.10.24. 오전 9:45,"KT DS, 쌍용정보통신과 손잡고 글로벌 스포츠 IT 시장 진출","KT DS 김기철 대표(왼쪽)와 쌍용정보통신 김창기 대표가 MOU 체결 후 기념 촬영을 하고 있다.


[디지털데일리 이상일기자] KT DS(대표 김기철)는 쌍용정보통신(대표 김창기)과 ‘2018 자카르타-팔렘방 아시안 게임’의 IT시스템 구축·운영 사업에 협력한다는 양해각서를 체결했다고 24일 밝혔다.

양해각서에는 쌍용정보통신이 현재 수행 중인 2018 자카르타-팔렘방 아시안 게임의 IT시스템 구축·운영 사업에 KT DS가 보유한 클라우드 및 인프라스트럭처 기술을 지원하고, 나아가 국제 스포츠 솔루션의 SaaS(클라우드 서비스형 소프트웨어)화 작업을 공동 수행한다는 합의가 담겼다.

이를 위해 양사는 전담 TF를 구성하고 클라우드를 기반으로 한 솔루션을 활용해, 국제 스포츠 IT서비스 분야의 잠재적 영업 기회 발굴과 사업 협력 모델을 구체화한다.

앞서 쌍용정보통신은 1986 서울 아시안 게임, 1999 강원 동계 아시안 게임, 2002 부산 아시안 게임, 2006 도하 아시안 게임, 2011 아스타나-알마티 동계 아시안 게임, 2014 인천 아시안 게임 등의 IT 시스템을 성공적으로 운영하며 스포츠 IT서비스 분야에서 세계적 명성을 쌓아왔다.

KT DS는 쌍용정보통신과의 협력을 통해, 국내 최고 수준의 소프트웨어 융합 기반기술, 오빅스(OBICs: 오픈소스, 빅데이터, 클라우드, IoT, 정보보안)를 바탕으로 새로운 융합 서비스와 신규 사업을 발굴해 글로벌 시장 진출을 통한 국내 IT 산업 발전을 선도할 계획이다.

김기철 KT DS 대표는 “KT DS가 보유한 5대 핵심기술, 오빅스(OBICs)을 포함한 IT서비스 기술과 쌍용정보통신이 보유한 스포츠 솔루션과 전문 인력, 축적된 수행경험의 결합으로 성공적인 대회가 될 것이라 확신한다”며, “이번 협력을 계기로 글로벌 IT 시장 진출 및 확장을 위해 지속 노력하겠다”고 말했다.

<이상일 기자>2401@ddaily.co.kr
IT언론의 새로운 대안[디지털데일리]
IT정보의 즐거운 업그레이드[딜라이트닷넷]

이상일(2401@ddaily.co.kr)

<저작권자 © 디지털데일리 무단전재-재배포금지>"
쌍용정보통신,매일경제,2017.10.24. 오전 9:54,"KT DS, 쌍용정보통신과 함께 국제 스포츠 IT 분야 진출","김기철 KT DS 대표(왼쪽)와 김창기 쌍용정보통신 대표가 MOU 체결 후 기념 촬영을 하고 있다. [사진 제공 : KT DS]
KT DS는 쌍용정보통신과 '2018 자카르타-팔렘방 아시안 게임'의 정보통신기술(IT)시스템 구축·운영 사업에 협력한다는 양해각서를 체결했다고 24일 밝혔다.

양해각서는 쌍용정보통신이 수행 중인 사업에 KT DS가 보유한 클라우드 및 인프라스트럭처 기술을 지원한다는 내용을 담고 있다. 또 국제 스포츠 솔루션의 SaaS(클라우드 서비스형 소프트웨어)화 작업을 공동 수행한다는 합의도 담겼다.

두 회사는 이를 위해 전담 태스크포스(TF)를 구성하고 클라우드를 기반으로 한 솔루션을 활용해 국제 스포츠 IT서비스 분야 사업 협력 모델을 구체화하기로 햇다.

김기철 KT DS 대표는 ""KT DS가 보유한 IT서비스 기술과 쌍용정보통신이 보유한 스포츠 솔루션, 전문 인력, 축적된 수행 경험의 결합으로 성공적인 대회가 될 것""이라며 ""이번 협력을 계기로 글로벌 IT 시장 진출과 확장을 위해 지속해서 노력하겠다""고 말했다.

[디지털뉴스국 박진형 기자]



▶직장인 당구왕은 바로 당신! 지금 신청하세요
▶뉴스 이상의 무궁무진한 프리미엄 읽을거리"
쌍용정보통신,뉴시스,2017.10.24. 오전 10:21,KT DS-쌍용정보통신 양해각서 체결,"【서울=뉴시스】 KT DS(대표 김기철)는 쌍용정보통신(대표 김창기)과 ‘2018 자카르타-팔렘방 아시안 게임’의 IT시스템 구축·운영 사업에 협력한다는 양해각서를 체결했다고 24일 밝혔다.

KT DS 김기철 대표와 쌍용정보통신 김창기 대표가 관계자들과 MOU 체결 후 기념 촬영을 하고 있다. 2017.10.24. (사진=KT DS 제공)

photo@newsis.com

[사진 영상 제보받습니다] 공감언론 뉴시스가 독자 여러분의 소중한 제보를 기다립니다. 뉴스 가치나 화제성이 있다고 판단되는 사진 또는 영상을 뉴시스 사진영상부(n-photo@newsis.com, 02-721-7470)로 보내주시면 적극 반영하겠습니다.

<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
쌍용정보통신,디지털타임스,2017.10.24. 오전 10:28,"KT DS, 쌍용정보통신과 자카르타 아시안게임 협력...세계 스포츠IT 시장 진출","IT서비스 전문기업 KT DS(대표 김기철)는 지난 23일 쌍용정보통신(대표 김창기)과 '2018 자카르타-팔렘방 아시안게임'의 IT시스템 구축·운영사업 협력 양해각서를 체결하고 세계 스포츠 IT시장에 진출한다고 24일 밝혔다.

이 회사는 현재 쌍용정보통신이 수행하는 아시안게임의 IT시스템 구축·운영 사업에 클라우드·인프라 기술을 지원하는 한편 세계 스포츠 솔루션의 SaaS(SW 클라우드 서비스) 작업을 공동 수행하기로 합의했다. 이에 두 회사는 전담팀을 구성하고 클라우드 기반의 솔루션을 활용해 세계 스포츠 IT서비스 분야에서 영업 기회를 발굴하고 사업 협력 모델을 구체화하기로 했다. KT DS는 쌍용정보통신과의 협력해 국내 최고 수준의 SW 융합 기반기술과 오빅스(오픈소스, 빅데이터, 클라우드, 사물인터넷, 정보보안)를 바탕으로 새로운 융합 서비스와 신규 사업을 발굴해 세계시장에 진출해 IT 산업 발전을 선도할 계획이다.

쌍용정보통신은 1986년 서울아시안게임을 비롯해 1999년 강원동계아시안게임, 2002년 부산아시아게임, 2006년 도하아시안게임, 2011년 이스타나-알마티동계아시안게임, 2014년 인천아시안게임 등의 경기운영과 기록 등 IT시스템을 성공적으로 구축·운영한 전문업체다.

김기철 KT DS 대표는 ""우리가 보유한 오빅스, IT서비스 기술과 쌍용정보통신의 스포츠 솔루션과 전문 인력, 축적된 수행경험을 결합해 자카르타 아시안게임의 성공 개최를 지원하고 세계 IT시장 진출을 위해 노력할 것""이라고 말했다.

허우영기자 yenny@dt.co.kr

김기철 KT DS 대표(왼쪽)와 김창기 쌍용정보통신 대표가 양해각서를 체결한 후 기념 촬영을 하고 있다. KT DS 제공

▶허우영기자의 블로그 : http://blog.dt.co.kr/blog/?mb_id=run

디지털타임스 홈페이지 바로가기 / SNS 바로가기
디지털타임스 영문뉴스 바로가기 / 카드뉴스 바로가기

허우영"
쌍용정보통신,조선비즈,2017.10.24. 오전 10:40,"KT DS, 쌍용정보통신과 손잡고 스포츠 IT 시장 진출","KT그룹의 정보기술(IT) 서비스 전문기업 KT DS가 쌍용정보통신과 손잡고 글로벌 스포츠 IT 시장에 진출한다.

KT DS는 쌍용정보통신과 ‘2018 자카르타-팔렘방 아시안 게임’의 IT시스템 구축·운영 사업 협력을 위한 양해각서(MOU)를 체결했다고 24일 밝혔다.

김기철 KT DS 대표(왼쪽)와 김창기 쌍용정보통신 대표가 ‘스포츠 IT 시장 진출 협력’ 양해각서 교환 후 기념 촬영을 하고 있다. / KT 제공

이에 따라 쌍용정보통신이 현재 수행 중인 2018 자카르타-팔렘방 아시안 게임의 IT시스템 구축·운영 사업에 KT DS가 보유한 클라우드 및 인프라스트럭처 기술을 지원하게 된다.

이밖에도 양사는 국제 스포츠 솔루션의 SaaS(클라우드 서비스형 소프트웨어)화 작업을 공동 수행하기로 했다. 이를 위해 두 회사는 전담 TF(태스크포스)를 구성, 클라우드를 기반으로 한 솔루션을 활용해 국제 스포츠 IT서비스 분야의 잠재적 영업 기회 발굴과 사업 협력 모델을 구체화할 예정이다.

김기철 KT DS 대표는 “KT DS가 보유한 5대 핵심기술, 오빅스(OBICs:오픈소스, 빅데이터, 클라우드, IoT, 정보보안)을 포함한 IT서비스 기술과 쌍용정보통신이 보유한 스포츠 솔루션과 전문 인력, 축적된 수행경험의 결합으로 성공적인 대회가 될 것을 확신한다”며 “이번 협력을 계기로 글로벌 IT 시장 진출 및 확장을 위해 지속 노력하겠다”고 말했다.

[심민관 기자 bluedragon@chosunbiz.com]



chosunbiz.com"
쌍용정보통신,이데일리,2017.10.24. 오전 10:54,"KT DS-쌍용정보통신, 자카르타 亞게임 IT사업 협력","[이데일리 정병묵 기자] KT(030200)그룹의 IT 서비스 전문기업 KT DS는 쌍용정보통신(010280)과 ‘2018 자카르타-팔렘방 아시안 게임’의 IT시스템 구축·운영 사업에 협력한다는 양해각서를 체결했다고 24일 밝혔다.

쌍용정보통신이 현재 수행 중인 2018 자카르타-팔렘방 아시안 게임의 IT시스템 구축·운영 사업에 KT DS가 보유한 클라우드 및 인프라스트럭처 기술을 지원하고, 나아가 국제 스포츠 솔루션의 SaaS(클라우드 서비스형 소프트웨어)화 작업을 공동 수행하기로 했다.

쌍용정보통신은 1986 서울 아시안 게임, 1999 강원 동계 아시안 게임, 2002 부산 아시안 게임, 2006 도하 아시안 게임, 2011 아스타나-알마티 동계 아시안 게임, 2014 인천 아시안 게임 등의 IT 시스템을 성공적으로 운영하며 스포츠 IT서비스 분야에서 세계적 명성을 쌓아왔다.

KT DS는 쌍용정보통신과의 협력을 통해, 국내 최고 수준의 소프트웨어 융합 기반기술, 오빅스(오픈소스, 빅데이터, 클라우드, IoT, 정보보안)를 바탕으로 새로운 융합 서비스와 신규 사업을 발굴해 글로벌 시장 진출을 통한 국내 IT 산업 발전을 선도할 계획이다.

정병묵 (honnezo@edaily.co.kr)

▶흥미진진한 이데일리 영상 채널
▶[페이스북] 보러가기~♥ | [카카오톡] 플친 맺기~♥


＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
쌍용정보통신,뉴시스,2017.10.24. 오후 3:20,"KT DS, 쌍용정보통신과 손잡고 '글로벌 스포츠 IT' 시장 진출","【서울=뉴시스】오동현 기자 = IT 서비스 전문기업 KT DS가 쌍용정보통신과 손잡고 글로벌 스포츠 IT 시장에 진출한다.

KT DS는 쌍용정보통신과 '2018 자카르타-팔렘방 아시안게임'의 IT시스템 구축·운영 사업에 협력한다는 양해각서를 체결했다고 24일 밝혔다.

양해각서에는 쌍용정보통신이 현재 수행 중인 이 사업에 KT DS가 보유한 클라우드 및 인프라스트럭처 기술을 지원하고, 나아가 국제 스포츠 솔루션의 SaaS(클라우드 서비스형 소프트웨어)화 작업을 공동 수행한다는 합의가 담겼다.

이를 위해 양사는 전담 TF를 구성하고 클라우드를 기반으로 한 솔루션을 활용해 국제 스포츠 IT서비스 분야의 잠재적 영업 기회 발굴과 사업 협력 모델을 구체화할 계획이다.

앞서 쌍용정보통신은 1986 서울 아시안게임, 1999 강원 동계 아시안게임, 2002 부산 아시안게임, 2006 도하 아시안게임, 2011 아스타나-알마티 동계 아시안게임, 2014 인천 아시안게임 등에서 IT 시스템을 성공적으로 운영하며 스포츠 IT서비스 분야에서 세계적 명성을 쌓아왔다.

KT DS는 쌍용정보통신과의 협력을 통해 국내 최고 수준의 소프트웨어 융합 기반기술, 오빅스(오픈소스·빅데이터·클라우드·IoT·정보보안)를 바탕으로 새로운 융합 서비스와 신규 사업을 발굴해 글로벌 시장 진출을 통한 국내 IT 산업 발전을 선도할 계획이다.

김기철 KT DS 대표는 ""KT DS가 보유한 5대 핵심기술, 오빅스(OBICs)을 포함한 IT서비스 기술과 쌍용정보통신이 보유한 스포츠 솔루션과 전문 인력, 축적된 수행경험의 결합으로 성공적인 대회가 될 것이라 확신한다""며 ""이번 협력을 계기로 글로벌 IT 시장 진출 및 확장을 위해 지속 노력하겠다""고 말했다. ·

odong85@newsis.com

▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기
▶ 뉴시스 SNS [페이스북] [트위터]

<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
