종목명,신문사,시간,제목,본문
에이스하이텍,한국경제,2014.10.17. 오후 1:57,"에이스하이텍, 슈퍼박테리아 치료제 연구 ICAAC서 발표","[ 한민수 기자 ] 에이스하이텍은 일본 자회사 교토바이오파마(KBP)가 개발 중인 슈퍼박테리아 치료제 로티립신(KBP-1404)의 연구 결과를 감염증치료제학회(ICAAC)에서 발표했다고 17일 밝혔다.

ICAAC는 미국 미생물학회 주최로 열리는 감염증 치료제 분야에서 저명한 학회다. 올해는 워싱턴DC에서 개최됐다.

KBP의 발표 제목은 '메티실린에 저항성을 지닌 황색포도구균을 대상으로 한 로티립신의 약력학·약동학적 효과'였다. KBP는 이번 발표를 통해 로티립신 생체 외 실험에서 kg당 0.04~0.3mg의 작은 용량에서도 강력한 항균 효과가 관찰됐고, 이를 통해 인체 임상의 예측 가능한 약력학·약동학적 지표를 확인했다고 전했다.

교토바이오파마 대표인 겐스케 도코로는 ""우리는 로티립신의 약력학·약동학적 연구를 바탕으로 이 물질이 매우 안전함을 확인했고, 이로써 후속 연구 동력을 확보한 상태""라고 말했다.

로티립신은 새로운 황색포도상구균 치료제 후보물질이다. 현재 성공적으로 인체 임상에 진입해 미국에서 임상1b상을 진행 중에 있다. 이 물질의 한국 시장 권리는 2011년 기술이전을 통해 녹십자가 가지고 있다.

한경닷컴 한민수 기자 hms@hankyung.com

[한경+ 구독신청] [기사구매] [모바일앱] [기사보다 빠른 주식정보 , 슈퍼개미 APP] ⓒ '성공을 부르는 습관' 한경닷컴, 무단 전재 및 재배포 금지"
에이스하이텍,머니투데이,2014.10.24. 오후 4:45,"에이스하이텍, 주가급락 조회공시 요구","[머니투데이 정인지 기자]한국거래소는 24일 에이스하이텍에 대해 주가급락의 배경을 묻는 조회공시를 요구했다. 답변시한은 오는 27일 오후 6시까지다.
[내 삶을 바꾸는 정치뉴스 'the 300' 바로가기]['스페셜 걸' 포토][손안의 경제뉴스 머니투데이 모바일웹]['취업의 모든 것' 잡드림 ]

정인지기자 injee@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
에이스하이텍,아시아경제,2014.10.24. 오후 4:50,"에이스하이텍, 주가 급락 관련 조회공시 요구","[아시아경제 김소연 기자]한국거래소는 24일 에이스하이텍에 대해 최근 주가급락 관련 조회공시를 요구했다. 답변시한은 27일 오후 6시까지다.

김소연 기자 nicksy@asiae.co.kr

▶ 아시아경제 기획특집 韓 주변 리더십 大충돌 ""아베vs시진핑""[루머앤진실] [네티즌핫이슈] [골프뉴스] [부동산소식] [자동차정보]

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
에이스하이텍,조선비즈,2014.10.24. 오후 5:26,"[조회공시] 에이스하이텍, 주가 급락 관련","한국거래소는 24일 에이스하이텍(071930)에 대해 최근의 주가 급락과 관련한 조회공시를 요구했다. 답변 시한은 오는 27일 오후 6시다.

[손덕호 기자 hueyduck@chosun.com]

chosunbiz.com"
에이스하이텍,헤럴드경제,2014.10.27. 오전 9:12,"<생생코스닥>에이스하이텍, “임시주총ㆍ유상증자 검토 중”","에이스하이텍은 27일 최근 주가급락 관련 조회공시 답변에서 “임시주주총회 개최와 소액공모 유상증자 등의 발행을 검토 중이나 현재까지 확정된 사항은 없다”고 밝혔다.

[헤럴드경제 뉴스스탠드] [헤럴드스탁마켓] [제3회 코리아헤럴드 청소년 외교아카데미]

[헤럴드경제 모바일 웹] [헤럴드경제 모바일앱] [SUPERICH] [REAL FOODS]



- Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
에이스하이텍,한국경제,2014.10.27. 오전 9:13,"에이스하이텍 ""주가 급락 관련 주요 공시사항 없다""","[ 박희진 기자 ] 에이스하이텍은 27일 조회공시 답변을 통해 ""최근 현저한 시황변동에 영향을 미칠 사항으로 임시주주총회와 소액공모 유상증자 등의 검토를 제외하고 중요 공시 대상이 없다""고 밝혔다.

한경닷컴 박희진 기자 hotimpact@hankyung.com

[한경+ 구독신청] [기사구매] [모바일앱] [기사보다 빠른 주식정보 , 슈퍼개미 APP] ⓒ '성공을 부르는 습관' 한경닷컴, 무단 전재 및 재배포 금지"
에이스하이텍,머니투데이,2014.10.27. 오전 9:16,"에이스하이텍 ""주가급락, 중요정보 없다""","[머니투데이 유다정 기자]에이스하이텍이 최근의 현저한 주가급락과 관련한 중요한 정보가 없다고 27일 공시했다. 회사 측은 임시 주주총회 개최와 소액공모 유상증자를 검토 중이나 아직까지 확정된 사항은 없으며 구체적인 내용이 확정되는 시점에 재공시하겠다고 밝혔다.

[내 삶을 바꾸는 정치뉴스 'the 300' 바로가기]['스페셜 걸' 포토][손안의 경제뉴스 머니투데이 모바일웹]['취업의 모든 것' 잡드림 ]

유다정기자 jung@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
에이스하이텍,이데일리,2014.10.27. 오전 9:16,"에이스하이텍 ""주가 급락 사유 없다""","[이데일리 김기훈 기자] 에이스하이텍(071930)은 27일 주가 급락 관련 조회공시 답변을 통해 “최근의 현저한 주가 급락과 관련해 별도로 공시할 중요한 정보가 없다”고 밝혔다.

김기훈 (core81@edaily.co.kr)


[종합 경제 뉴스 이데일리 모바일 웹][이데일리 TV][이데일리 ON][MP트래블러][마켓포인트][투자정보 앱 투자플러스][이데일리 창업]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
에이스하이텍,아시아경제,2014.10.27. 오전 11:17,"에이스하이텍, ""주가급락 사유없다""","[아시아경제 김유리 기자] 에이스하이텍은 27일 최근 현저한 시황변동(주가급락)과 관련한 한국거래소의 조회공시 요구에 ""별도로 공시할 중요한 정보가 없다""며 ""임시주주총회·소액공모 유상증자 등의 발행을 검토 중이나 현재까지 확정된 사항은 없다""고 답변했다.

김유리 기자 yr61@asiae.co.kr

▶ 아시아경제 기획특집 韓 주변 리더십 大충돌 ""아베vs시진핑""[루머앤진실] [네티즌핫이슈] [골프뉴스] [부동산소식] [자동차정보]

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
에이스하이텍,파이낸셜뉴스,2014.10.27. 오후 12:31,"[공시]에이스하이텍, ""임시주총, 소액공모 유증 등 검토중""","에이스하이텍은 27일 최근 현저한 시황 변동과 관련한 조회공시요구에 ""임시주주총회 개최와 소액공모 유상증자 등의 발행을 검토 중이나 확정된 사항은 없다""고 공시했다.


☞ 공식 SNS계정 [페이스북] [트위터] | ☞ 파이낸셜뉴스 [PC웹] [모바일웹] | ☞ 패밀리사이트 [부산파이낸셜뉴스] [fn아이포커스] [fn아트]


※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
