종목명,신문사,시간,제목,본문
넥스지,파이낸셜뉴스,2017.09.27. 오전 9:57,[fnRASSI]한솔넥스지(081970) 현재 +8.9%,"현재 한솔넥스지(081970)는 전일대비 8.9% 상승하여 7,950원 선에서 거래가 이루어지고 있다.

외국인 보유량 증가, 기관 감소 (5일 누적)
최근 5일간 동종목의 외국인 투자자는 25,724주 순매수하였고 반면 기관은 0주 순매도하였다. 전날 외국인은 3,602주 순매수했지만 기관은 순매수량이 0으로 보유비율 그대로 유지했다.

다음 표는 동종목의 외국인, 기관의 일별 순매수량을 나타낸 것이다.



외국인과 기관은 순매도, 개인은 순매수(한달누적)
9월22일부터 전일까지 외국인이 3거래일 연속 순매수를 보였다. 4주간을 기준으로 보면 외국인이 매도 후 매수의 관점을 보이고 있음에도 불구하고 3,450주를 순매도했고, 기관도 매도 관점으로 접근하면서 1,037주를 순매도했지만, 개인은 오히려 매기를 떨어뜨리면서도 4,487주를 순매수했다.

'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
넥스지,매일경제,2017.09.27. 오후 5:43,[코스닥 공시] 대주전자재료 / 한솔넥스지,"◇대주전자재료=임무현 외 10인으로 최대주주 변경.

◇한솔넥스지=이경훈 대표이사 신규 선임.



[매일경제 공식 페이스북] [오늘의 인기뉴스] [매경 프리미엄]
[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
넥스지,머니투데이,2017.09.27. 오후 5:59,"한솔넥스지, 이경훈 대표 신규선임","[머니투데이 박상빈 기자] 한솔넥스지는 27일 이경훈 대표를 신규 선임했다고 공시했다. 이는 김종룡 대표가 사임을 표명한 데 따른 것이다.

▶옆사람이 지금 보는 기사들
▶무료만화 즐기고~선물타자! ▶치어리더 vs 레이싱걸

박상빈 기자 bini@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
넥스지,연합뉴스,2017.09.27. 오후 6:02,"한솔넥스지, 이경훈 대표이사 신규 선임","(서울=연합뉴스) 권수현 기자 = 코스닥 상장 네트워크 보안기업 한솔넥스지는 김종룡 대표이사의 사퇴로 이경훈 대표이사를 신규 선임했다고 27일 공시했다.

inishmore@yna.co.kr

기자가 기다려요. 기사 문의 및 제보는 여기로(클릭!)

최신 유행 트렌드 총집결(클릭!)"
넥스지,아시아경제,2017.10.11. 오전 7:28,"넥스지, 50억 규모 데코앤이 전환사채권 취득","[아시아경제 권성회 기자] 넥스지는 일반 사채권투자 및 화장품사업헬스케어 사업기반구축을 통한 수익창출목적을 이유로 데코앤이의 50억원 규모 제40회차 무기명식 무보증 사모 전환사채권을 취득했다고 11일 공시했다.

이는 넥스지 자기자본 대비 14.04%에 해당한다.

권성회 기자 street@asiae.co.kr

▶ 양낙규의 [군사이야기]
▶ #오늘의 핫영상(클릭!) ▶ #오늘의 많이 본 (클릭!)

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
넥스지,머니투데이,2017.10.11. 오전 7:46,"넥스지, 50억원 규모 데코앤이 전환사채권 취득 결정","[머니투데이 최동수 기자] 넥스지는 일반 사채권 투자와 화장품, 헬스케어 사업기반 구축을 통한 수익창출을 목적으로 의류업체 데코앤이의 전환사채권을 50억원에 취득하기로 결정했다고 11일 공시했다.

▶옆사람이 지금 보는 기사들
▶무료만화 즐기고~선물타자! ▶치어리더 vs 레이싱걸

최동수 기자 firefly@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
넥스지,한국경제,2017.10.11. 오전 8:02,"넥스지, 50억 규모 데코앤이 전환사채권 취득","넥스지는 일반 사채권투자 및 화장품사업헬스케어 사업기반구축을 통한 수익창출을 목적으로 데코앤이의 40회차 무기명식 무보증 사모 전환사채권을 50억원에 취득했다고 11일 공시했다. 이는 넥스지의 자기자본 대비 14.04%에 해당하는 규모다.

김은지 한경닷컴 기자 eunin11@hankyung.com



[한경닷컴 바로가기] [글방] [모바일한경 구독신청]
ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
넥스지,뉴시스,2017.10.11. 오전 10:02,"넥스지, 50억 규모 데코앤이 전환사채권 취득","【서울=뉴시스】 김지은 기자 = 코스닥 상장사인 넥스지(081970)는 일반 사채권투자 및 화장품사업헬스케어 사업기반구축을 통한 수익창출을 목적으로 여성의류 회사인 데코앤이의 40회차 무기명식 무보증 사모 전환사채권을 50억원에 취득했다고 11일 공시했다.

이는 넥스지의 자기자본 대비 14.04%에 해당하는 규모다

kje1321@newsis.com

▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기
▶ 뉴시스 SNS [페이스북] [트위터]

<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
넥스지,머니투데이,2017.10.16. 오후 6:25,"거래소, 넥스지 불성실공시법인 지정","[머니투데이 김지민 기자] 한국거래소는 최대주주변경 지연공시를 사유로 불성실공시법인으로 지정된 넥스지의 주권매매거래를 정지한다고 16일 밝혔다. 매매거래정지 기간은 17일 하루다.

▶옆사람이 지금 보는 기사들
▶무료만화 즐기고~선물타자! ▶치어리더 vs 레이싱걸

김지민 기자 dandi@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
넥스지,아시아경제,2017.10.16. 오후 6:30,"거래소, 에이원앤·골드퍼시픽·폭스브레인·넥스지 불성실공시법인 지정","[아시아경제 박민규 기자] 한국거래소 코스닥시장본부는 에이원앤 ·골드퍼시픽 ·폭스브레인 ·넥스지 등 4개 회사를 불성실공시법인으로 지정한다고 16일 공시했다. 이 중 골드퍼시픽 ·폭스브레인 ·넥스지는 벌점이 5점 이상이어서 오는 17일 하루간 주식 거래가 정지된다.

박민규 기자 yushin@asiae.co.kr

▶ 양낙규의 [군사이야기]
▶ #오늘의 핫영상(클릭!) ▶ #오늘의 많이 본 (클릭!)

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
넥스지,뉴시스,2017.10.16. 오후 6:31,"거래소, 넥스지 불성실공시법인으로 지정","【서울=뉴시스】정옥주 기자 = 한국거래소 코스닥시장본부는 넥스지(081970)에 대해 최대주주변경 지연공시를 사유로 불성실공시법인으로 지정한다고 16일 밝혔다. 지정일은 오는 17일이다.

부과벌점은 5.0점이며, 최종 불성실공시법인으로 지정되고 벌점이 5.0점이상인 경우 매매거래가 1일간 정지된다.

channa224@newsis.com

channa224@newsis.com

▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기
▶ 뉴시스 SNS [페이스북] [트위터]

<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
넥스지,머니투데이,2017.10.20. 오후 5:18,"넥스지, 경영권분쟁 소송 접수","[머니투데이 김사무엘 기자] 넥스지는 이동규, 이상윤씨로부터 의결권행사 금지 가처분 소송이 제기됐다고 20일 공시했다.

▶옆사람이 지금 보는 기사들
▶무료만화 즐기고~선물타자! ▶치어리더 vs 레이싱걸

김사무엘 기자 samuel@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
