종목명,신문사,시간,제목,본문
씨앤케이인터,머니투데이,2014.09.30. 오후 2:39,"씨앤케이인터네셔널, 농지개량 흡수합병 결정","[머니투데이 최민지 기자]씨앤케이인터내셔널은 종속회사 (주)농지개량 흡수합병 안이 이사회 결의를 통과했다고 30일 공시했다. 합병비율은 씨앤케이인터내셔널과 농지개량이 각각 1대0이며 합병기일은 오는 11월 4일이다.

[내 삶을 바꾸는 정치뉴스 'the 300' 바로가기]['스페셜 걸' 포토][손안의 경제뉴스 머니투데이 모바일웹]['취업의 모든 것' 잡드림 ][2014 인천아시안게임 스페셜 페이지]

최민지기자 mj1@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
씨앤케이인터,이데일리,2014.10.10. 오후 5:10,"씨앤케이인터내셔널, 대표 김우택 씨로 변경","[이데일리 함정선 기자] 씨앤케이인터(039530)내셔널은 대표이사가 오덕균 씨에서 김우택 씨로 변경됐다고 10일 공시했다.

함정선 (mint@edaily.co.kr)


[종합 경제 뉴스 이데일리 모바일 웹][이데일리 TV][이데일리 ON][MP트래블러][마켓포인트][투자정보 앱 투자플러스][이데일리 창업]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
씨앤케이인터,이데일리,2014.10.23. 오후 2:58,"씨앤케이인터내셔널, 본점소재지 서울서 경북으로 변경","[이데일리 함정선 기자] 씨앤케이인터(039530)내셔널은 본점소재지를 기존 서울시 종로구에서 경상북도 의성군 다인면으로 변경한다고 23일 공시했다. 회사는 농지개량 합병에 따른 수로관 영업을 위해 본점을 이전하고 유통사업 등 다른 사업부의 연락망을 위해 서울에는 지점을 설치 예정이라고 밝혔다.

함정선 (mint@edaily.co.kr)


[종합 경제 뉴스 이데일리 모바일 웹][이데일리 TV][이데일리 ON][MP트래블러][마켓포인트][투자정보 앱 투자플러스][이데일리 창업]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
씨앤케이인터,머니투데이,2014.10.23. 오후 2:59,"씨앤케이인터, 본점 소재지 경북 의성군으로 변경","[머니투데이 김성은 기자]씨앤케이인터내셔널이 본점 소재지를 서울시 종로구 자하문로 71에서 경상북도 의성군 다인면 가원농공길 92로 변경한다고 23일 공시했다.

회사 측은 ""농지개량 합병에 따른 수로관 영업을 위해 본점을 이전하고 유통사업 등 다른 사업부의 연락망을 위해 서울에는 지점을 설치 예정""이라고 말했다.
[내 삶을 바꾸는 정치뉴스 'the 300' 바로가기]['스페셜 걸' 포토][손안의 경제뉴스 머니투데이 모바일웹]['취업의 모든 것' 잡드림 ]

김성은기자 gttsw@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
씨앤케이인터,한국경제,2014.10.23. 오후 2:59,"씨앤케이인터, 본점 경북 의성군으로 이전","[ 박희진 기자 ] 씨앤케이인터내셔널은 23일 본점이 서울시 종로구에서 경상북도 의성군 다인면 가원농공길 95로 이전했다고 공시했다.

회사 측은 ""농지개량 합병에 따른 수로관 영업을 위해 본점을 이전하고, 유통사업 등 다른 사업부의 연락망을 위해 서울에는 지점을 설치할 예정""이라고 밝혔다.

한경닷컴 박희진 기자 hotimpact@hankyung.com

[한경+ 구독신청] [기사구매] [모바일앱] [기사보다 빠른 주식정보 , 슈퍼개미 APP] ⓒ '성공을 부르는 습관' 한경닷컴, 무단 전재 및 재배포 금지"
씨앤케이인터,아시아경제,2014.11.04. 오후 2:43,"씨앤케이인터, 종속회사 농지개량 흡수합병","[아시아경제 이창환 기자] 씨앤케이인터는 종속회사인 농지개량을 흡수합병한다고 4일 공시했다.

농지개량은 수로관, 용접철망 등 구조물을 생산 판매하는 회사로 씨앤케이인터가 지분 100%를 보유하고 있다.

이창환 기자 goldfish@asiae.co.kr

▶ 아시아경제 기획특집 韓 주변 리더십 大충돌 ""아베vs시진핑""[루머앤진실] [네티즌핫이슈] [골프뉴스] [부동산소식] [자동차정보]

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
씨앤케이인터,머니투데이,2014.11.04. 오후 3:28,"씨앤케이인터, 종속회사 농지개량 흡수합병","[머니투데이 유다정 기자]씨앤케이인터가 종속회사인 농지개량을 흡수 합병함에 따라 농지개량은 소멸한다고 4일 공시했다.


[내 삶을 바꾸는 정치뉴스 'the 300' 바로가기]['스페셜 걸' 포토][손안의 경제뉴스 머니투데이 모바일웹]['취업의 모든 것' 잡드림 ]

유다정기자 jung@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
씨앤케이인터,머니투데이,2015.01.27. 오후 6:30,"씨앤케이인터, 오덕균 전 대표 배임죄로 징역 1년6개월 판결","[머니투데이 최민지 기자] 씨앤케이인터는 전 대표이사인 오덕균씨가 특정경제법죄가중처벌 등에 관한 법률위반(배임) 혐의로 인해 징역 1년 6개월, 집행유예 2년을 판결받았다고 27일 공시했다.
[내 삶을 바꾸는 정치뉴스 'the 300' 바로가기]['스페셜 걸' 포토][손안의 경제뉴스 머니투데이 모바일웹][Ten Lines News 티타임즈 ]['취업의 모든 것' 잡드림 ]

최민지 기자 mj1@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
씨앤케이인터,조선비즈,2015.01.27. 오후 6:50,"씨앤케이인터, 전 대표이사 배임죄로 징역 판결 받아","씨앤케이인터(039530)는 전 대표이사인 오덕균씨가 특정경제범죄가중처벌등에 관한 법률위반(배임) 혐의에 대해 징역 1년6개월과 집행유예 2년을 선고받았다고 27일 공시했다. 전 대표이사의 배임액은 총 11억5200만원으로, 자기자본대비 4.23% 규모다.

[윤성환 기자 itysh@chosun.com]

chosunbiz.com"
씨앤케이인터,이데일리,2015.01.27. 오후 7:51,"씨앤케이인터, 오덕균 前대표 배임죄 판결…징역 1년 6개월","[이데일리 임성영 기자] 씨앤케이인터(039530)내셔널은 서울중앙지방법원이 오덕균 전 대표이사에 대해 특정경제범죄가중처벌 등에 관한 법률위반(배임) 혐의로 징역 1년 6개월과 집행유예 2년을 선고 한 것을 확인했다고 27일 공시했다.

배임 금액은 11억5200만원 이며 이는 자기자본 대비 4.23% 규모이다.

임성영 (rosa8341@edaily.co.kr)


[종합 경제 뉴스 이데일리 모바일 웹][이데일리 TV][이데일리 ON][MP트래블러][마켓포인트][투자정보 앱 투자플러스][이데일리 창업]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
