종목명,신문사,시간,제목,본문
금강제강,머니투데이,2012.03.28. 오후 3:26,"에이치디시에스, 금강제강으로 사명변경","[머니투데이 황국상 기자]에이치디시에스는 기업이미지 제고를 위해 금강제강 주식회사로 사명을 변경키로 했다고 28일 공시했다.
[주총현장] 주총 시즌 개막, 핫이슈는?
[내손안의 스마트한 경제정보 머니투데이 모바일]
[관련 키워드] 에이치디시에스

[머니투데이 핫뉴스]
☞ 눈물흘린 손수조 ""이렇게 자객 많은 줄…""
☞ 정상들이 탄 車, 일반인에 할인판매… 얼마나?
☞ 신형 '싼타페' 실내도 노출, ""핸들이 웃네~""
☞ 189만원짜리 '스토케 유모차', 알고보니 한국만…
☞ 성시경·JYJ… 각국 영부인들 '한류'에 흠뻑

황국상기자 gshwang@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
금강제강,한국경제,2012.03.28. 오후 3:28,"에이치디시에스, 금강제강으로 사명 변경","에이치디시에스는 28일 기업 이미지 제고를 위해 금강제강으로 사명을 변경한다고 공시했다.

한경닷컴 김효진 기자 jinhk@hankyung.com

▶ 성형수술 법으로 금지하고픈 스타 'BEST 3'

▶ 지나, 분홍 원피스 사이로 드러난 속옷…'아찔해'

▶ 이민정, 알몸에 기타만?…'채널 돌리다 깜짝'

▶ '현진영 아내' 친언니, 역삼동 화재사고로 사망

▶ 김태희 닮은 김정일 '소품조' 출신 탈북女 '눈길'

[한국경제 구독신청] [온라인 기사구매] [한국경제 모바일 서비스]

ⓒ <성공을 부르는 습관> 한경닷컴, 무단 전재 및 재배포 금지

<한국온라인신문협회의 디지털뉴스이용규칙에 따른 저작권을 행사합니다>"
금강제강,아시아경제,2012.03.28. 오후 3:31,"에이치디시에스, 금강제강으로 사명 변경","[아시아경제 배경환 기자] 에이치디시에스는 기업 이미지 제고를 위해 금강제강으로 사명을 변경한다고 28일 공시했다.

[모바일] 언제어디서나 만날 수 있는 내 손안의 아시아경제

[증권방송] 2012년 투자 종목의 핵심은 바로...

배경환 기자 khbae@

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>

[관련기사]

▶ 다리 3개 주는 치킨집 참 좋았는데…'충격'

▶ '월급 떼먹은' 심형래 이번엔 또 어쩌다가…

▶ ""박상아, 전두환 아들과 공식결혼 전 이미…""

▶ ‘세계최초’ 인삼다당체 발견으로 ‘암 극복’ 새 바람

▶ 야구장서 '치킨·맥주' 먹었는데 ""이럴수가"""
금강제강,이데일리,2012.03.28. 오후 3:34,"에이치디시에스, 금강제강으로 상호 변경","[이데일리 김경민 기자] 에이치디시에스(105070)는 28일 금강제강으로 상호를 변경한다고 공시했다.

김경민 (min07@edaily.co.kr)


▶ 당신의 생활 속 언제 어디서나 이데일리 ‘ 신문 PDF바로보기‘
▶ 스마트 경제종합방송 이데일리 TV
▶ 실시간 뉴스와 증권거래, 내 손안의 금융시장 ‘이데일리 모바일 서비스’
▶ 전문가를 위한 국내 최상의 금융정보단말기 ‘이데일리 마켓포인트 2.0’
▶ 국내 최고 증권 전문가 방송 이데일리 ON, 고객상담센터 1666-2200
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
금강제강,매일경제,2012.03.28. 오후 3:52,"[공시] 에이치디시에스, 금강제강으로 상호 변경","에이치디시에스는 기업 이미지 제고를 위해 금강제강으로 상호명을 변경했다고 28일 공시했다.
[황의영 기자]

▶ [화보]타블로 부친 발인식…며느리 강혜정 눈물

▶ 한국외대 특별강연…한국말로 ""한류"" ""같이 갑시다"" 박수갈채 터져

▶ 김수현, 학창시절 관광버스 열창

▶ `패션왕` 유리·이제훈, 진한 키스신

▶ [화보] 영화 `은교` 파격 노출 김고은, 실제로 보니

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
금강제강,세계일보,2012.06.25. 오전 10:06,"[특징주] 금강제강, 투자경고종목 지정에도 강세","[세계파이낸스]금강제강이 투자경고종목 지정예고에도 불구하고 강세를 나타내고 있다

25일 오전10시2분 현재 금강제강은 전일대비 12.65% 오른 2895원에 거래되고 있다. 지난 18일부터 엿새째 강세다.

금강제강은 지난 18일부터 전거래일까지 닷새째 강세를 나타내며 74.24% 올랐다.

한국거래소는 지난 22일, 장 마감 후 금강제강을 25일부터 투자경고종목으로 지정한다고 공시했으나 상승세가 멈추질 않고 있는 모습이다.

유병철 세계파이낸스 기자 ybsteel@segyefn.com
[Segye.com 인기뉴스]
◆ 아이 화상입힌 국물녀 ""오히려 내가 피해자""
◆ 6일만에 관속서 '부활'… 다시 살아난 노인
◆ 여관서 자고 일어나보니 '신장 강탈' 황당
◆ '과다 노출' 톱모델에 벌금 ""춤추다 가슴이…""
◆ 추위에 가장 강한 동물 1위 북극곰, 2위 펭귄, 3위는?
[ⓒ 세계파이낸스 & Segye.com, 무단 전재 및 재배포 금지]
세계일보 [자동차전문섹션] [스마트캠페인] [트위터/페이스북/미투데이]
<세계닷컴은 한국온라인신문협회(www.kona.or.kr)의 디지털뉴스이용규칙에 따른 저작권을 행사합니다.>"
금강제강,머니투데이,2012.06.25. 오후 4:44,"[조회공시]금강제강, 주가급등 사유","[머니투데이 김은령 기자]한국거래소는 25일 금강제강에 최근 주가급등에 영향을 미칠만한 구체적인 사유에 대한 조회공시를 요구했다.
[창간기획] 한국의 슈퍼리치들
[book]10년 후 부의 미래
[관련 키워드] 금강제강

[머니투데이 핫뉴스]
☞ 여대 男경비원, 도서관 여학생 토닥였다가…
☞ '회장부인이 박정희 손녀' 이 회사 벌써 700억을…
☞ 반찬통 팔아 '1조'부자된 男 ""아줌마들은…""
☞ 6·25 당시 몽골이 북한에 말을 준 이유는‥
☞ ""7월부터 퇴직금 중간정산 안된다고?""…왜?

김은령기자 taurus@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
금강제강,아시아경제,2012.06.25. 오후 4:48,"거래소, 금강제강에 주가급등 사유 조회공시 요구","[아시아경제 김종일 기자] 한국거래소는 25일 금강제강에 최근 주가급등에 영향을 미칠만한 구체적인 사유에 대한 조회공시를 요구했다.

김종일 기자 livewin@

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>

[관련기사]

▶ '이하늬 충격영상' 뜨고 일 커지자 돌연…

▶ ""가난해 군대 안갔단 '김무열' 어머니 직업이…""

▶ ""사실이라던 '이하늬 소문' 충격 장면 퍼지자…""

▶ 인삼 다당체 진산 항암면역 증강작용 탁월! 암극복!!

▶ '은지원' 1박2일 관두고 광고찍고 번 돈이…"
금강제강,이데일리,2012.06.25. 오후 4:59,"금강제강, 주가급등 관련 조회공시","[이데일리 정재웅 기자] 한국거래소 코스닥 시장본부는 25일 금강제강(105070)에 대해 최근의 현저한 시황변동(주가급등)에 영향을 미칠만한 구체적인 사유에 관한 조회공시를 요구했다. 답변시한은 오는 26일 오후 6시까지다.

정재웅 (esperanz@edaily.co.kr)


▶ 당신의 생활 속 언제 어디서나 이데일리 ‘ 신문 PDF바로보기‘
▶ 스마트 경제종합방송 이데일리 TV
▶ 실시간 뉴스와 증권거래, 내 손안의 금융시장 ‘이데일리 모바일 서비스’
▶ 전문가를 위한 국내 최상의 금융정보단말기 ‘이데일리 마켓포인트 2.0’
▶ 증권전문가방송 '이데일리 ON', 고객상담센터 1666-2200 | 종목진단/추천 신규오픈
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
금강제강,헤럴드POP,2012.06.25. 오후 5:11,"＜생생코스닥＞금강제강, 주가급등 조회공시 요구","한국거래소는 25일 금강제강(105070)에 최근 현저한 주가급등과 관련하여 조회공시를 요구했다.

답변시한은 오는 26일 오후 6시까지이다.

[오늘의 인기기사]
◆ 韓 모델 100명, 대만 원정 성매매 논란…“매춘도 한류” 비난
◆ 문재인 지지율 급상승, 박근혜 하락
◆ 또 김여사, 음주에 막말까지 ""나 돈 좀 있어""
◆ 정형돈 가방 속 비밀 “제 가방이 궁금하세요?”…가방안에는 고작
◆ 5년차 지지율 노무현-이명박 누가 잘했나
- 헤럴드 생생뉴스 Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
금강제강,조선비즈,2012.06.25. 오후 5:35,"[조회공시] 금강제강, 현저한 주가급등 사유","한국거래소는 25일 금강제강에 최근의 현저한 주가급등에 영향을 미칠만한 구체적인 사유를 밝히라고 조회공시를 요구했다. 답변시한은 26일 오후 6시까지다.

[정선미 기자 smjung10@chosun.com]

조선비즈 핫 뉴스 Best
ㆍ""韓경제 다시 뜬다…中, 큰 충격 예상""
ㆍ""어린이집마저 명품"" 삼성, 역시 달랐다
ㆍ소문만 무성하던 갤럭시S3, 출시하자 '난리'
ㆍ""우리금융을 인수한다고?"" KB금융, 공식 부인
ㆍ""여름휴가는 여수 엑스포로"" 총동원령


chosunbiz.com"
금강제강,헤럴드POP,2012.06.25. 오후 5:50,<생생코스닥>금강제강 엿새째 상한가…투자경고 종목 지정,"[헤럴드경제=남민 기자] 한국거래소 코스닥 시장본부는 25일 엿새째 상한가를 이어가고 있는 금강제강(105070)에 대해 최근의 현저한 시황변동(주가급등)에 영향을 미칠만한 구체적인 사유에 관한 조회공시를 요구했다. 답변시한은 오는 26일 오후 6시까지다.

지난 15일 종가가 1285원이었던 금강제강 주가는 익일 거래일인 18일부터 이날까지 엿새 상한 행진 중이다. 이날 종가는 2955원.

금강제강은 현재 투자경고 종목으로 지정됐다.

suntopia@heraldm.com








[오늘의 인기기사]
◆ 韓 모델 100명, 대만 원정 성매매 논란…“매춘도 한류” 비난
◆ 문재인 지지율 급상승, 박근혜 하락
◆ 또 김여사, 음주에 막말까지 ""나 돈 좀 있어""
◆ 정형돈 가방 속 비밀 “제 가방이 궁금하세요?”…가방안에는 고작
◆ 5년차 지지율 노무현-이명박 누가 잘했나
- 헤럴드 생생뉴스 Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
금강제강,세계일보,2012.06.25. 오후 9:04,[공시] 금강제강에 주가급등 설명 요구,"[세계파이낸스]
한국거래소는 25일 금강제강에 최근의 주가급등과 관련해 설명하라는 조회공시를 했다.

세계파이낸스 뉴스팀 fn@segyefn.com
[Segye.com 인기뉴스]
◆ 아이 화상입힌 국물녀 ""오히려 내가 피해자""
◆ 6일만에 관속서 '부활'… 다시 살아난 노인
◆ 여관서 자고 일어나보니 '신장 강탈' 황당
◆ '과다 노출' 톱모델에 벌금 ""춤추다 가슴이…""
◆ 추위에 가장 강한 동물 1위 북극곰, 2위 펭귄, 3위는?
[ⓒ 세계파이낸스 & Segye.com, 무단 전재 및 재배포 금지]
세계일보 [자동차전문섹션] [스마트캠페인] [트위터/페이스북/미투데이]
<세계닷컴은 한국온라인신문협회(www.kona.or.kr)의 디지털뉴스이용규칙에 따른 저작권을 행사합니다.>"
금강제강,세계일보,2012.06.26. 오전 9:11,"[특징주] 금강제강, 투자경고종목 지정에도 강세","[세계파이낸스]금강제강이 투자경고종목 지정에도 불구하고 강세다.

26일 오전9시7분 현재 금강제강은 전일대비 14% 오른 3370원에 거래되고 있다.

한국거래소는 전날 금강제강을 투자경고종목으로 지정한다고 밝히고 주가급등 사유에 대한 조회공시를 요구했다.

금강제강은 지난 18일부터 전날까지 엿새째 상한가를 기록하는 등 초강세를 나타내고 있다.

유병철 세계파이낸스 기자 ybsteel@segyefn.com
[Segye.com 인기뉴스]
◆ 아이 화상입힌 국물녀 ""오히려 내가 피해자""
◆ 6일만에 관속서 '부활'… 다시 살아난 노인
◆ 여관서 자고 일어나보니 '신장 강탈' 황당
◆ '과다 노출' 톱모델에 벌금 ""춤추다 가슴이…""
◆ 추위에 가장 강한 동물 1위 북극곰, 2위 펭귄, 3위는?
[ⓒ 세계파이낸스 & Segye.com, 무단 전재 및 재배포 금지]
세계일보 [자동차전문섹션] [스마트캠페인] [트위터/페이스북/미투데이]
<세계닷컴은 한국온라인신문협회(www.kona.or.kr)의 디지털뉴스이용규칙에 따른 저작권을 행사합니다.>"
금강제강,한국경제TV,2012.06.26. 오전 9:18,[특징주] 금강제강 상한가‥투자경고종목 지정,"투자경고종목으로 지정된 금강제강이 장시작과 동시에 상한가로 직행했습니다.

오전 9시7분 현재 금강제강은 가격제한폭까지 치솟아 3천370원에 거래되면서 지난 18일 이후 7일 연속 상한가를 기록중입니다.

한국거래소는 어제(25일) 금강제강에 최근 주가급등에 미칠만한 구체적인 사유에 대한 조회공시를 요구하는 한편 어제 종가가 5일전의 종가보다 60% 이상 상승했다는 이유 등을 들어 오늘(26일) 하루동안 투자경고종목으로 지정한다고 공시했습니다.

오상혁기자 osh@wowtv.co.kr

▶ 놀이기구 타다 中 1세男 손가락 잘려 끔찍 사고 생생영상

▶ `공간활용 최고` 홍콩 건축가 작품, 9평 아파트 생생영상

▶ `두 바다가 만나는 곳`

▶ 효연 탱크탑, 섹시한 녹색 드레스 입고 차차차 `우승`

▶ 애프터스쿨, 단체 쩍벌댄스에 ""화들짝""…살색의 향연"
금강제강,조선비즈,2012.06.26. 오전 9:42,"[특징주] 금강제강, 투자경고종목 지정에도 7일째 상한가","투자경고종목으로 지정된 금강제강이 가격제한폭까지 올랐다.

7거래일째 상한가를 기록하며 26일 오전 9시 36분 현재 3390원에 거래되고 있다.

매수상위 목록에는 개인 투자자들이 많이 이용하는 키움증권이 이름을 올리고 있다. 현대증권, 신한금융투자, 미래에셋증권 창구로도 매수세가 유입되고 있다.

한국거래소 코스닥시장본부는 26일부터 금강제강을 투자경고종목으로 지정한다고 공시했다.

[이진혁 기자 kinoeye@chosun.com]

조선비즈 핫 뉴스 Best
ㆍ""집 산 죄인"" 빚내 산 집, 값 폭락하자…
ㆍ""韓경제 다시 뜬다…中, 큰 충격 예상""
ㆍ소문만 무성하던 갤럭시S3, 출시하자 '난리'
ㆍ""어린이집마저도 명품"" 삼성은 역시 달랐다
ㆍ""우리금융을 인수한다고?"" KB금융, 공식 부인


chosunbiz.com"
금강제강,머니투데이,2012.06.26. 오전 11:47,"금강제강 ""주가급등 사유없음""","[머니투데이 황국상 기자]금강제강은 지난 25일 최근 주가급등 관련 한국거래소의 조회공시 요구에 ""별도로 공시할 중요한 정보가 없다""고 26일 공시했다.

[머니투데이 핫뉴스]
☞ '회장부인이 박정희 손녀' 이 회사 벌써 700억을…
☞ 반찬통에 꽂힌 고학생 '1조 주식부자' 되다
☞ 北 3000명 vs 韓 500명, '전투력 차이' 쇼크
☞ '틀리면 퇴학' 도대체 어떤 문제길래?
☞ '시급 100만원' 아르바이트 눈길

황국상기자 gshwang@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
금강제강,한국경제,2012.06.26. 오전 11:50,"금강제강 ""주가급등 이유 없다""","금강제강은 26일 최근의 현저한 주가급등 사유를 묻는 조회공시 답변에서 ""시황변동과 관련해 별도로 공시할 중요한 정보가 없다""고 밝혔다.

한경닷컴 정현영 기자 jhy@hankyung.com

▶ `혹시 바람피는거 아니야?` 카톡 몰래 보는 법

▶ ""강간하고 있는 중"" 페이스북 대화에 '등골 오싹'

▶ '오징어회' 술안주로 즐겨 먹었는데 ""이럴 수가!""

▶ 걸그룹 뺨치는 '야구장 女神` 치어리더

▶ [화보] '압구정 가슴녀' 비키니 몸매 공개

[한국경제 구독신청] [온라인 기사구매] [한국경제 모바일 서비스]

ⓒ <성공을 부르는 습관> 한경닷컴, 무단 전재 및 재배포 금지

<한국온라인신문협회의 디지털뉴스이용규칙에 따른 저작권을 행사합니다>"
금강제강,파이낸셜뉴스,2012.06.26. 오후 12:52,금강제강 “주가급등 사유없어”,"금강제강은 26일 한국거래소의 주가급등에 관한 조회공시 요구에 대해 ""시황변동과 관련해 별도로 공시할 중요한 정보가 없다""고 답변했다.
kiduk@fnnews.com 김기덕 기자



■ 오늘의 핫뉴스
▶ ‘수영장 물이 핏빛..’ 기상천외한 수영장들
▶ 갤럭시S3, 유럽 소비자 평가에서 선두 질주
▶ 스티븐 호킹 뇌 해킹, 생각만으로 의사소통 “텔레파시 현실화?”
▶ 다이어트에 성공하려면 ‘이것’부터 바꿔라
▶ 잠 안 올 때 하는 짓, “90%가 아니라 100% 다 할 듯”


※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
