종목명,신문사,시간,제목,본문
씨씨에스,머니투데이,2018.01.31. 오전 11:06,"씨씨에스, '신과함께' 제작사와 손잡고 영화투자 진출","[머니투데이 김건우 기자]
지난 30일 씨씨에스충북방송과 리얼라이즈픽쳐스의 업무제휴 계약체결 후 유희훈 씨씨에스 대표, 정준호 한국체스게임 회장, 원동연 리얼라이즈픽쳐스 대표가 기념촬영을 하고 있다 /사진제공=한국체스게임
씨씨에스(CCS충북방송)가 1400만명을 동원한 영화 '신과 함께'의 제작사 리얼라이즈픽쳐스와 영화 투자 사업을 시작한다고 31일 밝혔다.

씨씨에스는 지난 30일 리얼라이즈픽쳐스와 영화 투자 및 지원을 위한 업무제휴 계약을 체결했다.

씨씨에스와 리얼라이즈픽쳐스는 VR(가상현실), VFX(시각특수효과) 등 다양한 기술을 활용한 콘텐츠를 함께 제작할 방침이다. 씨씨에스는 리얼라이즈픽쳐스가 제작하는 영화에 투자할 계획이다.

씨씨에스 관계자는 ""이번 제휴로 씨씨에스는 영화 투자업에 진출하게 되고, 리얼라이즈픽쳐스는 재원 확보를 통해 안정적으로 제작할 수 있는 기반을 마련했다""고 말했다.

▶지금 옆사람이 보는 기사들
▶무료 만화 보고 선물도 받고~ ▶치어리더 vs 레이싱걸

김건우 기자 jai@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
씨씨에스,머니투데이,2018.02.05. 오후 3:48,"씨씨에스 ""경영진 횡령혐의 피고발.. 확인된 사실 없어""","[머니투데이 안재용 기자]
씨씨에스는 ""재공시 시점 현재 서울중앙지검에 현 경영진이 횡령 혐의가 있다는 이유로 피고발된 사실 외에는 추가로 확인한 사실이 없다""며 ""매년 외부 회계감사 결과를 검토한 결과 현재까지 현 경영진의 횡령 혐의가 사실로 확인된 사항은 없으며, 당사가 수사기관으로부터 상기 피고발과 관련하여 통보받은 내용도 없다""고 5일 공시했다.

▶빵~ 뜨는 따끈한 기사
▶무료 만화 보고 선물도 받고~ ▶치어리더 vs 레이싱걸

안재용 기자 poong@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
씨씨에스,뉴시스,2018.02.05. 오후 3:54,"씨씨에스 ""現 경영진 횡령 혐의 피고발 사실 확인""","【서울=뉴시스】장서우 기자 = 코스닥 상장 유선 방송업체 씨씨에스(066790)는 5일 현 경영진의 횡령 혐의에 따른 피고발설에 대한 한국거래소의 조회공시 요구에 대해 ""서울중앙지검에 현 경영진이 횡령 혐의가 있다는 이유로 피고발된 사실 외에 추가로 확인한 사항은 없다""고 답했다.

이어 ""매년 외부 회계 감사 결과를 검토한 결과 현재까지 현 경영진의 횡령 혐의가 사실로 확인된 사항은 없으며 당사가 수사기관으로부터 상기 피고발과 관련해 통보받은 내용도 없다""며 ""추후 구체적인 내용이 확인되는 시점 또는 3개월 이내에 재공시하겠다""고 덧붙였다.

앞서 지난달 4일 씨씨에스는 현 경영진의 피고발 사실은 확인했으나 혐의 사실 여부에 대해 확인된 사항은 없다고 답한 바 있다.

suwu@newsis.com

▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기
▶ 뉴시스 SNS [페이스북] [트위터]

<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
씨씨에스,이데일리,2018.02.05. 오후 4:21,씨씨에스 “경영진 횡령혐의 피고발.. 확인된 사실 없어”,"[이데일리 윤필호 기자] 씨씨에스(066790)는 경영진의 횡령 혐의에 따른 피고발설에 대한 한국거래소의 조회공시 요구에 대해 “재공시 시점 현재 서울중앙지검에 현 경영진이 횡령 혐의가 있다는 이유로 피고발된 사실 외에는 추가로 확인한 사실이 없다”고 5일 공시했다. 회사는 “매년 외부 회계감사 결과를 검토한 결과 현재까지 현 경영진의 횡령 혐의가 사실로 확인된 사항은 없다”며 “당사가 수사기관으로부터 상기 피고발과 관련하여 통보받은 내용도 없다”고 했다.

윤필호 (nothing@edaily.co.kr)

▶[가상화폐 열풍] 시장분석과 투자 정보를 한눈에...
▶[네이버 채널]에서 ‘이데일리’ 구독하기 | ▶[카카오톡] 플친 맺기~♥


＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
씨씨에스,머니투데이,2018.02.07. 오후 6:26,"씨씨에스, 손홍근씨가 주주명부 열람 가처분신청 제기","[머니투데이 권혜민 기자]
씨씨에스는 손홍근씨가 회사를 대상으로 청주지방법원 충주지원에 주주명부 열람 및 등사 가처분신청을 신청했다고 7일 공시했다.

▶빵~ 뜨는 따끈한 기사
▶무료 만화 보고 선물도 받고~ ▶치어리더 vs 레이싱걸

권혜민 기자 aevin54@

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
씨씨에스,머니투데이,2018.02.07. 오후 6:33,"씨씨에스, 주주명부 열람 및 등사 가처분 피신청","[머니투데이 김훈남 기자] 씨씨에스는 손홍근씨가 청주지법 충주지원에 회사를 상대로 주주명부 열람 및 등사 가처분 신청을 제기했다고 7일 공시했다.

회사 측은 ""법원으로부터 심문기일 통지서 등 청구내용을 확인할 수 있는 서류 확인을 통해 구체적 내용확인 시 재공시예정""이라고 밝혔다.

▶빵~ 뜨는 따끈한 기사
▶무료 만화 보고 선물도 받고~ ▶치어리더 vs 레이싱걸

김훈남 기자 hoo13@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
씨씨에스,머니투데이,2018.02.19. 오후 2:46,"씨씨에스, 세방학원과 韓 최초 돔세트장 사업 추진","[머니투데이 김건우 기자]
유희훈 씨씨에스 대표(왼쪽), 이문연 세방학원 이사장, 정준호 한국체스게임 회장이 업무협약 체결 뒤 기념촬영을 하고 있다.

씨씨에스(CCS충북방송)이 서일대학교의 재단 세방학원, 한국체스게임과 함께 국내외 외국인을 대상으로 ‘한글아카데미와 방송사관학교 사업’ 및 한국최초의 돔세트장 사업’에 대한 업무제휴식을 가졌다고 19일 밝혔다.

씨씨에스와 세방학원은 '한글아카데미와 방송사관학교‘를 설립 운영해 국내외 외국인 교육생을 유치, 한국어를 구사하는 방송인을 배출할 계획이다. VR(가상현실) 방송 및 영화 콘텐츠를 제작한 뒤 SNS(소셜네트워크서비스)를 통해 출신 국가에 노출하도록 지원할 계획이다.

특히 세방학원이 보유한 부지에 1000평 규모로 한국 최대의 모션캡쳐, VFX(시각특수효과), 수중촬영이 가능한 돔 스튜디오를 설립할 예정이다. 방송, 드라마, 영화, 광고 제작사들이 계절의 제약 없이 작품제작이 가능하다고 회사 측은 설명했다.

유희훈 씨씨에스 대표는 ""‘돔 세트장은 방송, 영화 등에 관심이 있는 전국의 학생들이 체험할 수 있도록 외부에서 돔 내부의 작업현장을 볼 수 있게 하고, 더 나아가 해외 관광객들에게 한류 제작 현장을 탐방 할 수 있는 장소로 제공하겠다""고 말했다.

▶빵~ 뜨는 따끈한 기사
▶무료 만화 보고 선물도 받고~ ▶치어리더 vs 레이싱걸

김건우 기자 jai@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
씨씨에스,머니투데이,2018.02.19. 오후 4:58,"씨씨에스, 최대주주 유인무씨가 주총소집허가 소송 제기","[머니투데이 하세린 기자] CCS충북방송을 운영하는 유선방송업자 씨씨에스는 최대주주인 유인무씨가 주총 소집허가 소송을 청주지방법원 충주지원에 제기했다고 21일 공시했다.

유씨는 △사내이사 선임의 건(후보자 유희범·정준호·정태원·윤명진·이주홍) △감사 선임의 건(후보자 이현무) △제21기 재무제표 및 연결재무제표 승인의 건 △대표이사 유희훈 재선임의 건 등을 내용으로 하는 주총 소집을 요구했다.

회사 측은 ""소송대리인을 통해 법적인 절차에 따라 대응할 예정""이라고 밝혔다.

▶빵~ 뜨는 따끈한 기사
▶무료 만화 보고 선물도 받고~ ▶치어리더 vs 레이싱걸

하세린 기자 iwrite@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
씨씨에스,파이낸셜뉴스,2018.02.22. 오전 11:28,"[fnRASSI]씨씨에스, 3.39% 오르며 거래량 증가","씨씨에스(066790)는 당일 거래량 증가로 최근 5거래일 거래량의 최고치를 경신했다. 그리고 씨씨에스는 5일 연속 상승흐름을 보이며, 11시 24분 현재 3.39% 증가한 640원에 거래중이다.

상장주식수 대비 거래량은 2.59%로 적정수준
최근 한달간 씨씨에스의 상장주식수 대비 거래량을 비교해보니 일별 매매회전율이 2.59%로 집계됐다. 그리고 동기간 장중 저점과 고점의 차이인 일평균 주가변동률을 3.48%를 나타내고 있다.

외국인/개인 순매수, 기관은 순매도(한달누적)
2월14일부터 전일까지 기관이 4거래일 연속 순매도를 보였다. 4주간을 기준으로 보면 외국인이 초반에 동종목을 순매수한 이후에 기세를 이어가며 830,582주를 순매수했고, 개인들도 매기를 떨어뜨리면서도 404,725주를 순매수했다. 하지만 기관은 매도 관점으로 접근하면서 1,235,307주를 순매도했다.

'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
씨씨에스,전자신문,2018.03.12. 오전 9:34,[ET투자뉴스]씨씨에스_外人 대량매수 이후 주가도 탄력 받아 현재 +2.44%,"외국인이 전일 씨씨에스를 평소와 다르게 큰 규모로 순매수했다. 전일 순매수량은 전체 거래량의 11.03%를 차지할 정도로 크다. 외국인의 순매수로 수급여건이 개선되면서 주가도 상승세를 나타내고 있다. 이러한 영향권에서 12일 오전 9시 33분 현재 15원(2.44%) 오른 629원을 기록하고 있다.

[주가/수급동향]
기관이 15일연속 주식을 팔고 있는 반면 외국인은 2일연속 주식을 사고 있다. 최근 한달간 씨씨에스의 상장주식수 대비 거래량을 비교해보니 일별 매매회전율이 1.2%로 집계됐다. 그리고 동기간 장중 저점과 고점의 차이인 일평균 주가변동률을 2.76%를 나타내고 있다.
그리고 최근 5일간 거래비중은 개인이 90.34%, 외국인이 9.65%를 기록한 것으로 나타났다.

[업종내 종목흐름]
이 시각 현재 관련종목들도 상승이 우세한 가운데 방송서비스업종은 0.36% 상승중이다.
티비씨 732원
▼5(-0.68%) KNN 1,015원
▲5(+0.50%)
한국경제TV 3,695원
▲5(+0.14%) YTN 2,185원
▲5(+0.23%)

[재무특징]
영업이익률 현재 -4.93%로 업종평균 하회.

증시분석 전문기자 로봇 ET etbot@etnews.com
전자신문과 씽크풀의 증시분석 전문기자 로봇 ET가 쓴 기사입니다

▶ ICT 패러다임의 변화, Block Chain Innovation Conference 2018
▶ 전자신문 포스트 바로가기
▶ 전자신문 바로가기
[Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
