종목명,신문사,시간,제목,본문
테라셈,서울경제,2018.09.10. 오전 9:32,"<코>테라셈, 전일 대비 9.90% 상승.. 일일회전율은 1.54% 기록","[서울경제] 테라셈(182690)은 10일 오전 9시 30분 현재 9.90% 오른 2,110원에 거래되고 있으며, 26(매도):74(매수)의 매수우위를 기록하고 있다. 거래대금은 4억3,952만, 거래량은 21만5,395주로 거래량회전율은 1.54%로 나타났다.



지난 1개월간 테라셈은 상승 13회, 하락 15회를 기록했고, 주가수익률은 -2.99% 표준편차는 4.16%를 기록했다. 이 기간 '반도체업' 업종 평균 주가수익률은 -2.97%로 나타났으며, 변동성은 1.32%를 기록했다.

이 시각 현재 '반도체업'은 0.46% 상승 중이며, 43(매도):57(매수)의 매수우위를 기록하고 있다.

[이 기사는 증시분석 전문기자 서경뉴스봇(newsbot@sedaily.com)이 실시간으로 작성했습니다.]

/서경뉴스봇 newsbot@sedaily.com

[서울경제 바로가기]
프리미엄 미디어 Signal이 투자의 바른 길을 안내합니다 [바로가기▶]
블록체인의 모든 것, 서울경제 Decenter [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
테라셈,전자신문,2018.09.13. 오후 4:37,"[ET투자뉴스][테라셈 지분 변동] (주)엘엠케이파트너스-1.3%p 감소, 8.88% 보유","테라셈(182690)은 13일 - (주)엘엠케이파트너스의 보유주식이 감소되었다고 발표했다. 이는 직전 보고일보다 200,000주 감소하여 지분율은 8.88%로 하락했다. 이번 보고 사유는 장내매도에 따른 보유주식수변동으로 알려졌다.




최대주주와 특수관계자의 지분 변동은 주가에 영향을 주는 요인이다. 특히 보유비율을 지속적으로 늘리거나 줄일 경우, 해당종목 투자시 유의할 필요가 있다.
다음은 테라셈의 지분 변동 내역과 보유 내역이다.







증시분석 전문기자 로봇 ET etbot@etnews.com
전자신문과 씽크풀의 증시분석 전문기자 로봇 ET가 쓴 기사입니다

▶ 전자신문 바로가기
[Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
테라셈,서울경제,2018.10.01. 오전 10:22,"<코>테라셈, 전일 대비 8.19% 상승.. 일일회전율은 1.62% 기록","[서울경제] 테라셈(182690)은 1일 오전 10시 21분 현재 8.19% 오른 1,850원에 거래되고 있으며, 41(매도):59(매수)의 매수우위를 기록하고 있다. 거래대금은 4억689만, 거래량은 22만6,425주로 거래량회전율은 1.62%로 나타났다.



지난 1개월간 테라셈은 상승 9회, 하락 20회를 기록했고, 주가수익률은 -25.70% 표준편차는 4.13%를 기록했다. 이 기간 '반도체업' 업종 평균 주가수익률은 -0.46%로 나타났으며, 변동성은 0.87%를 기록했다.

이 시각 현재 '반도체업'은 0.11% 상승 중이며, 46(매도):54(매수)의 매수우위를 기록하고 있다.

[이 기사는 증시분석 전문기자 서경뉴스봇(newsbot@sedaily.com)이 실시간으로 작성했습니다.]

/서경뉴스봇 newsbot@sedaily.com

[서울경제 바로가기]
프리미엄 미디어 Signal이 투자의 바른 길을 안내합니다 [바로가기▶]
블록체인의 모든 것, 서울경제 Decenter [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
테라셈,서울경제,2018.10.11. 오후 3:16,"<코>테라셈, 장중 신저가 기록.. 1,540→1,515(▼25)","[서울경제] 오후 3시 15분 현재 테라셈(182690)이 8.73% 내린 1,515원(▼145)을 기록하며, 52주 신저가를 -25원 경신했다. 기존 52주 최저가는 2018년 06월 20일 기록한 1,540원이다. 체결강도는 56%로 강세 반전했다. 총매수체결량은 52,097주, 총매도체결량은 92,698주를 각각 기록했다. (※ 체결강도(%) = (총매수체결량/총매도체결량)*100)



이 시각 현재 거래대금은 2억4,315만, 거래량은 15만4,627주를 기록하고 있으며, 수급측면으로는 64(매도):36(매수)의 매도우위를 보이고 있다.

거래일을 기준으로 최근 3일간 평균 거래량은 1십3만3천주, 60일 평균 거래량 3십8만5천주로 최근 거래량이 큰 폭으로 감소하는 추세다.

[이 기사는 증시분석 전문기자 서경뉴스봇(newsbot@sedaily.com)이 실시간으로 작성했습니다.]

/서경뉴스봇 newsbot@sedaily.com

[서울경제 바로가기]
프리미엄 미디어 Signal이 투자의 바른 길을 안내합니다 [바로가기▶]
서울경제ㆍ서울시 주최 블록체인 이벤트 ‘ABF in Seoul’ [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
테라셈,서울경제,2018.10.26. 오후 12:07,"<코>테라셈, 장중 신저가 기록.. 1,390→1,295(▼95)","[서울경제] 오후 12시 7분 현재 테라셈(182690)이 7.83% 내린 1,295원(▼110)을 기록하며, 52주 신저가를 -95원 경신했다. 기존 52주 최저가는 2018년 10월 25일 기록한 1,390원이다. 체결강도는 39%로 강세 반전했다. 총매수체결량은 29,329주, 총매도체결량은 75,513주를 각각 기록했다. (※ 체결강도(%) = (총매수체결량/총매도체결량)*100)



이 시각 현재 거래대금은 1억3,888만, 거래량은 10만2,166주를 기록하고 있으며, 수급측면으로는 72(매도):28(매수)의 매도우위를 보이고 있다.

거래일을 기준으로 최근 3일간 평균 거래량은 7만7천주, 60일 평균 거래량 3십만7천주로 최근 거래량이 큰 폭으로 감소하는 추세다.

[이 기사는 증시분석 전문기자 서경뉴스봇(newsbot@sedaily.com)이 실시간으로 작성했습니다.]

/서경뉴스봇 newsbot@sedaily.com

[서울경제 바로가기]
프리미엄 미디어 Signal이 투자의 바른 길을 안내합니다 [바로가기▶]
서울경제ㆍ서울시 주최 블록체인 이벤트 ‘ABF in Seoul’ [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
테라셈,서울경제,2018.10.29. 오후 12:58,"<코>테라셈, 장중 신저가 기록.. 1,140→1,115(▼25)","[서울경제] 오후 12시 57분 현재 테라셈(182690)이 9.35% 내린 1,115원(▼115)을 기록하며, 52주 신저가를 -25원 경신했다. 기존 52주 최저가는 2018년 10월 26일 기록한 1,140원이다. 체결강도는 39%로 강세 반전했다. 총매수체결량은 66,846주, 총매도체결량은 171,841주를 각각 기록했다. (※ 체결강도(%) = (총매수체결량/총매도체결량)*100)



이 시각 현재 거래대금은 2억7,516만, 거래량은 23만6,977주를 기록하고 있으며, 수급측면으로는 72(매도):28(매수)의 매도우위를 보이고 있다.

거래일을 기준으로 최근 3일간 평균 거래량은 2십2만2천주, 60일 평균 거래량 3십1만1천주로 최근 거래량이 큰 폭으로 감소하는 추세다.

[이 기사는 증시분석 전문기자 서경뉴스봇(newsbot@sedaily.com)이 실시간으로 작성했습니다.]

/서경뉴스봇 newsbot@sedaily.com

[서울경제 바로가기]
프리미엄 미디어 Signal이 투자의 바른 길을 안내합니다 [바로가기▶]
서울경제ㆍ서울시 주최 블록체인 이벤트 ‘ABF in Seoul’ [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
테라셈,서울경제,2018.10.30. 오전 10:27,"<코>테라셈, 전일 대비 7.14% 상승.. 일일회전율은 2.37% 기록","[서울경제] 테라셈(182690)은 30일 오전 10시 26분 현재 7.14% 오른 1,050원에 거래되고 있으며, 63(매도):37(매수)의 매도우위를 기록하고 있다. 거래대금은 3억3,289만, 거래량은 33만1,364주로 거래량회전율은 2.37%로 나타났다.



지난 1개월간 테라셈은 상승 10회, 하락 20회를 기록했고, 주가수익률은 -43.55% 표준편차는 5.33%를 기록했다. 이 기간 '반도체업' 업종 평균 주가수익률은 -19.98%로 나타났으며, 변동성은 1.68%를 기록했다.

이 시각 현재 '반도체업'은 2.11% 상승 중이며, 56(매도):44(매수)의 매도우위를 기록하고 있다.

[이 기사는 증시분석 전문기자 서경뉴스봇(newsbot@sedaily.com)이 실시간으로 작성했습니다.]

/서경뉴스봇 newsbot@sedaily.com

[서울경제 바로가기]
프리미엄 미디어 Signal이 투자의 바른 길을 안내합니다 [바로가기▶]
서울경제ㆍ서울시 주최 블록체인 이벤트 ‘ABF in Seoul’ [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
테라셈,전자신문,2018.11.01. 오전 9:25,[ET투자뉴스]테라셈_기관과 외국인 동반 매수세 현재 +5.58%,"기관과 외국인 투자자의 동반 순매수에 힘입어 주가가 상승흐름을 타고 있다. 어제까지 5일 연속 동시 순매수를 기록한 테라셈은 오늘도 60원(5.58%) 오른 1,135원을 기록하며 긍정적인 흐름을 이어가고 있다.

[주가/수급동향]
10월25일부터 전일까지 기관과 외국인 모두가 5거래일연속 동종목을 사들였다. 최근 한달간 테라셈의 상장주식수 대비 거래량을 비교해보니 일별 매매회전율이 1.3%로 집계됐다. 동기간 일평균 주가변동률은 14.42%로 장중 주가등락이 심하기 때문에 투자시 주의가 요망된다.
그리고 최근 5일간 거래비중은 개인 비중이 90.2%로 가장 높았고, 외국인이 9.25%로 그 뒤를 이었다. 기관은 0.53%를 나타냈다.

[차트신호]
최근 주가변동폭을 기준으로 한 현재 주가는 하락추세는 지속되고 있고,거래량 지표로 볼 때는 상승에 필요한 에너지가 부족한 상황이며투자심리적 관점에서 보면 투자자들은 적정한 심리를 유지하고 있고
이동평균선들의 배열도를 분석을 해보면 단기, 중기, 장기 이동평균선이 역배열을 이루고 있는 전형적인 약세국면에 머물러 있다.

[업종내 종목흐름]
이 시각 현재 관련종목들은 혼조세를 보이고 있으나 반도체업종은 0.55% 상승중이다.
제너셈 1,890원
▲75(+4.13%) 옵토팩 3,305원
▼15(-0.45%)
오킨스전자 2,615원
▲15(+0.58%) 엘디티 2,430원
▼10(-0.41%)

[재무특징]
영업이익률 현재 -64.27%로 업종평균 하회. PBR은 1.38임.

증시분석 전문기자 로봇 ET etbot@etnews.com
전자신문과 씽크풀의 증시분석 전문기자 로봇 ET가 쓴 기사입니다

▶ 데이터를 세상에서 가장 잘 다루는 나라 - 데이터 코리아 빅뱅 2019
▶ 네이버 모바일에서 [전자신문] 채널 구독하기
▶ 전자신문 바로가기
[Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
테라셈,서울경제,2018.11.01. 오전 9:55,"<코>테라셈, 전일 대비 7.44% 상승.. 일일회전율은 1.08% 기록","[서울경제] 테라셈(182690)은 1일 오전 9시 54분 현재 7.44% 오른 1,155원에 거래되고 있으며, 37(매도):63(매수)의 매수우위를 기록하고 있다. 거래대금은 1억6,755만, 거래량은 15만372주로 거래량회전율은 1.08%로 나타났다.



지난 1개월간 테라셈은 상승 12회, 하락 18회를 기록했고, 주가수익률은 -37.90% 표준편차는 5.47%를 기록했다. 이 기간 '반도체업' 업종 평균 주가수익률은 -16.32%로 나타났으며, 변동성은 1.89%를 기록했다.

이 시각 현재 '반도체업'은 0.37% 상승 중이며, 50(매도):50(매수)의 보합세를 보이고 있다

[이 기사는 증시분석 전문기자 서경뉴스봇(newsbot@sedaily.com)이 실시간으로 작성했습니다.]

/서경뉴스봇 newsbot@sedaily.com

[서울경제 바로가기]
프리미엄 미디어 Signal이 투자의 바른 길을 안내합니다 [바로가기▶]
서울경제ㆍ서울시 주최 블록체인 이벤트 ‘ABF in Seoul’ [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
테라셈,파이낸셜뉴스,2018.11.01. 오전 10:34,[fnRASSI]테라셈(182690) 21.4% 상승,"현재 테라셈(182690)은 전일대비 21.4% 상승하여 1,305원 선에서 거래가 이루어지고 있다.

주가등락폭이 너무 커
최근 한달간 테라셈의 상장주식수 대비 거래량을 비교해보니 일별 매매회전율이 1.3%로 집계됐다. 동기간 일평균 주가변동률은 14.42%로 장중 주가등락이 심하기 때문에 투자시 주의가 요망된다.

외국인 연속 5일, 기관 역시 연속 5일 순매도
최근 외국인과 기관 투자자가 매수 추세에 있다. 외국인은 연속5일동안 203,358주 매수하며 보유 비율을 2.81%로 늘렸다. 기관은 5일 연속 순매수하며 전일 4,480주 매수하였다.

다음 표는 동종목의 외국인, 기관의 일별 순매수량을 나타낸 것이다.



'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
