종목명,신문사,시간,제목,본문
에이티세미콘,머니투데이,2015.06.15. 오후 4:14,"에이티세미콘, 30억 규모 자사주 처분 결정","[머니투데이 김하늬 기자] 에이티세미콘은 15일 재무구조 개선 및 유통주식 물량 증대에 따른 거래활성화 차원에서 30억 규모의 자사 보통주 215만6808주(4.26%)를 장내 매도키로 결정했다고 공시했다.

[내 삶을 바꾸는 정치뉴스 'the 300']['스페셜 걸' 포토][Ten Lines News 티타임즈][입법국정전문지 더리더(the Leader)]['취업의 모든 것' 잡드림 ]

김하늬 기자 honey@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
에이티세미콘,아시아경제,2015.06.15. 오후 4:24,"에이티세미콘, 30억 규모 자사주 처분 결정","[아시아경제 김민영 기자]에이티세미콘은 15일 재무구조 개선 및 유통주식 물량 증대에 따른 거래활성화를 위해 30억 규모의 자사주 215만6808주를 장내 매도키로 결정했다고 공시했다.

김민영 기자 argus@asiae.co.kr

▶ 네티즌 수사대의 진화, 궁금증 제로 ""짜장뉴스""

▶ 재미있는 동영상이 모두 모였다 ""펀캐스트""

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
에이티세미콘,헤럴드경제,2015.06.15. 오후 4:32,"<생생코스닥>에이티세미콘, 30.5억 규모 자사주 처분 결정","에이티세미콘은 재무구조 개선 및 거래 활성화를 위해 자사주 215만6808주를 장내처분키로 결정했다고 15일 공시했다.

처분예정금액은 30억5188만원이며 처분예정기간은 오는 9월 15일까지다.


▶ 1000대 한정판매 괴물 헤어드라이기 성능이?


[브로드웨이 4대뮤지컬 투어, 올여름 휴가는 뉴욕에서!]
[헤럴드경제 뉴스스탠드] [헤럴드TV 증권방송] [제5회 코리아헤럴드 청소년 외교아카데미]

[헤럴드경제 모바일 웹] [헤럴드경제 모바일앱] [SUPERICH] [REAL FOODS]

- Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
에이티세미콘,이데일리,2015.06.15. 오후 4:39,"에이티세미콘, 자사주 215만주 30억에 처분","[이데일리 김도년 기자] 에이티세미콘(089530)은 재무구조 개선과 유통주식 물량 증대로 거래 활성화를 위해 자사주 215만 6808주를 30억 5188만원에 처분하기로 결정했다고 15일 공시했다.

김도년 (kdn82@edaily.co.kr)


[종합 경제 뉴스 이데일리 모바일 웹][이데일리 TV][이데일리 ON][MP트래블러][마켓포인트][투자정보 앱 투자플러스][이데일리 창업]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
에이티세미콘,조선비즈,2015.06.16. 오전 9:58,"[특징주] 에이티세미콘, 자사주 처분 결정 소식에 하락","에이티세미콘이 자사주를 처분키로 했다는 소식에 하락하고 있다.
16일 오전 9시 51분 현재 에이티세미콘은 전날보다 3.99% 내린 1325원에 거래되고 있다.
전날 장 마감 후 에이티세미콘은 자사주 215만6808주를 처분하기로 결정했다고 공시했다. 처분 대상 주식 가격은 1415원이며, 처분 예정 금액은 총 30억5188만원이다.
[노자운 기자 noja@chosunbiz.com]

[조선비즈 바로가기] [위클리비즈] [페이스북] [카카오스토리]
chosunbiz.com"
에이티세미콘,이데일리,2015.06.17. 오전 7:21,[표]에이티세미콘 코스닥 자사주 신청내역(17일),"[이데일리 증권부]



증권부 (stock@edaily.co.kr)


[종합 경제 뉴스 이데일리 모바일 웹][이데일리 TV][이데일리 ON][MP트래블러][마켓포인트][투자정보 앱 투자플러스][이데일리 창업]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
에이티세미콘,이데일리,2015.06.18. 오전 7:18,[표]에이티세미콘 등 코스닥 자사주 신청내역(18일),"[이데일리 증권부]



증권부 (stock@edaily.co.kr)


[종합 경제 뉴스 이데일리 모바일 웹][이데일리 TV][이데일리 ON][MP트래블러][마켓포인트][투자정보 앱 투자플러스][이데일리 창업]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
에이티세미콘,이데일리,2015.06.19. 오전 7:23,[표]에이티세미콘 등 코스닥 자사주 신청내역(19일),"[이데일리 증권부]



증권부 (stock@edaily.co.kr)


[종합 경제 뉴스 이데일리 모바일 웹][이데일리 TV][이데일리 ON][MP트래블러][마켓포인트][투자정보 앱 투자플러스][이데일리 창업]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
에이티세미콘,이데일리,2015.06.22. 오전 7:17,[표]에이티세미콘 등 코스닥 자사주 신청내역(22일),"[이데일리 증권부]



증권부 (stock@edaily.co.kr)


[종합 경제 뉴스 이데일리 모바일 웹][이데일리 TV][이데일리 ON][MP트래블러][마켓포인트][투자정보 앱 투자플러스][이데일리 창업]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
에이티세미콘,이데일리,2015.06.23. 오전 8:11,[표]에이티세미콘 등 코스닥 자사주 신청내역(23일),"[이데일리 증권부]



증권부 (stock@edaily.co.kr)


[종합 경제 뉴스 이데일리 모바일 웹][이데일리 TV][이데일리 ON][MP트래블러][마켓포인트][투자정보 앱 투자플러스][이데일리 창업]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
에이티세미콘,이데일리,2015.06.24. 오전 7:15,[표]에이티세미콘 등 코스닥 자사주 신청내역(24일),"[이데일리 증권부]



증권부 (stock@edaily.co.kr)


[종합 경제 뉴스 이데일리 모바일 웹][이데일리 TV][이데일리 ON][MP트래블러][마켓포인트][투자정보 앱 투자플러스][이데일리 창업]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
에이티세미콘,이데일리,2015.06.25. 오전 7:21,[표]에이티세미콘 등 코스닥 자사주 신청내역(25일),"[이데일리 증권부]



증권시장부 (stock@edaily.co.kr)


[종합 경제 뉴스 이데일리 모바일 웹][이데일리 TV][이데일리 ON][MP트래블러][마켓포인트][투자정보 앱 투자플러스][이데일리 창업]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
에이티세미콘,이데일리,2015.06.26. 오전 7:21,[표]에이티세미콘 등 코스닥 자사주 신청내역(26일),"[이데일리 증권부]



증권시장부 (stock@edaily.co.kr)


[종합 경제 뉴스 이데일리 모바일 웹][이데일리 TV][이데일리 ON][MP트래블러][마켓포인트][투자정보 앱 투자플러스][이데일리 창업]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
에이티세미콘,이데일리,2015.06.29. 오전 7:24,[표]에이티세미콘 코스닥 자사주 신청내역(29일),"[이데일리 증권시장부]



증권시장부 (stock@edaily.co.kr)


[종합 경제 뉴스 이데일리 모바일 웹][이데일리 TV][이데일리 ON][MP트래블러][마켓포인트][투자정보 앱 투자플러스][이데일리 창업]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
에이티세미콘,이데일리,2015.07.02. 오전 8:20,[표]에이티세미콘 등 코스닥 자사주 신청내역(2일),"[이데일리 증권부]



증권시장부 (stock@edaily.co.kr)


[종합 경제 뉴스 이데일리 모바일 웹][이데일리 TV][이데일리 ON][MP트래블러][마켓포인트][투자정보 앱 투자플러스][이데일리 창업]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
에이티세미콘,이데일리,2015.07.03. 오전 7:33,[표]에이티세미콘 등 코스닥 자사주 신청내역(3일),"[이데일리 증권부]



증권시장부 (stock@edaily.co.kr)


[종합 경제 뉴스 이데일리 모바일 웹][이데일리 TV][이데일리 ON][MP트래블러][마켓포인트][투자정보 앱 투자플러스][이데일리 창업]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
에이티세미콘,이데일리,2015.07.07. 오전 7:56,[표]에이티세미콘 등 코스닥 자사주 신청내역(7일),"[이데일리 증권시장부]



증권시장부 (stock@edaily.co.kr)


[종합 경제 뉴스 이데일리 모바일 웹][이데일리 TV][이데일리 ON][MP트래블러][마켓포인트][투자정보 앱 투자플러스][이데일리 창업]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
에이티세미콘,이데일리,2015.07.09. 오전 7:24,[표]에이티세미콘 등 코스닥 자사주 신청내역(9일),"[이데일리 증권부]



증권시장부 (stock@edaily.co.kr)


[종합 경제 뉴스 이데일리 모바일 웹][이데일리 TV][이데일리 ON][MP트래블러][마켓포인트][투자정보 앱 투자플러스][이데일리 창업]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
에이티세미콘,이데일리,2015.07.13. 오전 7:23,[표]에이티세미콘 등 코스닥 자사주 신청내역(13일),"[이데일리 증권부]



증권시장부 (stock@edaily.co.kr)


[종합 경제 뉴스 이데일리 모바일 웹][이데일리 TV][이데일리 ON][MP트래블러][마켓포인트][투자정보 앱 투자플러스][이데일리 창업]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
에이티세미콘,이데일리,2015.07.14. 오전 7:24,[표]에이티세미콘 등 코스닥 자사주 신청내역(14일),"[이데일리 증권부]



증권시장부 (stock@edaily.co.kr)


[종합 경제 뉴스 이데일리 모바일 웹][이데일리 TV][이데일리 ON][MP트래블러][마켓포인트][투자정보 앱 투자플러스][이데일리 창업]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
에이티세미콘,머니투데이,2015.07.14. 오전 10:48,"에이티세미콘, 2Q 영업익 12억...전년비 57.2%↑","[머니투데이 정인지 기자] 에이티세미콘은 15일 2분기 개별 기준 영업이익이 12억900만원으로 전년 동기 대비 57.2% 증가했다고 공시했다.
매출액은 5.8% 줄어든 345억4800만원, 당기순이익은 흑자전환한 36억6400만원으로 잠정집계됐다.


[성공과 투자의 지혜 '줄리아 투자노트' ][""우리 동네도?"" 메르스 확산 어디까지][내 삶을 바꾸는 정치뉴스 'the 300'][별게 다 궁금해? '알랴ZOOM'을 봐~][아찔한 걸~ 레이싱걸 스페셜]

정인지 기자 injee@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
에이티세미콘,한국경제,2015.07.14. 오전 10:51,"에이티세미콘, 2분기 영업익 12억…전년비 57% 증가","[ 이민하 기자 ] 에이티세미콘은 지난 2분기 영업이익이 전년 대비 57.2% 증가한 12억900만원을 기록했다고 14일 공시했다.

같은 기간 매출액은 5.8% 감소한 345억4800만원, 당기순이익은 흑자전환 한 36억6400만원으로 잠정 집계됐다.


이민하 한경닷컴 기자 minari@hankyung.com


[한경+ 구독신청] [기사구매] [모바일앱] [기사보다 빠른 주식정보 , 슈퍼개미 APP] ⓒ '성공을 부르는 습관' 한경닷컴, 무단 전재 및 재배포 금지"
에이티세미콘,헤럴드경제,2015.07.14. 오전 10:53,"<생생코스닥>에이티세미콘, 2분기 영업익 12억 전년비 57.2%↑","에이티세미콘은 2분기 영업이익이 12억900만원으로 전년동기대비 57.2% 증가했다고 14일 공시했다.

매출액은 345억4800만원으로 5.8% 줄었고 당기순이익은 36억6400만원으로 흑자전환했다.


▶ 먼저 써보고 결정하라고? 괴물드라이기 성능이


[헤럴드경제 뉴스스탠드] [헤럴드TV 증권방송] [제5회 코리아헤럴드 청소년 외교아카데미]

[헤럴드경제 모바일 웹] [헤럴드경제 모바일앱] [SUPERICH] [REAL FOODS]

- Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
에이티세미콘,이데일리,2015.07.14. 오전 10:55,"에이티세미콘, 2분기 영업익 12억…전년비 57.2% 증가","[이데일리 안혜신 기자] 에이티세미콘(089530)은 2분기 영업이익이 12억900만원을 기록, 전년비 57.2% 증가했다고 14일 공시했다. 같은 기간 매출은 345억4800만원으로 전년비 5.8% 감소했다.

안혜신 (ahnhye@edaily.co.kr)


[종합 경제 뉴스 이데일리 모바일 웹][이데일리 TV][이데일리 ON][MP트래블러][마켓포인트][투자정보 앱 투자플러스][이데일리 창업]
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
에이티세미콘,아시아경제,2015.07.14. 오전 11:01,"에이티세미콘, 2분기 영업익 12억원…전년比 57.2%↑","[아시아경제 박민규 기자] 에이티세미콘은 올 2분기 영업이익이 12억원으로 전년 동기보다 57.2% 증가했다고 14일 공시했다. 같은 기간 매출은 345억원으로 5.8% 줄었다. 당기순이익은 37억원으로 흑자전환했다.

박민규 기자 yushin@asiae.co.kr

▶ 네티즌 수사대의 진화, 궁금증 제로 ""짜장뉴스""

▶ 재미있는 동영상이 모두 모였다 ""펀캐스트""

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
에이티세미콘,한국경제,2015.07.14. 오전 11:08,"에이티세미콘, 올 상반기 영업익 35억…전년비 245%↑(상보)","[ 노정동 기자 ] 에이티세미콘이 올 상반기 영업이익 전년 동기 대비 245% 증가를 달성하며 사업체질 개선 효과를 톡톡히 보고 있다.

에이티세미콘은 14일 올 상반기 매출액 691억1000만원, 영업이익 35억5100만원, 당기순이익 50억6900만원을 달성했다고 공시했다.

전방산업 업황의 일시적 부진으로 매출액은 소폭 감소했나, 영업이익은 전년동기 대비 245%로 크게 증가하면서 이익률을 높이는데 성공했다.

당기순이익은 매출액 대비 7.3%를 달성해 적자 구조를 탈피하고 흑자전환 하는데 성공했다.

회사 측은 ""지난해 초 합병 이후 회사가 지속적으로 노력해온 사업 체질개선 효과가 올해부터 본격적으로 나타나고 있다""며 ""전방산업 업황이 다소 부진해 매출 진작이 다소 지연되고 있지만, 신규 고객을 확보하기 위해 끊임없는 노력하고 있으며 새 성장동력을 확보하기 위한 신사업 추진 등의 성과도 향후 기대할 수 있을 것""이라고 말했다.

에이티세미콘은 지난해 세미텍과 합병으로 매출 규모 증대와 수익기반 구축 등의 노력으로 적자구조를 탈피해 지난해 영업이익 흑자전환을 달성하는데 성공했다.

이번 상반기에 달성한 높은 이익률은 지분법 이익 반영으로 관계사인 에이티테크놀러지의 당기순이익도 개선 시킬 것으로 기대된다.

에이티테크놀러지는 지난해 말 테스토피아와 합병을 통해 신성장동력 확보 및 수익성확보에 성공하여 13분기 만에 흑자전환을 달성한 바 있다. 또 재무구조 개선을 위한 무상감자와 유상증자의 절차를 순조로히 진행시키며 경영정상화에 주력하고 있다.

노정동 한경닷컴 기자 dong2@hankyung.com


[한경+ 구독신청] [기사구매] [모바일앱] [기사보다 빠른 주식정보 , 슈퍼개미 APP] ⓒ '성공을 부르는 습관' 한경닷컴, 무단 전재 및 재배포 금지"
에이티세미콘,서울경제,2015.07.14. 오전 11:19,"에이티세미콘, 영업익 36억…전년 比 245%↑","에이티세미콘이 올해 상반기 영업이익 245% 증가를 달성하며 사업체질 개선 효과를 톡톡히 보고 있다.

에이티세미콘(089530)은 13일 잠정실적 공시를 통해 2015년 상반기 매출액 691억원, 영업이익 35.5억원, 당기순이익 51억원을 달성했다고 밝혔다.

전방산업 업황의 일시적 부진으로 매출액은 소폭 감소했나, 영업이익은 전년동기 대비 245%로 크게 증가하면서 이익률을 높이는데 성공했고, 당기순이익은 매출대비 7.3%를 달성해 적자 구조를 탈피하고 흑자전환 하는데 성공했다.

회사 측은 ""지난해 초 합병 이후 회사가 지속적으로 노력해온 사업 체질개선 효과가 올해부터 본격적으로 나타나고 있다. 전방산업 업황이 다소 부진해 매출 진작이 다소 지연되고 있지만, 신규 고객을 확보하기 위해 끊임없는 노력하고 있으며, 새로운 성장동력을 확보하기 위한 신사업 추진 등의 성과도 향후 기대할 수 있을 것""이라고 덧붙였다.

반도체 종합 후공정 전문업체인 에이티세미콘은 지난해 세미텍과의 합병으로 매출 규모의 증대와 수익기반 구축 등의 노력으로 적자구조를 탈피해 지난해 영업이익 흑자전환을 달성하는데 성공했으며, 올해 들어서는 더 높은 이익률을 달성하는데 성공하면서 주목 받고 있다.

한편, 금번 상반기에 달성한 높은 이익률은 지분법 이익 반영으로 관계사인 에이티테크놀러지의 당기순이익도 개선 시킬 것으로 기대된다. 에이티테크놀러지는 지난해말 테스토피아와의 합병을 통하여 신성장동력 확보 및 수익성확보에 성공하여 13분기만에 흑자전환을 달성하였고, 재무구조 개선을 위한 무상감자와 유상증자의 절차를 순조로히 진행시키며 경영정상화에 주력하고 있다.

< 본 정보는 한국미디어네트워크에서 제공하는 투자판단의 참고사항입니다. >

▶ 3일간 무료 문자 종목추천 서비스 신청하기

[ⓒ 한국미디어네트워크, 무단 전재 및 재배포 금지]"
에이티세미콘,매일경제,2015.07.14. 오후 2:08,"에이티세미콘, 2분기 영업이익 12억…전년比 57.2%↑","에이티세미콘은 지난 2분기 영업이익이 12억원으로 전년 동기 대비 57.2% 증가했다고 14일 공시했다.

같은 기간 매출액은 345억원으로 5.8% 줄었고, 당기순이익은 36억원으로 흑자전환했다.

회사 측은 “사업 체질개선 효과가 올해부터 본격적으로 나타나고 있다”며 “새로운 성장동력을 확보하기 위한 신사업 추진 등의 성과도 기대할 수 있을 것”이라고 덧붙였다.

반도체 종합 후공정 전문업체인 에이티세미콘은 지난해 세미텍과의 합병으로 영업이익 흑자전환을 달성하는데 성공했다.

[매경닷컴 고득관 기자]



[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
에이티세미콘,매일경제,2015.07.14. 오후 2:12,"에이티세미콘, 올해 2분기 영업익 12억900만원…전년 동기 比 57.2%↑","에이티세미콘은 올해 2분기 영업이익이 12억900만원으로 전년 동기 대비 57.2% 증가했다고 14일 공시했다.

같은 기간 매출액은 5.8% 줄어든 345억4800만원, 당기순이익은 흑자전환한 36억6400만원으로 집계됐다.

에이티세미콘은 이번 상반기 전방사업인 반도체 후공정 시장이 기대만큼 호전되지 않아 매출이 소폭 감소했다고 분석했다. 그러나 지난해 초 세미텍과의 합병 이후 수익성을 개선, 흑자전환에 성공한 것으로 나타났다.

회사 측은 “신규 고객을 확보하기 위해 끊임없는 노력하고 있다”며 “신사업을 추진한 성과도 기대하고 있다”이라고 밝혔다.

[매경닷컴 이가희 기자]



[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
에이티세미콘,한국경제TV,2015.07.14. 오후 2:30,"[공시]에이티세미콘, 2Q 영업익 12억…전년比 57%↑","에이티세미콘은 올 2분기 영업이익이 12억900만원으로 전년동기대비 57.2% 증가했다고 14일 공시했습니다.

같은 기간 매출액은 345억4,800만원으로 5.8% 감소했고, 당기순이익은 36억6,400만원으로 흑자전환했습니다.


김도엽기자 dykim@wowtv.co.kr

`네이버 뉴스스탠드, 페이스북, 트위터에서 한국경제TV를 바로 만나보세요`
Copyright ⓒ 한국경제TV(www.wowtv.co.kr) 무단 전재 및 재배포 금지

ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
에이티세미콘,전자신문,2015.07.14. 오후 3:00,"에이티세미콘, 상반기 매출 691억...영업익 전년동기비 245% 증가","에이티세미콘(대표 김진주)은 13일 잠정실적 공시를 통해 올 상반기 매출액 691억원, 영업이익 35억원, 당기순이익 50억원을 달성했다고 밝혔다.

전방산업 업황의 일시적 부진으로 매출액은 소폭 감소했나 영업이익은 전년동기 대비 245%로 크게 증가했다. 당기순이익은 매출대비 7.3%를 달성, 흑자전환에 성공했다.

에이티세미콘 측은 “지난해 초 세미텍과의 합병 이후 지속적으로 노력해온 사업 체질개선 효과가 올해부터 본격적으로 기사화됐다”며 “신규 고객 확보는 물론이고 새로운 성장동력으로 추진하고 있는 신사업에서도 성과를 기대할 수 있을 것”이라고 말했다.

반도체 종합 후공정 전문업체인 에이티세미콘은 지난해 세미텍과의 합병으로 매출 규모 증대와 수익기반 사업 재편성 등의 노력으로 적자구조 탈피에 지속적으로 노력해 왔다.

이번 상반기에 달성한 높은 이익률은 지분법 이익 반영으로 관계사인 에이티테크놀러지의 당기순이익도 개선시킬 것으로 기대된다. 에이티테크놀러지는 지난해 말 테스토피아와의 합병으로 신성장동력과 수익성 확보에 성공해 13분기만에 흑자 전환했다.

성현희기자 sunghh@etnews.com
[네이버 뉴스스탠드에서 전자신문 뉴스를 구독하세요!!]
▶ 대한민국 최강 IT전문 뉴스 & 콘텐츠 포털 <전자신문>
▶ 생생한 IT 현장의 소식 <G밸리>, 스타일이 살아있는 자동차매거진 <RPM9>, 디지털세대의 Smart 쇼핑채널 <이버즈>, 미리 보는 환경에너지의 미래 <그린데일리>, IT비지니스의 코어 정보기술 trend <CIO BIZ>
[전자신문 앱 다운받기][전자신문 구독신청][광고문의]
[Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
