종목명,신문사,시간,제목,본문
내츄럴엔도텍,세계일보,2018.09.18. 오전 3:14,"내츄럴엔도텍, 추석 맞아 임직원 부모님께 백수오궁 증정","“잘 키워주셔서 감사합니다. 백수오 드시고 건강하세요”

내츄럴엔도텍(대표 장현우)이 추석을 앞두고 직원들의 부모님께 감사의 마음을 전달했다.

내츄럴엔도텍은 직원들을 대상으로 ‘백수오 궁’ 제품을 증정하며 그간의 수고를 격려하는 자리를 가졌다. 첫 사회생활을 내츄럴엔도텍에서 하게 된 직원 최지은씨는 “회사에서 제공해주는 혜택으로 어머니에게 이런 효도를 할 수 있게 되어 기쁘다. 직원들의 가족까지 배려해 주는 회사에서 더욱 사명감을 가지고 일하게 될 것 같다”고 말했다. 

내츄럴엔도텍 관계자는 “여성 갱년기 건강기능식품 ‘백수오 궁’은 갱년기 증상 개선에 도움을 줄 수 있어 여성에게 꼭 필요한 선물로 손꼽힌다.”고 전했다.

지차수 선임기자 chasoo@segye.com
사진=내츄럴엔도텍 제공


ⓒ 세상을 보는 눈, 글로벌 미디어 세계일보"
내츄럴엔도텍,스포츠조선,2018.09.18. 오전 11:04,"내츄럴엔도텍, 추석 맞아 임직원 부모님께 '백수오궁' 증정","헬스케어 신소재 연구개발 기업 내츄럴엔도텍은 18일 추석을 앞두고 자사 임직원들의 부모에게 '백수오 궁'을 통해 감사의 마음을 전했다고 밝혔다.

내츄럴엔도텍은 직원들에게 '백수오 궁'을 증정하고 그간의 수고를 격려했다.

내츄럴엔도텍 신입사원 최지은씨는 ""회사에서 제공해주는 혜택으로 어머니에게 효도를 할 수 있어 기쁘다""며 ""직원들의 가족까지 배려해 주는 모습에 더욱 사명감을 가지고 일할 것 같다""고 말했다.

백수오 궁은 갱년기 증상 개선에 도움을 줄 수 있는 여성 갱년기 건강기능식품이다.
이규복 기자 kblee341@sportschosun.com

[스포츠조선 바로가기] [스포츠조선 영상 보러가기]
- Copyrightsⓒ 스포츠조선(http://sports.chosun.com/), 무단 전재 및 재배포 금지"
내츄럴엔도텍,이데일리,2018.09.20. 오전 9:36,"내츄럴엔도텍, 마이크로 패치 유럽 3개국 홈쇼핑서 론칭","내츄럴엔도텍의 마이크로패치가 유럽에 진출한다.(사진=내츄럴엔도텍 제공)
[이데일리 강경훈 기자] 내츄럴엔도텍(168330)은 피부침투 약물전달용 화장품 ‘오버나잇 마이크로 패치’가 유럽 3개국 홈쇼핑에 선보인다고 20일 밝혔다.

내츄럴엔도텍은 24일 유럽 2위이자 독일 최대 홈쇼핑사인 HSE24를 통해 독일, 오스트리아, 스위스에서 론칭 방송을 진행한다고 밝혔다. HSE24는 독일, 오스트리아, 스위스를 비롯 이탈리아, 러시아 등 유럽 5개국에서 홈쇼핑 채널을 운영한다. HSE24는 이번 론칭을 시작으로 이탈리아와 러시아까지 제품 판매를 확대한다는 계획이다.

오버나잇 마이크로 패치는 미국을 비롯해 중국, 인도, 멕시코에 진출하며 글로벌 시장에서 인정받고 있다.

오버나잇 마이크로 패치는 패치 표면의 미세한 마이크로 구조체가 유효성분을 통증 없이 피부 깊숙하게 전달한다. 이번에 유럽서 선보이는 제품에는 CLHA(교차결합 히알루론산)를 기본으로 ‘바르는 보톡스’라 불리는 AHP-8(아세틸헥사펩타이드)도 들어 보습뿐 아니라 주름 고민까지 해결했다. 유럽에서는 오버나잇 마이크로 패치라는 이름 대신 ‘오나 그레이스’(Ona Grace)라는 이름으로 론칭한다.

회사 관계자는 “차별화된 기술력을 바탕으로 주 고객층인 구매력을 갖춘 여성을 충분히 공략할 수 있을 것”이라며 “유럽시장에 안착할 수 있도록 노력할 것”이라고 말했다.

강경훈 (kwkang@edaily.co.kr)

네이버에서 ‘이데일리’ 구독하면 '공기청정기' 드려요~ [구독하기▶]
20~30 세대를 위한 꿀팁! 정보 [스냅타임▶]
꿀잼 '웹툰'이 매일 매일 공짜...[웹툰보기▶]


＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
내츄럴엔도텍,한국경제TV,2018.09.20. 오전 11:05,"내츄럴엔도텍 '마이크로 패치', 유럽 3개국 홈쇼핑서 론칭","[한국경제TV 전민정 기자]
내

츄럴엔도텍은 오는 24일 유럽 2위이자 독일 최대 홈쇼핑사인 'HSE24'를 통해 독일, 오스트리아, 스위스에서 피부 침투 약물 전달용 화장품 '오버나잇 마이크로 패치'의 론칭 방송을 진행한다고 20일 밝혔습니다.

HSE24는 독일, 오스트리아, 스위스를 비롯해 이탈리아, 러시아까지 유럽 5개국에서 홈쇼핑 채널을 운영하는 유럽 최대 규모의 홈쇼핑 중 하나로, HSE24는 이번 론칭을 시작으로 이탈리아와 러시아까지 제품 판매를 확대할 계획입니다.

오버나잇 마이크로 패치는 패치 표면에 있는 미세한 마이크로 구조체를 통해 유효성분이 통증 없이 피부 깊숙이 전달되는 것이 특징입니다.

이번에 출시하는 유럽 제품에는 CLHA(교차결합 히알루론산)를 기본으로 ‘바르는 보톡스’라고 불리는 AHP-8(아세틸헥사펩타이드)까지 들어 있어 보습뿐 아니라 주름 고민까지 해결할 수 있다는 것이 회사 측의 설명입니다.

이번 유럽 홈쇼핑에서는 오버나잇 마이크로 패치라는 이름 대신 ‘오나 그레이스’(Ona Grace)라는 이름으로 론칭될 예정입니다.

내츄럴엔도텍 관계자는 ""차별화된 오버나잇 마이크로 패치만의 기술력으로 주 고객층인 구매력을 갖춘 트렌디한 여성 고객층을 충분히 공략할 수 있을 것으로 기대한다""며 ""성공적으로 유럽 시장에 안착할 수 있도록 노력할 것""이라고 말했습니다.

전민정기자 jmj@wowtv.co.kr

▶ No1. 경제/증권방송 보며 채팅하기 [유튜브][페이스북]
▶ 대한민국 재테크 총집결 [한국경제TV 사이트 바로가기]


ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
내츄럴엔도텍,스포츠조선,2018.09.20. 오전 11:14,"내츄럴엔도텍, '오버나잇 마이크로 패치' 유럽 3개국 동시 론칭","헬스케어 신소재 연구개발 기업 내츄럴엔도텍은 20일 자사의 피부 침투 약물 전달용 화장품 '오버나잇 마이크로 패치'가 유럽 3개국 홈쇼핑에 론칭된다고 밝혔다.

내츄럴엔도텍은 오는 24일 유럽 2위이자 독일 최대 홈쇼핑사인 HSE24를 통해 독일과 오스트리아, 스위스에서 오버나잇 마이크로 패치의 론칭 방송을 진행한다. HSE24는 독일, 오스트리아, 스위스를 비롯해 이탈리아, 러시아까지 유럽 5개국에서 홈쇼핑 채널을 운영하는 유럽 최대 규모의 홈쇼핑 중 하나다. HSE24는 이번 론칭을 시작으로 향후 이탈리아와 러시아까지 제품 판매를 확대한다는 계획이다. 유럽 3개국 홈쇼핑에서는 'Ona Grace'라는 이름으로 론칭한다.

오버나잇 마이크로 패치는 세계 1위 화장품 시장 미국을 비롯해 중국, 인도에 이어 최근 멕시코까지 진출했다. 특히, 미국 시장에서는 미국 2위 홈쇼핑 사인 EVINE에서 진행한 론칭 방송에서 매진을 달성하며 미국 소비자들의 폭발적 반응을 이끌어낸 바 있다. 중국에서는 지난 7월 중국 국영기업 상장사의 유통 자회사와 연 2000만패치 공급계약을 체결했다. 최근 계약이 성사된 멕시코 1위 제약사 Somar는 피부과 병원 판매와 멕시코 최대 홈쇼핑 론칭도 준비 중이다.

오버나잇 마이크로 패치는 서울대학교병원, 아산병원, 차병원, 가천대학교 등 유수의 의료 및 임상 기관을 통해 안전하게 눈가 및 입가의 수분을 늘리고 주름을 감소시키는 것으로 확인됐다.
이규복 기자 kblee341@sportschosun.com

[스포츠조선 바로가기] [스포츠조선 영상 보러가기]
- Copyrightsⓒ 스포츠조선(http://sports.chosun.com/), 무단 전재 및 재배포 금지"
내츄럴엔도텍,서울경제,2018.09.20. 오전 11:46,"내츄럴엔도텍 마이크로 패치, 유럽 2위 홈쇼핑 통해 3개국에서 동시 론칭","24일 독일·오스트리아·스위스에서 론칭 방송

[서울경제] 헬스케어 신소재 연구개발 기업 내츄럴엔도텍(168330)의 피부 침투 약물 전달용 화장품 ‘오버나잇 마이크로 패치’가 유럽 3개국 홈쇼핑에서 론칭한다.

내츄럴엔도텍은 오는 24일 유럽 2위이자 독일 최대 홈쇼핑사인 ‘HSE24’를 통해 독일·오스트리아·스위스에서 오버나잇 마이크로 패치의 론칭 방송이 진행된다고 20일 밝혔다. 유럽에서는 ‘Ona Grace’(사진)라는 제품명으로 판매된다.

HSE24는 이들 3개국 외에 이탈리아·러시아까지 유럽 5개국에서 홈쇼핑 채널을 운영하는 유럽 최대 규모의 홈쇼핑 중 하나다. HSE24는 이번 론칭을 시작으로 향후 이탈리아와 러시아까지 제품 판매를 확대할 계획이다.

오버나잇 마이크로 패치는 세계 1위 화장품 시장 미국을 비롯해 중국,인도, 멕시코까지 진출하며 글로벌 시장에서 인정을 받고 있다. 미국에서는 현지 2위 홈쇼핑 사인 ‘EVINE’이 진행한 론칭 방송에서 매진을 달성하며 미국 소비자들의 폭발적 반응을 이끌어냈다. 중국에서서도 지난 7월 중국 국영기업 상장사의 유통 자회사와 연 2000만 패치 공급 계약을 체결한 이후 현지 판매를 개시했다. 최근 계약이 성사된 멕시코 1위 제약사 ‘Somar’는 피부과 병원 판매를 준비 중이며 멕시코 최대 홈쇼핑까지 론칭을 확대할 예정이다.

오버나잇 마이크로 패치는 패치 표면의 미세한 마이크로 구조체가 유효성분을 통증 없이 피부 깊숙이 효과적으로 도달하게 한다. 이번에 출시하는 유럽 제품에는 교차결합 히알루론산(CLHA)를 기본으로 ‘바르는 보톡스’라고 불리는 아세틸헥사펩타이드(AHP-8)까지 함유돼 보습뿐 아니라 주름 고민까지 해결할 수 있다.

내츄럴엔도텍 관계자는 “기존 화장품과는 차별화된 오버나잇 마이크로 패치만의 기술력으로HSE24의 주 고객층인 구매력을 갖춘 트렌디한 여성 고객층을 충분히 공략할 수 있을 것으로 본다”며 “미국에 이어 또 한번의 해외 홈쇼핑 매진 신화를 기록하며 성공적으로 유럽 시장에 안착할 것으로 기대한다”고 말했다.
/서민우기자 ingaghi@sedaily.com

[서울경제 바로가기]
프리미엄 미디어 Signal이 투자의 바른 길을 안내합니다 [바로가기▶]
블록체인의 모든 것, 서울경제 Decenter [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
내츄럴엔도텍,뉴스1,2018.09.21. 오전 11:08,"내츄럴엔도텍, 유럽 2위 홈쇼핑사 통해 3개국 동시 론칭","24일 독일·오스트리아·스위스에서 론칭 방송
© News1

(서울=뉴스1) 김민석 기자 = 내츄럴엔도텍은 피부 침투 약물전달용 화장품 '오버나잇 마이크로 패치'가 미국, 유럽, 중국, 인도에 이어 유럽 3개국 홈쇼핑에도 론칭했다고 21일 밝혔다.

내츄럴엔도텍 관계자는 ""오는 24일 독일 최대 홈쇼핑사인 'HSE24'를 통해 독일, 오스트리아, 스위스에서 오버나잇 마이크로 패치 판매 방송을 진행한다""고 말했다.

HSE24는 독일, 오스트리아, 스위스뿐 아니라 이탈리아, 러시아까지 유럽 5개국에서 홈쇼핑 채널을 운영하는 홈쇼핑사다. HSE24는 이번 론칭을 시작으로 향후 이탈리아와 러시아에도 제품 판매를 확대할 계획으로 알려졌다.

내츄럴엔도텍은 최근 멕시코 1위 제약사 'Somar Grupo Farmaceutico사(이하 소마그룹)'와 오버나잇 마이크로 패치의 수출 계약을 체결했다. 올해 내 현지 피부과 병원 판매를 시작으로 향후 멕시코 홈쇼핑 방송에 론칭한다는 계획이다. 중국에서는 지난 7월 중국 국영기업의 유통 자회사와 연 2000만개 패치 공급 계약을 체결했다.

내츄럴엔도텍에 따르면 오버나잇 마이크로 패치는 특허 기술로 개발한 'CLHA(Cross-linked hyaluronic acid·교차결합 히알루론산)을 기본 성분으로 함유해 보습뿐만 아니라 주름까지 함께 관리할 수 있다.

내츄럴엔도텍 관계자는 ""기존 화장품과는 차별화된 오버나잇 마이크로 패치만의 기술력 세계 진출을 확대하고 있다""고 말했다.

ideaed@news1.kr

▶ 진짜 블록체인을 만나는 곳 '크립토허브' 오픈! ▶ 제보하기
▶ 네이버 메인에서 [뉴스1]을 구독해주세요
[© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지]"
내츄럴엔도텍,한국경제TV,2018.10.10. 오후 1:14,"내츄럴엔도텍, 전일 대비 약 -4% 하락한 17,250원","[한국경제TV 라이온봇 기자]


[그림 1] 최근 3개월 간 주가 추세 및 기간별 수익률


내츄럴엔도텍은 10월 10일 13시 13분 전일 대비 약 -4% 하락한 17,250원에 거래되고 있다. 내츄럴엔도텍은 코스닥 상장 기업으로 기타서비스 업종에 속해 있다. 시가총액은 3,709억원으로 코스닥 상장기업 중 118위에 위치 해 있다.

[종목 성향 진단]


[그림 2] 종목 성향 진단


내츄럴엔도텍의 투자 스타일은 성장주에 가깝다. 주가 고평가 우려가 공존하지만 높은 성장성이 기대되는 기업이다.
주가 모멘텀은 좋지 못했다. 최근 3개월 수익률은 -31.09%의 하락폭을 기록했다. 최근 1개월 수익률 또한 -13.91% 하락하며 부진한 모멘텀을 이어가고 있다.
내츄럴엔도텍 종목에 대한 투자자의 관심도는 높은 편에 속한다.

[투자 점수 진단]


[그림 3] 투자 점수 진단


내츄럴엔도텍은 어느 측면에서 투자 매력도가 높은 종목일까?

AI 인공지능 종목 분석 시스템을 이용해 성장성, 수익성, 효율성, 안전성, 저평가성, 추세 등 주가 수익률에 영향을 줄 수 있는 6가지 핵심 투자 지표를 점수화하여 종목의 투자 매력도를 계산해보았다.
그 결과 내츄럴엔도텍은 상대적으로 성장성 측면에서 두각을 드러내고 있었다.

성장성 점수는 기업의 실적이 전년 동기 대비 얼마나 증가했는지를 나타낸 지표로 기업의 이익 성장 추세를 나타낸다.

내츄럴엔도텍은 특히 매출액증가율(YoY) 측면에서 가장 높은 점수는 기록했는데, 전체 시장 내 313위를 기록하며 상위 16.47%에 위치했다. 업종별로는 28위를 기록하며 상위 13.99%에 위치했다.

그러나 기업 가치 대비 주가 수준을 나타내는 저평가 측면에서는 아쉬움을 나타냈다.

(위의 AI인공지능 점수는 재무 데이터를 기반으로 전체 상장 종목과 비교/분석하여 도출한 점수로 높은 점수가 반드시 높은 수익률을 보장하지 않습니다. 위의 자료는 당사의 추천 종목이 아니며, 투자 시 참고용으로 제시해드리는 것입니다. 핵심투자지표를 결합해 종목의 투자매력도를 종합 계산한 ""인공지능 투자점수""는 ""거장들의 투자공식"" 앱에서 확인하실 수 있습니다.)

라이온봇 기자 -한국경제TV

※ 본 기사는 한국경제TV와 '거장들의 투자공식이'
자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.

라이온봇기자

▶ No1. 경제/증권방송 보며 채팅하기 [유튜브][페이스북]
▶ 대한민국 재테크 총집결 [한국경제TV 사이트 바로가기]


ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
내츄럴엔도텍,이데일리,2018.10.11. 오전 10:44,"내츄럴엔도텍, '백수오 등 복합 추출물' 1000만세트 판매 돌파","[이데일리 강경훈 기자] 내츄럴엔도텍(168330)은 ‘백수오 등 복합추출물’ 제품이 국내 누적판매 1000만세트를 돌파했다고 11일 밝혔다.

백수오 등 복합추출물은 3년만에 CJ오쇼핑에 복귀한 ‘백수오궁’(사진)을 비롯해 국내 대기업 및 제약사 등에서 30여개 제품으로 출시하고 있다.

1000만세트는 소비자가 기준 7800억원에 해당하는 물량으로 백수오궁이 홈쇼핑에 첫 론칭한 2012년을 시작으로 올해 9월까지의 판매를 집계한 결과다. 백수오 등 복합추출물 제품은 20초에 1세트씩 판매되고 있다.

백수오 등 복합추출물은 백수오, 한속단, 당귀의 3가지 생약을 과학적인 비율로 배합해 만든 갱년기 여성 건강에 도움을 줄 수 있는 소재다. 세 차례의 임상시험 결과 안면홍조, 불면증, 우울감, 피로감, 근육통 등 갱년기 상태 10가지를 개선시키는 것으로 확인됐으며 이 외에도 다양한 연구를 통해 골다공증, 퇴행성관절염 개선 효과 등이 밝혀졌다.

또한 국제 기준인 OECD 가이드라인을 적용한 안전성 실험을 통해 유방암, 자궁내막암 등 에스트로겐 활성으로 인한 부작용 없음이 과학적으로 입증되는 등 그 효능과 안전성을 규명했다.

회사 관계자는 “1000만세트 판매 달성은 백수오가 독보적인 갱년기 제품이라는 방증”이라고 말했다. 백수오 등 복합추출물은 2014년부터 미국 1, 2위 약국체인인 월그린과 CVS를 통해 미 전역에서 판매 중이며 캐나다, 호주, 뉴질랜다, 태국, 싱가포르, 스리랑카, 파키스탄 등 10여개국에서 판매되고 있다. 또 필리핀, 인도, 이란, 말레이시아에서는 의약품으로 허가를 받았다. 회사 측은 북미, 유럽, 동남아 등 세계 각지에서 판매 채널 확장과 신제품 출시 등 글로벌 시장 공략에 적극 나선다는 계획이다.

내츄럴엔도텍은 2015년 백수오에 독성 이물질이 혼입됐다는 주장으로 곤경에 처하기도 했지만 검찰 조사에서 무혐의를 받았고 2년간 진행한 식약처의 안전평가를 통과했다.

강경훈 (kwkang@edaily.co.kr)

네이버 모바일에서 ‘이데일리’ [구독하기▶]
빡침해소! 청춘뉘우스~ [스냅타임▶]
꿀잼 '웹툰'이 매일 매일 공짜...[웹툰보기▶]


＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
내츄럴엔도텍,서울경제,2018.10.11. 오전 11:10,"<코>내츄럴엔도텍, 전일 대비 7.56% 상승.. 일일회전율은 1.23% 기록","[서울경제] 내츄럴엔도텍(168330)은 11일 오전 11시 9분 현재 7.56% 오른 18,500원에 거래되고 있으며, 38(매도):62(매수)의 매수우위를 기록하고 있다. 거래대금은 44억196만, 거래량은 25만3,789주로 거래량회전율은 1.23%로 나타났다.



지난 1개월간 내츄럴엔도텍은 상승 8회, 하락 19회를 기록했고, 주가수익률은 -9.31% 표준편차는 1.91%를 기록했다. 이 기간 '기타서비스업' 업종 평균 주가수익률은 4.39%로 나타났으며, 변동성은 2.02%를 기록했다.

이 시각 현재 '기타서비스업'은 3.30% 상승 중이며, 35(매도):65(매수)의 매수우위를 기록하고 있다.

[이 기사는 증시분석 전문기자 서경뉴스봇(newsbot@sedaily.com)이 실시간으로 작성했습니다.]

/서경뉴스봇 newsbot@sedaily.com

[서울경제 바로가기]
프리미엄 미디어 Signal이 투자의 바른 길을 안내합니다 [바로가기▶]
서울경제ㆍ서울시 주최 블록체인 이벤트 ‘ABF in Seoul’ [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
