종목명,신문사,시간,제목,본문
에이디칩스,머니투데이,2015.09.22. 오후 3:42,"에이디칩스, 최대주주 지분율 11.65%","[머니투데이 백지수 기자] 에이디칩스는 최대주주인 권기홍 대표의 특별관계자 박신종씨의 특별관계가 해소됨에 따라 최대주주 지분율이 11.65%로 감소했다고 22일 공시했다. 최대주주 특별관계자 수는 3명에서 2명으로 감소했다.
회사측은 또 주식·경영권 양수도 잔금 지급일이 오는 23일로 변경됐다고도 밝혔다.

['생존 재테크' 백과사전 ""재테크를 부탁해"" ][부자들에게 배우는 성공 노하우 '줄리아 투자노트' ][내 삶을 바꾸는 정치뉴스 'the 300'][CEO의 삶을 바꾼 '내 인생 최고의 조언' ][아찔한 girl~ 레이싱모델 핫포토 ]

백지수 기자 100jsb@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
에이디칩스,이데일리,2015.10.01. 오후 3:21,"이희 부사장, 에이디칩스 지분 0.77→0.65%","[이데일리 경계영 기자] 에이디칩스(054630)는 이희 부사장이 주식 1만주를 장내 매도해 보유 지분이 0.77%에서 0.65%로 줄었다고 1일 공시했다.

경계영 (kyung@edaily.co.kr)



＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
에이디칩스,머니투데이,2015.10.16. 오후 3:21,"에이디칩스, 단기차입금 22억원 감소","[머니투데이 박상빈 기자] 에이디칩스는 16일 단기차입금 22억원을 감소키로 결정했다고 공시했다. 이는 자기자본대비 35.9% 규모다 통장자동대출 여신거래약정 해지에 따른 단기차입금 감소가 변경사유다. 이로써 단기차입금총액은 4억8000만원이 됐다.
['생존 재테크' 백과사전 ""재테크를 부탁해"" ][부자들에게 배우는 성공 노하우 '줄리아 투자노트' ][내 삶을 바꾸는 정치뉴스 'the 300'][CEO의 삶을 바꾼 '내 인생 최고의 조언' ][아찔한 girl~ 레이싱모델 핫포토 ]

박상빈 기자 bini@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
에이디칩스,조선비즈,2015.10.16. 오후 3:24,"에이디칩스, 단기차입금 22억원 감소 결정","에디디칩스는 통장자동대출 여신거래약정 해지에 따라 단기차입금 22억원을 줄인다고 16일 공시했다. 단기차입금은 총 26억8000만원에서 4억8000만원으로 감소했다.
[전성필 기자 feel@chosunbiz.com]

[조선비즈 바로가기] [위클리비즈] [페이스북] [카카오스토리]
chosunbiz.com"
에이디칩스,이데일리,2015.10.16. 오후 3:48,"에이디칩스, 22억 규모 단기차입금 감소","[이데일리 송이라 기자] 에이디칩스(054630)는 통장자동대출 여신거래약정 해지에 따른 단기차입금 22억원이 감소했다고 16일 공시했다. 이는 자기자본의 35.9% 수준이다.

송이라 (rassong@edaily.co.kr)



＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
에이디칩스,머니투데이,2015.10.16. 오후 5:54,"에이디칩스, 양수도계약 해제","[머니투데이 박상빈 기자] 에이디칩스는 16일 양수인 잔금 미납에 따라 양수도계약이 해제됐다고 공시했다. 당초 양도인 권기홍씨가 양수인 코리녹스이엔티에 48만주를 1주당 1만1041.66원에 양도하기로 계약이 채결됐었다.
['생존 재테크' 백과사전 ""재테크를 부탁해"" ][부자들에게 배우는 성공 노하우 '줄리아 투자노트' ][내 삶을 바꾸는 정치뉴스 'the 300'][CEO의 삶을 바꾼 '내 인생 최고의 조언' ][아찔한 girl~ 레이싱모델 핫포토 ]

박상빈 기자 bini@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
에이디칩스,이데일리,2015.10.16. 오후 5:56,"에이디칩스, 코리녹스이엔티와 주식 양수도계약 해제","[이데일리 송이라 기자] 에이디칩스(054630)는 코리녹스이엔티와의 주식 양수도 계약이 잔금미납을 이유로 해제됐다고 16일 공시했다. 양사는 지난 7월31일 양수도계약을 체결했지만 양수인인 코리녹스이엔티가 잔근 48억원을 미납해 계약이 해제됐다. 에이디칩스는 “계약금 5억원은 반환하지 않는다”고 설명했다.





송이라 (rassong@edaily.co.kr)



＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
에이디칩스,이데일리,2015.10.16. 오후 5:56,"에이디칩스, 코리녹스이엔티와 주식 양수도계약 해제","[이데일리 송이라 기자] 에이디칩스(054630)는 코리녹스이엔티와의 주식 양수도 계약이 잔금미납을 이유로 해제됐다고 16일 공시했다. 양사는 지난 7월31일 양수도계약을 체결했지만 양수인인 코리녹스이엔티가 잔근 48억원을 미납해 계약이 해제됐다. 에이디칩스는 “계약금 5억원은 반환하지 않는다”고 설명했다.





송이라 (rassong@edaily.co.kr)



＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
에이디칩스,이데일리,2015.10.16. 오후 5:58,"에이디칩스, 사외이사 3명 중도퇴임","[이데일리 송이라 기자] 에이디칩스(054630)는 노영우·안상근·김진욱 사외이사가 일신상의 사유로 중도퇴임한다고 16일 공시했다.





송이라 (rassong@edaily.co.kr)



＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
에이디칩스,아시아경제,2015.10.16. 오후 8:04,"에이디칩스, 주식양수도 계약 해제","[아시아경제 김유리 기자] 에이디칩스는 16일 양수인의 잔금(48억원) 미납에 따라 주식 양수도 계약이 해제됐다고 공시했다. 앞서 양도인 최대주주 권기홍씨가 양수인 코리녹스이엔티에 48만주를 총 53억원에 양도하기로 계약이 채결됐었다.



김유리 기자 yr61@asiae.co.kr

▶ 주요 이슈의 재구성, 촌철살인 이미지 파일 '카드뉴스'
▶ 재미있는 동영상이 모두 모였다 ""펀캐스트""
<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
에이디칩스,한국경제,2015.10.19. 오전 7:31,"네오이녹스엔모크스, 에이디칩스 주식 취득 계약 해지","[ 권민경 기자 ] 네오이녹스엔모크스는 종속회사인 코리녹스이엔티가 에이디칩스와 맺은 주식 취득 계약이 납입 기한을 맞추지 못해 해지됐다고 19일 공시했다.

회사 측에 따르면 지난 16일 주식 취득 잔금(53억원 규모)을 약정시간(오전 11시)이 지난 후에 지급하고자 했지만 에이디칩스 측과 일정 조율이 되지 않아 납입하지 못했다.

계약 해지를 통보받음에 따라 추후 재협의 할 예정이라고 회사 측은 밝혔다.

권민경 한경닷컴 기자 kyoung@hankyung.com


[한경닷컴 바로가기] [스내커] [슈퍼개미] [한경+ 구독신청]
ⓒ '성공을 부르는 습관' 한경닷컴, 무단 전재 및 재배포 금지"
에이디칩스,머니투데이,2015.10.19. 오전 7:49,"네오이녹스엔모크스, 에이디칩스 주식 82만주 취득 결정 해지","[머니투데이 신아름 기자] 네오이녹스엔모크스는 종속회사인 코리녹스이엔티가 사업다각화를 위한 성장동력 확보를 위해 에이디칩스의 주식 82만주를 취득할 예정이었으나 주식 취득 잔금 약정시간 조율 등에 합의를 이루지 못해 계약상대방으로부터 계약해지를 통보받았다고 19일 공시했다.['생존 재테크' 백과사전 ""재테크를 부탁해"" ][부자들에게 배우는 성공 노하우 '줄리아 투자노트' ][내 삶을 바꾸는 정치뉴스 'the 300'][CEO의 삶을 바꾼 '내 인생 최고의 조언' ][아찔한 girl~ 레이싱모델 핫포토 ]

신아름 기자 peut@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
