종목명,신문사,시간,제목,본문
아이앤씨,아시아경제,2015.09.17. 오후 4:10,"아이앤씨, 오는 24일 기업설명회(IR) 개최","[아시아경제 팍스넷 배요한 기자] 아이앤씨는 오는 24일 서울시 영등포구 여의대로 66 KTB빌딩 7층 삼성증권에서 국내 주요 기관투자자들을 대상으로 회사 주요 사업 현황 소개 및 Q&A를 위한 기업설명회를 갖는다고 17일 밝혔다.

배요한 기자 yohan.bae@paxnet.kr

▶ 네티즌 수사대의 진화, 궁금증 제로 ""짜장뉴스""

▶ 재미있는 동영상이 모두 모였다 ""펀캐스트""

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
아이앤씨,머니투데이,2015.09.24. 오후 3:50,"DMB 쇠락에 추락한 아이앤씨, IoT로 재도약","[머니투데이 김은령 기자] [IoT·스마트그리드 사업 본격화..올해 턴어라운드 기대]
디지털멀티미디어(DMB) 방송시장의 침체로 3년째 적자를 내고 있는 아이앤씨테크놀로지가 사물인터넷(IoT)과 스마트그리드(PLC) 등 신규사업에서 성과를 나타내기 시작하면서 실적 턴어라운드에 대한 기대감이 커지고 있다.

아이앤씨 관계자는 24일 ""국내 IoT 시장이 본격적으로 등장함에 따라 매출이 확대되고 한국전력, 도로공사 등에서 스마트그리드 사업과 관련한 수주를 받아 올해 말 흑자 전환을 목표로 하고 있다""고 밝혔다.

팹리스 반도체업체인 아이앤씨는 휴대폰 DMB 방송에 필요한 통신칩 사업에 주력하던 업체였다. DMB시장 성장으로 2009년에 510억원의 사상 최대 매출을 올렸으나 스마트폰 활성화에 DMB시장이 침체되면서 매출이 줄기 시작했다. 2011년에 348억원이었던 매출액은 지난해 57억원으로 6분의 1 수준으로 줄었고 3년 연속 적자를 냈다.

이에 따라 새 먹거리를 찾아 나선 아이앤씨는 IoT와 스마트그리드에 이용되는 통신모듈과 칩에 눈을 돌렸고 올 들어 각종 수주에 성공하며 가시적인 성과가 나타나고 있다. 지난 4월에는 한국전력이 진행하는 지능형전력량계(AMI) 사업과 관련해 PCL 모뎀을 공급했다. 한국전력은 오는 2020년까지 전국에 2194만호의 AMI 구축 사업을 진행한다. 현재까지 480만호를 구축했고 올 하반기에도 230만호 수준의 발주가 예정돼 있다. 내년부터 2020년까지 매년 250만호(500억원~800억원) 설치가 예상된다.

한국도로공사가 추진하는 LED 교체 사업에도 PLC모뎀을 공급한다. 한국도로공사는 온오프 제어와 조도 제어 등으로 전력 효율화와 주행환경 개선을 위해 오는 2020년까지 신규로 설치되는 가로등과 터널 등을 100% LED로 설치할 계획이다.

아이앤씨는 지난달 한국도로공사와 포항-울산간 고속도로 LED 교체 사업에 PLC 모뎀을 납품하는계약을 체결했다. 이번 계약 규모는 7억3000만원으로 크지 않지만 올 하반기 담양-성산, 영동-옥천 노선 LED 조명 교체 등 꾸준히 수요가 이어질 것으로 예상된다.

IoT 분야에서도 최근 LG유플러스 앳홈에 와이파이 통신칩을 공급하는 등 성과가 나고 있다. 이 밖에 보일러, 에어워셔, 전기밥솥, 프린터 등 가정용 가전제품에 IoT 관련 와이파이칩 부착이 늘고 있어 수혜가 예상된다. 박가영 한국투자증권 연구원은 ""올 3분기부터 본격적으로 흑자 전환이 예상된다""며 ""PLC와 IoT가 성장 도약판이 될 것""이라고 내다봤다.

아이앤씨는 턴어라운드 기대가 반영되면서 주가도 회복세를 보이고 있다. 지난해 말 2000원대였던 주가는 현재 6000원대를 넘어섰다. 이날 아이앤씨는 전일대비 7.3% 오른 6320원에 거래를 마쳤다. 최근 일주일 간 20% 넘는 상승세다.

['생존 재테크' 백과사전 ""재테크를 부탁해"" ][부자들에게 배우는 성공 노하우 '줄리아 투자노트' ][내 삶을 바꾸는 정치뉴스 'the 300'][CEO의 삶을 바꾼 '내 인생 최고의 조언' ][아찔한 girl~ 레이싱모델 핫포토 ]

김은령 기자 taurus@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
아이앤씨,이데일리,2015.10.06. 오후 3:27,"[종목돋보기]`생활가전에 IoT 장착` 아이앤씨 ""4분기부터 실적 반영""","- 통신사 IoT 브랜드 연계해 생활가전으로 확장
- 국내 유일 칩·모듈 동시 생산… O2O도 추진

아이앤씨가 공급 중인 와이파이 칩(왼쪽)과 모듈 제품.(사진=아이앤씨 제공)


[이데일리 이명철 기자] 와이파이칩(SoC)·모듈 동시 생산업체인 아이앤씨(052860)테크놀로지는 최근 대유위니아와 동양매직이 생산하는 딤채 김치냉장고·공기청정기에 와이파이(Wi-Fi) 솔루션을 공급하기 시작했다고 6일 밝혔다.

회사 와이파이 모듈이 적용된 대유위니아의 ‘2016년형 5룸 멀티형 올 뉴 딤채’는 와이파이를 활용해 냉장고에 IoT 기능을 구현했다. 시간과 공간의 제약 없이 냉장고의 설정을 조절할 수 있는 게 특징이다. 각 구역별 익힘·및 보관 모드를 설정 가능하고 고장 진단과 이력관리, 알림 기능 등을 갖췄다. 과일·채소 식품별 보관 팁과 김치 레시피 같은 정보도 제공한다.

동양매직의 공기청정기인 ‘슈퍼청정기’는 액정표시장치(LCD) 패널을 통해 미세먼지 같은 공기질을 ‘매우 나쁨’부터 ‘매우 좋음’까지 실시간으로 파악하고 원격 제어를 할 수 있다. 이들 서비스는 SK텔레콤(017670)의 IoT 브랜드인 ‘스마트홈’의 스마트폰 앱을 내려 받아 사용이 가능하다.

인터넷과 사물을 연결하는 방식은 크게 지웨이브와 와이파이로 나뉜다. 지웨이브는 통상 저전력을 표준으로 해 배터리로 움직이는 제품군에 주로 적용된다. 와이파이는 상시 전원을 활용해 대형 데이터를 다룰 수 있는 생활가전에 적합한 편이다. 와이파이 칩의 경우 브로드컴·퀄컴 등 외국계 업체들이 대부분 시장을 점유했고 모듈은 통신사와 제조사 연합 형태의 플랫폼이 개발되고 있는 추세다.

아이앤씨는 모바일 TV용 칩과 아이파이, 롱텀에볼루션(LTE), 전력선통신(PLC) 등 통신반도체를 전문 개발하는 팹리스 업체다. 2007년 업계 최초로 지상파 DMB용 칩을 개발했다. 와이파이 부문은 지난해 3월부터 생산과 판매를 시작한 신규 사업이다. 국내 최초로 와이파이 칩 국산화에 성공해 국내에서는 유일하게 모듈과 동시에 공급하고 있다. 칩과 모듈을 동시에 생산하면 고객 요구에 따라 맞춤 생산이 가능해 개발 기간 단축과 호환성 제고 등의 효과가 가능하다.

생활가전과 연계된 SK텔레콤의 스마트홈은 아이앤씨의 와이파이 모듈이 적용됐다. SK텔레콤에 이어 LG유플러스(032640) ‘IoT@home’에도 해당 모듈을 공급하는 등 성과를 내고 있다. 스마트홈은 생활가전 제조사를 대상으로 사업을 추진 중이다. IoT@home은 가입자가 돈을 내면 열림감지센서·가스락·스위치 등의 서비스를 제공하는 기업과 소비자간 거래(B2C) 형태의 사업이다. 다양한 분야로 사업이 확장될수록 회사 와이파이 칩·모듈 적용이 확대될 것으로 예상된다. 통신사 뿐 아니라 O2O(온라인에서 오프라인) 단말기 등 다양한 사물인터넷 응용기기에 모듈 적용을 추진 중이다.

회사 상반기 매출액은 31억4576만원으로 전년동기대비 29% 가량 증가했지만 영업손실은 약 50억원으로 적자를 지속하고 있다.향후 거래선 확대 등 신사업이 자리를 잡게 되면 턴어라운드도 가능할 것으로 기대된다.

회사 관계자는 “이미 김치냉장고·공기청정기 제품 판매가 시작했기 때문에 4분기부터 본격 매출에 반영될 것”이라며 “IoT 통신 응용제품을 개발 중인 많은 기업들에게 맞춤형 개발 서비스를 확대하고 있다”고 전했다.



이명철 (twomc@edaily.co.kr)



＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
아이앤씨,이데일리,2015.10.07. 오후 4:41,"신세계아이앤씨, 간편결제 'SSG페이' 소비자 모니터 요원 모집","[이데일리 김관용 기자] 신세계아이앤씨(신세계 I&C(035510))가 모바일 간편결제 서비스인 SSG페이를 직접 체험하고 만들어갈 소비자 모니터 요원, 일명 ‘쓱토리텔러’를 모집한다.

쓱토리텔러는 SSG 페이, 스토리(STORY), 텔러(TELLER)의 합성어다. 6개월 간 다양한 사용처에서 SSG페이를 사용 후 서비스에 대한 개선 방안과 아이디어를 제안하게 된다.

선발된 이들에게는 매월 소정의 활동비가 지원된다. 이 외에도 매월 우수 활동자와 기수별 최우수 활동자(2명)로 선발되면 각각 추가 쇼핑 지원금과 50만원이 주어진다.

간편결제 서비스에 관심이 많은 사람이면 누구나 쓱토리텔러에 도전할 수 있다. 오는 18일까지 SSG페이 홈페이지(www.ssgpay.com)를 통해 지원서를 작성하면 된다.

신세계아이앤씨 문준석 마케팅 팀장은 “단순 체험 및 리뷰에 그쳤던 기존 서포터즈 운영방식에서 벗어나 기업과 소비자간 소통을 강화해 소비자의 다양한 의견을 듣고 서비스 만족도를 높이겠다“고 말했다.

신세계백화점, 이마트, SSG닷컴, 스타벅스 등 2700여개의 가맹점을 보유한 SSG페이는 국내 최초 유통사 기반 모바일 간편결제 서비스다. 선불식 ‘SSG머니’와 후불식인 신용카드 모두를 이용해 결제 가능하다.





김관용 (kky1441@edaily.co.kr)



＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
아이앤씨,디지털데일리,2015.10.07. 오후 8:36,"신세계아이앤씨, SSG페이 체험 모니터 요원 모집","[디지털데일리 이상일기자] 신세계아이앤씨(대표 김장욱)는 모바일 간편결제 서비스인 SSG페이를 직접 체험하고 만들어갈 소비자 모니터 요원, ‘쓱토리텔러’를 모집한다고 7일 밝혔다.

쓱토리텔러는 6개월 간 다양한 사용처에서 SSG페이를 사용 후, 서비스에 대한 개선 방안 및 아이디어를 제안하게 된다. 선발된 이들에게는 매월 소정의 활동비를 지원하며 이 외에도 매월 우수 활동자와 기수별 최우수 활동자 2명으로 선발되면 각각 추가 쇼핑 지원금과 50만원이 주어진다.

간편결제 서비스에 관심이 많은 사람이면 누구나 쓱토리텔러에 도전할 수 있으며 오는 18일까지 SSG페이 홈페이지(www.ssgpay.com)를 통해 지원서를 작성하면 된다.

신세계아이앤씨 문준석 마케팅 팀장은 “단순 체험 및 리뷰에 그쳤던 기존 서포터즈 운영방식에서 벗어나 기업과 소비자간 소통을 강화해 소비자의 다양한 의견을 듣고 서비스 만족도를 높이겠다”고 말했다.

<이상일 기자>2401@ddaily.co.kr

IT언론의 새로운 대안[디지털데일리]

IT정보의 즐거운 업그레이드[딜라이트닷넷]

이상일(2401@ddaily.co.kr)

<저작권자 © 디지털데일리 무단전재-재배포금지>"
아이앤씨,이데일리,2015.10.08. 오후 3:19,"아이앤씨, 33만주 신주인수권 행사","[이데일리 이유미 기자] 아이앤씨(052860)는 33만4448주에 대한 신주인수권을 행사한다고 8일 공시했다. 신주인수권 행사가액은 2990원이며 상장예정일은 오는 10월27일이다.





이유미 (miyah31@edaily.co.kr)



＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
아이앤씨,한국경제,2015.10.08. 오후 4:11,"아이앤씨, 33만여주 신주인수권 행사","[ 박상재 기자 ] 아이앤씨는 33만4448주에 해당하는 신주인수권이 행사됐다고 8일 공시했다. 이는 발행주식총수의 2.35%고, 오는 27일 상장할 예정이다. 신주인수권 행사가액은 2990원이다.

박상재 한경닷컴 기자 sangjae@hankyung.com


[한경닷컴 바로가기] [스내커] [슈퍼개미] [한경+ 구독신청]
ⓒ '성공을 부르는 습관' 한경닷컴, 무단 전재 및 재배포 금지"
아이앤씨,이데일리,2015.10.13. 오후 5:36,"린드먼아시아인베스트먼트 외 1인, 아이앤씨 지분 7.83%→5.56%","[이데일리 이명철 기자] 린드먼아시아인베스트먼트와 린드먼팬아시아신성장투자조합은 아이앤씨(052860)의 보유 주식이 117만412주에서 83만6120주로 줄었다고 13일 공시했다. 지분율은 7.83%에서 5.56%로 감소했다.



이명철 (twomc@edaily.co.kr)



＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
아이앤씨,아시아경제,2015.10.14. 오전 9:22,"KT-아이앤씨테크놀로지, IoT기반 스마트에너지 사업제휴","[아시아경제 강희종 기자]KT와 아이앤씨테크놀로지(대표 박창일)는 경기도 판교에 위치한 아이앤씨빌딩에서 사물인터넷(IoT) 기반 스마트에너지 사업 추진을 위한 협약서를 체결했다고 14일 밝혔다.

아이앤씨테크놀로지는 전선을 통신매체로 이용하는 PLC(Power Line Communication) 칩셋을 자체 개발한 사업자로, 올해부터 한전 AMI(원격검침) 사업과 도로공사 조명제어 사업에 관련 솔루션을 공급하고 있다.

KT는 복합에너지 효율화 솔루션 KT-MEG(Micro Energy Grid)을 통해 서울 마포 에너지 관제센터에서 전 세계 280여 사이트의 에너지 사용 현황을 관리 중이다.

양사는 KT가 보유한 IoT, 빅데이터 등 ICT 기술과 아이앤씨테크놀로지의 PLC, 와이파이 등 통신기기 제조기술을 융합해 IoT 기반 에너지 효율화 및 스마트그리드 사업 분야에서 다양한 응용 서비스를 공동 개발할 계획이다.

윤경림 KT 미래융합사업추진실장은 ""KT와 아이앤씨테크놀로지는 상호간의 협력을 통해 품질 높은 에너지 IoT 서비스를 제공하고 더 나아가 범국가적인 고효율 에너지 생태계를 구축해 나갈 것""이라고 말했다.



강희종 기자 mindle@asiae.co.kr

▶ 주요 이슈의 재구성, 촌철살인 이미지 파일 '카드뉴스'
▶ 재미있는 동영상이 모두 모였다 ""펀캐스트""
<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
아이앤씨,헤럴드경제,2015.10.14. 오전 9:33,"한컴핀테크-신세계아이앤씨, 크라우드 펀딩 서비스 공동 추진 MOU 체결","[헤럴드경제] 한글과컴퓨터(이하 한컴)가 크라우드 펀딩 서비스인 ‘드림시드(www.dreamsead.com)’의 주요 펀딩 제품들을 신세계 그룹 유통채널을 통해 오프라인에서도 공급할 계획이라고 14일 밝혔다.

한컴이 핀테크 사업을 위해 설립한 자회사 ‘한컴핀테크’는 14일 신세계아이앤씨와 크라우드 펀딩 서비스 공동 추진을 위한 전략적 업무제휴를 체결했다.


한컴이 10월 중 정식 오픈 예정인 ‘드림시드’는 크라우드 펀딩 서비스 플랫폼이다. 제품의 개발, 출시 등에 필요한 초기 투자자금 확보가 어려운 스타트업과 소상공인에게 예약구매 방식의 투자를 연계, 상용화할 수 있도록 지원하는 ‘후원형’ 크라우드 펀딩 서비스로 지난 9월 프리(Pre)오픈을 통해 선보인 바 있다.

한컴은 이번 제휴로 ‘드림시드’ 참여 프로젝트 중 경쟁력 있는 제품을 선정, 신세계 그룹사의 오프라인 유통채널에 공급할 예정이다. 좋은 제품이 있어도 판로를 개척하기 어려웠던 스타트업과 소상공인들은 이제 ‘드림시드’를 통한 투자금 펀딩에 더해, 신세계 그룹사의 탄탄한 전국 유통망을 통해 제품의 오프라인 공급까지도 가능해졌다. ‘드림시드’ 이용자들도 제품의 오프라인 체험이 가능해짐에 따라 펀딩 참여가 확산될 것으로 기대하고 있다.

한컴핀테크의 지윤성 대표는 “이번 제휴는 크라우드 펀딩 제품의 사용자 접점을 온라인에서 오프라인까지 확산시켰다는 점에서 의미가 크다”며, “차별화된 새로운 크라우드 펀딩 모델과 한중일 기업이 연합하는 투자 등을 보강하여 더욱 많은 스타트업과 소상공인들의 지원군이 될 수 있는 서비스를 10월 중 선보이겠다”고 밝혔다.

onlinenews@heraldcorp.com

가을 탄다? 자전거 탄다!…①자전거 출퇴근을 위한 준비

최문순 강원지사 실신, 만취상태? 당시 상황보니…



[글로벌 인재들의 필수 역량, SKEC 영어글쓰기대회] [주니어 영어 신문의 가장 효율적인 학습 서비스]
[헤럴드경제] [SUPERICH] [REAL FOODS] [헤럴드증권방송] [HOOC]

- Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
