종목명,신문사,시간,제목,본문
엔에스브이,파이낸셜뉴스,2015.10.07. 오후 2:46,"엔에스브이 ""신임 경영진 선임..턴어라운드 시동""","기계장비 업종 엔에스브이는 임시 주주총회를 개최하고 신임 경영진을 구성했다고 8일 밝혔다. 이달 중순 이오에스이엔지가 최대주주로 올라서면서 경영권을 확보할 전망이다.

엔에스보이는 이번 임시 주총을 통해 서울대 기계공학과와 MIT 출신 박사 임병진 이오에스이엔지 대표이사, 서울대 기계공학과 박사 출신의 김진권 터보헤드 대표이사 등 2명의 기계공학 분야 전문가들이 엔에스브이 신규 임원으로 선임했다.

엔에스브이는 정유소와 화학공장, 발전소용 밸브를 생산하는 기업이다. 신임 경영진들은 밸브 제품의 선진국 수준 신기술을 접목해 글로벌 경쟁력을 확보한다는 방침이다. 특히 미국 메이저 업체들과 전략적 제휴를 체결해 석유매장량 세계 1위 베네주엘라 등 남미시장을 공략한다는 전략이다.

엔에스브이 관계자는 ""최근 밸브업계 수익저하와 업체 난립으로 어려움을 겪었지만 신기술 기반 신임 경영진을 구성하면서 해외 글로벌 기업과 제휴를 통한 해외시장 개척, 그리고 새로운 기술개발을 통해 올해 하반기 실적 턴어라운드을 추진할 것""이라고 말했다.

엔에스브이는 지난해 407억원의 매출을 올렸고 올해 2·4분기까지 매출은 196억원 규모다. 엔에스브이는 140억원 규모의 경영권을 포함하는 주식 양수도 계약이 체결돼 있다. 경영권과 지분은 이오에스이엔지 주식회사와 디와이 주식회사로 계약금과 중도금 약 28억원 지급됐고 114억원 가량의 잔금이 남아 있다. 이달 중순 잔금지급이 완료되면 이번 임시주총에서 선임된 임병진 이사가 경영하고 이오에스이엔지로 엔에스브이의 경영권이 완전히 넘어갈 예정이다.

mkchang@fnnews.com 장민권 기자

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
엔에스브이,아시아경제,2015.10.07. 오후 3:06,"엔에스브이 ""신임 경영진 구성…턴어라운드 시동""","[아시아경제 박미주 기자]엔에스브이가 임시 주총을 통해 신임 경영진을 구성, 본격적인 실적 턴어라운드에 나선다고 7일 밝혔다.

지난 5일 열린 엔에스브이 임시주주총회에서는 2명의 기계공학 분야 전문가들이 경영진으로 합류했다. 서울대 기계공학과와 MIT 출신 박사 임병진 이오에스이엔지 대표이사, 서울대 기계공학과 박사 출신의 김진권 터보헤드 대표이사 등 2명이 엔에스브이 신규 임원으로 선임됐다.

신임 경영진들은 밸브 제품의 선진국 수준 신기술을 접목해 글로벌 경쟁력을 확보한다는 방침이다. 특히 미국 메이저 업체들과 전략적 제휴를 체결, 석유매장량 세계 1위 베네주엘라 등 남미시장을 공략한다는 전략이다.

엔에스브이는 정유소와 화학공장, 발전소용 밸브를 생산하는 기업이다. 글로벌 불황이 지속됨에 따라 밸브업계 수익저하와 업체 난립으로 어려움을 겪어왔다.

이번 임시주총을 통해 신기술 기반 신임 경영진을 구성한 엔에스브이는 해외 글로벌 기업과 제휴를 통한 세계시장 개척, 새로운 기술개발을 통한 경쟁력 확보로 올해 하반기 실적 턴어라운드 추진을 본격화한다는 계획이다. 엔에스브이는 지난해 407억원의 매출을 올렸고 올해 2분기까지 매출은 196억원 규모다.

한편 엔에스브이는 이달 중순 이오에스이엔지가 최대주주로 올라서면서 경영권을 확보하게 될 전망이다.

엔에스브이는 140억원 규모의 경영권을 포함하는 주식 양수도 계약이 체결돼 있다. 경영권과 지분은 이오에스이엔지와 디와이로 계약금과 중도금 약 28억원 지급됐고, 114억원가량의 잔금이 남아 있다 . 이달 중순 잔금지급이 완료되면 이번 임시주총에서 선임된 임병진 이사가 경영하고 이오에스이엔지로 엔에스브이의 경영권이 완전히 넘어간다.

박미주 기자 beyond@asiae.co.kr

▶ 주요 이슈의 재구성, 촌철살인 이미지 파일 '카드뉴스'

▶ 재미있는 동영상이 모두 모였다 ""펀캐스트""

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
엔에스브이,이데일리,2015.10.07. 오후 6:26,"엔에스브이, “글로벌 기업 제휴로 해외시장 개척”","[이데일리 이명철 기자] 최근 이에스이엔지로 최대주주가 변경된 엔에스브이(095300)가 새로운 경영진을 구성해 본격 해외시장 진출에 나설 계획이다.

엔에스브이는 지난 5일 임시주주총회를 통해 임병진 이오에스이엔지 대표이사와 김진권 터보헤드 대표이사가 신규 임원으로 선임됐다고 7일 밝혔다.

임 대표는 서울대 기계공학과와 MIT 출신 박사, 김 대표는 서울대 기계공학과 박사 출신의 기계공학 전문가다.

이들은 밸브 제품의 선진국 수준 신기술을 접목해 글로벌 경쟁력을 확보할 방침이다. 미국 메이저 업체들과 전략적 제휴를 체결하고 석유매장량 세계 1위 베네수엘라 등 남미시장을 공략한다는 복안이다.

정유소·화학공장·발전소용 밸브를 생산하는 회사는 글로벌 불황에 따른 업황 부진으로 어려움을 겪었다. 이번 신임 경영진 기술을 통해 세계 시장 개척과 새로운 기술개발을 통한 경쟁력 확보로 올해 하반기 실적 턴어라운드 추진을 본격화할 계획이다.

한편 회사 지난해 매출액은 407억원으로 올해 상반기는 196억원을 기록했다. 최근 140억원 규모의 경영권을 포함한 주식 양수도 계약이 체결됐다. 경영권과 지분은 이오에스이엔지 주식회사와 디와이 주식회사로 계약금과 중도금 약 28억원 지급됐다. 잔금은 114억원 가량이다. 이달 중순 잔금지급이 완료되면 이오에스이엔지로 경영권이 이전된다.



이명철 (twomc@edaily.co.kr)



＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
엔에스브이,아시아경제,2015.10.08. 오후 1:44,"엔에스브이, 사업다각화 추진…사업목적 14개 추가","[아시아경제 최동현 기자] 이달중 경영권 양수도가 예정돼 있는 엔에스브이가 최근 주총을 통해 14개 사업목적을 추가하고 사업 다각화를 검토중이다.

8일 업계에 따르면 엔에스브이는 지난 5일 임시주총을 통해 서울대에서 기계공학 박사학위를 취득한 2명의 신임 이사들이 경영에 합류했다. 임병진 이사는 현재 이오에스이엔지 대표이사를 맡고 있고, 김진권 이사는 터보헤드 대표이사를 겸임하고 있다.

엔에스브이는 알루미늄과 에너지, 3D프린터, 시스템통합(SI), 부동산 등 총 14개 분야의 사업목적을 새로 추가했다. 3D프린터와 SI는 기존 기계사업에 IT기술을 접목하겠다는 의미다. 특히, 알루미늄 팔레트 제조 및 판매사업에 대한 투자를 적극 검토중이다.

엔에스브이 관계자는 ""목재 팔레트의 병충해 발생과 복잡한 수출입 검역 절차, 방역 비용 등을 해소 할 수 있는 알루미늄 팔레트 사업 을 적극적으로 검토하고 있다""며 ""알루미늄 팔레트는 유해 물질 발생 및 폐기물 처리 문제의 단점을 해결하고 온실가스 감소를 위한 재활용 가능 소재로서 시장규모가 크게 늘어날 것""이라고 기대했다.

물품의 하역과 운송, 보관을 위한 팔레트는 현재 목재와 플라스틱이 주로 사용되고 있다. 목재 팔레트의 경우, 가격은 싸지만 무겁고 수명이 짧으며 유지 보수가 어렵다. 특히, 환경문제로 인해 국제간 수출금지 품목으로의 법제화가 추진되고 있다. 엔에스브이 신임 경연진들은 내구성과 강도가 높으면서 가볍고 저렴한 알루미늄 팔레트 개발과 생산에 주목하고 있다.

최동현 기자 nell@asiae.co.kr

▶ 주요 이슈의 재구성, 촌철살인 이미지 파일 '카드뉴스'

▶ 재미있는 동영상이 모두 모였다 ""펀캐스트""

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
엔에스브이,파이낸셜뉴스,2015.10.08. 오후 1:48,"엔에스브이, 14개 사업목적 추가..""성장성 확보 목적""","엔에스브이는 최근 임시주주총회를 개최해 14개 사업목적을 추가하고 성장성과 수익성 확보가 가능한 사업 다각화를 검토 중이라고 8일 밝혔다.

엔에스브이는 지난 5일 열린 임시주총을 통해 서울대에서 기계공학 박사학위를 취득한 2명의 신임 이사들을 경영진으로 선임했다. 임병진 이사는 현재 이오에스이엔지 대표이사를 맡고 있고 김진권 이사는 터보헤드 대 표이사를 겸임하고 있다.

엔에스브이는 알루미늄과 에너지, 3D 프린터와 SI 그리고 부동산 등 총 14개 분야의 사업목적을 새로 추가했다. 3D 프린터와 시스템통합(SI)은 물론 기존 기계사업에 IT기술을 접목하겠다는 포부를 내비쳤다.

특히 알루미늄 팔레트 제조 및 판매사업에 대한 투자를 적극 검토중이다. 엔에스브이 관계자는 ""목재 팔레트의 병충해 발생, 복잡한 수출입 검역 절차와 방역 비용 등을 해소 할 수 있는 알루미늄 팔레트 사업 을 적극적으로 검토하고 있다""며 ""알루미늄 팔레트는 유해 물질 발생 및 폐기물 처리 문제의 단점을 해결하고 온실가스 감소를 위한 재사용, 재활용 가능 소재로서 시장규모가 크게 늘어날 것으로 기대된다""고 언급했다.

물품의 하역과 운송, 보관을 위한 팔레트는 현재 목재와 플라스틱이 주로 사용되고 있다. 목재 팔레트의 경우, 가격은 싸지만 무겁고 수명이 짧고 유지 보수가 어렵다. 특히, 환경문제로 인해 국제간 수출금지 품목으로의 법제화가 추진되고 있다.

엔에스브이 관계자는 "" 엔에스브이 신임 경연진들은 내구성과 강도가 높으면서 가볍고 저렴한 알루미늄 팔레트 개발과 생산에 주목하고 있다""고 말했다.

mkchang@fnnews.com 장민권 기자

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
엔에스브이,매일경제,2015.10.08. 오후 5:53,"엔에스브이, 14개 사업목적 추가…사업다각화 추진","화학공장과 발전소 등에 사용되는 밸브 생산업체 엔에스브이는 지난 5일 임시 주주총회를 총해 14개 사업목적을 추가하고 사업 다각화를 검토 중이라고 8일 밝혔다.

엔에스브이는 지난 5일 임시 주총에서 임병진 이오에스이엔지 대표이사와 김진권 터보헤드 대표이사 등 2명을 신규 선임했다. 이달 중순 경영권 양수도를 앞두고 신임 경영진을 대거 배치한 셈이다.

또 알루미늄과 에너지, 3D 프린터와 시스템통합(SI) 그리고 부동산 등 총 14개 분야의 사업목적을 새로 추가했다.

특히 신규 사업인 알루미늄 팔레트 제조 및 판매사업에 대한 투자를 적극 검토하고 있다.

엔에스브이 관계자는 “목재 팔레트의 병충해 발생, 복잡한 수출입 검역 절차와 방역 비용 등을 해소할 수 있는 알루미늄 팔레트 사업을 적극 검토 중”이라며 “알루미늄 팔레트는 유해 물질 발생 및 폐기물 처리 문제의 단점을 해결하 고 온실가스 감소를 위한 재사용, 재활용 가능 소재로서 시장규모가 크게 늘어날 것으로 기대된다”라고 밝혔다.

현재 엔에스브이는 140억원 규모의 경영권을 포함하는 주식 양수도 계약이 체결돼 있다. 이달 중순 잔금지급이 완료되면 이번 임시주총에서 선임된 임병진 이사가 경영하고 이오에스이엔지로 엔에스브이의 경영권이 완전히 넘어갈 예정이다.

[매경닷컴 김잔디 기자]



[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
엔에스브이,이데일리,2015.10.12. 오전 10:05,"엔에스브이, 베네수엘라 국영석유공사와 밸브·파이프 공급 협의","[이데일리 이명철 기자] 엔에스브이(095300)는 지난달 중순 베네수엘라 국영석유공사(PDVSA)의 초청으로 베네수엘라 현지를 방문해 약 열흘간 대규모 산업용 밸브와 파이프 공사를 위한 현지 답사를 실시했다고 12일 밝혔다.

이달 하순에는 PDVSA 관계자들이 한국을 찾아 산업용 밸브·파이프 공급에 대한 구체적인 협의를 진행할 예정이라고 회사는 전했다. 회사 관계자는 “기존 독일·일본산 밸브를 주로 사용하던 것을 품질·기술력·애프터서비스에 강점이 있는 한국산 제품으로 선정하는 것과 관련된 것”이라고 설명했다.

베네수엘라는 2013년 기준 세계 석유매장량의 17.8% 수준인 2976억배럴이 매장된 국가다. PDVSA는 석유개발생산·정제·공급 등을 총괄하는 국영기업으로 다국적 석유회사들의 투자 유치와 대규모 석유개발 프로젝트를 진행 중이다. 석유증설 프로젝트에는 대규모의 산업용 밸브·파이프가 공급된다.

또 매년 1~2개월 동안 공장 가동을 중지하고 전 부문 안전조사를 실시하는 ‘턴어라운드’ 시 밸브·펌프·파이프 등을 교체하기 때문에 수주 시 수 년 동안 지속적인 교체수요와 유지보수 등에 따른 매출과 이익이 발생하게 된다.

전세계 산업용 밸브 시장은 약 50조원 규모로 추정되며 이중 일본·중국 등 아시아 국가가 밸브 생산의 40%를 차지한다. 베네수엘라는 일본 기업들이 산업용 밸브 등을 주로 공급 중인 지역이다.

회사 관계자는 “베네수엘라 석유증산 로드맵과 관련해 국산 산업용 밸브와 파이프가 채택될 경우 국내 첫 사례로 수년간 매출은 수천억원 규모로 예상된다”며 “일본 기업을 상대로 기술력과 가격 경쟁력을 인정받게 돼 해외시장 진출을 본격화할 계기가 될 것”이라고 기대했다.



이명철 (twomc@edaily.co.kr)



＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
엔에스브이,파이낸셜뉴스,2015.10.12. 오후 1:26,"엔에스브이 ""베네수엘라 석유증설 프로젝트 수주경쟁 나서""","엔에스브이는 12일 수천억원 규모의 산업용 밸브와 파이프 공급이 요구되는 베네수엘라 석유증설 프로젝트 수주경쟁을 펼치고 있다고 밝혔다.

엔에스브이 관계자는 ""지난달 베네수엘라 국영석유공사(PDVSA)가 지난달 국내 밸브생산 전문 기업 엔에스브이를 베네수엘라 현지로 초청했다""며 "" 엔에스브이는 9월 중순부터 약 10여일간 베네수엘라 현지에서 대규모 산업용 밸브와 파이프 공사를 위한 현지 답사를 마쳤다""고 말했다.

그는 ""이달 하순에는 베네수엘라 국영석유공사의 관계자들이 한국을 방문, 산업용 밸브 및 파이프 공급에 대한 구체적인 협의를 진행할 예정""이라면서 ""이번 방문은 기존 독일과 일본산 밸브를 주로 사용하던 것을 품질, 기술력 그리고 A/S에 강점이 있는 한국산 엔에스브이 제품으로 선정하는 것과 관련된 것""이라고 덧붙였다.

이번 베네수엘라 프로젝트는 증설 수요 이외에도 안정적인 교체수요와 유지보수 등이 보장된다. 정유공장과 화학공장은 매년 1~2개월 동안 공장 가동을 중지시키고 전 부문에 걸쳐 안전조사를 실시하는데 이 기간 밸브, 펌프, 파이프 등의 교체가 진행된다. 결국 공장이나 설비 계약을 수주하게 되면 사실상 독점적 지위를 가지고 수 년 동안 지속적인 교체수요와 유지보수 등에 따른 매출과 이익이 발생하게 되는 셈이다.

한편, 전세계 산업용 밸브 시장은 약 50조원 규모로 추정된다. 이중 밸브 생산의 40%를 일본과 중국 등 아시아 국가에서 생산하고 있다. 베네수엘라는 일본 기업들이 산업용 밸브 등을 주로 공급하고 있다.

mkchang@fnnews.com 장민권 기자

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
엔에스브이,아시아경제,2015.10.12. 오후 2:21,"엔에스브이 ""베네수엘라서 일본과 대규모 수주경쟁 중""","[아시아경제 박미주 기자]엔에스브이가 수천억원 규모의 산업용 밸브와 파이프 공급이 요구되는 베네수엘라 석유증설 프로젝트 수주를 위해 일본 등 해외 기업과 경쟁하고 있다고 12일 밝혔다.

베네수엘라 국영석유공사(PDVSA)는 석유개발과 생산, 정제 및 공급 등을 총괄하는 국영기업이다. 현재 생산량 증대를 위해 다국적 석유회사들의 투자 유치와 대규모 석유개발 프로젝트를 진행하고 있다.

엔에스브이 관계자는 ""지난 달 베네수엘라 국영석유공사가 이례적으로 지난달 국내 밸브생산 전문 기업 엔에스브이를 베네수엘라 현지로 초청했다""며 ""엔에스브이는 9월 중순부터 약 10여일간 베네수엘라 현지에서 대규모 산업용 밸브와 파이프 공사를 위한 현지 답사를 마쳤다""고 전했다.

그는 ""이달 하순에는 베네수엘라 국영석유공사의 관계자들이 한국을 방문, 산업용 밸브 및 파이프 공급에 대한 구체적인 협의를 진행할 예정""이라며 ""이번 방문은 기존 독일과 일본산 밸브를 주로 사용하던 것을 품질, 기술력, A/S에 강점이 있는 한국산 엔에스브이 제품으로 선정하는 것과 관련된 것""이라고 말했다.

이번 베네수엘라 프로젝트는 증설 수요 이외에도 안정적인 교체수요와 유지보수 등이 보장된다. 정유공장과 화학공장은 안전을 최우선으로 생각하기 때문에 매년 1~2개월 동안 공장 가동을 중지시키고 전 부문에 걸쳐 안전조사를 실시한다. 이를 턴어라운드(Turn Around)라고 한다. 이 때, 밸브, 펌프, 파이프 등의 교체가 진행된다. 결국 공장이나 설비 계약을 수주하게 되면 사실상 독점적 지위를 가지고 수 년 동안 지속적인 교체수요와 유지보수 등에 따른 매출과 이익이 발생한다.

엔에스브이 관계자는 ""베네수엘라 석유증산 로드맵과 관련해 국산 산업용 밸브와 파이프가 채택된다면 이 분야 국내 첫 사례가 되며 수년간 매출은 수천억원 규모로 예상된다""고 설명했다.

박미주 기자 beyond@asiae.co.kr

▶ 주요 이슈의 재구성, 촌철살인 이미지 파일 '카드뉴스'

▶ 재미있는 동영상이 모두 모였다 ""펀캐스트""

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
엔에스브이,한국경제,2015.10.21. 오전 9:37,"엔에스브이, 최대주주 변경 주식양수도 계약 잔금 지급일 변경","[ 김근희 기자 ] 엔에스브이는 21일 최대주주가 김태만외 3인에서 이오에스이엔지와 디와이로 변경되는 주식양수도 계약 체결의 잔금 지급 날짜를 기존 20일에서 27일로 정정한다고 공시했다.

김근희 한경닷컴 기자 tkfcka7@hankyung.com


[한경닷컴 바로가기] [스내커] [슈퍼개미] [한경+ 구독신청]
ⓒ '성공을 부르는 습관' 한경닷컴, 무단 전재 및 재배포 금지"
