종목명,신문사,시간,제목,본문
유테크,한국경제TV,2018.09.21. 오후 2:49,"유테크, 전일 대비 약 -4% 하락한 3,795원","[한국경제TV 라이온봇 기자]


[그림 1] 최근 3개월 간 주가 추세 및 기간별 수익률


유테크는 9월 21일 14시 48분 전일 대비 약 -4% 하락한 3,795원에 거래되고 있다. 유테크는 코스닥 상장 기업으로 IT부품 업종에 속해 있다. 시가총액은 597억원으로 코스닥 상장기업 중 920위에 위치 해 있다.

[종목 성향 진단]


[그림 2] 종목 성향 진단


유테크의 투자 스타일은 성장주에 가깝다. 주가 고평가 우려가 공존하지만 높은 성장성이 기대되는 기업이다.
주가 모멘텀은 좋은 편에 속했다. 최근 1개월 수익률은 22.72%의 상승폭을 기록했다.
유테크 종목에 대한 투자자의 관심도는 평범한 수준이었다.

[투자 점수 진단]


[그림 3] 투자 점수 진단


유테크는 어느 측면에서 투자 매력도가 높은 종목일까?

AI 인공지능 종목 분석 시스템을 이용해 성장성, 수익성, 효율성, 안전성, 저평가성, 추세 등 주가 수익률에 영향을 줄 수 있는 6가지 핵심 투자 지표를 점수화하여 종목의 투자 매력도를 계산해보았다.
그 결과 유테크는 상대적으로 추세지표 측면에서 두각을 드러내고 있었다.

추세 점수는 주가의 상승 모멘텀이 어느정도 인가를 나타낸다.

유테크는 특히 단기추세 측면에서 가장 높은 점수는 기록했는데, 전체 시장 내 111위를 기록하며 상위 5.47%에 위치했다. 업종별로는 27위를 기록하며 상위 4.41%에 위치했다.

그러나 기업의 이익 실현 정도를 나타내는 수익성 측면에서는 아쉬움을 나타냈다.

(위의 AI인공지능 점수는 재무 데이터를 기반으로 전체 상장 종목과 비교/분석하여 도출한 점수로 높은 점수가 반드시 높은 수익률을 보장하지 않습니다. 위의 자료는 당사의 추천 종목이 아니며, 투자 시 참고용으로 제시해드리는 것입니다. 핵심투자지표를 결합해 종목의 투자매력도를 종합 계산한 ""인공지능 투자점수""는 ""거장들의 투자공식"" 앱에서 확인하실 수 있습니다.)

라이온봇 기자 -한국경제TV

※ 본 기사는 한국경제TV와 '거장들의 투자공식이'
자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.

라이온봇기자

▶ No1. 경제/증권방송 보며 채팅하기 [유튜브][페이스북]
▶ 대한민국 재테크 총집결 [한국경제TV 사이트 바로가기]


ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
유테크,한국경제TV,2018.10.08. 오전 10:44,"유테크, 전일 대비 약 -6% 하락한 3,750원","[한국경제TV 라이온봇 기자]


[그림 1] 최근 3개월 간 주가 추세 및 기간별 수익률


유테크는 10월 8일 10시 43분 전일 대비 약 -6% 하락한 3,750원에 거래되고 있다. 유테크는 코스닥 상장 기업으로 IT부품 업종에 속해 있다. 시가총액은 606억원으로 코스닥 상장기업 중 894위에 위치 해 있다.

[종목 성향 진단]


[그림 2] 종목 성향 진단


유테크의 투자 스타일은 성장주에 가깝다. 주가 고평가 우려가 공존하지만 높은 성장성이 기대되는 기업이다.
주가 모멘텀은 좋은 편에 속했다. 최근 1개월 수익률은 14.21%의 상승폭을 기록했다.
유테크 종목에 대한 투자자의 관심도는 높은 편에 속한다.

[투자 점수 진단]


[그림 3] 투자 점수 진단


유테크는 어느 측면에서 투자 매력도가 높은 종목일까?

AI 인공지능 종목 분석 시스템을 이용해 성장성, 수익성, 효율성, 안전성, 저평가성, 추세 등 주가 수익률에 영향을 줄 수 있는 6가지 핵심 투자 지표를 점수화하여 종목의 투자 매력도를 계산해보았다.
그 결과 유테크는 상대적으로 추세지표 측면에서 두각을 드러내고 있었다.

추세 점수는 주가의 상승 모멘텀이 어느정도 인가를 나타낸다.

유테크는 특히 단기추세 측면에서 가장 높은 점수는 기록했는데, 전체 시장 내 203위를 기록하며 상위 10.03%에 위치했다. 업종별로는 44위를 기록하며 상위 7.26%에 위치했다.

그러나 기업의 이익 실현 정도를 나타내는 수익성 측면에서는 아쉬움을 나타냈다.

(위의 AI인공지능 점수는 재무 데이터를 기반으로 전체 상장 종목과 비교/분석하여 도출한 점수로 높은 점수가 반드시 높은 수익률을 보장하지 않습니다. 위의 자료는 당사의 추천 종목이 아니며, 투자 시 참고용으로 제시해드리는 것입니다. 핵심투자지표를 결합해 종목의 투자매력도를 종합 계산한 ""인공지능 투자점수""는 ""거장들의 투자공식"" 앱에서 확인하실 수 있습니다.)

라이온봇 기자 -한국경제TV

※ 본 기사는 한국경제TV와 '거장들의 투자공식이'
자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.

라이온봇기자

▶ No1. 경제/증권방송 보며 채팅하기 [유튜브][페이스북]
▶ 대한민국 재테크 총집결 [한국경제TV 사이트 바로가기]


ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
유테크,한국경제TV,2018.10.11. 오후 2:44,"유테크, 전일 대비 약 -8% 하락한 3,595원","[한국경제TV 라이온봇 기자]


[그림 1] 최근 3개월 간 주가 추세 및 기간별 수익률


유테크는 10월 11일 14시 43분 전일 대비 약 -8% 하락한 3,595원에 거래되고 있다. 유테크는 코스닥 상장 기업으로 IT부품 업종에 속해 있다. 시가총액은 591억원으로 코스닥 상장기업 중 886위에 위치 해 있다.

[종목 성향 진단]


[그림 2] 종목 성향 진단


유테크의 투자 스타일은 성장주에 가깝다. 주가 고평가 우려가 공존하지만 높은 성장성이 기대되는 기업이다.
주가 모멘텀은 평범한 수준이었다. 최근 1개월 수익률이 2.5%, 3개월 수익률은 -3.71%, 6개월 수익률은 -43.06%를 기록했다.
유테크 종목에 대한 투자자의 관심도는 평범한 수준이었다.

[투자 점수 진단]


[그림 3] 투자 점수 진단


유테크는 어느 측면에서 투자 매력도가 높은 종목일까?

AI 인공지능 종목 분석 시스템을 이용해 성장성, 수익성, 효율성, 안전성, 저평가성, 추세 등 주가 수익률에 영향을 줄 수 있는 6가지 핵심 투자 지표를 점수화하여 종목의 투자 매력도를 계산해보았다.
그 결과 유테크는 상대적으로 추세지표 측면에서 두각을 드러내고 있었다.

추세 점수는 주가의 상승 모멘텀이 어느정도 인가를 나타낸다.

유테크는 특히 단기추세 측면에서 가장 높은 점수는 기록했는데, 전체 시장 내 250위를 기록하며 상위 12.37%에 위치했다. 업종별로는 56위를 기록하며 상위 9.29%에 위치했다.

그러나 기업의 이익 실현 정도를 나타내는 수익성 측면에서는 아쉬움을 나타냈다.

(위의 AI인공지능 점수는 재무 데이터를 기반으로 전체 상장 종목과 비교/분석하여 도출한 점수로 높은 점수가 반드시 높은 수익률을 보장하지 않습니다. 위의 자료는 당사의 추천 종목이 아니며, 투자 시 참고용으로 제시해드리는 것입니다. 핵심투자지표를 결합해 종목의 투자매력도를 종합 계산한 ""인공지능 투자점수""는 ""거장들의 투자공식"" 앱에서 확인하실 수 있습니다.)

라이온봇 기자 -한국경제TV

※ 본 기사는 한국경제TV와 '거장들의 투자공식이'
자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.

라이온봇기자

▶ No1. 경제/증권방송 보며 채팅하기 [유튜브][페이스북]
▶ 대한민국 재테크 총집결 [한국경제TV 사이트 바로가기]


ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
유테크,서울경제,2018.10.15. 오후 1:29,"<코>유테크, 전일 대비 7.07% 상승.. 일일회전율은 0.64% 기록","[서울경제] 유테크(178780)는 15일 오후 1시 27분 현재 7.07% 오른 3,710원에 거래되고 있으며, 44(매도):56(매수)의 매수우위를 기록하고 있다. 거래대금은 3억6,116만, 거래량은 10만118주로 거래량회전율은 0.64%로 나타났다.



지난 1개월간 유테크는 상승 16회, 하락 13회를 기록했고, 주가수익률은 15.22% 표준편차는 3.20%를 기록했다. 이 기간 'IT부품업' 업종 평균 주가수익률은 -10.30%로 나타났으며, 변동성은 1.98%를 기록했다.

이 시각 현재 'IT부품업'은 1.56% 상승 중이며, 44(매도):56(매수)의 매수우위를 기록하고 있다.

[이 기사는 증시분석 전문기자 서경뉴스봇(newsbot@sedaily.com)이 실시간으로 작성했습니다.]

/서경뉴스봇 newsbot@sedaily.com

[서울경제 바로가기]
프리미엄 미디어 Signal이 투자의 바른 길을 안내합니다 [바로가기▶]
서울경제ㆍ서울시 주최 블록체인 이벤트 ‘ABF in Seoul’ [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
유테크,한국경제,2018.10.15. 오후 3:04,"[한경로보뉴스] '유테크' 10% 이상 상승, 주가 반등으로 5일 이평선 넘어섬, 단기 이평선 역배열 구간","15일 오후 14시 58분 현재 유테크는 전 거래일보다 12.41% 오른 3,895원에 거래되고 있다. 주가의 흐름을 살펴보면 3,440원으로 개장해서 장중에 밀리지 않고 계속 상승해서 3,895원(+12.41%)까지 큰 폭으로 상승하고 있다.

◆ 차트 분석
- 주가 반등으로 5일 이평선 넘어섬, 단기 이평선 역배열 구간
추세선으로 보면 단기적으로 역배열을 만들면서 조정을 받았지만, 반등하면서 5일선을 넘어서는 모습이다.

최근 이 종목의 차트에서 주가 5MA 상향돌파, 캔들패턴(상승반전형) 등의 특이사항이 발생했다.

[그래프]유테크 차트 분석


◆ 기업개요
유테크는 휴대폰용 도광판, 몰드프레임 제조업체로 알려져 있다.

한경로보뉴스

이 기사는 한국경제신문과 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다. - 기사오류문의 02-3277-9940



[한경닷컴 바로가기] [모바일한경 구독신청]
글로벌 블록체인 프론티어 코리아! 2018 코리아 블록체인 엑스포 [바로가기]
ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
유테크,한국경제TV,2018.10.18. 오후 1:47,"유테크, 전일 대비 약 -8% 하락한 3,555원","[한국경제TV 라이온봇 기자]


[그림 1] 최근 3개월 간 주가 추세 및 기간별 수익률


유테크는 10월 18일 13시 46분 전일 대비 약 -8% 하락한 3,555원에 거래되고 있다. 유테크는 코스닥 상장 기업으로 IT부품 업종에 속해 있다. 시가총액은 611억원으로 코스닥 상장기업 중 861위에 위치 해 있다.

[종목 성향 진단]


[그림 2] 종목 성향 진단


유테크의 투자 스타일은 성장주에 가깝다. 주가 고평가 우려가 공존하지만 높은 성장성이 기대되는 기업이다.
주가 모멘텀은 부진한 편이었다. 최근 6개월 수익률은 -50.51%의 하락폭을 기록했다. 최근 1개월 수익률 또한 -3.72% 하락하며 부진한 모멘텀을 이어가고 있다.
유테크 종목에 대한 투자자의 관심도는 평범한 수준이었다.

[투자 점수 진단]


[그림 3] 투자 점수 진단


유테크는 어느 측면에서 투자 매력도가 높은 종목일까?

AI 인공지능 종목 분석 시스템을 이용해 성장성, 수익성, 효율성, 안전성, 저평가성, 추세 등 주가 수익률에 영향을 줄 수 있는 6가지 핵심 투자 지표를 점수화하여 종목의 투자 매력도를 계산해보았다.
그 결과 유테크는 상대적으로 추세지표 측면에서 두각을 드러내고 있었다.

추세 점수는 주가의 상승 모멘텀이 어느정도 인가를 나타낸다.

유테크는 특히 중기추세 측면에서 가장 높은 점수는 기록했는데, 전체 시장 내 342위를 기록하며 상위 17.11%에 위치했다. 업종별로는 80위를 기록하며 상위 13.57%에 위치했다.

그러나 기업의 이익 실현 정도를 나타내는 수익성 측면에서는 아쉬움을 나타냈다.

(위의 AI인공지능 점수는 재무 데이터를 기반으로 전체 상장 종목과 비교/분석하여 도출한 점수로 높은 점수가 반드시 높은 수익률을 보장하지 않습니다. 위의 자료는 당사의 추천 종목이 아니며, 투자 시 참고용으로 제시해드리는 것입니다. 핵심투자지표를 결합해 종목의 투자매력도를 종합 계산한 ""인공지능 투자점수""는 ""거장들의 투자공식"" 앱에서 확인하실 수 있습니다.)

라이온봇 기자 -한국경제TV

※ 본 기사는 한국경제TV와 '거장들의 투자공식이'
자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.

라이온봇기자

▶ No1. 경제/증권방송 보며 채팅하기 [유튜브][페이스북]
▶ 대한민국 재테크 총집결 [한국경제TV 사이트 바로가기]


ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
유테크,한국경제TV,2018.10.25. 오전 11:42,"유테크, 전일 대비 약 -7% 하락한 3,210원","[한국경제TV 라이온봇 기자]


[그림 1] 최근 3개월 간 주가 추세 및 기간별 수익률


유테크는 10월 25일 11시 42분 전일 대비 약 -7% 하락한 3,210원에 거래되고 있다. 유테크는 코스닥 상장 기업으로 IT부품 업종에 속해 있다. 시가총액은 590억원으로 코스닥 상장기업 중 842위에 위치 해 있다.

[종목 성향 진단]


[그림 2] 종목 성향 진단


유테크의 투자 스타일은 성장주에 가깝다. 주가 고평가 우려가 공존하지만 높은 성장성이 기대되는 기업이다.
주가 모멘텀은 부진한 편이었다. 최근 6개월 수익률은 -37.59%의 하락폭을 기록했다. 최근 1개월 수익률 또한 -7.94% 하락하며 부진한 모멘텀을 이어가고 있다.
유테크 종목에 대한 투자자의 관심도는 평범한 수준이었다.

[투자 점수 진단]


[그림 3] 투자 점수 진단


유테크는 어느 측면에서 투자 매력도가 높은 종목일까?

AI 인공지능 종목 분석 시스템을 이용해 성장성, 수익성, 효율성, 안전성, 저평가성, 추세 등 주가 수익률에 영향을 줄 수 있는 6가지 핵심 투자 지표를 점수화하여 종목의 투자 매력도를 계산해보았다.
그 결과 유테크는 상대적으로 효율성 측면에서 두각을 드러내고 있었다.

효율성 점수는 기업의 자산 활용이 얼마나 효율적으로 이뤄지고 있는가를 나타낸다.

유테크는 특히 매입채무회전율 측면에서 가장 높은 점수는 기록했는데, 전체 시장 내 237위를 기록하며 상위 12.72%에 위치했다. 업종별로는 66위를 기록하며 상위 11.84%에 위치했다.

그러나 기업의 이익 실현 정도를 나타내는 수익성 측면에서는 아쉬움을 나타냈다.

(위의 AI인공지능 점수는 재무 데이터를 기반으로 전체 상장 종목과 비교/분석하여 도출한 점수로 높은 점수가 반드시 높은 수익률을 보장하지 않습니다. 위의 자료는 당사의 추천 종목이 아니며, 투자 시 참고용으로 제시해드리는 것입니다. 핵심투자지표를 결합해 종목의 투자매력도를 종합 계산한 ""인공지능 투자점수""는 ""거장들의 투자공식"" 앱에서 확인하실 수 있습니다.)

라이온봇 기자 -한국경제TV

※ 본 기사는 한국경제TV와 '거장들의 투자공식이'
자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.

라이온봇기자

▶ No1. 경제/증권방송 보며 채팅하기 [유튜브][페이스북]
▶ 대한민국 재테크 총집결 [한국경제TV 사이트 바로가기]


ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
유테크,한국경제TV,2018.10.26. 오후 2:45,"유테크, 전일 대비 약 -8% 하락한 3,010원","[한국경제TV 라이온봇 기자]


[그림 1] 최근 3개월 간 주가 추세 및 기간별 수익률


유테크는 10월 26일 14시 44분 전일 대비 약 -8% 하락한 3,010원에 거래되고 있다. 유테크는 코스닥 상장 기업으로 IT부품 업종에 속해 있다. 시가총액은 559억원으로 코스닥 상장기업 중 860위에 위치 해 있다.

[종목 성향 진단]


[그림 2] 종목 성향 진단


유테크의 투자 스타일은 성장주에 가깝다. 주가 고평가 우려가 공존하지만 높은 성장성이 기대되는 기업이다.
주가 모멘텀은 좋지 못했다. 최근 6개월 수익률은 -44.86%의 하락폭을 기록했다. 최근 1개월 수익률 또한 -16.26% 하락하며 부진한 모멘텀을 이어가고 있다.
유테크 종목에 대한 투자자의 관심도는 평범한 수준이었다.

[투자 점수 진단]


[그림 3] 투자 점수 진단


유테크는 어느 측면에서 투자 매력도가 높은 종목일까?

AI 인공지능 종목 분석 시스템을 이용해 성장성, 수익성, 효율성, 안전성, 저평가성, 추세 등 주가 수익률에 영향을 줄 수 있는 6가지 핵심 투자 지표를 점수화하여 종목의 투자 매력도를 계산해보았다.
그 결과 유테크는 상대적으로 효율성 측면에서 두각을 드러내고 있었다.

효율성 점수는 기업의 자산 활용이 얼마나 효율적으로 이뤄지고 있는가를 나타낸다.

유테크는 특히 매입채무회전율 측면에서 가장 높은 점수는 기록했는데, 전체 시장 내 237위를 기록하며 상위 12.72%에 위치했다. 업종별로는 66위를 기록하며 상위 11.84%에 위치했다.

그러나 기업의 이익 실현 정도를 나타내는 수익성 측면에서는 아쉬움을 나타냈다.

(위의 AI인공지능 점수는 재무 데이터를 기반으로 전체 상장 종목과 비교/분석하여 도출한 점수로 높은 점수가 반드시 높은 수익률을 보장하지 않습니다. 위의 자료는 당사의 추천 종목이 아니며, 투자 시 참고용으로 제시해드리는 것입니다. 핵심투자지표를 결합해 종목의 투자매력도를 종합 계산한 ""인공지능 투자점수""는 ""거장들의 투자공식"" 앱에서 확인하실 수 있습니다.)

라이온봇 기자 -한국경제TV

※ 본 기사는 한국경제TV와 '거장들의 투자공식이'
자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.

라이온봇기자

▶ No1. 경제/증권방송 보며 채팅하기 [유튜브][페이스북]
▶ 대한민국 재테크 총집결 [한국경제TV 사이트 바로가기]


ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
유테크,서울경제,2018.10.26. 오후 3:10,"<코>유테크, 장중 신저가 기록.. 3,030→2,900(▼130)","[서울경제] 오후 3시 9분 현재 유테크(178780)가 11.31% 내린 2,900원(▼370)을 기록하며, 52주 신저가를 -130원 경신했다. 기존 52주 최저가는 2018년 08월 13일 기록한 3,030원이다. 체결강도는 41%로 강세 반전했다. 총매수체결량은 40,449주, 총매도체결량은 99,003주를 각각 기록했다. (※ 체결강도(%) = (총매수체결량/총매도체결량)*100)



이 시각 현재 거래대금은 4억2,449만, 거래량은 14만154주를 기록하고 있으며, 수급측면으로는 71(매도):29(매수)의 매도우위를 보이고 있다.

거래일을 기준으로 최근 3일간 평균 거래량은 1십1만2천주, 60일 평균 거래량 2십만6천주로 최근 거래량이 큰 폭으로 감소하는 추세다.

[이 기사는 증시분석 전문기자 서경뉴스봇(newsbot@sedaily.com)이 실시간으로 작성했습니다.]

/서경뉴스봇 newsbot@sedaily.com

[서울경제 바로가기]
프리미엄 미디어 Signal이 투자의 바른 길을 안내합니다 [바로가기▶]
서울경제ㆍ서울시 주최 블록체인 이벤트 ‘ABF in Seoul’ [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
유테크,서울경제,2018.10.29. 오전 10:54,"<코>유테크, 장중 신저가 기록.. 2,880→2,795(▼85)","[서울경제] 오전 10시 53분 현재 유테크(178780)가 3.79% 내린 2,795원(▼110)을 기록하며, 52주 신저가를 -85원 경신했다. 기존 52주 최저가는 2018년 10월 26일 기록한 2,880원이다. 체결강도는 54%로 강세 반전했다. 총매수체결량은 45,011주, 총매도체결량은 83,726주를 각각 기록했다. (※ 체결강도(%) = (총매수체결량/총매도체결량)*100)



이 시각 현재 거래대금은 4억434만, 거래량은 14만739주를 기록하고 있으며, 수급측면으로는 65(매도):35(매수)의 매도우위를 보이고 있다.

거래일을 기준으로 최근 3일간 평균 거래량은 1십3만4천주, 60일 평균 거래량 2십만8천주로 최근 거래량이 큰 폭으로 감소하는 추세다.

[이 기사는 증시분석 전문기자 서경뉴스봇(newsbot@sedaily.com)이 실시간으로 작성했습니다.]

/서경뉴스봇 newsbot@sedaily.com

[서울경제 바로가기]
프리미엄 미디어 Signal이 투자의 바른 길을 안내합니다 [바로가기▶]
서울경제ㆍ서울시 주최 블록체인 이벤트 ‘ABF in Seoul’ [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
