종목명,신문사,시간,제목,본문
씨엘인터내셔널,이데일리,2015.12.30. 오전 10:48,"네오이녹스엔모크스, 상호 '씨엘인터내셔널'로 변경","[이데일리 경계영 기자] 네오이녹스엔모크스(037340)는 사업 다각화를 위해 상호를 ‘씨엘인터내셔널(CLinternational Co., Ltd.)’로 변경한다고 30일 공시했다.





경계영 (kyung@edaily.co.kr)


▶ [중독사회]중독, 개인 아닌 사회 문제…사회·경제적 손실 '110조'
▶ 핫 초이스 ★ 男心 저격수 `애플힙` 그녀

＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
씨엘인터내셔널,연합뉴스,2015.12.30. 오전 10:50,"네오이녹스엔모크스, 씨엘인터내셔널로 상호 변경","(서울=연합뉴스) 성서호 기자 = 네오이녹스엔모크스는 사업 다각화를 위해 씨엘인터내셔널로 상호를 변경한다고 30일 공시했다.

soho@yna.co.kr

▶ [현장영상] 영화같은 일이 현실로… '천만원짜리 금화' 무더기 발견

▶ [오늘의 핫 화보] 北김양건 사망…김정은 체제의 대남정책 총괄 핵심

<저작권자(c) 연합뉴스, 무단 전재-재배포 금지>"
씨엘인터내셔널,한국경제,2015.12.30. 오전 10:50,"네오이녹스엔모크스, 씨엘인터내셔널로 사명 변경","[ 이민하 기자 ] 네오이녹스엔모크스는 사업다각화를 위해 상호명을 씨엘인터내셔널로 변경한다고 30일 공시했다.

앞서 이 회사는 지난 2012년 1월 티모테크놀로지에서 티모이앤엠으로, 2013년 9월에는 다시 네오아레나로, 올해 7월에는 네오아레나에서 네오이녹스엔모크스로 사명을 바꾼 바 있다.

이민하 한경닷컴 기자 minari@hankyung.com


[한경닷컴 바로가기] [스내커] [슈퍼개미] [한경+ 구독신청]
ⓒ '성공을 부르는 습관' 한경닷컴, 무단 전재 및 재배포 금지"
씨엘인터내셔널,아시아경제,2015.12.30. 오전 10:52,"네오이녹스엔모크스, 씨엘인터내셔널로 상호 변경","[아시아경제 권해영 기자] 네오이녹스엔모크스는 사업다각화 차원에서 씨엘인터내셔널로 상호를 변경한다고 30일 공시했다.



권해영 기자 roguehy@asiae.co.kr

▶ 주요 이슈의 재구성, 촌철살인 이미지 파일 '카드뉴스'
▶ 재미있는 동영상이 모두 모였다 ""펀캐스트""
<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
씨엘인터내셔널,뉴시스,2015.12.30. 오전 11:05,"네오이녹스엔모크스, 씨엘인터내셔널로 상호변경","【서울=뉴시스】 통신장비 제조업체인 네오이녹스엔모크스는 사업다각화를 위해 ㈜씨엘인터내셔널(CLinternational Co., Ltd.)로 상호를 변경키로 결정했다고 30일 공시했다.

★ 세상에 이런일이 - 공원서 4m 땅굴 파고 숙식한 20대 노숙자 체포
★ 오늘의 핫 포토 - 임지연, 가슴 파인 아찔 드레스


★ 뉴시스 뉴스, 이젠 네이버 뉴스 스탠드에서도 만나세요

★ 손 안에서 보는 세상, 모바일 뉴시스

<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
씨엘인터내셔널,아시아경제,2015.12.30. 오전 11:14,"네오이녹스엔모크스, 씨엘인터내셔널로 사명 변경","[아시아경제 팍스넷 김진욱 기자] 네오이녹스엔모크스가 사업 다각화를 위해 사명을 씨엘인터내셔널로 변경한다고 30일 공시했다.

김진욱 기자 nook@paxnet.kr


▶ 주요 이슈의 재구성, 촌철살인 이미지 파일 '카드뉴스'
▶ 재미있는 동영상이 모두 모였다 ""펀캐스트""
<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
씨엘인터내셔널,머니투데이,2015.12.30. 오후 2:03,"[더벨]네오이녹스, 씨엘인터내셔널로 사명 변경","[더벨 김세연 기자] [중국석유생활망 내년초 100억 투자 추진]
더벨|이 기사는 12월30일(13:48) 자본시장 미디어 '머니투데이 thebell'에 출고된 기사입니다.


네오이녹스엔모크스(이하 네오이녹스)가 사명을 씨엘인터내셔널(CLinternational Co., Ltd.)로 변경했다. 신규 사업으로 추진하는 중국석유생활망(CNPCLIFE)와의 전략적 파트너십을 공고히 하겠다는 의미로 풀이된다.

30일 네오이녹스는 경기도 성남시에 위치한 본사에서 임시주주총회를 열고 상호를 네오이녹스에서 '씨엘인터내셔널'로 변경한다고 밝혔다.

네오이녹스는 임총을 통해 정관변경과 사내외 이사 및 감사 등의 선임안, 300만 여주 가량의 주식매수선택권 부여 취소 등도 결의했다.

신규 이사진에는 왕강 중국석유생활망 회장을 비롯해, 김영우, 이희준, 박광혁 씨가 사내이사로, 오윤호, 이희영 씨가 사외이사로 합류했다. 신임 감사로는 이범래 변호사가 선임됐다.

네오이녹스 관계자는 ""참석 주주들 대부분이 전자투표를 통해 총회에 참여했고 상정 안건을 모두 가결했다""며 ""주주들이 회사의 비전과 향후 실적 증대, 주주가치 재고를 기대하며 무리없는 표결이 이뤄졌다""고 설명했다. 이어 ""박진환씨가 지난 11월 24일 제기한 '주주총회금지가처분 신청은 지난 28일 법원으로부터 각하 및 기각 (원고패소)됨에 따라 시장에서 제기됐던 신규사업 진행에 대한 우려 및 불확실성이 해소됐다""며 ""새롭게 선임된 임직원들은 주주들의 기대에 부응해 최선의 노력을 다할 것""이라고 덧붙였다.

임총을 앞두고 한국을 방문한 왕강 회장은 ""네오이녹스와 중국석유생활망은 중국내 유통 및 환경업계에서 신(新)한류를 불러일으키는 동반자적 관계""라며 ""방문기간중 주간사를 선정을 통해 한화 100억 원규모의 투자도 검토하고 있다""고 말했다.

중국석유생활망은 이미 지난 달 네오이녹스의 사업설명회에 참석해 대규모 투자 계획을 밝혔다. 중국석유생활망의 네오이녹스 투자는 주간사 선정이후 약 15일 가량이 소요된다는 점에서 내년 1월께 마무리될 것으로 기대된다. 중국석유생활망은 유통사업 확대를 위한 초기 투자이후에도 이동식화장실, 이동식 소각로 등 환경사업을 위한 추가 자금 투자도 검토중이다.

한편 네오이녹스는 지난 29일 엠에스피를 대상으로 15억 7000만 원 규모의 제3자 배정 유상증자도 성공적으로 마무리하며 신규 사업 진행을 위한 유동성도 추가 확보했다.

발행되는 신주는 총 45만 주로 발행가액은 3495원이다. 발행 신주는 1년간 보호 예수된다.

엠에스피는 인천 서구에 위치한 카톨릭관동대학 국제성모병원의 자회사로 국제성모병원 및 메디컬테마파크몰(MTP Mall)의 부대사업을 종합 관리하는 기업이다. 네오이녹스는 엠에스피가 관리하는 MPT Mall 내에서 네오사후면세점과 네오 전시장을 운영 중이다.

네오이녹스 관계자는 ""양삭간 전략적 파트너 관계 구축이후 네오이녹스의 신사업에 대한 비전을 기대한 엠에스피의 증자 참여로 더욱 강화된 동반자 관계를 이끌 수 있을 것""이라며 ""추가적으로 진행중인 금융기관 및 파트너 회사들과의 투자 협상도 마무리 단계에 있어 향후 대중국 유통사업과 사후면세점 사업이 탄력을 받을 것""이라고 강조했다.

['생존 재테크' 백과사전 ""재테크를 부탁해"" ][부자들에게 배우는 성공 노하우 '줄리아 투자노트' ][내 삶을 바꾸는 정치뉴스 'the 300'][CEO의 삶을 바꾼 '내 인생 최고의 조언' ][아찔한 girl~ 레이싱모델 핫포토 ]

김세연 기자

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
씨엘인터내셔널,한국경제,2016.01.15. 오전 4:05,[코스닥 메모] (15일) 변경상장=네오이녹스엔모크스→씨엘인터내셔널(상호변경) 등,"◇변경상장=네오이녹스엔모크스→씨엘인터내셔널(상호변경)
◇무상권리락=콜마비앤에이치


[한경닷컴 바로가기] [스내커] [슈퍼개미] [한경+ 구독신청]
ⓒ '성공을 부르는 습관' 한경닷컴, 무단 전재 및 재배포 금지"
씨엘인터내셔널,아시아경제,2016.01.18. 오전 7:54,"‘무주공산’ 씨엘인터내셔널, 주가 연일 바닥","[아시아경제 팍스넷 공도윤 기자] 화려했던 지난해와 달리 씨엘인터내셔널(전 네오이녹스)의 주가가 지지부진하다. 지난해 중국 석유생활망(CNPC LIFE)과의 제휴 효과로 6700원(11월16일)까지 치솟았던 주가는 3000원대로 주저 앉았다. 사명변경이 무색하다.

씨엘인터내셔널 관계자는 18일 “중국 쪽 투자자금 유치 결과가 아직 가시화 되지 않아 투자자들의 불안심리가 높은 것 같다”며 “하지만 중국 비즈니스가 무리없이 진행 중인 만큼 조만간 투자자금 유치 확정 등 긍정적인 뉴스를 전할 수 있을 전망”이라고 밝혔다.

지난해 7월 박종희 전 대표 취임 이후 이 회사는 사후면세점 설립, 갤러리 오픈에 이어 중국석유생활망으로의 화장품·주유소 유증기 회수장치 등에 대한 독점판매 공급 계약에 성공했다. 하지만 관련 사업의 구체적인 성과는 아직 나오지 않은 상태다. 특히 왕강 중국석유생활망 회장의 100억원 투자는 현재로서는 불확실하다는 것이 시장의 평가다. 실적도 좋지않아 지난 3분기까지 50억원의 영업손실과 63억원의 순손실을 기록하고 있다.

더욱이 지난해 중국 유통산업 진출을 주도했던 박 대표가 대표직에서 물러나고 보유주식 대부분을 매도해, 현재 5% 이상 지분을 보유한 최대주주가 없는 상태다. 주총 한달전 박 전 대표는 보유주식 5.47% 중 4.43%를 매도해 현재 보유지분이 1.04%에 불과하다. 같은 시기 이앤인베스트먼트도 보유주식 5.34%를 전량 매도했다. 대신 인천 국제성모병원 메디컬테마파크몰(MTP Mall)내에 사후면세점을 오픈하면서 엠에스피가 3자배정 유상증자에 참여, 새 주주로 합류했다.

한편 현재 이 회사의 대표이사는 남춘우 전 사내이사로 지난해 12월30일 임시주주총회를 통해 새롭게 선출됐다. 같은 날 왕강 석유생활망 회장도 사내이사로 신규 선임됐다.

주인없는 회사를 바라보는 투자자들은 불안할 수밖에 없다. 특히 씨엘인터내셔널은 상장 후 최대주주가 9차례 바뀌었고, 사명도 7차례나 변경된 만큼 투자자들의 신뢰 회복을 위해서는 확실한 ‘카드’가 필요한 시점이다.



▶ 주요 이슈의 재구성, 촌철살인 이미지 파일 '카드뉴스'
▶ 농업과 내:일의 만남, ""나우올제 크로스미디어""
<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
씨엘인터내셔널,이데일리,2016.01.20. 오후 5:44,"씨엘인터내셔널 ""박진환씨가 이사직무집행정지 가처분 신청""","[이데일리 안혜신 기자] 씨엘인터내셔널(037340)은 박진환 씨가 박종희, 남춘우, 이재순, 이범래, 이해준씨를 대상으로 이사직무집행정지 가처분 신청을 제기했다고 20일 공시했다. 회사 측은 “박종희 전 대표와 이재순, 이범래, 이해준씨는 사외이사직을 사임하면서 이번 소송에 대한 지위는 남춘우 현재 대표이사만 해당 된다”며 “소송대리인을 선임하여 관련 법률근거에 따라 적극적으로 대응할 것”이라고 말했다.

안혜신 (ahnhye@edaily.co.kr)


▶ [데일리 포커스] 알면 알수록 빠져드는 경제뉴스
▶핫 초이스 ★ 男心 저격수 `애플힙` 그녀

＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
