종목명,신문사,시간,제목,본문
피엘에이,이데일리,2015.09.22. 오전 9:24,"[특징주]피엘에이, 11%대 급락… 유증 납입일 연기","[이데일리 이명철 기자] 피엘에이(082390)가 유상증자 납입일이 변경됐다는 소식에 급락세를 나타내고 있다.

22일 오전 9시 22분 현재 피엘에이 주가는 전일 대비 11.57% 하락한 1185원을 기록 중이다.

지난 2거래일 연속 상승했지만 유상증자 완료가 지연되면서 실망감에 하락세를 보이는 것으로 풀이된다.

이날 오전 회사는 투자자 요청에 따라 당초 이달 21일이었던 유상증자 납입일을 다음달 7일로 미룬다고 공시했다.

앞서 회사는 이달 15일 제3자배정 방식의 유상증자를 결정했다고 밝힌 바 있다. 규모는 120억원이다. 제3자배정 대상자는 에이알렌트서비스다.



이명철 (twomc@edaily.co.kr)



＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
피엘에이,서울경제,2015.09.22. 오전 9:40,"[특징주]피엘에이, 유상증자 납입일 변경에 급락","피엘에이(082390)가 유상증자 납입일이 변경됐다는 소식에 급락하고 있다.

22일 오전 9시 37분 현재 피엘에이는 전일 대비 11.57% (155원)하락한 1,185원을 기록 중이다. 2거래일 연속 상승세를 유지했지만 유상증자 완료가 지연되면서 하락세로 전환한 것으로 보인다. 이날 오전 회사는 투자자 요청에 따라 당초 이달 21일이었던 유상증자 납입일을 다음달 7일로 미룬다고 공시했다. 앞서 회사는 이달 15일 제3자배정 방식의 유상증자를 결정했다고 밝힌 바 있다. 규모는 120억원이다. 제3자배정 대상자는 에이알렌트서비스다.

송종호기자 joist1894@sed.co.kr


▶ 돈이 보이는 뉴스 '서울경제 페이스북' ""좋아요 클릭클릭~""
▶ '썸 타는' 특별한 뉴스~ '서울경제썸 페이스북' 바로가기~
[ⓒ 서울경제, 무단 전재 및 재배포 금지]"
피엘에이,이데일리,2015.09.25. 오후 5:24,"씨에스, 피엘에이 지분율 14.54%→13.06%","[이데일리 송이라 기자] 씨에스 외 특별관계자 1인은 장내매도로 피엘에이(082390) 지분율이 종전 14.54%에서 13.06%로 줄었다고 25일 공시했다.





송이라 (rassong@edaily.co.kr)



＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
피엘에이,이데일리,2015.10.07. 오후 6:18,"피엘에이, 유상증자 납입일 15일로 변경","[이데일리 이명철 기자] 피엘에이(082390)는 투자자 요청으로 유상증자 납입일을 이달 7일에서 오는 15일로 변경한다고 이날 공시했다. 신주권 교부예정일은 이달 22일에서 29일, 신주 상장예정일은 23일에서 30일로 각각 변경된다.



이명철 (twomc@edaily.co.kr)



＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
피엘에이,매일경제,2015.10.15. 오후 5:42,[코스닥 공시] 한솔신텍 / 피엘에이 / 레드캡투어,"◇한솔신텍〓대림산업과 305억원 규모의 바이오매스 보일러 설계 및 공급 관련 계약 체결.

◇피엘에이〓제3자배정 유상증자 납입 완료에 따라 최대주주가 기존 씨에스 외 1인에서 에이알렌트서비스로 변경.

◇레드캡투어〓주가 안정을 위해 우리은행과 20억원 규모 자사주 취득 신탁계약 체결.



[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
피엘에이,이데일리,2015.10.15. 오후 5:56,"피엘에이, 최대주주 에이알렌트서비스로 변경","[이데일리 안혜신 기자] 피엘에이(082390)는 제3자배정 유상증자 납입 완료에 따라 최대주주가 기존 씨에스 외 1인에서 에이알렌트서비스로 변경됐다고 15일 공시했다. 소유 주식수는 1200만주, 소유비율은 19.98%다.

안혜신 (ahnhye@edaily.co.kr)



＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
피엘에이,머니투데이,2015.10.15. 오후 6:07,"피엘에이, 최대주주 에이알렌트서비스로 변경","[머니투데이 황보람 기자] 피엘에이는 제3자배정 유상증자 납입 완료에 따라 최대주주가 기존 씨에스 외 1인에서 에이알렌트서비스로 변경됐다고 15일 공시했다. 소유 주식수는 1200만주로 소유비율은 19.98%다.
['생존 재테크' 백과사전 ""재테크를 부탁해"" ][부자들에게 배우는 성공 노하우 '줄리아 투자노트' ][내 삶을 바꾸는 정치뉴스 'the 300'][CEO의 삶을 바꾼 '내 인생 최고의 조언' ][아찔한 girl~ 레이싱모델 핫포토 ]

황보람 기자 bridger@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
피엘에이,아시아경제,2015.10.15. 오후 6:10,"피엘에이, 최대주주 에이알렌트서비스로 변경","[아시아경제 안하늘 기자] 피엘에이는 제3자배정 유상증자 납입 완료에 따라 최대주주가 (주) 씨에스 외 1인에서 에이알렌트서비스(주)로 변경됐다고 15일 공시했다. 소유 주식수는 1200만주로 소유비율은 19.98%다.




안하늘 기자 ahn708@asiae.co.kr

▶ 주요 이슈의 재구성, 촌철살인 이미지 파일 '카드뉴스'
▶ 재미있는 동영상이 모두 모였다 ""펀캐스트""
<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
피엘에이,이데일리,2015.10.16. 오전 9:14,"[특징주]피엘에이, 유증 납입 후 최대주주 변경… ‘上’","[이데일리 이명철 기자] 피엘에이(082390)가 120억원 규모의 유상증자 완료에 따른 최대주주 변경 소식에 상한가를 나타냈다.

16일 오전 9시 12분 현재 피엘에이 주가는 전일 대비 가격제한폭(29.86%)까지 치솟은 1435원을 기록 중이다. 전날에 이어 이틀째 강세로 상승폭은 2배 이상 확대됐다.

회사는 전날 제3자배정 유상증자 납입이 완료돼 에이알렌트서비스로 최대주주가 변경됐다고 공시했다. 새로운 최대주주인 에이알엔트서비스는 자동차·자동차부품 등 매매업과 자동차 중개업 등을 영위하는 회사다. 소유하게 된 주식은 1200만주로 지분율은 19.98%다. 앞서 회사는 지난달 에이알엔트서비스를 제3자배정 대상자로 1200만주를 주당 1000원에 발행하는 유상증자를 결정했다고 밝힌 바 있다.



이명철 (twomc@edaily.co.kr)



＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
피엘에이,조선비즈,2015.10.16. 오전 9:15,"[특징주] 피엘에이, 최대주주 변경 소식에 상한가","피엘에이가 최대주주 변경 소식에 상한가를 기록하고 있다.
16일 오전 9시 8분 현재 피엘에이(082390)는 가격제한폭까지 오른 1435원에 거래되고 있다.
전날 장 마감 후 피엘에이는 최대주주가 씨에스에서 에이알렌트서비스로 변경됐다고 공시했다. 앞서 피엘에이는 에이알렌트서비스를 상대로 제3자배정 유상증자를 실시했다. 에이알렌트서비스의 지분율은 19.98%가 됐다.
[노자운 기자 noja@chosunbiz.com]

[조선비즈 바로가기] [위클리비즈] [페이스북] [카카오스토리]
chosunbiz.com"
