종목명,신문사,시간,제목,본문
플렉스컴,매일경제,2015.09.23. 오후 5:27,[코스닥 공시] 광림 / 플렉스컴 / 케이맥 등,"◇광림〓종속회사인 쌍방울 3700만주 유사증자 결정.

◇플렉스컴〓최대주주 대표이사 하경태가 운전자금 확보 위해 에스디엑스와 200억원 규모 주식 양수도 계약 체결.

◇케이맥〓주식 양수도 계약 이행에 따라 최대주주가 김이경 외 12명에서 에이치비콥으로 변경.

◇유원컴텍〓최병두 대표이사 사임으로 전재석 신규 대표이사 선임.

◇한국자원투자개발〓티와이밸브 인수 추진.



[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
플렉스컴,이데일리,2015.09.23. 오후 6:02,"플렉스컴, 최대주주 변경계약 해지..중도금 미납입","[이데일리 정병묵 기자] 플렉스컴(065270)은 지난 3일 에스디엑스와 체결한 최대주주 변경을 수반하는 지분양도 계약의 효력이 해지됐다고 23일 공시했다.

플렉스컴은 “이 계약은 효력발생일인 9월11일까지 매수인이 계약금 및 1차중도금(70억원)을 납입하지 않았으므로 계약이 해소됐다”고 밝혔다.

지난 3일 하경태 플렉스컴 대표이사는 에스디엑스에 240만주를 200억원에 양도하기로 했다. 이에 따라 에스디엑스는 플렉스컴의 지분 17.60%를 보유, 최대주주로 올라설 예정이었다.

에스디엑스는 주식매매대금 외에 사업 운전자금 총 350억을 2회에 나누어 투자하기로 했는데 이 계약 또한 해지되게 됐다.

회사 측은 “최대주주 하경태 대표이사가 회사 유동성 회복을 위해 보유주식 양수도를 수반하거나 또는 수반하지 않는 다양한 형태의 외부 투자 유치를 노력하고 있다”고 설명했다.

한편 플렉스컴은 지난 7일 300억원 규모의 전환사채를 발행하기로 결정했으나 이 결정 또한 이날 취소했다.

정병묵 (honnezo@edaily.co.kr)



＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
플렉스컴,머니투데이,2015.09.23. 오후 6:08,"플렉스컴, 최대주주 변경…에스디엑스 지분 17.69%","[머니투데이 백지수 기자] 플렉스컴은 최대주주인 하경태 대표이사가 회사 자금을 확보하기 위해 본인의 주식 240만6050주를 에스디엑스에 양도키로 했다고 23일 공시했다. 양도되는 주식은 주당 8312원이며 총 양수도 대금은 200억원이다.
이에 따라 플렉스컴의 최대주주는 지분 17.69%를 보유한 에스디엑스로 변경된다.

['생존 재테크' 백과사전 ""재테크를 부탁해"" ][부자들에게 배우는 성공 노하우 '줄리아 투자노트' ][내 삶을 바꾸는 정치뉴스 'the 300'][CEO의 삶을 바꾼 '내 인생 최고의 조언' ][아찔한 girl~ 레이싱모델 핫포토 ]

백지수 기자 100jsb@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
플렉스컴,머니투데이,2015.09.23. 오후 6:12,"플렉스컴, 에스디엑스에 200억원 규모 주식양수도 계약 해지","[머니투데이 백지수 기자] 플렉스컴은 계약금과 1차 중도금 미납을 이유로 최대주주인 하경태 대표이사와 에스디엑스의 200억원 규모 주식 양수도 계약을 해지한다고 23일 공시했다. 당초 하 대표이사는 회사 운영자금 마련을 위해 본인 주식 240만6050주를 에스디엑스에 주당 8312원으로 양도하기로 결정했었다.
['생존 재테크' 백과사전 ""재테크를 부탁해"" ][부자들에게 배우는 성공 노하우 '줄리아 투자노트' ][내 삶을 바꾸는 정치뉴스 'the 300'][CEO의 삶을 바꾼 '내 인생 최고의 조언' ][아찔한 girl~ 레이싱모델 핫포토 ]

백지수 기자 100jsb@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
플렉스컴,머니투데이,2015.09.24. 오전 9:10,"[특징주]플렉스컴, 피인수 계약 해지에 하락","[머니투데이 정인지 기자] 플렉스컴이 최대주주 변경을 수반하는 주식 양수도 계약을 체결했다가 취소해 급락하고 있다.
24일 오전 9시6분 현재 플렉스컴은 전날보다 500원(15.6%) 떨어진 2705원에 거래되고 있다.

플렉스컴은 전날 장후 최대주주인 하경태 대표이사가 지난 3일 에스디엑스와 주식 양수도 계약을 체결했으나 상대방의 계약금 및 1차중도금 미납으로 계약이 해지됐다고 공시했다.

플렉스컴은 또 공모로 추진하려던 300억원 규모의 전환사채(CB) 발행도 취소한다고 밝혔다. 한국거래소는 최대주주 변경을 수반하는 주식양수도 계약 체결및 해제 지연공시, 전환사채권 발행결정 취소 등으로 플렉스컴에 대해 불성실공시법인지정을 예고했다. 결정 시한은 오는 10월21일까지다.
['생존 재테크' 백과사전 ""재테크를 부탁해"" ][부자들에게 배우는 성공 노하우 '줄리아 투자노트' ][내 삶을 바꾸는 정치뉴스 'the 300'][CEO의 삶을 바꾼 '내 인생 최고의 조언' ][아찔한 girl~ 레이싱모델 핫포토 ]

정인지 기자 injee@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
플렉스컴,이데일리,2015.09.24. 오전 9:18,"[특징주]플렉스컴, 투자 무산 소식에 급락 전환","[이데일리 정병묵 기자] 플렉스컴(065270)이 투자 무산 소식에 급락 중이다.

플렉스컴은 24일 오전 9시15분 현재 전날 대비 14.82% 내린 2730원에 거래되고 있다.

플렉스컴은 지난 3일 에스디엑스와 체결한 최대주주 변경을 수반하는 지분양도 계약의 효력이 해지됐다고 23일 공시했다. 효력발생일인 9월11일까지 매수인이 계약금 및 1차중도금(70억원)을 납입하지 않았기 때문이다.

지난 3일 하경태 플렉스컴 대표이사는 에스디엑스에 240만주를 200억원에 양도하기로 했다. 이에 따라 에스디엑스는 플렉스컴의 지분 17.60%를 보유, 최대주주로 올라설 예정이었다.

에스디엑스는 주식매매대금 외에 사업 운전자금 총 350억을 2회에 나누어 투자하기로 했는데 이 계약 또한 해지되게 됐다. 플렉스컴은 또 지난 7일 300억원 규모의 전환사채를 발행하기로 결정했으나 이 결정 또한 이날 취소했다.





정병묵 (honnezo@edaily.co.kr)



＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
플렉스컴,아시아경제,2015.09.24. 오전 9:51,"[특징주]플렉스컴, '투자 무산·CB발행 취소' 소식에 ↓","[아시아경제 최동현 기자] 플렉스컴이 투자 무산과 전환사채(CB) 발행 취소 소식에 급락세다.

24일 오전 9시48분 현재 플렉스컴은 전장대비 470원(14.66%) 내린 2735원에 거래중이다.

플렉스컴은 지난 3일 에스디엑스와 체결한 최대주주 변경을 수반하는 지분양도 계약의 효력이 해지됐다고 전날 공시했다. 효력발생일인 지난 11일까지 매수인이 계약금 및 1차중도금(70억원)을 납입하지 않았기 때문이다.

또한 플렉스컴은 공모로 추진하려던 300억원 규모의 CB 발행도 취소한다고 밝혔다.

최동현 기자 nell@asiae.co.kr

▶ 네티즌 수사대의 진화, 궁금증 제로 ""짜장뉴스""

▶ 재미있는 동영상이 모두 모였다 ""펀캐스트""

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
플렉스컴,이데일리,2015.09.24. 오후 4:31,"[종목돋보기]플렉스컴, 무산된 자금조달…힘겨운 턴어라운드","[이데일리 정병묵 기자] 스마트폰에 들어가는 인쇄회로기판(PCB) 제조업체인 플렉스컴(065270) 주가가 급락하고 있다. 최근 진행해오던 대규모 자금조달 계획이 틀어진 탓이다.

24일 마켓포인트에 따르면 플렉스컴 주가는 전날보다 15% 급락한 2720원에 장을 마감했다. 플렉스컴은 최근 지분 양도, 전환사채(CB) 발행 등을 통해 총 650억원에 달하는 자금을 조달할 계획이었으나 무산됐다는 소식이 알려졌다.

플렉스컴은 하루전인 지난 23일 장 마감 후 지난 3일 에스디엑스와 체결한 최대주주 변경을 수반하는 지분양도 계약의 효력이 해지됐다고 공시했다. 계약 효력 발생일인 9월11일까지 매수인이 계약금 및 1차 중도금(70억원)을 납입하지 않은 탓에 계약이 해소된 것이다.

3일 최대주주인 하경태 플렉스컴 대표이사는 에스디엑스에 240만주를 200억원에 양도하기로 했다. 이에 따라 에스디엑스는 플렉스컴 지분 17.60%를 보유, 최대주주로 올라설 예정이었다. 에스디엑스는 주식 매매대금 외에 사업 운전자금 총 350억원을 2차례에 나눠 투자하기로 했는데 이 계약 또한 해지되고 말았다. 300억원 규모의 전환사채 발행 결정도 이날 취소했다.

플렉스컴은 삼성전자에 PCB를 납품하는 주요 협력사로 2013년만 해도 연매출 5238억원, 영업이익 242억원을 기록하던 우량 코스닥 기업이었다. 그러나 PCB 업황 악화와 삼성 스마트폰 판매 둔화로 인해 지난해 적자 전환했다. 지난달 회사측은 올해 매출액이 2800억원, 영업손실 306억원을 기록할 것이라며 연초 제시했던 가이던스를 하향 조정한 바 있다.

플렉스컴은 과거 영화를 다시 찾기 위해 다방면에서 투자를 고심해 왔다. 지난 6월 110억원 규모의 전환사채를 발행했으나 추가 자금이 더 필요해 최대주주 변경을 수반하는 지분양도 계약을 한 것이다. 올해 1분기 말 기준 플렉스컴 부채비율은 379%, 순차입금은 1570억원에 달한다.

회사측은 “에스디엑스가 예정된 날짜에 계약금과 중도금을 내지 않아 신뢰할 수 없다고 봤고 다른 투자자를 또 물색할 것”이라며 “대규모 투자액을 받을 수 없게 됐지만 차라리 더 믿을 수 있는 투자자를 새로 찾게 된 측면에서 잘 됐다고 본다”고 말했다. 이 관계자는 또 “전환사채 공모를 하지 않고도 여러 투자 제안이 있어서 원하는 금액의 자금 조달이 가능할 것”이라며 “올해 불황만 잘 넘기면 내년에는 실적 턴어라운드가 가능할 것”이라고 자신했다.

정병묵 (honnezo@edaily.co.kr)



＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
플렉스컴,이데일리,2015.09.24. 오후 6:17,[24일 주요 크레딧 공시]플렉스컴 'B+ 부정적검토' 하향,"[이데일리 김도년 기자] 한국기업평가는 24일 플렉스컴(065270)의 회사채 신용등급을 ‘BB 안정적’에서 ‘B+ 부정적 검토’로 변경했다.





김도년 (kdn82@edaily.co.kr)



＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
플렉스컴,아시아경제,2015.09.25. 오전 8:30,"플렉스컴, 투자자 찾기 ‘재도전’, 매출처 다변화 물색","[아시아경제 팍스넷 김진욱 기자] 전자부품제조업체 플렉스컴(대표 하경태)이 자금조달에 실패하며 또 다른 투자처 물색에 나섰다.

앞서 플렉스컴은 23일 공시를 통해 “에스디엑스가 1차 중도금 70억원을 납입하지 않아, 최대주주 변경을 수반하는 지분 양도 계약의 효력이 해지됐다”고 밝혔다.

플렉스컴은 에스디엑스와 주식 매매대금과 사업 운전자금 총 350억원을 2차례에 나눠 투자 받는 조건으로 하경태 대표이사의 보유 주식 240만여주(17.60%)를 200억원에 양도할 계획이었으나 무산됐다. 같은 날 300억원 규모의 전환사채(CB) 발행 결정도 이날 취소됐다.

다시 플렉스컴은 투자자 찾기에 나섰다. 회사 관계자는 “에스디엑스는 투자를 제안한 여러 기업 중 한 곳으로, 현재도 다른 투자자들과 협의를 지속하고 있다”면서 “다만 투자자금 유치 방식은 주식 양수도 계약이 다른 다른 형태가 될 수 있다”고 설명했다.

플렉스컴이 이처럼 투자자를 찾는 이유는 업황 부진에 따른 실적 악화 때문이다. 스마트폰에 탑재되는 연성회로기판(FPCB)과 홈(Home) 키 등을 만드는 이 회사는 전방산업의 부진으로 단가 하락과 매출 부진을 겪어 현금흐름 개선을 위한 경영자금이 필요한 상황이다. 특히 매출 의존도가 높은 삼성전자의 스마트폰 부진으로 2013년 5200억원을 넘겼던 매출액은 지난해 2700억으로 반토막이 났고, 영업이익 역시 지난해 적자 전환돼 아직까지 적자 규모를 줄이지 못하고 있다.

이에 플렉스컴은 투자자 물색과 함께 신규 매출처 확보에도 주력하고 있다. 주요 매출처의 의존도를 낮추고 신규 매출처를 늘려 전방산업 부진에 따른 리스크를 줄여나가겠다는 계획이다. 회사 관계자는 “최근 멜파스와 네페스, 한국성전 등 신규 고객사를 확보했다”면서 “매출처를 확대하기 위해 계속 노력하고 있다”고 말했다.

김진욱 기자 nook@paxnet.kr

▶ 네티즌 수사대의 진화, 궁금증 제로 ""짜장뉴스""

▶ 재미있는 동영상이 모두 모였다 ""펀캐스트""

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
