종목명,신문사,시간,제목,본문
레드로버,서울경제,2019.01.23. 오전 10:17,"<코>레드로버, 전일 대비 7.95% 상승.. 일일회전율은 0.81% 기록","[서울경제] 레드로버(060300)는 23일 오전 10시 15분 현재 7.95% 오른 1,900원에 거래되고 있으며, 36(매도):64(매수)의 매수우위를 기록하고 있다. 거래대금은 7억1,130만, 거래량은 38만5,598주로 거래량회전율은 0.81%로 나타났다.



지난 1개월간 레드로버는 상승 10회, 하락 19회를 기록했고, 주가수익률은 -18.45% 표준편차는 3.82%를 기록했다. 이 기간 '오락·문화업' 업종 평균 주가수익률은 7.20%로 나타났으며, 변동성은 1.55%를 기록했다.

이 시각 현재 '오락·문화업'은 0.37% 상승 중이며, 56(매도):44(매수)의 매도우위를 기록하고 있다.

[이 기사는 증시분석 전문기자 서경뉴스봇(newsbot@sedaily.com)이 실시간으로 작성했습니다.]

/서경뉴스봇 newsbot@sedaily.com

[서울경제 바로가기]
Telegram으로 서울경제 뉴스를 실시간으로 받아보세요 [바로가기▶]
프리미엄 미디어 Signal이 투자의 바른 길을 안내합니다 [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
레드로버,한국경제,2019.01.23. 오전 10:31,"[한경로보뉴스] '레드로버' 10% 이상 상승, 주가 상승 흐름, 단기 이평선 정배열, 중기 이평선 역배열","23일 오전 10시 26분 현재 레드로버는 전 거래일보다 10.8% 오른 1,950원에 거래되고 있다. 주가의 흐름을 살펴보면 1,755원으로 개장해서 장중 한때 1,990원(+13.07%)까지 큰 폭으로 상승했다가, 소폭 조정을 받아 현재 1,950원(+10.8%)에서 머물고 있다.

◆ 차트 분석
- 주가 상승 흐름, 단기 이평선 정배열, 중기 이평선 역배열
차트상 주가의 흐름은 중기 추세상으로는 역배열 구간에 있지만 단기적으로는 정배열 구간에서 상승흐름을 이어왔다.

이 종목의 차트에서 최근에 삼선전환도(양전환), 캔들패턴(상승반전형), 주가 5MA 상향돌파 등을 확인할 수 있다

[그래프]레드로버 차트 분석


◆ Valuation
- 전일 종가 기준 PER 마이너스, PBR 0.6배, 저PBR
당기순이익 적자로 인해 이 종목의 PER는 마이너스이고, PBR은 0.6배이다. PER는 마이너스라서 오락·문화업종의 평균 PER -49.1배 대비 +44.1배 높은 수준이고, PBR은 오락·문화업종의 평균 PBR 2.3배 대비 -1.7배 낮은 수준으로 업종 내에서 하위 1%에 위치한다.
이 종목은 코스닥 전체에서 PBR이 하위 10%에 랭킹되고 있다. 현재 이 종목은 PBR이 1 보다 작아서 시가총액이 자산가치에 못 미치고 있으니 회사의 실적을 면밀히 살펴볼 필요가 있다.

[표]레드로버 Valuation


한경로보뉴스

이 기사는 한국경제신문과 금융 AI 전문기업 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다.



[한경닷컴 바로가기] [모바일한경 구독신청]
네이버에서 한국경제 채널 구독하기 <자세히 보기>
ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
레드로버,서울경제,2019.01.30. 오후 12:10,"<코>레드로버, 전일 대비 7.03% 상승.. 일일회전율은 1.53% 기록","[서울경제] 레드로버(060300)는 30일 오후 12시 9분 현재 7.03% 오른 1,980원에 거래되고 있으며, 35(매도):65(매수)의 매수우위를 기록하고 있다. 거래대금은 14억680만, 거래량은 72만9,911주로 거래량회전율은 1.53%로 나타났다.



지난 1개월간 레드로버는 상승 10회, 하락 20회를 기록했고, 주가수익률은 -15.02% 표준편차는 4.26%를 기록했다. 이 기간 '오락·문화업' 업종 평균 주가수익률은 3.88%로 나타났으며, 변동성은 1.54%를 기록했다.

이 시각 현재 '오락·문화업'은 2.03% 상승 중이며, 53(매도):47(매수)의 매도우위를 기록하고 있다.

[이 기사는 증시분석 전문기자 서경뉴스봇(newsbot@sedaily.com)이 실시간으로 작성했습니다.]

/서경뉴스봇 newsbot@sedaily.com

[서울경제 바로가기]
Telegram으로 서울경제 뉴스를 실시간으로 받아보세요 [바로가기▶]
프리미엄 미디어 Signal이 투자의 바른 길을 안내합니다 [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
레드로버,한국경제,2019.01.31. 오전 9:11,"[한경로보뉴스] '레드로버' 10% 이상 상승, 전일 외국인 대량 순매수","레드로버가 장 초반 부터 전일 대비 +10%이상 상승하고 있다. 31일 오전 09시 03분 레드로버는 전 거래일보다 13.42% 오른 2,240원에 거래되고 있다. 주가의 흐름을 살펴보면 2,040원으로 개장해서 장중 한때 2,030원(+2.78%)까지 살짝 밀렸지만, 다시 큰 폭으로 올라서 현재 2,240원(+13.42%)까지 상승하고 있다.

◆ 주체별 매매동향
- 전일 외국인 대량 순매수
지난 한달을 기준으로 보면 외국인이 48.5만주를 순매수한 반면, 기관은 1주를 순매도했고, 개인들도 48.5만주를 순매도한 것으로 집계됐다. 같은 기간 이 종목의 거래비중은 외국인과 개인이 각각 14.6%, 85.3%로 비중이 높다.
더욱이 전일 외국인이 대량 순매수를 하고 있어 투자자들의 관심이 집중되고 있다.

[그래프]레드로버 외국인/기관 매매동향


한경로보뉴스

이 기사는 한국경제신문과 금융 AI 전문기업 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다.



[한경닷컴 바로가기] [모바일한경 구독신청]
네이버에서 한국경제 채널 구독하기 <자세히 보기>
ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
레드로버,파이낸셜뉴스,2019.03.11. 오전 11:31,"[fnRASSI]레드로버, 6.86% 내리며 거래량 증가","레드로버는 투자자들의 관심으로 현재 거래량이 최근 5거래일 거래량의 최고치를 넘어섰다. 그리고 레드로버는 3일 연속 하락흐름을 보이며, 11시 21분 현재 6.86% 내린 1,290원에 거래중이다.


지표
항목
값
종합점수
성장성
매출액증가율
-0.74
0.98
자기자본증가율
-0.09
안정성
부채비율
9.17
8.47
유동비율
1385.91
이익안정성
6.94
수익성
ROA
-10.95
0.74
ROE
-11.95
영업이익율
-79.27


레드로버의 퀀트 재무 점수는 10.19점으로 지난 분기에 비해 성장성 점수가 하락했다.



외국인은 순매수, 개인은 순매도(한달누적)
전일 외국인이 36,361주를 순매수했다. 4주간을 기준으로 보면 외국인이 방향성있는 매매를 하면서 633,977주를 순매수했지만, 개인은 매도 우위를 지속하면서 633,977주를 순매도했다. 기관의 순매수량에는 변함이 없다.

'fnRASSI'는 금융 AI 전문기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
레드로버,한국경제,2019.03.12. 오전 9:12,"'레드로버' 10% 이상 상승, 주가 5일 이평선 상회, 단기·중기 이평선 역배열","레드로버가 장 초반 부터 전일 대비 +10%이상 상승하고 있다. 12일 오전 09시 08분 레드로버는 전 거래일보다 10.2% 오른 1,405원에 거래되고 있다. 주가의 흐름은 1,280원으로 개장해서 장중에 밀리지 않고 계속 상승해서 1,405원(+10.2%)까지 큰 폭으로 상승하고 있다.

◆ 차트 분석
- 주가 5일 이평선 상회, 단기·중기 이평선 역배열
추세선으로 보면 단기와 중기 모두 역배열 구간에서 하락 추세를 이어오다가 반등하는 모습이다.

최근 이 종목의 차트에서 최근 5일 매물대 돌파 등의 특이사항이 발생했다.

[그래프]레드로버 차트 분석


◆ 기업개요
레드로버는 3D콘텐츠 개발 및 서비스 전문기업으로 알려져 있다.

한경로보뉴스

이 기사는 한국경제신문과 금융 AI 전문기업 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다.



[한경닷컴 바로가기] [모바일한경 구독신청]
네이버에서 한국경제 채널 구독하기 <자세히 보기>
ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
레드로버,한국경제,2019.03.21. 오후 2:50,"'레드로버' 10% 이상 상승, 주가 5일 이평선 상회, 단기·중기 이평선 역배열","21일 오후 14시 46분 현재 레드로버는 전 거래일보다 14.93% 오른 1,270원에 거래되고 있다. 주가의 흐름을 살펴보면 1,125원으로 개장해서 장중 한때 1,060원(-4.07%)까지 살짝 밀렸지만, 다시 큰 폭으로 올라서 현재 1,270원(+14.93%)까지 상승하고 있다.

◆ 차트 분석
- 주가 5일 이평선 상회, 단기·중기 이평선 역배열
추세선으로 보면 단기와 중기 모두 역배열 구간에서 하락 추세를 이어오다가 반등하는 모습이다.

이 종목의 차트에서 최근에 최근 60일 매물대 돌파, 최근 5일 매물대 돌파 등을 확인할 수 있다

[그래프]레드로버 차트 분석


◆ Valuation
- 전일 종가 기준 PER 마이너스, PBR 0.4배, 저PBR
당기순이익 적자로 인해 이 종목의 PER는 마이너스이고, PBR은 0.4배이다. PER는 마이너스라서 오락·문화업종의 평균 PER -47.7배 대비 +44.6배 높은 수준이고, PBR은 오락·문화업종의 평균 PBR 2.3배 대비 -1.9배 낮은 수준으로 업종 내에서 하위 1%에 위치한다.
이 종목은 코스닥 전체에서 PBR이 하위 3%에 랭킹되고 있다. 현재 이 종목은 PBR이 1 보다 작아서 시가총액이 자산가치에 못 미치고 있으니 회사의 실적을 면밀히 살펴볼 필요가 있다.

[표]레드로버 Valuation


한경로보뉴스

이 기사는 한국경제신문과 금융 AI 전문기업 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다.



[한경닷컴 바로가기] [모바일한경 구독신청]
네이버에서 한국경제 채널 구독하기 <자세히 보기>
ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
레드로버,매일경제,2019.04.29. 오후 5:49,"레드로버, 200억원 규모 전환사채 발행 불발","레드로버는 지난해 6월 최초 결정한 200억원 규모의 전환사채(CB) 발행을 실시한 결과 전액 미납됐다고 29일 공시했다. 레드로버 측은 이번 CB는 전량 미발행 처리한다고 밝혔다.

[디지털뉴스국 김경택 기자]

▶네이버 메인에서 '매일경제'를 받아보세요
▶뉴스레터 '매콤달콤' 구독 ▶무궁무진한 프리미엄 읽을거리
[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
레드로버,파이낸셜뉴스,2019.04.30. 오후 3:56,"[fnRASSI]장마감, 코스닥 하락 종목(레드로버 -9.7% ↓)","30일 코스닥 시장에서 하락한 종목으로 레드로버(060300) -9.7%, 대동기어(008830) -8.9%, 대신밸런스제5호(303030) -8.9% 등이 있다.



'fnRASSI'는 금융 AI 전문기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
레드로버,국민일보,2019.04.30. 오후 5:34,[코스닥]레드로버 경영권 분쟁 소송,"레드로버는 김선욱으로부터 이사회결의효력정지및직무집행정지가처분에 관한 소송이 제기됐다고 30일 공시했다.

한편, 레드로버는 장 마감 이후 해당 기업공시를 발표했으며 오늘 종가가 1,210원, 거래량은 1,807,250주로, 직전 거래일 대비 130원(-9.7%) 하락했다.

공시 전문으로 이동

스톡봇 기자

※ 이 기사는 국민일보와 엠로보가 개발한 증권뉴스 전용 인공지능 로봇 ‘스톡봇’이 금융감독원 전자공시시스템(DART)과 한국거래소(KRX) 데이터를 토대로 작성한 것입니다. 지속적인 업그레이드를 통해 더욱 풍부하고 정확한 내용을 담아 가겠습니다.

[네이버 메인에서 채널 구독하기]
[취향저격 뉴스는 여기] [의뢰하세요 취재대행소 왱]

GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 재배포금지"
