종목명,신문사,시간,제목,본문
파이오링크,디지털데일리,2015.10.15. 오후 3:06,"파이오링크, 웹 방화벽 SSL 백서 발간","[디지털데일리 이유지기자] 파이오링크는 웹 방화벽 선택시 SSL(Secure Socket Layer) 고려사항을 담은 백서를 발간했다고 15일 밝혔다.

최근 암호화 트래픽이 증가하면서 SSL에 대한 관심이 높아지고 있다. 파이오링크의 경우 웹 방화벽의 SSL 모델 판매 비율이 2010년 43%에서 작년 78%로 상승했다. 웹 서비스를 이용할 때 HTTPS 트래픽 증가와 더불어 SSL 성능에 대한 사용자 요구가 늘고 있다는 게 회사측 설명이다.

특히 세계적으로 검색, 금융, 온라인 상거래 등 다양한 웹 서비스가 더 안전한 SSL 통신을 위해 암호화 키를 RSA 1024비트(bit)에서 2048비트으로 높이고 있으며, 국내에서도 공인인증서 사용 의무화 규정 폐지로 웹을 통한 데이터 보안 방식인 SSL이 중요하게 부각되고 있다.

파이오링크는 이번에 발간한 웹 방화벽 백서 SSL편에서 ▲SSL 성능 기준으로 CPS(Connection Per Second)와 TPS(Transation Per Second) 이해 ▲고도화 된 RSA 2048비트 키 사이즈 처리시 안정성 ▲피싱과 파밍 사기로부터 보호하기 위한 EV-SSL 인증 ▲미러링 모드 지원 ▲고객 사례 등을 담고 있다고 밝혔다.

윤동규 파이오링크 웹 방화벽 PM은 “암호화 된 웹 트래픽과 이를 처리하는 SSL 가속 기능을 이해하여 웹 방화벽 선택에 도움이 되길 바란다”며, “이달 말까지 홈페이지(www.piolink.com)에서 백서 다운로드 이벤트를 진행하고, 앞으로도 차별화된 보안 서비스와 신뢰받는 고성능 제품으로 웹 보안 선두 이미지를 지켜가겠다”고 밝혔다.

<이유지 기자>yjlee@ddaily.co.kr

IT언론의 새로운 대안[디지털데일리]

IT정보의 즐거운 업그레이드[딜라이트닷넷]

이유지(yjlee@ddaily.co.kr)

<저작권자 © 디지털데일리 무단전재-재배포금지>"
파이오링크,이데일리,2015.11.24. 오전 9:31,"파이오링크, 국내 최초 클라우드 네트워크 관리 스위치 출시","- 복잡한 네트워크를 쉽고 간편하게 관리
- 중앙 관리자가 클라우드에서 다수의 사이트를 중앙집중 관리
- 최소한의 인력과 비용으로 설치 및 운영 시간 절감

[이데일리 김관용 기자] 파이오링크(170790)가 국내 최초로 클라우드 환경 내에서 중앙 집중으로 액세스 스위치를 관리 및 제어하는 스위치 장비를 출시했다.

이번 ‘티프론트 클라우드 스위치’(이하 클라우드 스위치)는 스위치 관리를 서비스 형태로 제공해 고객의 운영 부담을 줄인 것이 특징이다.

파이오링크는 네트워크 인프라 관리 효율을 극대화하기 위해 클라우드 컴퓨팅과 소프트웨어 정의 네트워킹 기술 등을 응용한 방법을 오랫동안 연구해왔다. 그 첫 번째 모델로 네트워크의 필수 요소인 액세스 스위치에 관련 기술을 적용했다.

이번 제품은 데이터센터를 중심으로 한 기존의 서비스(IaaS, PaaS, SaaS) 형태가 아닌, 내부 네트워크의 인프라 관리를 서비스로 제공하는 신개념 클라우드 사업 모델이다.

일반적으로 스위치 구축과 관리는 엔지니어 출장에 따른 시간과 비용이 많이 소요된다. 그러나 클라우드 스위치는 단 한 명의 중앙 관리자만 있다면 클라우드에 있는 컨트롤러를 통해 설치, 운영, 유지보수 등 관리 전반을 중앙집중 서비스 형태로 빠르고 간편하게 제공 받을 수 있다.

중앙 관리자는 필요한 설정 정보와 보안 정책 등을 클라우드에 미리 저장해 둔다. 그 후 사이트에 스위치가 인터넷에 연결되면 자동으로 설정 정보가 배포되고 즉시 작동한다. 더 이상 스위치마다 복잡한 콘솔 명령을 입력하는 번거로움이 없고 스위치 교체와 확장 역시 간단하다. 또한 언제 어디서나 장애나 성능저하, 보안 위협 등을 모니터링하고 문제를 원격으로 대응할 수 있기 때문에 운영 부담이 줄어든다.

따라서 고객은 사내에 별도의 관리 서버를 설치할 필요가 없고 네트워크에 대한 지식이 없더라도 관리 어려움이 없다. 클라우드 스위치는 제한된 IT 인력을 보유한 소규모 기업뿐만 아니라 전국으로 분산된 대규모 네트워크를 운영하는 기업, 수많은 고객 사이트를 관리해야 하는 IT 관리 기업 등 어떤 규모의 사이트에도 적합하다.

파이오링크는 신제품 출시와 함께 사설(Private)과 공용(Public) 클라우드 서비스 모두를 지원할 방침이라고 밝혔다.

조영철 파이오링크 대표는 “이제 네트워크를 직접 소유하고 관리할 것이 아니라 임대관리 서비스를 받아 사용 가치와 효율을 높이는게 중요해졌다“면서 ”운용과 유지보수까지 해결하는 합리적인 소비로 기업은 생산성과 사업 가치 증대에 더욱 집중할 수 있을 것“이라고 말했다.

티프론트 클라우드 스위치 장비 사진(제공=파이오링크)


김관용 (kky1441@edaily.co.kr)


▶ 퀴즈로 배우는 경제 상식! 이데일리 '경제 퀴즈'
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
파이오링크,동아일보,2015.11.24. 오전 10:57,"파이오링크, 네트워크 관리 효율 높인 클라우드 스위치 출시","[IT동아 이상우 기자] 파이오링크(www.piolink.com)가 클라우드를 통해 중앙집중으로 액세스 스위치를 관리/제어하는 '티프론트 클라우드 스위치(이하 클라우드 스위치)'를 출시했다고 전했다. 이 제품은 스위치 관리를 서비스 형태로 제공해 기업의 운영 부담을 크게 줄인 것이 장점이다.

파이오링크는 네트워크 인프라 관리 효율을 극대화하기 위해 클라우드 컴퓨팅, SDN 등을 응용한 방법을 오랫동안 연구해왔으며, 그 첫 번째 모델로 네트워크의 필수가 되는 액세스 스위치에 적용했다고 밝혔다.
일반적으로 스위치 구축과 관리는 엔지니어 출장에 따른 시간과 비용이 많이 소요됐다. 이와 달리 클라우드 스위치는 단 한 명의 중앙 관리자만 있다면, 클라우드에 있는 컨트롤러를 통해 설치, 운영, 유지보수 등 관리 전반을 중앙집중 서비스 형태로 빠르고 간편하게 지원할 수 있다.
중앙 관리자는 필요한 설정 정보와 보안 정책 등을 클라우드에 미리 저장해 둔다. 이후 스위치가 인터넷에 연결되면 자동으로 설정 정보를 배포하고 즉시 작동한다. 스위치마다 복잡한 콘솔 명령을 입력하는 번거로움이 없고, 스위치 교체와 확장 역시 간편하다. 또한, 언제 어디서나 장애, 성능저하, 보안 위협 등을 감시하고 문제를 원격으로 대응할 수 있기 때문에 운영 부담이 줄어든다. 제한된 IT 인력을 보유한 소규모 기업뿐만 아니라, 전국으로 분산된 대규모 네트워크를 운영하는 기업, 수많은 소비자 사이트를 관리해야 하는 IT 관리 기업 등 어떤 규모에도 적합하다.
파이오링크는 신제품 출시와 함께 사설(Private)과 공용(Public) 클라우드 서비스 모두를 지원할 방침이라고 밝혔다.
글 / IT동아 이상우(lswoo@itdonga.com)
사용자 중심의 IT 저널 - IT동아(it.donga.com)
IT동아/게임동아의 다양한 소식을 페이스북으로도 만나보세요 (https://www.facebook.com/itdonga)
동아닷컴과 IT동아가 함께 운영하는 IT 교육 및 콘텐츠 개발 전문 교육기관 스킬트리랩. 당신의 무한한 가치를 응원합니다. (http://www.skilltreelab.com)"
파이오링크,전자신문,2015.11.24. 오후 1:36,[제2회 대한민국SW품질대상]우수상-파이오링크 `웹프론트-K`,"파이오링크 고성능 웹 방화벽 ‘웹프론트-K`


파이오링크(대표 조영철)가 선보인 고성능 웹 방화벽 ‘웹프론트-K(WEBFRONT-K)’는 웹 트래픽에 특화된 보안 솔루션이다. 고객 요구에 따라 다양한 인터페이스와 성능을 갖췄으며 특허 받은 고속 애플리케이션 프락시 처리 기술로 우수한 품질을 보장한다.

보통 애플리케이션을 처리할 때 병목 포인트로 인한 속도 한계가 문제가 된다. 파이오링크는 복잡한 네트워크 스택 구성을 단순화해 사용자 레벨과 커널 레벨 간 병목 포인트를 제거했다. 애플리케이션 네트워킹 최적화를 위해 회사가 보유한 오랜 기술과 제품 개발 노하우를 적용해 개발했다. 애플리케이션 네트워크와 보안을 동시에 다루는 기업은 국내에 파이오링크가 유일하다는 설명이다.

사내에 연구개발(R&D), 품질관리(QA), 기술지원(TAC)로 각각 품질 테스트 환경을 구성했다. 하드웨어 테스트 장비와 소프트웨어 테스트를 위한 다양한 계측기를 활용해 검증 작업을 진행한다. 품질관리 효율성 향상을 위해 자동화 테스트 프로세스를 개발했다. QA지표(MFR, Monthly Failure Report)를 만들어 제품 품질향상에 지속적 노력을 기울인다.

파이오링크는 클라우드 데이터센터 최적화 전문기업이다. 업계 최고 수준 애플리케이션 가용성과 보안을 보장하는 네트워크·보안 제품, 보안관제, IDC 운영 서비스를 제공한다.

박정은기자 jepark@etnews.com

[Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
파이오링크,전자신문,2015.11.24. 오후 2:33,"파이오링크, 국내 최초 클라우드 관리 스위치 출시","파이오링크는 클라우드에서 중앙집중 방식으로 스위치를 관리·제어하는 ‘티프론트 클라우드 스위치(이하 클라우드 스위치)’를 24일 출시했다. 스위치 관리를 서비스 형태로 제공해 고객 운영 부담을 줄인 것이 특징이다.

파이오링크는 네트워크 인프라 관리 효율을 극대화하기 위해 클라우드 컴퓨팅, 소프트웨어 정의 네트워킹(SDN)을 응용한 방법을 오랫동안 연구해 왔다. 첫 결과물이 클라우드 스위치다. 클라우드 스위치는 단 한 명의 중앙 관리자만 있으면 클라우드에 있는 컨트롤러를 통해 설치·운영·유지보수 등 관리 전반을 중앙집중 서비스 형태로 빠르고 간편하게 제공받을 수 있다.
파이오링크가 출시한 ‘티프론트 클라우드 스위치’


사내에 별도 관리 서버를 설치할 필요가 없고 네트워크 지식이 없더라도 관리 어려움이 없다. IT 인력이 적은 소규모 기업, 전국으로 분산된 대규모 네트워크를 운영하는 기업, 수많은 고객 사이트를 관리해야 하는 IT 관리 기업 등 어떤 규모 사이트에도 적합하다.

조영철 파이오링크 대표는 “네트워크 구매와 관리 패러다임을 바꿀 때”라며 “운용과 유지보수까지 해결하는 합리적인 소비로 기업은 생산성과 사업 가치 증대에 더욱 집중할 수 있을 것”이라고 말했다.

안호천기자 hcan@etnews.com
[Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
파이오링크,디지털데일리,2015.11.24. 오후 3:00,"파이오링크, 클라우드 관리 스위치 출시","- 관리자가 클라우드상 다수의 사이트를 중앙집중 관리

[디지털데일리 이유지기자] 파이오링크(www.piolink.com)는 클라우드에서 중앙집중으로 액세스 스위치를 관리, 제어하는 ‘티프론트 클라우드 스위치’를 출시했다고 24일 밝혔다.

이 제품은 스위치 관리를 서비스 형태로 제공해 고객의 운영 부담을 크게 줄이는 것이 특징이다.

파이오링크는 네트워크 인프라 관리 효율을 극대화하기 위해 클라우드 컴퓨팅, 소프트웨어정의네트워킹(SDN) 기술 등을 응용한 방법을 오랫동안 연구해 왔다. 그 첫 번째 모델로 네트워크의 필수가 되는 액세스 스위치에 적용했다.

이는 데이터센터를 중심으로 한 기존의 서비스(IaaS, PaaS, SaaS) 형태가 아니라 내부 네트워크의 인프라 관리를 서비스로 제공하는 신개념 클라우드 사업 모델이라고 회사측은 설명했다.

일반적으로 스위치 구축과 관리는 엔지니어 출장에 따른 시간과 비용이 많이 소요된다. 반면에 클라우드 스위치는 단 한 명의 중앙 관리자만 있으면 클라우드에 있는 컨트롤러를 통해 설치, 운영, 유지보수 등 관리 전반을 중앙집중 서비스 형태로 빠르고 간편하게 제공받을 수 있다.

중앙 관리자는 필요한 설정 정보와 보안 정책 등을 클라우드에 미리 저장해둔다. 사이트에 스위치가 인터넷에 연결되면 자동으로 설정 정보가 배포되고 즉시 작동한다. 스위치마다 복잡한 콘솔 명령을 입력하는 번거로움이 없고 스위치 교체와 확장 역시 간단하다. 또 언제 어디서나 장애나 성능저하, 보안 위협 등을 모니터링하고 문제를 원격으로 대응할 수 있기 때문에 운영 부담이 줄어든다.

따라서 고객은 사내에 별도의 관리 서버를 설치할 필요가 없고, 네트워크에 대한 지식이 없더라도 관리 어려움이 없다. 클라우드 스위치는 제한된 IT 인력을 보유한 소규모 기업뿐만 아니라, 전국으로 분산된 대규모 네트워크를 운영하는 기업, 수많은 고객 사이트를 관리해야 하는 IT 관리 기업 등 어떤 규모의 사이트에도 적합하다.

파이오링크는 신제품 출시와 함께 사설(Private)과 공용(Public) 클라우드 서비스 모두를 지원할 방침이라고 밝혔다.

조영철 파이오링크 대표는 “이제 네트워크 구매·관리 패러다임을 바꿀 때”라며, “직접 소유하고 관리할 것이 아니라 임대관리 서비스를 받아 사용 가치와 효율을 높여야 한다. 운용, 유지보수까지 해결하는 합리적인 소비로 기업은 생산성과 사업 가치 증대에 더욱 집중할 수 있을 것”이라고 강조했다.

이어 조 대표는 “앞으로도 데이터센터 최적화 및 효율화를 위한 연구 및 사업화와 함께 클라우드 컴퓨팅 기술을 활용한 사용자 경험, IT 인프라 전반의 개선을 위한 노력도 지속하겠다”고 덧붙였다.

<이유지 기자>yjlee@ddaily.co.kr

IT언론의 새로운 대안[디지털데일리]

IT정보의 즐거운 업그레이드[딜라이트닷넷]

이유지(yjlee@ddaily.co.kr)

<저작권자 © 디지털데일리 무단전재-재배포금지>"
파이오링크,ZDNet Korea,2015.11.27. 오후 6:19,"파이오링크 ""액세스스위치에 클라우드-SDN 관리모델 적용""","(지디넷코리아=임민철 기자)파이오링크는 중앙집중화 방식으로 관리, 제어할 수 있는 액세스스위치 '티프론트클라우드스위치'를 출시했다고 지난 24일 밝혔다.

파이오링크는 네트워크 인프라 관리 효율을 높이기 위해 클라우드컴퓨팅, 소프트웨어정의네트워킹(SDN) 기술 응용한 방법을 연구해 그 첫 모델을 액세스스위치에 적용했다. 파이오링크 클라우드스위치를 사용시 관리자 1명이 중앙컨트롤러를 통해 설치, 운영, 유지보수 등 관리 전반을 중앙집중식으로 수행할 수 있다. 필요한 설정 정보와 보안 정책 등을 클라우드에 저장해, 신규 장비가 인터넷에 연결되면 그에 맞는 설정 정보가 자동 배포돼 즉시 작동하는 식이다. 앞서 시스코시스템즈가 액세스장비 운영 간소화 기술업체 '머라키'의 솔루션을 국내 출시하면서 이와 비슷한 서비스를 지원하는 제품을 소개한 바 있다.

[☞관련기사: ""복잡한 네트워크 접속 장비, 구글처럼 관리""]

파이오링크 설명에 따르면 기업들은 이 신제품을 도입함으로써 내부 인프라의 스위치 구축과 관리에 투입되느라 많은 시간과 비용을 소요했던 기업내 엔지니어들은 출장 부담을 줄일 수 있다. 스위치마다 복잡한 콘솔 명령을 입력하는 번거로움을 없애고 스위치 교체와 확장도 간단하게 처리할 수 있다. 장애나 성능저하, 보안 위협 등을 모니터링하고 문제를 원격으로 대응할 수도 있게 된다. 기업은 사내에 별도 관리서버를 둘 필요가 없다. IT인력이 제한된 소규모 기업뿐아니라 전국에 분산된 대규모 네트워크 운영기업이나 수많은 고객사이트를 관리해야 하는 IT관리업체 등 어떤 곳에서든 쓰기 좋다.

파이오링크가 관리중앙화 개념을 녹여 선보인 액세스스위치 티프론트 클라우드 스위치



조영철 파이오링크 대표는 ""이제 네트워크 구매 및 관리 패러다임을 직접 소유하고 관리할 것이 아닌, 임대관리 서비스를 받아 사용 가치와 효율을 높이는 것으로 바꿀 때""라며 ""운용, 유지보수까지 해결하는 합리적인 소비로, 기업은 생산성과 사업 가치 증대에 더욱 집중할 수 있을 것”이라고 강조했다. 그리고 ""앞으로도 데이터센터 최적화 및 효율화를 위한 연구 및 사업화와 함께 클라우드 컴퓨팅 기술을 활용한 사용자 경험, IT 인프라 전반의 개선을 위한 노력도 지속하겠다""고 덧붙였다.

임민철 기자(imc@zdnet.co.kr)
[저작권자ⓒ메가뉴스 & ZDNet & CNET. 무단전재 및 재배포 금지]"
파이오링크,머니투데이,2015.12.03. 오후 1:56,파이오링크 발행주식 2.5%규모 스톡옵션 행사,"[머니투데이 황국상 기자] 파이오링크는 지난 1일 이 회사의 김동윤, 이경헌, 배성한 전무 등이 17만주 규모의 주식매수선택권을 행사했다고 3일 밝혔다. 행사물량은 발행주식 총 수의 2.5% 규모다.
파이오링크는 ""이번 행사로 향후 행사가능한 주식매수선택권은 남아있지 않다""고 밝혔다.

['생존 재테크' 백과사전 ""재테크를 부탁해"" ][부자들에게 배우는 성공 노하우 '줄리아 투자노트' ][내 삶을 바꾸는 정치뉴스 'the 300'][CEO의 삶을 바꾼 '내 인생 최고의 조언' ][아찔한 girl~ 레이싱모델 핫포토 ]

황국상 기자 gshwang@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
파이오링크,한국경제,2015.12.03. 오후 1:58,"파이오링크, 17만주 주식매수선택권 행사","[ 박희진 기자 ] 파이오링크는 3일 임직원이 17만주에 해당하는 주식매수선택권을 행사했다고 공시했다. 이는 총 발행주식수의 2.5%다.

회사 측은 ""향후 행사 가능한 주식매수선택권은 남아있지 않다""고 밝혔다.

박희진 한경닷컴 기자 hotimpact@hankyung.com


[한경닷컴 바로가기] [스내커] [슈퍼개미] [한경+ 구독신청]
ⓒ '성공을 부르는 습관' 한경닷컴, 무단 전재 및 재배포 금지"
파이오링크,아시아경제,2015.12.03. 오후 2:20,"파이오링크, 17만주 주식매수선택권 행사","[아시아경제 김민영 기자]파이오링크는 지난 1일 이 회사의 김동윤, 이경헌, 배성한 전무 등이 17만주 규모의 주식매수선택권을 행사했다고 3일 공시했다. 행사물량은 발행주식 총 수의 2.5% 규모다.

회사 측은 ""이번 행사로 향후 행사가능한 주식매수선택권은 남아있지 않다""고 설명했다.




김민영 기자 argus@asiae.co.kr

▶ 주요 이슈의 재구성, 촌철살인 이미지 파일 '카드뉴스'
▶ 재미있는 동영상이 모두 모였다 ""펀캐스트""
<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
