종목명,신문사,시간,제목,본문
핸디소프트,한국경제TV,2019.02.28. 오후 1:32,"핸디소프트, 전일 대비 약 3% 하락한 7,400원","[한국경제TV 라이온봇 기자]


[그림 1] 최근 3개월 간 주가 추세 및 기간별 수익률


핸디소프트는 2월 28일 13시 31분 전일 대비 약 3% 하락한 7,400원에 거래되고 있다. 핸디소프트는 코스닥 상장 기업으로 소프트웨어 업종에 속해 있다. 시가총액은 1,095억원으로 코스닥 상장기업 중 566위에 위치 해 있다.

[종목 성향 진단]


[그림 2] 종목 성향 진단


핸디소프트의 투자 스타일은 성장주에 가깝다. 주가 고평가 우려가 공존하지만 높은 성장성이 기대되는 기업이다.
주가 모멘텀은 부진한 편이었다. 최근 1개월 수익률은 -13.56%의 하락폭을 기록했다.
핸디소프트 종목에 대한 투자자의 관심도는 평범한 수준이었다.

[투자 점수 진단]


[그림 3] 투자 점수 진단


핸디소프트는 어느 측면에서 투자 매력도가 높은 종목일까?

AI 인공지능 종목 분석 시스템을 이용해 성장성, 수익성, 효율성, 안전성, 저평가성, 추세 등 주가 수익률에 영향을 줄 수 있는 6가지 핵심 투자 지표를 점수화하여 종목의 투자 매력도를 계산해보았다.
그 결과 핸디소프트는 상대적으로 추세지표 측면에서 두각을 드러내고 있었다.

추세 점수는 주가의 상승 모멘텀이 어느정도 인가를 나타낸다.

핸디소프트는 특히 장기추세 측면에서 가장 높은 점수는 기록했는데, 전체 시장 내 30위를 기록하며 상위 1.45%에 위치했다. 업종별로는 7위를 기록하며 상위 1.02%에 위치했다.

그러나 기업의 이익 실현 정도를 나타내는 수익성 측면에서는 아쉬움을 나타냈다.

(위의 AI인공지능 점수는 재무 데이터를 기반으로 전체 상장 종목과 비교/분석하여 도출한 점수로 높은 점수가 반드시 높은 수익률을 보장하지 않습니다. 위의 자료는 당사의 추천 종목이 아니며, 투자 시 참고용으로 제시해드리는 것입니다. 핵심투자지표를 결합해 종목의 투자매력도를 종합 계산한 ""인공지능 투자점수""는 ""거장들의 투자공식"" 앱에서 확인하실 수 있습니다.)

라이온봇 기자 -한국경제TV

※ 본 기사는 한국경제TV와 '거장들의 투자공식이'
자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.

라이온봇기자

▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]
▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]

ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
핸디소프트,파이낸셜뉴스,2019.03.04. 오전 9:48,"[fnRASSI]핸디소프트, 당일 거래량 증가하며 3거래일 하락세 지속","핸디소프트(220180)의 현재 거래량이 최근 5거래일 거래량의 최고치를 넘어섰다. 그리고 현재 3.79% 내린 7,100원에 거래중이며 3일 연속 하락흐름을 보이고 있다.

외국인, 기관 모두 보유량 감소 (5일 누적)
최근 5일간 동종목의 외국인 투자자는 3,332주 순매도하였고 마찬가지로 기관은 0주 순매도하였다. 전날 외국인은 2,652주 순매도했지만 기관은 순매수량이 0으로 보유비율 그대로 유지했다.

다음 표는 동종목의 외국인, 기관의 일별 순매수량을 나타낸 것이다.



외국인과 기관은 순매도, 개인은 순매수(한달누적)
2월27일부터 전일까지 외국인이 2거래일 연속 순매도했다. 4주간을 기준으로 보면 외국인이 매도 관점으로 접근하면서 35,759주를 순매도했고, 기관도 매도쪽으로 방향을 잡으면서 20,144주를 순매도했지만, 개인은 오히려 초반에 동종목을 순매수한 이후에 기세를 이어가며 55,003주를 순매수했다.

'fnRASSI'는 금융 AI 전문기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
핸디소프트,한국경제TV,2019.03.04. 오전 10:32,"핸디소프트, 전일 대비 약 5% 하락한 7,000원","[한국경제TV 라이온봇 기자]


[그림 1] 최근 3개월 간 주가 추세 및 기간별 수익률


핸디소프트는 3월 4일 10시 31분 전일 대비 약 5% 하락한 7,000원에 거래되고 있다. 핸디소프트는 코스닥 상장 기업으로 소프트웨어 업종에 속해 있다. 시가총액은 1,056억원으로 코스닥 상장기업 중 560위에 위치 해 있다.

[종목 성향 진단]


[그림 2] 종목 성향 진단


핸디소프트의 투자 스타일은 성장주에 가깝다. 주가 고평가 우려가 공존하지만 높은 성장성이 기대되는 기업이다.
주가 모멘텀은 좋지 못했다. 최근 1개월 수익률은 -15.27%의 하락폭을 기록했다.
핸디소프트 종목에 대한 투자자의 관심도는 상대적으로 낮은 편이었다.

[투자 점수 진단]


[그림 3] 투자 점수 진단


핸디소프트는 어느 측면에서 투자 매력도가 높은 종목일까?

AI 인공지능 종목 분석 시스템을 이용해 성장성, 수익성, 효율성, 안전성, 저평가성, 추세 등 주가 수익률에 영향을 줄 수 있는 6가지 핵심 투자 지표를 점수화하여 종목의 투자 매력도를 계산해보았다.
그 결과 핸디소프트는 상대적으로 추세지표 측면에서 두각을 드러내고 있었다.

추세 점수는 주가의 상승 모멘텀이 어느정도 인가를 나타낸다.

핸디소프트는 특히 장기추세 측면에서 가장 높은 점수는 기록했는데, 전체 시장 내 26위를 기록하며 상위 1.25%에 위치했다. 업종별로는 7위를 기록하며 상위 1.02%에 위치했다.

그러나 기업의 이익 실현 정도를 나타내는 수익성 측면에서는 아쉬움을 나타냈다.

(위의 AI인공지능 점수는 재무 데이터를 기반으로 전체 상장 종목과 비교/분석하여 도출한 점수로 높은 점수가 반드시 높은 수익률을 보장하지 않습니다. 위의 자료는 당사의 추천 종목이 아니며, 투자 시 참고용으로 제시해드리는 것입니다. 핵심투자지표를 결합해 종목의 투자매력도를 종합 계산한 ""인공지능 투자점수""는 ""거장들의 투자공식"" 앱에서 확인하실 수 있습니다.)

라이온봇 기자 -한국경제TV

※ 본 기사는 한국경제TV와 '거장들의 투자공식이'
자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.

라이온봇기자

▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]
▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]

ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
핸디소프트,한국경제TV,2019.03.07. 오후 2:32,"핸디소프트, 전일 대비 약 5% 하락한 6,800원","[한국경제TV 라이온봇 기자]


[그림 1] 최근 3개월 간 주가 추세 및 기간별 수익률


핸디소프트는 3월 7일 14시 31분 전일 대비 약 5% 하락한 6,800원에 거래되고 있다. 핸디소프트는 코스닥 상장 기업으로 소프트웨어 업종에 속해 있다. 시가총액은 1,076억원으로 코스닥 상장기업 중 567위에 위치 해 있다.

[종목 성향 진단]


[그림 2] 종목 성향 진단


핸디소프트의 투자 스타일은 성장주에 가깝다. 주가 고평가 우려가 공존하지만 높은 성장성이 기대되는 기업이다.
주가 모멘텀은 좋지 못했다. 최근 1개월 수익률은 -16.98%의 하락폭을 기록했다.
핸디소프트 종목에 대한 투자자의 관심도는 높은 편에 속한다.

[투자 점수 진단]


[그림 3] 투자 점수 진단


핸디소프트는 어느 측면에서 투자 매력도가 높은 종목일까?

AI 인공지능 종목 분석 시스템을 이용해 성장성, 수익성, 효율성, 안전성, 저평가성, 추세 등 주가 수익률에 영향을 줄 수 있는 6가지 핵심 투자 지표를 점수화하여 종목의 투자 매력도를 계산해보았다.
그 결과 핸디소프트는 상대적으로 추세지표 측면에서 두각을 드러내고 있었다.

추세 점수는 주가의 상승 모멘텀이 어느정도 인가를 나타낸다.

핸디소프트는 특히 장기추세 측면에서 가장 높은 점수는 기록했는데, 전체 시장 내 80위를 기록하며 상위 3.94%에 위치했다. 업종별로는 25위를 기록하며 상위 4.09%에 위치했다.

그러나 기업의 이익 실현 정도를 나타내는 수익성 측면에서는 아쉬움을 나타냈다.

(위의 AI인공지능 점수는 재무 데이터를 기반으로 전체 상장 종목과 비교/분석하여 도출한 점수로 높은 점수가 반드시 높은 수익률을 보장하지 않습니다. 위의 자료는 당사의 추천 종목이 아니며, 투자 시 참고용으로 제시해드리는 것입니다. 핵심투자지표를 결합해 종목의 투자매력도를 종합 계산한 ""인공지능 투자점수""는 ""거장들의 투자공식"" 앱에서 확인하실 수 있습니다.)

라이온봇 기자 -한국경제TV

※ 본 기사는 한국경제TV와 '거장들의 투자공식이'
자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.

라이온봇기자

▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]
▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]

ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
핸디소프트,한국경제TV,2019.03.13. 오후 12:31,"핸디소프트, 전일 대비 약 3% 하락한 6,540원","[한국경제TV 라이온봇 기자]


[그림 1] 최근 3개월 간 주가 추세 및 기간별 수익률


핸디소프트는 3월 13일 12시 30분 전일 대비 약 3% 하락한 6,540원에 거래되고 있다. 핸디소프트는 코스닥 상장 기업으로 소프트웨어 업종에 속해 있다. 시가총액은 1,039억원으로 코스닥 상장기업 중 578위에 위치 해 있다.

[종목 성향 진단]


[그림 2] 종목 성향 진단


핸디소프트의 투자 스타일은 성장주에 가깝다. 주가 고평가 우려가 공존하지만 높은 성장성이 기대되는 기업이다.
주가 모멘텀은 부진한 편이었다. 최근 1개월 수익률은 -13.46%의 하락폭을 기록했다.
핸디소프트 종목에 대한 투자자의 관심도는 높은 편에 속한다.

[투자 점수 진단]


[그림 3] 투자 점수 진단


핸디소프트는 어느 측면에서 투자 매력도가 높은 종목일까?

AI 인공지능 종목 분석 시스템을 이용해 성장성, 수익성, 효율성, 안전성, 저평가성, 추세 등 주가 수익률에 영향을 줄 수 있는 6가지 핵심 투자 지표를 점수화하여 종목의 투자 매력도를 계산해보았다.
그 결과 핸디소프트는 상대적으로 성장성 측면에서 두각을 드러내고 있었다.

성장성 점수는 기업의 실적이 전년 동기 대비 얼마나 증가했는지를 나타낸 지표로 기업의 이익 성장 추세를 나타낸다.

핸디소프트는 특히 당기순이익증가율(YoY) 측면에서 가장 높은 점수는 기록했는데, 전체 시장 내 53위를 기록하며 상위 2.67%에 위치했다. 업종별로는 19위를 기록하며 상위 3.15%에 위치했다.

그러나 기업의 이익 실현 정도를 나타내는 수익성 측면에서는 아쉬움을 나타냈다.

(위의 AI인공지능 점수는 재무 데이터를 기반으로 전체 상장 종목과 비교/분석하여 도출한 점수로 높은 점수가 반드시 높은 수익률을 보장하지 않습니다. 위의 자료는 당사의 추천 종목이 아니며, 투자 시 참고용으로 제시해드리는 것입니다. 핵심투자지표를 결합해 종목의 투자매력도를 종합 계산한 ""인공지능 투자점수""는 ""거장들의 투자공식"" 앱에서 확인하실 수 있습니다.)

라이온봇 기자 -한국경제TV

※ 본 기사는 한국경제TV와 '거장들의 투자공식이'
자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.

라이온봇기자

▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]
▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]

ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
핸디소프트,이데일리,2019.03.13. 오후 6:22,"핸디소프트, 작년 영업손실 55억…전년대비 적자확대","[이데일리 이명철 기자] 핸디소프트(220180)는 연결 기준 지난해 영업손실이 약 55억원, 당기순손실 125억원으로 전년대비 적자가 확대됐다고 13일 공시했다. 매출액은 같은기간 4.7% 증가한 420억원이다.

이명철 (twomc@edaily.co.kr)

총상금 600만원, 이데일리 사진 공모전 [나도 사진 기자다▶]
네이버에서 이데일리 [구독하기▶] , 빡침해소!청춘뉘우스~ [스냅타임▶]


＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
핸디소프트,한국경제,2019.03.14. 오전 8:03,"[실적속보]핸디소프트, 작년 4Q 매출액 125억원, 영업이익 -18억원... 연결,잠정","◆ 작년 4Q 매출액 125억원, 영업이익 -18억원... 연결,잠정
핸디소프트(220180)는 13일 실적공시(연결,잠정)를 통해 작년 4분기 매출액이 125억원, 영업이익이 -18억원으로 집계됐다고 밝혔다. 핸디소프트는 응용소프트웨어 개발 및 공급업체로 알려져 있다.

[표]핸디소프트 분기 실적
* 4분기 실적은 연간실적 공시를 토대로 계산된 값임

◆ 이전 최고 매출액 대비 71.9%
이전 핸디소프트의 분기 실적을 살펴보면 2017년 4분기에 가장 높은 매출(174억원)을 기록했고, 2017년 1분기에 가장 낮은 매출을 기록했다. 이번 분기 매출액은 2017년 4분기 대비 약 71.9% 수준으로 나타났다.

[그래프]핸디소프트 분기별 실적 추이


◆ 작년 4분기 실적 반영 시 PER -14.6배 → -8.3배
18년 4분기 실적과 현재 주가를 반영한 핸디소프트의 PER는 종전 -14.6배에서 -8.3배로 높아졌고, PBR은 종전 3.6배에서 3.8배로 높아졌으며, 자기자본이익률(ROE)은 종전 -25.0%에서 -45.7%로 낮아졌다.PER는 주가의 고평가·저평가를 나타내는 지표로 일반적으로 PER가 낮을수록 실적 대비 주가가 저평가된 것으로 판단한다. 주가가 하락하거나 이익이 증가하면 낮아진다.

[표]핸디소프트 투자지표 비교
* 투자지표는 최근 4개 분기 당기순이익의 합으로 계산함


◆ 경쟁사 대비 매출액 증감률 저조, 매출액 증감률 -28.1%
경쟁사들의 매출액 증감률(최근 실적 기준)이 모두 플러스(+)였던 것에 비해, 핸디소프트는 전년 동기 대비 -28.1%의 매출액 증감률을 기록했다.

[표]핸디소프트 및 경쟁사 전년동기 대비 성장률


◆ 실적 발표 직전 5일간 개인 2,536백주 순매수
실적 발표 직전 5일 동안 외국인과 기관은 각각 113백주, 288주를 순매도했다. 반면 개인은 2,536백주를 순매수한 것으로 나타났다. 같은 기간 핸디소프트 주가는 -6.8% 하락했다.

[그래프]핸디소프트 실적발표 직전 투자자 동향


한편, 핸디소프트는 최근에 아래와 같이 공시를 발표한 바 있다.
 - 03/13 전환사채권(CB)발행결정(무기명식 이권부 무보증사모 전환사채, 300억원)

한경로보뉴스

이 기사는 한국경제신문과 금융 AI 전문기업 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다.



[한경닷컴 바로가기] [모바일한경 구독신청]
네이버에서 한국경제 채널 구독하기 <자세히 보기>
ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
핸디소프트,뉴시스,2019.03.14. 오전 9:29,"[특징주]핸디소프트, 실적부진 영향에 약세","【서울=뉴시스】김정호 기자 = 코스닥 소프트웨어 개발사 핸디소프트(220180)가 부진한 지난해 실적을 내놓은 영향에 장 초반 약세다.

14일 코스닥시장에서 핸디소프트는 오전 9시24분 현재 전 거래일보다 0.31% 내린 6510원에 거래되고 있다.

핸디소프트는 연결재무 기준 지난해 영업손실이 약 55억원, 당기순손실 125억원가량으로 전년대비 적자가 확대됐다고 전날 공시했다. 같은 기간 매출은 4.7% 증가한 약 420억원이다.

map@newsis.com

▶ 네이버에서 뉴시스 채널 구독하기

▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기

<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
핸디소프트,한국경제TV,2019.04.01. 오전 10:41,"핸디소프트, 전일 대비 약 3% 하락한 6,050원","[한국경제TV 라이온봇 기자]


[그림 1] 최근 3개월 간 주가 추세 및 기간별 수익률


핸디소프트는 4월 1일 10시 40분 전일 대비 약 3% 하락한 6,050원에 거래되고 있다. 핸디소프트는 코스닥 상장 기업으로 소프트웨어 업종에 속해 있다. 시가총액은 964억원으로 코스닥 상장기업 중 621위에 위치 해 있다.

[종목 성향 진단]


[그림 2] 종목 성향 진단


핸디소프트의 투자 스타일은 성장주에 가깝다. 주가 고평가 우려가 공존하지만 높은 성장성이 기대되는 기업이다.
주가 모멘텀은 부진한 편이었다. 최근 1개월 수익률은 -14.5%의 하락폭을 기록했다.
핸디소프트 종목에 대한 투자자의 관심도는 평범한 수준이었다.

[투자 점수 진단]


[그림 3] 투자 점수 진단


핸디소프트는 어느 측면에서 투자 매력도가 높은 종목일까?

AI 인공지능 종목 분석 시스템을 이용해 성장성, 수익성, 효율성, 안전성, 저평가성, 추세 등 주가 수익률에 영향을 줄 수 있는 6가지 핵심 투자 지표를 점수화하여 종목의 투자 매력도를 계산해보았다.
그 결과 핸디소프트는 상대적으로 성장성 측면에서 두각을 드러내고 있었다.

성장성 점수는 기업의 실적이 전년 동기 대비 얼마나 증가했는지를 나타낸 지표로 기업의 이익 성장 추세를 나타낸다.

핸디소프트는 특히 당기순이익증가율(YoY) 측면에서 가장 높은 점수는 기록했는데, 전체 시장 내 53위를 기록하며 상위 2.67%에 위치했다. 업종별로는 19위를 기록하며 상위 3.15%에 위치했다.

그러나 기업의 이익 실현 정도를 나타내는 수익성 측면에서는 아쉬움을 나타냈다.

(위의 AI인공지능 점수는 재무 데이터를 기반으로 전체 상장 종목과 비교/분석하여 도출한 점수로 높은 점수가 반드시 높은 수익률을 보장하지 않습니다. 위의 자료는 당사의 추천 종목이 아니며, 투자 시 참고용으로 제시해드리는 것입니다. 핵심투자지표를 결합해 종목의 투자매력도를 종합 계산한 ""인공지능 투자점수""는 ""거장들의 투자공식"" 앱에서 확인하실 수 있습니다.)

라이온봇 기자 -한국경제TV

※ 본 기사는 한국경제TV와 '거장들의 투자공식이'
자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.

라이온봇기자

▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]
▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]

ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
핸디소프트,한국경제,2019.04.02. 오전 11:09,"'핸디소프트' 10% 이상 상승, 주가 20일 이평선 상회, 단기·중기 이평선 역배열","02일 오전 11시 05분 현재 핸디소프트는 전 거래일보다 10.89% 오른 6,720원에 거래되고 있다. 주가의 흐름을 살펴보면 6,150원으로 개장해서 장중 한때 6,070원(+0.17%)까지 살짝 밀렸지만, 다시 큰 폭으로 올라서 현재 6,720원(+10.89%)까지 상승하고 있다.

◆ 차트 분석
- 주가 20일 이평선 상회, 단기·중기 이평선 역배열
일봉 차트의 모습은 중기적으로 역배열을 보이고 있지만 단기적으로 반등흐름이 나오면서 20일선을 넘어서는 모습이다.

이 종목의 차트에서 최근에 삼선전환도(양전환), 최근 5일 매물대 돌파, 주가 5MA 상향돌파 등을 확인할 수 있다

[그래프]핸디소프트 차트 분석


◆ 주체별 매매동향
- 개인의 거래비중 크게 높음, 거래비중 93.2% (최근한달)
지난 한달을 기준으로 보면 외국인이 5.0만주를 순매수한 반면, 기관은 3,412주를 순매도했고, 개인들도 5.1만주를 순매도한 것으로 집계됐다. 같은 기간 개인의 거래비중이 93.2%로 가장 높아, 주요 거래 주체로 참여했음을 알 수 있다.

[그래프]핸디소프트 외국인/기관 매매동향


한경로보뉴스

이 기사는 한국경제신문과 금융 AI 전문기업 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다.



[한경닷컴 바로가기] [모바일한경 구독신청]
네이버에서 한국경제 채널 구독하기 <자세히 보기>
ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
