종목명,신문사,시간,제목,본문
씨엔플러스,한국경제,2016.09.22. 오후 1:42,"씨엔플러스, 29억 규모 공장·사옥 신축공사 결정","[ 조아라 기자 ] 씨엔플러스는 22일 29억7000만원 규모의 공장 및 사옥 신축공사에 대한 투자를 결정했다고 공시했다. 이 금액은 지난해 연결기준 자기자본의 16.94%에 해당한다. 투자기간은 내년 4월30일까지다.

회사 측은 ""인천 본사 매각으로 인해 생산대체 공장으로 사업규모에 맞는 공장과 사옥을 신축하는 것""이라고 밝혔다.

조아라 한경닷컴 기자 rrang123@hankyung.com


[한경닷컴 바로가기] [스내커] [모바일한경 구독신청]
ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
씨엔플러스,머니투데이,2016.09.22. 오후 1:49,"씨엔플러스, 29.7억원 규모 신규시설 투자","[머니투데이 최경민 기자] 씨엔플러스는 22일 29억7000만원 규모의 신규시설 투자를 결정했다고 공시했다. 투자금액은 자기자본 대비 17% 수준이다. 회사측은 ""인천 본사 매각으로 생산대체 공장으로 사업규모에 맞는 공장, 사옥 신축""이라고 투자목적을 설명했다.
[이코노미스트들의 깊이있는 투자정보 'TOM칼럼'][부자들에게 배우는 성공 노하우 '줄리아 투자노트' ][내 삶을 바꾸는 정치뉴스 'the 300']

최경민 기자 brown@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
씨엔플러스,서울경제,2016.09.22. 오후 1:51,"씨엔플러스, 공장·사옥 신축에 30억 투자","씨엔플러스(115530)는 인천 본사 매각으로 인한 생산대체 공장으로 사업규모에 맞는 공장·사옥 신축을 위해 29억7,000만원을 투자한다고 22일 공시했다. 투자기간은 다음달 1일부터 오는 2017년 4월 30일까지다.

/김연하기자 yeona@sedaily.com


[서울경제 바로가기] [인기포토로 보는 오늘]
서울경제와 친해지는 가장 확실한 방법 [페이스북]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
씨엔플러스,아시아경제,2016.09.22. 오후 2:01,"씨엔플러스, 29억7000만원 신규 시설투자","[아시아경제 박선미 기자]씨엔플러스는 29억7000만원 규모 신규시설투자를 결정했다고 22일 공시했다. 인천 본사 매각에 따라 사업규모에 맞는 공장, 사옥 신축이 목적이라고 밝혔다.




박선미 기자 psm82@asiae.co.kr

▶ 최강의 재미 [아시아경제 카드뉴스]
▶ 호안미로 특별전 ▶ 양낙규의 [군사이야기]

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
씨엔플러스,뉴시스,2016.09.22. 오후 2:04,"씨엔플러스, 공장·사옥 신축에 29.7억 투자 결정","【서울=뉴시스】최예린 기자 = 전기회로 관련 장치 제조업체 씨엔플러스(115530)는 공장과 사옥 신축에 29억7000만원을 투자한다고 22일 공시했다.

이는 지난해 말 연결 기준 자기자본의 16.94%에 해당하는 규모다. 투자기간은 내년 4월30일까지다.

회사 측은 투자 목적에 대해 ""인천 본사 매각에 따라 생산 대체 공장으로 사업 규모에 맞는 공장과 사옥을 신축하고자 한다""고 설명했다.

yerin_choi@newsis.com

뉴시스 뉴스, 네이버 뉴스 스탠드에서도 만나세요

뉴시스 SNS [페이스북] [트위터]

<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
씨엔플러스,헤럴드경제,2016.09.22. 오후 2:08,"씨엔플러스, 공장ㆍ사옥 신축에 29.7억 투자","[헤럴드경제=박영훈 기자] 씨엔플러스는 공장ㆍ사옥 신축에 29억7000만원을 투자한다고 22일공시했다.
이는 자기자본대비 16.94%에 해당하는 규모이며 투자기간은 오는 10월 1일부터 2017년 4월 30일까지다.
회사측은 “인천 본사 매각으로 생산대체 공장으로 사업규모에 맞는 공장ㆍ사옥 신축을 위한 것”이라고밝혔다.
park@heraldcorp.com



▶ [무료운세] 오늘 당신의 하루는 몇 도 일까요?



- Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
씨엔플러스,머니투데이,2016.10.05. 오전 7:51,"씨엔플러스가 고소한 한류중화…경찰 ""무혐의""","[머니투데이 김평화 기자] [불기소의견 남부지검 송치…""마스크팩 납품 지연됐을 뿐 中사업권 확인돼 사기아냐""]
코스닥 상장사 씨엔플러스로부터 ""마스크팩을 제때 공급하지 않았다""며 사기 혐의로 피소된 한류중화 대표에게 경찰이 무혐의 판단을 내렸다.

5일 증권업계와 검찰 등에 따르면 서울 구로경찰서는 사기 혐의로 고소당한 서보인 한류중화 대표를 최근 불기소 의견으로 검찰에 송치했다.

씨엔플러스는 8월 서 대표를 처벌해달라며 구로경찰서에 고소장을 제출했다. 씨엔플러스는 고소장에서 ""한류중화를 통해 진행하던 마스크팩 공급이 제대로 이뤄지 않았고 이미 지급한 20억원을 현재까지 돌려받지 못했다""고 밝혔다.

씨엔플러스는 5월4일 한류중화에 물품납품계약 해지를 통보했다. 당시 씨엔플러스는 ""한류중화와 물품납품계약을 체결하고 단일판매 납품계약을 추진했으나 한류중화 귀책으로 초도물량 납품 이후 물품납품이 지연되고 납기를 이행하지 않아 계약을 해지했다""고 설명했다.

하지만 한류중화 관계자는 ""나중에 씨엔플러스에 한류중화 지분 20%를 주기로 하고 사업자금으로 20억원을 먼저 투자받은 것""이라며 ""고가 마스크팩 단가 문제로 함께 진행하던 사업 중 일부를 중단한 것이고 공동사업약정은 아직 유효하다""고 해명했다.

경찰 조사결과 한류중화는 실제로 중국에서 사업권을 갖고 보세구(관세면제 자유수출입지역) 공동사업을 진행 중인 것으로 확인됐다.

경찰 관계자는 ""사업이 지연된 것 일뿐 한류중화의 중국 사업권이 실제인 것으로 확인돼 사기로 보기는 어렵다""며 ""민사상으로 문제가 될 수 있어도 형사 처벌 사안은 아니라는 판단""이라고 말했다.

경찰은 해당 사건을 검찰에 무혐의 의견으로 송치하고 검찰 지휘를 대기 중인 것으로 전해졌다. 20억원 반환 여부는 민사 사안이라 경찰은 관여하지 않는다는 방침이다.

씨엔플러스는 지난해 12월 한류중화와 공동 사업 본 계약을 맺고 중국 충칭시 국무원이 직영하는 종합보세구에 물품을 공급하기로 했다고 밝혔다. 당시 중국 사업 기대감이 반영되면서 주가는 2만3950원(지난해 12월8일 종가)까지 치솟았다.

이후 차익매물이 나오면서 씨엔플러스 주가는 내리막길을 걸었다. 한류중화와 납품계약 해지를 공시하기 전날(5월3일) 종가는 1만7200원까지 떨어졌다. 중국 사업 기대감이 약화되고 경영권 분쟁이 도마 위에 오르면서 주가는 약 5달 만에 반토막 나 4일 8360원에 장을 마감했다.

한류중화는 씨엔플러스와 중국 사업을 계속 진행하기를 희망하고 있다. 한류중화 관계자는 ""씨엔플러스 대표가 바뀐 이후 연락이 닿지 않고 납품도 이뤄지지 않은 상태에서 갑자기 고소를 당했다""며 ""일단은 검찰의 판단을 기다리고 있다""고 말했다.

씨엔플러스에 마스크팩을 공급하면서 씨엔플러스로부터 투자도 받았는데 납품 지연을 이유로 형사 고소 당한 게 황당하다는 얘기다.

이번 고소 건과 관련해 씨엔플러스에도 수차례 연락을 시도했으나 별다른 입장을 내놓지 않았다.



[이코노미스트들의 깊이있는 투자정보 'TOM칼럼'][부자들에게 배우는 성공 노하우 '줄리아 투자노트' ][내 삶을 바꾸는 정치뉴스 'the 300']

김평화 기자 peace@

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
씨엔플러스,전자신문,2016.10.31. 오전 9:33,[@테마]씨엔플러스_약세 흐름속에서 6일 연속 하락 현재 -8.09%,"31일 오전 9시 28분 현재 씨엔플러스는 610원(-8.09%) 내린 6,930원을 기록하며 6일 연속 하락세를 이어가고 있다. 이러한 약세흐름에 특별한 원인이 있는지 여러각도에서 한번 살펴볼 필요가 있다.

[종목동향]
* 씨엔플러스의 최대주주가 기존의 위드에셋주식회사에서 이기동으로 변경됨 (2016-08-09)
* 불성실공시법인 지정에 따라 주권매매거래정지, 정지일시 2016-06-30 -
* 대표이사변경, 김영식,한무근 신규선임 (2016년 05월 23일)

[주가/수급동향]
10월27일부터 전일까지 외국인이 2거래일 연속 순매도했다. 최근 한달간 씨엔플러스의 상장주식수 대비 거래량을 비교해보니 일별 매매회전율이 2.04%로 집계됐다. 동기간 일평균 주가변동률은 8.11%로 장중 저점과 고점의 차이가 매우 컸음을 알 수 있다.
그리고 최근 5일간 거래비중은 개인이 95.39%, 외국인이 4.6%를 기록한 것으로 나타났다.

[차트신호]
최근 주가변동폭을 기준으로 한 현재 주가는 하락추세는 지속되고 있고,거래량 지표로 볼 때는 침체국면에 머물러 있다.투자심리적 관점에서 보면 주가흐름이 좋지 않아 불안한 심리를 보이고 있고
이동평균선들의 배열도를 분석을 해보면 단기, 중기, 장기 이동평균선이 역배열을 이루고 있는 전형적인 약세국면에 머물러 있다.

[업종내 종목흐름]
이 시각 현재 관련종목들도 일제히 하락하면서 IT부품업종은 0.84% 하락하고 있다.
레이젠 2,550원
▼70(-2.67%) 제이엠티 2,160원
▼50(-2.26%)
케이엔더블유 7,540원
▼230(-2.96%) 대주전자재료 3,775원
▼135(-3.45%)

[재무특징]
영업이익률 현재 -16.27%로 업종평균 하회. PBR은 2.46임.

증시분석 전문기자 로봇 ET etbot@etnews.com
전자신문과 씽크풀의 증시분석 전문기자 로봇 ET가 쓴 기사입니다

▶ 전자신문 공식 페이스북
▶ 전자신문 바로가기
[Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
씨엔플러스,이데일리,2016.11.02. 오전 7:27,"씨엔플러스, 최대주주 정재욱 씨로 변경","[이데일리 박형수 기자] 씨엔플러스(115530)는 최대주주가 이기동 씨에서 정재욱 씨로 바뀌었다고 2일 공시했다.

회사 측은 임시 주주총회를 소집하려고 주주명부를 폐쇄하면서 최대주주가 바뀐 사실을 확인했다고 설명했다. 이 씨의 지분율은 기존 3.84%에서 0.06%로 낮아졌다. 정 씨는 씨엔플러스 지분 2.29%를 보유하고 있다.

박형수 (parkhs@edaily.co.kr)



＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
씨엔플러스,한국경제,2016.11.02. 오전 7:27,"씨엔플러스, 정재욱 씨로 최대주주 변경","[ 김아름 기자 ] 씨엔플러스는 2일 최대주주가 기존 이기동 씨에서 정재욱 씨로 변경됐다고 공시했다.

정 씨는 씨엔플러스의 주식 11만3449주(2.29%)를 보유하고 있다. 기존 최대주주였던 이기동 씨는 19만주(3.84%)에서 3441주(0.06%)로 지분이 감소했다.

김아름 한경닷컴 기자 armijjang@hankyung.com


[한경닷컴 바로가기] [스내커] [모바일한경 구독신청]
ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
