종목명,신문사,시간,제목,본문
자유투어,연합뉴스,2012.09.24. 오전 9:15,<코스피> 자유투어 유상증자 소식에 하한가,"(서울=연합뉴스) 박초롱 기자 = 주주배정 유상증자를 결정한 자유투어가 하한가로 떨어졌다.

24일 코스닥시장에서 자유투어는 오전 9시13분 현재 가격제한폭까지 떨어진 809원에 거래됐다.

자유투어는 21일 장 마감 후 공시에서 109억원 규모의 주주배정 유상증자를 하기로 했다고 공시했다.

chopark@yna.co.kr

[이 시각 많이 본 기사]

☞""안철수 출마선언후 지지율 큰폭 상승""<여론조사>

☞<새영화> 귀여운 성인 코미디 '19곰 테드'

☞박근혜 내일 기자회견..과거사 사과키로(종합)

☞-PGA- 스니데커 '1천만달러의 사나이'

☞박근혜 내일 기자회견..과거사 사과키로

<연합뉴스 모바일앱 다운받기> <포토 매거진>

<저작권자(c)연합뉴스. 무단전재-재배포금지.>"
자유투어,연합뉴스,2012.09.24. 오전 10:06,<고침> 경제(<코스닥> 자유투어 유상증자…),"<코스닥> '유상증자' 자유투어 하한가

(서울=연합뉴스) 박초롱 기자 = 주주배정 유상증자를 진행한 자유투어가 하한가로 떨어졌다.

24일 코스닥시장에서 자유투어는 오전 9시13분 현재 가격제한폭까지 떨어진 809원에 거래됐다.

자유투어는 21일 장 마감 후 공시에서 109억원 규모의 주주배정 유상증자를 마무리한 후 추가상장한다고 공시했다.

chopark@yna.co.kr

[이 시각 많이 본 기사]

☞""안철수 출마선언후 지지율 큰폭 상승""<여론조사>

☞<새영화> 귀여운 성인 코미디 '19곰 테드'

☞박근혜 내일 기자회견..과거사 사과키로(종합)

☞-PGA- 스니데커 '1천만달러의 사나이'

☞박근혜 오전9시 기자회견..과거사 사과 표명

<연합뉴스 모바일앱 다운받기> <포토 매거진>

<저작권자(c)연합뉴스. 무단전재-재배포금지.>"
자유투어,매일경제,2012.09.24. 오전 10:17,"[Hot-Line 코스닥] 자유투어, 유상증자 물량 상장에 하한가","유상증자 물량 상장을 앞두고 자유투어가 하한가를 기록하고 있다.
24일 오전 9시 50분 현재 자유투어는 전거래일보다 142원(14.93%) 내린 809원에 거래되고 있다.
자유투어는 지난 21일 장 마감 후 공시를 통해 108억6800만원 규모의 유상증자 물량을 26일 상장한다고 밝혔다. 주당 발행가액은 500원으로 현 주가에 크게 못 미치는 수준이다.
자유투어는 지난 3~4일 이틀간 진행된 주주배정 유상증자 청약에서 50% 수준의 청약률을 기록해 저조한 성과를 기록했지만 뒤이어 진행된 일반 공모에서 345대 1의 경쟁률을 기록하며 흥행에 성공한 바 있다.
당시 주가 대비 낮은 공모가에 개인 투자자들이 몰린 것으로 풀이된다. 한편, 이날 하한가를 기록하고 있는 현재 자유투어의 시가총액은 363억원 수준이다.
[전경운 기자]

▶ 이효리가 입으면 `속옷도 패션!` 그림같은 화보 공개

▶ 로또1등 당첨번호, 뜯어보니 충격적 비밀이…

▶ 포미닛 현아, `아찔 학다리`

▶ 씨스타, `탄력적 각선미`

▶ 유치장 탈출범 검거…배식구 11㎝ 유치장에 재수감

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
자유투어,연합뉴스,2012.09.24. 오전 11:56,"<코스닥> 자유투어, 유증물량 상장앞두고 하한(종합)","(서울=연합뉴스) 박초롱 기자 = 유상증자 물량의 추가상장을 앞둔 자유투어가 물량부담에 하한가를 기록하고 있다.

24일 코스닥시장에서 자유투어는 오전 11시45분 현재 가격제한폭까지 떨어진 809원에 거래됐다.

자유투어는 21일 장 마감 후 공시를 통해 108억6천800만원 규모의 유상증자 물량을 26일 상장한다고 밝혔다.

자유투어는 지난 3∼4일 주주배정 유상증자 청약을 진행했으며, 주당 발행가액은 현 주가보다 낮은 500원이다.

chopark@yna.co.kr

[이 시각 많이 본 기사]

☞박근혜 ""5.16ㆍ유신ㆍ인혁당 피해자가족에 사과""(종합)

☞SBS '맛있는 인생' 조기종영..마지막 10.7%

☞박근혜 오전9시 기자회견..과거사 사과 표명

☞-LPGA- 허미정·강혜지 나비스타 클래식 공동 3위(종합)

☞<쓰던 아이폰 반납하면 아이폰5도 벌써 '버스폰'?>

<연합뉴스 모바일앱 다운받기> <포토 매거진>

<저작권자(c)연합뉴스. 무단전재-재배포금지.>"
자유투어,매일경제,2012.09.24. 오후 5:12,"[종목 포커스] 자유투어, 신주 상장 앞두고 하한가","대규모 유상증자 신주 상장을 앞두고 물량 부담 염려로 자유투어가 하한가로 추락했다.
24일 자유투어 주가는 전 거래일 대비 가격제한폭까지 하락한 809원에 거래를 마쳤다.
자유투어는 지난 21일 장 마감 후 공시를 통해 2173만7704주 규모 유상 신주를 26일 상장한다고 밝혔다. 현재 발행주식 수(4488만8635주) 중 절반에 해당하는 대규모다. 주당 발행가액은 500원으로 현 주가에 크게 못 미치는 수준이다. 이 수준이 이어지면 신주 상장과 동시에 차익실현 매물이 쏟아져 나올 수 있다.
자유투어는 지난 3~4일 이틀간 주주배정 유상증자를 진행했다. 주주배정 증자 이후 일반 공모에서 경쟁률 345대1을 기록하며 흥행에 성공했다.
[서태욱 기자]

▶ [화보] `아름다움도 슈퍼스타급`…메간 폭스, 절제된 섹시미 발산

▶ 유명개그맨, 年 30억씩 벌더니 `쫄딱` 망해서는

▶ 박기량-김연정, 롯데→ LG 여신으로?

▶ 에프터스쿨 유이, `볼륨감이 넘쳐~`

▶ 씨스타 효린 `너무 짧은 블랙 초미니~ 노출될까봐 불안하네!`

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
자유투어,머니투데이,2012.09.25. 오전 9:14,"[특징주]자유투어, 저가 유증 물량 부담 이틀 '급락'","[머니투데이 김건우 기자]자유투어가 저가 유상증자 신주 상장을 앞두고 이틀 연속 급락세다.
25일 오전 9시 13분 현재 자유투어는 전일대비 12.1% 하락한 711원에 거래 중이다.
이는 오는 26일 상장하는 2173만 7704주의 유상증자 물량 부담감 때문으로 보인다. 이는 현재 발행주식수의 절반에 달하는 규모다.
주당 발행가액은 500원으로 현 주가가 유지된다면 30%가 넘는 수익을 올릴 수 있다.


[머니투데이 핫뉴스]
☞ ""베가 시리즈중 최고""… '베가R3' 가격도 깜짝
☞ 美포브스 ""강남스타일, 한국어라 더 성공"" 이유가 기발
☞ ""박근혜, 아버지 명예회복 위해 정치"" 알려지자…
☞ [단독]애플 왜이래? 아이폰5에 한국은 없다
☞ 月454만원 맞벌이 부부 '양육수당'못받는다

김건우기자 jai@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
자유투어,머니투데이,2012.10.04. 오전 11:46,"[더벨]예보, 자유투어 주식 처분권 추가 행사 보류","[더벨 정호창 기자][BW 미상환으로 지분 5% 처분권 획득했으나, 법적 다툼 소지 있어 고심]
더벨|이 기사는 10월02일(13:04) 자본시장 미디어 '머니투데이 thebell'에 출고된 기사입니다.


예금보험공사(이하 예보)가 기존에 처분권을 보유하고 있던 자유투어 지분 외에 추가로 5% 가량의 물량에 대한 처분권을 확보했으나, 이를 당장 매각 대상에 포함시키지는 않을 방침이다. 법적 다툼의 소지가 있어 이 사안에 대한 결정을 보류한 것이다.
2일 인수합병(M&A) 업계에 따르면 예보는 최근 자유투어 주식 매각을 담당할 주관사로 삼정KPMG를 선정했다. 예보는 주관사가 선정된 만큼 조만간 입찰공고를 내고 매각 작업을 본격화한다는 계획이다.
매각 대상은 자유투어 주식 1752만9047주(지분율 26.31%)다. 부실저축은행 판정을 받아 금융시장에서 퇴출되고 예보의 관리 아래로 넘어 온 에이스저축은행이 보유한 물량이다.
예보는 이외에도 자유투어 기존 최대주주인 엘엔에스플래닝이 보유한 주식 중 336만1350주(지분율 5.04%)의 처분권을 확보하고 있다. 자유투어의 신주인수권부사채(BW)를 보유한 에이스저축은행이 조기상환청구권(Put Option)을 행사하자, 자유투어 경영진이 상환일 연기를 요청하면서 지난 4월 담보로 맡긴 물량이다.
자유투어는 BW 상환자금을 마련하기 위해 지난 9월 109억 원 규모의 유상증자를 시행했다. 유증은 성공했고 자유투어는 예보에 BW 상환의사를 밝혔다. 문제는 여기서 불거졌다. 자유투어는 BW 상환 즉시 최대주주 지분 등에 대한 담보권 해지를 요구했고, 예보는 불확정 채무의 발생 가능성을 들어 이를 거부했다. 담보권 해지 이후 자산 유동화를 계획했던 자유투어 측이 이에 강력 반발했으나 예보는 입장을 고수했다.
결국 자유투어는 BW 상환을 거부했다. 자유투어가 에이스저축은행에 상환해야 할 채무는 BW 원리금 43억 원, 이자 14억 원 등 총 57억 원이다. 예보는 채무 미상환을 이유로 지난달 18일 자유투어에 '기한이익상실'을 통보했다. 자유투어 경영진은 예보가 주장하는 불확정 채무가 존재하지 않는다는 '채무부존재 확인 소송'을 법원에 제기한 상태다.
이 때문에 예보는 이 담보물량은 일단 매각 대상에서 제외키로 정했다. 예보 관계자는 ""기한이익상실을 통보했으므로 5% 지분에 대해 처분권을 행사할 수 있는 상황이나, 여러 가지 사안을 고려해 당분간은 매각 대상에 포함시키지 않을 것""이라고 설명했다. 양측의 대화와 합의에 따라 사태를 해결할 수 있는 여지는 남겨둔 셈이다.
예보가 매각할 26.31% 지분의 인수자는 주식을 넘겨받는 즉시 자유투어의 최대주주가 된다. 기존 최대주주로 자유투어의 현 경영진인 엘엔에스플래닝 측이 우호지분을 포함해 18% 정도의 지분 밖에 갖고 있지 않기 때문이다.
문제는 인수자가 최대주주가 된다고 해도 자유투어에 대한 경영권 행사가 쉽지 않다는 점이다. 이사회를 기존 경영진이 장악하고 있는데, 예보가 매각하는 지분만으론 이사회 교체가 불가능하기 때문이다.
정관 변경이나 이사 해임 등은 상법상 주주총회 특별결의사항이다. 특별결의는 출석 주주 의결권의 3분의 2 이상과 발행주식총수의 3분의 1 이상이 필요하다. 최소 33.4%의 지분이 확보돼야 이사회 교체를 시도해 볼 수 있는 셈이다. 예보가 매각을 보류한 5% 지분까지 묶어 판다고 해도 31.35%에 그쳐 발행주식총수의 3분의 1에는 못 미친다.
게다가 자유투어는 이미 지난 2009년 정관 개정을 통해 '초다수결의제'와 '황금낙하산' 등 경영권 방어장치를 마련해 뒀다. 자유투어 정관에 반영된 초다수결의제에 따르면 이사나 감사 해임을 위해선 출석 주주 의결권의 5분의 4 이상과 발행주식총수의 과반수 이상이 필요하다. 적대적 M&A로 대표이사를 바꾸기 위해선 50억 원의 퇴직보상액도 지급해야 한다.

[머니투데이 핫뉴스]
☞ 천호식품 김회장 ""직원들 통장에 5억씩…""
☞ 억대 기부? 배우 정선경 요즘 뭐하나 했더니…
☞ ""삼촌·고모도 하는 애니팡, 왜 나만…""
☞ 추석이후 박근혜 지지율? 1일 여론조사 보니…
☞ 이웃 40대男, 술취한 20대女 집에 데려가…

정호창기자 hochang@
<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
자유투어,스포츠조선,2012.10.04. 오후 12:42,자유투어 '정부 공인' 관광산업발전 앞장,"자유투어(방광식 대표)가 '제39회 관광의 날'을 맞아 9월 27일 국립중앙박물관 '극장 용(龍)' 에서 기념식을 갖고 관광산업발전에 기여한 업계 종사자들에게 각종 훈장과 포상들을 수여하는 행사를 진행했다.

문화체육관광부가 추최하고 한국관광협회중앙회가 주관한 이번 행사는 최광식 문화체육관광부 장관, 남상만 한국관광협회중앙회 회장, 주한 외교사절 및 수상자를 비롯한 관광업계 대표와 종사자와 가족 등 700여명이 참석했다.

행사 관계자는 ""제39회 관광의 날 을 기념하고 관광산업의 중요성을 국민에게 인지시켜 관광수지의 흑자기조 정착으로 궁극적으로는 국가경제 발전에 기여하는 것이 주된 취지""라며 ""관광산업 진흥과 외래관광객 유치 확대에 기여한 유공자를 발굴, 포상해 관광인들의 사기를 진작시키고 관광산업 육성에 대한 의지를 표명 하고자 마련한 행사""라고 설명했다.

최종성 자유투어 상무는 ""관광업계 종사자로서 이번 수상이 갖는 의미가 남다르다""며 ""앞으로 더욱 막중한 책임감을 갖고 향후 업계 발전에 도움이 될 수 있도록 주어진 역할과 과제들을 더욱 충실히 감당해 나가겠다""고 수상 소감을 밝혔다.

관광인들의 축제로 준비된 이날 축복과 환희를 표현하는 '오고무'와 한류스타 '씨스타'의 공연이 진행됐다.김세형 기자 fax123@sportschosun.com

 ▲ 독고영재 “사업실패…딸과 모텔가고 노숙도” 충격
 ▲ 류승수 “과거 장혁에 X묻은 휴지 던졌다” 경악
 ▲ '전국노래자랑' 글래머 日유학생, 알고보니…
 ▲ 오인혜 '가슴수술 의혹 사진'에 '속옷 안입어서…'
▲ 최여진 새 란제리 화보…완벽 바디라인 '황홀'
[☞ 웹신문 보러가기]
- Copyrights ⓒ 스포츠조선, 무단 전재 및 재배포 금지 -"
자유투어,한국경제,2012.10.04. 오후 6:33,"[마켓인사이트] 예보, 자유투어 매각 본격화","매각주관사에 삼정KPMG

▶ 마켓인사이트 10월4일 오전 5시48분

예금보험공사가 보유하고 있는 자유투어 지분 매각에 시동을 걸었다. 기존 보유 지분 26.4%에 담보로 잡고 있는 엘엔에스플래닝 지분 5.2%를 추가로 확보할 수 있어 경영권이 바뀔 가능성도 높아졌다.

4일 투자은행(IB)업계에 따르면 예보는 보유하고 있는 자유투어 지분 매각주관사로 삼정KPMG를 선정했다. 법률자문은 법무법인 세종이 맡게 됐다. 예보는 매각주관사 및 법률자문사와 협의를 거쳐 매각 일정을 구체화할 예정이다.

매각 대상은 경영관리 중인 에이스저축은행을 통해 예보가 보유하고 있는 자유투어 지분 26.4%다. 그러나 현재 자유투어 경영권을 갖고 있는 엘엔에스플래닝이 지난달 17일이 만기인 신주인수권부사채(BW) 대금을 갚지 않아 이들이 보유하고 있는 자유투어 지분 13.4% 가운데 5.2%가 매각 대상으로 추가될 가능성이 생겼다. 예보가 엘엔에스플래닝이 보유한 5.2%에 대해 담보권을 갖고 있어서다.

자유투어가 상환을 거부하는 등 필요할 경우 예보는 담보권을 행사해 자유투어 지분 5.2%를 추가로 확보한다는 방침이다.

엘엔에스플래닝의 자유투어 지분은 13.4%다. 우호세력인 에이월드 지분(319만주·4.9%)을 합쳐도 18.3%다. 예보가 담보권을 행사해 5.2%를 추가로 확보할 경우 예보 지분은 31.6%(2089만주)로 늘어나고, 엘엔에스플래닝 측 지분은 13.1%로 떨어진다.

예보가 담보권을 행사해 지분 차이가 18.5%포인트로 벌어지게 되면 경영권 프리미엄을 받고 지분을 매각할 수 있을 것으로 IB업계에서는 보고 있다. 엘엔에스플래닝으로선 경영권을 잃을 위기에 처했다.

예보 관계자는 “매각주관사 및 법률자문사와 법률검토를 거쳐 담보권 행사 여부를 확정할 계획”이라고 말했다.

정영효 기자 hugh@hankyung.com

▶ 유명 女가수 ""아이 생기는대로 수술"" 충격 고백

▶ 유명 방송인, '아동 포르노' 즐기다가 결국…

▶ '파격 19금 드레스' 오인혜 충격 고백 ""부모님이…""

▶ 박지성 떠난 맨유 경기장에 욱일승천기 등장하자 해설자는

▶ 곽현화, 안고 싶은 여자 다? 에로틱한 분위기 '호기심 자극’

[한국경제 구독신청] [온라인 기사구매] [한국경제 모바일 서비스]

ⓒ <성공을 부르는 습관> 한국경제신문, 무단 전재 및 재배포 금지

<한국온라인신문협회의 디지털뉴스이용규칙에 따른 저작권을 행사합니다>"
자유투어,매일경제,2012.10.11. 오후 5:10,"[종목포커스] 자유투어, 매각소식에 급등락 반복","자유투어가 지분 매각 추진 소식에 이틀 새 10% 넘게 급등락했다.
11일 자유투어는 전 거래일보다 10.34% 급등한 971원에 거래를 마감했다. 이날 주가 급등은 예금보험공사가 에이스저축은행이 보유 중인 자유투어 지분(26.36%) 매각을 추진한다는 소식에 따른 결과로 풀이된다. 에이스저축은행이 영업정지되며 보유 처분권은 예보로 넘어간 상황이다.
자유투어 주가는 유상증자와 지분매각 추진 소식에 지난 9월 초부터 급등락을 거듭했다. 지난 5일부터 2거래일 동안에는 주가가 30% 가깝게 급등하다 다시 10% 넘게 하락하는 등 종잡을 수 없는 움직임을 보이고 있다.
[오수현 기자]

▶ 이인혜, 화보 매출 1위 ‘기염’…도대체 어떻길래?

▶ 중국집 배달원, 알바女 성폭행하자 사장이 `헉`

▶ 소녀시대 `윤아 왔어요, 뿌잉뿌잉`

▶ 수지, `핫팬츠로 드러난 매끈 각선미`

▶ 김혜수, 원조 글래머의 이 놀라운 자신감 `와우`

[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
