종목명,신문사,시간,제목,본문
한국코퍼레이션,이데일리,2019.09.27. 오전 11:23,"한국코퍼레이션, 조성완 사장 각자대표 선임…""ICT 사업 확대""","[이데일리 김대웅 기자] 한국코퍼레이션(050540)은 27일 서울 본사에서 임시주주총회와 이사회를 개최해 ICT 분야 물적분할 계획 승인과 신임 각자 대표 선임을 결의했다고 공시했다.

이날 오전에 개최된 임시주주총회에서는 ICT 분야 물적 분할을 단행하는 분할계획서 승인과 조성완 현 CRM부문 사장의 사내이사 선임 건이 결의됐다.

분할계획 승인에 따라 ICT 전문기업인 한국클라우드가 신규 설립된다. 회사는 해당 분야의 사업을 한국클라우드로 이관하는 구조개편을 실시할 예정이다. 이관 예정일은 오는 11월 1일이다.

조성완 한국코퍼레이션 신임 대표이사.
한국클라우드의 사내이사로 김현겸, 성상윤, 이봉기, 김재욱 등 4인의 선임이 예정됐으며 초대 대표이사는 김현겸 한국코퍼레이션 부회장이 맡을 것으로 전해졌다.

회사 관계자는 “신설 법인인 한국클라우드는 기존 CRM 분야 중심의 솔루션 개발에 국한하지 않고, ICT 전 분야로 사업영역을 확대할 계획”이라며 “특히 독립적이면서도 전문적이고 신속한 의사 결정이 가능한 ICT 기업으로 거듭나게 될 것”이라고 밝혔다.

한편 이어 개최된 이사회에서는 임시주주총회를 통해 사내이사로 선임된 조성완 CRM부문 사장이 신임 각자 대표이사로 선임됐다.

조성완 신임 대표는 CRM 분야 사업 총괄을 맡아 현 성상윤 대표이사와 함께 2인 체제로 회사를 이끌 예정이다.

조 대표는 “미래의 CRM 사업은 AI, 빅데이터 등 혁신 기술을 빠르게 적용한 기업들의 각축전이 될 것”이라며 “세계 최고의 IT기업인 아마존웹서비스 등과 협업해 국내 최초 클라우드 컨택센터 서비스를 선보인 한국코퍼레이션이 컨택센터 산업을 주도하게 될 것”이라고 포부를 밝혔다.

이어 “ICT 물적 분할 계획 승인으로 신속한 구조개편이 가능해졌다”며 “이는 결국 매출 및 영업이익 증대와 연결돼 주주가치 제고 등에 긍정적인 영향을 끼칠 것”이라고 덧붙였다.

김대웅 (daxiong@edaily.co.kr)

네이버 홈에서 ‘이데일리’ 뉴스 [구독하기▶]
꿀잼가득 [영상보기▶] , 청춘뉘우스~ [스냅타임▶]


＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
한국코퍼레이션,연합뉴스,2019.09.27. 오전 11:24,"한국코퍼레이션, 성상윤·조성완 각자대표 체제로 변경","(서울=연합뉴스) 황재하 기자 = 한국코퍼레이션은 종전 성상윤 대표이사 체제에서 성상윤·조성완 각자 대표이사 체제로 변경했다고 27일 공시했다.

jaeh@yna.co.kr

▶확 달라진 연합뉴스 웹을 만나보세요

▶네이버 [연합뉴스] 채널 구독 ▶뭐 하고 놀까? #흥"
한국코퍼레이션,아시아경제,2019.09.27. 오전 11:26,"[공시＋]한국코퍼레이션, ICT분야 물적분할…각자대표 체제로 전환","[아시아경제 금보령 기자] 한국코퍼레이션은 임시주주총회 및 이사회를 개최해 ICT 분야 물적 분할 계획 승인을 결의했다고 27일 공시했다.

이에 따라 ICT 전문기업인 한국클라우드가 새로 만들어진다. 한국코퍼레이션은 해당 분야 사업을 한국클라우드로 이관하는 구조개편을 실시할 계획이다. 이관 예정일은 11월1일이다. 한국클라우드 사내이사로 김현겸, 성상윤, 이봉기, 김재욱 등 네 명이 선임된다. 초대 대표는 김현겸 한국코퍼레이션 부회장이 맡는다.

한국코퍼레이션 관계자는 ""신설 법인인 한국클라우드는 기존 CRM 분야 중심의 솔루션 개발에 국한하지 않고 ICT 전 분야로 사업영역을 확대할 계획""이라며 ""특히 독립적이면서도 전문적이고 신속한 의사 결정이 가능한 ICT 기업으로 거듭나게 될 것""이라고 설명했다.

이어 임시주총에서 사내이사로 선임된 조성완 CRM부문 사장이 신임 각자 대표로 선임됐다. 조 신임 대표는 CRM 분야 사업 총괄을 맡아 성상윤 대표와 함께 회사를 운영한다.

조 신임 대표는 ""미래의 CRM 사업은 인공지능(AI), 빅데이터 등 혁신 기술을 빠르게 적용한 기업들의 각축전이 될 것""이라며 ""세계 최고의 IT기업인 아마존웹서비스(AWS)등과 협업해 국내 최초 클라우드 컨택센터 서비스를 선보인 한국코퍼레이션이 컨택센터 산업을 주도하게 될 것""이라고 말했다.

금보령 기자 gold@asiae.co.kr

▶ 신강재강(身强財强) 해야 부자사주라고? 나는?
▶ 경제 감각을 키우고 싶다면? ▶ 재미와 지식이 가득한 '과학을읽다'

<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제 무단전재 배포금지>"
한국코퍼레이션,아시아경제,2019.09.27. 오전 11:32,"한국코퍼레이션, 대표 성상윤→성상윤·조성완","[아시아경제 문채석 기자]한국코퍼레이션은 조성완 신임 대표 취임으로 성상윤 단독대표 체제에서 성 대표·조 대표 각자대표 체제로 바꾸기로 했다고 27일 공시했다.

문채석 기자 chaeso@asiae.co.kr

▶ 신강재강(身强財强) 해야 부자사주라고? 나는?
▶ 경제 감각을 키우고 싶다면? ▶ 재미와 지식이 가득한 '과학을읽다'

<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제 무단전재 배포금지>"
한국코퍼레이션,매일경제,2019.09.27. 오전 11:33,"한국코퍼레이션, 임시주총 개최…조성완 사장 각자 대표이사 선임","ICT 물적 분할 승인…""구조개편 가속화""

한국코퍼레이션은 27일 한국코퍼레이션 본사에서 임시주주총회와 이사회를 개최해 ICT 분야 물적 분할 계획 승인 및 신임 각자 대표를 선임했다고 공시했다.

이날 오전에 개최된 임시주주총회에서는 ICT 분야 물적 분할을 단행하는 분할계획서 승인과, 조성완 현 CRM부문 사장의 사내이사 선임 건이 결의됐다.

분할계획 승인에 따라 ICT 전문기업인 한국클라우드가 신규 설립된다. 회사는 해당 분야의 사업을 한국클라우드로 이관하는 구조개편을 실시할 예정이다. 이관 예정일은 오는 11월 1일이다.

한국클라우드의 사내이사로 김현겸, 성상윤, 이봉기, 김재욱 등 4인의 선임이 예정됐으며 초대 대표이사는 김현겸 한국코퍼레이션 부회장이 맡을 것으로 알려졌다.

회사 관계자는 ""신설 법인인 한국클라우드는 기존 CRM 분야 중심의 솔루션 개발에 국한하지 않고, ICT 전 분야로 사업영역을 확대할 계획""이라며 ""특히 독립적이면서도 전문적이고 신속한 의사 결정이 가능한 ICT 기업으로 거듭나게 될 것""이라고 말했다.

한편 이어 개최된 이사회에서는 임시주주총회를 통해 사내이사로 선임된 조성완 CRM부문 사장을 신임 각자 대표이사로 선임했다. 조 신임대표는 CRM 분야 사업 총괄을 맡아 현 성상윤 대표이사와 함께 2인 체제로 회사를 이끌 계획이다.

[디지털뉴스국 김경택 기자]

▶네이버 메인에서 '매일경제'를 받아보세요
▶뉴스레터 '매콤달콤' 구독 ▶무궁무진한 프리미엄 읽을거리
[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
한국코퍼레이션,머니S,2019.09.27. 오전 11:34,"한국코퍼레이션, 조성완 사장 각자 대표이사 선임","조성완 한국코퍼레이션 신임 각자 대표이사. /사진제공=한국코퍼레이션
코스닥 상장사 한국코퍼레이션은 27일 한국코퍼레이션 본사에서 임시주주총회와 이사회를 개최해 ICT분야 물적 분할 계획 승인 및 신임 각자 대표 선임을 결의했다고 공시했다.

이날 오전에 개최된 임시주주총회에서는 ICT분야 물적 분할을 단행하는 분할계획서 승인과 조성완 현 CRM부문 사장의 사내이사 선임 건이 결의됐다.

분할계획 승인에 따라 ICT 전문기업인 한국클라우드가 신규 설립된다. 회사는 해당 분야의 사업을 한국클라우드로 이관하는 구조개편을 실시할 예정이다. 이관 예정일은 오는 11월1일이다.

한국클라우드의 사내이사로 김현겸, 성상윤, 이봉기, 김재욱 등 4인의 선임이 예정됐으며 초대 대표이사는 김현겸 한국코퍼레이션 부회장이 맡을 것으로 알려졌다.

회사 관계자는 “신설 법인인 한국클라우드는 기존 CRM 분야 중심의 솔루션 개발에 국한하지 않고 ICT 전 분야로 사업영역을 확대할 계획”이라며 “특히 독립적이면서도 전문적이고 신속한 의사 결정이 가능한 ICT 기업으로 거듭나게 될 것”이라고 밝혔다.

한편 이어 개최된 이사회에서는 임시주주총회를 통해 사내이사로 선임된 조성완 CRM부문 사장이 신임 각자 대표이사로 선임됐다.

조성완 신임대표는 CRM 분야 사업 총괄을 맡아 현 성상윤 대표이사와 함께 2인 체제로 회사를 이끌 것으로 알려졌다.

조 신임대표는 “미래의 CRM 사업은 AI, 빅데이터 등 혁신 기술을 빠르게 적용한 기업들의 각축전이 될 것”이라며 “세계 최고의 IT기업인 아마존웹서비스(AWS)등과 협업해 국내 최초 클라우드 컨택센터 서비스를 선보인 한국코퍼레이션이 컨택센터 산업을 주도하게 될 것”이라고 밝혔다.

그는 이어 “ICT 물적 분할 계획 승인으로 신속한 구조개편이 가능해졌다”면서 “이는 결국 매출 및 영업이익 증대와 연결돼 주주가치 제고 등에 긍정적인 영향을 끼칠 것”이라고 덧붙였다.

박성필 기자 feelps@mt.co.kr

▶ 영상으로 보는 고수들의 재테크 비법 ▶ 박학다식 '이건희칼럼'

<저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스' 머니S, 무단전재 및 재배포 금지>"
한국코퍼레이션,경향신문,2019.09.27. 오후 12:18,"한국코퍼레이션, 조성완 사장 각자 대표이사 선임...ICT 물적 분할 승인으로 구조개편 가속화","조성완 한국코퍼레이션 신임 각자대표이사


코스닥 상장사 한국코퍼레이션(050540)이 27일 한국코퍼레이션 본사에서 임시주주총회와 이사회를 통해 ICT 분야 물적 분할 계획 승인 및 신임 각자 대표 선임을 결의했다고 공시했다.

이날 오전에 개최된 임시주주총회에서는 ICT 분야 물적 분할을 단행하는 분할계획서 승인과, 조성완 현 CRM부문 사장의 사내이사 선임 건이 결의됐다.

분할 계획 승인에 따라 ICT 전문기업인 한국클라우드가 신규 설립된다. 회사는 해당 분야의 사업을 한국클라우드로 이관하는 구조개편을 실시할 예정이다. 이관 예정일은 오는 11월 1일이다.

한국클라우드의 사내이사로 김현겸, 성상윤, 이봉기, 김재욱 등 4인의 선임이 예정됐으며 초대 대표이사는 김현겸 한국코퍼레이션 부회장이 맡을 것으로 알려졌다.

한국코퍼레이션 관계자는 “신설 법인인 한국클라우드는 기존 CRM 분야 중심의 솔루션 개발에 국한하지 않고, ICT 전 분야로 사업영역을 확대할 계획”이라며 “특히 독립적이면서도 전문적이고 신속한 의사 결정이 가능한 ICT 기업으로 거듭나게 될 것”이라고 밝혔다.

이어 개최된 이사회에서는 임시주주총회를 통해 사내이사로 선임된 조성완 CRM부문 사장이 신임 각자 대표이사로 선임됐다. 조성완 신임대표는 CRM 분야 사업 총괄을 맡아 현 성상윤 대표이사와 함께 2인 체제로 회사를 이끌 것으로 알려졌다.

조 신임대표는 “미래의 CRM 사업은 AI, 빅데이터 등 혁신 기술을 빠르게 적용한 기업들의 각축전이 될 것”이라며 “세계 최고의 IT기업인 아마존웹서비스(AWS)등과 협업해 국내 최초 클라우드 컨택센터 서비스를 선보인 한국코퍼레이션이 컨택센터 산업을 주도하게 될 것”이라고 포부를 밝혔다.


▶ 네이버 메인에서 경향신문 받아보기
▶ 두고 두고 읽는 뉴스 ▶ 인기 무료만화



©경향신문(www.khan.co.kr), 무단전재 및 재배포 금지"
한국코퍼레이션,이데일리,2019.09.27. 오후 12:51,"한국코퍼레이션, 성상윤·조성완 각자 대표 체제로 변경","[이데일리 박태진 기자] 한국코퍼레이션(050540)은 성상윤 단독 대표 체제에서 성상윤·조성완 각자 대표 체제로 변경하기로 했다고 27일 공시했다.

박태진 (tjpark@edaily.co.kr)

네이버 홈에서 ‘이데일리’ 뉴스 [구독하기▶]
꿀잼가득 [영상보기▶] , 청춘뉘우스~ [스냅타임▶]


＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
한국코퍼레이션,아이뉴스24,2019.09.27. 오후 1:18,"한국코퍼레이션, 조성완 사장 각자 대표이사 선임","ICT 물적 분할 승인으로 구조개편 가속화
[아이뉴스24 장효원 기자] 코스닥 상장사 한국코퍼레이션은 27일 본사에서 임시주주총회와 이사회를 개최해 ICT 분야 물적 분할 계획 승인 및 신임 각자 대표 선임을 결의했다고 공시했다.

이날 오전 개최된 임시주주총회에서는 ICT 분야 물적 분할을 단행하는 분할계획서 승인과, 조성완 현 CRM부문 사장의 사내이사 선임 건이 결의됐다.

분할계획 승인에 따라 ICT 전문기업인 한국클라우드가 신규 설립된다. 회사는 해당 분야의 사업을 한국클라우드로 이관하는 구조개편을 실시할 예정이다. 이관 예정일은 오는 11월1일이다.

한국클라우드의 사내이사로 김현겸, 성상윤, 이봉기, 김재욱 등 4인의 선임이 예정됐으며 초대 대표이사는 김현겸 한국코퍼레이션 부회장이 맡을 것으로 알려졌다.

회사 관계자는 “신설 법인인 한국클라우드는 기존 CRM 분야 중심의 솔루션 개발에 국한하지 않고, ICT 전 분야로 사업영역을 확대할 계획”이라며 “특히 독립적이면서도 전문적이고 신속한 의사 결정이 가능한 ICT 기업으로 거듭나게 될 것”이라고 밝혔다.

한편 이어 개최된 이사회에서는 임시주주총회를 통해 사내이사로 선임된 조성완 CRM부문 사장이 신임 각자 대표이사로 선임됐다.

조성완 신임대표는 CRM 분야 사업 총괄을 맡아 현 성상윤 대표이사와 함께 2인 체제로 회사를 이끌 것으로 알려졌다.

조 신임대표는 “미래의 CRM 사업은 AI, 빅데이터 등 혁신 기술을 빠르게 적용한 기업들의 각축전이 될 것”이라며 “세계 최고의 IT기업인 아마존웹서비스(AWS)등과 협업해 국내 최초 클라우드 컨택센터 서비스를 선보인 한국코퍼레이션이 컨택센터 산업을 주도하게 될 것”이라고 밝혔다.

그는 이어 “ICT 물적 분할 계획 승인으로 신속한 구조개편이 가능해졌다”며 “이는 결국 매출 및 영업이익 증대와 연결돼 주주가치 제고 등에 긍정적인 영향을 끼칠 것”이라고 덧붙였다.

장효원기자 specialjhw@inews24.com


▶네이버 채널에서 '아이뉴스24'를 구독해주세요.

▶아이뉴스TV에서 부동산 고수를 만나보세요.

[ⓒ 아이뉴스24 무단전재 및 재배포 금지]"
한국코퍼레이션,한국경제TV,2019.09.27. 오후 1:46,"한국코퍼레이션, 임시주총 및 이사회 열어 '조성완 사장 각자 대표이사 선임'...""ICT 물적 분할 승인으로 구조개편 가속화""","코스닥 상장사 한국코퍼레이션(050540)은 27일 한국코퍼레이션 본사에서 임시주주총회와 이사회를 개최해 ICT 분야 물적 분할 계획 승인 및 신임 각자 대표 선임을 결의했다고 공시했다.

이날 오전에 개최된 임시주주총회에서는 ICT 분야 물적 분할을 단행하는 분할계획서 승인과, 조성완 현 CRM부문 사장의 사내이사 선임 건이 결의됐으며, 분할계획 승인에 따라 ICT 전문기업인 한국클라우드가 신규 설립된다. 회사는 해당 분야의 사업을 한국클라우드로 이관하는 구조개편을 실시할 예정이다. 이관 예정일은 오는 11월 1일이다.

한국클라우드의 사내이사로 김현겸, 성상윤, 이봉기, 김재욱 등 4인의 선임이 예정됐으며 초대 대표이사는 김현겸 한국코퍼레이션 부회장이 맡을 것으로 알려졌다.

회사 관계자는 ""신설 법인인 한국클라우드는 기존 CRM 분야 중심의 솔루션 개발에 국한하지 않고, ICT 전 분야로 사업영역을 확대할 계획""이라며 ""특히 독립적이면서도 전문적이고 신속한 의사 결정이 가능한 ICT 기업으로 거듭나게 될 것""이라고 밝혔다.

한편 이어 개최된 이사회에서는 임시주주총회를 통해 사내이사로 선임된 조성완 CRM부문 사장이 신임 각자 대표이사로 선임됐다. 조성완 신임대표는 CRM 분야 사업 총괄을 맡아 현 성상윤 대표이사와 함께 2인 체제로 회사를 이끌 것으로 알려졌다.

조 신임대표는 ""미래의 CRM 사업은 AI, 빅데이터 등 혁신 기술을 빠르게 적용한 기업들의 각축전이 될 것""이라며 ""세계 최고의 IT기업인 아마존웹서비스(AWS)등과 협업해 국내 최초 클라우드 컨택센터 서비스를 선보인 한국코퍼레이션이 컨택센터 산업을 주도하게 될 것""이라고 포부를 밝혔다.

이어 그는 ""ICT 물적 분할 계획 승인으로 신속한 구조개편이 가능해졌다""면서 ""이는 결국 매출 및 영업이익 증대와 연결돼 주주가치 제고 등에 긍정적인 영향을 끼칠 것""이라고 덧붙였다.



▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]
▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]

ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
