종목명,신문사,시간,제목,본문
스틸플라워,이데일리,2016.09.29. 오전 11:12,"스틸플라워 ""내진 건축용 파이프 생산…수혜 기대""","[이데일리 박형수 기자] 최근 연이은 지진 발생으로 내진 제품에 대한 관심이 커지는 가운데 내진 건축용 파이프를 생산하는 스틸플라워(087220)가 주목을 받고 있다.

스틸플라워는 후육관 사업부문에서 약 331억원의 수주잔고를 보유하고 있다고 29일 밝혔다. 최근 계속된 지진으로 내진 건축용 강관 제품에 대한 시장이 열리고 있기 때문에 추가적인 수주를 확보할 것으로 기대했다.

스틸플라워는 후육강관을 생산·판매하는 업체다. 후육강관은 두께가 20~140mm인 특수강관으로 전 세계 강관산업에서 약 5% 정도의 틈새시장을 형성하고 있다. 특히 최종 수요자의 요구에 맞게 제작하는 사업 특성상 다품종 소량생산 형태의 산업구조를 보유하고 있다. 세계적으로 일부 업체만 후육강관을 생산하고 있다.

스틸플라워는 핵심공정에 필요한 가공기술을 지속적으로 개발하고 있다. 지난 2012년에는 내진건축과 하중이 큰 구조물에 사용하는 냉간 프레스 성형 각형강관 신제품을 개발했다. 국내 한국산업표준(KS규격)은 물론 일본공업규격(JIS) 인증도 취득했다. JIS는 일본뿐만 아니라 세계 시장에서도 통용돼 전세계 수출이 가능하다.

회사 관계자는 “국내는 아직 대부분 H빔을 쓰고 있고 내진설계가 필요한 건축물에는 각형강관을 부분적으로 사용하고 있다”고 말했다.

그는 이어 “내년부터 2층 이상 건축물에 내진 설계를 의무적으로 적용해야 한다”며 “시장 수요가 증가할 것”이라고 강조했다.

박형수 (parkhs@edaily.co.kr)



＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
스틸플라워,머니투데이,2016.09.30. 오전 10:01,"스틸플라워, 유증 1차 발행가액 669원 결정","[머니투데이 김주현 기자] 스틸플라워가 유상증자 1차발행가액을 주당 669원으로 결정했다고 30일 공시했다.


[이코노미스트들의 깊이있는 투자정보 'TOM칼럼'][부자들에게 배우는 성공 노하우 '줄리아 투자노트' ][내 삶을 바꾸는 정치뉴스 'the 300']

김주현 기자 naro@

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
스틸플라워,뉴시스,2016.09.30. 오전 10:39,"스틸플라워, 유증 1차 발행가액 669원","【서울=뉴시스】최예린 기자 = 스틸플라워(087220)는 유상증자 1차 발행가액을 669원으로 결정했다고 30일 공시했다.

yerin_choi@newsis.com

뉴시스 뉴스, 네이버 뉴스 스탠드에서도 만나세요

뉴시스 SNS [페이스북] [트위터]

<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
스틸플라워,머니투데이,2016.09.30. 오후 4:11,"스틸플라워, 내달 4일 권리락","[머니투데이 김주현 기자] 스틸플라워가 유상증자를 이유로 다음달 4일 권리락이 실시된다고 30일 공시했다. 권리락 기준가는 주당 961원이다.

[이코노미스트들의 깊이있는 투자정보 'TOM칼럼'][부자들에게 배우는 성공 노하우 '줄리아 투자노트' ][내 삶을 바꾸는 정치뉴스 'the 300']

김주현 기자 naro@

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
스틸플라워,한국경제,2016.09.30. 오후 10:36,[코스닥 메모] (10월 4일) 유상권리락=스틸플라워 등,"◇유상권리락=스틸플라워
◇일반공모청약=세진전자 에스에스컴텍
◇공모주청약=앤디포스(미래에셋대우) 잉글우드랩(하나)


[한경닷컴 바로가기] [스내커] [모바일한경 구독신청]
ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
스틸플라워,전자신문,2016.10.04. 오전 10:09,"[@테마]가스관 관련주테마, 스틸플라워, 하이스틸 중심으로 강세","금일 현재, 가스관 관련주테마가 전일대비 3.17% 상승하며 강세를 보이고 있다. 상승폭으로는 스틸플라워 5.1%로 선두권에 있으며 하이스틸(2.93%), 대동스틸(2.7%)도 강세이다.

[테마내 주요종목 시세]
* 스틸플라워 : 1,010원 (▲160)
*하이스틸:22,850원 (▲650)
*대동스틸:4,375원 (▲115)

[테마내 주요종목 재무요약]
* 스틸플라워 : 영업이익률 현재 -16.1%로 업종평균 하회. PBR은 0.64로 다소 낮은편

* 하이스틸 : 영업이익률 현재 -1.34%로 업종평균 하회. PBR은 0.36으로 다소 낮은편

* 대동스틸 : 영업이익률 현재 3.86%로 업종평균 수준. PBR은 0.78로 다소 낮은편

[테마내 종목별 외국인 지분변동]
* 하이스틸 : 최근 2주간 0.12%증가하여 현재 보유율은 1.25%

* 대동스틸 : 최근 2주간 -1.32%감소하여 현재 보유율은 5.56%


증시분석 전문기자 로봇 ET etbot@etnews.com
전자신문과 씽크풀의 증시분석 전문기자 로봇 ET가 쓴 기사입니다

▶ 전자신문 공식 페이스북
▶ 전자신문 바로가기
[Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
스틸플라워,전자신문,2016.10.04. 오전 10:57,[@테마]가스관 관련주 테마_스틸플라워 변동성 대비 상승률 최대,"   ◆가스관 관련주 테마 동향_스틸플라워 3.64%로 테마 내 상승 최대

이 시각 현재 가스관 관련주 테마 내의 종목들이 모두 상승세를 보이며 좋은 모습을 보여주고 있다. 가스관 관련주 테마지수는 1084.09p로 전일보다 2.74% 상승하며 견조한 상승세를 나타내고 있는데 , 최근 10일 동안에는 2.56% 상승하는 모습이다. 당일 테마 내 종목현황을 살펴보면 스틸플라워, 하이스틸, 동양철관이 각각 3.64%, 2.7%, 2.34% 오르며 상승세를 이끌고 있다.



가스관 관련주(지수:1084.09 전일비:▲2.74%)
◆테마구성종목
종목명 현재가 전일비 등락율 거래량
스틸플라워 996 ▲-174 3.6% 1,677,713
하이스틸 22,800 ▲600 2.7% 10,711
동양철관 1,530 ▲35 2.3% 729,346
대동스틸 4,355 ▲95 2.2% 170,648
 [최근 10거래일 수익률 비교 곡선]
 ◆가스관 관련주 테마 동조화 분석_주도주 찾기 힘들어

가스관 관련주 테마 내 종목들은 최근 20거래일(4주) 사이에 일곱 번 동조화 현상을 보여주었는데, 테마에 따라서 종목들이 뭉쳐서 움직이는 경향을 강하게 드러냈다. 테마가 뚜렷하게 동조화 현상을 보이며 움직인 날만을 5일간 모아 등락률을 살펴봤을 때, 상승하면서 동조화 모습을 보인 경우가 더 많았고, 이는 테마에 대해 우호적인 환경이 조성되어 있어 관심을 가질 필요가 있다는 것을 의미한다. 종목별로는 특별히 동테마 내에서 주도적으로 움직인 종목을 찾기가 어렵다.

상승순위(등락률%)
일자 동양철관 대동스틸 하이스틸 스틸플라워 테마지수
10/04 4(2.34) 5(2.23) 3(2.7) 1(3.64) 2(2.74)
09/29 2(3.08) 1(3.2) 3(2.51) 5(0.44) 4(2.29)
09/22 4(-3.57) 5(-4.16) 2(-2.41) 1(-0.88) 3(-2.77)
09/21 2(6.94) 1(30) 3(6.54) 5(1.33) 4(3.66)
09/20 5(0.35) 2(3.64) 3(3.38) 1(5.14) 4(3.09)
전체순위 4 3 2 1 5
※ 전체순위는 각 종목의 순위 합계가 낮은 순으로 정함.
 ◆가스관 관련주 테마 종목 종합평가_스틸플라워 변동성 대비 상승률 최대

전체적인 평가에서는 스틸플라워가 높은 순위를 차지했다. 최근 10거래일(2주)을 분석했을때, 대동스틸(21.98%)의 상승률이 상대적으로 큰 것으로 나타났다. 위험도 분석에서는 스틸플라워(0.91), 하이스틸(0.73), 대동스틸(0.72)이 상대적으로 안정적인 수익을 올린 것으로 평가되고 변동성 대비 등락률을 구해보면 스틸플라워(7.09), 하이스틸(3.63), 동양철관(2.3)이 좋은 모습을 보였다.

등락률, 변동성(%)
동양철관 대동스틸 하이스틸 스틸플라워 테마지수
등락률 6.62 21.98 10.15 13.31 13.48
변동성 2.87 10.09 2.8 1.88 3.94
위험도 0.68 0.72 0.73 0.91 0.76
전체순위 5 4 2 1 3
※ 전체순위는 동조화, 등락률, 위험도, 변동성 대비 등락률의 순위를 더해 낮은 순으로 정함.
※ 변동성은 10일간의 표준편차임. 변동성이 클수록 주가는 평균 등락률을 중심으로 넓게 분포.
※ 위험도 = 상승합 / (상승합 + |하락합|), [1(안전) <--> 0.5(중립) <--> 0(위험)]
 

증시분석 전문기자 로봇 ET etbot@etnews.com
전자신문과 씽크풀의 증시분석 전문기자 로봇 ET가 쓴 기사입니다

▶ 전자신문 공식 페이스북
▶ 전자신문 바로가기
[Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
스틸플라워,전자신문,2016.10.04. 오전 11:03,[@테마]가스관 관련주 테마_스틸플라워 변동성 대비 상승률 최대,"이 시각 현재 가스관 관련주 테마 내의 종목들이 모두 상승세를 보이며 좋은 모습을 보여주고 있다. 가스관 관련주 테마지수는 1084.09p로 전일보다 2.74% 상승하며 견조한 상승세를 나타내고 있는데 , 최근 10일 동안에는 2.56% 상승하는 모습이다. 당일 테마 내 종목현황을 살펴보면 스틸플라워, 하이스틸, 동양철관이 각각 3.64%, 2.7%, 2.34% 오르며 상승세를 이끌고 있다.

[*가스관 관련주테마
1084.09p(+2.74%)]
------
종목명/등락율
------
스틸플라워/ +3.64%
하이스틸/ +2.7%
동양철관/ +2.34%
------


증시분석 전문기자 로봇 ET etbot@etnews.com
전자신문과 씽크풀의 증시분석 전문기자 로봇 ET가 쓴 기사입니다

▶ 전자신문 공식 페이스북
▶ 전자신문 바로가기
[Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
스틸플라워,파이낸셜뉴스,2016.10.14. 오전 10:03,[fnRASSI]스틸플라워(087220) 전일대비 5.85% 상승,"스틸플라워(087220)는 현재 주가가 전일 대비 5.85% 상승한 1,050원 선에서 거래가 이루어지고 있다.
주요 투자주체는 개인투자자
최근 한달간 주체별 거래비중을 살펴보면 개인이 96.18%로 가장 높은 참여율을 보였고, 외국인이 3.77%를 보였으며 기관은 0.04%를 나타냈다. 그리고 최근 5일간 거래비중은 개인 비중이 93.86%로 가장 높았고, 외국인이 5.8%로 그 뒤를 이었다. 기관은 0.32%를 나타냈다.
지표
항목
값
종합점수
성장성
매출액증가율
-0.45
0.68
자기자본증가율
-0.24
안정성
부채비율
241.32
2.54
유동비율
55.54
이익안정성
3.61
수익성
ROA
-9.38
0.74
ROE
-32.02
영업이익율
-13.36

스틸플라워의 퀀트 재무 점수는 3.96점으로 지난 분기에 비해 성장성 점수가 하락했다. 이는 매출액 증가율과 자기자본 증가율이 감소하였기 때문이다. 안정성 종합 점수는 부채비율 증가, 유동비율 감소로 하락했다. 수익성 측면에서 볼때 ROA, ROE, 영업이익률 모두 하락하여 이전보다 낮은 점수를 받았다.





'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI


▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
스틸플라워,전자신문,2016.10.14. 오전 11:09,"[@테마]가스관 관련주테마, 스틸플라워, 동양철관 중심으로 강세","금일 현재, 가스관 관련주테마가 전일대비 3.49% 상승하며 강세를 보이고 있다. 상승폭으로는 스틸플라워 12.9%로 선두권에 있으며 동양철관(0.68%)도 강세이다. 반면, 하이스틸(-1.13%)은 약세권에 머물러 있다.

[테마내 주요종목 시세]
* 스틸플라워 : 1,120원 (▲128)
*동양철관:1,480원 (▲10)

[테마내 주요종목 재무요약]
* 스틸플라워 : 영업이익률 현재 -16.1%로 업종평균 하회. PBR은 0.54로 다소 낮은편

* 동양철관 : 영업이익률 현재 -2.37%로 업종평균 하회. PBR은 1.53임.



[테마내 종목별 외국인 지분변동]
* 동양철관 : 최근 2주간 -1.77%감소하여 현재 보유율은 0.46%


증시분석 전문기자 로봇 ET etbot@etnews.com
전자신문과 씽크풀의 증시분석 전문기자 로봇 ET가 쓴 기사입니다

▶ 전자신문 공식 페이스북
▶ 전자신문 바로가기
[Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
