종목명,신문사,시간,제목,본문
지스마트글로벌,한국경제TV,2019.09.26. 오전 10:00,"지스마트글로벌, SoT 사업분야 본격 진출","-초지향성 사운드 기술 전문기업 제이디솔루션과 업무협약 체결

지스마트글로벌(대표이사 이주석)이 초지향성 사운드 기술 전문기업 제이디솔루션과SoT(Sound of Things) 사업 진출을 위한 협업을 공식 천명했다. 이번 협업으로 지스마트글로벌은 G-Glass를 통한 시각과 청각 정보를 함께 제공하는 스마트글라스미디어파사드를 구현할 수 있게 되었다.

제이디솔루션은 4차 산업의 핵심인 IoT(사물인터넷) 기술에 자체 개발한 독립음장 기술을 접목한 초지향성 사운드 기술을 보유한 유망 IT 기업이다. 올 1월 세계최대전자제품박람회인 ""CES 2019""에서 기술력을 인정받은 바 있다.

제이디솔루션의 초지향성 사운드 기술은 사용처에서 나오는 모든 소리를 기기와 연결하여 음파를 수집 후 특정지역 혹은 목표대상물 등에 필요한 정보만을 선택적으로 전달하고 불필요한 소리는 차단하는 방향성을 가진 사운드 기술이다. 360도에서 들리는 모든 소리를 제어, 소리가 들리는 범위와 거리를 설정할 수 있다.

업무협약에 따라 지스마트글로벌은 첨단 사운드 기술을 활용한 미디어 사업을 확대하고 회사의 영업 인프라 및 해외 JV들을 활용하여 국내외에 초지향성 사운드 제품 소개 및 홍보를 지원하게 된다. 제이디솔루션은 초지향성 사운드 기술을 G-Glass에 접목하여 관련 파생상품들을 개발하고 관련 사업에 대한 인력 및 기술을 제공하기로 하였다.

아울러 양사는 초지향성 사운드 시스템을 공공분야에서 활용하기 위하여 B2G 시범사업에 착수하기로 했다. 그 첫 번째 솔루션이 바로 초지향성 사운드 특성이 가미된 ""스마트 신호등(Smart Signal Light)""이다. 스마트 신호등은 교통사고를 미연에 방지해 주는 기술로서 스마트폰에 집중하느라 주위를 살피지 않는 보행자나 운전자가 횡단보도에 접근하면 해당 보행자와 운전자에게만 경고음이 들리게 한 것이다.

지스마트글로벌 이주석 대표는 ""초지향성 사운드 기술은 여러 공공분야에서 안전지킴이로서의 역할을 톡톡히 할 것""이라며 ""정부기관 및 지방 자치단체들과 협력하여 시민의 안전을 지키는 기업으로 거듭날 것""을 다짐했다.



▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]
▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]

ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
지스마트글로벌,한국경제,2019.09.26. 오전 11:01,"지스마트글로벌, 제이디솔루션과 업무협약 체결","지스마트글로벌과SoT(Sound of Things) 전문기업 제이디솔루션이 손을 잡고 공공분야 안전을 위한 B2G 사업에 착수하기로 했다.

양사는 초지향성 사운드 기술을 이용한 '스마트 신호등(Smart Signal Light)'을 통해 횡단보도나 차로 주변에서 스마트폰 등으로 인해 위험에 노출된 사용자에게 경고음 또는 경고방송을 함으로써 대형사고를 미연에 방지한다는 복안이다.

최근 '스몸비'가 새로운 교통사고의 블랙홀로 등장하고 있다. 스몸비란 스마트폰과 좀비를 합쳐 만든 새로운 조어로 스마트폰을 하느라 좀비처럼 걸어가는 사람을 지칭하는 말이다.

서울시의 보행자 교통사고 사망자 분석에 따르면 지난 2018년 교통사고 사망자 중 보행자 과실, 특히 스마트폰을 사용하다 발생한 건수가 60%를 상회했다.

이러한 상황에서 스마트 신호등에 거는 기대는 남다르다. 스마트 신호등에 적용된 초지향성 사운드 기술은 소리에 강한 지향성을 입힌 기술이다. 특정 공간에서 발생하는 모든 소리를 인식하여 목표로 하는 특정 대상물에만 필요한 정보를 전달하고, 그 외 불필요한 소음들은 제거해 주는 첨단 기술이다. 제이디솔루션은 올 1월 세계최대 전자제품박람회인 'CES 2019'에서 초지향성 사운드 기술력을 인정받은 바 있다.

지스마트글로벌은 제이디솔루션과 전방위적인 협업을 통해 SoT 사업 확장에 매진할 방침이다. 그 일환으로 G-Glass를 통한 시각과 음향 정보를 동시에 제공하는 스마트글라스미디어파사드 구현을 핵심 과제로 삼았다.

회사 관계자는 “제이디솔루션과의 협업으로 SoT 사업에 박차를 가할 수 있게 됐다”며 “앞으로 좋은 파트너십을 유지해 신개념의 미디어파사드 구현은 물론 콘텐츠 AEI(인공감성지능) 마케팅을 적극 추진해 나갈 것”이라고 말했다.

권유화 한경닷컴 기자 kyh1117@hankyung.com



▶ 네이버에서 한국경제 뉴스를 받아보세요
▶ 한경닷컴 바로가기 ▶ 모바일한경 구독신청

ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
지스마트글로벌,서울경제,2019.09.26. 오후 12:01,"지스마트글로벌, SoT 사업분야 진출 가시화","[서울경제] 초지향서 사운드 기술 앞세운스마트 신호등으로 공공안전 사업분야 진출 천명

지스마트글로벌(대표이사 이주석)이 초지향성 사운드 기술을 보유한 제이디솔루션과의 협업을 통하여 새로운 형태의 미디어파사드 시스템 구축에 나선다.

제이디솔루션의 초지향성 사운드 기술을 접목하여 사용자와의 직접적인 소통이 가능하도록 하겠다는 것이 회사의 설명이다.

이번 업무협약의 목적은 시각화 정보와 소리 정보를 함께 제공하는 시스템 사업을 진행하기 위한 사전 LOI 정도로 해석된다.

업무협약의 내용에 따르면 지스마트글로벌은 첨단 사운드 기술을 활용한 미디어 사업 확대하고 회사의 영업 인프라 및 해외 JV들을 활용하여 국내외에 초지향성 사운드 제품 소개 및 홍보를 지원하게 된다.

제이디솔루션은 초지향성 사운드 기술을 G-Glass에 접목하여 관련 파생상품들을 개발하고 관련 사업에 대한 인력 및 기술을 제공하기로 하였다.

또한 양사는 초지향성 사운드 시스템을 공공분야에서 활용하기 위하여 B2G 시범사업에 착수한다. 초지향성 사운드는 초음파를 이용한 진동으로 소리를 내기 때문에 초음파가 지나가는 구간에만 소리를 전달해 주변에 소음을 주지 않고 목표대상에게만 소리를 전달한다.

양사는 이러한 초지향성 사운드의 특성을 이용한 “스마트 신호등(Smart Signal Light)”을 선보이고 공공안전 사업을 진행한다. 스마트 신호등은 횡단보도나 차도 주변에서 안전불감으로 인하여 위험에 노출된 사용자에게 경고음 또는 경고방송을 송출하는 방식으로 대형사고를 미연에 방지할 수 있도록 한다.

회사 관계자는 “초지향성 음파 기술은 스마트 신호등 외에도 여러 공공분야에서 사고방지 역할이 뛰어날 것으로 기대하고 있다. 제이디솔루션과 함께 공공안전 사업을 위하여 지자체 및 공공기관 등과 협의를 지속해 나가 시민의 안전을 지키는 기업이 될 수 있도록 최선을 다하겠다.” 라고 밝혔다.


/김동호 기자 dongho@sedaily.com

[서울경제 바로가기]
▶ 텔레그램으로 서울경제 구독하기 | ▶ 네이버TV로 서울경제썸 구독하기
▶ 네이버 메인에서 'No. 1 뉴스' 서울경제를 만나보세요


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
지스마트글로벌,국민일보,2019.09.30. 오후 4:59,지스마트글로벌 주식회사 태영건설과 39억원 계약체결,"지스마트글로벌은 주식회사 태영건설과 39억원 규모의 계약을 체결했다고 30일에 공시했다.

이번 계약은 광명역세권복합단지 미디어파사드 공사이고 계약기간은 2019년 09월 27일부터 2021년 08월 31일까지이다.

계약규모는 39억원으로 최근 매출액인 315억원 대비 12.36% 수준이다.

한편, 지스마트글로벌은 장 마감 이후 해당 기업공시를 발표했으며 오늘 종가가 499원, 거래량은 1,061,293주로, 직전 거래일 대비 17원(-3.29%) 하락했다.


공시 전문으로 이동

스톡봇 기자

※ 이 기사는 국민일보와 엠로보가 개발한 증권뉴스 전용 인공지능 로봇 ‘스톡봇’이 금융감독원 전자공시시스템(DART)과 한국거래소(KRX) 데이터를 토대로 작성한 것입니다. 지속적인 업그레이드를 통해 더욱 풍부하고 정확한 내용을 담아 가겠습니다.

[국민일보 채널 구독하기]
[취향저격 뉴스는 여기] [의뢰하세요 취재대행소 왱]

GoodNews paper ⓒ 국민일보(www.kmib.co.kr), 무단전재 및 재배포금지"
지스마트글로벌,머니투데이,2019.09.30. 오후 5:02,"지스마트글로벌, 39억원 규모 공사수주","[머니투데이 주명호 기자] 지스마트글로벌은 태영건설과 39억원 규모의 광명역세권복합단지 미디어파사드 공사수주 계약을 체결했다고 30일 공시했다. 계약금은 최근 매출액의 12.36%에 해당한다.

주명호 기자 serene84@mt.co.kr

▶부잣집 며느리들의 말못할 사정 [변호사상담]
▶버핏의 6가지 지혜 [투자노트] ▶네이버 구독 추가

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
지스마트글로벌,한국경제,2019.09.30. 오후 5:05,지스마트글로벌 수주공시 - 광명역세권복합단지 미디어파사드 공사 39억원 (매출액대비 12.36%),"09월 30일 지스마트글로벌(114570)은 수주공시를 발표했다.

◆지스마트글로벌 수주공시 개요
- 광명역세권복합단지 미디어파사드 공사 39억원 (매출액대비 12.36%)

지스마트글로벌(114570)은 광명역세권복합단지 미디어파사드 공사에 관한 단일판매ㆍ공급계약체결을 30일에 공시했다.
계약 상대방은 주식회사 태영건설이고, 계약금액은 39억원 규모로 최근 지스마트글로벌 매출액 315.6억원 대비 약 12.36% 수준이다. 이번 계약의 기간은 2019년 09월 27일 부터 2021년 08월 31일까지로 약 1년 11개월이다.
한편 이번 계약수주는 2019년 09월 27일에 체결된 것으로 보고되었다.

차트


한편, 오늘 분석한 지스마트글로벌은 이미지센서 개발/설계 및 LED투명전광유리 제조업체로 알려져 있다.

한경로보뉴스

이 기사는 한국경제신문과 금융 AI 전문기업 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다.



▶ 네이버에서 한국경제 뉴스를 받아보세요
▶ 한경닷컴 바로가기 ▶ 모바일한경 구독신청

ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
지스마트글로벌,이데일리,2019.09.30. 오후 5:57,"지스마트글로벌, 39억원 규모 미디어파사드 공사계약","[이데일리 이후섭 기자] 지스마트글로벌(114570)은 태영건설과 39억원 규모의 광명역세권복합단지 미디어파사드 공사계약을 체결했다고 30일 공시했다. 이번 계약은 지난해 매출액의 12.36%에 해당하는 규모로, 계약기간은 2021년 8월 31일까지다.

이후섭 (dlgntjq@edaily.co.kr)

네이버 홈에서 ‘이데일리’ 뉴스 [구독하기▶]
꿀잼가득 [영상보기▶] , 청춘뉘우스~ [스냅타임▶]


＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
지스마트글로벌,이데일리,2019.10.01. 오후 5:05,"지스마트글로벌, 주주우선공모 유상증자 목표치 미달","[이데일리 최정희 기자] 지스마트글로벌(114570)은 주주 우선 공모 방식으로 유상증자를 추진했으나 청약율이 35.37%에 불과했다고 1일 밝혔다. 5300만주, 265억원을 발행할 예정이었으나 1875만주, 93억7300만원 규모만 모집됐다.

최정희 (jhid0201@edaily.co.kr)

네이버 홈에서 ‘이데일리’ 뉴스 [구독하기▶]
꿀잼가득 [영상보기▶] , 청춘뉘우스~ [스냅타임▶]


＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
지스마트글로벌,한국경제TV,2019.10.16. 오후 2:47,"지스마트글로벌, 상승출발 후 현재 +10.68%... 외국인 65,961주 순매수","[한국경제TV 라이온봇 기자]
지스마트글로벌


코스닥시장에서 지스마트글로벌(114570)이 장 막판에 큰 폭으로 상승했다.
1.5% 상승출발한 주가는 꾸준히 올라 오후 2시 47분 현재 전일대비 10.68% 수준인 518원을 기록하고 있다.
차트를 살펴보면 5일, 20일, 60일 이동평균선이 역배열인 상황에서 주가가 60일선까지 뚫으며 강한 상승 흐름을 보여주고 있다.

거래량은 전거래일 대비 245.0% 수준인 323만3635주를 넘어서고 있다.
이 종목 전체 주식수의 3.42%에 해당하는 물량이다.

[그래프]지스마트글로벌 일봉 차트


14시 15분 잠정집계에 따르면, 외국인이 지스마트글로벌을 65,961주 순매수 중이다.

[표] 거래원 상위(14:47 기준)
지스마트글로벌


이 시각 거래소에서 지스마트글로벌 이외에도 포시에스(12.74%), 자이글(22.09%), 에이치엘비생명과학(28.11%), 코너스톤네트웍스(15.02%), 동부제철(13.04%) 등이 상승세를 보이고 있다.

라이온봇 기자 -한국경제TV
※ 본 기사는 한국경제TV와 `금융 AI 전문기업 씽크풀`이 실시간으로 작성한 기사입니다.

라이온봇기자

▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]
▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]

ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
지스마트글로벌,한국경제,2019.10.16. 오후 2:51,"'지스마트글로벌' 10% 이상 상승, 주가 20일 이평선 상회, 단기·중기 이평선 역배열","◆ 차트 분석
- 주가 20일 이평선 상회, 단기·중기 이평선 역배열
이 시간 차트의 흐름은 중기적으로 역배열을 보이고 있지만 단기적으로 반등흐름이 나오면서 20일선을 넘어서는 모습이다.

이 종목의 차트에서 최근에 일목균형표 선행스팬 상향돌파(매수), 삼선전환도(양전환) 등을 확인할 수 있다

[그래프]지스마트글로벌 차트 분석


◆ 주체별 매매동향
- 외국인 6일 연속 순매수(70.4만주)
지난 한달을 기준으로 보면 외국인이 452.8만주를 순매도했고, 기관도 180.2만주를 순매도했지만, 개인은 오히려 454.0만주를 순매수했다. 같은 기간 이 종목의 거래비중은 외국인과 개인이 각각 14.9%, 79.7%로 비중이 높다.
한편 외국인은 이 종목에 대해서 최근 6일 연속 70.4만주 순매수를 하고 있다.

[그래프]지스마트글로벌 외국인/기관 매매동향


한경로보뉴스

이 기사는 한국경제신문과 금융 AI 전문기업 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다.



▶ 네이버에서 한국경제 뉴스를 받아보세요
▶ 한경닷컴 바로가기 ▶ 모바일한경 구독신청

ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
