종목명,신문사,시간,제목,본문
트루윈,파이낸셜뉴스,2016.10.04. 오후 2:59,"[특징주] 트루윈, 삼성전자 참여 커넥티드카 시장 성장 소식에 강세","삼성전자가 뛰어든 커넥티드 카 시장이 6100만대까지 증가할 것이라는 소식에 차량용 센서 생산업체인 트루윈이 상승세다.

4일 오후 2시53분 현재 트루윈은 전일대비 5.13% 오른 9010원에 거래되고 있다.

시장조사업체 가트너는 이날 내장형 커뮤니케이션 모듈이나 휴대용 기기 연결을 통해 데이터 통신 기능을 갖춘 신규 자동차 생산량이 올해 1200만4000대에서 2020년에는 6100만 대까지 증가할 것이라고 전망했다.

schatz@fnnews.com 신현보 기자

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
트루윈,전자신문,2017.01.23. 오후 4:03,"트루윈, 음식·화장실 냄새 제거…가정용 광촉매 출시","트루윈 직원들이 가정용 광촉매 제품 `미니제로 제로제로`를 소개하고 있다.

자동차용 변위 센서 전문 업체 트루윈(대표 남용현)이 가정용 광촉매 `미니제로 제로제로`를 출시했다고 23일 밝혔다.

미니제로 제로제로는 음식 냄새, 화장실, 담배 연기 등 각종 냄새와 새집증후군 등 건강을 위협하는 세균 제거에 효과가 있는 제품이다.

메탈 합금 담채에 이산화티타늄(TiO2)을 코팅해 탈취력, 살균력, 내구성이 뛰어나다. 화학 방식으로 만들어 영구로 사용할 수 있고, 인체에 해롭지 않다. 내장한 광촉매는 대기 정화, 탈취, 항균 기능이 뛰어나다. 냄새의 원인이 되는 유해물질을 분해, 냄새를 완전히 제거한다.

밀폐 공간에서 탈취력을 시험한 결과 포름알데히드, 암모니아, 아세트산, 아세트알데히드 등 30PPM 이상의 유해 물질이 60분 만에 10PPM으로 낮아졌다고 회사 측은 설명했다.

기존의 공기 정화기는 인체에 해로운 오존이 발생하지만 미니제로는 오존을 방출하지 않는다. 콤팩트한 사이즈로 휴대도 간편하다.

가정이나 병원, 요양원, 카페, 사무실, 공중 화장실 등에 광범위하게 활용할 수 있다. 흡연장 담배 연기, 실내 골프장의 탁한 공기 및 차량 냄새 제거에도 탁월하다. KC 인증과 산업통상자원부의 신기술(NET) 인증을 획득했다.

남용현 사장은 “광촉매 제품을 자동차용으로 개발했지만 효과가 입증돼 일반 민수용으로도 판매하게 됐다”면서 “제품은 각종 유해 물질에 노출된 현대인에게 쾌적한 환경을 제공할 것”이라고 설명했다.

대전=신선미기자 smshin@etnews.com
▶ 전자신문 인기 포스트
▶ 전자신문 공식 페이스북
▶ 전자신문 바로가기
[Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
트루윈,머니투데이,2017.02.08. 오후 12:01,"트루윈, 지난해 매출 435억…전년比 35.2%↑","[머니투데이 이재원 기자] 트루윈은 지난해 개별 기준 잠정 매출이 435억1651만원으로 전년대비 35.2% 증가했다고 8일 공시했다.

영업손실은 9억9024만원으로 지난해 대비 68.1% 감소했다. 당기순손실도 66.4% 감소한 12억6932만원이다.


[이코노미스트들의 깊이있는 투자정보 'TOM칼럼'][부자들에게 배우는 성공 노하우 '줄리아 투자노트' ][내 삶을 바꾸는 정치뉴스 'the 300']

이재원 기자 jaygoo@

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
트루윈,아시아경제,2017.02.08. 오후 1:38,"트루윈, 지난해 영업손 9억9000만원…적자 감소","[아시아경제 조강욱 기자] 트루윈은 지난해 개별 기준 영업손실이 9억9024만원으로 전년 대비 68.1% 감소했다고 8일 공시했다.

같은 기간 매출은 435억1651만원으로 35.2% 증가했고 당기순손실은 12억6932만원으로 66.4% 줄었다.



조강욱 기자 jomarok@asiae.co.kr

▶ 최강의 재미 [아시아경제 카드뉴스]
▶ 맛있는 레시피 ▶ 양낙규의 [군사이야기]

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
트루윈,뉴시스,2017.02.08. 오후 2:19,"트루윈, 지난해 영업손실 9.9억…전년比 68.1%↓","【서울=뉴시스】김주아 기자 = 전자부품 제조업체 트루윈(105550)은 개별재무제표 기준 지난해 영업손실이 9억9025만원으로 전년 대비 68.1% 감소한 것으로 잠정집계됐다고 8일 공시했다.

같은 기간 매출액은 435억1651만원으로 35.2% 늘었다. 당기순손실은 12억6933만원으로 66.4% 줄었다.

jua@newsis.com

뉴시스 뉴스, 네이버 뉴스 스탠드에서도 만나세요
뉴시스 SNS [페이스북] [트위터]

<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
트루윈,파이낸셜뉴스,2017.02.13. 오전 11:36,[fnRASSI]트루윈(105550) 전일대비 5.44% 상승,"트루윈(105550)은 현재 주가가 전일 대비 5.44% 상승한 7,750원 선에서 거래가 이루어지고 있다.

상장주식수 대비 거래량은 0.31%로 적정수준
최근 한달간 트루윈의 상장주식수 대비 거래량을 비교해보니 일별 매매회전율이 0.31%로 집계됐다. 그리고 동기간 장중 저점과 고점의 차이인 일평균 주가변동률을 2.96%를 나타내고 있다.

개인,외국인만 거래 참여
최근 한달간 주체별 거래비중을 살펴보면 개인이 96.36%, 외국인이 3.63%를 보였고, 기관은 거래참여가 없었다. 그리고 최근 5일간 거래비중은 개인이 96.08%, 외국인이 3.91%를 보였고, 기관은 거래참여가 없었다.

'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
트루윈,머니투데이,2017.02.14. 오후 5:01,트루윈 50억 규모 전환사채 발행 결정,"[머니투데이 김훈남 기자] 트루윈은 50억원 규모 전환사채를 발행하기로 결정했다고 14일 공시했다. 사채만기일은 2020년 2월16일이다. 전환가액은 7690원, 전환청구기간은 2018년 2월16일부터 2010년 1월16일까지다.
[이코노미스트들의 깊이있는 투자정보 'TOM칼럼'][부자들에게 배우는 성공 노하우 '줄리아 투자노트' ][내 삶을 바꾸는 정치뉴스 'the 300']

김훈남 기자 hoo13@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
트루윈,아시아경제,2017.02.14. 오후 5:20,"트루윈, 50억원 규모 전환사채 발행 결정","[아시아경제 원다라 기자]트루윈은 50억원 규모 전환사채를 발행하기로 결정했다고 14일 공시했다. 전환가액은 7690원, 사채만기일은 2020년 2월16일이다. 전환청구기간은 2018년 2월16일부터 2010년 1월16일까지다.



원다라 기자 supermoon@asiae.co.kr

▶ 최강의 재미 [아시아경제 카드뉴스]
▶ 맛있는 레시피 ▶ 양낙규의 [군사이야기]

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
트루윈,이데일리,2017.02.14. 오후 5:42,"트루윈, 50억 규모 전환사채 발행 결정","[이데일리 이명철 기자] 트루윈(105550)은 운영자금 조달을 위해 50억원 규모의 제7회차 무기명식 이권부 보증 사모 전환사채 발행을 결정했다고 14일 공시했다. 사채 만기이자율은 3%, 만기일 2020년 2월16일이다. 전환가액은 7690원이다.

이명철 (twomc@edaily.co.kr)



＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
트루윈,뉴시스,2017.02.14. 오후 6:55,"트루윈, 50억원 규모 전환사채 발행 결정","【서울=뉴시스】김주아 기자 = 전자부품 제조업체 트루윈(105550)은 운영자금 조달을 위해 50억원 규모의 전환사채를 발행한다고 14일 공시했다.

표면이자율과 만기이자율은 각각 1%, 3%다. 전환가액은 주당 7690원, 전환청구기간은 2018년 2월16일부터 2020년 1월16일까지다.

jua@newsis.com

뉴시스 뉴스, 네이버 뉴스 스탠드에서도 만나세요
뉴시스 SNS [페이스북] [트위터]

<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
