종목명,신문사,시간,제목,본문
엑스큐어,머니투데이,2020.04.20. 오후 4:22,"씨유메디칼·엑스큐어, 다담인베스트 인수.. ""VC 인수로 성장 촉진""","[머니투데이 황국상 기자] [씨유메디칼·엑스큐어 각각 20억씩 총 40억 출자해 다담인베스트 46% 인수]


응급의료기기 및 헬스케어 전문기업 씨유메디칼이 스마트카드 및 보안솔루션 전문 기업 엑스큐어(옛 한솔시큐어)와 함께 벤처투자회사 다담인베스트먼트를 인수한다.

씨유메디칼과 엑스큐어는 다담인베스트먼트의 최대주주인 지비홀딩스 발행주식 46.23%를 녹원씨엔아이로부터 양수한다. 씨유메디칼 등은 추가적인 지분취득을 통해 경영권 안정을 도모한다는 방침이다. 지비홀딩스는 다담인베스트먼트의 주식 76.57%를 보유하고 있다.

2013년 설립된 다담인베스트먼트는 1000억 이상의 운용자산을 보유 중이다. 씨유메디칼 관계자는 ""이번 인수는 씨유메디칼과 엑스큐어의 성장동력 강화를 위한 결정""이라고 밝혔다. 다담인베스트먼트는 씨유메디칼의 자회사 씨유헬스케어의 병원 MSO(경영지원서비스 사업) 확장과 엑스큐어의 신사업 진출을 위한 투자 조합 및 사모펀드(PEF)를 조성할 계획이다.

씨유헬스케어는 국내에 새로운 MSO사업을 선도하고 있다. 중소형 종합병원을 대상으로 관리, 구매, 유통, 마케팅 등 경영지원뿐만 아니라 자금조달, 리스 등 금융 분야 솔루션까지 제공하고 있다. MSO 협력병원의 부동산을 매입 후 임대해 병원에 재무 유동성을 제공하고, 최신 의료기기 리스 및 유지보수 서비스를 제공해 협력병원의 의료서비스 향상을 지원하고 있다.

회사 관계자는 “대형 종합병원 환자집중 현상이 두드러지며 중소형 종합병원의 전문적인 경영관리 및 재무구조 개선, 시설 및 장비 개선에 대한 수요가 증가하고 있다”며 “이런 상황에서 이번 다담인베스트먼트 인수를 통해 MSO사업을 확장하고, 중소형 종합병원의 경쟁력 강화를 지원하겠다”고 밝혔다.

한편 씨유메디칼은 최근 인수한 엑스큐어의 신규 성장동력 확충과 씨유메디칼과의 시너지 창출에 노력하고 있다. 엑스큐어는 씨유메디칼의 의료기기에 보안솔루션을 제공하기 위한 연구개발에 착수했다. 특히 계열사인 씨유에이아이써지칼이 참여중인 중국 의료용 수술로봇에 부품 개발 및 보안솔루션을 제공하기 위해 추가적인 투자가 필요하다고 밝혔다. 뿐만 아니라 기존 USIM 및 스마트카드 사업에서 확장된 신시장에 진출할 예정이다.

회사 관계자는 “최근 사모펀드 및 투자조합의 부정적인 이슈들이 발생하고 투자시장의 불확실성이 커진 상황에서, 회사의 성장동력 뿐만 아니라 사업의 안정성과 신뢰성을 바탕으로 투자자와 회사 모두 윈윈(win-win)할 수 있을 것”이라며 기대감을 드러냈으며, “회사가 갖고 있는 성장성과 안정성을 바탕으로 투자자에게 안정적인 수익을 제공할 수 있도록 최선을 다할 것” 이라고 했다.

황국상 기자 gshwang@mt.co.kr

▶줄리아 투자노트
▶조 변호사의 가정상담소 ▶머니투데이 구독하기

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
엑스큐어,조선비즈,2020.04.22. 오후 2:20,"엑스큐어, -9.90% VI 발동","엑스큐어가 VI가 발동했다. 전일 대비 9.90% 하락한 8,920원에 거래되고 있다.



엑스큐어의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 4,057주를 순매수했으며, 기관은 특별한 동향을 보이지 않았다. 같은 기간 주가는 1.54% 상승했다.

(단위: 원)
날짜 주가 등락률
04월 21일 9,900 -7.04%
04월 20일 10,650 +1.43%
04월 17일 10,500 0.00%
04월 16일 10,500 +7.69%
04월 14일 9,750 -19.42%


[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]




[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]

chosunbiz.com"
엑스큐어,파이낸셜뉴스,2020.04.22. 오후 3:38,"[fnRASSI]장마감, 코스닥 하락 종목(엑스큐어 -30.0% ↓)","22일 코스닥 시장에서 하락한 종목으로 엑스큐어(070300) -30.0%, 이더블유케이(258610) -29.7%, 나인테크(267320) -29.7% 등이 있다.



'fnRASSI'는 금융 AI 전문기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 헉! 소리나는 스!토리 뉴스 [헉스]
▶ '아는 척'하고 싶은 당신을 위한 [두유노우]

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
엑스큐어,조선비즈,2020.04.24. 오후 3:08,"엑스큐어, -9.22% VI 발동","엑스큐어가 VI가 발동했다. 전일 대비 9.22% 하락한 6,400원에 거래되고 있다.



엑스큐어의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 1,651주를 순매수했으며, 기관은 5,000주를 순매수 했다. 같은 기간 주가는 32.86% 하락했다.

(단위: 원)
날짜 주가 등락률
04월 23일 7,050 +1.73%
04월 22일 6,930 -30.00%
04월 21일 9,900 -7.04%
04월 20일 10,650 +1.43%
04월 17일 10,500 0.00%


[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]




[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]

chosunbiz.com"
엑스큐어,조선비즈,2020.06.03. 오후 12:12,"엑스큐어, -9.84% VI 발동","엑스큐어가 VI가 발동했다. 전일 대비 9.84% 하락한 6,050원에 거래되고 있다.



엑스큐어의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 16,189주를 순매수했으며, 기관은 127주를 순매도 했다. 같은 기간 주가는 5.89% 하락했다.

(단위: 원)
날짜 주가 등락률
06월 02일 6,710 -1.76%
06월 01일 6,830 -0.44%
05월 29일 6,860 -1.15%
05월 28일 6,940 -2.66%
05월 27일 7,130 -2.33%


[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]




[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]

chosunbiz.com"
엑스큐어,조선비즈,2020.06.15. 오후 3:16,"엑스큐어, -10.86% VI 발동","엑스큐어가 VI가 발동했다. 전일 대비 10.86% 하락한 5,090원에 거래되고 있다.



엑스큐어의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 10,807주를 순매도했으며, 기관은 5,000주를 순매도 했다. 같은 기간 주가는 2.06% 하락했다.

(단위: 원)
날짜 주가 등락률
06월 12일 5,710 -3.22%
06월 11일 5,900 -1.83%
06월 10일 6,010 -0.83%
06월 09일 6,060 +3.95%
06월 08일 5,830 +1.04%


[이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로 작성했습니다.]

[C-Biz봇]




[네이버 메인에서 조선비즈 받아보기]
[조선비즈 바로가기]

chosunbiz.com"
엑스큐어,아시아경제,2020.08.04. 오전 10:23,"엑스큐어, 70억 규모 공급계약 체결","[아시아경제 구은모 기자] 엑스큐어는 비코어와 70억8636만원 규모의 황사방역용 마스크 등 공급계약을 체결했다고 4일 공시했다. 계약금액은 지난해 매출액의 53.44% 규모이며, 계약기간은 오는 12월31일까지다.

구은모 기자 gooeunmo@asiae.co.kr

▶ 2020년 하반기, 재물운·연애운·건강운 체크!
▶ 네이버에서 아시아경제 뉴스를 받아보세요 ▶ 놀 준비 되었다면 드루와! 드링킷!

<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제 무단전재 배포금지>"
엑스큐어,헤럴드경제,2020.08.04. 오전 10:30,"엑스큐어, 71억 규모 황사방역용 마스크 공급계약","[헤럴드경제=증권부] 엑스큐어는 비코어와 황사방역용 마스크 등 공급계약을 체결했다고 4일 공시했다.

계약금액은 70억8636만원이며 이는 2019년 매출 대비 53.44%에 해당하는 규모이다.

계약기간은 12월 31일까지다.

totoro@heraldcorp.com

▶코리아헤럴드 플립화상영어 무료체험

▶헤럴드경제 네이버 채널 구독 ▶농수축산물 소비캠페인



- Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
엑스큐어,파이낸셜뉴스,2020.08.04. 오전 11:15,"엑스큐어, 70억원 규모 마스크 공급계약..지난해 매출 절반↑","""신규 사업 진출 첫걸음..추가 마스크 공급계약 체결 예정""
[파이낸셜뉴스]엑스큐어는 국내 유아용품 유통, 제조업체 비코어와 70억원 규모의 마스크 공급계약을 체결했다고 4일 공시했다. 이번 계약은 엑스큐어의 신규 사업인 MSO사업의 일환으로 추진됐으며 지난해 전체 매출액의 절반을 넘는 규모(53.44%)다. 계약기간은 지난 3일부터 12월 31일까지다.

MSO는 병원에 경영솔루션을 제공하는 사업이다. 현재 엑스큐어는 의약품, 의료기기유통 등 헬스케어 산업으로 사업을 넓혀나가고 있다.

엑스큐어 관계자는 이번 계약에 대해 ”의약품 및 의료소모품 유통 사업을 준비하는 과정에서 안정적인 마스크 공급처를 확보했고, 이를 바탕으로 계약을 체결할 수 있었다”며 “모회사인 씨유메디칼 및 국내외 관계사의 유통 네트워크를 활용해 빠른 시일 내 추가적인 마스크 공급계약도 체결할 예정”이라고 밝혔다.

한편 엑스큐어는 정부가 추진하고 있는 디지털 뉴딜 정책에 대해 선제적으로 대응하고 있다는 입장이다.

회사 관계자는 “정부의 ‘스마트 의료 및 돌봄 인프라 구축’ 사업은 의료기기, 환자, 통신환경 등을 아우른 디지털 헬스케어를 의미하며, 이에 반드시 필요한 보안플랫폼을 씨유메디칼과 공동으로 개발하고 있다”며 “씨유메디칼은 정부가 진행한 원격의료 시범사업에 사업자로 2회에 걸쳐 선정돼 분당, 대구 및 도서지역에서 성공적으로 수행한 바 있으며, 이러한 노하우를 바탕으로 디지털 보안문제에 민감한 원격 의료 등 스마트 헬스케어 산업에서 경쟁력을 갖출 수 있을 것”이라고 강조했다.

fnljs@fnnews.com 이진석 기자

▶ 헉! 소리나는 스!토리 뉴스 [헉스]
▶ '아는 척'하고 싶은 당신을 위한 [두유노우]

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
엑스큐어,머니투데이,2020.08.04. 오전 11:34,"엑스큐어 70억 마스크 공급계약, 신규사업 개시","[머니투데이 황국상 기자]
24일 오후 서울 성동구 이마트 성수점에서 시민들이 비말 차단용 마스크 구매에 앞서 받은 번호표와 마스크를 교환하고 있다. / 사진=이기범 기자 leekb@

헬스케어 전문 기업 씨유메디칼의 자회사 엑스큐어가 마스크 공급 신규사업을 본격 개시했다.

엑스큐어는 국내 유아용품 유통·제조업체인 비코어와 70억원 규모의 마스크 공급계약을 체결했다고 4일 공시했다. 이 계약은 엑스큐어의 신규 사업인 MSO(경영솔루션 자문) 사업의 일환으로 추진됐다. 이번 계약규모는 지난해 총 매출의 절반이 넘는다.

MSO는 병원에 경영솔루션을 제공하는 사업이다. 엑스큐어는 의약품, 의료기기 유통 등 헬스케어 산업으로 사업을 확장 중이다. 엑스큐어 관계자는 이번 계약에 대해 ""의약품 및 의료 소모품 유통사업을 준비하는 과정에서 안정적 마스크 공급처를 확보해 이번 계약을 체결할 수 있었다""며 ""모회사 씨유메디칼 및 국내외 관계사 유통망을 활용해 빠른 시일내 추가적 마스크 공급계약을 체결할 것""이라고 했다.

한편 엑스큐어는 정부가 추진하고 있는 디지털 뉴딜 정책에 대해 선제적으로 대응하고 있다고 했다. 이 관계자는 “정부의 ‘스마트 의료 및 돌봄 인프라 구축’ 사업은 의료기기, 환자, 통신환경 등을 아우른 디지털 헬스케어를 의미하며 이에 반드시 필요한 보안플랫폼을 씨유메디칼과 공동으로 개발하고 있다""고 밝혔다.

또 ""씨유메디칼은 정부가 진행한 원격의료 시범사업에 사업자로 2회에 걸쳐 선정돼 분당, 대구 및 도서지역에서 성공적으로 수행한 바 있으며, 이러한 노하우를 바탕으로 디지털 보안문제에 민감한 원격 의료 등 스마트 헬스케어 산업에서 경쟁력을 갖출 수 있을 것”이라고 했다.

황국상 기자 gshwang@mt.co.kr

▶줄리아 투자노트
▶조 변호사의 가정상담소 ▶머니투데이 구독하기

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
