종목명,신문사,시간,제목,본문
알파홀딩스,이데일리,2016.09.29. 오전 7:20,[표]알파홀딩스 등 코스닥 자사주 신청내역(29일),"[이데일리 증권시장부]



증권시장부 (stock@edaily.co.kr)



＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
알파홀딩스,이데일리,2016.09.30. 오전 7:15,[표]알파홀딩스 등 코스닥 자사주 신청내역(30일),"[이데일리 증권시장부]



증권시장부 (stock@edaily.co.kr)



＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
알파홀딩스,뉴시스,2016.09.30. 오후 7:08,"알파홀딩스, 불성실공시법인으로 지정 예고","【서울=뉴시스】최예린 기자 = 한국거래소 코스닥시장본부는 전자집적회로 제조업체 알파홀딩스(117670)를 불성실공시법인으로 지정 예고한다고 30일 공시했다. 이는 최대주주 변경을 수반하는 주식 담보제공 계약 체결을 지연공시했기 때문이다.



yerin_choi@newsis.com
뉴시스 뉴스, 네이버 뉴스 스탠드에서도 만나세요
뉴시스 SNS [페이스북] [트위터]




<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
알파홀딩스,아시아경제,2016.10.11. 오후 2:26,"[공시+]알파홀딩스, 물적분할 결정…""사업 효율성 강화""","[아시아경제 박선미 기자]알파홀딩스는 사업부문 중 HDMI(고선명 멀티미디어 인터페이스) 부문을 물적분할 해 분할신설회사로 알파솔루션즈를 설립한다고 11일 공시했다.

존속법인인 알파홀딩스는 시스템반도체와 신규사업인 바이오 사업을 영위하고 분할되는 알파솔루션즈는 초고속 AV 인터페이스인 HDMI 및 다양한 지적재산권(IP) 솔루션 사업을 맡는다.

회사 관계자는 “각 사업부문의 역량을 강화하고 사업부별 경영자원의 효율성을 높이는 한편, 경영 리스크를 최소화 할 수 있는 기반을 구축하기 위해 물적분할을 결정했다”며 “분할되는 알파솔루션즈 역시 시장환경에 적극 대응하고, 중화권 지역의 고객 다변화 등에 보다 집중할 수 있어 빠른 성장이 기대된다”고 말했다.

알파솔루션즈는 국내외 유수 TV업체에 HDMI Rx(수신칩) 2.0을 공급한 경험이 있고, 최근에는 8K UHD TV에 들어가는 HDMI 2.1 Rx를 개발 중이다. 앞으로 국내뿐만 아니라 해외 다양한 공정(Fab)을 활용해 고객을 더욱 확대할 계획이다.

또한, Rx 외에도 셋톱박스 등에 필요한 Tx(발신칩)인 HDMI 2.0과 HDMI 2.1 IP를 개발하고 있으며, 중국 등 국내외 팹리스 업체와의 협력도 추진 중이다.

회사 측은 “현재 중화권 UHD 시장이 성장하고 있고, 4K UHD보다 선명한 화질의 8K UHD 시장이 주력시장으로 교체될 것으로 예상돼 HDMI 2.1 IP 거래선 선점이 무엇보다 중요하다”며, “이번 분할로 알파솔루션즈는 분할 이전보다 거래선 협력 강화를 통해 빠른 의사결정 및 대응이 가능해져 시장 선점에 박차를 가할 것”이라고 전했다.




박선미 기자 psm82@asiae.co.kr

▶ 최강의 재미 [아시아경제 카드뉴스]
▶ 맛있는 레시피 ▶ 양낙규의 [군사이야기]

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
알파홀딩스,머니투데이,2016.10.11. 오후 2:28,"알파홀딩스, 물적분할 결정…사업 효율성 강화","[머니투데이 김건우 기자] [SMD솔루션사업을 분할해 4K UHD/8K UHD 시장 대응력 강화]
알파홀딩스는 사업부문 중 HDMI 부문을 물적분할 해 분할신설회사로 알파솔루션즈를 설립한다고 11일 공시했다.

존속법인인 알파홀딩스는 시스템반도체와 신규사업인 바이오 사업을 영위하고 분할되는 알파솔루션즈는 초고속 AV 인터페이스인 HDMI(고선명 멀티미디어 인터페이스)및 다양한 인텔렉추얼 프로퍼티(IP) 솔루션 사업을 맡는다.

회사 관계자는 “각 사업부문의 역량을 강화하고 사업부별 경영자원의 효율성 높이는 한편, 경영 리스크를 최소화 할 수 있는 기반을 구축하기 위해 물적분할을 결정했다”며, “분할되는 알파솔루션즈 역시 시장환경에 적극 대응하고, 중화권 지역의 고객 다변화 등에 보다 집중할 수 있어 빠른 성장이 기대된다”고 말했다.

알파솔루션즈는 국내외 유수 TV업체에 HDMI Rx(수신칩) 2.0을 공급하였고, 최근에는 8K UHD TV에 들어가는 HDMI 2.1 Rx를 개발 중이다. 앞으로 국내뿐만 아니라 해외 다양한 공정을 활용하여 고객을 더욱 확대할 계획이다.

또한, Rx 외에도 셋톱박스 등에 필요한 Tx(발신칩)인 HDMI 2.0과 HDMI 2.1 IP를 개발하고 있으며, 중국 등 국내외 팹리스 업체와의 협력도 추진 중이다.

이 관계자는 “이번 분할로 알파솔루션즈는 분할 이전보다 거래선 협력 강화를 통해 빠른 의사결정 및 대응이 가능해져 시장 선점에 박차를 가할 것”이라고 말했다.


[이코노미스트들의 깊이있는 투자정보 'TOM칼럼'][부자들에게 배우는 성공 노하우 '줄리아 투자노트' ][내 삶을 바꾸는 정치뉴스 'the 300']

김건우 기자 jai@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
알파홀딩스,한국경제,2016.10.11. 오후 2:28,"알파홀딩스, HDMI 부문 분할 결정…알파솔루션즈 신설","[ 박상재 기자 ] 알파홀딩스는 고선명 멀티미디어 인터페이스(HDMI) 부문을 분할, 알파솔루션즈를 신설하기로 했다고 11일 공시했다.

알파솔루션즈는 HDMI와 지적재산권(IP) 개발 사업 등을 담당할 예정이다. 분할 기일은 오는 12월23일이며 분할 등기 예정일은 같은달 26일이다.

회사 측은 ""사업 부문 독립을 통해 책임 경영 체제를 확립할 것""이라며 ""해당 사업 부문을 특화 시키기 위한 것""이라고 밝혔다.

박상재 한경닷컴 기자 sangjae@hankyung.com


[한경닷컴 바로가기] [스내커] [모바일한경 구독신청]
ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
알파홀딩스,서울경제,2016.10.11. 오후 2:30,알파홀딩스 “HDMI IP 사업부 분할 결정”,"알파홀딩스(117670)가 11일 고선명 멀티미디어 인터페이스(HDMI) 지식재산권(IP) 사업부를 분할해 알파솔루션즈를 신설한다고 공시했다.

분할 후 존속회사는 알파홀딩스며 알파솔루션즈는 비상장사로 운영된다.

분할 기일은 오는 12월 23일이다.

/지민구기자 mingu@sedaily.com


[서울경제 바로가기] [인기포토로 보는 오늘]
서울경제와 친해지는 가장 확실한 방법 [페이스북]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
알파홀딩스,머니투데이,2016.10.11. 오후 2:30,"알파홀딩스, 물적분할 통해 알파솔루션즈 설립","[머니투데이 구유나 기자] 알파홀딩스가 회사 분할을 통해 신설회사로 '알파솔루션즈'를 설립한다고 11일 공시했다.
존속법인인 알파홀딩스는 시스템반도체와 신규사업인 바이오 사업을 영위한다. 자산총계는 691억3952만원, 부채총계는 541억1454만원이다.

알파솔루션즈는 HDMI(고선명 멀티미디어 인터페이스) 등 다양한 지적재산권(IP) 솔루션 사업을 맡는다. 자산총계는 132억1977만원, 부채총계는 9247만원이다.

주주총회 예정일은 오는 11월21일이며 이튿날인 22일부터 한달간 채권자 이의제출기간을 갖는다. 분할기일은 오는 12월23일, 등기예정일은 12월26일이다.

회사 측은 “각 사업부문의 역량을 강화하고 사업부별 경영자원의 효율성을 높이는 한편, 경영 리스크를 최소화 할 수 있는 기반을 구축하기 위해 물적분할을 결정했다”고 밝혔다.


[이코노미스트들의 깊이있는 투자정보 'TOM칼럼'][부자들에게 배우는 성공 노하우 '줄리아 투자노트' ][내 삶을 바꾸는 정치뉴스 'the 300']

구유나 기자 yunak@

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
알파홀딩스,연합뉴스,2016.10.11. 오후 2:33,"알파홀딩스, HDMI 사업부문 물적 분할","(서울=연합뉴스) 조민정 기자 = 코스닥 상장사인 알파홀딩스는 HDMI 사업 부문을 분할해 '알파솔루션즈'를 신설하기로 했다고 11일 공시했다.

회사 측은 ""존속 회사가 분할신설회사의 발행주식 총수를 취득하는 단순, 물적 분할""이라고 설명했다.

분할기일은 오는 12월 23일이다.

chomj@yna.co.kr"
알파홀딩스,이데일리,2016.10.11. 오후 2:33,"알파홀딩스, 물적분할로 중화권 UHD 시장 선점","- HDMI 사업부 분할로 알파솔루션즈 신설
- UHD TV용 부품 HDMI 수신칩 개발중

[이데일리 박형수 기자] 알파홀딩스(117670)가 사업부문별 역량을 강화하려고 고선명 멀티미디어 인터페이스(HDMI) 부문을 물적분할한다.

알파홀딩스는 물적분할을 통해 알파솔루션즈를 설립한다고 11일 공시했다.

존속법인인 알파홀딩스는 시스템반도체와 신규사업인 바이오 사업을 하고 분할한 알파솔루션즈는 초고속 HDMI와 지적재산권(IP) 솔루션 사업을 한다.

회사 관계자는 “사업부별 경영자원의 효율성을 높이고 경영 리스크를 최소화할 것”이라며 “알파솔루션즈는 중화권 지역 고객 다변화에 집중할 것”이라고 말했다.

알파솔루션즈는 TV업체에 HDMI 수신칩을 공급했다. 최근에는 8K 초고화질(UHD) TV에 들어가는 HDMI 수신칩과 셋톱박스에 필요한 발신칩을 개발하고 있다. 중국 팹리스 업체와 협력도 추진 중이다.

회사 관계자는 “현재 중화권 UHD 시장이 성장하고 있다”며 “거래선 선점이 무엇보다 중요하다”고 말했다.

그는 “물적분할로 알파솔루션즈는 거래선 협력을 강화해 시장 선점에 나설 것”이라고 말했다.





박형수 (parkhs@edaily.co.kr)



＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
