종목명,신문사,시간,제목,본문
이디디컴퍼니,스포츠조선,2012.03.30. 오후 2:09,"이디디컴퍼니, 전기차 주력 연 매출 1000억원 넘는다","코스닥 상장사 ㈜자티전자가 30일 정기주주총회를 열고 ㈜에코넥스이디디(대표이사 김희남)와 주식 및 경영권 양수도 계약을 마무리 짓고 이디디컴퍼니㈜로 새롭게 출범한다.

㈜자티전자는 인천 남동공단에 있는 본사 회의실에서 정기주주총회를 개최하고 위와 같은 안건 및 정관 변경 건 등의 기타 안건을 원안대로 의결했다. 이와 함께 ㈜에코넥스이디디 최규대 부사장을 이디디컴퍼니㈜ 대표이사로 선임하는 등 이사 7명 및 감사 1명을 신규로 선임했다.

최규대 이디디컴퍼니 대표는 ""유럽에서 검증된 직구동 모터 시스템에 의한 전기자동차 사업을 향후의 주력 업종으로 하고 기존 사업 외에 전기, 전자, 의료기기 등 친환경 사업 분야의 글로벌 기업화를 목표로 올해부터 연간 1000억 원대 이상 매출을 달성하겠다""고 말했다.

그는 또 ""장기적으로 향후 10년 내 전 세계 전기차 시장점유율의 3퍼센트 이상을 차지하는 친환경 분야의 주도적 글로벌 녹색기업으로 성장할 것""이라고 강조했다.

이디디컴퍼니는 끊임없는 자체 기술개발, 대규모 생산 공장의 가동, 해외 전문기업 들과의 제휴 등을 통해 새로운 일자리 창출이라는 국가적 어젠다 맞춰 사업전략을 펼칠 계획이다. 김세형 기자 fax123@sportschosun.com

 ▲ 박은지 “엉덩이 패드사건, 모자이크도 없이…” 고백
 ▲ '이혼충격' 오정연 “내 이상형은…” 과거발언
 ▲ “서장훈-오정연 무늬만 부부…남처럼 지낸지 오래”
 ▲ '임요환 여친' 김가연, 알고보니 개그우먼 출신 '박명수 후배'
▲ 심진화 “김신영-신봉선 보다 체중이…” 성형고백까지!
[☞ 웹신문 보러가기]
- Copyrights ⓒ 스포츠조선, 무단 전재 및 재배포 금지 -"
이디디컴퍼니,헤럴드경제,2012.03.30. 오후 2:35,"자티전자, ‘이디디컴퍼니’로 새 출범…연간 매출 1000억 원 목표","코스닥 상장사인 ㈜자티전자가 30일 정기주주총회를 통해 ㈜에코넥스이디디(대표이사 김희남)와 주식 및 경영권 양수도 계약을 마무리 짓고 이디디컴퍼니㈜로 새롭게 출범했다.

이날 ㈜자티전자는 인천 남동공단에 있는 본사 회의실에서 정기주주총회를 개최하고 위와 같은 안건 및 정관 변경 건 등의 기타 안건을 원안대로 의결했다.

이와 함께 ㈜에코넥스이디디 최규대 부사장을 이디디컴퍼니㈜ 대표이사로 선임하는 등 이사 7명 및 감사 1명을 신규로 선임했다.

이디디컴퍼니 최규대 대표는 “유럽에서 검증된 직구동 모터 시스템에 의한 전기자동차 사업을 향후의 주력 업종으로 하고 기존 사업 외에 전기, 전자, 의료기기 등 친환경 사업 분야의 글로벌 기업화를 목표로 올해부터 연간 1000억 원대 이상의 매출을 달성하겠다”고 밝혔다.

그는 또 “장기적으로 향후 10년 내 전 세계 전기차 시장점유율의 3퍼센트 이상을 차지하는 친환경 분야의 주도적 글로벌 녹색기업으로 성장할 것”이라며 “그 과정에서 끊임없는 자체 기술개발, 대규모 생산 공장의 가동, 해외 전문기업 들과의 제휴 등을 통해 새로운 일자리 창출이라는 국가적 어젠다를 해결하는 데에도 기여할 것”이라고 덧붙였다.

헤럴드생생뉴스/onlinenews@heraldm.com

[오늘의 인기기사]
◆ ‘절대 동안녀’ 떴다…20대로 보이는 그녀의 실제 나이?
◆ ‘서울불바다’…우주에서 본 남북한 모습
◆ 中 미녀배우 ‘충격민낯’, 언론도 ‘깜짝’
◆ 인형 아닌 거 찾기 “자세히 봐야 찾을 수 있어”
◆ ‘FTA 대전’ 김종훈 대 정동영 여론조사 보니?
- 헤럴드 생생뉴스 Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
이디디컴퍼니,MBN,2012.03.30. 오후 2:48,"자티전자, ‘이디디컴퍼니’로 새 출범…연간 매출 1000억 원 목표","코스닥 상장사인 ㈜자티전자가 30일 정기주주총회를 통해 ㈜에코넥스이디디(대표이사 김희남)와 주식 및 경영권 양수도 계약을 마무리 짓고 이디디컴퍼니㈜로 새롭게 출범했습니다.

이날 ㈜자티전자는 인천 남동공단에 있는 본사 회의실에서 정기주주총회를 개최하고 위와 같은 안건 및 정관 변경 건 등의 기타 안건을 원안대로 의결했습니다.

이와 함께 ㈜에코넥스이디디 최규대 부사장을 이디디컴퍼니㈜ 대표이사로 선임하는 등 이사 7명 및 감사 1명을 신규로 선임했습니다.

이디디컴퍼니 최규대 대표는 “유럽에서 검증된 직구동 모터 시스템에 의한 전기자동차 사업을 향후의 주력 업종으로 하고 기존 사업 외에 전기, 전자, 의료기기 등 친환경 사업 분야의 글로벌 기업화를 목표로 올해부터 연간 1000억 원대 이상의 매출을 달성하겠다”고 밝혔습니다.

그는 또 “장기적으로 향후 10년 내 전 세계 전기차 시장점유율의 3퍼센트 이상을 차지하는 친환경 분야의 주도적 글로벌 녹색기업으로 성장할 것”이라며 “그 과정에서 끊임없는 자체 기술개발, 대규모 생산 공장의 가동, 해외 전문기업 들과의 제휴 등을 통해 새로운 일자리 창출이라는 국가적 어젠다를 해결하는 데에도 기여할 것”이라고 덧붙였습니다.

MBN 화제뉴스
▶ 지하철 담배女, 정체 알고보니 카레음식점의…
▶ 선거운동 시작…여야 수도권 표심 몰이
▶ 북한, 서해상에 미사일 시험 발사정치
▶ 고려대 성추행 폭로전…""내가 피해자""
▶ 국제유가, 이틀째 급락…사우디 증산 여파


< Copyright ⓒ MBN(www.mbn.co.kr)무단전재 및 재배포 금지 >"
이디디컴퍼니,아시아경제,2012.03.30. 오후 3:11,"자티전자, 회사명 이디디컴퍼니로 변경","[아시아경제 지연진 기자]자티전자는 CI통일을 위해 상호명을 이디디컴퍼니로 변경한다고 30일 공시했다.

[모바일] 언제어디서나 만날 수 있는 내 손안의 아시아경제

[증권방송] 2012년 투자 종목의 핵심은 바로...

지연진 기자 gyj@

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>

[관련기사]

▶ ""오정연과는…"" 파국 서장훈의 충격 고백

▶ ""너무 야한거 아냐?"" 난리 난 보디가드 광고

▶ ""소문이 설마…"" 서장훈·오정연 충격적 결말

▶ ‘세계최초’ 인삼다당체 발견으로 ‘암 극복’ 새 바람

▶ '월급 떼먹은' 심형래 이번엔 또 어쩌다가…"
이디디컴퍼니,이데일리,2012.03.30. 오후 3:36,"자티전자, 이디디컴퍼니로 사명 변경","[이데일리 김대웅 기자] 자티전자(052650)는 CI 통일을 통한 기업이미지 재고를 위해 사명을 이디디컴퍼니로 변경한다고 30일 공시했다.




김대웅 (daxiong@edaily.co.kr)
[관련기사]
▶ ☞자티전자, 에코넥스이디디외 1명으로 최대주주 변경


▶ 당신의 생활 속 언제 어디서나 이데일리 ‘ 신문 PDF바로보기‘
▶ 스마트 경제종합방송 이데일리 TV
▶ 실시간 뉴스와 증권거래, 내 손안의 금융시장 ‘이데일리 모바일 서비스’
▶ 전문가를 위한 국내 최상의 금융정보단말기 ‘이데일리 마켓포인트 2.0’
▶ 국내 최고 증권 전문가 방송 이데일리 ON, 고객상담센터 1666-2200
＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
이디디컴퍼니,뉴시스,2012.03.31. 오전 11:05,"자티전자, '이디디컴퍼니'로 새 출범…연 매출 1000억 목표","【인천=뉴시스】함상환 기자 = 코스닥 상장사인 ㈜자티전자가 지난 30일 정기주주총회를 통해 ㈜에코넥스이디디(대표이사 김희남)와 주식과 경영권 양수 계약을 마무리 짓고 이디디컴퍼니㈜로 새롭게 출범했다고 31일 밝혔다.

이날 ㈜자티전자는 인천 남동공단에 있는 본사 회의실에서 정기주주총회를 개최하고 정관 변경 건 등의 기타 안건을 원안대로 의결했다.

이와 함께 ㈜에코넥스이디디 최규대 부사장을 이디디컴퍼니㈜ 대표이사로 선임하는 등 이사 7명, 감사 1명을 신규로 선임했다.

최규대 이디디컴퍼니 대표는 ""유럽에서 검증된 직구동 모터 시스템에 의한 전기자동차 사업을 향후의 주력 업종으로 하고 기존 사업 외에 전기, 전자, 의료기기 등 친환경 사업 분야의 글로벌 기업화를 목표로 올해부터 연간 1000억 원대 이상의 매출을 달성하겠다""고 말했다.

또 그는 ""장기적으로 향후 10년 내 전 세계 전기차 시장점유율의 3퍼센트 이상을 차지하는 친환경 분야의 주도적 글로벌 녹색기업으로 성장할 것""이라며 ""그 과정에서 끊임없는 자체 기술개발, 대규모 생산 공장의 가동, 해외 전문기업 들과의 제휴 등을 통해 새로운 일자리 창출이라는 국가적 어젠다를 해결하는 데에도 기여할 것”이라고 덧붙였다.

hsh3355@newsis.com

[뉴시스 이시간 핫 뉴스]
ㆍ 이영호 전 靑비서관 검찰 출석…""성실히 조사받겠다""
ㆍ 올해도 쉬운 수능…""EBS 충실히 공부해야""
ㆍ [긴급]日 방위상, 자위대에 북한 로켓 요격 명령
ㆍ 대학 졸업생 10명 중 9명 ´B학점 이상´
ㆍ ´3년 만에 파경´ 서장훈 ""헤어지는 이유는 성격차이""


★ 손 안에서 보는 세상, 모바일 뉴시스

<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
이디디컴퍼니,뉴시스,2012.04.01. 오전 11:34,"자티전자, '이디디컴퍼니'로 새 출범…연 매출 1000억 목표","【서울=뉴시스】박상권 기자 = 코스닥 상장사인 ㈜자티전자가 지난 달 30일 정기주주총회를 통해 ㈜에코넥스이디디(대표이사 김희남)와 주식 및 경영권 양수도 계약을 마무리 짓고 이디디컴퍼니㈜로 새롭게 출범했다.

이날 자티전자는 인천 남동공단 본사 회의실에서 정기주주총회를 개최하고 이 같은 안건 및 정관 변경 건 등의 기타 안건을 원안대로 의결했다.

이와 함께 에코넥스이디디 최규대 부사장을 이디디컴퍼니 대표이사로 선임하는 등 이사 7명 및 감사 1명을 신규로 선임했다.

이디디컴퍼니 최규대 대표는 ""유럽에서 검증된 직구동 모터 시스템에 의한 전기자동차 사업을 향후의 주력 업종으로 하고 기존 사업 외에 전기, 전자, 의료기기 등 친환경 사업 분야의 글로벌 기업화를 목표로 올해부터 연간 1000억 원대 이상의 매출을 달성하겠다""고 밝혔다.

그는 또 ""장기적으로 향후 10년 내 전 세계 전기차 시장점유율의 3% 이상을 차지하는 친환경 분야의 주도적 글로벌 녹색기업으로 성장할 것""이라며 ""그 과정에서 끊임없는 자체 기술개발, 대규모 생산 공장의 가동, 해외 전문기업 들과의 제휴 등을 통해 새로운 일자리 창출이라는 국가적 어젠다를 해결하는 데에도 기여할 것""이라고 덧붙였다.

kwon@newsis.com

[뉴시스 이시간 핫 뉴스]
ㆍ [종합2보]檢 ´몸통(?)´ 이영호 靑 윗선 추궁…사전구속영장 검토
ㆍ 경찰서 식당서 협박-경관에 공갈 ´진상녀´ 징역2년6월
ㆍ [종합]로또 487회 1등 8명…1인당 16억3883만원
ㆍ ""화 안낼테니 솔직히 말해봐"" 아내의 거짓말 2위, 그럼 1위는?
ㆍ ´고양이에 생선을?´…檢, 불법사찰 또 축소·은폐하나


★ 손 안에서 보는 세상, 모바일 뉴시스

<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
이디디컴퍼니,아시아경제,2012.04.24. 오후 1:29,"에코넥스이디디·이디디컴퍼니, 연구소 통합운영","[아시아경제 전필수 기자]에코넥스이디디는 최근 인수한 이디디컴퍼니(옛 자티전자)와 양사의 연구소를 통합운영한다고 24일 밝혔다.

앞서 에코넥스이디디는 관계사인 에코넥스와 지난 18일 전남 영광자동차산업단지에직구동모터시스템차량 생산공장을 준공했다. 이번 연구소 통합운영은 본격적인 전기차 개조사업을 진행하기 위해서다.

에코넥스이디디 관계자는 “이번 연구소 통합운영으로 이디디컴퍼니가 가지고 있는 2차전지, 차량 전기계통시스템에 대한 노하우, 에코넥스이디디가 가지고 있는 전기직구동모터 기술력을 접목시켜 국내유일의 직구동모터전기차기술센터로 발전시킬 것”이라고 밝혔다.

이디디컴퍼니 중앙연구소는 서울 관악구 신사동에, 에코넥스이디디 연구소는 경기도 남양주에 있다.

통합운영되는 연구소의 명칭은 ‘이디디컴퍼니 종합연구소’로 명명되며 위치는 기존 이디디컴퍼니 중앙연구소가 위치한 서울 관악구 신사동의 3개층을 사용하게 된다.

[모바일] 언제어디서나 만날 수 있는 내 손안의 아시아경제

[증권방송] 2012년 투자 종목의 핵심은 바로...

전필수 기자 philsu@

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>

[관련기사]

▶ ""충격적 '이혼소송' 나훈아 알고보니 아내가…""

▶ ""장윤정 '루머' 사실이었다니…"" 고백 ""충격""

▶ ""잠적한 '김구라' 그렇게 아들 걱정했는데 결국…""

▶ 인삼 다당체 항암면역 증강작용 탁월! 암극복!!

▶ ""정신대 막말 '김구라' 떠나며 한단 말이…"""
이디디컴퍼니,아시아경제,2012.04.25. 오후 12:21,"이디디컴퍼니, 연구소 감사에 청와대 비서관 출신 영입","[아시아경제 전필수 기자]이디디컴퍼니(옛 자티전자)가 새로 설립운영되는‘이디디종합연구소’의 감사로 청와대 사정비서관을 지낸 이충범 변호사를 선임한다고 25일 밝혔다.

경기고등학교를 졸업하고 서울대 법대출신인 이충범 변호사는 사법고시 27회로 1993년 ‘최연소 청와대 비서관’으로 임명돼 화제가 되기도 했다.

이디디컴퍼니 관계자는 “최근에 선임된 정인봉 고문과 함께 이충범 변호사의 영입으로 회사에서는 확실한 법률자문에 대한 인재확보와 동시에 회사와 연구소의 발전의 토대를 마련한 것”이라며 “회사가 추진하는 사업이 국가의 정책인 녹색성장을 바탕으로 확대되는 까닭에 회사와 연구소 양쪽에서의 변호사 출신의 두 분 역할이 매우 중요하다”고 말했다.

우리나라에서 추진하는 녹색성장은 저탄소녹색성장기본법 제9조를 법적근거로 해서 2008년 ‘저탄소 녹색성장’을 국가비전으로 선포한 뒤 정부주도로 추진되고 있다. 2020년까지 세계 7대 녹색강국으로 진입을 목표로 하고 있어 관련법규에 대한 이해와 적용이 중요하다는 게 이디디컴퍼니측 설명이다.

[모바일] 언제어디서나 만날 수 있는 내 손안의 아시아경제

[증권방송] 2012년 투자 종목의 핵심은 바로...

전필수 기자 philsu@

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>

[관련기사]

▶ ""이승기 빠져도 잘 나가던 '1박2일' 결국…""

▶ ""이지아 뜸하다 했는데 이렇게 황당한 일이…""

▶ ""충격적 '이혼소송' 나훈아 알고보니 아내가…""

▶ 인삼 다당체 항암면역 증강작용 탁월! 암극복!!

▶ ""잠적한 '김구라' 그렇게 아들 걱정했는데 결국…"""
이디디컴퍼니,아시아경제,2012.04.25. 오후 2:20,"이디디컴퍼니, 2020년 전기차 8천만시대 수혜는 우리","[아시아경제 전필수 기자]이디디컴퍼니(옛 자티전자)는 25일 2020년 전기차 8000만대 시대에 자사가 공동개발 중인 차량직구동 모터시스템이 최대 수혜를 볼 것이라고 주장했다.

이디디컴퍼니 관계자는 ""차량직구동 모터시스템 차량은 다른 전기차 대비 압도적인 연료효율성을 갖고 있다""고 강조했다. 이 관계자에 따르면 이디디컴퍼니가 이디디홀딩스(에코넥스이디디)와 공동개발 중인 차량직구동 모터시스템 차량은 타사 EV버스대비 km당 주행에 18원, 타 디젤/천연가스보다는 발전기사용시에 259~585원의 단가절감효과가 있다. 이를 연간으로 환산하면 버스 1대당 수백만원에서 수천만원까지의 연료비 절감효과가 있다는 주장이다.

이 관계자는 ""이디디컴퍼니가 상용화하려는 차량직구동 모터시스템의 차량은 이미 네덜란드에서 그 성능의 우수성을 입증했으며, 기존 디젤차량대비 2.2배거리를 더 갈수 있고, 타EV차량보다 연료효율성이 30% 이상 높다""고 강조했다.

이디디컴퍼니는 전기직구동시스템 차량을 회사의 주력으로 선정, 앞으로 10년내 전세계 전기차점유율의 3%, 매출 1000억원을 목표로 하고 있다.

한편 AESC(Automotive Energy Supply Corporation)의 마쓰모토쇼이치 사장이 지난 24일 리츠칼튼 호텔에서 진행된 ‘2012한국 전기자동차 및 배터리 컨퍼런스’에서 ""리튬이온 배터리의 에너지밀도는 계속 높아지고 있으며, 열 손실율을 낮추는 등 점점 더 전기차의 효율성이 높아지고 있다”며“2015년에는 전세계적으로 7000만대이상, 2020년에는 8000만대의 시장이 될 것”이라고 말했다.

[모바일] 언제어디서나 만날 수 있는 내 손안의 아시아경제

[증권방송] 2012년 투자 종목의 핵심은 바로...

전필수 기자 philsu@

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제(www.asiae.co.kr) 무단전재 배포금지>

[관련기사]

▶ ""이승기 빠져도 잘 나가던 '1박2일' 결국…""

▶ ""이지아 뜸하다 했는데 이렇게 황당한 일이…""

▶ ""충격적 '이혼소송' 나훈아 알고보니 아내가…""

▶ 인삼 다당체 항암면역 증강작용 탁월! 암극복!!

▶ ""잠적한 '김구라' 그렇게 아들 걱정했는데 결국…"""
