종목명,신문사,시간,제목,본문
비트컴퓨터,서울경제,2017.11.01. 오전 10:06,"비트컴퓨터, 우즈베크 HIS 구축사업 수주","삼성물산과 컨소시엄 이뤄

[서울경제] 비트컴퓨터는 1일 삼성물산과 컨소시엄을 이뤄 우즈베키스탄 국립아동병원의 병원정보시스템(HIS) 구축사업을 수주했다고 밝혔다.

이번 사업은 우즈베키스탄 보건부가 수도인 타슈켄트에 신규 건립하는 아동병원에 비트컴퓨터가 HIS를 구축하고, 삼성물산은 사업 전반을 총괄하게 된다. 비트컴퓨터는 아동병원에 처방전달시스템(CPOE)·전자의무기록(EMR)·의료영상저장전송시스템(PACS) 등 우즈베키스탄 내에서 최고 수준의 솔루션을 구축할 예정이다.

총 사업 중 HIS 규모는 30억원이며 사업 기간은 2년이다. 비트컴퓨터 관계자는 “이미 우크라이나, 카자흐스탄 등 중앙아시아 국가에 병원정보시스템을 구축한 경험과 지식을 기반으로 국제적 수준의 아동병원을 건립할 것”이라며 “이번 사업을 계기로 중앙아시아 시장 확대에 더욱 박차를 가하겠다”고 말했다.

비트컴퓨터는 국내 의료정보 시장 점유율과 디지털 헬스케어 구축 실적 부문에서 선두를 달리는 헬스케어 전문회사다. 현재 태국·카자흐스탄·몽골·이라크·캄보디아·필리핀 등 13개국에 의료정보·원격의료 솔루션을 수출하고 있다.

/서민우기자 ingaghi@sedaily.com

[서울경제 바로가기]
1997년 이래 대한민국 최고의 과학자 DB [바로가기]
서울경제의 모든 연재물!... 서경Cube [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
비트컴퓨터,디지털타임스,2017.11.01. 오전 10:48,"비트컴퓨터, 30억 규모 우즈베키스탄 병원정보시스템 구축사업 수주","비트컴퓨터(대표 조현정·전진옥)는 30억원 규모의 우즈베키스탄 국립아동병원의 병원정보시스템(HIS) 구축사업을 수주했다고 1일 밝혔다.

이번 사업은 삼성물산과 비트컴퓨터가 컨소시엄을 구성해 수주했다. 삼성물산은 사업 전반을 총괄하고 비트컴퓨터가 병원정보시스템을 구축을 맡게 된다.

비트컴퓨터는 우즈베키스탄 보건부가 수도인 타슈켄트에 신규 건립하는 아동병원에 처방전달시스템(CPOE), 전자의무기록(EMR), 의료영상저장전송시스템(PACS) 등을 포함한 병원정보시스템을 구축할 예정이다.

비트컴퓨터 관계자는 ""이미 우크라이나, 카자흐스탄 등 중앙아시아 국가에 병원정보시스템을 구축한 경험과 지식을 기반으로 국제적 수준의 아동병원 건립에 기여할 것""이라며 ""이번 사업을 계기로 중앙아시아 시장 확대에 더욱 박차를 가하겠다""고 말했다.

남도영기자 namdo0@dt.co.kr

디지털타임스 홈페이지 바로가기 / SNS 바로가기
디지털타임스 영문뉴스 바로가기 / 카드뉴스 바로가기

남도영"
비트컴퓨터,헤럴드경제,2017.11.01. 오전 11:15,"비트컴퓨터, 우즈벡서 30억원 병원정보시스템 수주","삼성물산과 컨소시엄…국립아동병원 HIS 구축사업 계약

[헤럴드경제=조문술 기자] 비트컴퓨터(대표 조현정·전진옥)는 우즈베키스탄 국립아동병원(21st Century Uzbekistan-Korea Friendship Children’s Hospital)의 병원정보시스템(HIS) 구축사업을 수주했다고 1일 밝혔다.

삼성물산과 비트컴퓨터가 컨소시엄을 통해 수주했으며, 삼성물산이 사업 전반을 총괄하고 비트컴퓨터가 병원정보시스템을 구축을 맡게 된다.

이 사업은 우즈베키스탄 보건부가 수도인 타슈켄트에 신규 건립하는 아동병원에 병원정보시스템을 구축하는 사업d이다. 처방전달시스템(CPOE), 전자의무기록(EMR), 의료영상저장전송시스템(PACS) 등을 포함하며 우즈베키스탄 내 최고 수준의 솔루션을 구축한다. 총 사업 중 병원정보시스템 규모는 30억 규모로 사업기간은 24개월이다.

비트컴퓨터 측은 “이미 우크라이나, 카자흐스탄 등 중앙아시아 국가에 병원정보시스템을 구축한 경험과 지식을 기반으로 국제적 수준의 아동병원 건립에 기여하겠다. 사업을 계기로 중앙아시아 시장 확대에 더욱 박차를 가하겠다”고 밝혔다.

비트컴퓨터는 국내 의료정보 시장점유율 1위, 디지털 헬스케어 구축 실적 1위의 헬스케어 전문회사다. 태국, 카자흐스탄, 몽골, 이라크, 캄보디아, 필리핀 등 13개국에 의료정보솔루션 및 원격의료솔루션을 수출하고 있다.

freiheit@heraldcorp.com

▶ 생활용품 알뜰하게 사는 법 럭비(LUCK BE)

▶앞서가는 젊은 경제신문 친구맺기 ▶오늘의 운세 날씨



- Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
비트컴퓨터,아이뉴스24,2017.11.01. 오전 11:34,"비트컴퓨터, 30억 규모 우즈벡 병원정보사업 수주","<아이뉴스24>

[아이뉴스24 성지은기자] 비트컴퓨터가 삼성물산과 컨소시엄을 통해 우즈베키스탄 국립아동병원 병원정보시스템(HIS) 구축사업을 수주했다고 1일 발표했다.

해당 사업은 우즈베키스탄 보건부가 수도 타슈켄트에 신규 건립하는 아동병원의 병원정보시스템을 구축하는 사업이다.

처방전달시스템(CPOE), 전자의무기록(EMR), 의료영상저장전송시스템(PACS) 등을 포함해 우즈베키스탄 내 최고 수준의 솔루션을 구축한다.

이번 사업의 규모는 30억원 규모로 사업 기간은 24개월이다. 삼성물산이 사업 전반을 총괄하고 비트컴퓨터가 병원정보시스템 구축을 맡는다.

비트컴퓨터 관계자는 ""이미 우크라이나, 카자흐스탄 등 중앙아시아 국가에 병원정보시스템을 구축한 경험과 지식이 있다""며 ""국제적 수준의 아동병원 건립에 기여하고 이번 사업을 계기로 중앙아시아 시장 확대에 박차를 가하겠다""고 말했다.

한편, 비트컴퓨터는 국내 의료정보 시장점유율 1위기업으로, 태국, 카자흐스탄, 몽골, 이라크, 캄보디아, 필리핀 등 13개국에 의료정보솔루션과 원격의료솔루션을 수출하고 있다.

/성지은기자 buildcastle@inews24.com
▶프리미엄 뉴스서비스 아이뉴스24
▶연예스포츠 조이뉴스24, 생생한 라이브캐스트
[ⓒ 아이뉴스24 무단전재 및 재배포 금지]"
비트컴퓨터,연합뉴스,2017.11.01. 오전 11:37,"비트컴퓨터, 30억 규모 해외 병원정보시스템 구축 사업 수주","(서울=연합뉴스) 김민수 기자 = 비트컴퓨터는 약 30억원 규모의 우즈베키스탄 국립아동병원 병원정보시스템(Hospital Information System) 구축 사업을 수주했다고 1일 밝혔다.

현재 우즈베키스탄 보건부가 수도 타슈켄트에 아동병원을 짓고 있는데 비트컴퓨터는 이 병원에 들어설 처방전달시스템·전자의무기록(EMR)·의료영상저장전송시스템(PACS) 등 각종 병원정보시스템을 구축하는 역할을 맡는다.

송인옥 비트컴퓨터 기획실 실장은 ""앞서 우크라이나, 카자흐스탄 등 중앙아시아 국가에 병원정보시스템을 수출한 경험과 지식을 기반으로 세계적인 수준의 아동병원 건립에 기여하겠다""고 밝혔다.

[비트컴퓨터 제공=연합뉴스]


kms@yna.co.kr

기사 문의(기사 제목을 꼭 알려주세요) 및 제보는 여기로(클릭!)

최신 유행 트렌드 총집결(클릭!)"
비트컴퓨터,ZDNet Korea,2017.11.01. 오후 2:41,"비트컴퓨터, 우즈베키스탄 병원정보시스템 수주","30억 규모 우즈베키스탄 국립아동병원 HIS 구축사업 계약

(지디넷코리아=임유경 기자)비트컴퓨터(대표 조현정·전진옥)는 우즈베키스탄 국립아동병원의 병원정보시스템(HIS) 구축사업을 수주했다고 1일 밝혔다.

이번 사업은 삼성물산과 비트컴퓨터가 컨소시엄을 통해 수주했으며, 삼성물산이 사업 전반을 총괄하고 비트컴퓨터가 병원정보시스템 구축을 맡았다.

이 사업은 우즈베키스탄 보건부가 수도인 타슈켄트에 신규 건립하는 아동병원에 병원정보시스템을 구축하는 사업이다. 처방전달시스템(CPOE), 전자의무기록(EMR), 의료영상저장전송시스템(PACS) 등을 포함하며 우즈베키스탄 내 최고 수준의 솔루션을 구축한다. 총 사업 중 병원정보시스템 규모는 30억 규모로 사업기간은 24개월이다.

비트컴퓨터 관계자는 “이미 우크라이나, 카자흐스탄 등 중앙아시아 국가에 병원정보시스템을 구축한 경험과 지식을 기반으로 국제적 수준의 아동병원 건립에 기여하고, 이번 사업을 계기로 중앙아시아 시장 확대에 더욱 박차를 가하겠다”고 말했다.

임유경 기자(lyk@zdnet.co.kr)"
비트컴퓨터,디지털데일리,2017.11.01. 오후 3:30,"비트컴퓨터, 우즈베키스탄 병원정보시스템 수주","[디지털데일리 백지영기자] 비트컴퓨터(대표 조현정, 전진옥)는 우즈베키스탄 국립아동병원의 병원정보시스템(HIS) 구축사업을 수주했다고 1일 밝혔다.

삼성물산과 비트컴퓨터가 컨소시엄을 통해 수주했으며, 삼성물산이 사업 전반을 총괄하고 비트컴퓨터가 병원정보시스템을 구축을 맡게 된다. 총 사업 중 병원정보시스템 규모는 30억원 규모다. 사업기간은 24개월이다.

이번 사업의 핵심은 우즈베키스탄 보건부가 수도인 타슈켄트에 신규 건립하는 아동병원에 병원정보시스템을 구축하는 것이다. 처방전달시스템(CPOE), 전자의무기록(EMR), 의료영상저장전송시스템(PACS) 등을 포함한다.

비트컴퓨터 측은 “이미 우크라이나, 카자흐스탄 등 중앙아시아 국가에 병원정보시스템을 구축한 경험과 지식을 기반으로 국제적 수준의 아동병원 건립에 기여하고, 이번 사업을 계기로 중앙아시아 시장 확대에 더욱 박차를 가하겠다”고 말했다.

한편 비트컴퓨터는 국내 의료정보 시장 점유율 1위 기업이다. 태국, 카자흐스탄, 몽골, 이라크, 캄보디아, 필리핀 등 13개국에 의료정보솔루션 및 원격의료솔루션을 수출한 바 있다.

<백지영 기자>jyp@ddaily.co.kr

IT언론의 새로운 대안[디지털데일리]
IT정보의 즐거운 업그레이드[딜라이트닷넷]

백지영(jyp@ddaily.co.kr)

<저작권자 © 디지털데일리 무단전재-재배포금지>"
비트컴퓨터,전자신문,2017.12.01. 오전 11:11,"[ET투자뉴스]헬스케어 관련주테마, 비트컴퓨터, 인피니트헬스케어 중심으로 강세","금일 현재, 헬스케어 관련주테마가 전일대비 3.87% 상승하며 강세를 보이고 있다. 상승폭으로는 비트컴퓨터 6.77%로 선두권에 있으며 인피니트헬스케어(3.61%), 유비케어(3%)도 강세이다.

[테마내 주요종목 시세]
* 비트컴퓨터 : 5,680원 (▲360)
*인피니트헬스케어:6,610원 (▲230)
*유비케어:3,780원 (▲110)

[테마내 주요종목 재무요약]
* 비트컴퓨터 : 영업이익률 현재 7.52%로 업종평균 상회. PER은 27.51로 업종평균보다 높으며, PBR은 2.2임.

* 인피니트헬스케어 : 영업이익률 현재 8.06%로 업종평균 상회. PER은 32.3으로 업종평균보다 높으며, PBR은 2.15임.

* 유비케어 : 영업이익률 현재 9.59%로 업종평균 상회. PER은 28.14로 업종평균보다 높으며, PBR은 3.2로 다소 높은편.

[테마내 종목별 외국인 지분변동]
* 비트컴퓨터 : 최근 2주간 -0.1%감소하여 현재 보유율은 2.57%

* 인피니트헬스케어 : 최근 2주간 0.15%증가하여 현재 보유율은 2.11%

* 유비케어 : 최근 2주간 0.21%증가하여 현재 보유율은 3.95%

증시분석 전문기자 로봇 ET etbot@etnews.com
전자신문과 씽크풀의 증시분석 전문기자 로봇 ET가 쓴 기사입니다

▶ 전자신문 인기 포스트
▶ 전자신문 공식 페이스북
▶ 전자신문 바로가기
[Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
비트컴퓨터,전자신문,2017.12.04. 오후 12:39,"[ET투자뉴스]헬스케어 관련주테마, 인피니트헬스케어, 비트컴퓨터 중심으로 강세","금일 현재, 헬스케어 관련주테마가 전일대비 5.49% 상승하며 강세를 보이고 있다. 상승폭으로는 인피니트헬스케어 29.89%로 선두권에 있으며 비트컴퓨터(8.88%), 인성정보(8.7%)도 강세이다.

[테마내 주요종목 시세]
* 인피니트헬스케어 : 8,560원 (▲1970)
*비트컴퓨터:6,130원 (▲500)
*인성정보:5,060원 (▲405)

[테마내 주요종목 재무요약]
* 인피니트헬스케어 : 영업이익률 현재 8.06%로 업종평균 상회. PER은 31.7로 업종평균보다 높으며, PBR은 2.11임.

* 비트컴퓨터 : 영업이익률 현재 7.52%로 업종평균 상회. PER은 26.56으로 업종평균보다 높으며, PBR은 2.12임.

* 인성정보 : 영업이익률 현재 1.72%로 업종평균 수준.PER은 38.61로 업종평균보다 높으며, PBR은 2.1임.

[테마내 종목별 외국인 지분변동]
* 인피니트헬스케어 : 최근 2주간 -0.02%감소하여 현재 보유율은 1.8%

* 비트컴퓨터 : 최근 2주간 -0.35%감소하여 현재 보유율은 2.11%

* 인성정보 : 최근 2주간 -0.17%감소하여 현재 보유율은 0.71%

증시분석 전문기자 로봇 ET etbot@etnews.com
전자신문과 씽크풀의 증시분석 전문기자 로봇 ET가 쓴 기사입니다

▶ 전자신문 인기 포스트
▶ 전자신문 공식 페이스북
▶ 전자신문 바로가기
[Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
비트컴퓨터,파이낸셜뉴스,2017.12.04. 오후 1:12,[fnRASSI]비트컴퓨터(032850) 전일대비 8.7% 상승,"비트컴퓨터(032850)는 현재 주가가 전일 대비 8.7% 상승한 6,120원 선에서 거래가 이루어지고 있다.

외국인/기관 순매수, 개인은 순매도(한달누적)
11월24일부터 전일까지 기관이 6거래일 연속 동종목을 사들였다. 4주간을 기준으로 보면 외국인이 매기를 떨어뜨리면서도 2,928주를 순매수했고, 기관도 초반에 동종목을 순매수한 이후에 기세를 이어가며 55,052주를 순매수했다. 반면 개인들은 매도 관점으로 접근하면서 57,980주를 순매도한 것으로 나타났다.


지표
항목
값
종합점수
성장성
매출액증가율
-0.17
4.77
자기자본증가율
0.05
안정성
부채비율
27.59
9.86
유동비율
207.74
이익안정성
9.72
수익성
ROA
6.17
7.06
ROE
7.88
영업이익율
7.47


비트컴퓨터의 퀀트 재무 점수는 21.69점으로 지난 분기에 비해 성장성 점수가 하락했다. 이는 매출액 증가율과 자기자본 증가율이 감소하였기 때문이다. 수익성 측면에서 볼때 ROA, ROE가 하락하여 이전보다 낮은 점수를 받았다.



'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
