종목명,신문사,시간,제목,본문
인포바인,전자신문,2017.11.14. 오전 9:13,"[ET투자뉴스]인포바인 17년3분기 실적 발표, 매출액 57억원… 전년 동기 대비 9.65% 증가","11월 13일 인포바인(115310)의 2017년 3분기 연결 확정 실적이 발표됐다. 매출액, 영업이익, 당기순이익 모두 전년 같은 기간 대비 상승하였다. 매출액은 9.65%, 상승한 57억원으로 발표되었다. 영업이익과 당기순이익은 각각 5.98%, 8.74% 증가하여 32.9억원, 28.4억원으로 기록 되었다.






이번분기 기준으로 추정되는 인포바인의 자기자본이익률(ROE)은 15.8%로 나타났다. 이는 최근 1년동안 큰 변동없이 비슷한 수치이다. 전년 동기인 2016년 3분기 ROE는 15.2%이다. 한편 동종목의영업이익률은 57.7%이다. 지난해 동기 영업이익률은 59.3%로 이번 분기와 비슷한 수치이다.




주가가 1주당 수익의 몇배가 되는지 나타내는 주가수익비율(PER)은 32.1배로 나타났다. 이는 최근 1년동안 큰 변동없이 비슷한 수치이다. 전년 동기 PER은 30.91배이다.주가가 1주당 순자산의 몇배인지 알려주는 주가순자산비율인 PBR은 1.25배이다. 지난해 동기 PBR은 0.92배로 이번 3분기 PBR이 상승했다.






다음은 인포바인과 동일 업종 내 비교 그룹 종목의 각각 최근 실적의 전년 동기 대비 성장률이다. 인포바인의 매출액 증감율은 타 종목 대비 우수한 편이다. 그리고 주가 상승률은 양호한 편이다.





증시분석 전문기자 로봇 ET etbot@etnews.com
전자신문과 씽크풀의 증시분석 전문기자 로봇 ET가 쓴 기사입니다

▶ 전자신문 인기 포스트
▶ 전자신문 공식 페이스북
▶ 전자신문 바로가기
[Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
인포바인,머니투데이,2017.11.27. 오후 5:03,"인포바인, 10억원 규모 신주인수권 행사","[머니투데이 이경은 기자]
인포바인은 10억원 규모의 무기명식 이권부 무보증 국내 사모 분리형 신주인수권부사채의 신주인수권을 행사한다고 27일 공시했다. 행사가액은 주당 2만3986원이며 발행주식수는 4만1690주다.

▶지금 옆사람이 보는 기사들
▶무료만화 즐기고~선물타자! ▶치어리더 vs 레이싱걸

이경은 기자 kelee@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
인포바인,머니투데이,2017.11.29. 오후 5:46,"인포바인, 9억원 규모 신주인수권 행사","[머니투데이 이건희 기자] 인포바인은 9억원 규모의 2회차 무기명식 이권부 무보증 국내 사모 분리형 신주인수권부사채의 신주인수권을 행사한다고 29일 공시했다. 행사가액은 주당 2만3986원이며 발행주식수는 3만7521주다.

▶지금 옆사람이 보는 기사들
▶무료만화 즐기고~선물타자! ▶치어리더 vs 레이싱걸

이건희 기자 kunheelee@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
인포바인,아시아경제,2018.03.07. 오후 8:58,"인포바인, 보통주 주당 1080원 현금배당 결정","[아시아경제 김유리 기자] 인포바인은 7일 보통주 주당 1080원 현금배당을 결정했다고 공시했다. 시가배당율은 3.80%, 배당금총액은 23억원 규모다.

김유리 기자 yr61@asiae.co.kr

▶ 네이버 홈에서 '아시아경제' 뉴스 확인하기
▶ 양낙규의 '군사이야기' ▶ #아시아경제 페이스북

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
케이아이엔엑스,머니투데이,2017.11.09. 오후 12:40,"케이아이엔엑스, 3Q 영업이익 25억...전년比 5.44%↑","[머니투데이 김하늬 기자] 케이아이엔엑스는 3분기 영업이익이 25억1700만원으로 전분기대비 20.94% 전년동기대비 5.44% 증가한 것으로 잠정집계됐다고 9일 공시했다.

같은 기간 매출액은 121억4200만원으로 전분기 및 전년동기대비 각각 7.37%, 7.84%씩 늘었고 순이익은 21억9400만원으로 각각 4.67%, 14.00.씩 증가했다.

▶네이버로 '머투' 구독하고 치킨·커피 받으세요
▶무료만화 즐기고~선물타자! ▶치어리더 vs 레이싱걸

김하늬 기자 honey@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
케이아이엔엑스,아시아경제,2017.11.09. 오후 1:03,"케이아이엔엑스, 3분기 영업익 25억…5% 증가","[아시아경제 임혜선 기자]케이아이엔엑스는 3분기 영업이익이 25억원으로 전년동기대비 5% 증가했다고 9일 공시했다. 같은기간 매출액은 121억원으로 7% 늘었다.

임혜선 기자 lhsro@asiae.co.kr

▶ 양낙규의 '군사이야기'
▶ 아시아경제 카카오톡 친구 ▶ #아시아경제 페이스북

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
케이아이엔엑스,뉴시스,2017.11.09. 오후 1:37,"케이아이엔엑스, 3분기 영업익 25억…전년比 5%↑","【서울=뉴시스】김형섭 기자 = 코스닥 상장사 케이아이엔엑스(093320)는 올해 3분기 연결재무제표 기준 영업이익이 전년동기대비 5.44% 증가한 25억1700만원으로 잠정 집계됐다고 9일 공시했다.

같은 기간 매출액은 121억4200만원으로 7.84% 늘었다. 당기순이익은 21억9400만원으로 14.0% 증가했다.

ephites@newsis.com

▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기
▶ 네이버 채널에서 뉴시스를 구독해주세요

<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
케이아이엔엑스,헤럴드경제,2017.11.09. 오후 2:18,"[생생코스닥]케이아이엔엑스, 3분기 영업익 25.1억 전년비 5.44%↑","[헤럴드경제=증권팀] 케이아이엔엑스는 3분기 연결기준 영업이익이 25억1700만원으로 전년동기대비5.44%증가했다고 9일 공시했다.

같은 기간 매출액은 121억4200만원으로 7.84% 늘어난 것으로 나타났다.

당기순이익은 21억9400만원으로 14% 증가한 것으로 집계됐다.

park@heraldcorp.com

▶ 생활용품 알뜰하게 사는 법 럭비(LUCK BE)

▶앞서가는 젊은 경제신문 친구맺기 ▶오늘의 운세 날씨



- Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
케이아이엔엑스,아시아경제,2017.12.27. 오후 2:44,"케이아이엔엑스, 자사주 1만8400주 처분…상여금 지분","[아시아경제 박미주 기자] 케이아이엔엑스은 종업원에 대한 상여금 지급 목적으로 자사주 1만8400주를 처분한다고 27일 공시했다. 지급대상자의 증권계좌로 계좌이체될 예정이다.

박미주 기자 beyond@asiae.co.kr

▶ 양낙규의 '군사이야기'
▶ #아시아경제 채널 구독 ▶ #아시아경제 페이스북

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
케이아이엔엑스,뉴시스,2017.12.27. 오후 2:52,"케이아이엔엑스, 상여금 지급 위해 1만8400주 처분 결정","【서울=뉴시스】김지은 기자 = 코스닥 상장 호스팅 서비스업체 케이아이엔엑스(093320)는 종업원의 상여금 지급을 위해 자사 보통주 1만8400주를 처분한다고 27일 공시했다.

1주당 처분가는 1만4100원으로 처분예정금액은 2억5944만원이다.

kje1321@newsis.com

▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기
▶ 네이버 채널에서 뉴시스를 구독해주세요

<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
