종목명,신문사,시간,제목,본문
참좋은여행,전자신문,2017.10.10. 오후 12:09,"[ET투자뉴스][참좋은여행 지분 변동] 국민연금공단 외 1명 -3.27%p 감소, 4.45% 보유","참좋은여행(094850)은 10일 주주 국민연금공단을 비롯한 특별관계자의 보유주식이 감소되었다고 발표했다. 이는 직전 보고일보다 458,208주 감소하여 지분율은 4.45%로 하락했다. 이번 보고 사유는 단순추가취득/처분으로 알려졌다.




최대주주와 특수관계자의 지분 변동은 주가에 영향을 주는 요인이다. 특히 보유비율을 지속적으로 늘리거나 줄일 경우, 해당종목 투자시 유의할 필요가 있다.
다음은 참좋은여행의 지분 변동 내역과 보유 내역이다.







증시분석 전문기자 로봇 ET etbot@etnews.com
전자신문과 씽크풀의 증시분석 전문기자 로봇 ET가 쓴 기사입니다

▶ 전자신문 인기 포스트
▶ 전자신문 공식 페이스북
▶ 전자신문 바로가기
[Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
참좋은여행,전자신문,2017.10.10. 오후 12:53,[ET투자뉴스]자전거주 테마_참좋은여행 2주간 -0.47%로 하락폭 가장 작아,"현재 시점에서 자전거주 테마 내의 종목들이 모두 하락세를 보이며 좋지 않은 모습을 보여주고 있다. 자전거주 테마지수는 885.68p로 전일보다 -3.06% 하락하는 모습을 나타내고 있는데 , 최근 10일 동안에는 -7.99% 하락하는 모습이다. 당일 테마 내 종목현황을 살펴보면 참좋은여행, 삼천리자전거, 알톤스포츠가 각각 -3.65%, -2.75%, -0.17% 내리며 하락세를 보이고 있다.

[*자전거주테마
885.68p(-3.06%)]
------
종목명/등락율
------
알톤스포츠/ -0.17%
삼천리자전거/ -2.75%
참좋은여행/ -3.65%
------

증시분석 전문기자 로봇 ET etbot@etnews.com
전자신문과 씽크풀의 증시분석 전문기자 로봇 ET가 쓴 기사입니다

▶ 전자신문 인기 포스트
▶ 전자신문 공식 페이스북
▶ 전자신문 바로가기
[Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
참좋은여행,뉴스1,2017.10.16. 오전 8:35,[부고] 이상무씨(참좋은여행 전무이사) 부친상,"■이상일씨 별세, 이상무씨(참좋은여행 전무이사) 부친상=15일 충청나마도 서산중앙병원 장례식장 별실, 발인 17일 오전 7시. (041)669-1414

▶ 뉴스1 [Book] 오픈! 실천 핀테크!
▶ 여러분의 제보를 기다립니다.제보하기!
[© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지]"
참좋은여행,노컷뉴스,2017.10.16. 오전 9:24,[부고] 이상무(참좋은여행 전무이사)씨 부친상,"[CBS노컷뉴스]
▲ 이상무(참좋은여행 전무이사)씨 부친상 = 이상일, 상무, 상빈, 진숙, 현숙 씨 부친상, 10월 15일 저녁, 충청남도 서산중앙병원 장례식장 별실, 발인 17일 오전 7시, ☎ 041-669-1414(장례식장)

저작권자 © CBS 노컷뉴스(www.nocutnews.co.kr) 무단전재 및 재배포 금지"
참좋은여행,스포츠서울,2017.10.20. 오전 8:04,"""봄의 도시로 떠나볼까?"" 참좋은여행, 봄으로 떠나는 가을여행 '베트남 달랏'","베트남 달랏 제공 | 참좋은여행

[스포츠서울 황철훈기자] 하루가 다르게 쌀쌀해지는 요즘, 가끔 따스한 봄기운이 그리워진다.

‘복잡한 일상에서 벗어나 따사로운 봄햇살을 받으며 여유로움을 만끽할 수 있다면~’ 다행히 머릿속 상상은 곧 현실이 된다.
요즘 핫한 해외여행지 베트남의 달랏은 영원한 봄의 도시다.

베트남 판티엣 해변 제공 | 참좋은여행

참좋은여행이 봄의 도시 달랏이 포함된 베트남 패키지를 내놓았다. 달랏은 일년 내내 18∼23℃로 우리나라의 봄 날씨와 같아 여행하기에 딱이다.
특히 선선하고 맑은 날씨로 활짝 핀 꽃들과 우거진 소나무 숲을 즐길 수 있다. 또한 ‘베트남의 하와이’라 불리는 판티엣 해변에서는 여름을 만끽할 수 있다.

최근 베트남은 ‘먹방 여행’의 성지로 떠올랐다. 이번 패키지는 베트남의 대표간식 반미, 싱싱한 해산물 바비큐 등 현지식도 맛볼 수 있다.

이외에도 달랏 전망대 케이블카, 판티엣 화이트 샌드듄과 지프차 투어, 크레이지하우스, 바오다이 황제의 여름 별장, 포사누이 참탑과 용과 농장, 중앙우체국과 노트르담 성당 등 액티비티와 시내 관광이 어우러진 다채로운 여행일정이 이어진다.

이번 베트남 패키지는 호치민과 3박 5일과 4박 5일 일정 중 선택할 수 있으며, 전 일정 4성급 호텔. 항공은 아시아나항공과 대한항공, 비엣젯 항공이며, 비용은 74만9,000원부터다. 자세한 내용은 참좋은여행 홈페이지에서 확인할 수 있다.
color@sportsseoul.com


▶스포츠서울 공식 페이스북

▶팟캐스트 '스포츠서울 야구 X파일'

▶스포츠서울 공식 유튜브 채널

[기사제보 news@sportsseoul.com]
Copyright ⓒ 스포츠서울&sportsseoul.com"
참좋은여행,스포츠서울,2017.10.27. 오전 9:39,"참좋은여행, 동화 속 크리스마스 '서유럽 패키지' 출시","스트라스부르 크리스마스 마켓 제공 | 참좋은여행

[스포츠서울 황철훈기자] 참좋은여행이 다가오는 크리스마스를 더욱 낭만적으로 보낼 수 있는 ‘서유럽 패키지’를 선보였다.

영국, 프랑스, 스위스, 이탈리아 4개국의 9박 10일 일정으로 준비한 이번 패키지는 버스 이동을 최소화시킨 짧은 동선이 특징이다.

유로스타를 타고 영국 런던부터 프랑스 파리, 다시 테제베를 타고 스위스의 인터라켄, 그리고 이탈리아의 밀라노와 베니스, 피렌체, 로마까지 서유럽의 핵심 여행지를 둘러보는 다소 흔한 일정이지만 크리스마스 시즌을 만나면 동화속 환상과 낭만을 만끽할 수 있는 아주 특별한 여행이 된다.

매년 11월 말부터 12월까지 약 한 달간 유럽의 도시들은 크리스마스 마켓을 열어 마치 동화 속 풍경을 연출한다. 또한 크리스마스 마켓은 프랑스의 뱅쇼, 스위스의 글뤼바인 등 각 나라 대표 음식과 각종 조명, 크리스마스 트리, 회전목마와 관람차, 신나는 퍼레이드 등으로 먹거리와 볼거리가 넘쳐난다.

특히 이번 서유럽 패키지는 일본 애니메이션 ‘하울의 움직이는 성’의 배경이 된 프랑스 스트라스부르 크리스마스 마켓과 스위스 중앙에 위치한 루체른 크리스마스 마켓 등을 찾아 동화속 낭만을 만끽할 수 있다.

이외에도 영국의 역사를 한눈에 볼 수 있는 대영박물관부터 프랑스의 루브르 박물관과 베르사유 궁전, 이탈리아의 산 마르코 광장, 유럽의 꼭대기라 불리는 스위스의 융프라우까지 서유럽의 주요 관광지를 모두 둘러볼 수 있다.

이번 여행은 전 일정 일급 호텔 숙박과 미국식 조식이 제공된다. 45인승 이상 전용버스와 함께 유럽여행 전문 인솔자가 동행해 안내한다. 항공은 두바이를 경유하는 에미레이트 항공이며, 가격은 189만원부터다. 자세한 여행 일정은 참좋은여행 홈페이지에서 확인할 수 있다.
color@sportsseoul.com


▶스포츠서울 공식 페이스북

▶팟캐스트 '스포츠서울 야구 X파일'

▶스포츠서울 공식 유튜브 채널

[기사제보 news@sportsseoul.com]
Copyright ⓒ 스포츠서울&sportsseoul.com"
참좋은여행,스포츠서울,2017.10.29. 오후 5:14,"참좋은여행, 품격있는 제주여행 '리무진 투어' 선봬","[스포츠서울 황철훈기자]참좋은여행(대표 이상호)이 제주도 리무진 투어를 선보였다.

이번에 선보이는 리무진 투어는 최고급 리무진 차량과 호텔 숙박, 수준 높은 식사가 특징인 ‘더 플러스 제주 리무진 패키지’다.
8~15명이 모일 경우에는 15인승, 16인 이상일 경우에는 28인승 리무진을 타고 제주도의 곳곳을 편하게 둘러볼 수 있다. 아울러 가이드가 동행해 편안한 여행을 도울 예정이다.

또한 숙박은 하워드 존슨 제주 호텔에서 이뤄져 한층 안락하고 편안한 휴식을 할 수 있다. 하워드 존슨 제주 호텔은 지난 4월 신규 오픈한 호텔로, 430개의 객실을 보유한 글로벌 호텔 브랜드다. 아울러 신라면세점과 롯데면세점, 제주 오일장, 제주시 번화가와 인접해 있어 쇼핑과 관광에 용이하다.

식사 또한 제주도 현지의 맛을 느낄 수 있는 고등어구이부터 두루치기, 해물전골, 토종돼지불고기와 좁쌀막걸리, 전복죽까지 다양하고 수준 높은 메뉴가 준비된다. 이번 여행은 리무진을 타고 제주도의 인기 관광지인 마라도를 비롯해 에코랜드, 아쿠아 플라넷, 화순곶자왈 생태 공원, 카멜리아 힐 등을 관람하는 일정으로 진행된다. 특히 이번 여행은 노팁, 노옵션으로 진행해 다른 패키지 상품과 차별화를 뒀다.

참좋은여행의 ‘제주도 리무진 투어’는 36만원(1인)부터며, 항공은 아시아나다. 자세한 사항은 참좋은여행 홈페이지에서 확인할 수 있다.
color@sportsseoul.com


▶스포츠서울 공식 페이스북

▶팟캐스트 '스포츠서울 야구 X파일'

▶스포츠서울 공식 유튜브 채널

[기사제보 news@sportsseoul.com]
Copyright ⓒ 스포츠서울&sportsseoul.com"
참좋은여행,뉴스1,2017.11.03. 오전 9:21,"""참좋은여행 TV 광고 모델 찾습니다""","참좋은송© News1

(서울=뉴스1) 윤슬빈 기자 = 직판여행사 참좋은여행(대표 이상호)이 CM송 캠페인 '참좋은캐스팅'을 진행해 TV 광고 모델 찾기에 나선다고 3일 밝혔다.

참좋은여행은 오는 30일까지 전 국민 여행객들을 대상으로 CM송 따라 부르기 캠페인을 벌인다. 최종적으로 당선된 주인공은 앞으로 방송될 TV 광고의 모델로 데뷔할 기회가 주어진다.

참여 방법은 '참좋은송'을 따라 부르는 영상을 찍고 유튜브에 올린 뒤, 해당 게시물을 참좋은캐스팅 홈페이지에 등록하거나 이메일, 카카오톡 플러스친구로 전송하면 된다. 영상을 찍을 때는 얼굴이 나오지 않거나 립싱크를 해도 참여할 수 있다.

참좋은여행의 CM송인 '참좋은송'은 10cm 권정열이 원곡 '쓰담쓰담'을 개사한 것으로, 중독성 있는 멜로디와 따라 부르기 쉬운 가사로 많은 고객의 호응을 얻은 바 있다. 해당 CM송은 참좋은캐스팅 홈페이지 내에서 들을 수 있으며, 트와이스 보컬 트레이너로 잘 알려진 김성은 보컬 트레이너가 직접 부른 가이드 영상도 준비돼 있다.

당첨자는 다음달 15일 공식 사이트를 통해 발표된다. 1등에게는 광고 모델 출연료 500만 원, 우수상 5명에게는 200만 원, 인기상 10명에게는 광고 모델 출연 기회 및 100만 원 여행상품권, 참여상 1000명에게는 스타벅스 기프티콘 등을 증정한다.

참좋은여행 관계자는 ""'참좋은캐스팅' 캠페인을 위해 케이블 TV, 라디오, 신문 등 광고비로만 10억여 원을 투자할 것""이라며 ""2018년에도 CM송을 활용한 마케팅 전략을 수립할 계획이다""라고 밝혔다.

참좋은여행 제공© News1


seulbin@news1.kr

▶ '평창2018' 관련 뉴스·포토 보기
▶ 한국바이오포럼(11/30) 참가 신청!
▶ 뉴스1 [BOOK] 오픈! 실천 핀테크!
[© 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지]"
참좋은여행,노컷뉴스,2017.11.07. 오후 6:41,"참좋은여행 CM 송 캠페인 실시, TV 광고 모델 찾는다","'참좋은송' 따라 부르고 캐스팅되자

[CBS노컷뉴스 트래블팀 장효진 기자]
참좋은여행이 CM 송 캠페인 '참좋은캐스팅'을 통해 TV 광고 모델 찾기에 나선다. (사진=참좋은여행 제공)
참좋은여행이 CM 송 캠페인 '참좋은캐스팅'을 통해 TV 광고 모델 찾기에 나선다.

지난 1일부터 오는 30일까지 한 달 동안 진행될 CM 송 따라 부르기 캠페인에 선정된 주인공은 추후 전파를 탈 TV CF의 모델로 데뷔할 수 있는 기회가 주어진다.

참여 방법은 '참좋은송'을 따라 부르는 영상을 찍고 개인 유튜브에 올린 뒤 이를 참좋은캐스팅 홈페이지에 등록하거나 이메일, 카카오톡 플러스 친구로 전송하면 된다. 영상을 찍을 때는 얼굴이 나오지 않거나 립싱크를 해도 참여할 수 있다.

참좋은여행의 CM 송 '참좋은송'은 10㎝ 권정열이 원곡 '쓰담쓰담'을 개사한 것으로 중독성 있는 멜로디와 따라 부르기 쉬운 가사로 많은 고객들의 호응을 얻은 바 있다.

10cm 권정열이 원곡 '쓰담쓰담'을 개사해 만든 '참좋은송' (사진=참좋은여행 제공)
참좋은여행 관계자는 ""'참좋은캐스팅' 캠페인을 위해 케이블 TV, 라디오, 신문 등 광고비로만 10억여 원을 투자할 것""이라며 2018년에도 CM 송을 활용한 마케팅 전략을 수립할 계획이라고 전했다.

당첨자는 오는 12월 15일 공식 사이트를 통해 발표된다. 1등에게는 광고 모델 출연료 500만 원, 우수상 5명에게는 200만 원, 인기상 10명에게는 광고 모델 출연 기회 및 100만 원 상당의 여행상품권, 참여상 1000명에게는 스타벅스 기프티콘이 제공된다. 보다 자세한 내용은 참좋은여행 홈페이지를 통해 확인 가능하다.

취재협조=참좋은여행(www.verygoodtour.com)

cbsnocutnews@naver.com

저작권자 © CBS 노컷뉴스(www.nocutnews.co.kr) 무단전재 및 재배포 금지"
참좋은여행,한국경제,2017.11.13. 오전 8:02,"""참좋은여행, 여행사업 본격 확대…주가 저평가""-하이","하이투자증권은 13일 참좋은여행이 내년에 여행사업부를 본격적으로 확대할 것으로 전망했다. 시장 점유율 상승으로 실적 개선을 이룰 것이란 분석이다. 목표주가를 1만5700원에서 1만8000원으로 상향, 투자의견 '매수'를 유지했다.

조경진 연구원은 ""참좋은여행이 내년에는 기존 아웃바운드 위주의 사업을 인바운드까지 확장할 것""이라며 ""유럽여행 비중이 높은 지역별 믹스도 개선될 것""으로 예상했다.

내년에 연휴가 분산되면서 단거리 여행이 증가하는데, 참좋은여행이 지역별 믹스 개선으로 장거리 위주에서 단거리 여행 고객의 모객을 확보, 시장점유율을 확대할 것으로 내다봤다.

참좋은레져를 물적분할한 점도 호재라고 진단했다. 지난 9월11일 참좋은여행은 자전거를 제조·판매하는 참좋은레져를 물적분할했다. 이후 지분율은 27.45%로 감소했다.

조 연구원은 ""자전거 사업부는 작년에 영업적자 5억을 기록했지만, 연간으로 봤을 때 규모가 크진 않았다""면서도 ""고급자전거 수요 감소로 내년 기준 연간 약 14억으로 영업적자가 확대될 것""으로 예측했다.

이어 그는 ""실적에 부정적 영향을 주었던 자전거 사업부의 적자 반영 규모가 축소돼 투자 심리에는 긍정적으로 작용할 것이다""고 판단했다.

올해 4분기 실적에도 기대를 걸었다. 유럽지역(장거리)의 비중이 높은 패키지 사업을 영위하고 하고 있어, 추석 연휴에 발생한 실적 이연효과가 대형 여행업체보다 더 클 것으로 예상했다.

현재 주가는 저평가되어 있다고 짚었다.

그는 ""최근 주가는 내년 기준 주가수익비율(PER) 14.7배 수준으로 여전히 여행업체 중 가장 저평가돼 추가 상승여력이 높다""며 ""아웃바운드의 지속적인 성장과 여행 사업부 확장 의지에 따른 시장 점유율 상승이 회사의 실적개선 요인으로 작용할 것""으로 기대했다.

김은지 한경닷컴 기자 eunin11@hankyung.com



[한경닷컴 바로가기] [글방] [모바일한경 구독신청]
ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
