종목명,신문사,시간,제목,본문
한양디지텍,연합뉴스,2017.10.13. 오후 3:45,"한양디지텍, 김형육·김윤상 각자대표로 변경","(서울=연합뉴스) 유현민 기자 = 한양디지텍은 김윤상 단독대표에서 김형육·김윤상 각자대표로 변경됐다고 13일 공시했다.

hyunmin623@yna.co.kr

기자가 기다려요. 기사 문의 및 제보는 여기로(클릭!)

최신 유행 트렌드 총집결(클릭!)"
한양디지텍,매일경제,2017.10.13. 오후 3:56,[코스닥 공시] 바른손 / 한양디지텍 / 시공테크 등,"◇바른손=CJ CGV와 영화 우상 제작·공급 계약.

◇한양디지텍=김형육·김윤상 각자 대표 체제로.

◇시공테크=동부건설과 72억원 인테리어 공사.

◇일진파워= 73억원 규모 보일러 설비 공사 수주.

◇C&S자산관리=5대1 감자 결정.

◇에프에스티=삼성전자와 13억원 규모 반도체 장비 공급계약.



▶직장인 당구왕은 바로 당신! 지금 신청하세요
▶뉴스 이상의 무궁무진한 프리미엄 읽을거리"
한양디지텍,이데일리,2017.10.13. 오후 4:49,"한양디지텍, 김형육·김윤상 각자 대표이사 체제로","[이데일리 박정수 기자] 한양디지텍(078350)은 경영 효율성을 높이기 위해 김형육 단독 대표이사 체제에서 김형육·김윤상 각자 대표이사 체제로 변경했다고 13일 공시했다.

박정수 (ppjs@edaily.co.kr)

▶사진으로 보는 핫이슈
▶[페이스북] 보러가기~♥ | [카카오톡] 플친 맺기~♥


＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
한양디지텍,아시아경제,2017.10.13. 오후 4:50,"한양디지텍, 김형육·김윤상 각자 대표 체제로 변경","[아시아경제 문채석 기자]한양디지텍은 경영 효율성을 높이기 위해 김윤상 단독 대표이사 체제에서 김형육 ·김윤상 각자대표 체제로 변경했다고 13일 공시했다.

문채석 기자 chaeso@asiae.co.kr

▶ 양낙규의 [군사이야기]
▶ #오늘의 핫영상(클릭!) ▶ #오늘의 많이 본 (클릭!)

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
한양디지텍,뉴시스,2017.10.13. 오후 5:21,"한양디지텍, 김형육·김윤상 각자대표로 변경","【서울=뉴시스】김경원 기자 = 한양디지텍(078350)은 경영 효율성을 높이기 위해 김윤상 대표이사 체제에서 김형육·김윤상 각자대표로 변경했다고 13일 공시했다.

kimkw@newsis.com

▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기
▶ 뉴시스 SNS [페이스북] [트위터]

<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
한양디지텍,머니투데이,2017.11.27. 오후 5:50,"심텍, 한양디지텍에 18억 규모 손해배상 청구","[머니투데이 이경은 기자]
한양디지텍은 심텍으로부터 17억8117만원 상당의 손해배상청구 소송을 당했다고 27일 공시했다. 이는 한양디지텍의 지난해 자기자본금 대비 4.1%에 해당하는 금액이다. 한양디지텍은 향후 법률대리인을 선임해 법적 절차에 따라 적극 대응하겠다고 밝혔다.

▶지금 옆사람이 보는 기사들
▶무료만화 즐기고~선물타자! ▶치어리더 vs 레이싱걸

이경은 기자 kelee@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
한양디지텍,뉴시스,2017.11.27. 오후 6:01,"한양디지텍 ""심텍이 18억 규모 손해배상청구 제기""","【서울=뉴시스】정옥주 기자 = 한양디지텍(078350)은 심텍이 자사를 상대로 17억8117만원 규모의 손해배상청구 소송을 제기했다고 27일 공시했다. 이는 지난해 기준 자기자본 대비 4.1%에 해당한다.

회사 측은 ""원고 심텍이 납부한 부가가치세 및 가산세에 대해 손해배상을 청구해 온 건""이라며 ""당사는 법률대리인을 선임해 법적인 절차에 따라 적극 대응할 예정""이라고 밝혔다.

channa224@newsis.com

▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기
▶ 네이버 채널에서 뉴시스를 구독해주세요

<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
한양디지텍,연합뉴스,2018.02.05. 오후 3:30,한양디지텍 작년 연결 영업손실 27억원…적자전환,"(서울=연합뉴스) 유현민 기자 = 한양디지텍은 지난해 연결기준 영업손실이 27억원으로 전년 흑자에서 적자로 돌아섰다고 5일 공시했다.

매출액은 767억원으로 13.0% 줄었고, 당기순손실은 22억원으로 215.2% 늘었다.

hyunmin623@yna.co.kr

▶기사제보 및 문의

▶기자와 1:1 채팅  ▶최신 유행 트렌드"
한양디지텍,아시아경제,2018.02.05. 오후 3:32,"한양디지텍, 작년 26억 영업손실…적자전환","[아시아경제 임혜선 기자] 한양디지텍은 지난해 26억원의 영업손실을 기록, 전년대비 적자전환했다고 5일 공시했다. 같은기간 매출액은 766억원으로 13% 줄었다.

임혜선 기자 lhsro@asiae.co.kr

▶ 채널 설정하고 골프장 무료권, 상품권 받자!
▶ 양낙규의 '군사이야기' ▶ #아시아경제 페이스북

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
한양디지텍,머니투데이,2018.02.05. 오후 3:36,"한양디지텍, 지난해 영업익 26.7억원 적자.. 적자 전환","[머니투데이 안재용 기자]
한양디지텍은 지난해 연결 영업이익이 26억7592만원 적자로 적자 전환했다고 5일 공시했다. 매출액은 13% 감소한 766억8860만원을 기록했다.

▶빵~ 뜨는 따끈한 기사
▶무료 만화 보고 선물도 받고~ ▶치어리더 vs 레이싱걸

안재용 기자 poong@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
