종목명,신문사,시간,제목,본문
에스텍파마,한국경제TV,2017.10.17. 오전 9:03,[국고처 장동우] 종목상담 - 에스텍파마(041910),"[한국경제TV 김현경 PD]
[국고처 장동우] 종목상담 - 에스텍파마(041910)

10월 14일 방송된 `국민주식고충처리반`에 출연한 장동우파트너가 에스텍파마(041910)에 대한 시세와 전망을 이야기하고 있다.

▶대한민국 대표 증권방송 `국민주식고충처리반` 매주 토 오전 10시

스마트폰 앱 `주식창`에 시청자 의견 남겨주세요.

김현경 PD hkkim@wowtv.co.kr



ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
에스텍파마,파이낸셜뉴스,2017.10.18. 오전 9:24,[fnRASSI]에스텍파마 전일대비 8.37% 상승,"에스텍파마(041910)는 현재 주가가 전일 대비 8.37% 상승한 11,650원 선에서 거래가 이루어지고 있다.

외국인 보유량 증가, 기관 감소 (5일 누적)
최근 5일간 동종목의 외국인 투자자는 4,165주 순매수하였고 반면 기관은 167주 순매도하였다. 전날 외국인 10,560주 순매수, 기관167주 순매도하며 보유 비율이 변동했다.

다음 표는 동종목의 외국인, 기관의 일별 순매수량을 나타낸 것이다.



상장주식수 대비 거래량은 1.52%로 적정수준
최근 한달간 에스텍파마의 상장주식수 대비 거래량을 비교해보니 일별 매매회전율이 1.52%로 집계됐다. 그리고 동기간 장중 저점과 고점의 차이인 일평균 주가변동률을 4.65%를 나타내고 있다.

'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
에스텍파마,파이낸셜뉴스,2017.11.17. 오후 1:47,"[fnRASSI]에스텍파마(041910), 52주 신고가...4.23% ↑","에스텍파마(041910)는 52주신고가를 기록하고 있어 주목할만하다. 동종목의 현재 주가는 13,550원 선에서 이루어지고 있다. 거래일을 기준으로 최근 3일간 평균 거래량은 101만 주이다. 이는 60일 일 평균 거래량 32만 주와 비교해보면 최근 거래량이 급격히 늘어났다는 것을 알 수 있다.

개인투자자의 거래비중이 가장 높아
최근 한달간 주체별 거래비중을 살펴보면 개인이 전체 거래량의 95.19%를 차지하며 가장 활발한 참여를 보였고, 외국인은 4.73%, 기관은 0.06%의 거래 참여율을 보였다. 그리고 최근 5일간 거래비중은 개인이 94.14%로 가장 높은 참여율을 보였고, 외국인이 5.81%를 보였으며 기관은 0.03%를 나타냈다.

주주들의 손바뀜이 잦은 듯
최근 한달간 에스텍파마의 매매회전율을 분석한 결과 18일에 1번 꼴로 주식의 주인이 바뀐 것으로 나타났다. 회전율이 높은 경우 유동성이 좋다고 할 수 있으나 이런경우 주가변동이 심한 경우가 많아 주의가 요구된다. 동종목의 경우 동기간 일평균 주가변동률은 6.15%를 기록했다.

'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
에스텍파마,서울경제,2017.12.20. 오후 1:59,"(코)에스텍파마, 전일 대비 7.56% 상승.. 일일회전율은 1.00% 기록","[서울경제] 에스텍파마(041910)는 20일 오후 1시 58분 현재 7.56% 오른 12,100원에 거래되고 있으며, 35(매도):65(매수)의 매수우위를 기록하고 있다. 거래대금은 13억5,872만, 거래량은 11만8,348주로 거래량회전율은 1.00%로 나타났다.


이 기간 '제약업' 업종 평균 주가수익률은 10.63%로 나타났으며, 변동성은 2.40%를 기록했다.

이 시각 현재 '제약업'은 1.09% 상승 중이며, 47(매도):53(매수)의 매수우위를 기록하고 있다.

[이 기사는 증시분석 전문기자 서경뉴스봇(newsbot@sedaily.com)이 실시간으로 작성했습니다.]

/서경뉴스봇 newsbot@sedaily.com

[서울경제 바로가기]
이제 주식시세도 서울경제에서 확인하세요 [바로가기▶]
서울경제의 모든 연재물!... 서경Cube [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
에스텍파마,파이낸셜뉴스,2017.12.28. 오전 11:08,"[fnRASSI]에스텍파마, 2.07% 오르며 거래량 증가","에스텍파마(041910)의 당일 거래량이 최근 5거래일 거래량의 최고치를 경신했다. 그리고 에스텍파마는 4일 연속 상승흐름을 보이며, 11시 6분 현재 2.07% 증가한 12,350원에 거래중이다.

기관과 개인은 순매도, 외국인은 순매수(한달누적)
12월21일부터 전일까지 외국인이 4거래일 연속 순매수를 보였다. 4주간을 기준으로 보면 외국인이 매수반전의 모습을 보이며 10,390주를 순매수한 반면, 기관은 매도 우위를 지속하면서 652주를 순매도했고, 개인들도 순매수에서 순매도로 반전되면서 9,738주를 순매도한 것으로 집계됐다.

퀀트 재무분석, 종합점수 31점으로 상승
지표
항목
값
종합점수
성장성
매출액증가율
-0.12
3.2
자기자본증가율
-0.04
안정성
부채비율
24.24
9.03
유동비율
274.76
이익안정성
8.06
수익성
ROA
3.68
6.39
ROE
4.57
영업이익율
8.31


에스텍파마의 퀀트 재무 점수는 18.62점으로 3개월 이전 18.14점보다 올랐다. 지난 분기에 비해 성장성 점수가 상승했다. 이는 매출액 증가율이 증가하였기 때문이다. 수익성 측면에서 볼때 ROA, ROE, 영업이익률 모두 개선되어 이전보다 좋은 점수를 받았다.



'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
에스텍파마,한국경제TV,2018.01.05. 오후 2:25,"에스텍파마, 전일 대비 약 5% 상승한 13,050원","[한국경제TV 라이온봇 기자]
에스텍파마는 1월 5일 14시 24분 전일 대비 약 5% 상승한 13,050원에 거래되고 있다.
에스텍파마는 코스닥 상장 기업으로 제약 업종에 속해 있다. 시가총액은 1466억원으로 코스닥 상장기업 중 412위에 위치 해 있다.

[종목 성향 진단]


[그림 1] 종목 성향 진단
에스텍파마의 투자 스타일은 성장주에 가깝다. 주가 고평가 우려가 공존하지만 높은 성장성이 기대되는 기업이다.
주가 모멘텀은 부진한 편이었다.
최근 1개월 수익률은 -1.19%의 하락폭을 기록했다.
에스텍파마종목에 대한 투자자의 관심도는 평범한 수준이었다.

[투자 점수 진단]


[그림 2] Factor Score


에스텍파마는 안정성(부채비율) 측면에서 두각을 나타내고 있다. 최근 부채비율은 82점으로 6개의 핵심 팩터 중 가장 높은 점수를 기록했다.
부채비율은 전체 시장 내 371위를 기록하며 상위 18.01%에 위치했다.
업종별로는 62위를 기록하며 상위 30.65%에 위치했다.
그리고 수익성(영업이익률) 역시 도드라지는 편이다. 수익성 점수는 70점으로 두번째로 높은 점수를 기록했다.
영업이익률은 전체 시장 내 579위를 기록하며 상위 29.63%에 위치했다.
업종별로는 79위를 기록하며 상위 39.59%에 위치했다.
매출증가율(YoY)과 PER은 아쉬움을 나타냈다.

[종합 투자점수]


[그림 3] 종합 Score
AI 인공지능 분석을 통한 에스텍파마의 종목 종합 스코어는 52점을 기록했다.
이는 동일 업종 평균점수인 52점과 시장 평균점수인 57점를 하회하는 수치였다.

(위의 AI인공지능 점수는 재무 데이터를 기반으로 전체 상장 종목과 비교/분석하여 도출한 점수로 높은 점수가 반드시 높은 수익률을 보장하지 않습니다.)

라이온봇 기자 -한국경제TV

라이온봇기자



ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
에스텍파마,서울경제,2018.01.11. 오전 10:16,"(코)에스텍파마, 장중 신고가 돌파.. 13,700→13,750(▲50)","[서울경제] 오전 10시 14분 현재 에스텍파마(041910)가 4.96% 오른 13,750원(▲650)을 기록하며, 52주 신고가를 +50원 경신했다. 기존 52주 최고가는 2017년 11월 20일 기록한 13,700원이다. 체결강도는 184%로 강세 반전했다. 총매수체결량은 135,142주, 총매도체결량은 73,640주를 각각 기록했다. (※ 체결강도(%) = (총매수체결량/총매도체결량)*100)


이 시각 현재 거래대금은 28억1,473만, 거래량은 21만1,611주를 기록하고 있으며, 수급측면으로는 35(매도):65(매수)의 매수우위를 보이고 있다.

거래일을 기준으로 최근 3일간 평균 거래량은 3십1만4천주, 60일 평균 거래량 4십만2천주로 최근 거래량이 큰 폭으로 감소하는 추세다.

[이 기사는 증시분석 전문기자 서경뉴스봇(newsbot@sedaily.com)이 실시간으로 작성했습니다.]

/서경뉴스봇 newsbot@sedaily.com

[서울경제 바로가기]
이제 주식시세도 서울경제에서 확인하세요 [바로가기▶]
블록체인의 모든 것, 서울경제 Decenter [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
에스텍파마,파이낸셜뉴스,2018.01.11. 오전 10:26,"[fnRASSI]에스텍파마, 52주 신고가...3.82% ↑","에스텍파마(041910)는 52주신고가를 기록하고 있어 주목할만하다. 동종목의 현재 주가는 13,600원 선에서 이루어지고 있다. 거래일을 기준으로 최근 3일간 평균 거래량은 47만 주이다. 이는 60일 일 평균 거래량 40만 주와 비교해보면 최근 거래량이 약간 증가했지만 크게 벗어나지는 않았다.

기관과 개인은 순매도, 외국인은 순매수(한달누적)
1월5일부터 전일까지 외국인이 4거래일 연속 순매수를 보였다. 4주간을 기준으로 보면 외국인이 초반에 동종목을 순매수한 이후에 기세를 이어가며 106,526주를 순매수한 반면, 기관은 매도 관점으로 접근하면서 257주를 순매도했고, 개인들도 매도쪽으로 방향을 잡으면서 106,269주를 순매도한 것으로 집계됐다.

주가등락폭은 다소 큰 편
최근 한달간 에스텍파마의 상장주식수 대비 거래량을 비교해보니 일별 매매회전율이 1.66%로 집계됐다. 동기간 일평균 주가변동률은 7.63%로 장중 저점과 고점의 차이가 매우 컸음을 알 수 있다.

'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
에스텍파마,한국경제TV,2018.01.11. 오전 11:28,"에스텍파마, 52주 신고가 경신... 전일 대비 6% 상승","[한국경제TV 라이온봇 기자]

에스텍파마는 52주 신고가를 경신했다. 에스텍파마는 1월 11일 11시 27분 전일 대비 약 6% 상승한 13,900원에 거래되고 있다. 에스텍파마는 코스닥 상장 기업으로 제약 업종에 속해 있다. 시가총액은 1,542억원으로 코스닥 상장기업 중 399위에 위치 해 있다.

[종목 성향 진단]


[그림 1] 종목 성향 진단


에스텍파마의 투자 스타일은 성장주에 가깝다. 주가 고평가 우려가 공존하지만 높은 성장성이 기대되는 기업이다.
주가 모멘텀은 좋은 편에 속했다. 최근 1개월 수익률은 16.44%의 상승폭을 기록했다.
에스텍파마종목에 대한 투자자의 관심도는 높은 편에 속한다.

[투자 점수 진단]


[그림 2] 투자 점수 진단


에스텍파마는 안정성(부채비율) 측면에서 두각을 나타내고 있다. 최근 부채비율은 82점으로 6개의 핵심 팩터 중 가장 높은 점수를 기록했다. 부채비율은 전체 시장 내 372위를 기록하며 상위 18.01%에 위치했다. 업종별로는 62위를 기록하며 상위 30.65%에 위치했다.
그리고 수익성(영업이익률) 역시 도드라지는 편이다. 수익성 점수는 70점으로 두번째로 높은 점수를 기록했다. 영업이익률은 전체 시장 내 579위를 기록하며 상위 29.63%에 위치했다. 업종별로는 79위를 기록하며 상위 39.59%에 위치했다.
매출증가율(YoY)과 PER은 아쉬움을 나타냈다.

[종합 투자점수]


[그림 3] 종합 투자점수


AI 인공지능 분석을 통한 에스텍파마의 종목 종합 스코어는 52점을 기록했다.
이는 동일 업종 평균점수인 52점과 시장 평균점수인 57점를 하회하는 수치였다.

(위의 AI인공지능 점수는 재무 데이터를 기반으로 전체 상장 종목과 비교/분석하여 도출한 점수로 높은 점수가 반드시 높은 수익률을 보장하지 않습니다.)

라이온봇 기자 -한국경제TV

라이온봇기자



ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
에스텍파마,한국경제TV,2018.01.11. 오전 11:28,"에스텍파마, 전일 대비 약 6% 상승한 13,850원","[한국경제TV 라이온봇 기자]

에스텍파마는 1월 11일 11시 28분 전일 대비 약 6% 상승한 13,850원에 거래되고 있다. 에스텍파마는 코스닥 상장 기업으로 제약 업종에 속해 있다. 시가총액은 1,542억원으로 코스닥 상장기업 중 399위에 위치 해 있다.

[종목 성향 진단]


[그림 1] 종목 성향 진단


에스텍파마의 투자 스타일은 성장주에 가깝다. 주가 고평가 우려가 공존하지만 높은 성장성이 기대되는 기업이다.
주가 모멘텀은 좋은 편에 속했다. 최근 1개월 수익률은 16.44%의 상승폭을 기록했다.
에스텍파마종목에 대한 투자자의 관심도는 높은 편에 속한다.

[투자 점수 진단]


[그림 2] 투자 점수 진단


에스텍파마는 안정성(부채비율) 측면에서 두각을 나타내고 있다. 최근 부채비율은 82점으로 6개의 핵심 팩터 중 가장 높은 점수를 기록했다. 부채비율은 전체 시장 내 372위를 기록하며 상위 18.01%에 위치했다. 업종별로는 62위를 기록하며 상위 30.65%에 위치했다.
그리고 수익성(영업이익률) 역시 도드라지는 편이다. 수익성 점수는 70점으로 두번째로 높은 점수를 기록했다. 영업이익률은 전체 시장 내 579위를 기록하며 상위 29.63%에 위치했다. 업종별로는 79위를 기록하며 상위 39.59%에 위치했다.
매출증가율(YoY)과 PER은 아쉬움을 나타냈다.

[종합 투자점수]


[그림 3] 종합 투자점수


AI 인공지능 분석을 통한 에스텍파마의 종목 종합 스코어는 52점을 기록했다.
이는 동일 업종 평균점수인 52점과 시장 평균점수인 57점를 하회하는 수치였다.

(위의 AI인공지능 점수는 재무 데이터를 기반으로 전체 상장 종목과 비교/분석하여 도출한 점수로 높은 점수가 반드시 높은 수익률을 보장하지 않습니다.)

라이온봇 기자 -한국경제TV

라이온봇기자



ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
