종목명,신문사,시간,제목,본문
엘디티,서울경제,2018.01.26. 오후 1:58,"(코)엘디티, 전일 대비 15.08% 상승.. 일일회전율은 2.44% 기록","[서울경제] 엘디티(096870)는 26일 오후 1시 56분 현재 15.08% 오른 3,930원에 거래되고 있으며, 30(매도):70(매수)의 매수우위를 기록하고 있다. 거래대금은 6억1,709만, 거래량은 16만2,901주로 거래량회전율은 2.44%로 나타났다.


지난 1개월간 엘디티는 상승 17회, 하락 12회를 기록했고, 주가수익률은 22.05% 표준편차는 1.67%를 기록했다. 이 기간 '반도체업' 업종 평균 주가수익률은 1.85%로 나타났으며, 변동성은 1.60%를 기록했다.

이 시각 현재 '반도체업'은 0.37% 상승 중이며, 56(매도):44(매수)의 매도우위를 기록하고 있다.

[이 기사는 증시분석 전문기자 서경뉴스봇(newsbot@sedaily.com)이 실시간으로 작성했습니다.]

/서경뉴스봇 newsbot@sedaily.com

[서울경제 바로가기]
이제 주식시세도 서울경제에서 확인하세요 [바로가기▶]
블록체인의 모든 것, 서울경제 Decenter [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
엘디티,파이낸셜뉴스,2018.01.26. 오후 1:58,[fnRASSI]엘디티(096870) 전일대비 9.96% 상승,"엘디티(096870)는 현재 주가가 전일 대비 9.96% 상승한 3,755원 선에서 거래가 이루어지고 있다.

거래참여는 개인투자자가 가장 활발
최근 한달간 주체별 거래비중을 살펴보면 개인이 전체 거래의 96.48%를 차지하며 가장 적극적인 모습을 보여줬고, 외국인은 3.01%를 나타냈으며 기관은 0.5%를 나타냈다. 그리고 최근 5일간 거래비중은 개인이 94.71%, 외국인이 3.03%, 기관은 2.25%를 기록했다.

외국인, 기관 모두 보유량 증가 (5일 누적)
최근 5일간 동종목의 외국인 투자자는 3,389주 순매수하였고 마찬가지로 기관은 5,791주 순매수하였다. 전날 두 주체 각각 1,326주, 5,791주 순매수하며 보유 비율을 늘렸다.

다음 표는 동종목의 외국인, 기관의 일별 순매수량을 나타낸 것이다.



'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
엘디티,서울경제,2018.01.29. 오후 1:06,"(코)엘디티, 전일 대비 7.67% 상승.. 일일회전율은 2.72% 기록","[서울경제] 엘디티(096870)는 29일 오후 1시 5분 현재 7.67% 오른 3,650원에 거래되고 있으며, 39(매도):61(매수)의 매수우위를 기록하고 있다. 거래대금은 6억4,106만, 거래량은 18만1,384주로 거래량회전율은 2.72%로 나타났다.


지난 1개월간 엘디티는 상승 17회, 하락 12회를 기록했고, 주가수익률은 12.31% 표준편차는 1.67%를 기록했다. 이 기간 '반도체업' 업종 평균 주가수익률은 2.22%로 나타났으며, 변동성은 1.58%를 기록했다.

이 시각 현재 '반도체업'은 1.31% 상승 중이며, 55(매도):45(매수)의 매도우위를 기록하고 있다.

[이 기사는 증시분석 전문기자 서경뉴스봇(newsbot@sedaily.com)이 실시간으로 작성했습니다.]

/서경뉴스봇 newsbot@sedaily.com

[서울경제 바로가기]
이제 주식시세도 서울경제에서 확인하세요 [바로가기▶]
블록체인의 모든 것, 서울경제 Decenter [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
엘디티,연합뉴스,2018.02.27. 오후 2:49,"엘디티, 안정기 호환형 LED 장치 특허","(서울=연합뉴스) 전명훈 기자 = 엘디티는 '전자식 안정기 호환형 발광 다이오드(LED) 구동장치 및 그 구동방법'에 대한 특허를 취득했다고 27일 공시했다.

회사 측은 자사 제품의 생산성을 높이고 원가를 줄이는 데 이 특허를 활용할 수 있다고 설명했다.

id@yna.co.kr

▶기사제보 및 문의

▶로봇이 쓰는 올림픽 속보  ▶사진구매 문의"
엘디티,머니투데이,2018.02.27. 오후 3:50,"엘디티, 전자식 안정기 호환형 LED 구동장치 특허권","[머니투데이 김민중 기자]
엘디티는 전자식 안정기 호환형 발광 다이오드(LED) 구동장치 및 그 구동방법에 대한 특허권을 취득했다고 27일 공시했다.

엘디티는 ""해당 특허는 자사제품의 생산성 향상 및 원가절감에 활용할 계획""이라고 밝혔다.

▶빵~ 뜨는 따끈한 기사
▶무료 만화 보고 선물도 받고~ ▶치어리더 vs 레이싱걸

김민중 기자 minjoong@

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
엘디티,한국경제TV,2018.03.06. 오전 10:00,"엘디티, 전일 대비 약 -7% 하락한 3,455원","[한국경제TV 라이온봇 기자]

엘디티는 3월 6일 9시 59분 전일 대비 약 -7% 하락한 3,455원에 거래되고 있다. 엘디티는 코스닥 상장 기업으로 반도체 업종에 속해 있다. 시가총액은 248억원으로 코스닥 상장기업 중 1,209위에 위치 해 있다.

[종목 성향 진단]


[그림 1] 종목 성향 진단


엘디티의 투자 스타일은 성장주에 가깝다. 주가 고평가 우려가 공존하지만 높은 성장성이 기대되는 기업이다.
주가 모멘텀은 평범한 수준이었다. 최근 1개월 수익률이 4.35%, 3개월 수익률은 4.35%, 6개월 수익률은 4.79%를 기록했다.
엘디티 종목에 대한 투자자의 관심도는 상대적으로 낮은 편이었다.

[투자 점수 진단]


[그림 2] 투자 점수 진단


엘디티는 안정성(부채비율) 측면에서 두각을 나타내고 있다. 최근 부채비율은 90점으로 6개의 핵심 팩터 중 가장 높은 점수를 기록했다. 부채비율은 전체 시장 내 235위를 기록하며 상위 10.38%에 위치했다. 업종별로는 78위를 기록하며 상위 12.2%에 위치했다.
그러나 매출증가율(YoY)과 영업이익률은 아쉬움을 나타냈다.

[종합 투자점수]


[그림 3] 종합 투자점수


AI 인공지능 분석을 통한 엘디티의 종목 종합 스코어는 44점을 기록했다.
이는 동일 업종 평균점수인 57점과 시장 평균점수인 57점를 하회하는 수치였다.

(위의 AI인공지능 점수는 재무 데이터를 기반으로 전체 상장 종목과 비교/분석하여 도출한 점수로 높은 점수가 반드시 높은 수익률을 보장하지 않습니다. 위의 자료는 당사의 추천 종목이 아니며, 투자 시 참고용으로 제시해드리는 것입니다.)

라이온봇 기자 -한국경제TV

※ 본 기사는 한국경제TV와 '거장들의 투자공식이'
자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.

라이온봇기자



ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
엘디티,머니투데이,2018.03.08. 오후 5:00,"엘디티, 작년 영업적자 9억원…전년比 31.77%↓","[머니투데이 이재원 기자] 엘디티는 지난해 연결기준 영업적자가 전년 대비 31.77% 줄어든 9억8901만원이라고 8일 공시했다.

당기순손실은 37억6563억원으로 57.12% 늘었다. 매출은 93억3643만원으로 22.32% 증가했다.

회사 측은 ""기존 제품 매출 증가로 매출은 개선됐다""면서도 ""단가 하락으로 인한 수익성 감소와 신제품 개발 및 판매 지연으로 수익성이 악화했다""고 설명했다.

▶빵~ 뜨는 따끈한 기사
▶무료 만화 보고 선물도 받고~ ▶치어리더 vs 레이싱걸

이재원 기자 jaygoo@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
엘디티,한국경제TV,2018.03.20. 오전 10:58,"엘디티, 전일 대비 약 -4% 하락한 3,250원","[한국경제TV 라이온봇 기자]

엘디티는 3월 20일 10시 58분 전일 대비 약 -4% 하락한 3,250원에 거래되고 있다. 엘디티는 코스닥 상장 기업으로 반도체 업종에 속해 있다. 시가총액은 226억원으로 코스닥 상장기업 중 1,216위에 위치 해 있다.

[종목 성향 진단]


[그림 1] 종목 성향 진단


엘디티의 투자 스타일은 성장주에 가깝다. 주가 고평가 우려가 공존하지만 높은 성장성이 기대되는 기업이다.
주가 모멘텀은 부진한 편이었다. 최근 6개월 수익률은 -3.29%의 하락폭을 기록했다. 최근 1개월 수익률 또한 -2.03% 하락하며 부진한 모멘텀을 이어가고 있다.
엘디티 종목에 대한 투자자의 관심도는 상대적으로 낮은 편이었다.

[투자 점수 진단]


[그림 2] 투자 점수 진단


엘디티는 안정성(부채비율) 측면에서 두각을 나타내고 있다. 최근 부채비율은 90점으로 6개의 핵심 팩터 중 가장 높은 점수를 기록했다. 부채비율은 전체 시장 내 235위를 기록하며 상위 10.38%에 위치했다. 업종별로는 78위를 기록하며 상위 12.2%에 위치했다.
그러나 매출증가율(YoY)과 영업이익률은 아쉬움을 나타냈다.

[종합 투자점수]


[그림 3] 종합 투자점수


AI 인공지능 분석을 통한 엘디티의 종목 종합 스코어는 44점을 기록했다.
이는 동일 업종 평균점수인 57점과 시장 평균점수인 56점를 하회하는 수치였다.

(위의 AI인공지능 점수는 재무 데이터를 기반으로 전체 상장 종목과 비교/분석하여 도출한 점수로 높은 점수가 반드시 높은 수익률을 보장하지 않습니다. 위의 자료는 당사의 추천 종목이 아니며, 투자 시 참고용으로 제시해드리는 것입니다.)

라이온봇 기자 -한국경제TV

※ 본 기사는 한국경제TV와 '거장들의 투자공식이'
자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.

라이온봇기자



ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
엘디티,서울경제,2018.03.28. 오후 2:45,"(코)엘디티, 전일 대비 8.62% 상승.. 일일회전율은 1.56% 기록","[서울경제] 엘디티(096870)는 28일 오후 2시 44분 현재 8.62% 오른 3,465원에 거래되고 있으며, 41(매도):59(매수)의 매수우위를 기록하고 있다. 거래대금은 3억5,392만, 거래량은 10만4,116주로 거래량회전율은 1.56%로 나타났다.



지난 1개월간 엘디티는 상승 10회, 하락 17회를 기록했고, 주가수익률은 -0.86% 표준편차는 1.97%를 기록했다. 이 기간 '반도체업' 업종 평균 주가수익률은 -5.73%로 나타났으며, 변동성은 1.67%를 기록했다.

이 시각 현재 '반도체업'은 1.98% 상승 중이며, 39(매도):61(매수)의 매수우위를 기록하고 있다.

[이 기사는 증시분석 전문기자 서경뉴스봇(newsbot@sedaily.com)이 실시간으로 작성했습니다.]

/서경뉴스봇 newsbot@sedaily.com

[서울경제 바로가기]
이제 주식시세도 서울경제에서 확인하세요 [바로가기▶]
블록체인의 모든 것, 서울경제 Decenter [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
디지아이,전자신문,2017.11.17. 오전 9:40,"[ET투자뉴스]디지아이, 17년3분기 실적 발표","11월 14일 디지아이(043360)의 2017년 3분기 개별 확정 실적이 발표됐다. 매출액은 전년 같은 기간 대비해서 6.66% 증가하여 58억원을 달성했다. 당기순이익은 -3.9억원으로 -4억원에서 적자축소되었다.






이번분기 기준으로 추정되는 디지아이의 자기자본이익률(ROE)은 -3.2%로 나타났다. 전년 동기인 2016년 3분기 ROE는 -2.8%로 이번 분기에 0.4%p 하락했다. 한편 동종목의영업이익률은 4.3%이다. 지난해 동기 영업이익률은 -0.1%로 이번 3분기가 4.4%p 상승했다.




주가가 1주당 순자산의 몇배인지 알려주는 주가순자산비율인 PBR은 0.62배이다. PBR은 최근 4분기 이상 연속으로 하락하고 있다. 지난해 동기 PBR은 0.99배로 이번 3분기 PBR이 하락했다.






다음은 디지아이와 동일 업종 내 비교 그룹 종목의 각각 최근 실적의 전년 동기 대비 성장률이다. 디지아이의 매출액 증감율은 타 종목 대비 가장 우수한 편이다. 그리고 주가의 하락율이 가장 큰 편으로 나타났다.





증시분석 전문기자 로봇 ET etbot@etnews.com
전자신문과 씽크풀의 증시분석 전문기자 로봇 ET가 쓴 기사입니다

▶ 전자신문 인기 포스트
▶ 전자신문 공식 페이스북
▶ 전자신문 바로가기
[Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
디지아이,파이낸셜뉴스,2018.01.04. 오전 11:35,"[fnRASSI]디지아이, 0.94% 내리며 거래량 증가","디지아이(043360)의 현재 거래량이 최근 5거래일 거래량의 최고치를 넘어섰다. 그리고 현재 전 거래일보다 0.94% 감소하여 3일 연속 하락흐름을 보이고 있다.

기관/개인 순매수, 외국인은 순매도(한달누적)
1월2일부터 전일까지 외국인이 2거래일 연속 순매도했다. 4주간을 기준으로 보면 기관이 매수 우위를 유지하며 8주를 순매수했고, 개인들도 매매관점을 매도에서 매수로 전환하면서 2,716주를 순매수했다. 반면 그 동안 외국인은 2,724주를 순매도했다.

개인,외국인만 거래 참여
최근 한달간 주체별 거래비중을 살펴보면 개인이 96.86%, 외국인이 3.13%를 보였고, 기관은 거래참여가 없었다. 그리고 최근 5일간 거래비중은 개인이 97.48%, 외국인이 2.51%를 기록한 것으로 나타났다.

'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
디지아이,파이낸셜뉴스,2018.01.29. 오전 9:35,"[fnRASSI]디지아이, 2.64% 오르며 거래량 증가","디지아이(043360)의 현재 거래량이 최근 5거래일 거래량의 최고치를 경신하며 투자자들의 관심을 받고 있다. 그리고 디지아이는 5일 연속 상승흐름을 보이며, 9시 29분 현재 2.64% 증가한 3,300원에 거래중이다.

거래참여는 개인투자자가 가장 활발
최근 한달간 주체별 거래비중을 살펴보면 개인이 전체 거래의 95.18%를 차지하며 가장 적극적인 모습을 보여줬고, 외국인은 4.14%를 나타냈으며 기관은 0.66%를 나타냈다. 그리고 최근 5일간 거래비중은 개인이 92.99%로 가장 높은 참여율을 보였고, 외국인이 3.86%를 보였으며 기관은 3.13%를 나타냈다.

기관/개인 순매수, 외국인은 순매도(한달누적)
1월25일부터 전일까지 기관과 외국인은 2거래일 연속 동반 순매수를 보였다. 4주간을 기준으로 보면 기관이 초반에는 특별한 움직임을 보이지 않다가 최근에 순매수로 방향을 잡으면서 2,936주를 순매수했고, 개인들도 매기를 떨어뜨리면서도 5,220주를 순매수했다. 반면 그 동안 외국인은 매도 후 매수의 관점을 보이고 있음에도 불구하고 8,156주를 순매도했다.

'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
디지아이,한국경제TV,2018.01.29. 오후 12:58,"디지아이, 5거래일 연속 상승... 전일 대비 3% 상승","[한국경제TV 라이온봇 기자]

디지아이는 현재 5거래일 연속 상승세를 기록하고 있어 주목할 만하다. 디지아이는 1월 29일 12시 57분 전일 대비 약 3% 상승한 3,310원에 거래되고 있다. 디지아이는 코스닥 상장 기업으로 정보기기 업종에 속해 있다. 시가총액은 289억원으로 코스닥 상장기업 중 1,181위에 위치 해 있다.

[종목 성향 진단]


[그림 1] 종목 성향 진단


디지아이의 투자 스타일은 가치주에 가깝다. 기업 가치 대비 낮은 주가가 매력적인 기업이다.
주가 모멘텀은 평범한 수준이었다. 최근 1개월 수익률이 1.74%, 3개월 수익률은 1.74%, 6개월 수익률은 -1.08%를 기록했다.
디지아이종목에 대한 투자자의 관심도는 매우 낮은 편이었다.

[투자 점수 진단]


[그림 2] 투자 점수 진단


디지아이는 안정성(부채비율) 측면에서 두각을 나타내고 있다. 최근 부채비율은 96점으로 6개의 핵심 팩터 중 가장 높은 점수를 기록했다. 부채비율은 전체 시장 내 106위를 기록하며 상위 4.25%에 위치했다. 업종별로는 41위를 기록하며 상위 6.19%에 위치했다.
그리고 저평가성2(PBR) 역시 도드라지는 편이다. 저평가성2 점수는 84점으로 두번째로 높은 점수를 기록했다. PBR은 전체 시장 내 296위를 기록하며 상위 15.83%에 위치했다. 업종별로는 32위를 기록하며 상위 5.62%에 위치했다.
그러나 매출증가율(YoY)이 아쉬움을 나타냈다.

[종합 투자점수]


[그림 3] 종합 투자점수


AI 인공지능 분석을 통한 디지아이의 종목 종합 스코어는 64점을 기록했다.
이는 동일 업종 평균점수인 57점과 시장 평균점수인 57점를 상회하는 수치였다.

(위의 AI인공지능 점수는 재무 데이터를 기반으로 전체 상장 종목과 비교/분석하여 도출한 점수로 높은 점수가 반드시 높은 수익률을 보장하지 않습니다.)

라이온봇 기자 -한국경제TV

※ 본 기사는 한국경제TV와 '거장들의 투자공식이'
자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.

라이온봇기자



ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
디지아이,한국경제TV,2018.02.08. 오후 3:00,"디지아이, 전일 대비 약 6% 상승한 3,385원","[한국경제TV 라이온봇 기자]

디지아이는 2월 8일 14시 59분 전일 대비 약 6% 상승한 3,385원에 거래되고 있다. 디지아이는 코스닥 상장 기업으로 정보기기 업종에 속해 있다. 시가총액은 287억원으로 코스닥 상장기업 중 1,179위에 위치 해 있다.

[종목 성향 진단]


[그림 1] 종목 성향 진단


디지아이의 투자 스타일은 가치주에 가깝다. 기업 가치 대비 낮은 주가가 매력적인 기업이다.
주가 모멘텀은 평범한 수준이었다. 최근 1개월 수익률이 2.24%, 3개월 수익률은 2.24%, 6개월 수익률은 -0.78%를 기록했다.
디지아이 종목에 대한 투자자의 관심도는 매우 낮은 편이었다.

[투자 점수 진단]


[그림 2] 투자 점수 진단


디지아이는 안정성(부채비율) 측면에서 두각을 나타내고 있다. 최근 부채비율은 96점으로 6개의 핵심 팩터 중 가장 높은 점수를 기록했다. 부채비율은 전체 시장 내 108위를 기록하며 상위 4.25%에 위치했다. 업종별로는 42위를 기록하며 상위 6.19%에 위치했다.
그리고 저평가성2(PBR) 역시 도드라지는 편이다. 저평가성2 점수는 84점으로 두번째로 높은 점수를 기록했다. PBR은 전체 시장 내 296위를 기록하며 상위 15.83%에 위치했다. 업종별로는 32위를 기록하며 상위 5.62%에 위치했다.
그러나 매출증가율(YoY)이 아쉬움을 나타냈다.

[종합 투자점수]


[그림 3] 종합 투자점수


AI 인공지능 분석을 통한 디지아이의 종목 종합 스코어는 64점을 기록했다.
이는 동일 업종 평균점수인 57점과 시장 평균점수인 57점를 상회하는 수치였다.

(위의 AI인공지능 점수는 재무 데이터를 기반으로 전체 상장 종목과 비교/분석하여 도출한 점수로 높은 점수가 반드시 높은 수익률을 보장하지 않습니다. 위의 자료는 당사의 추천 종목이 아니며, 투자 시 참고용으로 제시해드리는 것입니다.)

라이온봇 기자 -한국경제TV

※ 본 기사는 한국경제TV와 '거장들의 투자공식이'
자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.

라이온봇기자



ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
디지아이,머니투데이,2018.02.22. 오후 2:33,"디지아이, 지난해 영업익 5억4000만원…흑자전환","[머니투데이 김사무엘 기자] 디지아이는 지난해 영업이익이 5억4054만원으로 전년대비 흑자전환했다고 22일 공시했다.

매출액은 247억5076만원으로 전년대비 30.4% 늘었고 당기순이익은 5억4097만원으로 흑자전환했다.

▶빵~ 뜨는 따끈한 기사
▶무료 만화 보고 선물도 받고~ ▶치어리더 vs 레이싱걸

김사무엘 기자 samuel@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
디지아이,헤럴드경제,2018.02.22. 오후 2:53,"[생생코스닥]디지아이, 지난해 영업익 5.4억 흑자전환ㆍ주당 50원 현금배당","[헤럴드경제=증권팀] 디지아이는 지난해 개별기준 영업이익이 5억4054만원으로 전년대비 흑자전환했다고 22일 공시했다.

같은 기간 매출액은 247억5076만원으로 30.4% 늘었고, 당기순이익은 5억4097만원으로 흑자전환했다.

디지아이는 또, 보통주 1주당 50원의 현금 결산배당을 결정했다.

시가배당율은 1.6%이며 배당금총액은 4억4483만원이다.

park@heraldcorp.com

▶10만원대 수량한정 프랑스 명품 커트러리 세트!

▶헤럴드경제 채널 구독하기 ▶카카오플러스 친구맺기



- Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
디지아이,아시아경제,2018.02.22. 오후 4:03,"디지아이, 지난해 영업익 5.4억 '흑자전환'…주당 50원 배당","[아시아경제 조강욱 기자] 디지아이는 개별기준 지난해 영업이익이 5억4054만원으로 전년대비 흑자전환했다고 22일 공시했다.

같은 기간 매출액은 247억5076만원으로 30.4% 늘었고, 당기순이익은 5억4097만원으로 흑자전환했다.

이와 함께 디지아이는 보통주 1주당 50원의 현금 결산배당을 결정했다고 별도 공시했다.

시가배당율은 1.6%이며 배당금총액은 4억4483만원이다.

조강욱 기자 jomarok@asiae.co.kr

▶ 네이버 홈에서 '아시아경제' 뉴스 확인하기
▶ 양낙규의 '군사이야기' ▶ #아시아경제 페이스북

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
디지아이,한국경제TV,2018.03.06. 오전 10:59,"디지아이, 전일 대비 약 4% 상승한 3,385원","[한국경제TV 라이온봇 기자]

디지아이는 3월 6일 10시 58분 전일 대비 약 4% 상승한 3,385원에 거래되고 있다. 디지아이는 코스닥 상장 기업으로 정보기기 업종에 속해 있다. 시가총액은 294억원으로 코스닥 상장기업 중 1,185위에 위치 해 있다.

[종목 성향 진단]


[그림 1] 종목 성향 진단


디지아이의 투자 스타일은 가치주에 가깝다. 기업 가치 대비 낮은 주가가 매력적인 기업이다.
주가 모멘텀은 부진한 편이었다. 최근 1개월 수익률은 -0.15%의 하락폭을 기록했다.
디지아이 종목에 대한 투자자의 관심도는 매우 낮은 편이었다.

[투자 점수 진단]


[그림 2] 투자 점수 진단


디지아이는 안정성(부채비율) 측면에서 두각을 나타내고 있다. 최근 부채비율은 96점으로 6개의 핵심 팩터 중 가장 높은 점수를 기록했다. 부채비율은 전체 시장 내 115위를 기록하며 상위 4.25%에 위치했다. 업종별로는 43위를 기록하며 상위 6.19%에 위치했다.
그리고 저평가성2(PBR) 역시 도드라지는 편이다. 저평가성2 점수는 84점으로 두번째로 높은 점수를 기록했다. PBR은 전체 시장 내 296위를 기록하며 상위 15.83%에 위치했다. 업종별로는 32위를 기록하며 상위 5.62%에 위치했다.
그러나 매출증가율(YoY)이 아쉬움을 나타냈다.

[종합 투자점수]


[그림 3] 종합 투자점수


AI 인공지능 분석을 통한 디지아이의 종목 종합 스코어는 64점을 기록했다.
이는 동일 업종 평균점수인 57점과 시장 평균점수인 56점를 상회하는 수치였다.

(위의 AI인공지능 점수는 재무 데이터를 기반으로 전체 상장 종목과 비교/분석하여 도출한 점수로 높은 점수가 반드시 높은 수익률을 보장하지 않습니다. 위의 자료는 당사의 추천 종목이 아니며, 투자 시 참고용으로 제시해드리는 것입니다.)

라이온봇 기자 -한국경제TV

※ 본 기사는 한국경제TV와 '거장들의 투자공식이'
자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.

라이온봇기자



ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
디지아이,파이낸셜뉴스,2018.03.08. 오전 10:38,"[fnRASSI]디지아이, 1.9% 오르며 거래량 증가","디지아이는 투자자들의 관심으로 당일 거래량이 최근 5거래일 거래량의 최고치를 경신했다. 그리고 디지아이는 3일 연속 상승흐름을 보이며, 10시 25분 현재 1.9% 증가한 3,480원에 거래중이다.

주요 투자주체는 개인투자자
최근 한달간 주체별 거래비중을 살펴보면 개인이 95.49%로 가장 높은 참여율을 보였고, 외국인이 3.83%를 보였으며 기관은 0.67%를 나타냈다. 그리고 최근 5일간 거래비중은 개인이 96.28%로 가장 높은 참여율을 보였고, 외국인이 3.3%를 보였으며 기관은 0.41%를 나타냈다.

퀀트 재무분석, 종합점수 25점으로 상승
지표
항목
값
종합점수
성장성
매출액증가율
-0.08
3.22
자기자본증가율
-0.04
안정성
부채비율
8.82
8.06
유동비율
927.03
이익안정성
6.11
수익성
ROA
1.03
3.6
ROE
1.12
영업이익율
2.38


디지아이의 퀀트 재무 점수는 14.88점으로 3개월 이전 13.55점보다 올랐다. 지난 분기에 비해 성장성 점수가 상승했다. 이는 매출액 증가율이 증가하였기 때문이다. 실적 안정성이 악화되어 안정성 종합 점수는 하락했다. 수익성 측면에서 볼때 ROA, ROE, 영업이익률 모두 개선되어 이전보다 좋은 점수를 받았다.



'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
