종목명,신문사,시간,제목,본문
국영지앤엠,파이낸셜뉴스,2017.11.14. 오전 11:01,"[fnRASSI]국영지앤엠, 1.72% 내리며 거래량 증가","국영지앤엠(006050)은 당일 거래량 증가로 최근 5거래일 거래량의 최고치를 경신했다. 그리고 현재 전 거래일보다 1.72% 감소하여 3일 연속 하락흐름을 보이고 있다.

외국인, 기관 모두 보유량 감소 (5일 누적)
최근 5일간 동종목의 외국인 투자자는 9,793주 순매도하였고 마찬가지로 기관은 0주 순매도하였다. 전날 외국인은 16,516주 순매도했지만 기관은 순매수량이 0으로 보유비율 그대로 유지했다.

다음 표는 동종목의 외국인, 기관의 일별 순매수량을 나타낸 것이다.



상장주식수 대비 거래량은 0.73%로 적정수준
최근 한달간 국영지앤엠의 상장주식수 대비 거래량을 비교해보니 일별 매매회전율이 0.73%로 집계됐다. 그리고 동기간 장중 저점과 고점의 차이인 일평균 주가변동률을 2.35%를 나타내고 있다.

'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
국영지앤엠,한국경제TV,2018.01.05. 오후 2:48,"국영지앤엠, 5거래일 연속 상승... 전일 대비 1% 상승","[한국경제TV 라이온봇 기자]
국영지앤엠은 현재 5거래일 연속 상승세를 기록하고 있어 주목할 만하다. 국영지앤엠은 1월 5일 14시 48분 전일 대비 약 1% 상승한 1,220원에 거래되고 있다.
국영지앤엠은 코스닥 상장 기업으로 비금속 업종에 속해 있다. 시가총액은 422억원으로 코스닥 상장기업 중 1,048위에 위치 해 있다.

[종목 성향 진단]


[그림 1] 종목 성향 진단
국영지앤엠의 투자 스타일은 성장주에 가깝다. 주가 고평가 우려가 공존하지만 높은 성장성이 기대되는 기업이다.
주가 모멘텀은 평범한 수준이었다.
최근 1개월 수익률이 8.52%, 3개월 수익률은 8.52%, 6개월 수익률은 7.56%를 기록했다.
국영지앤엠종목에 대한 투자자의 관심도는 평범한 수준이었다.

[투자 점수 진단]


[그림 2] Factor Score


국영지앤엠은 안정성(부채비율) 측면에서 두각을 나타내고 있다. 최근 부채비율은 81점으로 6개의 핵심 팩터 중 가장 높은 점수를 기록했다.
부채비율은 전체 시장 내 395위를 기록하며 상위 19.23%에 위치했다.
업종별로는 53위를 기록하며 상위 14.79%에 위치했다.
그리고 저평가성2(PBR) 역시 도드라지는 편이다. 저평가성2 점수는 72점으로 두번째로 높은 점수를 기록했다.
PBR은 전체 시장 내 529위를 기록하며 상위 28.34%에 위치했다.
업종별로는 131위를 기록하며 상위 39.39%에 위치했다.
PER과 영업이익률은 아쉬움을 나타냈다.

[종합 투자점수]


[그림 3] 종합 Score
AI 인공지능 분석을 통한 국영지앤엠의 종목 종합 스코어는 43점을 기록했다.
이는 동일 업종 평균점수인 58점과 시장 평균점수인 57점를 하회하는 수치였다.

(위의 AI인공지능 점수는 재무 데이터를 기반으로 전체 상장 종목과 비교/분석하여 도출한 점수로 높은 점수가 반드시 높은 수익률을 보장하지 않습니다.)

라이온봇 기자 -한국경제TV

라이온봇기자



ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
국영지앤엠,머니투데이,2018.02.12. 오후 5:08,"국영지앤엠, 지난해 개별 영업이익 13억원","[머니투데이 김성은 기자] 국영지앤엠은 지난해 개별 영업이익이 전년 대비 436.71% 증가한 약 13억2400만원이라고 12일 공시했다.

같은 기간 매출액은 22.16% 늘어난 628억6200만원, 당기순이익은 271.36% 늘어난 14억3200만원 상당이다.

▶빵~ 뜨는 따끈한 기사
▶무료 만화 보고 선물도 받고~ ▶치어리더 vs 레이싱걸

김성은 기자 gttsw@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
국영지앤엠,서울경제,2018.02.13. 오전 9:31,"(코)국영지앤엠, 전일 대비 10.37% 상승.. 일일회전율은 18.72% 기록","[서울경제] 국영지앤엠(006050)은 13일 오전 9시 30분 현재 10.37% 오른 1,330원에 거래되고 있으며, 44(매도):56(매수)의 매수우위를 기록하고 있다. 거래대금은 87억8,871만, 거래량은 653만1,778주로 거래량회전율은 18.72%로 나타났다.


지난 1개월간 국영지앤엠은 상승 15회, 하락 11회를 기록했고, 주가수익률은 16.16% 표준편차는 1.77%를 기록했다. 이 기간 '비금속업' 업종 평균 주가수익률은 6.80%로 나타났으며, 변동성은 2.73%를 기록했다.

이 시각 현재 '비금속업'은 1.16% 상승 중이며, 44(매도):56(매수)의 매수우위를 기록하고 있다.

[이 기사는 증시분석 전문기자 서경뉴스봇(newsbot@sedaily.com)이 실시간으로 작성했습니다.]

/서경뉴스봇 newsbot@sedaily.com

[서울경제 바로가기]
이제 주식시세도 서울경제에서 확인하세요 [바로가기▶]
블록체인의 모든 것, 서울경제 Decenter [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
국영지앤엠,서울경제,2018.02.21. 오전 10:39,"(코)국영지앤엠, 전일 대비 7.17% 상승.. 일일회전율은 6.29% 기록","[서울경제] 국영지앤엠(006050)은 21일 오전 10시 38분 현재 7.17% 오른 1,345원에 거래되고 있으며, 34(매도):66(매수)의 매수우위를 기록하고 있다. 거래대금은 28억4,745만, 거래량은 219만4,331주로 거래량회전율은 6.29%로 나타났다.


지난 1개월간 국영지앤엠은 상승 14회, 하락 12회를 기록했고, 주가수익률은 13.03% 표준편차는 1.64%를 기록했다. 이 기간 '비금속업' 업종 평균 주가수익률은 11.75%로 나타났으며, 변동성은 2.73%를 기록했다.

이 시각 현재 '비금속업'은 0.41% 상승 중이며, 53(매도):47(매수)의 매도우위를 기록하고 있다.

[이 기사는 증시분석 전문기자 서경뉴스봇(newsbot@sedaily.com)이 실시간으로 작성했습니다.]

/서경뉴스봇 newsbot@sedaily.com

[서울경제 바로가기]
이제 주식시세도 서울경제에서 확인하세요 [바로가기▶]
블록체인의 모든 것, 서울경제 Decenter [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
장원테크,파이낸셜뉴스,2017.10.31. 오전 10:04,"[fnRASSI]장원테크, 4.2% 오르며 거래량 증가","장원테크(174880)의 현재 거래량이 최근 5거래일 거래량의 최고치를 넘어서며 투자자들의 관심을 받고 있다. 그리고 장원테크는 3일 연속 상승흐름을 보이며, 9시 57분 현재 4.2% 증가한 8,180원에 거래중이다.

매매주체는개인,외국인
최근 한달간 주체별 거래비중을 살펴보면 개인이 94.93%, 외국인이 5.06%를 기록한 것으로 나타났다. 그리고 최근 5일간 거래비중은 개인이 94.98%, 외국인이 5.01%를 보였고, 기관은 거래참여가 없었다.

외국인은 순매수, 개인은 순매도(한달누적)
10월25일부터 전일까지 외국인이 4거래일 연속 순매수를 보였다. 4주간을 기준으로 보면 외국인이 매매관점을 매도에서 매수로 전환하면서 918주를 순매수했지만, 개인은 매도 우위로 반전되면서 918주를 순매도했다. 기관의 순매수량에는 변함이 없다.

'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
장원테크,머니투데이,2017.12.13. 오후 4:43,"장원테크, 베트남법인에 대해 54억 채무보증 결정","[머니투데이 최동수 기자] 장원테크는 베트남법인의 차입금 54억6200만원에대해 채무보증을 결정했다고 13일 공시했다.

▶지금 옆사람이 보는 기사들
▶무료만화 즐기고~선물타자! ▶치어리더 vs 레이싱걸

최동수 기자 firefly@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
장원테크,이데일리,2017.12.13. 오후 4:55,"장원테크, 베트남법인에 대해 54억 채무보증 결정","[이데일리 윤필호 기자] 장원테크(174880)는 베트남법인의 차입금 54억6200만원에대해 채무보증을 결정했다고 13일 공시했다.

윤필호 (nothing@edaily.co.kr)

▶네이버 채널에서 ‘이데일리’를 구독해주세요
▶[페이스북] 보러가기~ ▶[카카오톡] 플친 맺기~♥


＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
장원테크,뉴시스,2017.12.13. 오후 5:11,"장원테크, 베트남법인에 54억 채무보증 결정","【서울=뉴시스】 김지은 기자 = 코스닥 상장사 장원테크(174880)는 베트남법인의 차입금 54억6200만원에 대해 채무보증을 결정했다고 13일 공시했다.

kje1321@newsis.com

▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기
▶ 네이버 채널에서 뉴시스를 구독해주세요

<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
장원테크,머니투데이,2017.12.26. 오후 4:12,"장원테크, 이동 단말기용 금속 프레임 제조방법 특허 취득","[머니투데이 배영윤 기자] 장원테크는 이동 단말기용 금속 프레임 제조방법에 관한 특허를 취득했다고 26일 공시했다. 회사는 해당 기술을 제품경쟁력 강화에 사용할 계획이다.

▶지금 옆사람이 보는 기사들
▶무료만화 즐기고~선물타자! ▶치어리더 vs 레이싱걸

배영윤 기자 young25@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
