종목명,신문사,시간,제목,본문
동운아나텍,파이낸셜뉴스,2017.10.16. 오전 10:16,"[fnRASSI]동운아나텍, 당일 거래량 증가하며 3거래일 하락세 지속","동운아나텍(094170)의 현재 거래량이 최근 5거래일 거래량의 최고치를 경신했다. 그리고 동운아나텍은 3일 연속 하락흐름을 보이며, 10시 12분 현재 5.81% 내린 12,150원에 거래중이다.

상장주식수 대비 거래량은 2.04%로 적정수준
최근 한달간 동운아나텍의 상장주식수 대비 거래량을 비교해보니 일별 매매회전율이 2.04%로 집계됐다. 그리고 동기간 장중 저점과 고점의 차이인 일평균 주가변동률을 4.64%를 나타내고 있다.

외국인, 기관 모두 보유량 감소 (5일 누적)
최근 5일간 동종목의 외국인 투자자는 5,633주 순매도하였고 마찬가지로 기관은 6,143주 순매도하였다. 전날 외국인 5,492주 순매도, 기관6,143주 순매수하며 보유 비율이 변동했다.

다음 표는 동종목의 외국인, 기관의 일별 순매수량을 나타낸 것이다.



'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
동운아나텍,전자신문,2017.10.16. 오후 1:12,[ET투자뉴스]동운아나텍_주요 투자주체는 개인투자자,"위험대비수익률 -5.9로 하위권, 업종지수보다 낮아

16일 오후 1시10분 현재 전일대비 7.36% 내린 11,950원을 기록하며 약세를 보이고 있는 동운아나텍은 지난 1개월간 20.33% 하락했다. 동기간 동안에 주가움직임의 위험지표인 표준편차는 3.4%를 기록했다. 이는 반도체 업종내에서 주요종목들과 비교해볼 때 동운아나텍의 월간 변동성이 상대적으로 커지면서 주가등락률은 마이너스를 나타내고 있다는 의미이다. 최근 1개월을 기준으로 동운아나텍의 위험을 고려한 수익률은 -5.9를 기록했는데, 변동성이 높고 주가는 약세를 기록하면서 위험대비 수익률은 저조한 모습을 보였다. 게다가 반도체업종의 위험대비수익률인 -4.6보다도 낮기 때문에 업종대비 성과도 긍정적이라고 할 수 없다.
다음으로 업종과 시장을 비교해보면 동운아나텍이 속해 있는 반도체업종은 코스닥지수보다 변동성은 높고, 등락률은 낮은 모습이다. 하락할 때 지수보다 탄력을 받고 있다는 의미이다.
  표준편차 수익율 위험대비 수익율
기가레인 4.5% -60.7% -13.4
동운아나텍 3.4% -20.3% -5.9
엘티씨 2.9% -11.0% -3.7
에프에스티 2.7% -14.7% -5.4
씨티엘 2.5% 10.1% 4.0
코스닥 0.8% 0.0% 0.1
반도체 1.3% -6.0% -4.6

관련종목들도 하락 우위, 반도체업종 -3.5%
이 시각 현재 관련종목들 중에서는 하락종목 수가 더 많은 가운데 반도체업종은 3.5% 하락하고 있다.
엘티씨
10,150원
▼400(-3.79%) 씨티엘
2,880원
▲20(+0.70%)
에프에스티
4,020원
▼120(-2.90%) 기가레인
3,045원
▼100(-3.18%)


[재무분석 특징]
영업이익률 현재 -1.73%로 업종평균 하회. PBR은 2.49임.
업종내 시가총액 규모가 가장 비슷한 4개 종목과 비교해보면 동운아나텍은 자산가치대비 현재의 주가수준을 나타내는 PBR과 순이익대비 현재의 주가수준을 보여주는 PER이 상대적으로 높은 상태를 보이고 있다.
동운아나텍 씨티엘 에프에스티 엘티씨 기가레인
ROE -5.2 3.0 13.6 2.6 -23.8
PER - 35.6 9.5 34.5 -
PBR 2.5 1.1 1.3 0.9 1.1
기준년월 2017년6월 2017년6월 2017년6월 2017년6월 2017년6월

외국인과 개인은 순매도, 기관은 순매수(한달누적)
전일 기관이 6,143주를 순매수했고, 외국인은 5,492주를 순매도했다. 4주간을 기준으로 보면 기관이 방향성있는 매매를 하면서 26,921주를 순매수한 반면, 외국인은 매도 우위를 지속하면서 13,466주를 순매도했고, 개인들도 초반에 동종목을 순매도한 이후에 근래에는 순매도량을 줄이면서 13,455주를 순매도했다.

투자주체별 누적순매수
상장주식수 대비 거래량은 2.04%로 적정수준
최근 한달간 동운아나텍의 상장주식수 대비 거래량을 비교해보니 일별 매매회전율이 2.04%로 집계됐다. 그리고 동기간 장중 저점과 고점의 차이인 일평균 주가변동률을 4.64%를 나타내고 있다.

주요 투자주체는 개인투자자
최근 한달간 주체별 거래비중을 살펴보면 개인이 78.51%로 가장 높은 참여율을 보였고, 기관이 14.32%를 보였으며 외국인은 7.15%를 나타냈다. 그리고 최근 5일간 거래비중은 개인 비중이 77.29%로 가장 높았고, 기관이 14.83%로 그 뒤를 이었다. 외국인은 7.87%를 나타냈다.

투자주체별 매매비중
＊기관과 외국인을 제외한 개인 및 기타법인 등의 주체는 모두 개인으로 간주하였음

주가와 투자심리는 약세, 거래량은 침체
현주가를 최근의 주가변화폭을 기준으로 본다면 하락폭이 상대적으로 큰 특징을 보이고 있고, 거래량 지표로 볼 때는 침체국면에 머물러 있다. 실리적인 측면에서는 약세흐름에 투자자들은 불안감을 느끼고 있고 이동평균선들의 배열도를 분석을 해보면 단기, 중기, 장기 이동평균선이 수렴하는 추세 변곡점에 도달하고 있다.

주요 매물구간인 13,100원선이 저항대로 작용
최근 세달동안의 매물대 분포를 살펴보면, 현주가 위로 13,100원대의 대형매물대가 눈에 뜨이고, 이중에서 13,100원대는 전체 거래의 17.6%선으로 가격대에서 뚜렷하게 크게 발생한 것은 아니지만 상대적으로 거래규모가 큰 구간이 되고 향후 주가가 상승할때 수급적인 저항대가 될 가능성을 고려할 필요가 있고, 그리고 12,200원대의 매물대 또한 규모가 약하기는하지만 향후 주가가 방향을 잡으면 어느쪽으로도 지지 또는 저항매물대로 힘을 발휘할 수있다. 따라서 주가가 단기적인 조정을 받고있는 현재 상황에서는, 제1매물대인 12,200원대의 저항가능성에 보다 더 큰 비중을 두는 시각이 합리적이고, 제2매물가격대에 주가가 지금 가깝게 위치하고 있기 때문에, 이제부터는 12,200원대의 저항여부를 우선해서 세밀하게 확인할 필요가 있겠다.


증시분석 전문기자 로봇 ET etbot@etnews.com
전자신문과 씽크풀의 증시분석 전문기자 로봇 ET가 쓴 기사입니다

▶ 전자신문 인기 포스트
▶ 전자신문 공식 페이스북
▶ 전자신문 바로가기
[Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
동운아나텍,이데일리,2017.10.18. 오전 10:52,"동운아나텍, 삼성·애플·화웨이 듀얼카메라 채택…실적개선 기대","[이데일리 박형수 기자] 국내 아날로그 팹리스 반도체 업체 동운아나텍(094170)에 대한 실적 개선 기대감이 커지고 있다. 사상 최대 분기 매출 달성 전망도 나오고 있다.

18일 금융투자업계와 키움증권에 따르면 동운아나텍은 삼성전자와 애플은 물론이고 중국 주요 스마트폰 업체가 듀얼카메라모듈을 적용하면서 매출이 빠르게 늘고 있다.

김상표 키움증권 스몰캡 팀장은 “중화권 신제품 출시와 보급형 스마트폰 출하량 증가로 카메라모듈 자동초점 구동칩(AF IC) 물량 확대가 이어질 것”이라며 “지난 3분기부터 신제품 매출 본격적으로 발생했을 것”이라고 설명했다.

동운아나텍 제품별 매출 비중을 보면 올 상반기 기준으로 카메라모듈 AF IC에서 93%가 발생했다. 디스플레이 전원 IC와 발광다이오드(LED) 드라이버 IC에서 각각 5%, 2% 매출을 올렸다. 신제품 햅틱 IC는 올 2분기부터 매출이 발생하기 시작했다. 햅틱 IC는 LG전자 스마트폰 V30에 채택됐다.

동운아나텍 관계자는 “중화권 스마트폰 업체인 화웨이도 독일에서 듀얼카메라를 탑재한 메이트 10 시리즈를 공개했다”며 “중화권 점유율이 높은 동운아나텍 실적에 긍정적인 영향을 줄 것”이라고 설명했다.

박형수 (parkhs@edaily.co.kr)

▶사진으로 보는 핫이슈
▶[페이스북] 보러가기~♥ | [카카오톡] 플친 맺기~♥


＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
동운아나텍,이데일리,2017.10.19. 오전 8:54,"동운아나텍, 낙폭 과대로 저평가 매력 커져-KTB","[이데일리 박형수 기자] KTB투자증권은 19일 동운아나텍(094170)에 대해 최근 IT 부품업종에 대한 투자심리 약화로 주가가 하락한 것이라며 실적 전망과는 무관한 이슈라고 분석했다. 과도하게 하락하면서 밸류에이면 매력이 커졌다고 판단했다.

이동주 KTB투자증권 연구원은 “듀얼 카메라는 폐쇄 루프(Closed Loop) 자동초점(AF) IC가 필요하다”며 “홀센서의 피드백을 통해 렌즈 초점을 정밀하게 맞출 수 있기 때문”이라고 설명했다.

이어 “폐쇄 루프 AF IC 매출이 본격적으로 발생할 것”이라며 “기존 제품보다 수익성이 좋다”고 덧붙였다.

그는 “스마트폰 포스터치 채용시 필수 부품 가운데 하나인 햅틱 IC 매출도 늘어날 것”이라며 “내년 중화권 스마트폰 업체가 포스터치 채용을 본격적으로 늘리면 수혜를 볼 것”이라고 강조했다.

박형수 (parkhs@edaily.co.kr)

▶흥미진진한 이데일리 영상 채널
▶[페이스북] 보러가기~♥ | [카카오톡] 플친 맺기~♥


＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
동운아나텍,서울경제,2017.10.19. 오전 8:54,"동운아나텍, 2018년 신제품에 주목해야 -KTB투자증권","[서울경제] 동운아나텍, 2018년 신제품에 주목해야 -KTB투자증권

동운아나텍의 내년 신제품 출시에 따른 새로운 주가 상승 모멘텀이 생길 것이라는 분석이 나왔다.

이동주 KTB투자증권 연구원은 19일 보고서에서 “closed-loop 방식의 af 드라이버 IC는 2018년부터 매출 본격화가 될 전망”이라며 “듀얼 카메라의 경우 closed-loop방식이 필수적이라 수혜가 예상된다”고 전했다. 이밖에 이 연구원은 “햅틱 드라이버 IC도 본격화 되며 OIS칩은 2018년 말 채용이 기대된다”고 밝혔다.

동운아나텍은 카메라용 AF 드라이버 IC, 디스플레이 파워 IC 등 반도체 팹리스 기업이다.

이동주 연구원은 “최근 IT 부품 밸류체인 센티먼트 약화로 주가가 하락세인데 동운아나텍 실적 전망과는 무관한 이슈라 판단하며 낙폭 과대에 따른 밸류에이션 매력이 부각된다”고 설명했다.

/박호현기자 greenlight@sedaily.com

[서울경제 바로가기]
1997년 이래 대한민국 최고의 과학자 DB [바로가기]
서울경제의 모든 연재물!... 서경Cube [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
동운아나텍,헤럴드경제,2017.10.22. 오전 8:22,"[주목! 이 기업] 펩리스 사업 동운아나텍, 햅틱 드라이브 IC 덕분에 성장 ‘기대’","- 햅틱 드라이브 IC 기대

[헤럴드경제=김지헌 기자] 펩리스 기업 동운아나텍이 신제품 출시 덕분에 내년 매출 성장에 청신호가 켜졌다는 분석이 나온다.

김상표 키움증권 연구원은 “동운아나텍의 내년 가파른 매출 성장세와 수익성 개선이 예상된다”며 “삼성전자, 애플을 포함한 주요 스마트폰 업체들의 듀얼카메라 모듈 적용 모델 확대가 올해 하반기부터 본격화되고, 특히 햅틱 드라이브 IC 시장 등의 고속 성장이 예상된다”고 말했다.

팹리스 업체란 전자기기에 들어가는 회로를 설계ㆍ개발해 판매하는 기업이다. 동운아나텍은 사진을 찍을 때 사물에 초점이 자동으로 맞춰지도록 렌즈를 이동시키는 전류의 흐름을 조절하는 에이에프드라이버아이씨(AF Driver IC) 칩 관련 매출이 전체의 95%를 차지한다. 국가별 중국업체가 57%, 대만업체가 7% 삼성선자가 27%, LG전자 8%를 차지한다. AF Drivert IC의 세계 점유율은 45%(2016년 기준) 수준이다.

동운아나텍 홈페이지 갈무리

지난 2분기 전체 제품 출하량은 2억2000만개로 전년 동기보다 15.5% 성장, 흑자 전환했다. 신제품 덕분에 3분기 매출도 상승할 것이란 전망이 나온다.

햅틱 드라이브 IC는 새롭게 기대를 모으고 있다. 이 칩을 통해 프리미엄 스마트폰에서 홈 버튼이 없어도 미세 진동을 통해 스마트폰을 사용하는 게 가능해진다. 이 외에도 동운아나텍은 국내와 중국 고객사에 납품할 아몰레드(AMOLEDㆍ스스로 빛을 내는 형광물질 디스플레이) 전원 IC(‘DC-DC 컨버터’) 개발 역시 최근에 마쳤다.

이번에 새로 개발된 클로즈드룹(Closed-Loop) AF Driver IC는 듀얼카메라의 홀센서를 통해 위치를 조정하는 제품이다. 기존 제품에 비해 단가가 높아 매출 상승이 기대된다는 평가가 나온다. 국내 삼성전자 스마트폰에 사용될 예정으로 화웨이, 오포 등 중국 업체로도 납품 가능성이 점쳐지고 있다.

3분기 제품 출하량은 전면 AF 고화소 모듈, 듀얼카메라모듈 및 OIS 적용 모델이 확대됨에 따라 직전분기보다 10% 이상 성장, 분기 최대 매출을 기록할 것으로 예상된다. LG V30부터 적용되기 시작한 햅틱 드라이브 IC가 손익 개선에 기여할 것이란 평이다.

김 연구원은 “기존 주력 제품은 오픈룹(Open loop) AF IC의 추가적인 판가 하락이 제한된 상태에서 중화권 신제품 출시와 보급형 스마트폰 출하량 증가로 물량 확대가 이어질 것으로 전망된다”며 “4분기부터 판가가 두 배 이상 높은 Closed loop AF IC의 매출 발생이 시작될 것으로 예상되기 때문에 3분기에 이어 4분기에도 예상보다 빠른 실적 개선 속도가 나타날 것”이라고 지적했다.

raw@heraldcorp.com

▶ 생활용품 알뜰하게 사는 법 럭비(LUCK BE)

▶앞서가는 젊은 경제신문 친구맺기 ▶오늘의 운세 날씨



- Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
동운아나텍,전자신문,2017.10.26. 오후 2:27,[ET투자뉴스]동운아나텍_주요 투자주체는 개인투자자,"업종평균에 비해서 변동폭 대비 수익률은 다소 부정적

26일 오후 2시25분 현재 전일대비 2.79% 하락하면서 12,200원을 기록하고 있는 동운아나텍은 지난 1개월간 15.86% 하락했다. 같은 기간동안 변동성의 크기를 말해주는 표준편차는 3.5%를 기록했다. 이는 반도체 업종내에서 주요종목들과 비교해볼 때 동운아나텍의 월간 변동성이 상대적으로 커지면서 주가등락률은 마이너스를 나타내고 있다는 의미이다. 최근 1개월을 기준으로 동운아나텍의 위험을 고려한 수익률은 -4.5를 기록했는데, 변동성이 높고 주가는 약세를 기록하면서 위험대비 수익률은 저조한 모습을 보였다. 게다가 반도체업종의 위험대비수익률인 -1.5보다도 낮기 때문에 업종대비 성과도 긍정적이라고 할 수 없다.
다음으로 업종과 시장을 비교해보면 동운아나텍이 속해 있는 반도체업종은 코스닥지수보다 변동성은 높고, 등락률은 낮은 모습이다. 하락할 때 지수보다 탄력을 받고 있다는 의미이다.
  표준편차 수익율 위험대비 수익율
기가레인 4.0% -52.7% -13.1
동운아나텍 3.5% -15.9% -4.5
에프에스티 2.6% -10.7% -4.1
엘티씨 2.5% -11.3% -4.5
씨티엘 2.4% 17.5% 7.3
코스닥 0.9% 1.5% 1.6
반도체 1.4% -2.1% -1.5

관련종목들도 하락 우위, 반도체업종 -1.51%
이 시각 현재 관련종목들 중에서는 하락종목 수가 더 많은 가운데 반도체업종은 1.51% 하락하고 있다.
엘티씨
10,200원
▼200(-1.92%) 기가레인
3,005원
▲5(+0.17%)
에프에스티
4,075원
▼20(-0.49%) 씨티엘
2,750원
▼20(-0.72%)


[재무분석 특징]
영업이익률 현재 -1.73%로 업종평균 하회. PBR은 2.26임.
업종내 시가총액 규모가 가장 비슷한 4개 종목과 비교해보면 동운아나텍은 순이익대비 현재의 주가수준을 보여주는 PER과 자산가치대비 현재의 주가수준을 나타내는 PBR이 상대적으로 높은 상태를 유지하고 있다.
동운아나텍 씨티엘 에프에스티 엘티씨 기가레인
ROE -5.2 3.0 13.6 2.6 -23.8
PER - 34.8 9.3 33.7 -
PBR 2.3 1.0 1.3 0.9 1.1
기준년월 2017년6월 2017년6월 2017년6월 2017년6월 2017년6월

투자주체별 누적순매수
상장주식수 대비 거래량은 1.4%로 적정수준
최근 한달간 동운아나텍의 상장주식수 대비 거래량을 비교해보니 일별 매매회전율이 1.4%로 집계됐다. 그리고 동기간 장중 저점과 고점의 차이인 일평균 주가변동률을 2.78%를 나타내고 있다.

주요 투자주체는 개인투자자
최근 한달간 주체별 거래비중을 살펴보면 개인이 80.8%로 가장 높은 참여율을 보였고, 기관이 11.02%를 보였으며 외국인은 8.17%를 나타냈다. 그리고 최근 5일간 거래비중은 개인 비중이 83.39%로 가장 높았고, 외국인이 9.21%로 그 뒤를 이었다. 기관은 7.39%를 나타냈다.

투자주체별 매매비중
＊기관과 외국인을 제외한 개인 및 기타법인 등의 주체는 모두 개인으로 간주하였음

주가와 투자심리는 약세, 거래량은 침체
현주가를 최근의 주가변화폭을 기준으로 본다면 하락폭이 상대적으로 큰 특징을 보이고 있고, 거래량 지표로 볼 때는 침체국면에 머물러 있다. 실리적인 측면에서는 약세흐름에 투자자들은 불안감을 느끼고 있고 이동평균선들의 배열도를 분석을 해보면 단기적으로나마 반등이 나올 수 있지만 추세하락은 이어지고 있는 실정이다.

주요 매물구간인 13,100원선이 저항대로 작용
최근 세달동안의 매물대 분포를 살펴보면, 현주가 위로 13,100원대의 대형매물대가 눈에 뜨이고, 이중에서 13,100원대는 전체 거래의 16.6%선으로 가격대에서 뚜렷하게 크게 발생한 것은 아니지만 상대적으로 거래규모가 큰 구간이 되고 향후 주가가 상승할때 수급적인 저항대가 될 가능성을 고려할 필요가 있고, 그리고 14,000원대의 매물대 또한 규모가 약하기는하지만 향후 주가상승시에 저항대로 작용할 수 있다. 따라서 주가가 단기적인 상승을 전개하고 있는 현재 상황에서는, 제1매물대인 13,100원대의 저항가능성에 보다 더 큰 비중을 두는 시각이 합리적이고, 아직은 제1매물가격대까지는 거리가 꽤 남아있고, 당분간 물량적인 부담이 없기 때문에 추가상승시에 큰 걸림돌은 없을듯 하고, 13,100원대의 저항대 역할은 좀더 기다릴 필요가 있다.


증시분석 전문기자 로봇 ET etbot@etnews.com
전자신문과 씽크풀의 증시분석 전문기자 로봇 ET가 쓴 기사입니다

▶ 전자신문 인기 포스트
▶ 전자신문 공식 페이스북
▶ 전자신문 바로가기
[Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
동운아나텍,전자신문,2017.11.02. 오전 9:37,[ET투자뉴스]동운아나텍_주요 투자주체는 개인투자자,"업종평균에 비해서 변동폭 대비 수익률은 다소 부정적

2일 오전 9시35분 현재 전일대비 3.73% 오른 12,500원을 기록하고 있는 동운아나텍은 지난 1개월간 3.47% 하락했다. 같은 기간동안 변동성의 크기를 말해주는 표준편차는 3.3%를 기록했다. 이는 반도체 업종내에서 주요종목들과 비교해볼 때 동운아나텍의 월간 변동성이 주요종목군 내에서 가장 높은 수준을 유지하면서 주가등락률도 마이너스권을 나타내고 있다는 의미이다. 최근 1개월을 기준으로 동운아나텍의 위험을 고려한 수익률은 -1.0을 기록했는데, 변동성은 가장 높았으나 주가하락률이 상대적으로 낮아 위험대비 수익률은 중간 수준을 유지했다. 다만 반도체업종의 위험대비수익률 4.1보다는 낮았기 때문에 업종대비 성과는 긍정적으로 보기 어렵다.
다음으로 업종과 시장을 비교해보면 동운아나텍이 속해 있는 반도체업종은 코스닥지수보다 변동성은 높고, 수익률은 낮은 모습을 보여주고 있다. 다시 말해서 동업종은 지수보다 크게 오르락 내리락 했지만, 상승률은 오히려 지수보다 못하다는 의미이다.
  표준편차 수익율 위험대비 수익율
동운아나텍 3.3% -3.5% -1.0
아이앤씨 3.2% -6.2% -1.9
크로바하이텍 2.9% 22.0% 7.5
씨티엘 2.5% 6.2% 2.4
엘티씨 2.0% -2.4% -1.1
코스닥 0.7% 8.4% 12.0
반도체 1.4% 5.8% 4.1

관련종목들 상승 우위, 반도체업종 +0.36%
이 시각 현재 관련종목들도 상승이 우세한 가운데 반도체업종은 0.36% 상승중이다.
엘티씨
10,200원
▲50(+0.49%) 크로바하이텍
5,070원
▼220(-4.16%)
아이앤씨
5,410원
▲60(+1.12%) 씨티엘
2,670원
▲30(+1.14%)


[재무분석 특징]
영업이익률 현재 -1.73%로 업종평균 하회. PBR은 2.41임.
업종내 시가총액 규모가 가장 비슷한 4개 종목과 비교해보면 동운아나텍은 순이익대비 현재의 주가수준을 보여주는 PER과 자산가치대비 현재의 주가수준을 나타내는 PBR이 상대적으로 높은 상태로 유지되고 있다.
동운아나텍 씨티엘 아이앤씨 엘티씨 크로바하이텍
ROE -5.2 3.0 8.5 2.6 6.5
PER - 34.9 32.9 33.5 30.8
PBR 2.4 1.0 2.8 0.9 2.0
기준년월 2017년6월 2017년6월 2017년6월 2017년6월 2017년6월

외국인/개인 순매수, 기관은 순매도(한달누적)
전일 외국인이 2,624주를 사들인 반면 기관은 6,090주를 팔았다. 4주간을 기준으로 보면 외국인이 매수 우위를 유지하면서 5,638주를 순매수했고, 개인들도 순매수량을 늘리며 43,457주를 순매수했다. 하지만 기관은 매도 관점으로 접근하면서 49,095주를 순매도했다.

투자주체별 누적순매수
상장주식수 대비 거래량은 1.25%로 적정수준
최근 한달간 동운아나텍의 상장주식수 대비 거래량을 비교해보니 일별 매매회전율이 1.25%로 집계됐다. 그리고 동기간 장중 저점과 고점의 차이인 일평균 주가변동률을 3.68%를 나타내고 있다.

주요 투자주체는 개인투자자
최근 한달간 주체별 거래비중을 살펴보면 개인이 82.06%로 가장 높은 참여율을 보였고, 기관이 10.03%를 보였으며 외국인은 7.89%를 나타냈다. 그리고 최근 5일간 거래비중은 개인 비중이 84.32%로 가장 높았고, 기관이 9.07%로 그 뒤를 이었다. 외국인은 6.6%를 나타냈다.

투자주체별 매매비중
＊기관과 외국인을 제외한 개인 및 기타법인 등의 주체는 모두 개인으로 간주하였음

주가와 투자심리는 보통, 거래량은 약세
현주가를 최근의 주가변화폭을 기준으로 본다면 특정 방향으로의 추세는 확인되지 않고, 거래량 지표로 볼 때는 상승에 필요한 에너지가 부족한 상황이며 실리적인 측면에서는 투자자들은 안정적인 심리상태를 보이고 있고 이동평균선들의 배열도를 분석을 해보면 단기적으로나마 반등이 나올 수 있지만 추세하락은 이어지고 있는 실정이다.

현재주가 근처인 13,100원대에 주요매물대가 존재.
최근 세달동안의 매물대 분포를 살펴보면, 현주가대 근방에 13,100원대의 대형매물대가 눈에 뜨이고, 이중에서 13,100원대는 전체 거래의 15%선으로 가격대에서 뚜렷하게 크게 발생한 것은 아니지만 상대적으로 거래규모가 큰 구간이 되고 향후 주가가 상승할때 수급적인 저항대가 될 가능성을 고려할 필요가 있고, 그리고 14,000원대의 매물대 또한 규모가 약하기는하지만 향후 주가상승시에 저항대로 작용할 수 있다. 따라서 주가가 단기적인 상승을 전개하고 있는 현재 상황에서는, 제1매물대인 13,100원대의 저항가능성에 보다 더 큰 비중을 두는 시각이 합리적이고, 제1매물가격대에 주가가 지금 가깝게 근접하고 있기 때문에, 이제부터는 13,100원대의 저항여부를 우선해서 세밀하게 확인할 필요가 있겠다.


증시분석 전문기자 로봇 ET etbot@etnews.com
전자신문과 씽크풀의 증시분석 전문기자 로봇 ET가 쓴 기사입니다

▶ 전자신문 인기 포스트
▶ 전자신문 공식 페이스북
▶ 전자신문 바로가기
[Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
동운아나텍,아시아경제,2017.11.06. 오후 4:05,"동운아나텍, 中 BOE통해 DC·DC 컨버터 납품","[팍스넷데일리 이정희 기자] 동운아나텍이 중국 스마트폰 시장 공략에 나선다. 이르면 내년 초부터 스마트폰 전원관리칩인 DC ·DC컨버터를 중국 디스플레이 제조사 BOE로 납품할 예정이다.

회사 관계자는 6일 “현재 스마트폰용 중소형 OLED는 국내 삼성디스플레이가 전 세계의 97%를 장악하고 있지만, 중국 업체들도 양산을 준비하고 있다”며 “BOE가 스마트폰용 패널 공장을 가동하면서 동운아나텍이 DC ·DC컨버터를 수주하게 됐다”고 설명했다.

DC ·DC컨버터는 아몰레드를 안정적으로 구동하게 하는 핵심 칩으로, 스마트폰당 1개가 반드시 탑재돼야 한다. 국내는 판넬정보 관리상 독과점으로 공급하는 구조다. 현재 OLED 패널은 삼성 갤럭시 시리즈에 이어 LG전자의 하반기 프리미엄 폰 V30, 애플의 아이폰X 등에 채택되기도 했다.

동운아나텍 관계자는 “중국 최대 디스플레이 업체인 BOE는 스마트폰 제조업체인 화웨이, 오포, 비보, 샤오미, ZTE 등과 샘플작업을 진행하고 있다”며 “BOE에는 동운아나텍이 독점으로 DC ·DC컨버터를 납품할 가능성이 높다”고 덧붙였다.

이정희 기자 mango@paxnet.kr

▶ 양낙규의 '군사이야기'
▶ 2017아시아여성리더스포럼 ▶ #아시아경제 페이스북

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
동운아나텍,머니투데이,2017.11.06. 오후 4:41,"동운아나텍, 21일 주총 소집…""사내·외이사 선임 예정""","[머니투데이 배영윤 기자] 동운아나텍은 오는 21일 오전 9시 서울시 서초구 남부순환로 2351 본사 회의실에서 제12기 임시주주총회를 소집한다고 6일 공시했다. 안건은 사내이사 및 사외이사 선임의 건 등이다.

▶네이버로 '머투' 구독하고 치킨·커피 받으세요
▶무료만화 즐기고~선물타자! ▶치어리더 vs 레이싱걸

배영윤 기자 young25@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
