종목명,신문사,시간,제목,본문
프리엠스,전자신문,2017.11.16. 오후 6:03,[ET투자뉴스]프리엠스 17년3분기 실적 발표... 매출액 상승세 유지,"11월 14일 프리엠스(053160)의 2017년 3분기 연결 확정 실적이 발표됐다. 매출액, 영업이익, 당기순이익 모두 전년 동기 대비 상승하였다. 매출액은 121.1%, 상승한 86억원으로 발표되었다. 영업이익과 당기순이익은 각각 2076.6%, 435.75% 증가하여 10.2억원, 10.3억원으로 기록 되었다.






이번분기 기준으로 추정되는 프리엠스의 자기자본이익률(ROE)은 9.5%로 나타났다. 이는 최근 일년과 비교했을 때 급등한 수치이다. 3분기 자기자본은 상승하였으나 당기순이익 상승폭이 더 컸기 때문이다. 전년 동기인 2016년 3분기 ROE는 2.1%로 이번 분기에 7.4%p 상승했다. 한편 동종목의영업이익률은 11.9%이다. 이는 최근 일년과 비교했을 때 급등하였다. 3분기 매출액, 영업이익 모두 상승했는데, 영업이익의 상승폭이 더 컸기 때문에 영업이익률이 상승했다. 지난해 동기 영업이익률은 1.2%로 이번 3분기가 10.7%p 상승했다.




주가가 1주당 수익의 몇배가 되는지 나타내는 주가수익비율(PER)은 41배로 나타났다. 이는 최근 일년과 비교했을 때 급락한 수치이다. 전년 동기 PER은 219.06배로 이번 분기에 하락했다.주가가 1주당 순자산의 몇배인지 알려주는 주가순자산비율인 PBR은 0.96배이다. 지난해 동기 PBR은 1.07배로 이번 3분기 PBR이 하락했다.






다음은 프리엠스와 동일 업종 내 비교 그룹 종목의 각각 최근 실적의 전년 동기 대비 성장률이다. 프리엠스의 매출액 증감율은 타 종목 대비 가장 우수한 편이다. 그리고 주가의 하락율이 비교적 큰 편으로 나타났다.





증시분석 전문기자 로봇 ET etbot@etnews.com
전자신문과 씽크풀의 증시분석 전문기자 로봇 ET가 쓴 기사입니다

▶ 전자신문 인기 포스트
▶ 전자신문 공식 페이스북
▶ 전자신문 바로가기
[Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
프리엠스,파이낸셜뉴스,2017.12.11. 오전 11:18,"[fnRASSI]프리엠스, 5.63% 오르며 거래량 증가","프리엠스(053160)의 현재 거래량이 최근 5거래일 거래량의 최고치를 넘어서며 투자자들의 관심을 받고 있다. 그리고 프리엠스는 3일 연속 상승흐름을 보이며, 11시 16분 현재 5.63% 증가한 8,820원에 거래중이다.

기관과 개인은 순매도, 외국인은 순매수(한달누적)
기관이 7일연속 순매수를 보이고 있는 반면에 외국인은 3일연속 순매도를 보이고 있다. 4주간을 기준으로 보면 외국인이 매기를 떨어뜨리면서도 2,716주를 순매수한 반면, 기관은 매도 우위를 지속하면서 1,195주를 순매도했고, 개인들도 매도 우위를 보이면서 1,521주를 순매도한 것으로 집계됐다.

퀀트 재무분석, 종합점수 37점으로 상승
지표
항목
값
종합점수
성장성
매출액증가율
-0.3
3.45
자기자본증가율
0.02
안정성
부채비율
10.21
9.58
유동비율
989.97
이익안정성
9.17
수익성
ROA
3.83
5.81
ROE
4.22
영업이익율
6.07


프리엠스의 퀀트 재무 점수는 18.84점으로 3개월 이전 17.06점보다 올랐다. 지난 분기에 비해 성장성 점수가 상승했다. 이는 매출액 증가율과 자기자본 증가율이 증가하였기 때문이다. 수익성 측면에서 볼때 ROA, ROE, 영업이익률 모두 개선되어 이전보다 좋은 점수를 받았다.



'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
프리엠스,한국경제TV,2018.01.10. 오전 11:48,"프리엠스, 전일 대비 약 5% 상승한 8,870원","[한국경제TV 라이온봇 기자]

프리엠스는 1월 10일 11시 48분 전일 대비 약 5% 상승한 8,870원에 거래되고 있다. 프리엠스는 코스닥 상장 기업으로 일반전기전자 업종에 속해 있다. 시가총액은 505억원으로 코스닥 상장기업 중 965위에 위치 해 있다.

[종목 성향 진단]


[그림 1] 종목 성향 진단


프리엠스의 투자 스타일은 가치주에 가깝다. 기업 가치 대비 낮은 주가가 매력적인 기업이다.
주가 모멘텀은 평범한 수준이었다. 최근 1개월 수익률이 0.84%, 3개월 수익률은 7.54%, 6개월 수익률은 8.79%를 기록했다.
프리엠스종목에 대한 투자자의 관심도는 평범한 수준이었다.

[투자 점수 진단]


[그림 2] 투자 점수 진단


프리엠스는 성장성(매출증가율(YoY)) 측면에서 두각을 나타내고 있다. 최근 매출증가율(YoY)은 96점으로 6개의 핵심 팩터 중 가장 높은 점수를 기록했다. 매출증가율(YoY)은 전체 시장 내 73위를 기록하며 상위 4%에 위치했다. 업종별로는 37위를 기록하며 상위 6.98%에 위치했다.
그리고 안정성(부채비율) 역시 도드라지는 편이다. 안정성 점수는 94점으로 두번째로 높은 점수를 기록했다. 부채비율은 전체 시장 내 128위를 기록하며 상위 5.52%에 위치했다. 업종별로는 48위를 기록하며 상위 7.56%에 위치했다.

[종합 투자점수]


[그림 3] 종합 투자점수


AI 인공지능 분석을 통한 프리엠스의 종목 종합 스코어는 92점을 기록했다.
이는 동일 업종 평균점수인 57점과 시장 평균점수인 57점를 상회하는 수치였다.

(위의 AI인공지능 점수는 재무 데이터를 기반으로 전체 상장 종목과 비교/분석하여 도출한 점수로 높은 점수가 반드시 높은 수익률을 보장하지 않습니다.)

라이온봇 기자 -한국경제TV

라이온봇기자



ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
프리엠스,서울경제,2018.01.10. 오후 1:41,"(코)프리엠스, 전일 대비 7.01% 상승.. 일일회전율은 1.80% 기록","[서울경제] 프리엠스(053160)는 10일 오후 1시 40분 현재 7.01% 오른 9,010원에 거래되고 있으며, 33(매도):67(매수)의 매수우위를 기록하고 있다. 거래대금은 9억5,322만, 거래량은 10만8,031주로 거래량회전율은 1.80%로 나타났다.


지난 1개월간 프리엠스는 상승 18회, 하락 10회를 기록했고, 주가수익률은 20.94% 표준편차는 3.39%를 기록했다. 이 기간 '일반전기전자업' 업종 평균 주가수익률은 6.17%로 나타났으며, 변동성은 1.23%를 기록했다.

이 시각 현재 '일반전기전자업'은 0.35% 상승 중이며, 53(매도):47(매수)의 매도우위를 기록하고 있다.

[이 기사는 증시분석 전문기자 서경뉴스봇(newsbot@sedaily.com)이 실시간으로 작성했습니다.]

/서경뉴스봇 newsbot@sedaily.com

[서울경제 바로가기]
이제 주식시세도 서울경제에서 확인하세요 [바로가기▶]
블록체인의 모든 것, 서울경제 Decenter [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
프리엠스,파이낸셜뉴스,2018.01.10. 오후 2:27,[fnRASSI]프리엠스(053160) 전일대비 9.5% 상승,"프리엠스(053160)는 현재 주가가 전일 대비 9.5% 상승한 9,220원 선에서 거래가 이루어지고 있다.

외국인/기관 순매수, 개인은 순매도(한달누적)
전일 외국인이 4,892주를 순매수했다. 4주간을 기준으로 보면 외국인이 매수 우위를 유지하면서 70,754주를 순매수했고, 기관도 초반에 동종목을 순매수한 이후에 최근에는 순매수량이 줄어들고 있음에도 불구하고 3,558주를 순매수했다. 반면 개인들은 초반에 동종목을 순매도한 이후에 근래에는 순매도량을 줄이면서 74,312주를 순매도한 것으로 나타났다.

주가등락폭은 다소 큰 편
최근 한달간 프리엠스의 상장주식수 대비 거래량을 비교해보니 일별 매매회전율이 1.73%로 집계됐다. 동기간 일평균 주가변동률은 9.26%로 장중 저점과 고점의 차이가 매우 컸음을 알 수 있다.

'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
프리엠스,서울경제,2018.01.11. 오전 10:47,"(코)프리엠스, 전일 대비 7.42% 상승.. 일일회전율은 2.13% 기록","[서울경제] 프리엠스(053160)는 11일 오전 10시 46분 현재 7.42% 오른 9,840원에 거래되고 있으며, 35(매도):65(매수)의 매수우위를 기록하고 있다. 거래대금은 12억1,887만, 거래량은 12만7,919주로 거래량회전율은 2.13%로 나타났다.


지난 1개월간 프리엠스는 상승 18회, 하락 10회를 기록했고, 주가수익률은 31.03% 표준편차는 3.69%를 기록했다. 이 기간 '일반전기전자업' 업종 평균 주가수익률은 6.16%로 나타났으며, 변동성은 1.20%를 기록했다.

이 시각 현재 '일반전기전자업'은 0.26% 상승 중이며, 48(매도):52(매수)의 매수우위를 기록하고 있다.

[이 기사는 증시분석 전문기자 서경뉴스봇(newsbot@sedaily.com)이 실시간으로 작성했습니다.]

/서경뉴스봇 newsbot@sedaily.com

[서울경제 바로가기]
이제 주식시세도 서울경제에서 확인하세요 [바로가기▶]
블록체인의 모든 것, 서울경제 Decenter [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
프리엠스,한국경제TV,2018.01.11. 오전 11:50,"프리엠스, 전일 대비 약 9% 상승한 10,000원","[한국경제TV 라이온봇 기자]

프리엠스는 1월 11일 11시 50분 전일 대비 약 9% 상승한 10,000원에 거래되고 있다. 프리엠스는 코스닥 상장 기업으로 일반전기전자 업종에 속해 있다. 시가총액은 549억원으로 코스닥 상장기업 중 935위에 위치 해 있다.

[종목 성향 진단]


[그림 1] 종목 성향 진단


프리엠스의 투자 스타일은 가치주에 가깝다. 기업 가치 대비 낮은 주가가 매력적인 기업이다.
주가 모멘텀은 평범한 수준이었다. 최근 1개월 수익률이 9.7%, 3개월 수익률은 14.5%, 6개월 수익률은 17.89%를 기록했다.
프리엠스종목에 대한 투자자의 관심도는 높은 편에 속한다.

[투자 점수 진단]


[그림 2] 투자 점수 진단


프리엠스는 성장성(매출증가율(YoY)) 측면에서 두각을 나타내고 있다. 최근 매출증가율(YoY)은 96점으로 6개의 핵심 팩터 중 가장 높은 점수를 기록했다. 매출증가율(YoY)은 전체 시장 내 73위를 기록하며 상위 4%에 위치했다. 업종별로는 37위를 기록하며 상위 6.98%에 위치했다.
그리고 안정성(부채비율) 역시 도드라지는 편이다. 안정성 점수는 94점으로 두번째로 높은 점수를 기록했다. 부채비율은 전체 시장 내 128위를 기록하며 상위 5.52%에 위치했다. 업종별로는 48위를 기록하며 상위 7.56%에 위치했다.

[종합 투자점수]


[그림 3] 종합 투자점수


AI 인공지능 분석을 통한 프리엠스의 종목 종합 스코어는 92점을 기록했다.
이는 동일 업종 평균점수인 57점과 시장 평균점수인 57점를 상회하는 수치였다.

(위의 AI인공지능 점수는 재무 데이터를 기반으로 전체 상장 종목과 비교/분석하여 도출한 점수로 높은 점수가 반드시 높은 수익률을 보장하지 않습니다.)

라이온봇 기자 -한국경제TV

라이온봇기자



ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
프리엠스,한국경제TV,2018.01.11. 오전 11:54,"프리엠스, 10% 급등... 전일 보다 940원 상승한 10,100원","[한국경제TV 라이온봇 기자]

프리엠스는 1월 11일 11시 53분 전일 대비 약 10% 급등한 10,100원에 거래되고 있다. 프리엠스는 코스닥 상장 기업으로 일반전기전자 업종에 속해 있다. 시가총액은 549억원으로 코스닥 상장기업 중 935위에 위치 해 있다.

[종목 성향 진단]


[그림 1] 종목 성향 진단


프리엠스의 투자 스타일은 가치주에 가깝다. 기업 가치 대비 낮은 주가가 매력적인 기업이다.
주가 모멘텀은 평범한 수준이었다. 최근 1개월 수익률이 9.7%, 3개월 수익률은 14.5%, 6개월 수익률은 17.89%를 기록했다.
프리엠스종목에 대한 투자자의 관심도는 높은 편에 속한다.

[투자 점수 진단]


[그림 2] 투자 점수 진단


프리엠스는 성장성(매출증가율(YoY)) 측면에서 두각을 나타내고 있다. 최근 매출증가율(YoY)은 96점으로 6개의 핵심 팩터 중 가장 높은 점수를 기록했다. 매출증가율(YoY)은 전체 시장 내 73위를 기록하며 상위 4%에 위치했다. 업종별로는 37위를 기록하며 상위 6.98%에 위치했다.
그리고 안정성(부채비율) 역시 도드라지는 편이다. 안정성 점수는 94점으로 두번째로 높은 점수를 기록했다. 부채비율은 전체 시장 내 128위를 기록하며 상위 5.52%에 위치했다. 업종별로는 48위를 기록하며 상위 7.56%에 위치했다.

[종합 투자점수]


[그림 3] 종합 투자점수


AI 인공지능 분석을 통한 프리엠스의 종목 종합 스코어는 92점을 기록했다.
이는 동일 업종 평균점수인 57점과 시장 평균점수인 57점를 상회하는 수치였다.

(위의 AI인공지능 점수는 재무 데이터를 기반으로 전체 상장 종목과 비교/분석하여 도출한 점수로 높은 점수가 반드시 높은 수익률을 보장하지 않습니다.)

라이온봇 기자 -한국경제TV

라이온봇기자



ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
프리엠스,파이낸셜뉴스,2018.01.11. 오후 3:07,[fnRASSI]프리엠스 전일대비 8.3% 상승,"프리엠스(053160)는 현재 주가가 전일 대비 8.3% 상승한 9,920원 선에서 거래가 이루어지고 있다.

퀀트 재무분석, 종합점수 36점으로 상승
지표
항목
값
종합점수
성장성
매출액증가율
-0.3
3.4
자기자본증가율
0.02
안정성
부채비율
10.21
9.58
유동비율
989.97
이익안정성
9.17
수익성
ROA
3.83
5.81
ROE
4.22
영업이익율
6.07


프리엠스의 퀀트 재무 점수는 18.79점으로 3개월 이전 17.1점보다 올랐다. 지난 분기에 비해 성장성 점수가 상승했다. 이는 매출액 증가율과 자기자본 증가율이 증가하였기 때문이다. 수익성 측면에서 볼때 ROA, ROE, 영업이익률 모두 개선되어 이전보다 좋은 점수를 받았다.



거래참여는 개인투자자가 가장 활발
최근 한달간 주체별 거래비중을 살펴보면 개인이 전체 거래의 90.25%를 차지하며 가장 적극적인 모습을 보여줬고, 외국인은 9.71%를 나타냈으며 기관은 0.02%를 나타냈다. 그리고 최근 5일간 거래비중은 개인 비중이 91.83%로 가장 높았고, 외국인이 8.08%로 그 뒤를 이었다. 기관은 0.08%를 나타냈다.

'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
프리엠스,파이낸셜뉴스,2018.01.29. 오전 10:29,"[fnRASSI]프리엠스(053160), 52주 신고가...5.97% ↑","프리엠스(053160)는 52주신고가를 기록하고 있어 주목할만하다. 동종목의 현재 주가는 10,300원 선에서 이루어지고 있다. 거래일을 기준으로 최근 3일간 평균 거래량은 5만 주이다. 이는 60일 일 평균 거래량 8만 주와 비교해보면 최근 거래량이 다소 감소했다는 것을 알 수 있다.

상장주식수 대비 거래량은 1.7%로 적정수준
최근 한달간 프리엠스의 상장주식수 대비 거래량을 비교해보니 일별 매매회전율이 1.7%로 집계됐다. 그리고 동기간 장중 저점과 고점의 차이인 일평균 주가변동률을 4.32%를 나타내고 있다.

기관과 개인은 순매도, 외국인은 순매수(한달누적)
1월24일부터 전일까지 외국인이 3거래일 연속 순매수를 보였다. 4주간을 기준으로 보면 외국인이 매매관점을 매도에서 매수로 전환하면서 3,802주를 순매수한 반면, 기관은 매도 관점으로 접근하면서 1,415주를 순매도했고, 개인들도 매도 우위로 반전되면서 2,387주를 순매도한 것으로 집계됐다.

'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
