종목명,신문사,시간,제목,본문
바디텍메드,전자신문,2017.10.11. 오후 12:20,[ET투자뉴스]바디텍메드_주가등락폭은 다소 큰 편,"업종평균에 비해서 변동폭 대비 수익률은 다소 부정적

11일 오후 12시10분 현재 전일대비 1.34% 오른 15,150원을 기록하고 있는 바디텍메드는 1개월전 대비 비슷한 주가수준을 보이고 있다. 같은 기간동안 변동성의 크기를 말해주는 표준편차는 1.9%를 기록했다. 이는 제약 업종내에서 주요종목들과 비교해볼 때 바디텍메드의 월간 주가등락률이 보합수준에 머물고 있지만 변동성은 가장 낮은 수준을 유지했다는 뜻이다. 최근 1개월을 기준으로 바디텍메드의 위험을 고려한 수익률은 0.1을 기록했는데, 주가상승은 없었지만 변동성이 낮았기 때문에 위험대비 수익률은 적정수준을 유지했다. 다만 제약업종의 위험대비수익률 7.6보다는 낮았기 때문에 업종대비 성과는 긍정적으로 보기 어렵다.
다음으로 업종과 시장을 비교해보면 바디텍메드가 속해 있는 제약업종은 코스닥지수보다 변동성과 수익률이 모두 높은 모습이다. 다시 말하면 동업종에 탄력이 붙으면서 지수대비 초과상승했다는 의미이다.
  표준편차 수익율 위험대비 수익율
펩트론 2.6% 7.4% 2.8
쎌바이오텍 2.5% 7.2% 2.8
삼천당제약 2.5% -1.5% -0.6
CMG제약 2.2% -7.2% -3.2
바디텍메드 1.9% 0.0% 0.1
코스닥 0.7% 1.4% 2.0
제약 1.3% 9.9% 7.6

관련종목들도 일제히 상승, 제약업종 +1.21%
이 시각 현재 관련종목들도 일제히 상승하고 있는 가운데 제약업종은 1.21% 상승중이다.
CMG제약
3,405원
▲55(+1.64%) 삼천당제약
12,850원
▲250(+1.98%)
쎌바이오텍
40,050원
▲750(+1.91%) 펩트론
46,750원
▲100(+0.21%)

증권사 목표주가 20,000원, 현재주가 대비 32% 추가 상승여력
최근 한달간 제시된 증권사 투자의견을 종합해보면 바디텍메드의 평균 목표주가는 20,000원이다. 현재 주가는 15,150원으로 4,850원(32%)까지 추가상승 여력이 존재한다.

증권사 투자의견을 보면 한화투자증권의 신현준, 김윤지 에널리스트가 "" 중국 시장의 Turnaround를 기대하며, 동사의 광서법인 및 유통JV회사인 Chinmax의 인허가 취득이 2017년말까지 이루어지고, 기존 중국 유통 파트너사와의 계약도 신규로 갱신될 것으로 예상되어, 동사의 중국향 매출은 2017년 3분기를 저점으로 회복될 것으로 예상하였다…"" (이)라며 투자의견 N/R을 제시했다.


[재무분석 특징]
영업이익률 현재 21.42%로 업종평균 상회. PER은 31.81로 업종평균보다 높으며, PBR은 4.32로 다소 높은편.
업종내 시가총액 규모가 가장 비슷한 4개 종목과 비교해보면 바디텍메드는 자산가치대비 현재의 주가수준을 나타내는 PBR과 순이익대비 현재의 주가수준을 보여주는 PER이 모두 상대적으로 적정한 수준에 있다고 할 수 있다.
바디텍메드 CMG제약 펩트론 쎌바이오텍 삼천당제약
ROE 13.6 1.9 -7.1 20.0 9.3
PER 31.8 182.2 - 22.4 16.6
PBR 4.3 3.5 6.7 4.5 1.5
기준년월 2017년6월 2017년6월 2017년6월 2017년6월 2017년6월

외국인/기관 순매수, 개인은 순매도(한달누적)
9월28일부터 전일까지 기관이 3거래일 연속 순매도를 보였다. 4주간을 기준으로 보면 외국인이 매수 우위를 유지하면서 17,739주를 순매수했고, 기관도 순매도를 기록하다가 다시 순매수로 돌아서면서 29,583주를 순매수했다. 반면 개인들은 매도 우위로 반전되면서 47,322주를 순매도한 것으로 나타났다.

투자주체별 누적순매수
주가등락폭은 다소 큰 편
최근 한달간 바디텍메드의 상장주식수 대비 거래량을 비교해보니 일별 매매회전율이 2.06%로 집계됐다. 동기간 일평균 주가변동률은 7.92%로 장중 저점과 고점의 차이가 매우 컸음을 알 수 있다.

주요 투자주체는 개인투자자
최근 한달간 주체별 거래비중을 살펴보면 개인이 93.49%로 가장 높은 참여율을 보였고, 외국인이 4.66%를 보였으며 기관은 1.83%를 나타냈다. 그리고 최근 5일간 거래비중은 개인 비중이 96.17%로 가장 높았고, 외국인이 3.27%로 그 뒤를 이었다. 기관은 0.55%를 나타냈다.

투자주체별 매매비중
＊기관과 외국인을 제외한 개인 및 기타법인 등의 주체는 모두 개인으로 간주하였음

주가와 거래량은 보통, 투자심리는 약세
현주가를 최근의 주가변화폭을 기준으로 본다면 특정 방향으로의 추세는 확인되지 않고, 거래량 지표로 볼 때는 적정한 수준에서 특별한 변화는 포착되지 않고 있다. 실리적인 측면에서는 약세흐름에 투자자들은 불안감을 느끼고 있고 이동평균선들의 배열도를 분석을 해보면 중기적으로는 하락패턴, 단기적으로는 상승패턴이다.

주요 매물구간인 16,200원선이 저항대로 작용
최근 세달동안의 매물대 분포를 살펴보면, 현주가 위로 16,200원대의 대형매물대가 눈에 뜨이고, 이중에서 16,200원대는 전체 거래의 29.3%선으로 매매가 이가격대에서 비교적 크게 발생한 구간이라서 향후 주가가 상승할때 수급적인 저항대가 될 가능성을 고려할 필요가 있고, 그리고 15,350원대의 매물대 또한 규모가 약하기는하지만 향후 주가가 방향을 잡으면 어느쪽으로도 지지 또는 저항매물대로 힘을 발휘할 수있다. 따라서 주가가 단기적인 상승을 전개하고 있는 현재 상황에서는, 제2매물대인 15,350원대의 저항가능성에 보다 더 큰 비중을 두는 시각이 합리적이고, 제2매물가격대에 주가가 지금 가깝게 근접하고 있기 때문에, 이제부터는 15,350원대의 저항여부를 우선해서 세밀하게 확인할 필요가 있겠다.


[포인트검색]
9월18일 :바디텍메드(주) 기업설명회(IR) 개최
9월13일 :바디텍메드(주) 자기주식취득 신탁계약 체결 결정


증시분석 전문기자 로봇 ET etbot@etnews.com
전자신문과 씽크풀의 증시분석 전문기자 로봇 ET가 쓴 기사입니다

▶ 전자신문 인기 포스트
▶ 전자신문 공식 페이스북
▶ 전자신문 바로가기
[Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
바디텍메드,전자신문,2017.10.16. 오전 9:39,[ET투자뉴스]바디텍메드_주요 투자주체는 개인투자자,"업종평균과 비교해서 변동폭 대비 성과 좋지 않아

16일 오전 9시35분 현재 전일대비 5.08% 오른 15,500원을 기록하고 있는 바디텍메드는 지난 1개월간 1.97% 상승했다. 동기간 동안 주가의 변동성 지표인 표준편차는 2.4%를 기록했다. 이는 제약 업종내에서 주요종목들과 비교해볼 때 바디텍메드의 월간 주가수익률은 상당히 높았지만 변동성은 적정한 수준을 유지했다는 뜻이다. 최근 1개월을 기준으로 바디텍메드의 위험을 고려한 수익률은 0.8을 기록했는데, 변동성은 중간 수준이었으나 주가흐름이 양호했기 때문에 위험대비 수익률은 높은 수준을 유지했다. 다만 제약업종의 위험대비수익률 9.8보다는 낮았기 때문에 업종대비 성과는 뛰어났다고 할 수 없다.
다음으로 업종과 시장을 비교해보면 바디텍메드가 속해 있는 제약업종은 코스닥지수보다 변동성과 수익률이 모두 높은 모습이다. 다시 말하면 동업종에 탄력이 붙으면서 지수대비 초과상승했다는 의미이다.
  표준편차 수익율 위험대비 수익율
펩트론 2.9% -5.6% -1.9
쎌바이오텍 2.5% 2.4% 0.9
바디텍메드 2.4% 2.0% 0.8
삼천당제약 2.4% 1.9% 0.7
CMG제약 2.1% -9.7% -4.6
코스닥 0.7% 0.2% 0.2
제약 1.5% 14.7% 9.8

관련종목들 혼조세, 제약업종 +0.67%
이 시각 현재 관련종목들은 혼조세를 보이고 있으나 제약업종은 0.67% 상승중이다.
쎌바이오텍
38,050원
▼100(-0.26%) 삼천당제약
13,600원
▲200(+1.49%)
CMG제약
3,335원
▲15(+0.45%) 펩트론
43,350원
▼200(-0.46%)

증권사 목표주가 20,000원, 현재주가 대비 29% 추가 상승여력
최근 한달간 제시된 증권사 투자의견을 종합해보면 바디텍메드의 평균 목표주가는 20,000원이다. 현재 주가는 15,500원으로 4,500원(29%)까지 추가상승 여력이 존재한다.

증권사 투자의견을 보면 한화투자증권의 신현준, 김윤지 에널리스트가 "" 중국 시장의 Turnaround를 기대하며, 동사의 광서법인 및 유통JV회사인 Chinmax의 인허가 취득이 2017년말까지 이루어지고, 기존 중국 유통 파트너사와의 계약도 신규로 갱신될 것으로 예상되어, 동사의 중국향 매출은 2017년 3분기를 저점으로 회복될 것으로 예상하였다…"" (이)라며 투자의견 N/R을 제시했다.


[재무분석 특징]
영업이익률 현재 21.42%로 업종평균 상회. PER은 31.29로 업종평균보다 높으며, PBR은 4.24로 다소 높은편.
업종내 시가총액 규모가 가장 비슷한 4개 종목과 비교해보면 바디텍메드는 자산가치대비 현재의 주가수준을 나타내는 PBR과 순이익대비 현재의 주가수준을 보여주는 PER이 모두 상대적으로 적정한 수준에 있다고 할 수 있다.
바디텍메드 CMG제약 펩트론 쎌바이오텍 삼천당제약
ROE 13.6 2.8 -7.9 22.5 9.4
PER 31.3 128.9 - 20.1 17.5
PBR 4.2 3.5 6.7 4.5 1.6
기준년월 2017년6월 2017년6월 2017년6월 2017년6월 2017년6월

외국인과 개인은 순매도, 기관은 순매수(한달누적)
전일까지 외국인이 2일 연속, 기관이 6일 연속 각각 동종목을 순매도 했다. 4주간을 기준으로 보면 기관이 방향성있는 매매를 하면서 33,135주를 순매수한 반면, 외국인은 순매도로 돌아서면서 9,041주를 순매도했고, 개인들도 초반에 동종목을 순매도한 이후에 근래에는 순매도량을 줄이면서 24,094주를 순매도했다.

투자주체별 누적순매수
상장주식수 대비 거래량은 2.29%로 적정수준
최근 한달간 바디텍메드의 상장주식수 대비 거래량을 비교해보니 일별 매매회전율이 2.29%로 집계됐다. 그리고 동기간 장중 저점과 고점의 차이인 일평균 주가변동률을 4.35%를 나타내고 있다.

주요 투자주체는 개인투자자
최근 한달간 주체별 거래비중을 살펴보면 개인이 93.56%로 가장 높은 참여율을 보였고, 외국인이 4.89%를 보였으며 기관은 1.54%를 나타냈다. 그리고 최근 5일간 거래비중은 개인 비중이 90.94%로 가장 높았고, 외국인이 8.22%로 그 뒤를 이었다. 기관은 0.83%를 나타냈다.

투자주체별 매매비중
＊기관과 외국인을 제외한 개인 및 기타법인 등의 주체는 모두 개인으로 간주하였음

주가와 거래량은 보통, 투자심리는 약세
현주가를 최근의 주가변화폭을 기준으로 본다면 특정 방향으로의 추세는 확인되지 않고, 거래량 지표로 볼 때는 적정한 수준에서 특별한 변화는 포착되지 않고 있다. 실리적인 측면에서는 약세흐름에 투자자들은 불안감을 느끼고 있고 이동평균선들의 배열도를 분석을 해보면 중장기적으로 하락국면에 있으나 단기적으로는 추세전환 시도가 나오고 있다.

현재주가 근처인 16,200원대에 주요매물대가 존재.
최근 세달동안의 매물대 분포를 살펴보면, 현주가대 근방에 16,200원대의 대형매물대가 눈에 뜨이고, 이중에서 16,200원대는 전체 거래의 27.4%선으로 매매가 이가격대에서 비교적 크게 발생한 구간이라서 향후 주가가 상승할때 수급적인 저항대가 될 가능성을 고려할 필요가 있고, 그리고 15,350원대의 매물대 또한 규모가 크기때문에 향후 주가가 방향을 잡으면 어느쪽으로도 지지 또는 저항매물대로 힘을 발휘할 수있다. 따라서 주가가 단기적인 상승을 전개하고는 있지만, 위로 제1매물대 저항구간인 16,200원대까지는 아직 거리가 상대적으로 멀고, 아래로 제2매물대 지지대인 15,350원이 더 가깝게 위치하고 있다. 제2매물가격대에 주가가 지금 근접하고 있기 때문에, 이제부터는 15,350원대의 지지여부를 우선해서 세밀하게 확인할 필요가 있다. 현재위치에서 매물부담을 고려해보면, 15,350원대의 지지가능성과 16,200원대의 저항가능성을 중심으로 보는 것이 필요하다.


[포인트검색]
10월16일 9시35분 :바디텍메드(주) 기타 주요경영사항(AFIAS TSH-SP, AFIAS-6/SP Analyz
9월18일 :바디텍메드(주) 기업설명회(IR) 개최


증시분석 전문기자 로봇 ET etbot@etnews.com
전자신문과 씽크풀의 증시분석 전문기자 로봇 ET가 쓴 기사입니다

▶ 전자신문 인기 포스트
▶ 전자신문 공식 페이스북
▶ 전자신문 바로가기
[Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
바디텍메드,연합뉴스,2017.10.16. 오전 9:40,"바디텍메드 ""갑상선 자동 진단 기기 FDA 승인 받아""","(서울=연합뉴스) 조민정 기자 = 바디텍메드는 갑상선 기능의 이상 유무를 확인할 수 있는 기기와 카트리지에 대해 미국 식품의약국(FDA)의 승인을 얻었다고 16일 공시했다.

이번에 승인을 받은 제품은 'AFIAS TSH(AFIAS TSH-SP, AFIAS-6/SP Analyzer, AFIAS TSH-VB, AFIAS-6/VB Analyzer)'로 환자의 전혈이나 혈장, 혈청을 카트리지에 장착한 후 기기를 구동하면 일정 시간 후 자동으로 갑상선 기능 이상 유무를 확인해주는 완전자동화 현장진단 기기다.

회사 측은 ""FDA 승인과 함께 미국은 물론 FDA를 인정하는 다른 국가에서도 장비 및 소모품인 카트리지 판매를 시작할 수 있어 매출 증가에 긍정적인 요인으로 작용할 수 있다""고 설명했다.

chomj@yna.co.kr

기자가 기다려요. 기사 문의 및 제보는 여기로(클릭!)

최신 유행 트렌드 총집결(클릭!)"
바디텍메드,이데일리,2017.10.16. 오전 9:46,"바디텍메드, ‘AFIAS TSH-VB, AFIAS-6/VB Analyzer’ 美 FDA 승인","[이데일리 윤필호 기자] 바디텍메드(206640)는 미국 식품의약국(FDA)으로부터 AFIAS TSH cartridge와 관련 분석기기의 승인을 취득했다고 16일 공시했다. AFIAS TSH는 완전자동화 현장진단 기기로 환자의 전혈이나 혈장·혈청을 카트리지에 장착 후 기기를 구동하면 일정시간 후 자동으로 갑상선 기능의 이상 유무를 확인할 수 있는 제품이다. 회사측은 “FDA 승인과 함께 미국은 물론 FDA를 인정하는 다른 국가에서도 장비및 소포품인 카트리지 판매를 시작할 수 있다”며 “매출 증가에 긍정적인 요인으로 작용할 수 있다”고 밝혔다.

윤필호 (nothing@edaily.co.kr)

▶사진으로 보는 핫이슈
▶[페이스북] 보러가기~♥ | [카카오톡] 플친 맺기~♥


＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
바디텍메드,한국경제,2017.10.16. 오전 9:46,"바디텍메드 ""AFIAS TSH, 미 FDA 승인 취득""","바디텍메드는 ""자사 갑상선 기능 진단기기인 아피아스(AFIAS) TSH 기기 및 카트리지가 지난 13일 미국 식품의약국(FDA)의 승인을 취득했다""고 16일 공시했다.

바디텍메드 측은 ""AFIAS TSH는 완전자동화 현장진단 기기로 환자의 전혈이나 혈장·혈청을 카트리지에 장착 후 기기를 구동하면 일정시간 후 자동으로 갑상선 기능의 이상 유무를 확인할 수 있는 제품""이라며 ""FDA 승인과 함께 미국은 물론 FDA를 인정하는 다른 국가에서도 장비및 소포품 인 카트리지 판매를 시작할 수 있어 매출 증가에 긍정적인 요인으로 작용할 수 있다""고 설명했다.

오정민 한경닷컴 기자 blooming@hankyung.com



[한경닷컴 바로가기] [글방] [모바일한경 구독신청]
ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
바디텍메드,머니투데이,2017.10.16. 오전 9:49,"바디텍메드, 갑상선 검사장비 FDA 인허가 취득","[머니투데이 김지산 기자] 현장진단 전문기업 바디텍메드는 최근 자동화 현장진단 기기인 아피아스 TSH 카트리지와 기기가 미국 식품의약국(FDA)으로부터 인허가를 취득했다고 16일 밝혔다.

바디텍메드는 이번 인허가로 미국 내 개인병원이나 건강관리기관에 해당 제품 공급을 추진할 계획이다. 대장암 진단키트 iFOB, 빈혈 측정기 헤모크로마에 이어 갑상선 기능측정에 사용되는 TSH 진단키트를 더해 시장 공략이 더 수월해질 것으로 기대한다.

아피아스 TSH는 갑상선 자극 호르몬 농도를 측정해 갑상선 기능을 측정한다. 해당 장비는 대형 장비들이 꼭 시행해야 하는 혈액 전처리 과정이 필요 없도록 고안됐다. 검사 시료로써 혈장이나 혈청 뿐만 아니라 전혈과 손끝혈로 사용할 수 있다.

갑상선 질환은 미국에서 가장 빈번하게 측정되는 내분비 계통 검사 항목이다. 일반적인 피로와 증상이 매우 유사하고 대형 병원 중앙 검사소 장비를 이용해야 검사가 가능해 환자와 병원 모두 불편을 견뎌야 했다. 이로 인해 환자 절반 정도는 검진조차 받지 않는 것으로 추정된다.

바디텍메드는 이런 사정을 고려해 개인 병원과 같은 1차 진료기관과 요양원 등에 제품을 주로 공급할 계획이다.

바디텍메드 관계자는 ""미국 FDA 인허가 취득으로 다른 국가에서도 장비와 소모품인 카트리지 판매를 시작할 수 있을 것으로 기대된다""며 ""매출 증가에 긍정적인 요인으로 작용할 것""이라고 말했다.

▶옆사람이 지금 보는 기사들
▶무료만화 즐기고~선물타자! ▶치어리더 vs 레이싱걸

김지산 기자 san@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
바디텍메드,이데일리,2017.10.16. 오전 9:54,"바디텍메드, 아피아스 TSH 카트리지 美 FDA 인허가","- 현지 갑상선 질환 진단 시장 진출 확대 기대

[이데일리 이명철 기자] 현장진단 전문기업 바디텍메드(206640)는 지난 14일 자동화 현장진단 기기 아피아스(AFIAS) TSH 카트리지·기기의 미국 식품의약국(FDA) 인허가를 취득했다고 16일 밝혔다.

앞서 회사는 지난 1월 FDA에 인허가를 접수한 바 있다. 이번 인허가 취득은 통상 기간을 6개월 이상 단축한 것이다.

대장암 진단키트(iFOB), 빈혈 측정기(헤모크로마)에 이어 갑상선 기능측정에 사용되는 TSH 진단키트에 대한 FDA 승인 완료로 미국 시장 3가지 제품에 대한 판매가 가능해 작년 인수한 미국 이뮤노스틱스(Immunostics) 매출이 증가할 것으로 기대했다.

아피아스 TSH는 갑상선 기능 검사를 위한 갑상선 자극 호르몬 농도 측정 장비로 의료 현장에서 갑상선 기능의 저하(갑상선 기능 저하증)나 과다(갑상선 기능 항진증) 여부를 진단할 수 있다. 검사 시료로 혈장·혈청뿐 아니라 전혈·손끝혈이 사용 가능하다. 손가락에서 직접 채혈·분석이 가능한 특허제품 c-tip이 적용된 미국 최초 전혈 제품이다.

갑상선 질환은 미국에서 해마다 2700만명 이상 수백만명의 새로운 환자가 발생하는 주요 질환으로 가장 빈번히 측정되는 내분비 계통 검사 항목이다. 아피아스 TSH는 1차 진료기관, 요양원 등에서 간편하게 30분 이내에 결과를 확인할 수 있어 검진 불편함을 덜 것으로 예상된다.

회사 관계자는 “미국은 물론 FDA를 인정하는 다른 국가에서도 장비·소포품인 카트리지 판매를 시작할 수 있어 매출 증가에 긍정적인 요인으로 작용할 거”이라고 말했다.

이명철 (twomc@edaily.co.kr)

▶사진으로 보는 핫이슈
▶[페이스북] 보러가기~♥ | [카카오톡] 플친 맺기~♥


＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
바디텍메드,머니투데이,2017.10.16. 오전 9:55,"바디텍메드, 갑상선 기능 진단기기 美 FDA 승인 취득","[머니투데이 이건희 기자] 바디텍메드는 미국 식품의약국(FDA)으로부터 갑상선 기능 진단기기인 AFIAS TSH cartridge 및 분석기기에 대한 승인을 취득했다고 16일 공시했다. 회사 측은 ""AFIAS TSH는 완전자동화 현장진단 기기로 환자의 전혈이나 혈장·혈청을 카트리지에 장착 후 기기를 구동하면 일정시간 후 자동으로 갑상선 기능의 이상 유무를 확인할 수 있는 제품""이라고 소개했다.

▶옆사람이 지금 보는 기사들
▶무료만화 즐기고~선물타자! ▶치어리더 vs 레이싱걸

이건희 기자 kunheelee@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
바디텍메드,서울경제,2017.10.16. 오전 10:05,"바디텍메드, 갑상선 기능 진단기기 美 FDA 승인","[서울경제] 바디텍메드(206640)는 16일 미국 식품의약국(FDA)에서 갑상선 기능 진단기기 및 분석기기에 대한 승인을 취득했다고 공시했다. 회사 측은 “해당 기기는 완전 자동화 현장 진단 기기로 환자의 전혈이나 혈장, 혈청을 카트리지에 장착한 후 기기를 구동하면 일정시간 후 자동으로 감상선 기능 이상 유무를 확인할 수 있는 제품”이라고 설명했다.

/서지혜기자 wise@sedaily.com

[서울경제 바로가기]
1997년 이래 대한민국 최고의 과학자 DB [바로가기]
서울경제의 모든 연재물!... 서경Cube [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
바디텍메드,서울경제,2017.10.16. 오전 10:54,"바디텍메드, 갑상선 기능 진단기 ‘아피아스’ 미 FDA 인허가 취득","[서울경제] 현장진단 전문기업 바디텍메드(206640)는 14일 자사의 자동화 현장진단기기인 아피아스(AFIAS) TSH 카트리지와 기기가 미국 식품의약국(FDA)의 시판 인허가를 받았다고 16일 밝혔다.

아피아스 TSH는 갑상선 자극 호르몬 농도를 측정하는 장비로서 의료 현장에서 갑상선 기능의 저하나 과다 여부를 간단하고 즉각적으로 진단할 수 있다. 혈액 전처리 과정이 필요 없도록 고안돼 손끝의 혈액을 채취하는 것만으로도 분석이 가능하다는 특징이 있다. 회사 측은 “기존에는 장비가 있는 대형 병원 검사소에 가서 혈액 채취 후 기다리는 일련의 과정들이 필요했지만 아피아스 TSH를 통해서는 손가락 채혈만으로 30분 이내 진단 결과를 확인할 수 있게 됐다”고 설명했다.

바디텍메드는 이번 아피아스 THS 인허가를 통해 미국 내 개인병원이나 건강관리기관에 진출 할 수 있게 됐다고 강조했다. 아울러 앞서 FDA 승인을 받은 대장암 진단키트와 빈혈측정기와 함께 미국 의료시장 공략을 가속화 할 수 있으리라 내다봤다.

/김경미기자 kmkim@sedaily.com

[서울경제 바로가기]
1997년 이래 대한민국 최고의 과학자 DB [바로가기]
서울경제의 모든 연재물!... 서경Cube [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
