종목명,신문사,시간,제목,본문
동원개발,한국경제TV,2017.10.02. 오전 9:01,"동원개발, '분양가상한제+공공택지' 콜라보 '시흥시청역 동원로얄듀크' 인기 高高","[한국경제TV 고정호 기자]


- 분양가 상대적으로 저렴하고 희소성 높은 공공택지지구 분양 물량 주목

- 시흥 장현지구, 공공택지로 분양가 상한제 적용돼 수요자 관심 집중

- 동원개발, 시흥 장현지구에 '시흥시청역 동원로얄듀크' 447가구 분양 나서

공공택지 내 분양가상한제 적용 분양단지가 인기를 끌고 있다. 분양가는 저렴한데다 택지지구 내 인프라를 이용할 수 있어 미래가치가 높기 때문이다.

특히 공공택지의 경우 교통과 학교, 상업, 업무 등 다양한 인프라가 들어섬에 따라 주거환경이 편리해 수요층들이 많이 몰린다. 실제 지난 4월 고덕국제신도시에서 분양한 '평택고덕신도시 제일풍경채 센트럴'의 경우 1순위 청약접수에서 773가구 모집에 6만5003명이 청약해 평균 84.1대 1의 경쟁률을 기록했다.

여기에 인기가 높다보니, 웃돈도 많이 붙어 있다. 미사강변도시에서 분양한 '미사강변더샵센트럴포레'의 경우 전용 84㎡ 분양권이 지난 8월 5억6377만원까지 거래됐다. 이 단지의 분양가는 2015년 7월 분양할 때 4억2300만~4억6400만원 선으로 1억 원 이상 프리미엄이 형성돼 있다.

올 하반기에도 공공택지로 수요가 몰릴 것으로 기대되는 가운데 오는 10월 시흥 장현지구에서 동원개발이 '시흥시청역 동원로얄듀크'를 공급해 수요자들의 이목이 집중되고 있다.

'시흥시청역 동원로얄듀크'는 경기도 시흥시 장현지구 B-7블록에 지하 2층~지상 23층, 5개 동, 전용면적 73~84㎡, 총 447가구 규모로 구성된다.

이 단지는 소사-원시선(예정), 신안산선(예정), 월곶판교선(예정)이 지나는 시흥시청역(예정)을 도보로 가깝게 이용할 수 있으며, 차량으로는 인근에 위치한 제3경인고속도로, 서울외곽순환고속도로, 강남순환고속도로 등을 통해 서울 및 수도권 각지로 이동이 편리하다.

대형마트(예정) 등 다양한 편의시설이 들어서는 두개의 상업지구(예정)가 도보거리에 있으며, 시흥시청 등 행정타운이 인근에 있어 편리한 생활이 가능하다. 또, 인접한 능곡지구의 기 조성된 생활인프라를 쉽게 누릴 수 있다. 승지초와 능곡고를 걸어서 통학이 가능하며, 능곡도서관도 가까워 부모들이 안심할 수 있는 안전한 교육환경을 갖췄다.

단지 주변으로 녹지가 풍부해 주거환경이 쾌적하고, 인근으로 크고 작은 근린공원들도 계획돼 있어 가벼운 산책 및 운동을 즐기기에도 좋다. 또, 매화일반산업단지, 반월국가산업단지, 시화멀티테크노밸리 등 산업단지의 배후주거지로서 직주근접 수혜가 기대된다.

단지가 들어서는 시흥 장현지구는 경기도 시흥시 장곡동, 장현동, 광석동, 능곡동, 군자동, 하중동 일원 294만㎡ 부지에 18,412가구, 약 4만6천 명을 수용할 수 있는 규모로 조성된다. 그린벨트 해제지역으로 자연환경이 우수하며, 시흥시청을 중심으로 행정 중심 도시로 계획돼 있어 탄탄한 인프라가 조성되는 등 미래가치가 우수하다.

견본주택은 경기도 시흥시 장현동 72번지 일원(장현초 맞은편)에서 10월 중 개관할 예정이며, 입주는 2020년 4월 예정이다.

고정호기자 jhkoh@wowtv.co.kr



ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
동원개발,연합뉴스,2017.10.11. 오전 10:58,동원개발 부산 일광신도시에 701가구 이달 공급,"(부산=연합뉴스) 박창수 기자 = 동원개발이 부산지역 부동산시장에서 주목받는 지역 가운데 한 곳인 일광신도시에 아파트 공급을 시작한다.

동원개발은 이달 중 일광신도시에 '비스타동원 1차'를 공급하기로 하고 오는 20일 견본주택을 공개할 예정이라고 11일 밝혔다.

동원개발은 이 지역에 공급할 예정인 1천618가구 가운데 701가구를 이번에 분양한다. 96㎡ 229가구, 104㎡ 468가구, 159㎡ 4가구 등으로 구성된다.

비스타동원 1차는 일광신도시 맨 앞쪽인 B2 블록으로, 14번 국도와 동해선 복선전철 일광역에서 가깝다.

비스타동원 1차 조감도[동원개발 제공=연합뉴스]


바다 조망권을 강조해 모든 가구를 남향 배치하고 쾌적성을 고려해 판상형 평면에 5베이를 적용했다고 동원 측은 설명했다.

키즈 카페와 공부방, 골프연습장 등 다양한 주민공동시설도 들어선다.

일광신도시는 총 124만㎡의 땅에 2만여명이 거주하는 복합 주거단지로 개발되고 있다.

부산∼포항 고속도로와 동해남부선 전철, 국도 14호선과 인접해 부산 시내는 물론 울산, 포항까지 생활권에 포함된다.

한창 개발 중인 오시리아관광단지와 가까워 실수요자와 투자자의 관심이 높은 곳이다.

올해 5월 분양한 일광자이푸르지오는 민간참여 공공주택에 따른 청약 자격 제한에도 평균 14.56대 1의 높은 경쟁률을 기록하기도 했다.

부동산 업계 관계자는 ""일광신도시는 정부의 각종 규제를 받는 곳이지만 좋은 입지조건과 주변 개발 등으로 여전히 많은 관심을 받고 있다""고 말했다.

pcs@yna.co.kr

기자가 기다려요. 기사 문의 및 제보는 여기로(클릭!)

최신 유행 트렌드 총집결(클릭!)"
동원개발,한국경제TV,2017.10.11. 오후 2:59,"동원개발, 일광신도시 비스타동원 1차 10월 20일 오픈예정","[한국경제TV 고정호 기자]


8.2 부동산대책 이후 1급 브랜드의 분양으로 큰 관심을 모은 '명지국제신도시 더샵 퍼스트월드' 청약이 역대 전국 최다 수준인 23만명 가까이 몰리며 1순위 청약 마감됐다.

22일 금융결제원에 따르면 포스코 건설이 21일 분양한 '명지국제신도시 더샵 퍼스트월드' 의 경우 총 2,936세대(특별공급 1,288세대) 모집에 22만 9734명이 1순위 청약을 신청해 평균 경쟁률이 무려 139.4 대 1을 기록한 것으로 나타났다. 2000년 이후 단일 아파트 중에서는 최대 청약자가 몰린 것으로 파악된다.

이러한 명지국제신도시의 청약 열풍은 해운대구를 비롯해 연제, 동래, 수영 등 부산의 주요 지역이 청약조정지역으로 묶이며 조정지역을 피해간 명지국제신도시로 수요가 몰리는 풍선효과와 부산지역의 실수요자들이 청약경쟁에 뛰어든 영향이 큰 것으로 보인다.

추석연휴가 끝난 후 10월경에는 부산 일광에서 '일광신도시 비스타동원 1차' 분양이 예정되어 있다. 이미 일광신도시 개발예정지에는 GS건설과 대우건설, 대림산업 등 대형 건설사들이 민간참여 공공분양에 나섰으며, 10월에는 동원개발의 분양이 예정되어 있다.

일광신도시는 해운대신시가지, 정관신도시와 더불어 동부산권을 대표하는 신흥 주거타운이 될 것으로 기대된다.

일광신도시가 형성될 일광지구는 일광해수욕장이 가깝고, 동해남부선 일광역을 통해 해운대 생활권이 보장되며, 오시리아관광단지(옛 동부산관광단지)가 2019년까지 완공될 예정이기 때문에 생활인프라가 앞으로 더욱 풍부해질 전망이다.

한편, 일광지구에서 도로와 가장 인접한 B2 블록에 위치한 '일광신도시 비스타동원 1차'는 일광신도시에서는 쉽게 찾아볼 수 없는 중대형 고급 아파트를 공급해 부산 지역 실수요자와 투자자의 수요를 높이는 전략을 세우고 있다.

고정호기자 jhkoh@wowtv.co.kr



ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
동원개발,파이낸셜뉴스,2017.10.17. 오전 9:14,"[fnRASSI]동원개발(013120), 52주 신고가 경신...0.88% ↑","동원개발(013120)은 52주신고가를 기록하고 있어 주목할만하다. 동종목의 현재 주가는 5,700원 선에서 이루어지고 있다. 거래일을 기준으로 최근 3일간 평균 거래량은 30만 주이다. 이는 60일 일 평균 거래량 26만 주와 비교해보면 최근 거래량이 약간 증가했지만 크게 벗어나지는 않았다.

상장주식수 대비 거래량은 0.41%로 적정수준
최근 한달간 동원개발의 상장주식수 대비 거래량을 비교해보니 일별 매매회전율이 0.41%로 집계됐다. 그리고 동기간 장중 저점과 고점의 차이인 일평균 주가변동률을 2.65%를 나타내고 있다.

기관과 개인은 순매도, 외국인은 순매수(한달누적)
기관이 4일연속 주식을 팔고 있는 반면 외국인은 39일연속 주식을 사고 있다. 4주간을 기준으로 보면 외국인이 초반에 동종목을 순매수한 이후에 기세를 이어가며 1,425,080주를 순매수한 반면, 기관은 매도 관점으로 접근하면서 1,141,785주를 순매도했고, 개인들도 매도쪽으로 방향을 잡으면서 283,295주를 순매도한 것으로 집계됐다.

'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
동원개발,매일경제,2017.10.20. 오전 8:52,"동원개발, 중소형 역세권 아파트 ‘시흥시청역 동원로얄듀크’ 분양","시흥시청역 동원로얄듀크 조감도 [사진제공: 동원개발]
분양시장에서 역세권 중소형 아파트는 스테디셀러로 꼽힌다. 경제적 부담이 적은 데다 역 주변에 위치해 생활이 편리하고 미래가치까지 높기 때문이다.

20일 금융결제원 아파트 투유에 따르면 올해 1~3분기에 분양한 전국 아파트 중 청약경쟁률 상위 100개 주택형을 분석한 결과 81개가 중소형(전용 85㎡ 이하)인 것으로 조사됐다. 특히 청약경쟁률이 높은 단지 중에는 역세권 입지를 갖춘 곳이 많았다.

면적별 기준 청약 경쟁률 1위는 ‘부산 구서역 두산위브포세이돈’로 전용 84㎡가 942대 1의 청약 경쟁률을 기록했다. 이 단지 인근에는 부산지하철 1호선 구서역이 있다. 3위를 차지한 대구지하철 2호선 범어역 인근 ‘대구 범어네거리 서한이다음’ 전용 84㎡도 618대 1의 높은 청약 경쟁률을 보였다.

동원개발은 이달 중 경기도 시흥시 장현지구 B-7블록에서 '시흥시청역 동원로얄듀크’를 분양한다고 밝혔다.

이 단지는 지하 2층~지상 23층, 5개동 전용 73·84㎡ 447가구 규모다. 역세권 입지에 중소주택형으로 구성한 만큼 실수요의 관심이 예상된다.

장현지구는 소사-원시선(2018년 개통 예정), 신안산선(예정), 월곶판교선(예정)이 들어서는 시흥시청역(예정)이 계획돼 있다. 또한 연성IC를 통해 제3경인고속도로로 진입이 쉽다. 영동고속도로, 서울외곽순환고속도로, 평택-시흥고속도로 등도 가깝다.

대형마트(예정) 등 다양한 편의시설이 들어서는 두개의 상업지구(예정)와 시흥시청 등 행정타운이 인근에 있어 이곳에 들어서는 각종 생활편의시설을 이용할 수 있다. 교육시설로는 승지초, 능곡고, 능곡도서관 등이 있다.

모델하우스는 경기도 시흥시 장현동 장현초 맞은편에 마련되며, 이달 중 문을 열고 분양에 나설 예정이다. 입주는 2020년 4월 예정이다.

[MK 부동산센터]



▶직장인 당구왕은 바로 당신! 지금 신청하세요
▶뉴스 이상의 무궁무진한 프리미엄 읽을거리"
동원개발,MBN,2017.10.20. 오후 2:06,"동원개발, 일광신도시 비스타동원 1차 견본주택 오픈…본격 분양 돌입","일광신도시 맨 앞자리, 동해바다 조망, 교통 편의성과 상업시설 접근성 갖춰


동원개발은 20일 ‘일광신도시 비스타동원 1차’ 견본주택을 오픈하고 본격적인 분양 일정에 돌입했다. 부산 해운대구 센텀시티에 위치한 견본주택에는 견본주택이 문을 열기 전인 오전 이른 시간부터, 견본주택을 보기 위한 고객들의 방문이 이어졌다.

‘일광신도시 비스타동원 1차’는 일광신도시를 통과하는 국도 14호선과 맞닿은 곳에 위치하여 교통 편의성과 상업시설 접근성을 갖췄다.

이번 분양은 총 1618세대 가운데 1차 701세대를 분양하며, ▲96㎡ 229세대, ▲104㎡ 468세대, ▲159㎡ 4세대로 구성된다.

‘일광신도시 비스타동원 1차’는 일광지구의 맨 앞자리에 위치하여 일광지구 내에서 가장 좋은 입지를 자랑한다. 일광지구 내에서 동해남부선 일광역이 가장 가까이에 위치하고 있어 해운대나 서면 등 부산 시내를 편하게 오고 갈 수 있으며, 천혜의 바다 조망이 일품인 일광지구의 조망권도 확보하고 있다.

또한, 일광지구 내 중심상업시설 부지가 단지 바로 앞에 조성되어 있어 병원, 마트, 학원 등 생활 특권도 편리하게 누릴 수 있다.

일광신도시는 부산 기장군 일광면 일원에서 개발되는 부산 동부산권의 대규모 택지지구로 2019년께 124만m² 부지 조성 공사가 마무리될 것으로 보인다. 부지 조성 공사가 마무리되면 약 10,000여 세대, 2만여명 이상이 거주하는 대형 신흥주거지로 탄생하게 된다.

한편, ‘일광신도시 비스타동원 1차’의 견본주택은 부산광역시 해운대구 우동 신세계백화점 센텀시티점 옆에 위치하고 있다.



< Copyright ⓒ MBN(www.mbn.co.kr) 무단전재 및 재배포 금지 >"
동원개발,이데일리,2017.10.23. 오전 9:17,"동원개발, 27일 '시흥시청역 동원로얄듀크' 모델하우스 오픈","- 소사~원시선 등 트리플 역세권 수혜 기대
- 커뮤니티 시설과 수요자 맞춤형 특화설계

‘시흥시청역 동원로얄듀크’ 조감도. 동원개발 제공.
[이데일리 성문재 기자] 동원개발이 오는 27일 시흥시 장현지구서 ‘시흥시청역 동원로얄듀크’ 모델하우스를 열고 본격적인 분양에 나선다.

시흥 장현지구 B-7블록에 들어서는 ‘시흥시청역 동원로얄듀크’는 지하 2층~지상 23층, 5개동, 전용면적 73~84㎡, 총 447가구로 구성된다. 전용면적별로 △73㎡A 114가구 △84㎡A 332가구 △84㎡B 1가구다. 실수요자들의 선호가 높은 중소형인데다 남향 위주로 배치돼 채광과 통풍이 뛰어나다고 회사 측은 설명했다.

향후 가장 기대되는 점은 교통여건이다. 이 단지는 장현지구 내에서도 트리플 역세권인 시흥시청역(예정)을 도보로 이용할 수 있는 입지에 자리하고 있다. 시흥시청역은 내년 상반기 개통 예정인 소사~원시선을 비롯해 신안산선과 월곶판교선이 지나게 되는 역이다. 제3경인고속도로와 영동고속도로, 서울외곽순환고속도로, 평택~시흥고속도로 등도 인근에 위치해 수도권 각지로 이동이 용이하다.

대형마트(예정) 등 편의시설이 들어서는 2개의 상업지구(예정)가 도보거리에 있고, 시흥시청 등 행정타운도 인근에 위치해 있다. 능곡지구의 생활인프라까지 누릴 수 있다. 승지초, 능곡고, 능곡도서관이 가까워 교육환경도 양호하다.

동원개발은 단지 내 조경공간을 벚나무, 이팝나무, 매화나무 등을 활용해 다양한 테마로 꾸미고, 단지 중앙에는 잔디광장을 배치해 도심 속 여유를 즐길 수 있는 아파트로 만들 예정이다.

모든 가구에 일반 아파트 천정고인 2.3m보다 높은 2.35m의 천정고를 적용했으며, 거실은 10cm 더 높인 우물천정(2.45m)을 설계해 더욱 넒은 공간감과 개방감을 누릴 수 있도록 했다. 식료품 및 다양한 물품 등을 수납할 수 있는 주방 팬트리도 제공하고, 84㎡형에는 유모차나 레저용품 등 부피가 큰 물품 등을 보관할 수 있는 현관 창고와 다양한 용도로 활용 가능한 알파공간을 조성한다.

휘트니스센터, GX실, 골프연습장, 작은도서관, 육아용품나눔터 등 다양한 단지 내 커뮤니티 시설을 설치하고 무인카메라, 지하주차장 비상벨 시스템, 가스배관 침입방지 시스템 등 첨단 보안 시스템도 적용한다.

동원개발 분양 관계자는 “뛰어난 입지와 더불어 활용도가 높은 특화설계를 통해 수요자들의 마음을 사로잡을 계획”이라며 “희소성 높은 택지지구 프리미엄까지 누릴 수 있는 아파트인 만큼 많은 관심이 집중될 것으로 기대된다”고 말했다.

‘시흥시청역 동원로얄듀크’는 오는 11월 1일 특별공급을 시작으로 2일 1순위, 3일 2순위 청약을 실시할 예정이다. 당첨자 발표는 9일, 정당계약은 14일부터 16일까지 3일간 진행된다. 모델하우스는 경기도 시흥시 장현동 72번지 일원(장현초 맞은편)에 마련돼 있다. 입주는 2020년 4월 예정이다.

성문재 (mjseong@edaily.co.kr)

▶흥미진진한 이데일리 영상 채널
▶[페이스북] 보러가기~♥ | [카카오톡] 플친 맺기~♥


＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
동원개발,파이낸셜뉴스,2017.10.23. 오전 9:23,"[fnRASSI]동원개발(013120), 52주 신고가...1.22% ↑","동원개발(013120)은 52주신고가를 기록하고 있어 주목할만하다. 동종목의 현재 주가는 5,820원 선에서 이루어지고 있다. 거래일을 기준으로 최근 3일간 평균 거래량은 27만 주이다. 이는 60일 일 평균 거래량 26만 주와 비교해보면 최근 거래량이 약간 증가했지만 크게 벗어나지는 않았다.

퀀트 재무분석, 종합점수 113점으로 상승
지표
항목
값
종합점수
성장성
매출액증가율
0.04
8.33
자기자본증가율
0.21
안정성
부채비율
36.7
10
유동비율
393.92
이익안정성
10
수익성
ROA
14.05
9.63
ROE
19.21
영업이익율
26.49


동원개발의 퀀트 재무 점수는 27.96점으로 3개월 이전 27.15점보다 올랐다. 지난 분기에 비해 성장성 점수가 상승했다. 이는 매출액 증가율과 자기자본 증가율이 증가하였기 때문이다. 수익성 측면에서 볼때 ROA, ROE, 영업이익률 모두 개선되어 이전보다 좋은 점수를 받았다.



상장주식수 대비 거래량은 0.35%로 적정수준
최근 한달간 동원개발의 상장주식수 대비 거래량을 비교해보니 일별 매매회전율이 0.35%로 집계됐다. 그리고 동기간 장중 저점과 고점의 차이인 일평균 주가변동률을 2.74%를 나타내고 있다.

'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
동원개발,매일경제,2017.10.23. 오전 10:13,"동원개발, `시흥시청역 동원로얄듀크` 27일 분양","시흥시청역 동원로얄듀크 조감도 [사진제공: 동원개발]
동원개발이 오는 27일 경기도 시흥시 장현동 일원에서 '시흥시청역 동원로얄듀크' 모델하우스를 열고 분양에 나선다고 23일 밝혔다.

시흥시 장현지구 B-7블록에 들어서는 이 단지는 지하 2층~지상 23층, 5개동 447세대(전용 ▲73㎡A 114세대 ▲84㎡A 332세대 ▲84㎡B 1세대) 규모다. 소사-원시선과 신안산선, 월곶판교선을 이용할 수 있는 시흥시청역(예정)을 걸어서 이용할 수 있어 서울에 직장인 둔 수요층의 관심이 예상된다.

다양한 편의시설이 들어서는 상업지구 두곳이 인근에서 조성될 예정이며, 인근에 승지초·능곡고·능곡도서관 등 교육시설이 있다. 단지 안에는 벚나무, 이팝나무, 매화나무 등을 활용한 다양한 조경공간이 마련된다. 단지 중앙의 잔디광장을 비롯해 단지 곳곳에 입주민들이 쉴 수 있는 휴식공간을 조성할 예정이다.

특화설계도 눈길을 끈다. 전 세대에 일반적인 아파트 천정고(2.3m)보다 높은 2.35m의 천정고를 적용하고, 거실은 10cm 더 높인 우물천정(2.45m)으로 설계해 개방감을 확보하도록 했다. 또한 다양한 물품을 수납을 할 수 있는 주방 팬트리를 전 세대에 제공하고 전용 84㎡는 유모차나 레저용품 등 부피가 큰 물품 등을 보관할 수 있는 현관 창고와 다용도 알파공간을 특화해 선보일 예정이다.

향후 일정은 오는 11월 1일 특별공급을 시작으로 2일 1순위, 3일 2순위 청약접수를 받는다. 당첨자 발표는 9일, 계약은 14~16일 사흘간 실시할 예정이다. 입주는 2020년 4월 예정이다.

[디지털뉴스국 조성신 기자]



▶직장인 당구왕은 바로 당신! 지금 신청하세요
▶뉴스 이상의 무궁무진한 프리미엄 읽을거리"
동원개발,머니S,2017.10.23. 오후 2:02,"동원개발, ‘시흥시청역 동원로얄듀크’ 이달 분양","본문 이미지 영역
‘시흥시청역 동원로얄듀크’조감도. /사진=동원개발
동원개발이 오는 27일 시흥시 장현지구에 짓는 ‘시흥시청역 동원로얄듀크’ 견본주택을 열고 분양에 나선다.

시흥 장현지구 B-7블록에 들어서는 ‘시흥시청역 동원로얄듀크’는 지하 2층~지상 23층, 5개 동 전용면적 73·84㎡ 총 447가구 규모다. 타입별로는 ▲73㎡A 114가구 ▲84㎡A 332가구 ▲84㎡B 1가구다.

전 가구가 실수요자들의 선호가 높은 중소형으로 구성되며 단지가 남향 위주로 배치돼 채광과 통풍이 뛰어나다.

‘시흥시청역 동원로얄듀크’의 가장 큰 강점은 우수한 교통여건이다. 이 단지는 장현지구 내에서도 트리플 역세권인 시흥시청역(예정)을 도보로 이용할 수 있는 맨 앞자리에 위치한다. 시흥시청역(예정)은 내년 상반기 개통 예정인 소사-원시선을 비롯해 신안산선과 월곶판교선이 예정돼 있어 사통팔달의 교통망을 갖출 전망이다.

이밖에 제3경인고속도로로, 영동고속도로, 서울외곽순환고속도로, 평택-시흥고속도로 등도 인근에 위치해 서울 도심을 비롯한 수도권 각지로도 편리하게 이동할 수 있다.

김창성 기자
<저작권자 ⓒ '성공을 꿈꾸는 사람들의 경제 뉴스' 머니S, 무단전재 및 재배포 금지>"
