종목명,신문사,시간,제목,본문
케이씨티,파이낸셜뉴스,2017.11.20. 오전 10:59,"[fnRASSI]케이씨티, 2.06% 오르며 거래량 증가","케이씨티(089150)는 당일 거래량 증가로 최근 5거래일 거래량의 최고치를 경신했다. 그리고 케이씨티는 3일 연속 상승흐름을 보이며, 10시 54분 현재 2.06% 증가한 2,730원에 거래중이다.

퀀트 재무분석, 종합점수 47점으로 상승

























































지표


항목


값


종합점수


성장성


매출액증가율


-0.17


3.2


자기자본증가율


0


안정성


부채비율


61.67


9.17


유동비율


217.37


이익안정성


8.33


수익성


ROA


5.22


7.73


ROE


8.44


영업이익율


13.2


케이씨티의 퀀트 재무 점수는 20.1점으로 3개월 이전 20.01점보다 올랐다. 지난 분기에 비해 성장성 점수가 하락했다. 이는 매출액 증가율과 자기자본 증가율이 감소하였기 때문이다. 안정성 종합 점수는 부채비율 감소, 유동비율 증가, 그리고 실적 안정성 증가로 인해 상승했다. 수익성 측면에서 볼때 ROA, ROE, 영업이익률 모두 개선되어 이전보다 좋은 점수를 받았다.



상장주식수 대비 거래량은 0.39%로 적정수준

최근 한달간 케이씨티의 상장주식수 대비 거래량을 비교해보니 일별 매매회전율이 0.39%로 집계됐다. 그리고 동기간 장중 저점과 고점의 차이인 일평균 주가변동률을 2.44%를 나타내고 있다.

'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ
파이낸셜뉴스. 무단 전재-재배포 금지"
케이씨티,서울경제,2017.12.28. 오후 2:56,"(코)케이씨티, 현재가 5.04% 급등","[서울경제] 오후 2시 54분 현재 케이씨티(089150)의 현재가는 2,920원으로 1분전 2,780원 대비 5.04% 급등했다. 수급측면으로는 38(매도):62(매수)의 매수우위를 기록하고 있다.


지난 1개월간 케이씨티는 11.45% 상승했으며, 표준편차는 1.94%를 기록했다. 이 기간 '컴퓨터서비스업' 업종 평균 주가수익률은 0.25% 로 나타났으며, 변동성은 1.40%를 기록했다. 이 시각 현재 '컴퓨터서비스업'은 2.15% 상승 중이다.

[이 기사는 증시분석 전문기자 서경뉴스봇(newsbot@sedaily.com)이 실시간으로 작성했습니다.]

/서경뉴스봇 newsbot@sedaily.com

[서울경제 바로가기]
이제 주식시세도 서울경제에서 확인하세요 [바로가기▶]
서울경제의 모든 연재물!... 서경Cube [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
케이씨티,한국경제TV,2018.01.17. 오전 9:52,"케이씨티, 전일 대비 약 4% 상승한 2,965원","[한국경제TV 라이온봇 기자]

케이씨티는 1월 17일 9시 52분 전일 대비 약 4% 상승한 2,965원에 거래되고 있다. 케이씨티는 코스닥 상장 기업으로 컴퓨터서비스 업종에 속해 있다. 시가총액은 484억원으로 코스닥 상장기업 중 984위에 위치 해 있다.

[종목 성향 진단]


[그림 1] 종목 성향 진단


케이씨티의 투자 스타일은 가치주에 가깝다. 기업 가치 대비 낮은 주가가 매력적인 기업이다.
주가 모멘텀은 평범한 수준이었다. 최근 1개월 수익률이 7.41%, 3개월 수익률은 7.41%, 6개월 수익률은 9.92%를 기록했다.
케이씨티종목에 대한 투자자의 관심도는 상대적으로 낮은 편이었다.

[투자 점수 진단]


[그림 2] 투자 점수 진단


케이씨티는 수익성(영업이익률) 측면에서 두각을 나타내고 있다. 최근 영업이익률은 87점으로 6개의 핵심 팩터 중 가장 높은 점수를 기록했다. 영업이익률은 전체 시장 내 248위를 기록하며 상위 12.66%에 위치했다. 업종별로는 97위를 기록하며 상위 16.49%에 위치했다.
그리고 효율성(ROA) 역시 도드라지는 편이다. 효율성 점수는 77점으로 두번째로 높은 점수를 기록했다. ROA은 전체 시장 내 445위를 기록하며 상위 23.11%에 위치했다. 업종별로는 178위를 기록하며 상위 31.22%에 위치했다.

[종합 투자점수]


[그림 3] 종합 투자점수


AI 인공지능 분석을 통한 케이씨티의 종목 종합 스코어는 76점을 기록했다.
이는 동일 업종 평균점수인 57점과 시장 평균점수인 57점를 상회하는 수치였다.

(위의 AI인공지능 점수는 재무 데이터를 기반으로 전체 상장 종목과 비교/분석하여 도출한 점수로 높은 점수가 반드시 높은 수익률을 보장하지 않습니다.)

라이온봇 기자 -한국경제TV

라이온봇기자



ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
케이씨티,파이낸셜뉴스,2018.01.17. 오전 10:12,"[fnRASSI]케이씨티, 2.46% 오르며 거래량 증가","케이씨티(089150)의 당일 거래량이 최근 5거래일 거래량의 최고치를 경신했다. 그리고 케이씨티는 3일 연속 상승흐름을 보이며, 10시 7분 현재 2.46% 증가한 2,920원에 거래중이다.

외국인 보유량 감소, 기관 증가 (5일 누적)
최근 5일간 동종목의 외국인 투자자는 48,842주 순매도하였고 반면 기관은 1주 순매수하였다. 전날 외국인 2,859주 순매도, 기관1주 순매수하며 보유 비율이 변동했다.

다음 표는 동종목의 외국인, 기관의 일별 순매수량을 나타낸 것이다.



개인,외국인만 거래 참여
최근 한달간 주체별 거래비중을 살펴보면 개인이 95.19%, 외국인이 4.8%를 보였고, 기관은 거래참여가 없었다. 그리고 최근 5일간 거래비중은 개인 비중이 92.19%로 가장 높았고, 외국인이 7.8%로 그 뒤를 이었다. 기관은 거래에 참여하지 않은 것으로 보인다.

'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
케이씨티,서울경제,2018.01.17. 오후 4:46,"(코)케이씨티, 전일 대비 8.25% 상승.. 일일회전율은 5.38% 기록","[서울경제] 케이씨티(089150)는 17일 오후 1시 7분 현재 8.25% 오른 3,085원에 거래되고 있으며, 38(매도):62(매수)의 매수우위를 기록하고 있다. 거래대금은 27억3,777만, 거래량은 92만2,577주로 거래량회전율은 5.38%로 나타났다.


지난 1개월간 케이씨티는 상승 13회, 하락 14회를 기록했고, 주가수익률은 16.86% 표준편차는 2.18%를 기록했다. 이 기간 '컴퓨터서비스업' 업종 평균 주가수익률은 15.26%로 나타났으며, 변동성은 1.62%를 기록했다.

이 시각 현재 '컴퓨터서비스업'은 5.39% 상승 중이며, 44(매도):56(매수)의 매수우위를 기록하고 있다.

[이 기사는 증시분석 전문기자 서경뉴스봇(newsbot@sedaily.com)이 실시간으로 작성했습니다.]

/서경뉴스봇 newsbot@sedaily.com

[서울경제 바로가기]
이제 주식시세도 서울경제에서 확인하세요 [바로가기▶]
블록체인의 모든 것, 서울경제 Decenter [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
케이씨티,헤럴드경제,2018.02.12. 오전 10:51,"[생생코스닥]케이씨티, 지난해 영업익 27.7억…전년비 22.7%↑","[헤럴드경제=증권팀] 케이씨티는 지난해 개별기준 영업이익이 27억6965만원으로 전년대비 22.7%증가했다고12일 공시했다.

같은 기간 매출액은 279억1545만원으로 6.7% 늘어난 것으로 나타났다.

당기순이익은 20억3347만원으로 31.1% 증가한 것으로 집계됐다.

park@heraldcorp.com

▶윤식당 그릇, 오덴세 아틀리에 한정 파격특가

▶헤럴드경제 채널 구독하기 ▶카카오플러스 친구맺기



- Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
케이씨티,머니투데이,2018.02.12. 오전 11:00,"케이씨티, 지난해 영업익 27.7억원…전년比 22.7%↑","[머니투데이 김성은 기자] 케이씨티는 지난해 개별 기준 영업이익이 전년 동기대비 22.7% 늘어난 약 27억7000만원이라고 12일 공시했다. 같은 기간 매출액은 6.7% 늘어난 279억1500만원, 당기순이익은 31.1% 늘어난 20억3300만원이다.

회사 측은 ""판매 증대로 인한 매출액 증가와 수익구조 개선으로 이익이 증가했다""고 설명했다.

▶빵~ 뜨는 따끈한 기사
▶무료 만화 보고 선물도 받고~ ▶치어리더 vs 레이싱걸

김성은 기자 gttsw@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
케이씨티,뉴시스,2018.02.12. 오전 11:06,"케이씨티, 작년 영업익 28억…전년比 22.7%↑","【서울=뉴시스】장서우 기자 = 코스닥 상장 컴퓨터시스템 통합 자문 및 구축 서비스업체 케이씨티(0891500)는 지난해 개별 재무제표 기준 영업이익이 전년 대비 22.7% 증가한 27억6966만원으로 잠정 집계됐다고 12일 공시했다.

같은 기간 매출액은 전년 대비 6.7% 오른 279만1546만원이다. 당기순이익은 31.1% 상승한 20억3347만원이다.

회사 측은 ""판매 증대로 인한 매출액 증가와 수익 구조 개선으로 이익이 증가했다""고 설명했다.

suwu@newsis.com

▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기
▶ 뉴시스 SNS [페이스북] [트위터]

<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
케이씨티,아시아경제,2018.02.12. 오전 11:40,"케이씨티, 지난해 영업익 27.7억…전년비 22.7%↑","[아시아경제 조강욱 기자] 케이씨티는 지난해 개별 기준 영업이익이 약 27억7000만원으로 전년 동기대비 22.7% 늘었다고 12일 공시했다.

같은 기간 매출액은 6.7% 늘어난 279억1500만원, 당기순이익은 31.1% 늘어난 20억3300만원으로 집계됐다.

회사 측은 ""판매 증대로 인한 매출액 증가와 수익구조 개선으로 이익이 증가했다""고 설명했다.

조강욱 기자 jomarok@asiae.co.kr

▶ 채널 설정하고 골프장 무료권, 상품권 받자!
▶ 양낙규의 '군사이야기' ▶ #아시아경제 페이스북

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
케이씨티,머니투데이,2018.03.02. 오후 4:36,"케이씨티, 주당 100원 현금배당 결정","[머니투데이 이민하 기자] 케이씨티는 보통주 1주당 100원의 현금배당을 결정했다고 2일 공시했다. 배당금총액은 17억1500만원이며 시가배당률은 3.7%다.

▶빵~ 뜨는 따끈한 기사
▶무료 만화 보고 선물도 받고~ ▶치어리더 vs 레이싱걸

이민하 기자 minhari@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
