종목명,신문사,시간,제목,본문
옴니시스템,파이낸셜뉴스,2017.10.10. 오전 11:25,"[fnRASSI]옴니시스템, 4.05% 오르며 거래량 증가","옴니시스템(057540)의 현재 거래량이 최근 5거래일 거래량의 최고치를 경신하며 투자자들의 관심을 받고 있다. 그리고 옴니시스템은 5일 연속 상승흐름을 보이며, 11시 14분 현재 4.05% 증가한 2,310원에 거래중이다.

개인,외국인 투자자만 매매에 참여
최근 한달간 주체별 거래비중을 살펴보면 개인 비중이 92.12%로 가장 높았고, 외국인이 7.87%로 그 뒤를 이었다. 기관은 거래에 참여하지 않은 것으로 보인다. 그리고 최근 5일간 거래비중은 개인이 89.31%, 외국인이 10.68%를 보였고, 기관은 거래참여가 없었다.


지표
항목
값
종합점수
성장성
매출액증가율
-0.19
3.92
자기자본증가율
0.03
안정성
부채비율
56.46
8.36
유동비율
134.19
이익안정성
10
수익성
ROA
3.68
5.39
ROE
5.76
영업이익율
3.93


옴니시스템의 퀀트 재무 점수는 17.67점으로 지난 분기에 비해 성장성 점수가 하락했다. 이는 매출액 증가율과 자기자본 증가율이 감소하였기 때문이다. 안정성 종합 점수는 부채비율 증가, 유동비율 감소로 하락했다. 수익성 측면에서 볼때 ROA, ROE, 영업이익률 모두 개선되어 이전보다 좋은 점수를 받았다.



'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
옴니시스템,파이낸셜뉴스,2017.10.19. 오전 10:31,"[특징주]옴니시스템, 이라크 56조 규모 한국형 스마트시티 도입 희망에 '강세'","옴니시스템이 상승세다. 이라크가 전후 복구에 한국형 스마트시티 도입을 희망하고 있다는 소식이 전해져서로 풀이된다. 옴니시스템은 스마트그리드 관련주로 분류되고 있다.

19일 오전 10시23분 현재 옴니시스템은 전 거래일 대비 4.32%(95원) 상승한 2295원에 거래되고 있다.

전날 보도에 따르면 메디 칼라프 이라크 안바주 투자청장은 ""인천 송도 같은 수준 높은 교육ㆍ보건서비스를 제공하는 ‘스마트 시티’가 전후 복구 중인 이라크에 꼭 필요하다고 생각했다""고 밝혔다.

그는 서울 강남구 그랜드 인터컨티넨탈 파르나스호텔에서 부동산 개발회사 트랙(TRAC)과 500억 달러(약 56조5000억원) 규모의 ‘하바니아 개발사업’ 계약에 서명했다.

2010년 설립된 트랙은 한국-뉴욕주정부 경제협의회 의장을 지낸 재미교포 문정민 회장이 이끌고 있다. 미국 뉴욕에 본사가 있지만 이번 계약은 한국 지사가 주도해 최종 계약식도 국내에서 열렸다.

하바니아 개발사업은 이라크 수도인 바그다드에서 50㎞ 떨어진 안바주 하바니아의 40㎢(여의도 면적의 14배) 땅에 주택 10만호와 호텔, 병원, 정부청사 등이 들어설 스마트 시티와 국제산업단지를 조성하는 사업이다.

옴니시스템은 지난 2013년 중국 정부의 스마트그리드 신도시 건설 프로젝트에 참여하는 아이소프트스톤(ISS)그룹과 양해각서를 맺고 중국 스마트시티 사업에 진출한 바 있다.

kjw@fnnews.com 강재웅 기자

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
옴니시스템,파이낸셜뉴스,2017.11.14. 오전 9:33,"[fnRASSI]옴니시스템, 3.82% 오르며 거래량 증가","옴니시스템(057540)의 현재 거래량이 최근 5거래일 거래량의 최고치를 넘어섰다. 그리고 옴니시스템은 4일 연속 상승흐름을 보이며, 9시 31분 현재 3.82% 증가한 2,585원에 거래중이다.

외국인 보유량 증가, 기관 변화 없음 (5일 누적)
최근 5일간 동종목의 외국인 투자자는 64,228주 순매수하였고 마찬가지로 기관은 0주 순매수하였다. 전날 외국인은 26,756주 순매수했지만 기관은 순매수량이 0으로 보유비율 그대로 유지했다.

다음 표는 동종목의 외국인, 기관의 일별 순매수량을 나타낸 것이다.



외국인은 순매수, 개인은 순매도(한달누적)
11월8일부터 전일까지 외국인이 4거래일 연속 순매수를 보였다. 4주간을 기준으로 보면 외국인이 초반에 동종목을 순매수한 이후에 기세를 이어가며 134,502주를 순매수했지만, 개인은 매도쪽으로 방향을 잡으면서 134,502주를 순매도했다. 기관의 순매수량에는 변함이 없다.

'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
옴니시스템,전자신문,2017.12.07. 오후 5:53,"[ET투자뉴스][비즈니스온 지분 변동] 옴니시스템(주) 외 4명 41.9%p 증가, 41.9% 보유","비즈니스온(138580)은 07일 최대주주 옴니시스템(주)를 비롯한 특별관계자의 보유주식이 증가되었다고 발표했다. 이는 직전 보고일보다 3,999,340주 증가하여 지분율은 41.9%로 상승했다. 이번 보고 사유는 코스닥신규상장으로 알려졌다.




최대주주와 특수관계자의 지분 변동은 주가에 영향을 주는 요인이다. 특히 보유비율을 지속적으로 늘리거나 줄일 경우, 해당종목 투자시 유의할 필요가 있다.
다음은 비즈니스온의 지분 변동 내역과 보유 내역이다.







증시분석 전문기자 로봇 ET etbot@etnews.com
전자신문과 씽크풀의 증시분석 전문기자 로봇 ET가 쓴 기사입니다

▶ 전자신문 인기 포스트
▶ 전자신문 공식 페이스북
▶ 전자신문 바로가기
[Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
옴니시스템,파이낸셜뉴스,2018.01.11. 오전 10:20,"[특징주]옴니시스템, '문재인표' 스마트시티 4곳 이상 조성 소식에 '강세'","옴니시스템이 강세다. 문재인 대통령의 '4차 산업혁명' 구상을 담은 스마트시티 로드맵이 빠르면 2월께 발표될 것으로 기대되기 때문이다. 옴니시스템은 스마트 시티 관련주로 분류되고 있다.

11일 오전 10시 18분 현재 옴니시스템은 전거래일 대비 4.25% 상승한 2455원에 거래되고 있다.

정부는 4차 산업혁명위원회 산하 기관인 스마트도시 특위와 국토부 실무진들이 신규 스마트시티 선정과 추진 일정을 논의 중인 것으로 알려졌다.

스마트시티는 교통·에너지·안전·복지 등 다양한 분야의 스마트솔루션이 한데 모인 미래형 도시로 개발되고 있다.

이와 관련 문재인 대통령은 10일 '국민 삶의 질 개선'을 주제로 한 신년 기자회견에서 ""스마트시티의 새로운 모델을 몇 군데 조성할 계획""이라며 ""국민들이 4차 산업혁명과 혁신성장의 성과를 직접 느낄 수 있기를 기대한다""고 말했다.

kjw@fnnews.com 강재웅 기자

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
옴니시스템,서울경제,2018.01.11. 오전 10:22,"(코)옴니시스템, 전일 대비 9.34% 상승.. 일일회전율은 2.39% 기록","[서울경제] 옴니시스템(057540)은 11일 오전 10시 21분 현재 9.34% 오른 2,575원에 거래되고 있으며, 24(매도):76(매수)의 매수우위를 기록하고 있다. 거래대금은 24억2,637만, 거래량은 97만707주로 거래량회전율은 2.39%로 나타났다.


지난 1개월간 옴니시스템은 상승 14회, 하락 16회를 기록했고, 주가수익률은 -7.71% 표준편차는 2.86%를 기록했다. 이 기간 '의료·정밀기기업' 업종 평균 주가수익률은 1.69%로 나타났으며, 변동성은 1.28%를 기록했다.

이 시각 현재 '의료·정밀기기업'은 1.46% 상승 중이며, 46(매도):54(매수)의 매수우위를 기록하고 있다.

[이 기사는 증시분석 전문기자 서경뉴스봇(newsbot@sedaily.com)이 실시간으로 작성했습니다.]

/서경뉴스봇 newsbot@sedaily.com

[서울경제 바로가기]
이제 주식시세도 서울경제에서 확인하세요 [바로가기▶]
블록체인의 모든 것, 서울경제 Decenter [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
옴니시스템,아시아경제,2018.01.24. 오후 1:24,"[특징주]옴니시스템, 한전 블록체인 도입검토…전자식 전력량계 공급부각 '강세'","[아시아경제 권성회 기자] 한국전력공사가 블록체인 기술을 적용한 사업들을 본격화하고 있다는 소식에 한전에 전자식 전력량계를 공급했던 옴니시스템 주가가 강세다.

24일 오후 1시17분 현재 옴니시스템은 전일 대비 2.33%(60원) 오른 2635원에 거래되고 있다. 최근 3거래일째 상승세다.

최근 한전은 '블록체인 기반 이웃간 전력거래(에너지 프로슈머) 및 전기차 충전 서비스'를 구축하고 시범사업에 돌입한 것으로 알려졌다. 전력분야에서 블록체인 기술을 도입한 것은 이번이 최초다.

옴니시스템은 전력 ·수도 ·가스 전자식 계량기를 제조하는 업체로 한국전력공사에 전자식 전력량계를 공급한 바 있다.

권성회 기자 street@asiae.co.kr

▶ 채널 설정하고 골프장 무료권, 상품권 받자!
▶ 양낙규의 '군사이야기' ▶ #아시아경제 페이스북

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
옴니시스템,이데일리,2018.02.23. 오후 5:09,"옴니시스템, 지난해 영업이익 34억원..전년비 36% 증가","[이데일리 성선화 기자] 옴니시스템(057540)은 지난해 영업이익이 전년 대비 36.3% 증가한 34억원이라고 23일 공시했다. 같은 기간 매출액은 전년 대비 73% 증가한 1206억원, 당기순익은 전년 대비 141% 증가한 65억원이다.

성선화 (jess@edaily.co.kr)

▶ 하나된 열정! PASSION! 평창 동계올림픽 특집
▶ 네이버 메인에서 ‘이데일리’ 구독하기
▶ '이데일리'의 카톡 친구가 되어주세요~♥


＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
옴니시스템,머니투데이,2018.02.23. 오후 5:22,"옴니시스템, 지난해 영업익 35억원…전년비 36.3%↑","[머니투데이 이원광 기자] 옴니시스템은 지난해 연결기준 영업이익이 35억원으로, 전년 대비 36.3% 증가했다고 23일 공시했다. 같은 기간 매출액과 당기순이익은 각각 1206억원과 65억원으로 전년보다 73%, 141% 늘었다.

회사 측은 ""에너지저장장치(ESS) 수주로 인해 매출이 증가했다""며 ""코스닥에 상장한 계열사 비즈니스온커뮤니케이션의 평가 이익이 반영됐다""고 설명했다.

▶빵~ 뜨는 따끈한 기사
▶무료 만화 보고 선물도 받고~ ▶치어리더 vs 레이싱걸

이원광 기자 demian@mt.co.kr

<저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
옴니시스템,뉴시스,2018.03.26. 오후 4:10,"옴니시스템, 문호 사외이사 재선임","【서울=뉴시스】장서우 기자 = 코스닥 상장 측정, 시험, 항해, 제어 및 기타 정밀기기 제조업체 옴니시스템(057540)은 문호 전 한국전력공사 부사장을 사외이사로 재선임했다고 26일 공시했다.

suwu@newsis.com

▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기
▶ 뉴시스 SNS [페이스북] [트위터]

<저작권자ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지.>"
