종목명,신문사,시간,제목,본문
JW신약,파이낸셜뉴스,2017.10.13. 오전 11:00,"[fnRASSI]JW신약, 2.73% 오르며 거래량 증가","JW신약(067290)은 당일 거래량 증가로 최근 5거래일 거래량의 최고치를 넘어섰다. 그리고 JW신약은 8일 연속 상승흐름을 보이며, 10시 57분 현재 2.73% 증가한 7,150원에 거래중이다.

외국인투자자 연속 7일 순매도
최근 5일간 동종목의 외국인 투자자는 33,673주 순매수하였고 반면 기관은 7,301주 순매도하였다. 전날 외국인 751주 순매수, 기관7,301주 순매도하며 보유 비율이 변동했다.

다음 표는 동종목의 외국인, 기관의 일별 순매수량을 나타낸 것이다.



외국인/개인 순매수, 기관은 순매도(한달누적)
기관이 6일연속 주식을 팔고 있는 반면 외국인은 7일연속 주식을 사고 있다. 4주간을 기준으로 보면 외국인이 초반에 동종목을 순매수한 이후에 기세를 이어가며 49,475주를 순매수했고, 개인들도 매기를 떨어뜨리면서도 425주를 순매수했다. 하지만 기관은 매도 우위를 보이면서 49,900주를 순매도했다.

'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
JW신약,파이낸셜뉴스,2017.10.30. 오전 9:24,[fnRASSI]JW신약(067290) 전일대비 10.94% 상승,"현재 JW신약(067290)은 전일대비 10.94% 상승하여 8,520원 선에서 거래가 이루어지고 있다.


지표
항목
값
종합점수
성장성
매출액증가율
-0.03
3.6
자기자본증가율
-0.08
안정성
부채비율
235.27
5.89
유동비율
142.07
이익안정성
8.06
수익성
ROA
-3.29
3.3
ROE
-11.03
영업이익율
4


JW신약의 퀀트 재무 점수는 12.79점으로 지난 분기에 비해 성장성 점수가 하락했다. 이는 매출액 증가율이 감소하였기 때문이다. 안정성 종합 점수는 부채비율 감소, 유동비율 증가로 상승했다. 수익성 측면에서 볼때 ROA, ROE, 영업이익률 모두 하락하여 이전보다 낮은 점수를 받았다.



기관투자자 연속 2일 순매도
최근 5일간 동종목의 외국인 투자자는 71,721주 순매수하였고 마찬가지로 기관은 21,050주 순매수하였다. 전날 두 주체 각각 29,699주, 21,050주 순매수하며 보유 비율을 늘렸다.

다음 표는 동종목의 외국인, 기관의 일별 순매수량을 나타낸 것이다.



'fnRASSI'는 증권전문 기업 씽크풀과 파이낸셜뉴스의 협업으로 로봇기자가 실시간으로 생산하는 기사입니다.

fnRASSI@fnnews.com fnRASSI

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
JW신약,한국경제TV,2017.10.31. 오전 9:47,[국고처 최승욱] 종목상담 - JW신약(067290),"[한국경제TV 류장현 PD]
[국고처 최승욱] 종목상담 - JW신약(067290)

10월 28일 방송된 `국민주식고충처리반`에 출연한 최승욱 파트너가 JW신약(067290)에 대한 시세와 전망을 이야기하고 있다.

▶대한민국 대표 증권방송 `국민주식고충처리반` 매주 토 오전 9시

스마트폰 앱 `주식창`에 시청자 의견 남겨주세요.

류장현 PD jhryu@wowtv.co.kr



ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
JW신약,이데일리,2017.11.06. 오후 1:45,"JW신약, 3분기 영업익 9.5억원…전년비 48.2% 감소","[이데일리 안혜신 기자] JW신약(067290)은 3분기 매출이 200억3700만원으로 전년비 2.1% 감소했다고 6일 공시했다. 같은 기간 영업이익은 9억5600만원으로 전년비 48.2% 줄었다.

안혜신 (ahnhye@edaily.co.kr)

▶이데일리 개편기념 이벤트 - 갤럭시 노트8 쏩니다
▶[카카오톡] 플친 맺으면 스타벅스 쿠폰 팡팡~♥



＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
JW신약,헤럴드경제,2017.11.06. 오후 1:46,"[생생코스닥]JW신약, 3분기 영업익 9.5억 전년비 48.2%↓","[헤럴드경제=증권팀] JW신약은 3분기 영업이익이 9억5600만원으로 전년동기대비 48.2% 감소했다고 6일 공시했다.

같은 기간 매출액은 200억3700만원으로 2.1% 줄어든 것으로 나타났다.

당기순이익은 1억2600만원으로 80.6% 감소한 것으로 집계됐다.

park@heraldcorp.com

▶ 생활용품 알뜰하게 사는 법 럭비(LUCK BE)

▶앞서가는 젊은 경제신문 친구맺기 ▶오늘의 운세 날씨



- Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
JW신약,연합뉴스,2017.11.06. 오후 1:48,JW신약 3분기 영업익 10억원…48.2%↓,"(서울=연합뉴스) 전명훈 기자 = JW신약은 별도 기준 올해 3분기 영업이익이 10억원으로 작년 같은 분기보다 48.2% 감소한 것으로 잠정 집계됐다고 6일 공시했다.

매출액은 200억원으로 2.1%, 당기순이익은 1억원으로 80.6% 각각 줄었다.

id@yna.co.kr

기사 문의(기사 제목을 꼭 알려주세요) 및 제보는 여기로(클릭!)

최신 유행 트렌드 총집결(클릭!)"
JW신약,아시아경제,2017.11.06. 오후 1:55,"JW신약, 3Q 영업익 10억원…전년比 48.2%↓","[아시아경제 문채석 기자]JW신약은 3분기 잠정 영업이익이 9억5600만원으로 전년 동기 대비 48.2% 감소했다고 6일 공시했다.

같은 기간 매출액이 2.1% 감소한 200억3700만원, 당기순이익은 80.6% 줄어든 1억2600만원으로 각각 잠정 집계됐다.

문채석 기자 chaeso@asiae.co.kr

▶ 양낙규의 '군사이야기'
▶ 2017아시아여성리더스포럼 ▶ #아시아경제 페이스북

<ⓒ세계를 보는 창 경제를 보는 눈, 아시아경제 무단전재 배포금지>"
JW신약,파이낸셜뉴스,2017.11.06. 오후 1:57,[공시]JW신약 3·4분기 영업익 10억원…48.2%↓,"JW신약은 별도 기준 올해 3·4분기 영업이익이 10억원으로 작년 같은 분기보다 48.2% 감소한 것으로 잠정 집계됐다고 6일 공시했다.

매출액은 200억원으로 2.1%, 당기순이익은 1억원으로 80.6% 각각 줄었다.

ggg@fnnews.com 강구귀 기자

▶ 세상의 모든 골 때리는 이야기 'fn파스'
▶ 속보이는 연예뉴스 fn스타

※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
JW신약,서울경제,2017.11.06. 오후 1:57,"JW신약, 3분기 영업익 10억원..전년비 48.2%↓","[서울경제] JW신약(067290)은 별도 기준 올해 3·4분기 영업이익이 10억원으로 작년 같은 분기보다 48.2% 감소한 것으로 잠정 집계됐다고 6일 공시했다. 매출액은 200억원으로 2.1%, 당기순이익은 1억원으로 80.6% 각각 줄었다.

/송종호기자 joist1894@sedaily.com

[서울경제 바로가기]
1997년 이래 대한민국 최고의 과학자 DB [바로가기]
서울경제의 모든 연재물!... 서경Cube [바로가기▶]


저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지"
