총점,회사,날짜,별점,요약,장점,단점,경영진에게
3.1,에스케이커뮤니케이션즈(주),2022. 09,1점,"""시도하는 사업 족족 말아먹는 중 이대로 가다가는 회사 존폐 가능성 매우 높음""",워라밸 하나는 기가막힌다 회사가 기울고 있는 와중에도 직원들은 여유가 있어서 괜찮다는 착각을 하며 다닐 수 있다,최근까지도 시도하는 사업 모두 말아먹고 있는데 회사에서도 관망하고 있음 고여있는 사람들이 많아서 성장 가능성도 없다,되도않는 네이트에만 의지하다가 회사가 사라질 것 같음.. 제발 경영진들이 경각심을 가지고 제대로 된 대안을 내놓았으면 한다
3.1,에스케이커뮤니케이션즈(주),2022. 08,3점,"""신입마케터가 든든한 지원받으면서 시작할 수 있는 곳""",사업기반이 안정적이고 사업모델도 안정적이라 걱정하지않아도됨. 연봉이 어느정도 보장돼 좋음.,야근이 많아 워라밸실현은 힘들지만 나는 괜찮았음. 하지만 싫으면 오지 않는 게 좋을 듯. 그리고 검토 절차가 많아 비효율적이긴함,동기부여를 더 이끌수있는 제도들이 있으면 좋겠음
3.1,에스케이커뮤니케이션즈(주),2022. 08,3점,"""바쁠땐 바쁘고 여유로울땐 여유로운 근무환경, 워라벨 하나만큼은 잘 보장해주는 회사라고 생각합니다.""",팀바팀이지만 꼰대스러운 기업문화는 아니었고 분위기 자체가 자유로워서 좋았습니다. 규모가 작은 기업에 비해 어느정도 체계가 갖추어져 있음,안정적인걸 지향하는 분위기.. 이게 장점이되고 단점이 될 수 있다고 생각하는데 저는 단점으로 느꼈네요,열심히 업무에 투입한 인력에 대한 충분한 보상이 이뤄줬으면 좋겠습니다. 보상적인 측면에서 다소 부족하다고 느꼈습니다.
3.1,에스케이커뮤니케이션즈(주),2022. 08,4점,"""대기업의 체계 속에서도 IT의 오픈마인드가 공존.
개개인의 역량이 중요시되어 역량에따라 인정받을 가능성이 큰곳""","출근시간 유연근무, 휴가 눈치 안줌, 팀원 모두 매니저라 수평적 분위기, 카페테리아 있음","대기업 특유의 보고를 위한 문서작업 많은편, 결제 승인 절차도 많음",간단하거나 불필요한 보고 문서작업은 줄여서 효율성을 높였으면
3.1,에스케이커뮤니케이션즈(주),2022. 06,3점,"""사람 소중한줄 모르는 곳
대표부터가 개발자를 노가다꾼이라고 지칭함""","개발자들 나름 신기술 적용등 노력하는 사람들이 있음
레거시 이지만 나름 체계적",노력하는 사람이 있는 반면 공무원 마냥 놀구먹는 사람도 존재,프로그래밍이란 응은 한두달 배워서 노가다라고 생각 하면 안돼요^^
3.1,에스케이커뮤니케이션즈(주),2022. 06,3점,"""싸이월드, 네이트온 등을 성공시키며, IT 업의 새로운 강자로 등장하였으나, 이후 추락을 거듭하여, 지금은 존재 자체가 희미해 짐.""","대기업이라서, 직원에 대한 인간적인 대우, 복지 등이 훌륭하다. 사람들이 비교적 젠틀하고 수준이 있다.","SKT의 자회사로써, 회사의 자율성이 현저하게 떨어져, 발전가능성이 모호하다. 그러나, 아직은 브랜드가 남아 있어 희망이 있다.","SKT를 극복하고, 장기적인 관점에서 새로운 사업을 추진하였으면 좋겠습니다."
3.1,에스케이커뮤니케이션즈(주),2022. 05,4점,"""롤러코스터 같은 운명을 함께한 회사, 이제는 더이상 반등하기 어려운 현실이 아쉬울 뿐""","흥망성쇠를 같이한 30대 초반 미혼에서 40대 부모가 되기까지 같이할 수 있었던, 새롭고 다양한 많은 것을 시도하면서 많은 경험을 할 수 있었던 점","모회사에서 잠깐 거쳐가는 분들, 새로운 것이 기득권을 대체하지 못하도록 한 제약이 회사를 망조로 이르게한 점.",지금까지 남아서 서비스를 유지해주고 계신 동료 선후배님들이 잘 이끌어주시길.
3.1,에스케이커뮤니케이션즈(주),2022. 05,3점,"""정직원으로 다니면 무난했을 회사.
적당히 체계가 잡혀있다.""","계약직에게도 기본적인 복지 지급됨
회사 시설이 깨끗하고 좋은편",신규서비스를 믿어주고 투자와 홍보에 적극적이었다면 좋았을텐데 금방 접음,"신규사업에도 적극적으로 투자 필요.
계약직보다는 정규직으로 직원을 뽑았으면 좋겠습니다."
3.1,에스케이커뮤니케이션즈(주),2022. 04,4점,"""깔끔한 복지, 편안한 환경, 친절한 모든 부서 사람들!""","복지카드, 자율출퇴근, 식대, 팀회식문화 젊은 연령층 강점",매년 적자를 면치못해 줄어드는 복지... 회사 건물 위치 ...,신규 사업에 적극적인 투자 및 인재 양성에 각고에 노력을 기울여주시길...
3.1,에스케이커뮤니케이션즈(주),2022. 04,3점,"""비젼은 별로 없지만 힘들지 않고 워라벨 좋음. 근데 생동감 없는 다운된 분위기""",워라벨은 짱.. 업무 빡세지 않고 자기 할일 하면 별로 터치하지 않음. 딱히 괴롭히는 사람들 없고 사람들 유하고 좋음. 치열한 분위기 아님.,직책자들 전반적으로 답답함. 도전 의식 없음. 엄청 몸 사리는데 그런 사람들만 남은 듯,트랜즈에 맞는 깨어 있는 마인드와 도전 의식이 있었으면 함
