총점,회사,날짜,별점,요약,장점,단점,경영진에게
3.0,테라셈(주),2022. 09,3점,"""아직 회사가 유지되고 있는지 모르겠음""","퇴사한지 오래되었으나, 당시에는 새로운 사업을 위해 많은 노력을 했음","새로운 사업을 위해 노력했으나 방향성에 아쉬움이 있음
당시 오창본사와 신사업연구소 협업이 조금 아쉬웠음",지금은 회사 상황이 어떤지 모르기 때문에 특별히 바라는 점 없음
3.0,테라셈(주),2022. 07,5점,"""안타까운 기업.. 명성을 잃어버린 기업.. 많은것을 경험할 수 있고 아주 많은 인생경험을 할 수 있는 기업..""",예전 경영진은 괜찮았는데..지금은 폭망.. 다양한 사업망을 구축해서 많은 분야 경험은 가능하다,잦은 임원직 변경.. 관계되어 있는 회사도 불투명 사업결과를 이제는 믿을 수 없다.. 잘 될거라고 말한다,과연 직원들을 생각하면서 경영을 하시는 것인지 안타깝습니다
3.0,테라셈(주),2022. 02,1점,"""기업 워크아웃 상태에서 모든 임직원이 노력하여 코스닥 상장까지 이루어낸
회사로 이미지 센서 패키징 후 공정 업체""",365일 24시간 불이 꺼지지 않게 일하는 곳으로 모든분들이 열심히 일하는 기업,이미지 센서 패키징 사업이 새로운 기술과 중국 현지 생산으로 현재는 매우 하락세를 보임,"현재 경영진은 M&A를 통한 인수합병으로 들어온 분들이나 기존 사업에 대한 지속에 관심
이 없고 또다른 이윤만 창출하려고 함"
3.0,테라셈(주),2021. 11,3점,"""상장시에는 추천할만한 좋은 기업, 지금 쇠퇴하는 기업.""",경영목표를 정하고 초과 달성시에는 이윤을 임직원에게 성과급으로 지급합니다.,경영상황 악화로 현재는 쇠퇴의 길을 가고 있습니다. 독단적인 의사결정이 쇠퇴의 길을 재촉합니다.,경연진과 직원간의 적극적인 소통이 필요합니다. 외부의 말이 아닌 내부의 말에도 좀더 귀 기울여 주시길 바랍니다.
3.0,테라셈(주),2021. 07,4점,"""반도체 기업으로 근무 시설이 깔끔하여 좋았습니다.""",반도체 제조로 편안하고 꽤적한 환경에서 근무 할 수 있었습니다.,"제조직의 특성상 정년이 보장되지 않는 느낌이며, 제가 근무할때는 금연자를 모집하였음","알바에게도 회사 기념 선물을 주는 등의 복지가 좋았으며, 이를 상승 및 유지"
3.0,테라셈(주),2022. 09,3점,"""아직 회사가 유지되고 있는지 모르겠음""","퇴사한지 오래되었으나, 당시에는 새로운 사업을 위해 많은 노력을 했음","새로운 사업을 위해 노력했으나 방향성에 아쉬움이 있음
당시 오창본사와 신사업연구소 협업이 조금 아쉬웠음",지금은 회사 상황이 어떤지 모르기 때문에 특별히 바라는 점 없음
3.0,테라셈(주),2022. 07,5점,"""안타까운 기업.. 명성을 잃어버린 기업.. 많은것을 경험할 수 있고 아주 많은 인생경험을 할 수 있는 기업..""",예전 경영진은 괜찮았는데..지금은 폭망.. 다양한 사업망을 구축해서 많은 분야 경험은 가능하다,잦은 임원직 변경.. 관계되어 있는 회사도 불투명 사업결과를 이제는 믿을 수 없다.. 잘 될거라고 말한다,과연 직원들을 생각하면서 경영을 하시는 것인지 안타깝습니다
3.0,테라셈(주),2022. 02,1점,"""기업 워크아웃 상태에서 모든 임직원이 노력하여 코스닥 상장까지 이루어낸
회사로 이미지 센서 패키징 후 공정 업체""",365일 24시간 불이 꺼지지 않게 일하는 곳으로 모든분들이 열심히 일하는 기업,이미지 센서 패키징 사업이 새로운 기술과 중국 현지 생산으로 현재는 매우 하락세를 보임,"현재 경영진은 M&A를 통한 인수합병으로 들어온 분들이나 기존 사업에 대한 지속에 관심
이 없고 또다른 이윤만 창출하려고 함"
3.0,테라셈(주),2021. 11,3점,"""상장시에는 추천할만한 좋은 기업, 지금 쇠퇴하는 기업.""",경영목표를 정하고 초과 달성시에는 이윤을 임직원에게 성과급으로 지급합니다.,경영상황 악화로 현재는 쇠퇴의 길을 가고 있습니다. 독단적인 의사결정이 쇠퇴의 길을 재촉합니다.,경연진과 직원간의 적극적인 소통이 필요합니다. 외부의 말이 아닌 내부의 말에도 좀더 귀 기울여 주시길 바랍니다.
3.0,테라셈(주),2021. 07,4점,"""반도체 기업으로 근무 시설이 깔끔하여 좋았습니다.""",반도체 제조로 편안하고 꽤적한 환경에서 근무 할 수 있었습니다.,"제조직의 특성상 정년이 보장되지 않는 느낌이며, 제가 근무할때는 금연자를 모집하였음","알바에게도 회사 기념 선물을 주는 등의 복지가 좋았으며, 이를 상승 및 유지"
3.0,테라셈(주),2022. 09,3점,"""아직 회사가 유지되고 있는지 모르겠음""","퇴사한지 오래되었으나, 당시에는 새로운 사업을 위해 많은 노력을 했음","새로운 사업을 위해 노력했으나 방향성에 아쉬움이 있음
당시 오창본사와 신사업연구소 협업이 조금 아쉬웠음",지금은 회사 상황이 어떤지 모르기 때문에 특별히 바라는 점 없음
3.0,테라셈(주),2022. 07,5점,"""안타까운 기업.. 명성을 잃어버린 기업.. 많은것을 경험할 수 있고 아주 많은 인생경험을 할 수 있는 기업..""",예전 경영진은 괜찮았는데..지금은 폭망.. 다양한 사업망을 구축해서 많은 분야 경험은 가능하다,잦은 임원직 변경.. 관계되어 있는 회사도 불투명 사업결과를 이제는 믿을 수 없다.. 잘 될거라고 말한다,과연 직원들을 생각하면서 경영을 하시는 것인지 안타깝습니다
3.0,테라셈(주),2022. 02,1점,"""기업 워크아웃 상태에서 모든 임직원이 노력하여 코스닥 상장까지 이루어낸
회사로 이미지 센서 패키징 후 공정 업체""",365일 24시간 불이 꺼지지 않게 일하는 곳으로 모든분들이 열심히 일하는 기업,이미지 센서 패키징 사업이 새로운 기술과 중국 현지 생산으로 현재는 매우 하락세를 보임,"현재 경영진은 M&A를 통한 인수합병으로 들어온 분들이나 기존 사업에 대한 지속에 관심
이 없고 또다른 이윤만 창출하려고 함"
3.0,테라셈(주),2021. 11,3점,"""상장시에는 추천할만한 좋은 기업, 지금 쇠퇴하는 기업.""",경영목표를 정하고 초과 달성시에는 이윤을 임직원에게 성과급으로 지급합니다.,경영상황 악화로 현재는 쇠퇴의 길을 가고 있습니다. 독단적인 의사결정이 쇠퇴의 길을 재촉합니다.,경연진과 직원간의 적극적인 소통이 필요합니다. 외부의 말이 아닌 내부의 말에도 좀더 귀 기울여 주시길 바랍니다.
3.0,테라셈(주),2021. 07,4점,"""반도체 기업으로 근무 시설이 깔끔하여 좋았습니다.""",반도체 제조로 편안하고 꽤적한 환경에서 근무 할 수 있었습니다.,"제조직의 특성상 정년이 보장되지 않는 느낌이며, 제가 근무할때는 금연자를 모집하였음","알바에게도 회사 기념 선물을 주는 등의 복지가 좋았으며, 이를 상승 및 유지"
2.8,(주)티사이언티픽,2022. 09,2점,"""상장사만 간신히 유지하고 있으며 임원진의 무능함으로 발전 가능성이 없음""",정시 출퇴근 칼퇴가 눈치없이 가능하며 연차도 자유롭게 쓸 수 있다 점심식대 어플 포인트로 지원해줌,수많은 회의와 PPT발표 끝난 후 무자비한 독설을 퍼부음 ..무능력한 임원으로 회사의 발전이 없다,"직원들의 말에 귀좀 귀울여 줬으면 좋겠다
쓸데없는 회의 발표만 줄여도 업무 능률이 오를 것이다"
2.8,(주)티사이언티픽,2022. 07,3점,"""9시출근 6시퇴근을 위해 다니는 회사""","정시출근 정시퇴근 보장
퇴근후에 진짜 삶을 삽시다
개인플레이 가능","기업경영에 관심없는 윗선
주식을 위한 회사
공석 생기면 충원없이 남은 사람이 일 다 해야함",사업 개요도 모르는 사람을 윗선에 배치하지 맙시다. 신규인력 교육합시다.
2.8,(주)티사이언티픽,2022. 06,4점,"""배움에 대한 지원이 아낌없는 곳 단지 지금 인력이 부족합니다. 업무시간은 대체적으로 조용한 분위기 같이 일하는 팀원분들도 좋습니다.""",연차 퇴근에 대해 눈치 볼 일이 없습니다. 배움에 대해 지원을 아끼지 않습니다. 팀원의 의지만 있다면 퇴근 후 필요한 교육도 해주십니다.,출근은 요상하게도 사내 메신저 접속 기록에 집착합니다. 경영 담당 부서가 너무 고지식합니다. 추구하는 원리원칙이 과연 사내 업무 효율성 및 발전에 도움이 되는지 유연하게 고려해보셨으면 합니다. 기존 오래된 작업 방식에서 애자일 방식을 도입해 과도기를 겪고 있습니다.,"원하는 대답을 요구하시기 보다는 현재 상황에 대해 해결책을 같이 고민해서 현실 가능한 방안과 일정에 대해 타협을 했으면 좋겠습니다. 충분히 고려해서 노력해주시는 부분은 알고 있습니다만... 압박이 심해져서 팀원이 나갈까봐 두렵습니다. 회사입장에서 오래된 프로젝트이지 사람, 디자인, 개발, 작업 문화, 툴 프로세스 까지 전부 다 새로 시작했습니다. 실무자들에겐 실제로 1년도 안된 프로젝트입니다. 현재 작업 프로세스를 바꾸어 쳐내기 시작했습니다. 팀원들도 최선을 다하고 있지만, 은근슬쩍 야근에 대해 언급이 나오고 있습니다. 요즘 의욕보단 스트레스가 나타나기 시작합니다. 저희 회사의 강점은 워러밸이라고 생각합니다."
2.8,(주)티사이언티픽,2022. 03,1점,"""아직 안망하고 유지하고 있다는 사실이 대단히 놀라움
제발 이상한 짓 그만하고 제대로 경영해 주시길""","업무를 모르는 경영진 덕분에 일을 열심히 해도 모르고
안해도 모름
하루하루 버티면 월급 나옴
연말 보너스도 가끔 나옴","본부장이상의 경영진 참 대단하다고 느낌
매일 법카로 술마시고 아래 직원들이 뭘히는지도 모르고... 일하는걸 본 적이 없지만 안짜름","제발 이상한 것 좀 그만해주세요.
어느정도 말이 되는걸 시켜야지 이해하고 따라가던가 하지..."
2.8,(주)티사이언티픽,2021. 12,1점,"""임원진이 모바일쿠폰 이해도가 낮으며 독선적인 운영""","워라밸 보장, 지하철역과의 거리, 대부분 칼퇴 분위기(하지만 인사팀은 경영총괄의 눈치로 칼퇴 어려움)
중식포인트 제공
전체적인 팀 분위기는 좋다.","임원이 모바일쿠폰 이해도가 현저히 낮으며 아집이 심하다.
2~3년 된걸로 아는데 당시까지도 신입사원의 모바일쿠폰에 대한 이해도 보다 낮다. 허수아비
경영총괄이란 사람이 모든 사람들 앞에서 한사람에게 면박주는걸 즐기는거 같다. (그럴때 마다 주위 사람들만 더 민망해짐)
경영총괄 교체되면서부터 일 잘하는 사람들이 대거 퇴사하였고 사내 분위기 다 망침.
임원들은 사업에 대한 고민보다는 본인들 자리 지키는데만 급급함.
공정성이라곤 찾아볼수없는 인사평가.
명절 상여금, 성과급, 인센티브 없음.
브랜드 직계약이 거의 없다고 봐야하기에 향후 성장 가능성이 보이지 않는다.","모든 직원들이 보는 앞에서 한사람을 면박주는 행위는 좀 안했으면 한다.
(최소한 해당 내용에 대해 이해를 하고 대화를 하던가 이해도 못한상태에서 그냥 면박만 주려고 하니 정말 무능해보이고 보기 안좋다.)
얼마나 경영총괄 자리에 계실지는 모르겠으나 직원들이 왜 퇴사를 하는지 본인의 행실을 돌아보시길"
2.8,(주)티사이언티픽,2021. 08,3점,"""워라밸 보장. 연차 사용이 자유로운 회사.""","워라밸 보장, 식대 포인트 지급, 연차 사용이 자유롭다.","낙하산 경영진때문에 회사 방향성 상실, 현상유지가 목표이다.",초기의 회사 방향성을 다시 찾았으면 한다.
2.8,(주)티사이언티픽,2021. 08,3점,"""현상 유지가 목표로 가늘고 길게 가자가 목표 아닐까.""","책임자급 아니면 그리 힘들지 않은 회사이다. 팀간 이기주의가 많고, 모든 팀마다 피해 의식이 많다.","발전 가능성이 적어 보인다. 주식으로 이슈 만들어 현상 유지하고, 운좋게 비싸게 팔고?",하나의 목표로 뚜렷하게 강점을 갖는 초기의 모습을 찾길 바란다.
2.8,(주)티사이언티픽,2021. 03,4점,"""첫 직장으로써는 좋은 것 같다. 배울점도 많음""",연차 자유로움. 자유로운 분위기. 개인업무 터치 없음. 좋은 사람들.,복지가 없음. 회사 위치 안좋음. 주변에 먹을 곳 없음. 상위자가 무능함,복지 개선 필요. 기존에 있었던 복지 없애지 마세요.
2.8,(주)티사이언티픽,2020. 11,2점,"""영업을 중시하지만 영업사원들에게는 한없이 박한 곳""","어휴....지하철역 가까운거....?
중식대제공 정도...?","말해뭐해....
기준없는 인사고과 형평성이라고는 찾아볼수 없는 연봉협상....",모르면 가만히...듣는척이라도 좀.....
2.8,(주)티사이언티픽,2020. 11,3점,"""부서별로 꿀빠는 부서도있음
줄잘잡으면 편하게 다닐수있음.난 그럴마음이 없을뿐""","야근없음, 식대지원(일 6천원이라 아쉬움)
식대는 포인트로 지급됨(회사 근처 편의점,식당,파리바게트 등)
동료들은 좋은 사람들임","수직적인 분위기
시켜서 하긴하는데 무엇을 위한 업무인지 이해가 안되는 경우 대부분...;",바뀌는건 없겠지만 남은 사람들한테라도 좀 잘하시길...
2.8,(주)티사이언티픽,2020. 10,2점,"""모바일커머스라기 보다 모바일쿠폰으로 영업 중심의 회사""",경험을 바탕으로 영업력이 강한 회사 오랜 경험과 노하우로 오래된 계약처가 많음,평가 보상이 약하고 임원진들이 인수 후에 들어 온 사람이라 쿠폰이나 기타 제휴 영업을 잘 모름,제휴 영업 기업 영업 일반 운영 귀하게 여기며 사람을 중요시하는 경영진이였으면 좋게음
