총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.4,디에스케이(주),2022. 09,5점,"""2차전지쪽으로 사업 확장하고 있어서 성장가능성 다분""","연차를 자유롭게 쓸수있고, 워라밸이 있는데 부서마다 다름",위치가 테콤단지에 있어서 교통편이 불편한거 이외에는 딱히 단점은 없다.,열심히 일하는 사람들을 잘 챙겨줬으면 좋겠다.
2.4,디에스케이(주),2022. 08,1점,"""직원수에비해 많은 업무량과 잦은 출장으로 인해 일반적인 사회생활도 못하며 자기개발시간이 없습니다""","자유로운 분위기입니다
연차사용이 자유롭습니다
직원 분위기가 좋습니다
출장비가 나옵니다","52시간 근무 안지켜집니다
직원수에비해 많은 업무량과 잦은 출장
자기개발시간이 없음","52시간 근무 지켜주세요
안지킬거면 합당한 금액을 챙겨주세요"
2.4,디에스케이(주),2022. 06,1점,"""일하기는 편한 회사
큰 부담이 없는 회사""","같이 일하는 사람들은 좋음
야근수당 없지만 분기 별 인센티브 있음
휴일 특근수당 있음","업무분담이 되어있지 않으므로 잡무가 굉장히 많음
스킬 업 하기 힘듬 맨땅 헤딩 해야함
야근 강요하지만 분기 별 인센은 항상 적게 나옴
평일 야근 강요,주말 출근은 눈치 보며 해야 함
복지는 없다고 생각해야 함
장 단기 출장이 많고 장기의 경우 굉장히 길다",직원들의 불만을 해결하려고 노력해주시면 더욱 발전하리라 생각합니다.
2.4,디에스케이(주),2022. 05,3점,"""경험 경력 쌓고싶은사람 추천합니다.......""",자유로운 연차와 식대제공~~~~~~ 전체적으로 무난했던 것 같습니다~~,업무가 많아 퇴근시간을 맞추기 힘들었습니다...................,직원들을 더 잘 챙겨야 할 것 같네요
2.4,디에스케이(주),2022. 03,2점,"""연봉 및 야근을 참는다면 오래 다니기에 나쁘지는 않음
그러나 주임급 이하로는 본인 업무 외 잡무가 많아서
열정적인 신입사원 입사는 말리고 싶음""","연차 사용이 간편함
퇴근후 사용 가능한 직원복지 시설이 갖춰짐","1.업무외 필요없는 문서작업이 많음
발주시 엑셀작성.plm 결제.erp.구매팀 전달
서류작업만 4번해야되고 출장 외근시 사용한 식대 및
각종 영수증 정리도 팀 막내.개인이 해야됨 생산및 제어팀등경리 업무와 관계 없는 직원들이 결제까지 다 받고
월마감 전까지 서류 정리해야됨
2.2인1실 기준1호실에 4~6명 들어가는
기숙사 인원을 줄여야 된다고 생각함
3.동종업계 기준 연봉 작음
4.기업에 기술력은 있으나 신입~2.3년은 단순반복작업및
각종 서류정리등 잡일 위주로 일을 배우기위해서는 오래
다녀야 됨 이마저도 라인 따라감
5.주52시간이 지정되어 있어도 편법으로 출.퇴근 시간을
조작해서 올리라고 하는 경우가 잦음
6.일이 많은사람만 많음 퇴근.주말없이 일하는 사람이 있는
반면 눈치보면서 쉬운일만 하는 사람도 있음
일 분배를 체계적으로 할 필요가있다고 생각함","얼마 안되는 연봉이라도 회사경력.위치.자금 현황을 보고
입사한 신입사원들이 금방 나가는 이유가
업무외 잡일을 많이 시키기 때문이라고 생각한다"
2.4,디에스케이(주),2022. 03,2점,"""그냥 무난하게 장기근속하기는 좋으나, 커리어 쌓기에 한계가 있고 경기도에 위치한 중소기업이라 그런지 급여가 짬.""","단지 내 식당이 있어 점심메뉴 고민 필요 없음
연차 자유롭게 사용가능(부서마다 좀 다르려나)
최근 분기 상여로 바뀌어서 분기마다 보너스가 있음(근데 이것도 실적 저조하면 없어질수돜ㅋ)","문서작업이 너무 많음 = 행정서무 없이 현업직원이 다함
위치가 안좋음
단독 지하 주차장이 잇으나 좁고 불편함. 늦게오면 자리 없음. 주차 헬.
복지를 잘 없앰. 한번 없어지면 다시 생기기 힘듦.","쓸데 없는거 하지말고 복지에 신경 좀 써주시길.
돈안드는 복지라도 좀 했으면... (패밀리데이 등)"
2.4,디에스케이(주),2022. 02,2점,"""디에스케이는 디스플레이장비를 주로하는 회사이다
그외 이것저것 하고있다""","연차쓰는데 부담은 없다
점심,저녁식사를 제공하고있다
기숙사를 운영중이다","단정은 어느회사나똑같이 모든게 다 단점이다.
자기일을 알아서 찾아 일해야한다","원래하던거에 집중했으면 좋겠습니다.
직원들 복지가 점점 줄어들고있습니다"
2.4,디에스케이(주),2021. 10,1점,"""좋은팀원들, 52시간 근무 법규를 무시하는 불법의 자행""",팀원들이 좋습니다. 각 팀간의 협업이 어렵진 않습니다. 2차전지 라미네이션 장비를 신규로 도전합니다.,"2018년 법으로 규정된 주 52시간 근무제도를 현실적으로 ‘위법’하고 있습니다 매일 12시간 근무에 주말출근을 하고 있습니다. 덧붙혀 국가적 재난사항인 판데믹 상황에도 불구하고 지방 및 해외출장 기숙사가 2인 1실 사내규정이 되어 있으며 한 집(호실)에서 3~4명이 거주하며 방역, 보건적으로 취약하며 정부의 방역 방향과 정반대의 정책을 펼치고 있습니다.",지속가능한 경영과 새로운 세대의 업무환경이 조성되었으면 합니다.
2.4,디에스케이(주),2021. 10,4점,"""젊은직원들과 깨끗한 환경에서 즐겁게 일했다
앞서가는 기업""","젊은직원들과 깨끗한 환경에서 즐겁게 일했다
야근특근 수당이있고","일이 많고 야근이 많았다
휴가는 쓰라고하지만 일이 많아서 어려웠다","역시나 멋지게 성장하고 있네요
기업이 어쩔수없지만..직원의 입장에서 바라봐주세요"
2.4,디에스케이(주),2021. 04,1점,"""엘지디스플레이 pcb본더 장비제작을 하는기업
그외 자동화잡이제작업체""","연차사용자유롭습니다.
아침,점심,저녁 을 제공 기숙사지원","특정부서에 일이몰려있다.
체계가 조금 아쉽다.
연봉이 낮다.","직원들 복지및 급여에 신경을써주셨으면좋겠다.
추가적으로 결재시스템간소화해줬으면좋겠음."
2.4,디에스케이(주),2021. 03,2점,"""부서바이부서지만 널널한 곳은 매우 널널함. 하지만 생산직이나 기술직은 빡셈.""",비교적 자유로운 연차사용. 내가 속한 부서는 수직적이지 않아서 수평적으로 근무 가능(그러나 다른 곳은 수직적인 곳도 있음),임원진이 다 고인물이고 대표 눈치 보느라 바쁨. 자꾸 복지를 없애려고 함. 돈쓰는거 싫어함. 연봉이 짬. 위치가 별로임. 주차장이 헬임. 모든 추진하는 업무마다 시대에 역행하고 있음.,임원들이 직원 생각도 좀 해줬으면. 임원 연봉 아까운 짓좀 적당히 햇으면. 그나마 쥐꼬리만큼 있던 복지마저 없애려 하지말고 유지라도 잘 했으면.
2.4,디에스케이(주),2021. 02,3점,"""개발자와 설계와 영업 제조간 업무교류가 잘 안되고 완력다툼이 있음""",디스플레이 대기업 국내외 일차벤더로 수주와 수금이 비교적 안정적임,연공서열의식이 강하고 각부서간 교류부족으로 업무 책임감이 다소 떨어짐,신규사업 추진 투자와 다양한 고객군 개발을 위해 적극 발로 뛰었음 좋겠음
2.4,디에스케이(주),2021. 01,5점,"""부담없이 다닐수 있는 회사
돈은 적당히 주는 회ㅅ사""","같이 근무하는 사람들이 좋다.
편하게 다닐수 있다.
출장이 많아 돈이 꾀된다","출장이 너무 많다.
부서간 협업이 안된다.
야근이 많아 개인시간이 없다","개인시간이 필요합니다.
가용인원이 적습니다."
2.4,디에스케이(주),2021. 01,1점,"""경영기획실의 절대 권력, 그에 항상 끌려다니는 직원...""","가성비 좋은 사람이 많음, 사람들이 좋아 다니는 case가 많음","포괄연봉제, 야근수당 없음, 그런데도 다른곳에비해 현저히 낮은 연봉",정치를하지 말고 모두의 입장에서 한곳으로 치우치지 않는 경영을 했으면...
2.4,디에스케이(주),2021. 01,1점,"""입사한다면 도시락 싸서 쫓아다니면서 말리고 싶은 회사임""","좋은 팀분위기, 자유로운 연차사용...30자 적어야하는데 없음","1. 잡일이 극악으로 많고... 잡일만 죽도록 하게되면서 개발역량은 도태되는것을 느낌..
2. 매우 엄청 많은 출장
3. 고객사에게 욕많이 먹음
4. 집에 가기 힘듬
5. 본사 주차하기 엄청 힘듬
6. 팀간의 피드백도 잘 없고 알아서 해야함
7. 너무 많아서 이까지 씀 밤샐것같음",각 리더들이 제대로 된 리더쉽을 발휘해줬으면 좋겠습니다
2.4,디에스케이(주),2020. 12,2점,"""꾸준히 무언가 일을 창출하는 그리고 최소한의 인력으로 최대를 바라는 회사""","월급 제때 잘 주고 밥도 제때 잘 주고 장점
스스로알아서 해야함 자유로움","1인 다역을 해야함 한마디로 만능 엔터테이너가 되어야 그나마 숨쉴수
있는곳","사람 없다고 계속 뽑는것보다 나가는사람 다독여서 인력 화보를
했으면함"
