총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.5,(주)위다스,2021. 11,3점,"""열심히 하면 그만큼 보상을 받을 수 있을 것 같습니다""","업셰으ㅣ 업력이 오래되고 다닐때는 지금은모르겟지만
직원간 유대가 끈끈했습니다",퇴사율이 높아 업무인수임계에 많은 어려움을 겪는 것 같습니다. 인사관리 정비가 필요해보입니다,"경영진은 직원들의 말에도 귀을 귀울여 좋은 사냐문화를
만들어가면 좋을 것 같습니다"
2.5,(주)위다스,2021. 10,2점,"""경영진이 직원의 노고를 알아주지 못하는 기업이며 잔업무가 많다.""",월급 밀리지않고 줌. 중석식대 지급. 칼퇴근. 업무량이 많아 공부하는데엔 도움이 될수도 있음.,출근시간은 8시반인데 퇴근시간은 부서에따라 다름. 명절휴가비 없음. 업무량이 많음.,기업후기들을 경영진도 알고 있으면 회사발전에 도움이 될것같다.
2.5,(주)위다스,2021. 10,3점,"""다양한 직무환경을 경험할 수 있고 업무수행이 가능함""","정시에 출근하고,정시에 퇴근가능함,점심 식대 별도로 지급해줌...",주어진 업무가 많을 수 있으나 효율적으로 일하는 법 배울 수 있음,사원들의 의견도 적극적으로 반영해주기 바람
2.5,(주)위다스,2021. 09,3점,"""무난했습니다. 경력쌓기에 좋습니다. 더 발전하는 회사였음 좋겠습니다.""",열심히 한만큼 보상을 받는 회사인것 같습니다. 다들 열심히 하십쇼,기업문화가 안좋았습니다. 기업문화개선이 필요합니다. 부탁드립니다.,기업문화개선이 필요합니다. 사람이 재산인것 같습니다. 부탁드립니다.
2.5,(주)위다스,2021. 07,3점,"""특판가구회사가 어떤 성격을 가지고 있는지 단편적으로 경험해볼수 있는 곳
이직하기 전에 그 업계가 어떤 성격을 가지고 있는지 빨리, 괴롭게 경험해볼 수 있는 곳""",사무실은 쾌적하고 서울에 있다는 거. 당시 사무실 건물 입점상가에 뭐 사먹을 수 있는 가게 많아서 좋았던 거.,"부서를 합쳤다 나눴다가, 이 팀을 저기에 붙였다 떼었다가... 엄청 이동을 많이 시켰었음. 팀원도 적은데 엄청 세분화시키고 복잡했던 기억. 근데 그것도 길게 유지가 안됨. 자꾸 바뀜.
서랍에 바뀐 부서 이름때문에 새로 판 명함이 계속 쌓임!
경력이 오래된 정치적인 직원들이 기세를 부려 실무직들에 입김이 매우 셌던 것으로 기억함. 신입이나 초년생 직원들이 방향을 잡지 못하고 혼란스러워 했던 것 같음.
회사는 그런 직원들이 역설적이게도 업무적으로는 유능하다고 크게 제재를 가하지도, 강제적인 방향을 설정하지도 않았던 것 같음.
엄청 스트레스를 주면서 일을 시키고 폭압적인 직원들이 많았음.
폭언과 고성이 오가는 분위기 속에 부하 직원을 쥐잡듯 잡는 직원이 있었음.
업무를 두고서 매우 배타적이고 이기적인 직원들이 많음.","회사차원에서 신입 직원들에 힘을 많이 키워줬으면 좋겠음. 교육이라던지... 사원 대리급에 대한 관심이 좀 많이 필요해보임
차장급/부장급 직원들이 기세를 부리는 모습이 있었는데 이에 대해서 견제를 할 수있는 장치나 관심이 필요하지 않나 싶음"
2.5,(주)위다스,2021. 06,1점,"""가구 회사임 회사의 이익이 있어야 직원들이 존재할수있다고 알려주는 엄청난회사 청소와 잦은이사를 직원들이 하며 수시로 자리배치를 함""",직급이 올라갈수로 하는 업무가 줄어들면 간단한 업무조차 아래직원들에게 시킴,화사의 이익을 위해 직원들은 부려먹고 뒤에선 욕하고 헐뜯음,급여인상이라도 좀 해주세요 이사좀 직원들 시키지말아 주세요
2.5,(주)위다스,2021. 04,3점,"""참고 열심히 다닐만합니다. 커리어적인 부분은 별로인것 같습니다.
진입장벽이 낮아 신입 다니기에도 적당합닏나.""","자유로운 직장분위기로 출퇴근에 대해 많은 터치를 하지않고 능력이 있다면 인정받으면서
다닐 수 있는 회사라고 생각합니다.","강압적인 경영진의 마인드가 있어 인내가 부족한 사람은 다니기 힘들 수도 있지만
다니다 보면 능력을 인정해줘서 참고 다닐만합니다.",직원들 의견에 귀귀울였으면 좋겠고 복지에 대해 조금 더 힘쓰면 좋은 회사가 될 것 같습니다.
2.5,(주)위다스,2021. 02,1점,"""야근도많고 직원에 모든걸아낄라하는회사 복지란 1도없다. 야근해도 밥도안줌""",그래도 수평적에가까운 가족같은회사?가 장점이라고해야될까 +정수기있음,복지는 최악 근무여건도 최악 설날은 만원짜리선물 떡값?없음,직원들의 사기를 저하만시키는 오너의 잘못된행태
2.5,(주)위다스,2021. 01,2점,"""군대식 문화, 야근이 많음, 장점은 서울에서 일한다는거 정도입니다.""","점심식사를 지원해줘서, 점심값에 대한 부담이 없음, 야근하면 저녁도 사줌. 커피를 자유롭게 마실수 있습니다. 사무실이 인테리어 회사라서 그런지 깨끗합니다.","쓸데없는 회의가 엄청 많음... 그 회의에서 쓸데없는 일들이 만들어짐... 결국 힘든건 밑에 사람들임... 물론 높은사람도 스트레스 받겠지만, 밑에 사람들에게 스트레스를 품... 계속 있다보면 욕먹을려고 뽑았나 이런 생각까지 들었음...",신입사원을 가지고 장난안쳤으면 좋겠습니다. 텃세가 없고 위계문화가 없었으면 좋겠습니다.
2.5,(주)위다스,2020. 12,3점,"""진짜 가족회사 사촌부터 동생 까지 가족들이 구석구석""",사람들이좋다. 회사에 오래계셨던 분이 거의 없어서 텃세가 없다.,각 부서간의 업무협조가 잘되지 않고 결재라인 간소화가 필요한듯하다.,직원들의 불만을 들어주세요 . 오래된 직원들이 다들 나가는 이유가 있는거같습니다.
