총점,회사,날짜,별점,요약,장점,단점,경영진에게
3.3,(주)파이오링크,2022. 09,4점,"""경력 쌓고 많은 것을 배울 수 있는 기술 기업""","칼퇴근이 가능함.
빵, 우유, 원두커피 제공.
시간 외 근무에 대한 처우.","회사 위치가 가산에 있음.
칼퇴근 가능하지만 업무 강도는 좀 셈.",직원을 위해서 많은 것을 제공해 주심에 감사합니다.
3.3,(주)파이오링크,2022. 09,3점,"""워라벨 좋은데 고인물이 판치는 회사이기 때문에 잘 버틸수 있으면 다녀라""",야근수당없고 야근을 강요하지 안지만 눈치는 준다 하지만 복지는 좋다 복지는 그나마 좋은편이라고 생각한다,차라리 야근 수당을 줬으면 좋겠다 그래야 일할 맛 나지 고인물이 많아서 눈치는 어찌나 보게 되던지 꼰이 아닌줄 아는게 더 신기해,좀더 열려있었더라면... 진짜 사내 복지는 직원의 정신까지도 캐어할줄 알아야 하는거 아닐까 싶네요
3.3,(주)파이오링크,2022. 08,2점,"""벤더사인만큼 스위치 개발실은 좋습니다.
보안관제 업체이기도 하지만 커리큘럼이 조금 조성이 잘 인되어있는 느낌이 있습니다.""","연차를 눈치 안 보고 사용 가능합니다. 다만 일괄연차라 하여
붙여쓰게끔 분위기를 조성하는 느낌은 있습니다.",중소기업이라 업무나 업무 지원에 대한 아쉬운점이 존재하는 것 같습니다.,연봉 인상률이 직종 내에서 나쁘지 않으며 인센티브도 잘 나옵니다.
3.3,(주)파이오링크,2022. 08,4점,"""워라밸이 잘 지켜지는 자유로운 회사
큰 걱정없이 다니기 좋다""",휴가를 눈치없이 사용할수있며 눈치안보고 퇴근이 가능하고 유동근무가 좋다,"문서작업이 많으며 비효율적이라는 생각을 많이 받았음
기업의 입장에서는 그게 좋지만..",새로운 사업에 대해 조금더 적극적인 지원을 하였으면..
3.3,(주)파이오링크,2022. 08,4점,"""직무에 따라 다르지만 워라벨에 대해 기본적으로 지키려는 회사 마인드 있음""","복지포인트, PS 등 일반 중소기업에 없을 수 있는 복지 있음
소소한 부분도 많음. 플렉서블 출퇴근 제도 있음",지속적으로 보이스나 문제가 발생되도 회사의 필요에 의해 문제 인력에 대해 지켜줌. 그로인해 많은 퇴사자 발생,다면 평가제도를 도입해서 내부 보이스를 듣는다면 더 좋은 회사가 되지 않을까 합니다
3.3,(주)파이오링크,2022. 07,5점,"""워라밸은 좋은편 하지만 부바부가 좀 있는 것 같다 회사 자체는 좋다""",연차를 자유롭게 사용가능 자기 일이 끝나면 정시 퇴근도 가능,직원들간 소통이 잘 이루어지지 않고 다른 직원들이 일을 하는지 모르겠음,직원들의 불만이나 소통을 잘 해서 해결책을 제시해줬으면 좋겠음
3.3,(주)파이오링크,2022. 07,4점,"""사람들 좋고.. 눈치보는거도 없고 첫직장으로는 좋은듯""","연차같은 부분도 자유롭고(반차, 반반차 가능) 사람들 친절하고 뭐 빵이나 우유도 주고 사무실도 깔끔함","급여가 너무..낮음, 장점이자 단점인 서울. 많은것이 몰려있지만 그만큼 지하철, 버스 출퇴근 너무 고역임. 자취 필수","예의를 차리는 척만 하는분이 계신듯..
기업 이익률 높은데 전체적인 급여상승좀 해주면 사람도 안빠지고 좋을듯"
3.3,(주)파이오링크,2022. 07,3점,"""자기계발하면서 업무도 할 수 있는 분위기로 다양한 개발경험을 쌓을 수 있다.""",연차를 윗사람 눈치보지 않고 쓸 수 있음. 출퇴근 자유로움.,"동종업계에 비해 연봉이 현저히 적고, 보안장비 제조업체라는 특수한 사업 내에서 고이고 있는 역피라미드 구조",직원들의 불만을 듣기만 하고 반영하거나 개선되지 않는 기업문화는 바뀔 필요가 있다고 생각합니다.
3.3,(주)파이오링크,2022. 06,4점,"""부서마다 다른대우를 받을수 있겠지만 워라밸은 좋다.""",연차쓸때 눈치안보이고 신입으로와서 꽤나 많이 배울수 있음,연봉이 짭니다. 동종 타기업보다 떨어져요. 젊은 인력이 나가는 이유이기도 함.,장기먹거리 발굴에 힘써주세요. 인력충원에 힘써주세요 인력충원은 결국 돈입니다..
3.3,(주)파이오링크,2022. 06,4점,"""신입한테 업무 경험을 쌓을 수 있는 곳, 사실 경력직은 잘 모르겠다
평소에 편하게 다니기 좋음""","연차 사용 자유로움, 윗사람들과 의사소통 원활, 파견직 주거지원 등 다양한 복지가 있음","복지 제도가 다양하지만, 없어서 아쉽거나 제한이 있는게 있음.
사이트마다 다르겠지만 윗사람 좋다는 인상은 받기 어려움",합리적인 복지 및 사업추진 등 더 신경써주었으면 좋겠다
3.3,(주)파이오링크,2022. 06,2점,"""발전 없이 고인물들 가득한 회사입니다. 일을 하는 사람들만 하고 대우는 제대로 받지 못해서 실력 있는 사람들이 많이 나가고 고인물들만 남았습니다.""","부바부이지만 눈치 안보고 연차를 쓸수있고, 워라밸도 좋아서 야근 없습니다. 편하게 자기일만 잘하면 됩니다.","일 열심히 하는 사람들에게 대우를 안해줍니다. 고인물, 정치 잘하면 일 열심히 안해도 적당히 대우 받으며 다닐 수 있습니다. IT기업인데 매우 보수적이며, 새로운걸 싫어합니다.","몇몇 경영진들, 본인 이익만 챙기려고 하지 말고 직원들을 생각해주세요. 새로운걸 받아들였으면 좋겠습니다."
3.3,(주)파이오링크,2022. 06,4점,"""워라벨 완전 보장 업무강도 높지않음 자유로운 연차사용.""","연차사용 자유로움
워라벨 보장 시차출퇴근 있음
복지포인트 줌
빵이랑 우유도 줌","연봉인상률이 낮음
평가가 크게 의미가 없음
다른데서 이직해서 연봉올려오는게 이득","회사에 현금이 많다들었는데 사옥을 지었으면 좋겠음
지금 건물은 너무 닭장같음"
3.3,(주)파이오링크,2022. 05,3점,"""관제 사업을 시작했으나, 하드웨어 회사""","연차를 쓰라고 하나 쓸수 없는 상황이 많고, 성과금 좀 나옴",한사람이 모든 권력을 가지고 있어 그 사람에게 잘 보여야 하고 지원이 극히 적음,관제 사업을 없앴으면 좋겠음. 키울거 아니면 없애는게
3.3,(주)파이오링크,2022. 04,3점,"""워라밸을 원한다면 나쁘지 않은 회사.""","본인 일만 다하면 눈치 안보고 칼퇴근 가능
주변 사람들이 나쁘지 않음
워라밸을 챙길 수 있음 (회사에서 일하는 것만으로 충분)
중소기업 평균 수준보다는 조금 높은 연봉","업무 분장이 공정하지 않음
기술 스택의 노후화로 최신 기술을 업무에서 배우기 힘듦
팀장 혹은 팀원간 소통의 부재
신입 때는 연봉이 매우 낮음
사람 귀한 줄 모름 (능력 있는 사람은 다 나갔다.)
복지 포인트 제외하고 복지는 있는지 모르겠음",신규 사업이 잘 됐으면 좋겠지만 타팀에도 인력 보충이 필요하다는 것을 알아줬으면
3.3,(주)파이오링크,2022. 04,3점,"""신입에서 시니어까지 잠깐 다니면 좋지만 오래 있으면 우물 안 개구리 되는 곳""","연차를 자유롭게 사용 가능
중소기업의 특유의 사람 무시하는 문화는 없음
사람들이 다들 착함
효율적으로 일하려고 함
매출이 점점 늘어나서 사내 분위기는 괜찮음","문서에 치중하며 문서를 중요하게 생각하지만 정작 문서는 다들 안봄
연봉이 낮음
외부에서 말하는 IT기업 처럼 많은 연봉을 주지 않음. 그냥 일반적인 기업 회사원과 비슷한 돈을 줌(개발자 포함)",기획을 좀 제대로 했으면...언제까지 이렇게 주먹구구식으로 기획하고 진행할지... 실무자들이 잘해줘서 돌아가는 기업 같음
3.3,(주)파이오링크,2022. 04,4점,"""매출도 오르고 앞으로 더 성장할 것 같은 기업입니다
팀바팀이지만 워라밸이 중요한 사람들에게 추천합니다
커리어나 급여가 중요하다면 비추입니다
보수적인 기업이라 요즘 핫한 it기업(ㄴㅋㄹㅋㅂ)같은 분위기를 기대하는 분들에게는 비추입니다""","연차사용이 자유롭고 할일만 다하면 칼퇴할 수 있습니다
매년 들어오는 복지포인트가 쏠쏠합니다
대체로 사람들이 좋습니다","기업규모에 비해서 급여가 적은편이고 상승률도 높지는 않습니다
업무방식이 보수적입니다(보고,문서작성 매우많음)
제조업종이다보니 재택근무는 꺼려하는 분위기입니다","직원들의 의견을 적극적으로 들어주면 좋겠습니다
잘하는 사람들을 데려오려면 회사 분위기에 변화가 필요합니다"
3.3,(주)파이오링크,2022. 04,1점,"""신입 OJT 교육 부재
누구하나 가르쳐주는 사람이 없이 알아서 해야함^^
중소기업이라는 걸 여실히 느낄 수 있는 체계 없는 운영
연봉 문제
복지 문제 등등
파견보내놓고 신경도 안씀ㅋㅋㅋㅋㅋ""","장점이라면 음 곰곰히 생각해봤는데 4시에 빵 주는 거 있음
근데 빨리 안가면 없음..","일 하는 사람만 한다는 것
일이 순조롭게 진행이 안됨.
업무 관계자들끼리도 소통이 안돼서 누구 말이 맞는지 두 번 확인해야함
문제생기면 자기는 모른다 시전

연봉이 너무 너무 낮다..

파견관제는 절대 하지마세요",말해서 뭐합니까 고쳐지지 않는데 30자 채우기 어렵네요
3.3,(주)파이오링크,2022. 04,3점,"""대체적으로 근무하는 사람들의 개발능력이나 수준이 준수한편이라 배우기는 좋은 직장""","장점이라고 해야할지는 모르겠지만, 거의 일하는 독서실 수준으로 정말 각자 자기가 해야할 일 그것만 조용히 하고 출/퇴근 함 (어떤 직원은 출퇴근 할때까지 말 한마디도 하지 않음) 그래서 조용히 일만 하는 스타일 에게는 추천 할 만함

개발직군은 대체적으로 개발 프로세스가 잘 구축되어 있음 (설계 - 개발 - 리뷰 - 반영 및 큐에이) 그래서 개발자는 오직 주어진 일에 대한 개발만 할 수 있는 점이 좋음

주어진 프로젝트 일정에 따라 달라지겠지만, 워라벨이 잘 갖춰진 회사임. 그리고 퇴근 후 직장 상사에 의한 회식 강요는 일절 없음 (재직 당시 회식 해본 횟수를 손으로 꼽을 정도로 적음)","위에서 장점이라고 적었던 '개발하는 독서실' 이라는 말이 오히려 단점이 될때가 있음. (서로 개발자들이 어떤 일을 하는지 공유 받기가 힘듬)

직원한테 많은 투자는 하지 않음, 역대 최고 실적이라고 말은 하지만 고작 매1회 지급되는 성과급이 만족스럽지 않음 (지극히 나의 개인적인 의견이 아니라 같이 다니던 동료들도 공감함. 돈은 그냥 적당히 벌면서 많이 배워갈 사람만 추천)

업무 시간 분위기가 딱딱하고, 정말 키보드 소리만 들릴정도로 조용한편이라 좀 답답함 (이건 개인차가 있을듯) 휴식은 정말 눈치껏 해야하며, 직원의 휴게 공간은 좀 공개적인 곳에 있어서 마음 편하게 휴식을 취하기 어려움","가끔 직원들간 리뷰/토의를 진행할 때 화내고 언성을 높혀 진행하시는 분이 있는데, 안 그러셨으면 좋겠음. 조용히 서로 논의 밑 조율을 할 수도 있는 문제인데, 왜그렇게 자기 주장에 대해서 그렇게 하는지 이해도 잘 안되고, 안그래도 무거운 회사 분위기를 한층 더 칙칙하게 해서 보기에 좋지 않음"
3.3,(주)파이오링크,2022. 03,4점,"""보안관제에 대하여, 최대한 좋고 빠르게 근무파견을 시켜줄 의향이 보입니다.""","복지몰, 연차를 윗사람 눈치 안보고 자유롭게 쓸 수 있음,
접근성이 좋은 본사의 위치, 야근수당, 기타 등등","접근이 좋긴 하지만, 7호선을 밑 1호선을 통하여 오는 사람은 출퇴근길에 매우 힘들 수 있다.
야근수당을 챙겨주긴 하지만 만족할 만큼의 금액은 되지 못한다.",신규 사업보단 인력 충원 및 유지에 더 신경을 써야 할 것 같다는 생각을 합니다.
3.3,(주)파이오링크,2022. 03,3점,"""특별히 좋은것 없는 일반적인 중소기업""","복지포인트, 연초에 인센티브, 부서마다 다르겠지만 워라벨 좋음","연봉 인상률이 적으며 일을 잘하든 못하든 연봉인상에 별 영향을 안줌, 직원 인사평가가 연봉에 별로 반영이 안된다는뜻","신규 사업추진에 적극적인 투자를 해줬으면함,"
3.3,(주)파이오링크,2022. 03,2점,"""무난하게 다니기 좋은 회사
워라밸 괜찮고 출퇴근 자율이라 좋아요""","눈치 안보고 연차사용 가능
8-10시 출퇴근
복지포인트제공","너무 부장급이 많고 아래 직원들은 거의없고
그게 최대 단점인것 같습니다","조금더 트랜드에 맞는 복지를 제공해주었으면 좋겠습니다
직원들의 목소리에 귀기울이는 회사가 되어줬으면 합니다"
