총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.1,경남제약(주),2022. 09,1점,"""점점 퇴보하는 회사
점점 돈 줄이는 회사
점점 적자나는 회사""","건물이 삐까뻔쩍 좋다
화장실에 비데가 있다
청소 아줌마가 있다
슈퍼카를 구경할수있다","월급을 2년동안 안 올려준다
인센티브를 말도 없이 안준다
윗사람과 소통이 안된다","연봉 2년동안 안올려줬는데 좀 올려주시죠
슈퍼카 1대만 팔아도 직원들 인센 주실 수 있을 듯요"
2.1,경남제약(주),2022. 08,5점,"""자유로운 분위기. 대부분 20-30대. 연차 자유롭게 사용가능해서 눈치 안 보고 사용할 수 있어서 좋았음. 업무도 비교적 평타""",사내구매로 저렴하게 구매할 수 있다. 레모나 무제한 제공. 주변 맛집 많음,자주 교체되는 경영진으로 인해서 어수선 함. 불안정 하기도 함.,명확한 업무 지시와 임원진의 잦은 교체는 더이상 안 했으면 함
2.1,경남제약(주),2022. 08,3점,"""나쁘지 않지만 발전이 없을 회사
몇몇 사람 때문에 물 흐리는 회사""","칼퇴 가능
몇몇 사람 제외 후 사람들 끼리 원만한 관계","너무 보수적임
보여주기 식이 강해 업무 처이 보다 보고서가 더 중요함","보여주기 식 보가는 실무 강화에 힘써주셨으면 합니다.
윗 사람을 채용할땨눈 정말 역량 있는 사람인지 판단후 채용 해주세요"
2.1,경남제약(주),2022. 08,2점,"""회사와 개인이 발전하기는 힘든 환경이지만 레모나 브랜드로 꾸준히 버티고 있는 회사""","연차의 경우 업무의 무리가 가지 않는한 자유롭게 사용할 수 있음.
팀마다 다른데 수평적인 팀이 있으며 굉장히 수직적인 팀도 있어서 여러가지 상황을 경험할 수 있음",각 부서에 전문가라고 할 수 있는 사람들이 없어서 일하기가 편하기는 하나 그만큼 개인의 발전을 이루기가 어렵고 회사가 잘되기 어려움 구조,회사를 위해서 본인들의 자리가 마땅하지 깊이 생각해보셨으면!!
2.1,경남제약(주),2022. 08,1점,"""의약에 관심없는 사장이 회사팔생각만하니 영업사원들 못버티고 도망가는곳""",거래처 괜찮고 거래처 잘 다듬어 놓은 영업사원한테는 좋을듯,"회사가 영업을 위해 해주는게 하나도 없음
그나마 일비 주유비 다 깎고 영업을 뭘로 해야하는지 도저히 이해와 상식이 통하지 않는 회사로 일반관리직이나 마케팅 부서는 어떨지 몰라도 영업사원들은 빨리다 그만둘수밖에없는 구조","바라는거 별로없음
어차피 회사팔생각으로 영업사원 호구로보는회사 애사심갖을 생각 1도 없기때문"
2.1,경남제약(주),2022. 06,2점,"""워라벨만 있는 회사, 편하게 다닐 수 있는 곳,
생각없이 다니기 좋다.""","워라벨 보장, 편하게 다닐 수 있다.
생각없이 다니기 좋다. 몇몇 사람들은 비교적 괜찮은 편이다.","배울거 없다, 복지 없다, 연봉 적다, 무능력한 사람들이 많다.
단점들로 가득하다",고생하는 직원들을 위해 연봉 향상 및 복지좀 개선해주세요
2.1,경남제약(주),2022. 06,1점,"""나는 2022년도에 살고 있는데 회사는 왜 80년대 인지 설명이 필요할꺼 같다""","연차, 자유로운 업무? 일하는 사람만 일하기? 그리고 발전은 없다",현재 품질이 엉망이 되고 있지 않는가? 그 누구도 나서지 않는다,투자가 절실히 필요하다.. 나중에 경남제약 이름만 남고 공장은 식품 이나 건식회사라 바뀔꺼같다
2.1,경남제약(주),2022. 06,1점,"""레모나가 유명한 회사 초봉은 짜게 측정됨(경력에 따라 다르겠지만 그냥 그럼)""",주5일출근 칼퇴근 잔업 없고 특근없고 딱 그거 뿐인듯 노조 있어서 연봉협상이나 상여금 복지쪽에서는 문제 없을거 같음...,그냥 같이 일하는 사람이 정신이상한 꼰대라 힘듬 이게 장난이 아니라 사람도 없어서 매일 그꼰대랑 마주쳐야됨 그냥 한공간에 계속 같이 있어서 진짜 정신적으로 힘듬....,직원들의 불만을 듣지만 말고 해결해줬으면 좋겠다
2.1,경남제약(주),2022. 06,2점,"""사모펀드 등에 계속 팔려다니느라 일관성있는 경영이 불가능한 회사""",전통이 있고 레모나라는 대형 브랜드가 있기 때문에 대외 활동에는 큰 힘이 된다.,"진원들의 로열티가 매우 낮고, 책임지는 사람없고, 책임감을 느끼는 사람도 없다.",경영진이 1년이면 교체되기 때문에 무엇을 바란다는 것이 부질없는 것 같다.
2.1,경남제약(주),2022. 06,1점,"""좋은기억이 별로 없습니다. 강남에 있는 제약사.
레모나로 유명한 회사 말고 잘몰라요""","레모나 많이먹어서 괴혈병 예방에 도움이 되었습니다.

감사합니다.",대붑분 워라벨 따지면서 칼퇴 잘하지만 특정 몇 직원들은 무한 야근 한다. 병걸리기 싫어서 퇴사함,"없습니다. 어차피 개선 안될걸 알고 있습니다.
화이팅하세요."
