총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.7,마이스코리아(주),2021. 12,2점,"""한때 업계에서 나름 괜찮았던 곳인데 행보가 아쉽습니다.""",한상대회를 오래도록 수주하며 운영하여 해당기관과의 관계도 좋고 그 기관을 비롯한 특정 몇몇 기관의 행사 위주로 운영,오래전이지만 회사를 제멋대로 휘젓는 악한 관리자를 통제 못함,특정 클라이언트를 벗어나 경쟁력 있는 회사로 거듭나시길 바랍니다.
2.7,마이스코리아(주),2021. 05,1점,"""현명한 사람이라면 남아있지 않을 회사. 리뷰 조작 믿지마시길.""",눈치안보고 연차 쓸 수 있는거... 행사 바빠지기 전엔 칼퇴 가능 그정도,"10년동안 같은 행사를 했다는데 노하우 없음. 사람 맨날 바뀌고 부족함. 실무는 그냥 주먹구구식이고 제안서도 제대로 쓸 줄 아는 사람 하나없어서 다른회사들 샘플이랑 비교만 하고 있음.

복지는 그냥 없음. 있던것도 다 없어졌다고 함.
화장실 한겨울에도 찬물만 나와서 정수기물로 양치해야되고. 사무실은 야근이 잦은데 6시 넘어가면 히터 중앙난방이라 꺼지고. 예전엔 개인 자리에 발열방석 두는 것도 눈치 줬다고 들음.

힘없는 경영진. 시키는 일만 하는 수동적인 실무자. 대학생 알바 수준의 직원만 남고, 능력있던 사람들은 다 나갔음.

회사이름만 마이스.코리아.
현실은 그냥 마이스.양재임

직원들 업무에 방향 잡아줄 사람 하나가 없음.
발주처가 갑질하는것도 아무도 못막아줌.
배운건 없는데 발주처 앞에서는 전문가인척해야됨.

그만큼 뭐가 너무 없어서 눈치보지않고 그냥 맘편히는 다닐 수있음.
그냥 시간 남아돌아서 대충 보내고 싶은 사람들은 입사 하시길.","리뷰 조작해서 별점 올린다고 뭐가 달라지나요.
그럴 시간에 돈을 좀더 주고 능력있는 직원을 영입하던. 발주처 영업을 하시던 더 생산적인 일에 몰두하시죠."
2.7,마이스코리아(주),2020. 11,4점,"""행사기획을 체계적으로 배울 수 있는 곳 / 직원분들이 좋다""","수평적인 문화여서 눈치보는 것이 덜하다.
일을 잘 배울 수 있다.","행사기획이다보니 야근이 있음
행사시즌에는 주말근무해야함","복지를 더 챙겨줬으면 좋겠다.
업무의 효율성"
2.7,마이스코리아(주),2020. 06,4점,"""정부나 공공기관에 주로 입찰하면서 재 수주율이 높음. 클라이언트 다양화가 필요함""",업무 성과에 대한 부담을 주지 않고 행사 전후외에는 야근하는 분위기는 아님. 자신의 업무만 잘 수행하면 뭐라하지 않음,같은 행사를 재 수주하여 진행하는 부분은 좋은점도 있지만 직원 입장에서는 다양한 클라이언트와 다양한 분야의 행사 노하우를 쌓는데 한계가 있음. 개인주의적인 성향으로 업무 외적으로 친하기 어려움,신규 사업을 발굴하여 입찰 시장 외 분야를 다양화하고 직원 능력 개발에도 투자했음 좋겠음
2.7,마이스코리아(주),2020. 06,5점,"""사장님은 권위적이지 않은데 중간관리자가 꼰대""",사장님이 솔선수범을 많이 하세여 직접 청소도 하시고 작을 일도 샘플 시범을 보이심,사장님 오른팔 노릇 하는 사람이 이상함. 다양한 사람을 만나고 귀기울이셔야 할텐데.,다양한 사람을 뽑고 다양한 흐름을 만들어 가세요
2.7,마이스코리아(주),2020. 04,1점,"""pco업체이며 몇개의 주요기관 행사를 주로진행하며 행사때마다 인력난에허덕임""","행사때 바쁘지않으면 칼퇴보장
점심시간 자유스러움
눈치보일일이없음","일을 제대로 배울 상사의부재
업무체계가없음
일은 알아서 처리해야함
직원복지가없음","제대로된 경력직이나 신입직을 구해서 발전해나가길
제대로된 복지가없으므로 복지개선이 필요해보임"
2.7,마이스코리아(주),2020. 04,4점,"""화기애애한 분위기에서 근무할 수 있는곳. 자율적인 분위기에서 자신의 역량을 키울 수 있는곳이라 생각됨""",직원 수가 많지는 않지만 권위적이지 않고 업무 분장이 확실함. 행사가 임박할 때를 빼고는 야근하는 경우가 많지 않음.,인원이 많지 않아서 가족같은 분위기라 관계가 틀어지면 근무하는데 어색함. 복지나 근무환경은 평범한 수준임.,대행 사업만 하지말고 자체 행사를 기획해서 했으면 좋겠음. 직원들과 대화를 많이 했음 좋겠음. 직원개발에 회사가 투자해주면 좋겠음.
2.7,마이스코리아(주),2019. 11,4점,"""한 분야의 행사기획뿐만 아니라 다양한 분야를 종합적으로 기획해볼 수 있는 곳이다.""","수평적인 사무실 분위기, 업무적인 전문성을 키울 수 있다.",행사기획대행사이기 때문에 야근이 잦음. 체력적으로 힘들 수 있음,중식제공을 해 주었으면 좋겠다. 자기계발비 같은 복지를 해 주었으면 좋겠다.
2.7,마이스코리아(주),2019. 09,3점,"""칼퇴를 할수 있으나 일이 많을때는 심하게 야근을 함""","꼰대 눈치를 안봐도 되고 비교적 자유로운 분위기였고, 복장자유임.","복지가 적다. 같은일만 한다. 대표는 영업력 부족, 관리팀은 가족경영, 어떤상사는 깐깐, 다른 상사는 피드백 없음, 중간급은 개인적이고, 사원들이 일하기 힘듬.",일이 힘든만큼 복지가 많았으면 좋았을것 같음.
2.7,마이스코리아(주),2019. 09,1점,"""컨벤션 업계를 경험하고 싶은데 다른 곳에서 다 탈락하면 그때 한번 고려하고 다녀볼 수 있는 회사(그래도 아니다 생각들면 빨리 그만둘 것)""","흠....신입으로 들어간다면 직속상사 정도와는 잘 어울리며 일할 수 있음.
가끔 칼퇴할 수 있음","체계 없음. 야근수당 없음. 쥐꼬리만한 주말수당(주말수당이라고하기도 민망함), 회사자체내로는 회식이 많지는 않으나 주최측과의 회식이 있으며 절대적 필참, 여름휴가도 본인 연차로 사용해야함, 중간직급 이상의 사람들은 이미 오랜시간 같이 일한 고인물, 복지는 일도 없으며 복지를 추가할 척만 자주하고 절대 복지 안만들어줌",본인의 업무에 맞는 적합한 연봉과 복지를 제공했으면...
2.7,마이스코리아(주),2018. 11,2점,"""아르바이트로 가볍게 경험하고 지나갈 수 있는 곳""","모르는 부분 잘 가르쳐 줌
알바비 빼먹지 않고 잘 들어옴",회사에 인원이 적고 돈을 안쓰려고 하는게 눈에 보임. 적은 사람들이 많은 일을 하고 있음.,직원들의 불만을 듣지만 말고 해결책을 제공해줬으면.
2.7,마이스코리아(주),2018. 08,4점,"""다양한 행사를 기획함으로 여러가지 분야를 배울 수 있다.""","수평적인 사무실 분위기이다.
야근 식대를 지원해준다.
다양한 행사를 기획함으로서 여러가지 분야를 배울 수 있다.","역동적인 분위기는 아니다.
복지가 조금 부족한 것 같다.",복지관련해 지원을 더 해주었으면 좋겠다.
2.7,마이스코리아(주),2017. 02,1점,"""단기간에 여러분야를 배울 수 있음. 짧게 지나가기엔 좋은 회사""",단기간에 여러 분야를 배울 수 있음. 주말수당있음. 강남으로 놀러가기 편함,하지만 그 단기간이 너무 짧음. 사람 미침. 연봉도 적음,3명이 할 일을 2명이서 같이 한다고 힘들게 야근하는데 결국은 그 일 1명이서 다 하게 되는게 말이 됩니까....
2.7,마이스코리아(주),2016. 12,1점,"""개선해야할 점이 많은 회사, 개선하지 않으면 절대 성장할 수 없을 것""","주말수당을 준다.
대표님이 직원의 의견이나 불만이 있을 경우 귀담아 잘 들어주신다. 성격 좋으심.
야근과 직급보다 많은 업무를 요구하지만, 그걸 잘 버티면 단기간내에 배울 수 있는 것은 매우 많다. 단시간내에 많이 배우고 싶은 신입이라면 디딤돌 회사로 좋을 수도.
근처에 맛있는 카페가 정말 많다.","직원이 너무 없다. 경력직이 퇴사했으면 경력직을 채용해야하는데, 신입을 채용해서 중간계급 직원은 거의 없다고 봐야한다.
높은 직급들이 회사의 문제점이나 업계 내 위치를 정확히 인지하지 못한다.
적은 직원수에도 불구하고 회사 자체보다 사람에 대한 스트레스가 더 많은 곳
회사 건물환경이 너무 별로다. 건물 중앙난방이라 겨울에 너무 춥다. 화장실 1년 내내 찬물만 나온다.","리더십이 부족하다. 직원들을 화합시키고 이끌어 갈 수 있는 능력이 아무도 없음. 동종업계 내 타회사 경험이 많은 중간직급과 관리직급 사람을 새로 채용하여, 현 회사의 문제점이 무엇인지 정확히 알려고 하는게 중요하다. 지금처럼 개선없이 계속 유지한다면, 아래 직원들은 계속 퇴사하고, 새로운 직원은 뽑히지 않을 것."
2.7,마이스코리아(주),2016. 06,3점,"""업무 체계가 다소 효율적이나 인원이 적다.""",업무체계가 효율적으로 잘 되어있다. 단 기간에 배우기에는 좋은 곳인 것 같다.,한상대회라는 한 행사를 주축으로만 가고 있다. 다른 여러 행사들을 많이 해보았으면 좋겠다.,채용의 기회를 늘려주었으면 한다. 홈페이지를 업데이트하였으면 좋겠다.
