총점,회사,날짜,별점,요약,장점,단점,경영진에게
1.9,메디앙스(주),2022. 09,2점,"""그냥 혼자서 끙끙 앓을 수 있슴
워라밸은 어느 정도 가능
일이 힘든것보다 시스템이 힘이 듬""","워라밸이 가능
업무 시간에 커피사러 가도 됨
부바부로 업무량이 많지 않음","시스템 부재
중간급 부재로 업무 연속성 떨어짐
연봉은 알아보면 알 것임",시스템의 개선이 이뤄진다면 그나마 개선될 여지는 있다고 봄
1.9,메디앙스(주),2022. 09,1점,"""외관과 이름과 다르게 속은 체계적이지않게 굴러가는
예전의 이름잇는보령은 없어진지오래""",칼퇴할수잇고 연차자유롭고 복장자율화 깨끈한 근무환경 역에서가까운편,"인계자부족 체계가없고 일하는사람만하는것같은 분위기
정돈되지않은 듯한 분위기",퇴사자가많은것은 늘이유가있는법 그이유를 알려고 노력해봐야할것같습니다
1.9,메디앙스(주),2022. 08,1점,"""오너 2세가 무능력하면 회사가 이렇게 빨리 기울어질수 있다는걸 보여주는 기업""",편하다. 연차 쓰기 쉽다. 딱 한 사람한테만 잘보이면 됨.,회사 성장동력이 없음. 상황 파악 안되는 오너와 아무생각없는 직원들.,힘내세요. 그래도 삼대는 간다고 하는데 ㅋㅋㅋㅋㅋㅋㅋㅋ
1.9,메디앙스(주),2022. 08,1점,"""무능한 임원들이 말아먹는 회사 답이 없는 회사 아무도 다니고 싶지 않은 회사""",사람들이 매우 착하고 친절하다 나머지 장점은 없다고 봐야함,너무 많음 임원들만 연봉 엄청 올리고 직원들은 쥐꼬리만큼 올려줌 조직구성이 답이 없음,다 사퇴하고 아무것도 안했으면 좋겠고 모기업으로 들어가거나 매각 했으면 헙니다.
1.9,메디앙스(주),2022. 08,2점,"""먼저 떠나는 사람이 승자인 회사임. 버티는 사람들만 계속해서 힘들어지는 회사""",케바케지만 대부분 워라밸이 잘 지켜짐. 그리고 조직에 꼭 하나씩 있다는 빌런이 별로 없었던 것 같음,"발전없고 수직적, 비효율적 업무의 연속. 내부 계열 간 돌려막기식 매출이 있었던 것으로 기억",시대 변화에 맞게 변화해야 한다. 퇴사자가 많은 이유에 대해 꼭 생각하고 개선해나가야 할 것 같다
1.9,메디앙스(주),2022. 08,1점,"""대우는커녕 직원을 도구 호구 로 본다고해도 무방함 급여체계도 없어 현재도 충원은안되고 줄퇴사중인걸로 알고있음""",장점이랄게 있나 싶음 그냥 아무생각없이 다니기좋음 꿈이 없는사람들에게 추천,"점심안줌,급여체계가 아에 없어 기존직원 경력이 훨씬 많은대도 불구하고 경력이 한참 낮은 신규 직원이 급여가 더 많음 어떤팀은 팀장보다 팀원이 연봉 높다는 설도 있음",신규직원도 중요하다만 기존 직원들도 중요하다는걸 좀 아세요 백날 이야기해봤자 왜퇴사하는지 모르겠지만
1.9,메디앙스(주),2022. 08,1점,"""발전가능성은 낮으나 워라벨이 괜찮은 곳""","연차사용이 나름 자유롭고 칼퇴도 가능함.
서울에 있다? 라떼시절의 명성이 있어서 지금이 어떻든 인지도가 있다?? 커리어에 욕심없이 그럭저럭하게 돈벌러만 다니고 싶은 사람들에겐 나쁘지 않은 선택",식대가 연봉에 포함되어 있으며 회사가 그걸 연봉을 인상해 준것으로 인지하고 있음. 윗분들 입김에 모든게 좌지우지 되며 때문에 오늘은 이랬다가 내일은 왜 이렇게 했냐고 하는경우도 수두룩함. 꼭두각시 실무진. 그런데 실무진도 개선의지 없어보임. 이러저러한 총체적 난국으로 커리어에 해가될것 같은 예감이 자꾸만…,각 팀이 있는 이유를 생각해 줬으면 좋겠다.
1.9,메디앙스(주),2022. 08,1점,"""자유로운 업무환경, 그러나 자유롭지 못한 업무체계""","워라벨, 연차등을 비교적 편하게 쓸수 있으며 거의 전직원이 칼퇴근 할 수 있음","의사결정의 장기화를 통한 망각, 상식적이지 않은 목표설정, 업무 히스트로가 없음","회사의 구성원들을 가장 우선가치로 생각하길, 사람이 우선이다??"
1.9,메디앙스(주),2022. 07,2점,"""조용한데 요상한 점이 많은, 젠틀해보이지만 그렇지 않은 것 같기도. 워라밸은 가능하고 대체적으로 조용한 분위기의 회사.""",칼퇴/연차/육휴에 대한 눈치 또는 압박 없음(팀장 제외),"자유로운 회사를 표방하나 관료적인 체계 고수
부서/브랜드별 굉장히 폐쇄적인 분위기",직원들에대한 포상을 굉장히 아까워하는듯한 태도가 정말로 아쉽
1.9,메디앙스(주),2022. 07,1점,"""여러군데 합격하여 다른 곳과 고민중이라면 다른 곳을 추천합니다.""","고정적 수입원이 있어 월급은 밀리지 않을 것 같습니다
복지가 없는데 그나마 육아휴직은 가능합니다","직원 복지가 전무하다 싶을 정도로 없다
홈폐이지에 나오는 복지는 없는 것이 많다
퇴사자가 많아서 어수선하다",왜 다 떠나가는지를 생각하시고 경영은 전문 경영인에게 맡기셨으면
