총점,회사,날짜,별점,요약,장점,단점,경영진에게
3.6,(주)액션스퀘어,2022. 09,5점,"""지속적으로 투자를 받고 있고 기대해볼만한 프로젝트 제작중인 발전성 있는 회사""","1. 1일 식비 1만원 월 일시 지급으로 식비 부담감이 적다
2. 선릉역 역세권 위치로 출퇴근이 편함
3. 최고급 장비를 지원해줌
4. 자율출퇴근제 적용으로 인한 근무 시간 조절 편이
5. 이것저것 누릴수 있는 할인이나 복지가 많다
6. 화장실 뷰(?)가 끝내줌","1. 포괄임금제
2. 개발일정이 다소 타이트하고 생각보다 쉴 수 있는 시간이 적다
3. 고층에 위치해 있어 엘레베이터 이용이 불편",계속 성장하고 발전해나가는 회사가 되었으면 좋겠습니다
3.6,(주)액션스퀘어,2022. 08,4점,"""아트팀에 대한 대우가 굉장히 좋은 회사에요
업무에 필요한 소프트웨어 지원이나 장비 지원이 굉장히 좋아요""","서울 2호선(선릉역)과 인접한 위치
급여 외 식비 일일 1만원 월 초에 일괄지급
새장비지급
워라벨이 좋음
다양한 복지 혜택","20층이라 출퇴근이 구 넷마블 사옥마냥 빡센편
휴게공간이 있긴 하지만 안마의자나 수면실같은거 없음","앞으로도 계속 잘 되었으면 좋겠어요
휴게공간이 늘어나고 자리간 간격이 늘어났으면 좋겠습니다"
3.6,(주)액션스퀘어,2022. 08,4점,"""평범한 회사입니다. 빌런이 없다는게 가장 큰 장점. 장비 만족도는 최상. 급여만 높았으면 더 좋았을텐데""","빌런이 없음
고성능 새장비 줌(3060)
서울임
워라벨 만족","급여 테이블이 큰곳과 비교하면 낮음
사무실이 좀 더움
책상이 좀 좁음","사무실을 좀 더 넓게 쓸 수 있는 환경이 되었으면 좋겠습니다.
엘레베이터가 너무 빡빡해요"
3.6,(주)액션스퀘어,2022. 07,3점,"""평범하게 다니기 좋은 회사입니다. 다른 리뷰처럼 새 컴퓨터랑 새 장비들 주는점이 좋습니다""","선릉역과 가까워서 출퇴근이 편리하다
개인마다 새 장비를 준다.
자율출근제로 일정 조율이 자유롭다
워라벨이 매우 좋은편
1일 식비 1만원이라 밥값 부담이 많이 낮은편(식당도 많다)
이것저것 자잘한 복지들이 많다","아직 돈을 버는 회사는 아님
고층 위치로 엘레베이터가 많이 막힘
사무실이 비좁은편",킹덤 잘되면 회사가 더 잘될거라 믿습니다. 액션 화이팅
3.6,(주)액션스퀘어,2022. 07,4점,"""아쉬운점이 없는건 아니지만 대체적으로 보통 이상은 해주는 회사이고, 깜짝 이벤트(사진촬영+회식비 지원 이벤트, 아이스크림 냉장고 제공 이벤트)가 많은 회사입니다. 신규 입사시 깨끗하고 좋은 새장비를 지원해줘서 우대해준다는 느낌을 많이 받아요""","장비 지급 부분에 있어서는 지금까지 다닌 회사 중에서 가장 만족스럽습니다. 첫 입사시 새로운 컴퓨터와 와콤을 주는 회사는 여기가 처음이었어요(보통은 쓰던거 주잖아요..) 식당이 있지는 않지만 하루 식대 1만원씩 일괄지급에 이용할 수 있는 식당도 굉장히 많아서 돈 모으기가 편리합니다. 현금성 복지가 별도로 있는건 아니고 년 1회 건강검진, 헬스장 할인, 식권대장 식비 지원, 강의 구매, 도서지원 같은 형식으로 제공되고 있어요
야근은 없다... 라고 해도 될것같습니다!!",잦은 회의.. 출퇴근과 점심시간때 시간 잘못 걸리면 10분 넘게 소요되는 복잡한 엘레베이터... 장비를 놓고 쓰기에는 조금 작은 책상...,투자도 많이 받고 게임도 성공해서 더 좋은 회사로 성장했으면 좋겠어요..!!
3.6,(주)액션스퀘어,2022. 09,5점,"""지속적으로 투자를 받고 있고 기대해볼만한 프로젝트 제작중인 발전성 있는 회사""","1. 1일 식비 1만원 월 일시 지급으로 식비 부담감이 적다
2. 선릉역 역세권 위치로 출퇴근이 편함
3. 최고급 장비를 지원해줌
4. 자율출퇴근제 적용으로 인한 근무 시간 조절 편이
5. 이것저것 누릴수 있는 할인이나 복지가 많다
6. 화장실 뷰(?)가 끝내줌","1. 포괄임금제
2. 개발일정이 다소 타이트하고 생각보다 쉴 수 있는 시간이 적다
3. 고층에 위치해 있어 엘레베이터 이용이 불편",계속 성장하고 발전해나가는 회사가 되었으면 좋겠습니다
3.6,(주)액션스퀘어,2022. 08,4점,"""아트팀에 대한 대우가 굉장히 좋은 회사에요
업무에 필요한 소프트웨어 지원이나 장비 지원이 굉장히 좋아요""","서울 2호선(선릉역)과 인접한 위치
급여 외 식비 일일 1만원 월 초에 일괄지급
새장비지급
워라벨이 좋음
다양한 복지 혜택","20층이라 출퇴근이 구 넷마블 사옥마냥 빡센편
휴게공간이 있긴 하지만 안마의자나 수면실같은거 없음","앞으로도 계속 잘 되었으면 좋겠어요
휴게공간이 늘어나고 자리간 간격이 늘어났으면 좋겠습니다"
3.6,(주)액션스퀘어,2022. 08,4점,"""평범한 회사입니다. 빌런이 없다는게 가장 큰 장점. 장비 만족도는 최상. 급여만 높았으면 더 좋았을텐데""","빌런이 없음
고성능 새장비 줌(3060)
서울임
워라벨 만족","급여 테이블이 큰곳과 비교하면 낮음
사무실이 좀 더움
책상이 좀 좁음","사무실을 좀 더 넓게 쓸 수 있는 환경이 되었으면 좋겠습니다.
엘레베이터가 너무 빡빡해요"
3.6,(주)액션스퀘어,2022. 07,3점,"""평범하게 다니기 좋은 회사입니다. 다른 리뷰처럼 새 컴퓨터랑 새 장비들 주는점이 좋습니다""","선릉역과 가까워서 출퇴근이 편리하다
개인마다 새 장비를 준다.
자율출근제로 일정 조율이 자유롭다
워라벨이 매우 좋은편
1일 식비 1만원이라 밥값 부담이 많이 낮은편(식당도 많다)
이것저것 자잘한 복지들이 많다","아직 돈을 버는 회사는 아님
고층 위치로 엘레베이터가 많이 막힘
사무실이 비좁은편",킹덤 잘되면 회사가 더 잘될거라 믿습니다. 액션 화이팅
3.6,(주)액션스퀘어,2022. 07,4점,"""아쉬운점이 없는건 아니지만 대체적으로 보통 이상은 해주는 회사이고, 깜짝 이벤트(사진촬영+회식비 지원 이벤트, 아이스크림 냉장고 제공 이벤트)가 많은 회사입니다. 신규 입사시 깨끗하고 좋은 새장비를 지원해줘서 우대해준다는 느낌을 많이 받아요""","장비 지급 부분에 있어서는 지금까지 다닌 회사 중에서 가장 만족스럽습니다. 첫 입사시 새로운 컴퓨터와 와콤을 주는 회사는 여기가 처음이었어요(보통은 쓰던거 주잖아요..) 식당이 있지는 않지만 하루 식대 1만원씩 일괄지급에 이용할 수 있는 식당도 굉장히 많아서 돈 모으기가 편리합니다. 현금성 복지가 별도로 있는건 아니고 년 1회 건강검진, 헬스장 할인, 식권대장 식비 지원, 강의 구매, 도서지원 같은 형식으로 제공되고 있어요
야근은 없다... 라고 해도 될것같습니다!!",잦은 회의.. 출퇴근과 점심시간때 시간 잘못 걸리면 10분 넘게 소요되는 복잡한 엘레베이터... 장비를 놓고 쓰기에는 조금 작은 책상...,투자도 많이 받고 게임도 성공해서 더 좋은 회사로 성장했으면 좋겠어요..!!
