총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.4,씨씨에스충북방송(주),2022. 05,4점,"""경영본부 사람들은 좋아요 그렇지만 사업본부 사람은 잘 모르겠습니다.""",연차사용 자유롭고 복지가 안정적이에요. 중소기업임에도 불구하고 안정적입니다.,연봉이 낮아요. 상여도 총 100만원 정도로 많은건 아니지만 적지도 않습니다.,지금처럼 아래 직원들의 목소리에 귀기울여 주세요.
2.4,씨씨에스충북방송(주),2022. 05,1점,"""꼰대들만 모인회사 텃세 견딜수있으면 가세요.""","월급은 적지만 광고나 홍보비 등으로 인센티브가 있음.
추석이나 설날 전날 일찍 끝남.","내 업무말고 다양한 업무들이 있음 일 너무 많음.
사무실에서 욕하면서 소리지르는게 일상인 회사 매일 화내는 소리가 들리고, 그 대상이 내가 될수있음.
도와주는 사람은 없고 사무실은 경직되있고 가기싫은 회사","월급좀 올려주시고 신입오면 좀 챙겨주셨으면 좋겠습니다.
일을 제대로 배우지도 못했는데 바로 업무 투입하고 욕하고 이러시는데 너무 힘듭니다."
2.4,씨씨에스충북방송(주),2021. 12,3점,"""워라벨은 좋은 곳. 개인이 성장할 수 있는 곳은 아님. 별다른 혁신과 변화 없이 항상 같은 루틴대로 흘러가는 회사.""",많은 스트레스 없이 다닐 수 있음. 윗분들이 바라는 것이 크게 많이 없기 때문에 하던대로만 잘 하면 됨. 별다른 생각 없이 다니기에 좋음.,"고인물들이 많음. 그래서 신입들은 더 좋은 자리를 찾아서 1~2년 경력 쌓고 이직하는 경우 많음. 규모가 작고, 작은 방송국들이 다 없어지는 추세라서 전망이 밝지는 않은듯.",다른 사업으로 규모를 크게 만들 계획보다는 방송에 더 초점을 맞춰서 키워나가면 좋을 것 같음. 자꾸 다른 신규 사업으로 가지를 넓혀가는 부분이 아쉬움.
2.4,씨씨에스충북방송(주),2021. 12,3점,"""대체적으로 좋습니다 초년생으로 뭔가를 배우고 싶다면 추천드립니다""",전문성을 기를 수 있으며 일이 많지만 많은 걸 배울 수 있는 것 같음,선후배 관계가 너무 세고 승진의 기회가 얼마 없음 연봉이 하는 일에 비해 적음,합리적인 복지를 직원들을 위해 더 노력해주시면 좋겠습니다
2.4,씨씨에스충북방송(주),2021. 11,5점,"""아주좋은기업 지역적인 기업으로 일을 배우기좋습니다
졸업생들에게 아주많은 기회를제공""","미래지향적.비젼이있는회사임 앞으로도 다시 일하더라도 이기업에 일하고싶습니다
직원들한데 차별이업어요","너무 고인물이많음 작업량이많아요..건물이 너무 노후되었어요
좀더 직원들에게 복지를 해줫어면합니다",시설투자 복지향샹 직원들에게 승진에 대해 좀더 해줫어면합니다
2.4,씨씨에스충북방송(주),2021. 07,3점,"""체계가 엉망인곳/당신의 커리어를 쌓고싶다면 그만두어야 하는곳""",수평적구조/체계가 없어서 근무하기에 타 콜센터에 비해 강도가 낮음/쉬는시간 자유로움,체계가 없어서 그때그때 손바닥 뒤집듯 바뀌는 규율과 업무/한동안 주간팀이 23시까지 근무한적도 있었다.,지금은 결국 망해서 경영진이 있을지는 모르겠지만 어르신들이 그만둬야 이곳은 다시 성공할 듯 싶다.
2.4,씨씨에스충북방송(주),2021. 06,1점,"""방송국이라는 네임에는 턱없이 부족하고 일의 체계가 없음""",주차장이 근처에 있고 건물이 쾌적한 편이라서 근무환경은 조흔편,구내식당없어서 사먹으러 나가야하는 것이 불편하고 낙하산들 대거 포진,복지문화가 전혀없고 전문성없는 낙하산 인사는 더 이상 하지 않길
2.4,씨씨에스충북방송(주),2021. 02,2점,"""지역 방송국의 기반으로 생방송, 뉴스, 컨텐츠 촬영을 경험할 수 있지만 지역 방송국의 한계를 넘기 어려운 곳""",방송 컨텐츠의 기획단계부터 송출단계까지 다 보고 겪을 수 있기 때문에 방송에 대한 전반적인 이해를 할 수 있다. 생방송 또한 직접 세팅과 중계차 카메라까지 직접 경험해 볼 수 있다. 종종 야근을 하긴 하지만 방송이라는 직업을 생각한다면 야근이 정말 적은 편이다.,컨텐츠를 제작함에 있어 토픽은 바뀌지만 지역방송 컨텐츠의 틀을 벗어나지 못해 소위 재미있는 영상을 만들기가 어렵다,제작비와 시간적인 한계가 있음은 이해하지만 한 컨텐츠만큼은 유튜브에서라도 이슈가 될 수 있는 재미있는 영상을 만들었으면 합니다.
2.4,씨씨에스충북방송(주),2021. 02,2점,"""사양산업으로 미래가 걱정되는 회사.
구성원들이 매너리즘으로 발전이 없는 회사.""",자유로운 연차사용 가능 / 업무난이도 낮음 / 상사에게 보고 후 업무시간 외출 가능,자기개발이 어려움 / 객관적인 연봉책정이 되지 않음 / 경영진 무책임한 경영,회사의 앞 날을 위하여 고민을 했으면 함
2.4,씨씨에스충북방송(주),2020. 07,1점,"""아무런 미래도 없는 기업이었고, 사원 알기를 소모품으로 아는 최악의 기업이었습니다.""",장점이 있다고 하기도 힘든 기업이지만 그래도 과거에는 지역 방송국으로서 기능을 했다고 하더라고요. 그리고 방송국에 다닌다고 말할 수 있다는 타이틀이 그나마 장점이랄까요...,아무리 부조리한 일도 윗선이 바뀌지 않는 한 절대 개선되지 않습니다. 절이 싫으면 중이 떠나라는 말이 딱 맞는 곳입니다.,"본부장급을 잘라야 뭐가 되도 되지, 이렇게 가서는 그 나물에 그 밥입니다."
2.4,씨씨에스충북방송(주),2019. 12,1점,"""발전가능성이 매우 낮으며 각 부서 치프들의 능력이 현저히 낮음. 승진도 거의 불가능.""",지역밀착형이라는 좋은 인프라를 가지고 있음. 시청자들의 피드백이 좋음.,그 좋은 인프라를 살리지 못하고 방만경영과 보신주의 속에서 직원들의 고혈을 착취.,합리적인 연봉과 복지로 지역밀착형 기업으로 자리잡을 수 있길 기원합니다.
2.4,씨씨에스충북방송(주),2019. 11,1점,"""영업중신 너무 힘들어요 급여 박봉 주말 필수출근 진짜 이건아니라고봄""",기업의 장점 자기집 TV꽁으로 볼수있음 인터넷도 무료이용라능,월급짜고 일도힘들고 진짜 스트래스 너무 많이 받음 영업중심,월급좀 많이 주세요 일한만큼 월급을 안주니깐 사람들이 다나가요
2.4,씨씨에스충북방송(주),2019. 01,2점,"""지역 케이블 방송으로 가입자 유치 및 방송 송출, 인터넷 서비스를 한는 회사입니다""",기업 언론매체로서의 위치로 지역에서 네임밍이 있고 코스닥도 등록되어 있어 지역에서의 급여체계는 되어 있음,조직도 지역성이 강해 선후배로 연결되어 새로운 직원이 적응하기가 어렵고 부서간 업무량 차이가 남,부서간 완력 싸움이 크다 조직의 하나된 목표를 위해 나아갔으면 한다
2.4,씨씨에스충북방송(주),2018. 11,2점,"""이기업은 기업대표자의 인품이 좋지 않아 가지 않는 것이 좋다. 여러 법적 문제와 소송으로 얽혀있음.""",충북지역의 케이블수신료를 받고 있어 기본적인 매출이 잘나오고 많은 사람들에게 알려져 있음,비효율적인 보고 시스템과 꽉 막혀있는 조직문화로 인해 표현의 자유가 없고 승진의 기회가 적어 오래 일하기 힘든 방송사,말단직원이라도 좀 더 사람답게 인격적으로 따듯하게 대해 줬으면 합니다. 개인의 욕심보다는 회사의 가치를 성장시키는 것에 초점을 뒀으면 좋겠습니다.
2.4,씨씨에스충북방송(주),2018. 10,5점,"""일을 잘한다면 대우를 받으면 일할 수 있는 곳입니다 ㅇ""",업무분담이 체계적이라 자신의 전문분야를 전문적으로 할 수 잇음,출근에 비해.......퇴근은 언제할 수 잇을 지 잘 모르는 곳,직원들의 불만만 듣지 마시고 해결을 해주시길 바랍니다 ㅠㅠ
2.4,씨씨에스충북방송(주),2018. 07,2점,"""열정과 동기를 갖기 어렵지만 원하는 영상을 만들 수 있는 회사""","입봉의 개념이 아니라, 금방 본인이 원하는 영상을 연출해서 제작할 수 있음.",시청률이 없는 케이블이다 보니 영상물을 만드는 데 동기가 약함,케이블을 시청률이 나오기 힘드니 유튜브같은 플랫폼도 고려해봐야 할 것 같습니다
날 괴롭힌 삭제된 댓글,씨씨에스충북방송(주),충북,,,,,
날 괴롭힌 삭제된 댓글,씨씨에스충북방송(주),충북,,,,,
날 괴롭힌 삭제된 댓글,씨씨에스충북방송(주),충북,,,,,
날 괴롭힌 삭제된 댓글,씨씨에스충북방송(주),충북,,,,,
