총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.4,넥센테크(주),2021. 10,2점,"""탄탄하던 회사가 경영진의 범죄로 사실상 올 스탑인 상태라 마음이 아픔 아직 그 일련의 사태에서 회복하지 못한듯함.""",피인수 전 사실 업무량도 많지 않고 조용히 회사 다니고 싶다면 큰 압박 받지 않고 다닐 수 있던 회사였음. 사실 내일 당장 어떻게 될지 경영진 아니라면 잘 모르고 불안한 상태임.,말했다시피 일과 라이프 밸런스가 좋았던 회사. 하지만 특별히 보유한 기술력도 없고 앞으로 어떠한 식으로 돌파구를 찾을지 모름.,결자해지라고 인수와 함께 경영권을 쥐었으면 회사를 정리하던 의지를 보이던 변화가 시급함.
2.4,넥센테크(주),2021. 10,3점,"""신입은 약간추천. 경력은 비추.
신입으로 경력 쌓기 좋음.""","연차 눈치없이 사용 가능. 퇴근시간 칼퇴 가능.
업무 난이도 높지않음.",전부서네 고인물이 많아서 짬에서 밀리거나 말빨에서 지면 다해야됨.,"신규프로젝트도 중요하지만 현재인원 관리도 중요함.
중간직급이 비었음"
2.4,넥센테크(주),2021. 06,2점,"""워라벨만 괜찮은 회사, 비전은 불투명한 상황""","워라벨 준수(연차사용 프리), 꼰대문화 많이 사라짐, 근무강도 케바케","경영진 소통 없음, 비전 제시 없음, 2년째 임금동결, 라임 사태로 인한 주식 상폐, 국내 프로젝트 수주에 어려움, 출퇴근 접근성 아주 불편","예전부터 그랬고 글로벌 프로젝트를 수행하기에 기술 및 인원에 대한 투자가 전혀 부족합니다.
회사의 미래를 위해서라도 당장은 성과가 없더라도 장기적으로 바라보고 투자했으면 좋겠습니다."
2.4,넥센테크(주),2021. 06,3점,"""적당한 업무 강도, 적당한 급여 뭐든지 적당합니다.
단지..회사가 불안한 부분은 있지만 망하지 않는다면 평생 직장하긴 나쁘지 않은거 같습니다.""","발전가능성은 전혀 없습니다만...
다만....뭐든지 적당히 하고 적당히 급여 받으며 적당한 업무량에 만족하신다면 이만한곳은 없다고 봅니다.","회사의 비전이 없습니다..
내가 지쳐 퇴사하기보단 회사가 먼저 망할수도 있지 않을까 라는 불안감은 있습니다.","공격적인 영업이 필요합니다.
현재 하고있는 사업으로는 미래가 불투명합니다."
2.4,넥센테크(주),2021. 04,3점,"""회사가 대표가 계속 바뀌어서 불안했다.""",대표가 바뀌면서 복지가 좋아졌고 특근비를 잘챙겨주고 퇴근시간이 정확하고 좋았다.,구조조정이 계속되어 심장이 두근두근했고 바뀌는 대표에 따라 복지가 달라졌다 좋았다 나빴다,경기가 좋아져서 회사가 안정이 되었으면 좋겠고 월급이 많았으면 좋겠다
2.4,넥센테크(주),2021. 04,2점,"""예전보다 직원수가 많이감소하고 힘든시기입니다
근무 분위기는 좋습니다""","급여는 밀리지않고 잘나옵니다
걱정없이 근무할만합니다
장점은 빠른퇴근","직원간의 직급차이가 많이나는편입니다
어느정도 생각은 하셔아할거같네요","직원들의 복지에 힘써줬으면 좋겠습니다
무엇을 원하는지 모르는거같음"
2.4,넥센테크(주),2020. 10,1점,"""눈치보고 다른부서에게 일돌리고 나무라능 스타일""",점심 저녁나옴 그이외에 다른복지는 없음 추석 설날 선물세트 나옴,청소부 조차 없는 환경 퇴근하는데 눈치주는 꼰대 스타일,망할꺼면 빨리 망하는게 직원들한테 좋을듯
2.4,넥센테크(주),2020. 08,2점,"""있다가 다른 회사가기 괜찬은 회사인거 같습니다""",연차쓸때 상사 뉸치 안보고 서로 겹치지지 않는선에서 마음대로 사용가능함,연장근무시 연장수당이 없는점과 임시공유일에 연차사용하여야함,복지가 다른 중소기업에 비해 너무 않좋다고 생각 합니다
2.4,넥센테크(주),2020. 06,1점,"""기업에 체계가 없으며, 책임전가 업무가 많았습니다. 그리고 발전할려는 의지가 1도 없었습니다.""","예전에 넥센계열사라는 메리트가 있었지만, 분리되면서 있단 장점도 사라진거 같습니다.","업무수행 중 부서 간에 소통이 매우 어려웠고, 밥이 맛없었습니다.","자사의 확실한 기술력을 키워서 고객유지를
했어야했는데, 발전되지않아 아쉬웠습니다. 직원들 소리에 귀 기울이면 회사가 더 발전할거 같습니다."
2.4,넥센테크(주),2020. 05,2점,"""부서 내 경쟁이 없고, 그냥 아무생각 없이 다니기에 알맞는 곳.""","시설이 오래됬지만 깨끗하고, 근무분위기는 자유로운 편이다.",업무체계가 잡혀있지않아 책임전가식의 업무처리가 많음. 그리고 연차사용이 이유 많이 물음.,"신규 사업 추진에 적극적인 모습은 좋지만, 직원들 역량을 키워 회사 자체 기술력을 키우면 좋을거 같습니다."
2.4,넥센테크(주),2019. 11,5점,"""무난한 중소기업...시스템은 잘 이루어져 있음...야근 종종 시킴""",해외영업을 적극적 으로 추진 중...업무를 많이 배울수 있음,르노삼성 하청업체로 주매출이 르노삼성인데 르노 수주가 19년 이후로 없음 지금...,해외영업성과를 빨리 이뤄서 직원들에게 확신을 줘야함...
2.4,넥센테크(주),2019. 09,1점,"""오지않았으면 하는 회사
이상한 꼰대문화가 잡혀있음.""",장점이라고 할 것이 없다. 상호변경하면서 많이준 보너스 정도가 끝.,워라밸을 찾아볼수없다. 위치가 안좋다. 수당이없다. 불필요한 야근을 한다.,수당이라도 챙겨주시던가 아니면 이상한 야근을 시키지말던가
2.4,넥센테크(주),2019. 03,2점,"""사내 분위기는 괜찮았음. 사무실이 대체적으로 조용하고 업무하긴 좋은 환경.""",많은 곳에 필요한 부품을 생산하고 있음. 앞으로가 기대 되는 회사.,지리적으로 차가 없으면 출퇴근하기 힘듬. 출퇴근 차량이 한정적임. 그리고 임금...,직원들에게 복지지원을 많이 해주시면 좋은 회사가 될것입니다.
2.4,넥센테크(주),2019. 01,4점,"""비전을 가지고 확실한 도약을 도모할 수 있는 기업""","자유로운 분위기, 업무에 집중할 수 있고, 개인의 자유에 대한 방해가 거의 없음","부서간 친목보다는 개인 성향을 더 존중하는 바, 이러한 분위기에 맞지 않는 사람은 힘들 수 있음","사원 복지 부분에 대하여 개방적인 바, 추후 발전된 복리후생 제도를 기대함"
2.4,넥센테크(주),2018. 10,1점,"""와이어랑 하네스 생산 업체. 일본 YAZAKI 에서 닛산에 수주를 해오면 2차로 수주를 받아서 생산하는 2차 생산 업체. 즉, 자체적으로 제품을 개발하고 특허를 가졌다고 할 수 있는 기술력은 없다.
자율주행 플랫폼 개발을 한다는 정보는 1000% 거짓 정보. 주식을 위한 정보.""",짤릴 걱정 없이 먹고 놀기에 좋은 회사. 월급 받으면서 이직 준비하기에 더할나위 없이 좋은 회사,"좀 긴데. 한마디로 정리하면 그냥 평범한 ""중소기업""
그리고 신입까지는 좋다고 말을 하지만, 글쎄....첫 단추를 잘 꿰는 것이 중요하지 않을까??? 기술도 아무것도 없는 회사에서 월급만 받는다는게 과연 좋을까???

- 복지는 정말 거짓말 하나 없이 단 하나도 없습니다. 사람인이랑 잡코리아 등에는 뭐라고 적혀있는지 모르지만(적혀 있었던 것으로 기억을 하지만), 입사 후 인사팀에서는 아주 당당하게 ""복지는 없지만 다른 것으로 혜택이 주어질 것입니다""라고 말을 해줍니다.

- 신입 기준 3370만원 연봉. /13으로 월급이 나갑니다. 나머지 금액에 대해서는 추석과 설 보너스로.

- 급여는 기본급 이외에는 아무것도 없습니다.
참고로 평균 연봉 상승률은 3% 내외.

- 기술력 없습니다. 기술연구소에 있었는데 그게 연구소인지 의심스러울 정도. 다른 회사의 연구실처럼 개발을 한다는 건 없습니다. 고객의 도면을 받아서 사내 생산을 위한 도면을 위해 카피한다는 개념의 업무. 그 작업을 위해 캐드 데이터 생성. 가끔 필요한 작은 부품 정도는 그려서 생산을 맡기는 정도.

- 기술연구소가 제일 힘이 없는 이상한 구조. 심지어 품질팀 등 다른 팀의 업무까지 하고 있는데, 자신들은 그것을 모르고 있는 거 같기도 하는 느낌이 들었음.

- 퇴근에 상당한 눈치를 봄. 08시 ~ 18시가 서류상 업무시간인데, 심한 사람은 15시부터 영어단어 공부를 몰래 하면서 19시가 넘도록 눈치보고 있음.

- 매주 수요일에 팀마다 발표가 있는데, 왜하는지 모르겠음. 다른 팀이 무슨 일을 하는지, 자신이 무슨 일을 어떠한 과정을 통해 하는지 매주 모든 임직원들을 모아서 발표를 하는데, 그 자료를 만드는 시간까지 생각해보면 매우 의미없는 시간임. 이처럼 의미는 없는데 예전처럼 해오던 일들이라는 이유로 계속 하는 일들이 많음.

- 너무 많아서 더 쓰기도 힘들다.",제발 현재의 회사 상황에 대해 냉정해 질 필요가 있는거 같습니다.
2.4,넥센테크(주),2018. 08,1점,"""사명변경!!!!@에스모@ 자동차 와이러닝 하네스. 닛산과 르노를 고객사로 가지고 있음.(참고. 고객사는 과거이야기. 현재는 닛산과 르노로부터 수주받은 물량 없음! 특장차로 50대씩 따오는게 전부임)""",장점은......주말근무가 아예 없는다는거. 회사 전체에 일이 없다보니 개인 시간이 많다. 이직을 위해서 쓰기에 좋은 여유시간,"1. 주말근무 8시간(반드시 출근 8시부터) 해야 하루 연차를 더 줌. 수당으로 주는거 아니라 연차를 주는데, 그거 쓴다고하면 눈치줌.
2. 회사에 일이 없다. 정말.
3. 회사가 오로지 생산만을 위한 회사라서, 보유기술이 없다. 그래서 사업수주시 경쟁업체에 밀리는 현실. 과거 넥센 계열일때는 넥센빨로 따오기나 했지..에스모로 사명 바꾼뒤에는..없다.
4. 지금 당장 망하더라도 이상함이 없을 정도로 상황이 안좋다. 입사를 준비중이시라면 제발 다시 생각해보시길.
5. 해외공장 크긴한데...거기도 이제 나 퇴사분위기. 그냥 회사 망해가고 있는게 보이는데..
6. 저들이 홍보하는 자율주행. 기술 하나도 없다. 페이퍼컴퍼니로 광고하는데, 경영진들은 최면에 걸린듯 기술을 주도하고 있다고 생각하고있다. 진짜 최면걸린듯..","진작에 기술개발에 투자를 했었으면...가진 기술은 없고, 기술개발을 이제와서 하려해도 아무시설도 자본도 없고..고생하세요"
2.4,넥센테크(주),2018. 07,3점,"""르노삼성 와이어링하네스 공급.
최근 넥센에서 떨어져나와 에스모?로 사명 변경""","중소기업치곤 먹고살만한 연봉과 근무환경
이직준비하기 좋음","애사심??회사부심?? 전혀 없음
그저그런 연봉과 근무환경에 만족한다면 다닐만한 회사
하지만 언제 무너질지 모르는 회사
회사의 비전과 목표가 있지도 않으며 경영진조차 관심이 없음.",앞으로의 10년 20년 장기적인 사업계획과 그에맞는 투자가 필요.
