총점,회사,날짜,별점,요약,장점,단점,경영진에게
3.6,에스에프씨(주),2022. 09,5점,"""평5점은 조작인줄 알았다..
내가 5점을 쓸줄이야 ..""","아낌없는 회장님마인드
워라벨,급여 둘다 겟겟
빨간날 무조건 쉼
주말쉬는 3교대
복지,회사미래 창창","3교대인데 9시간<1시간 추가된 연봉>이지만
그래도 8시간하고파요","생산조금만더 신경 부탁 드리겠습니다
Sfc 화이팅!!!"
3.6,에스에프씨(주),2022. 08,4점,"""연구직 사무직 처우는 좋으나 생산직 처우가 안좋음""",식당밥이 맛있고 직원들을 위한 복지가 좋음 배우자 종합건강검진도 해주고 사우회비로 경조사비 잘 챙겨줌 회사가 깨끗하고 회사내에 족구장?도 있고 헬스장도 있어서 좋음,화학제품 만지는 회사라 위험할것같음/경영진 마인드가 좀 나태한것같아요. 직급체계가 바껴서 승진하기 어렵다 들음,휴가비나 명절성과금 줬으면 좋겠어요 예전엔 있었는데 요샌 아예 없다고합니다 생산부서도 신경써주세요
3.6,에스에프씨(주),2022. 08,5점,"""본인이 노력하면 노력하는만큼 인정받을수 있고 의사결정이 빠른 기업""","기업 및 직장에 완벽은 없겠지만, 다니고 있으며 회사 발전에 대한 기대감이 커 지는 기업 또한 빠른 의사전달로 회사의 가치관만 맞는다면 시원스러운 업무를 할수 있음",아직 발전을 해 나가는 기업이라 시스템 보다는 사람이 우선인점,앞으로도 지속 발전 가능한 기업으로 키워주시길
3.6,에스에프씨(주),2022. 07,4점,"""상장이 되지 않아 유명하진 않지만 블루계열 히든챔피언, 영업이익 미침""","1. 높은 초봉
2. 연차 자유
3. 부드러운 조직 문화
4. 캐시카우 존재","1. 잡일 많음
2. 전문성 키우기 힘듬, 교육이 약함",부서의 업무의 집중할 수 있도록 고졸사원 및 철저한 교육 필요
3.6,에스에프씨(주),2022. 06,4점,"""중견기업들 중에서 연봉이 높고 복지도 좋은편이지만 교육지원이나 역량개발지원은 거의 없음""","비교적 높은 연봉, 재량근무제 도입으로 출퇴근 시간 조절 가능,
3끼 식사 제공, 복지를 신경쓰시는 사장님의 마인드가 좋음",팀별로 팀장에 따라 연차사용이 자유롭거나 연차를 쓸때 눈치주고 못쓰게함. 악질팀장들이 숨어있어서 기피하는 팀에 가면 고과도 안좋고 회사에 대한 애정 사라짐. 기존 재직자보다 경력직으로 데려온 사람이 고과를 더 잘 받고 들어옴.,사원들의 역량을 개발시키지 않고 외부에서 경력직을 계속 데려오는데만 집중하면 회사에 대한 충성도나 애정을 기대할 수 없습니다.
3.6,에스에프씨(주),2022. 06,5점,"""삼성과 일본 호도가야의 합작 기업으로써 앞으로의 성장이 기대되는 기업""",기본급이 상당히 높은편이며 주말을 쉬는 3조 3교대의 근무 형태로 워라밸 가능함,화학회사기 때문에 장기적 측면에서 건강에 안좋을 수 있음,앞으로도 쭉 이렇게만 해주시면 될거 같습니다 에스에프씨 화이팅
3.6,에스에프씨(주),2022. 04,5점,"""지속적인 성장가능성이 높고, 경영성과에 따른 적절한 보상이 이뤄지는 회사""","동종업계대비 높은 급여와 자유로운 휴가 사용, 빠른퇴근 가능","사업 특성상 연구개발 중심의 회사로서, 소규모조직 단위의 변경이 잦음",근로자수가 늘어날수록 인원관리에 대한 부분에 좀 더 신경 써 주시면 좋을것 같습니다
3.6,에스에프씨(주),2022. 04,5점,"""삼성과 일본 호도가야의 합작 회사로 OLED 발광 물질 생산하는 회사중 상위권 회사""",연봉이 매우 높은편이며 주말과 공휴일을 쉬는 3조 3교대 근무형태 덕분에 워라벨 및 연봉을 둘다 잡을 수 있다,화학회사이기에 어쩔수 없이 유해화학 물질을 접해야 해서 건강에 안좋을 수 있다,앞으로도 열심히해서 회사 발전에 기여하면 더 나은 기업이 될것
3.6,에스에프씨(주),2022. 01,3점,"""딱 ,,, 말하면 안전에 힘쓰는 회사 워라벨 보장되는 회사""","3끼 무료 기숙사 제공 워라벨 보장하는 회사임 연차는 잘 말하면 통과
성과금 지급해주고 사람대우 해주는 회사임",주기적인 안전에대한 시험과 연차쓸때 어느정도 눈치보고 써야하며 3교대인데 회사있는 시간 9시간임 또한 식사시간1시간이지만 먹고 바로 현장 투입해야함,이대로만 해줘도 고맙겠으나 3교대인데 8시간 으로 근무시간되었으면 합니딘
3.6,에스에프씨(주),2022. 01,4점,"""대표님 마인드가 참 좋습니다. 항상 직원들을 위해 고민하십니다.""",연차 자유롭고 급여 좋고 복지 좋습니다. 또한 성장성도 무시 못할 정도.,"충북 오창에 소재한 사업장이기 때문에 주변에 번화가라고 할 게 없고, 정밀화학 쪽이기 때문에 연구원들과 타 부서 간의 간극이 큼.",신규 사업을 적극적으로 추진해주면 좋겠고 회식 문화를 없앴으면 좋겠습니다.
3.6,에스에프씨(주),2021. 10,3점,"""돈도 많이주고 나름 괜찮으나 미래지향적이지 못함""",괜찮은 급여와 충청거주시 위치가 나쁘지않은 기업이라고 생각함,"확실하지않은 미래, 기업에대한 불확실성 사람적인면이 힘들면 힘들 수 있음",적극적인 투자 및 미래지향적 방향을 잘 잡아주길 바람
