총점,회사,날짜,별점,요약,장점,단점,경영진에게
2.3,(주)시너지이노베이션,2022. 09,2점,"""회사의 이상은 매우 높으나, 인력 부족과 주먹구구식 일처리로 인해 작업자들만 죽어나는 시스템,""","연차를 갑자기 써도 아무말 하지 않고 특별히 튀는 행동을 하지 않으며 시키는 일만 잘해도
평균은 지킬수 있음.","개인주의, 정직원 부족, 임직원들간의 동상이몽, 낮은 연봉으로 인해 신입 들어오지 않음.","너무 앞만 보고 가지 마시고, 밑바닥을 더 자세히 들여다 보시기 바랍니다."
2.3,(주)시너지이노베이션,2022. 08,1점,"""딱히 추천해주고 싶지 않은 회사 직원들 고생은 당연한줄 알고 장기근속자들도 몇없음 생산직 으로 간다면 고생길.""",겉으로 보여지는건 국내최대 배지회사. 월급 안밀림. 생산직 은 명절 보너스 연말 상여금 나옴.,복지제도 단 1도 없음 일이 바쁘면 주말근무 강요는 하지만 안해도 상관없음 모부서에서는 대형 폭발사건이 있었음.,직원알기를 소중히 여겨야 할거 같습니다. 일 하고 싶은 회사를 만들어야 되지 아닐까요? 국내최대 배지회사인데 정작 그에 상응하는 복지제도가 시급한거 같습니다. 직원은 노예가 아닙니다.
2.3,(주)시너지이노베이션,2022. 08,2점,"""월급 상여금 꼬박꼬박 나오고 꾸준히 다니기 좋으나 사내 직원만 부서 관계 불편함""",월급 및 상여는 밀린 않고 꾸준히 나옴. 작은 규모에 비해서 복지고 꾀 있고 성과금 고 가끔 나옴,사내 직원간 부서간 관계 불편하고 서로 협력 하지 않는 분위기,일정 직원이 아닌 모든 직원에게 관심을 갖고 복지에 더 힘쓰면 발전 가능성 있음
2.3,(주)시너지이노베이션,2022. 08,2점,"""관리자들의 미숙한 일처리 / 낮은연봉과 인상률 / 광범위한 업무 / 고인물들의 갑질""","실내 근무로 인하여 봄,여름,가을,겨울 날씨영향없으며, 화장실이 청결함",직원들의 무관심 / 각부서 장급들의 책임 돌려막기 / 낮은연봉 / 인력난 / 소통부족,"문제점이 무엇인지 제대로 말단사원까지 소통,파악하고 조치"
2.3,(주)시너지이노베이션,2022. 05,3점,"""수평적인 분위기의 워라벨을 챙길 수 있는 기업""","실내에서하는 업무 특성상 날씨의 영향을 적게 받음
직원들의 분위기가 좋음, 식대제공, 추가수당 지급","기업관련 경력을 쌓기에는 부족한 느낌
자기계발을 위한 시간은 따로 마련해야함",사원들의 의견도 적극적으로 들어줬으면 좋겠음
2.3,(주)시너지이노베이션,2022. 04,4점,"""기업과 직원이 함께 동반성장하고 있으며 매년 성장하고 있어 이익을 직원들과 공유하며 발전하고 있는 회사입니다""","1.업무분담 및 직무가 명확하여 해당분야 업무를 익혀 성장할 수 있습니다
2.야근을 강요하지 않는 분위기이며 연월차 원하는 일정에 쉬는 것이 가능합니다",절차 및 문서작업 업무가 많아 업무를 진행할때 해당 업무프로세스에 의해 진행이 되도록 체계가 잡혀져 있습니다,신규사업을 위해 다양한 사업아이텀을 찾고 신규제품 개발을 위해 노력하여 주시기 바랍니다
2.3,(주)시너지이노베이션,2022. 02,5점,"""좋은 회사이며 일을 하는데 강도가 강하지 않아서 편하게 일을 할 수 있음""",연차를 자유롭게 쓸 수 있으며 직장안에서의 텃새도 심하지 않아 일을 다니는데 어려움이 없음,상사 눈치를 조금 봐야된다는 단점이 있으며 출근시간이 9시라 조금 힘든 성향이 있음,신규 사업 추진에 크게 이바지 했으면 좋겠다.
2.3,(주)시너지이노베이션,2022. 01,3점,"""적은 연봉에 칼퇴 가능합니다. 하지만 비전은 글쎄(?)""","특별한 경우를 제외하고 칼퇴 가능, 업무 강도가 낮음, 업무는 대체로 편함.",신입 직원에 대한 텃새가 매우 심함. 배지 냄새가 좀 역할 때가 있음. 몇 사람이 분위기를 흐리는 경우가 많음.,회사 몸집 키우기에만 연연해 하지 말고 직원도 생각하는 회사가 되길 바랍니다.
2.3,(주)시너지이노베이션,2022. 01,3점,"""업무는 루즈하지만 마음은 편하게 다닐수 있는 회사""",성장 가능성이 있는 사업을 하고 모기업의 재원이 빵빵함. 배지제조사업은 국내에서 오랜 업력을 갖고 있어 안정정이나 발전가능성은 떨어짐,연봉이 작고 연봉상승 기회가 그다지 없음. 그렇다고 업무강도가 빡센것은 아니라고 생각함. 편하게 다닐 사람은 다녀도 됨.,직원들과 비전을 공유할 수 있는 회사로 만들어주시면 좋을 것 같습니다.
2.3,(주)시너지이노베이션,2021. 11,1점,"""미생물배양배지 제조 회사로 미생물배양배지 제조를 경험 할 수 있다""","연차를 눈치 안보고 쓸수가 있음 생산직은 손,발만 달려있으면 일할수있음, 단순 생산이라 레시피가 있고 신경써서 할게 없음, 몇몇사람 제외하곤 직원들이 친절함, 월급 밀린적 없음, 워라밸은 확실함","같이 일하는 직원들이나 다른공정 직원들이 책임감과 전문성이 눈꼽만큼도 없음,
직급달고 책임을 아랫사람에게 떠넘기거나 나몰라라 하는 상급자가 대다수(90%), 성격 예민한 사람 눈치를 봐야함, 파견직(아웃소싱) 많음","전문지식이 부족한 상사들이 너무 많음, 평가를 통해서 직책을 강등시키거나 불필요한 인원은 짤라버렸으면 함"
